ward,precinct,total,"HOWARD B. BROOKINS, JR.","HOWARD B. BROOKINS, JR. Percent",LEONARD DeVILLE,LEONARD DeVILLE Percent,BARBARA J. JONES (B.J.),BARBARA J. JONES (B.J.) Percent,WOODY T. REMBERT,WOODY T. REMBERT Percent,KEVIN AMMONS,KEVIN AMMONS Percent,ADRIENNE A. SMITH,ADRIENNE A. SMITH Percent,precinct_id
21,46,109,35,32.11,53,48.62,3,2.75,8,7.34,1,0.92,9,8.26,21046
21,47,273,116,42.49,145,53.11,9,3.3,1,0.37,0,0.0,2,0.73,21047
21,48,235,75,31.91,130,55.32,17,7.23,5,2.13,2,0.85,6,2.55,21048
21,49,276,86,31.16,100,36.23,10,3.62,2,0.72,0,0.0,78,28.26,21049
21,50,239,101,42.26,103,43.1,10,4.18,4,1.67,6,2.51,15,6.28,21050
21,51,207,66,31.88,119,57.49,13,6.28,0,0.0,2,0.97,7,3.38,21051
21,52,178,74,41.57,87,48.88,8,4.49,1,0.56,4,2.25,4,2.25,21052
21,53,172,94,54.65,59,34.3,8,4.65,2,1.16,3,1.74,6,3.49,21053
21,54,187,69,36.9,101,54.01,12,6.42,0,0.0,1,0.53,4,2.14,21054
21,55,197,76,38.58,106,53.81,4,2.03,3,1.52,0,0.0,8,4.06,21055
21,56,132,38,28.79,81,61.36,6,4.55,0,0.0,4,3.03,3,2.27,21056
21,57,175,58,33.14,94,53.71,12,6.86,1,0.57,4,2.29,6,3.43,21057
21,58,151,71,47.02,64,42.38,8,5.3,1,0.66,4,2.65,3,1.99,21058
21,59,263,108,41.06,136,51.71,8,3.04,1,0.38,2,0.76,8,3.04,21059
21,60,192,75,39.06,88,45.83,13,6.77,2,1.04,1,0.52,13,6.77,21060
21,61,219,94,42.92,99,45.21,9,4.11,1,0.46,9,4.11,7,3.2,21061
21,62,162,40,24.69,93,57.41,10,6.17,0,0.0,13,8.02,6,3.7,21062
21,63,188,86,45.74,86,45.74,8,4.26,0,0.0,1,0.53,7,3.72,21063
21,64,123,28,22.76,62,50.41,7,5.69,1,0.81,22,17.89,3,2.44,21064
21,65,184,68,36.96,91,49.46,9,4.89,3,1.63,1,0.54,12,6.52,21065
21,66,165,69,41.82,70,42.42,14,8.48,1,0.61,0,0.0,11,6.67,21066
21,67,158,55,34.81,73,46.2,10,6.33,3,1.9,12,7.59,5,3.16,21067
21,68,192,62,32.29,89,46.35,29,15.1,1,0.52,7,3.65,4,2.08,21068
21,69,141,61,43.26,63,44.68,6,4.26,0,0.0,9,6.38,2,1.42,21069
21,70,140,66,47.14,62,44.29,8,5.71,0,0.0,0,0.0,4,2.86,21070
21,71,145,67,46.21,57,39.31,8,5.52,1,0.69,5,3.45,7,4.83,21071
21,72,162,45,27.78,108,66.67,6,3.7,1,0.62,0,0.0,2,1.23,21072
21,73,200,90,45.0,87,43.5,12,6.0,0,0.0,2,1.0,9,4.5,21073
21,74,60,17,28.33,34,56.67,3,5.0,0,0.0,3,5.0,3,5.0,21074
21,75,158,50,31.65,93,58.86,8,5.06,1,0.63,3,1.9,3,1.9,21075
21,76,168,76,45.24,84,50.0,3,1.79,0,0.0,5,2.98,0,0.0,21076
