ward,precinct,total,GLORIA JEAN SYKES,GLORIA JEAN SYKES Percent,BRIAN G. DOHERTY,BRIAN G. DOHERTY Percent,MIKE MARZULLO,MIKE MARZULLO Percent,SHARI MARIE CENTRONE,SHARI MARIE CENTRONE Percent,WAYNE C. DEMBOWSKI,WAYNE C. DEMBOWSKI Percent,precinct_id
41,35,226,21,9.29,167,73.89,25,11.06,7,3.1,6,2.65,41035
41,36,223,21,9.42,169,75.78,28,12.56,4,1.79,1,0.45,41036
41,37,241,21,8.71,187,77.59,22,9.13,4,1.66,7,2.9,41037
41,38,111,14,12.61,70,63.06,10,9.01,5,4.5,12,10.81,41038
41,39,160,13,8.13,119,74.38,11,6.88,6,3.75,11,6.88,41039
41,40,185,11,5.95,143,77.3,22,11.89,3,1.62,6,3.24,41040
41,41,212,25,11.79,156,73.58,23,10.85,5,2.36,3,1.42,41041
41,42,208,6,2.88,179,86.06,16,7.69,4,1.92,3,1.44,41042
41,43,187,11,5.88,117,62.57,50,26.74,2,1.07,7,3.74,41043
41,44,208,30,14.42,145,69.71,28,13.46,4,1.92,1,0.48,41044
41,45,171,11,6.43,133,77.78,21,12.28,3,1.75,3,1.75,41045
41,46,191,21,10.99,138,72.25,19,9.95,11,5.76,2,1.05,41046
41,47,213,9,4.23,158,74.18,38,17.84,4,1.88,4,1.88,41047
41,48,124,10,8.06,83,66.94,13,10.48,10,8.06,8,6.45,41048
41,49,179,9,5.03,134,74.86,25,13.97,2,1.12,9,5.03,41049
41,50,224,7,3.13,156,69.64,57,25.45,2,0.89,2,0.89,41050
41,51,182,15,8.24,134,73.63,24,13.19,0,0.0,9,4.95,41051
41,52,253,36,14.23,167,66.01,31,12.25,13,5.14,6,2.37,41052
41,53,242,6,2.48,209,86.36,19,7.85,2,0.83,6,2.48,41053
41,54,186,26,13.98,129,69.35,23,12.37,5,2.69,3,1.61,41054
41,55,258,10,3.88,231,89.53,10,3.88,3,1.16,4,1.55,41055
41,56,258,9,3.49,220,85.27,23,8.91,5,1.94,1,0.39,41056
41,57,257,9,3.5,156,60.7,80,31.13,1,0.39,11,4.28,41057
41,58,159,16,10.06,124,77.99,14,8.81,3,1.89,2,1.26,41058
41,59,220,19,8.64,162,73.64,27,12.27,6,2.73,6,2.73,41059
41,60,196,15,7.65,139,70.92,39,19.9,0,0.0,3,1.53,41060
41,61,275,15,5.45,209,76.0,34,12.36,12,4.36,5,1.82,41061
41,62,198,8,4.04,134,67.68,50,25.25,3,1.52,3,1.52,41062
41,63,206,10,4.85,172,83.5,20,9.71,0,0.0,4,1.94,41063
41,64,222,43,19.37,131,59.01,18,8.11,27,12.16,3,1.35,41064
41,65,288,43,14.93,144,50.0,83,28.82,7,2.43,11,3.82,41065
41,66,233,27,11.59,151,64.81,40,17.17,8,3.43,7,3.0,41066
41,67,180,22,12.22,120,66.67,24,13.33,7,3.89,7,3.89,41067
41,68,186,8,4.3,133,71.51,41,22.04,2,1.08,2,1.08,41068
41,69,355,26,7.32,281,79.15,33,9.3,8,2.25,7,1.97,41069
41,70,228,27,11.84,166,72.81,28,12.28,4,1.75,3,1.32,41070
41,71,138,6,4.35,106,76.81,8,5.8,7,5.07,11,7.97,41071
