ward,precinct,total,William J. Cadigan (Romney),William J. Cadigan (Romney) Percent,Adam Robinson (Romney),Adam Robinson (Romney) Percent,Peter Pigott (Paul),Peter Pigott (Paul) Percent,Peter Wood (Paul),Peter Wood (Paul) Percent,John Skrabutenas (Paul),John Skrabutenas (Paul) Percent,Sean O'Leary (Gingrich),Sean O'Leary (Gingrich) Percent,Chris Provenzano (Gingrich),Chris Provenzano (Gingrich) Percent,Nathan A. Ulery (Gingrich),Nathan A. Ulery (Gingrich) Percent,Lisa A. Smith (Santorum),Lisa A. Smith (Santorum) Percent,Steven S. Polit (Santorum),Steven S. Polit (Santorum) Percent,"Frank J. Biga, III (Santorum)","Frank J. Biga, III (Santorum) Percent",precinct_id
41,4,207,36,17.39,33,15.94,13,6.28,11,5.31,11,5.31,3,1.45,4,1.93,2,0.97,22,10.63,18,8.7,15,7.25,41004
41,5,220,26,11.82,25,11.36,17,7.73,16,7.27,15,6.82,3,1.36,4,1.82,3,1.36,27,12.27,29,13.18,29,13.18,41005
41,7,215,33,15.35,34,15.81,9,4.19,9,4.19,9,4.19,7,3.26,4,1.86,4,1.86,22,10.23,25,11.63,24,11.16,41007
41,8,191,26,13.61,25,13.09,9,4.71,8,4.19,9,4.71,11,5.76,8,4.19,8,4.19,20,10.47,19,9.95,17,8.9,41008
41,11,184,27,14.67,30,16.3,7,3.8,5,2.72,6,3.26,5,2.72,3,1.63,3,1.63,26,14.13,22,11.96,21,11.41,41011
41,13,19,1,5.26,1,5.26,1,5.26,0,0.0,0,0.0,2,10.53,1,5.26,1,5.26,4,21.05,3,15.79,3,15.79,41013
41,15,236,38,16.1,32,13.56,7,2.97,8,3.39,6,2.54,8,3.39,7,2.97,7,2.97,28,11.86,26,11.02,30,12.71,41015
41,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,41016
41,18,192,29,15.1,25,13.02,12,6.25,12,6.25,10,5.21,6,3.13,5,2.6,6,3.13,18,9.38,21,10.94,19,9.9,41018
41,20,313,60,19.17,58,18.53,5,1.6,4,1.28,5,1.6,8,2.56,8,2.56,6,1.92,33,10.54,33,10.54,30,9.58,41020
41,25,56,10,17.86,13,23.21,1,1.79,2,3.57,1,1.79,0,0.0,2,3.57,1,1.79,4,7.14,4,7.14,6,10.71,41025
41,28,122,22,18.03,24,19.67,6,4.92,6,4.92,5,4.1,5,4.1,3,2.46,4,3.28,8,6.56,7,5.74,7,5.74,41028
41,29,53,10,18.87,10,18.87,1,1.89,1,1.89,1,1.89,2,3.77,3,5.66,1,1.89,4,7.55,5,9.43,4,7.55,41029
41,31,210,31,14.76,29,13.81,10,4.76,11,5.24,10,4.76,4,1.9,4,1.9,4,1.9,24,11.43,26,12.38,24,11.43,41031
41,32,150,29,19.33,24,16.0,6,4.0,5,3.33,8,5.33,1,0.67,6,4.0,1,0.67,14,9.33,13,8.67,14,9.33,41032
41,33,27,5,18.52,6,22.22,2,7.41,2,7.41,1,3.7,1,3.7,0,0.0,0,0.0,2,7.41,2,7.41,1,3.7,41033
41,34,203,39,19.21,35,17.24,5,2.46,7,3.45,4,1.97,5,2.46,7,3.45,2,0.99,19,9.36,17,8.37,18,8.87,41034
41,36,261,49,18.77,48,18.39,11,4.21,9,3.45,9,3.45,13,4.98,7,2.68,7,2.68,21,8.05,18,6.9,18,6.9,41036
41,37,305,70,22.95,65,21.31,10,3.28,9,2.95,6,1.97,7,2.3,7,2.3,5,1.64,22,7.21,18,5.9,17,5.57,41037
41,40,249,47,18.88,48,19.28,2,0.8,5,2.01,1,0.4,5,2.01,12,4.82,8,3.21,27,10.84,24,9.64,23,9.24,41040
41,41,215,29,13.49,28,13.02,15,6.98,12,5.58,11,5.12,13,6.05,11,5.12,7,3.26,19,8.84,17,7.91,19,8.84,41041
41,42,207,38,18.36,34,16.43,8,3.86,10,4.83,7,3.38,11,5.31,9,4.35,6,2.9,17,8.21,17,8.21,14,6.76,41042
41,43,208,30,14.42,29,13.94,9,4.33,7,3.37,4,1.92,12,5.77,8,3.85,6,2.88,24,11.54,24,11.54,24,11.54,41043
41,45,165,24,14.55,23,13.94,11,6.67,12,7.27,11,6.67,4,2.42,2,1.21,4,2.42,17,10.3,15,9.09,16,9.7,41045
41,48,76,13,17.11,11,14.47,5,6.58,6,7.89,3,3.95,3,3.95,3,3.95,2,2.63,7,9.21,5,6.58,5,6.58,41048
41,49,294,50,17.01,47,15.99,7,2.38,8,2.72,7,2.38,7,2.38,5,1.7,5,1.7,38,12.93,35,11.9,33,11.22,41049
41,55,130,20,15.38,15,11.54,3,2.31,4,3.08,3,2.31,7,5.38,7,5.38,7,5.38,15,11.54,13,10.0,11,8.46,41055
41,56,292,49,16.78,42,14.38,12,4.11,8,2.74,9,3.08,9,3.08,7,2.4,5,1.71,34,11.64,35,11.99,32,10.96,41056
44,3,174,46,26.44,44,25.29,3,1.72,1,0.57,2,1.15,3,1.72,4,2.3,2,1.15,7,4.02,8,4.6,7,4.02,44003
44,4,138,37,26.81,35,25.36,0,0.0,0,0.0,0,0.0,2,1.45,2,1.45,3,2.17,7,5.07,7,5.07,7,5.07,44004
44,7,202,56,27.72,54,26.73,3,1.49,3,1.49,3,1.49,0,0.0,0,0.0,0,0.0,8,3.96,8,3.96,9,4.46,44007
44,18,3,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,44018
44,24,193,44,22.8,43,22.28,6,3.11,8,4.15,7,3.63,5,2.59,5,2.59,5,2.59,9,4.66,8,4.15,6,3.11,44024
44,35,206,47,22.82,45,21.84,10,4.85,10,4.85,8,3.88,5,2.43,5,2.43,4,1.94,8,3.88,7,3.4,8,3.88,44035
46,1,145,34,23.45,30,20.69,2,1.38,2,1.38,2,1.38,5,3.45,5,3.45,4,2.76,10,6.9,8,5.52,9,6.21,46001
46,2,49,8,16.33,8,16.33,2,4.08,3,6.12,3,6.12,3,6.12,1,2.04,0,0.0,5,10.2,4,8.16,3,6.12,46002
46,4,27,6,22.22,5,18.52,0,0.0,2,7.41,0,0.0,1,3.7,0,0.0,0,0.0,3,11.11,3,11.11,2,7.41,46004
46,6,46,6,13.04,4,8.7,1,2.17,1,2.17,0,0.0,2,4.35,1,2.17,2,4.35,9,19.57,6,13.04,6,13.04,46006
46,7,63,13,20.63,12,19.05,4,6.35,5,7.94,4,6.35,1,1.59,1,1.59,1,1.59,3,4.76,3,4.76,3,4.76,46007
46,8,92,11,11.96,13,14.13,5,5.43,5,5.43,8,8.7,6,6.52,1,1.09,0,0.0,12,13.04,9,9.78,10,10.87,46008
46,9,64,11,17.19,10,15.63,4,6.25,5,7.81,4,6.25,0,0.0,2,3.13,1,1.56,6,9.38,5,7.81,6,9.38,46009
46,10,61,9,14.75,8,13.11,6,9.84,7,11.48,6,9.84,0,0.0,1,1.64,0,0.0,6,9.84,5,8.2,5,8.2,46010
46,11,79,16,20.25,15,18.99,4,5.06,3,3.8,3,3.8,5,6.33,4,5.06,3,3.8,3,3.8,2,2.53,2,2.53,46011
46,12,37,4,10.81,4,10.81,3,8.11,3,8.11,3,8.11,2,5.41,3,8.11,2,5.41,4,10.81,2,5.41,2,5.41,46012
46,14,30,2,6.67,2,6.67,5,16.67,4,13.33,4,13.33,1,3.33,1,3.33,1,3.33,3,10.0,2,6.67,2,6.67,46014
46,15,176,33,18.75,31,17.61,8,4.55,7,3.98,7,3.98,3,1.7,4,2.27,3,1.7,18,10.23,16,9.09,16,9.09,46015
46,16,42,7,16.67,8,19.05,5,11.9,6,14.29,5,11.9,0,0.0,1,2.38,0,0.0,1,2.38,1,2.38,2,4.76,46016
46,19,46,9,19.57,9,19.57,5,10.87,6,13.04,5,10.87,0,0.0,0,0.0,0,0.0,1,2.17,1,2.17,1,2.17,46019
46,20,57,13,22.81,10,17.54,1,1.75,1,1.75,1,1.75,4,7.02,1,1.75,2,3.51,4,7.02,5,8.77,4,7.02,46020
46,21,40,4,10.0,4,10.0,4,10.0,4,10.0,4,10.0,3,7.5,1,2.5,0,0.0,5,12.5,3,7.5,3,7.5,46021
46,22,101,10,9.9,9,8.91,6,5.94,8,7.92,6,5.94,6,5.94,3,2.97,3,2.97,14,13.86,14,13.86,13,12.87,46022
46,23,35,9,25.71,6,17.14,2,5.71,2,5.71,1,2.86,0,0.0,1,2.86,1,2.86,2,5.71,2,5.71,2,5.71,46023
46,25,118,23,19.49,20,16.95,5,4.24,6,5.08,4,3.39,1,0.85,2,1.69,5,4.24,10,8.47,8,6.78,7,5.93,46025
46,26,42,10,23.81,9,21.43,1,2.38,1,2.38,1,2.38,2,4.76,2,4.76,1,2.38,3,7.14,1,2.38,1,2.38,46026
46,27,109,25,22.94,24,22.02,6,5.5,6,5.5,6,5.5,1,0.92,1,0.92,3,2.75,6,5.5,4,3.67,3,2.75,46027
46,28,140,25,17.86,25,17.86,7,5.0,7,5.0,6,4.29,5,3.57,5,3.57,4,2.86,11,7.86,10,7.14,7,5.0,46028
46,30,113,22,19.47,18,15.93,5,4.42,6,5.31,4,3.54,6,5.31,2,1.77,2,1.77,10,8.85,9,7.96,9,7.96,46030
46,32,39,7,17.95,8,20.51,4,10.26,3,7.69,2,5.13,2,5.13,3,7.69,2,5.13,0,0.0,1,2.56,0,0.0,46032
46,33,90,19,21.11,16,17.78,4,4.44,3,3.33,1,1.11,5,5.56,3,3.33,4,4.44,6,6.67,5,5.56,4,4.44,46033
46,34,58,11,18.97,10,17.24,1,1.72,2,3.45,2,3.45,0,0.0,0,0.0,0,0.0,7,12.07,7,12.07,6,10.34,46034
46,35,102,14,13.73,17,16.67,9,8.82,8,7.84,7,6.86,2,1.96,1,0.98,1,0.98,10,9.8,8,7.84,8,7.84,46035
46,37,56,11,19.64,11,19.64,2,3.57,4,7.14,2,3.57,0,0.0,0,0.0,0,0.0,4,7.14,6,10.71,4,7.14,46037
46,38,34,2,5.88,4,11.76,4,11.76,1,2.94,2,5.88,2,5.88,1,2.94,2,5.88,4,11.76,3,8.82,3,8.82,46038
46,39,114,25,21.93,26,22.81,5,4.39,6,5.26,6,5.26,2,1.75,2,1.75,2,1.75,4,3.51,5,4.39,5,4.39,46039
46,40,40,5,12.5,4,10.0,3,7.5,1,2.5,3,7.5,1,2.5,1,2.5,2,5.0,6,15.0,3,7.5,3,7.5,46040
46,41,61,13,21.31,13,21.31,2,3.28,3,4.92,3,4.92,0,0.0,2,3.28,0,0.0,5,8.2,4,6.56,3,4.92,46041
46,42,43,8,18.6,8,18.6,3,6.98,4,9.3,3,6.98,1,2.33,0,0.0,0,0.0,2,4.65,2,4.65,2,4.65,46042
46,45,71,10,14.08,10,14.08,5,7.04,4,5.63,4,5.63,3,4.23,2,2.82,2,2.82,7,9.86,7,9.86,7,9.86,46045
48,1,59,7,11.86,6,10.17,2,3.39,2,3.39,2,3.39,2,3.39,0,0.0,1,1.69,12,20.34,9,15.25,10,16.95,48001
48,2,90,17,18.89,16,17.78,6,6.67,6,6.67,5,5.56,3,3.33,1,1.11,1,1.11,7,7.78,6,6.67,6,6.67,48002
48,3,76,11,14.47,12,15.79,6,7.89,8,10.53,6,7.89,1,1.32,1,1.32,1,1.32,6,7.89,6,7.89,6,7.89,48003
48,4,111,16,14.41,19,17.12,4,3.6,5,4.5,6,5.41,8,7.21,6,5.41,6,5.41,7,6.31,7,6.31,8,7.21,48004
48,5,99,27,27.27,26,26.26,2,2.02,2,2.02,2,2.02,3,3.03,2,2.02,2,2.02,2,2.02,2,2.02,2,2.02,48005
48,6,87,18,20.69,16,18.39,4,4.6,4,4.6,2,2.3,3,3.45,2,2.3,4,4.6,6,6.9,5,5.75,4,4.6,48006
48,7,36,4,11.11,5,13.89,4,11.11,2,5.56,3,8.33,1,2.78,0,0.0,0,0.0,4,11.11,4,11.11,4,11.11,48007
48,8,89,22,24.72,25,28.09,2,2.25,2,2.25,1,1.12,0,0.0,0,0.0,0,0.0,4,4.49,3,3.37,3,3.37,48008
48,9,128,22,17.19,20,15.63,6,4.69,4,3.13,5,3.91,5,3.91,1,0.78,2,1.56,16,12.5,13,10.16,12,9.38,48009
48,10,24,5,20.83,5,20.83,1,4.17,1,4.17,1,4.17,1,4.17,1,4.17,1,4.17,1,4.17,1,4.17,1,4.17,48010
48,11,53,12,22.64,11,20.75,1,1.89,4,7.55,1,1.89,3,5.66,2,3.77,2,3.77,3,5.66,1,1.89,2,3.77,48011
48,12,62,9,14.52,10,16.13,5,8.06,4,6.45,4,6.45,2,3.23,2,3.23,2,3.23,5,8.06,5,8.06,5,8.06,48012
48,13,80,18,22.5,16,20.0,5,6.25,6,7.5,5,6.25,3,3.75,3,3.75,2,2.5,4,5.0,2,2.5,1,1.25,48013
48,14,209,49,23.44,51,24.4,3,1.44,3,1.44,2,0.96,3,1.44,4,1.91,8,3.83,11,5.26,7,3.35,7,3.35,48014
48,15,30,7,23.33,7,23.33,0,0.0,1,3.33,1,3.33,2,6.67,0,0.0,0,0.0,2,6.67,2,6.67,2,6.67,48015
48,16,76,22,28.95,20,26.32,2,2.63,4,5.26,2,2.63,1,1.32,0,0.0,2,2.63,1,1.32,1,1.32,2,2.63,48016
48,17,78,12,15.38,11,14.1,8,10.26,7,8.97,7,8.97,3,3.85,2,2.56,3,3.85,6,7.69,5,6.41,3,3.85,48017
48,18,41,5,12.2,8,19.51,3,7.32,4,9.76,3,7.32,3,7.32,2,4.88,0,0.0,5,12.2,2,4.88,1,2.44,48018
48,19,34,7,20.59,6,17.65,1,2.94,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,11.76,4,11.76,4,11.76,48019
48,20,57,15,26.32,16,28.07,0,0.0,0,0.0,0,0.0,1,1.75,0,0.0,0,0.0,3,5.26,3,5.26,3,5.26,48020
48,21,72,13,18.06,13,18.06,6,8.33,7,9.72,4,5.56,3,4.17,1,1.39,1,1.39,5,6.94,3,4.17,2,2.78,48021
48,22,143,21,14.69,22,15.38,5,3.5,4,2.8,6,4.2,10,6.99,9,6.29,8,5.59,12,8.39,12,8.39,12,8.39,48022
48,23,52,9,17.31,12,23.08,3,5.77,4,7.69,2,3.85,0,0.0,0,0.0,0,0.0,4,7.69,5,9.62,4,7.69,48023
48,24,12,0,0.0,0,0.0,1,8.33,1,8.33,1,8.33,1,8.33,1,8.33,1,8.33,2,16.67,1,8.33,2,16.67,48024
48,25,61,11,18.03,9,14.75,2,3.28,0,0.0,0,0.0,3,4.92,2,3.28,2,3.28,7,11.48,6,9.84,7,11.48,48025
48,26,89,17,19.1,16,17.98,4,4.49,3,3.37,3,3.37,5,5.62,5,5.62,2,2.25,5,5.62,6,6.74,6,6.74,48026
48,27,54,11,20.37,10,18.52,2,3.7,0,0.0,0,0.0,3,5.56,2,3.7,2,3.7,6,11.11,5,9.26,4,7.41,48027
48,28,74,18,24.32,18,24.32,3,4.05,3,4.05,3,4.05,2,2.7,1,1.35,1,1.35,2,2.7,2,2.7,3,4.05,48028
48,29,66,10,15.15,11,16.67,2,3.03,1,1.52,0,0.0,3,4.55,0,0.0,1,1.52,8,12.12,8,12.12,10,15.15,48029
48,30,41,7,17.07,6,14.63,1,2.44,1,2.44,2,4.88,2,4.88,2,4.88,2,4.88,4,9.76,4,9.76,4,9.76,48030
48,31,39,6,15.38,5,12.82,3,7.69,5,12.82,5,12.82,2,5.13,2,5.13,1,2.56,1,2.56,2,5.13,1,2.56,48031
48,32,25,3,12.0,3,12.0,3,12.0,2,8.0,2,8.0,0,0.0,0,0.0,0,0.0,4,16.0,3,12.0,3,12.0,48032
48,33,82,13,15.85,14,17.07,1,1.22,1,1.22,3,3.66,7,8.54,7,8.54,6,7.32,7,8.54,7,8.54,5,6.1,48033
48,34,51,5,9.8,6,11.76,4,7.84,5,9.8,5,9.8,0,0.0,1,1.96,1,1.96,6,11.76,7,13.73,5,9.8,48034
48,35,48,8,16.67,7,14.58,1,2.08,2,4.17,2,4.17,2,4.17,2,4.17,2,4.17,5,10.42,5,10.42,5,10.42,48035
48,36,85,21,24.71,22,25.88,3,3.53,4,4.71,2,2.35,1,1.18,0,0.0,0,0.0,4,4.71,4,4.71,4,4.71,48036
48,37,44,6,13.64,7,15.91,4,9.09,2,4.55,2,4.55,3,6.82,2,4.55,2,4.55,4,9.09,3,6.82,3,6.82,48037
48,38,56,9,16.07,10,17.86,1,1.79,2,3.57,1,1.79,0,0.0,0,0.0,0,0.0,8,14.29,8,14.29,8,14.29,48038
48,39,96,20,20.83,18,18.75,2,2.08,2,2.08,2,2.08,7,7.29,7,7.29,6,6.25,5,5.21,3,3.13,4,4.17,48039
48,40,37,5,13.51,5,13.51,3,8.11,3,8.11,3,8.11,1,2.7,1,2.7,2,5.41,3,8.11,3,8.11,3,8.11,48040
48,41,31,6,19.35,7,22.58,1,3.23,1,3.23,2,6.45,1,3.23,1,3.23,2,6.45,1,3.23,1,3.23,1,3.23,48041
48,42,21,2,9.52,3,14.29,2,9.52,1,4.76,2,9.52,0,0.0,1,4.76,1,4.76,2,9.52,2,9.52,2,9.52,48042
48,43,20,5,25.0,4,20.0,0,0.0,0,0.0,0,0.0,1,5.0,1,5.0,1,5.0,2,10.0,1,5.0,1,5.0,48043
48,44,43,9,20.93,7,16.28,1,2.33,0,0.0,0,0.0,1,2.33,1,2.33,1,2.33,5,11.63,5,11.63,5,11.63,48044
48,45,57,8,14.04,6,10.53,2,3.51,1,1.75,1,1.75,1,1.75,1,1.75,3,5.26,10,17.54,9,15.79,8,14.04,48045
48,46,68,10,14.71,11,16.18,5,7.35,5,7.35,5,7.35,1,1.47,1,1.47,1,1.47,6,8.82,5,7.35,6,8.82,48046
48,47,25,5,20.0,6,24.0,1,4.0,1,4.0,1,4.0,0,0.0,0,0.0,0,0.0,2,8.0,2,8.0,2,8.0,48047
48,48,70,15,21.43,13,18.57,1,1.43,2,2.86,1,1.43,3,4.29,3,4.29,3,4.29,6,8.57,4,5.71,4,5.71,48048
48,49,21,8,38.1,6,28.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48049
48,50,70,8,11.43,7,10.0,5,7.14,5,7.14,5,7.14,2,2.86,3,4.29,3,4.29,8,11.43,8,11.43,8,11.43,48050
48,51,63,8,12.7,8,12.7,5,7.94,6,9.52,3,4.76,2,3.17,1,1.59,1,1.59,8,12.7,7,11.11,7,11.11,48051
48,52,34,5,14.71,5,14.71,3,8.82,3,8.82,4,11.76,1,2.94,1,2.94,1,2.94,2,5.88,2,5.88,2,5.88,48052
49,1,12,3,25.0,3,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,1,8.33,1,8.33,49001
49,2,84,18,21.43,17,20.24,1,1.19,2,2.38,3,3.57,1,1.19,0,0.0,0,0.0,8,9.52,8,9.52,6,7.14,49002
49,3,19,2,10.53,2,10.53,3,15.79,4,21.05,3,15.79,0,0.0,0,0.0,0,0.0,1,5.26,1,5.26,1,5.26,49003
49,4,21,5,23.81,5,23.81,1,4.76,1,4.76,1,4.76,0,0.0,0,0.0,0,0.0,1,4.76,1,4.76,1,4.76,49004
49,5,33,3,9.09,3,9.09,0,0.0,0,0.0,1,3.03,1,3.03,1,3.03,1,3.03,7,21.21,6,18.18,6,18.18,49005
49,6,43,7,16.28,8,18.6,4,9.3,4,9.3,3,6.98,0,0.0,0,0.0,0,0.0,3,6.98,3,6.98,3,6.98,49006
49,7,86,9,10.47,6,6.98,8,9.3,8,9.3,8,9.3,4,4.65,2,2.33,2,2.33,11,12.79,11,12.79,10,11.63,49007
49,8,63,4,6.35,5,7.94,2,3.17,2,3.17,3,4.76,3,4.76,2,3.17,2,3.17,12,19.05,11,17.46,13,20.63,49008
49,9,45,7,15.56,7,15.56,4,8.89,5,11.11,4,8.89,0,0.0,0,0.0,0,0.0,5,11.11,3,6.67,3,6.67,49009
49,10,68,9,13.24,11,16.18,1,1.47,1,1.47,1,1.47,2,2.94,2,2.94,2,2.94,10,14.71,10,14.71,9,13.24,49010
49,11,45,6,13.33,5,11.11,4,8.89,5,11.11,4,8.89,3,6.67,2,4.44,2,4.44,4,8.89,3,6.67,2,4.44,49011
49,12,58,7,12.07,6,10.34,5,8.62,5,8.62,5,8.62,3,5.17,3,5.17,2,3.45,5,8.62,6,10.34,5,8.62,49012
49,13,73,4,5.48,4,5.48,2,2.74,3,4.11,2,2.74,4,5.48,4,5.48,4,5.48,14,19.18,14,19.18,14,19.18,49013
49,14,86,8,9.3,8,9.3,2,2.33,3,3.49,2,2.33,12,13.95,11,12.79,8,9.3,9,10.47,8,9.3,7,8.14,49014
49,15,35,3,8.57,3,8.57,5,14.29,6,17.14,6,17.14,3,8.57,2,5.71,1,2.86,1,2.86,1,2.86,1,2.86,49015
49,16,80,14,17.5,12,15.0,5,6.25,7,8.75,4,5.0,4,5.0,3,3.75,4,5.0,7,8.75,3,3.75,4,5.0,49016
49,17,24,4,16.67,4,16.67,4,16.67,4,16.67,4,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,49017
49,18,45,7,15.56,6,13.33,4,8.89,4,8.89,3,6.67,0,0.0,2,4.44,0,0.0,4,8.89,4,8.89,4,8.89,49018
49,19,29,2,6.9,3,10.34,3,10.34,3,10.34,1,3.45,1,3.45,0,0.0,0,0.0,5,17.24,4,13.79,4,13.79,49019
49,20,80,12,15.0,16,20.0,3,3.75,4,5.0,2,2.5,7,8.75,6,7.5,6,7.5,4,5.0,2,2.5,2,2.5,49020
49,21,44,4,9.09,5,11.36,3,6.82,3,6.82,3,6.82,1,2.27,1,2.27,1,2.27,6,13.64,6,13.64,6,13.64,49021
49,22,28,5,17.86,5,17.86,3,10.71,1,3.57,1,3.57,1,3.57,0,0.0,0,0.0,2,7.14,3,10.71,3,10.71,49022
49,23,15,2,13.33,2,13.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.67,3,20.0,2,13.33,3,20.0,49023
49,24,73,12,16.44,11,15.07,3,4.11,3,4.11,3,4.11,1,1.37,0,0.0,0,0.0,10,13.7,11,15.07,9,12.33,49024
49,25,50,3,6.0,3,6.0,4,8.0,4,8.0,4,8.0,1,2.0,1,2.0,1,2.0,9,18.0,8,16.0,9,18.0,49025
49,26,116,16,13.79,20,17.24,6,5.17,6,5.17,4,3.45,7,6.03,5,4.31,8,6.9,7,6.03,8,6.9,7,6.03,49026
49,27,33,4,12.12,4,12.12,2,6.06,1,3.03,1,3.03,3,9.09,2,6.06,1,3.03,3,9.09,2,6.06,2,6.06,49027
49,28,59,14,23.73,12,20.34,2,3.39,2,3.39,2,3.39,2,3.39,1,1.69,1,1.69,3,5.08,3,5.08,4,6.78,49028
49,29,78,10,12.82,10,12.82,5,6.41,6,7.69,4,5.13,4,5.13,2,2.56,2,2.56,9,11.54,8,10.26,9,11.54,49029
49,30,46,8,17.39,7,15.22,4,8.7,4,8.7,4,8.7,0,0.0,0,0.0,0,0.0,4,8.7,4,8.7,5,10.87,49030
49,31,49,8,16.33,8,16.33,7,14.29,6,12.24,6,12.24,1,2.04,1,2.04,2,4.08,1,2.04,0,0.0,1,2.04,49031
49,32,27,4,14.81,2,7.41,3,11.11,3,11.11,3,11.11,0,0.0,0,0.0,0,0.0,4,14.81,4,14.81,2,7.41,49032
49,33,61,5,8.2,5,8.2,3,4.92,4,6.56,2,3.28,2,3.28,2,3.28,1,1.64,11,18.03,11,18.03,10,16.39,49033
