ward,precinct,total,Cheryl A. Frauen (Romney),Cheryl A. Frauen (Romney) Percent,Stephen Jaye (Paul),Stephen Jaye (Paul) Percent,Victoria Ledesma (Paul),Victoria Ledesma (Paul) Percent,Jay Reyes (Gingrich),Jay Reyes (Gingrich) Percent,Eric R. Sawchuk (Gingrich),Eric R. Sawchuk (Gingrich) Percent,precinct_id
12,12,6,1,16.67,2,33.33,0,0.0,2,33.33,0,0.0,12012
12,13,26,5,19.23,3,11.54,4,15.38,6,23.08,4,15.38,12013
12,14,16,1,6.25,5,31.25,5,31.25,2,12.5,1,6.25,12014
12,15,5,2,40.0,0,0.0,0,0.0,2,40.0,0,0.0,12015
12,16,11,1,9.09,1,9.09,2,18.18,4,36.36,2,18.18,12016
12,19,21,3,14.29,2,9.52,3,14.29,2,9.52,3,14.29,12019
12,20,19,3,15.79,2,10.53,3,15.79,5,26.32,3,15.79,12020
12,21,21,1,4.76,6,28.57,6,28.57,5,23.81,2,9.52,12021
12,22,5,0,0.0,0,0.0,1,20.0,2,40.0,1,20.0,12022
12,23,12,1,8.33,4,33.33,4,33.33,0,0.0,0,0.0,12023
12,24,15,5,33.33,1,6.67,0,0.0,2,13.33,1,6.67,12024
14,2,52,10,19.23,6,11.54,7,13.46,12,23.08,6,11.54,14002
14,3,7,1,14.29,2,28.57,0,0.0,2,28.57,1,14.29,14003
14,4,16,5,31.25,2,12.5,2,12.5,2,12.5,1,6.25,14004
14,5,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,14005
14,6,4,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,14006
14,7,9,3,33.33,2,22.22,2,22.22,0,0.0,0,0.0,14007
14,8,13,4,30.77,0,0.0,1,7.69,2,15.38,2,15.38,14008
14,9,16,5,31.25,1,6.25,2,12.5,1,6.25,0,0.0,14009
14,10,24,5,20.83,5,20.83,6,25.0,1,4.17,1,4.17,14010
14,11,7,3,42.86,1,14.29,1,14.29,0,0.0,0,0.0,14011
14,12,14,0,0.0,4,28.57,3,21.43,3,21.43,3,21.43,14012
14,13,25,6,24.0,4,16.0,5,20.0,3,12.0,1,4.0,14013
14,14,8,0,0.0,2,25.0,3,37.5,1,12.5,1,12.5,14014
14,15,12,1,8.33,2,16.67,3,25.0,3,25.0,1,8.33,14015
14,16,16,4,25.0,2,12.5,0,0.0,5,31.25,2,12.5,14016
14,17,13,1,7.69,2,15.38,2,15.38,3,23.08,3,23.08,14017
14,18,14,2,14.29,1,7.14,1,7.14,3,21.43,2,14.29,14018
14,19,10,2,20.0,0,0.0,0,0.0,2,20.0,2,20.0,14019
14,20,16,4,25.0,0,0.0,0,0.0,4,25.0,3,18.75,14020
14,22,25,9,36.0,1,4.0,4,16.0,2,8.0,1,4.0,14022
14,23,25,4,16.0,7,28.0,5,20.0,3,12.0,0,0.0,14023
14,24,9,3,33.33,1,11.11,0,0.0,3,33.33,1,11.11,14024
14,25,6,0,0.0,0,0.0,2,33.33,2,33.33,1,16.67,14025
14,27,34,6,17.65,8,23.53,6,17.65,2,5.88,5,14.71,14027
14,28,11,2,18.18,1,9.09,1,9.09,3,27.27,2,18.18,14028
14,30,8,2,25.0,1,12.5,2,25.0,0,0.0,0,0.0,14030
14,31,7,4,57.14,0,0.0,0,0.0,0,0.0,0,0.0,14031
22,1,4,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,22001
22,2,11,0,0.0,1,9.09,1,9.09,4,36.36,3,27.27,22002
22,3,24,6,25.0,1,4.17,3,12.5,3,12.5,4,16.67,22003
22,4,17,8,47.06,0,0.0,2,11.76,1,5.88,0,0.0,22004
22,5,11,2,18.18,4,36.36,3,27.27,0,0.0,0,0.0,22005
22,6,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22006
22,8,5,0,0.0,1,20.0,2,40.0,2,40.0,0,0.0,22008
22,9,8,4,50.0,0,0.0,1,12.5,1,12.5,0,0.0,22009
22,10,5,0,0.0,1,20.0,2,40.0,1,20.0,1,20.0,22010
22,11,3,0,0.0,0,0.0,0,0.0,2,66.67,1,33.33,22011
22,12,8,2,25.0,0,0.0,2,25.0,0,0.0,1,12.5,22012
22,13,7,1,14.29,1,14.29,2,28.57,0,0.0,0,0.0,22013
22,15,5,1,20.0,0,0.0,0,0.0,1,20.0,0,0.0,22015
22,16,15,2,13.33,1,6.67,1,6.67,4,26.67,3,20.0,22016
22,17,13,0,0.0,4,30.77,5,38.46,2,15.38,0,0.0,22017
22,18,6,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,22018
22,20,6,1,16.67,2,33.33,0,0.0,2,33.33,1,16.67,22020
22,22,7,1,14.29,2,28.57,1,14.29,2,28.57,1,14.29,22022
22,23,11,1,9.09,2,18.18,4,36.36,2,18.18,1,9.09,22023
22,24,3,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,22024
22,25,5,0,0.0,2,40.0,2,40.0,1,20.0,0,0.0,22025
22,26,13,3,23.08,3,23.08,5,38.46,2,15.38,0,0.0,22026
22,27,5,1,20.0,1,20.0,2,40.0,1,20.0,0,0.0,22027
22,28,7,2,28.57,0,0.0,1,14.29,0,0.0,0,0.0,22028
23,9,16,5,31.25,2,12.5,1,6.25,1,6.25,2,12.5,23009
23,24,18,5,27.78,1,5.56,2,11.11,2,11.11,2,11.11,23024
23,29,11,2,18.18,3,27.27,5,45.45,0,0.0,0,0.0,23029
24,33,10,1,10.0,3,30.0,2,20.0,2,20.0,0,0.0,24033
25,1,26,5,19.23,2,7.69,1,3.85,6,23.08,5,19.23,25001
25,2,20,6,30.0,2,10.0,2,10.0,3,15.0,2,10.0,25002
25,5,18,5,27.78,1,5.56,3,16.67,3,16.67,2,11.11,25005
25,6,15,2,13.33,2,13.33,4,26.67,2,13.33,2,13.33,25006
25,7,17,2,11.76,2,11.76,5,29.41,3,17.65,2,11.76,25007
25,8,14,3,21.43,1,7.14,2,14.29,1,7.14,1,7.14,25008
25,9,19,6,31.58,2,10.53,3,15.79,1,5.26,2,10.53,25009
25,11,17,3,17.65,2,11.76,2,11.76,6,35.29,3,17.65,25011
25,12,25,4,16.0,3,12.0,4,16.0,2,8.0,5,20.0,25012
25,13,6,1,16.67,1,16.67,2,33.33,1,16.67,0,0.0,25013
25,15,16,4,25.0,0,0.0,2,12.5,3,18.75,1,6.25,25015
25,17,31,4,12.9,6,19.35,4,12.9,6,19.35,5,16.13,25017
25,19,13,2,15.38,2,15.38,4,30.77,0,0.0,2,15.38,25019
25,20,7,3,42.86,1,14.29,1,14.29,0,0.0,0,0.0,25020
25,22,10,3,30.0,0,0.0,0,0.0,2,20.0,1,10.0,25022
25,23,14,1,7.14,5,35.71,4,28.57,3,21.43,1,7.14,25023
25,24,17,4,23.53,1,5.88,1,5.88,4,23.53,1,5.88,25024
25,26,15,3,20.0,2,13.33,2,13.33,4,26.67,3,20.0,25026
25,30,10,2,20.0,2,20.0,1,10.0,1,10.0,1,10.0,25030
26,2,12,4,33.33,0,0.0,1,8.33,2,16.67,2,16.67,26002
26,3,8,1,12.5,2,25.0,2,25.0,1,12.5,1,12.5,26003
26,4,8,2,25.0,1,12.5,1,12.5,1,12.5,1,12.5,26004
26,5,17,5,29.41,2,11.76,1,5.88,1,5.88,1,5.88,26005
26,6,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,26006
26,8,15,6,40.0,0,0.0,2,13.33,1,6.67,0,0.0,26008
26,9,12,2,16.67,1,8.33,3,25.0,3,25.0,2,16.67,26009
26,10,2,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,26010
26,11,11,0,0.0,2,18.18,1,9.09,4,36.36,3,27.27,26011
26,12,8,3,37.5,0,0.0,0,0.0,1,12.5,1,12.5,26012
26,13,39,11,28.21,6,15.38,8,20.51,0,0.0,1,2.56,26013
26,14,3,0,0.0,1,33.33,0,0.0,2,66.67,0,0.0,26014
26,15,8,1,12.5,1,12.5,2,25.0,1,12.5,1,12.5,26015
26,16,4,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,26016
26,18,18,5,27.78,3,16.67,2,11.11,3,16.67,2,11.11,26018
26,19,11,1,9.09,3,27.27,3,27.27,1,9.09,1,9.09,26019
26,20,18,5,27.78,2,11.11,0,0.0,5,27.78,2,11.11,26020
26,22,12,3,25.0,3,25.0,4,33.33,0,0.0,0,0.0,26022
26,23,7,0,0.0,3,42.86,3,42.86,1,14.29,0,0.0,26023
26,24,4,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0,26024
26,25,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,26025
26,26,6,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,26026
26,27,16,2,12.5,1,6.25,2,12.5,5,31.25,3,18.75,26027
26,29,7,2,28.57,1,14.29,1,14.29,1,14.29,0,0.0,26029
26,30,13,0,0.0,6,46.15,5,38.46,1,7.69,0,0.0,26030
26,31,15,4,26.67,0,0.0,1,6.67,3,20.0,1,6.67,26031
26,34,30,8,26.67,5,16.67,5,16.67,3,10.0,2,6.67,26034
26,35,3,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,26035
26,36,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26036
26,37,12,2,16.67,2,16.67,4,33.33,1,8.33,0,0.0,26037
26,38,9,2,22.22,2,22.22,2,22.22,2,22.22,1,11.11,26038
26,39,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,26039
26,40,4,1,25.0,0,0.0,0,0.0,1,25.0,2,50.0,26040
26,41,6,2,33.33,0,0.0,0,0.0,2,33.33,0,0.0,26041
26,42,6,2,33.33,1,16.67,1,16.67,0,0.0,0,0.0,26042
26,43,12,2,16.67,2,16.67,3,25.0,1,8.33,2,16.67,26043
26,45,6,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,26045
26,47,10,3,30.0,1,10.0,0,0.0,3,30.0,0,0.0,26047
26,49,4,1,25.0,1,25.0,0,0.0,1,25.0,0,0.0,26049
26,50,22,3,13.64,4,18.18,3,13.64,3,13.64,3,13.64,26050
26,51,12,5,41.67,0,0.0,0,0.0,2,16.67,1,8.33,26051
26,52,6,3,50.0,0,0.0,1,16.67,0,0.0,0,0.0,26052
26,53,9,1,11.11,3,33.33,2,22.22,1,11.11,0,0.0,26053
28,29,11,2,18.18,0,0.0,2,18.18,1,9.09,2,18.18,28029
28,34,3,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,28034
29,2,23,8,34.78,1,4.35,1,4.35,3,13.04,3,13.04,29002
29,6,5,1,20.0,0,0.0,1,20.0,2,40.0,0,0.0,29006
29,9,48,13,27.08,2,4.17,3,6.25,9,18.75,6,12.5,29009
29,30,14,4,28.57,1,7.14,3,21.43,0,0.0,1,7.14,29030
29,32,17,6,35.29,2,11.76,1,5.88,2,11.76,0,0.0,29032
29,39,10,1,10.0,3,30.0,2,20.0,1,10.0,0,0.0,29039
30,2,26,4,15.38,2,7.69,4,15.38,6,23.08,5,19.23,30002
30,3,29,3,10.34,8,27.59,8,27.59,4,13.79,1,3.45,30003
30,4,20,6,30.0,1,5.0,5,25.0,1,5.0,1,5.0,30004
30,5,11,2,18.18,1,9.09,1,9.09,2,18.18,1,9.09,30005
30,6,36,11,30.56,5,13.89,6,16.67,2,5.56,0,0.0,30006
30,7,21,4,19.05,4,19.05,5,23.81,1,4.76,1,4.76,30007
30,8,83,24,28.92,11,13.25,10,12.05,9,10.84,6,7.23,30008
30,9,11,1,9.09,1,9.09,1,9.09,4,36.36,3,27.27,30009
30,10,24,6,25.0,4,16.67,4,16.67,0,0.0,0,0.0,30010
30,11,7,2,28.57,1,14.29,1,14.29,2,28.57,0,0.0,30011
30,12,49,9,18.37,10,20.41,7,14.29,7,14.29,5,10.2,30012
30,13,59,19,32.2,4,6.78,7,11.86,8,13.56,6,10.17,30013
30,14,47,12,25.53,8,17.02,5,10.64,1,2.13,4,8.51,30014
30,15,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,30015
30,16,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,30016
30,17,39,10,25.64,6,15.38,11,28.21,4,10.26,2,5.13,30017
30,18,59,13,22.03,11,18.64,7,11.86,8,13.56,9,15.25,30018
30,19,15,5,33.33,0,0.0,2,13.33,2,13.33,2,13.33,30019
30,20,6,1,16.67,0,0.0,2,33.33,1,16.67,0,0.0,30020
30,21,16,4,25.0,1,6.25,2,12.5,1,6.25,3,18.75,30021
30,22,11,2,18.18,2,18.18,2,18.18,2,18.18,2,18.18,30022
30,23,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,30023
30,24,11,2,18.18,0,0.0,2,18.18,4,36.36,1,9.09,30024
30,25,24,7,29.17,2,8.33,5,20.83,1,4.17,1,4.17,30025
30,26,9,3,33.33,0,0.0,2,22.22,1,11.11,0,0.0,30026
30,27,14,4,28.57,1,7.14,0,0.0,2,14.29,1,7.14,30027
30,28,32,4,12.5,4,12.5,6,18.75,3,9.38,7,21.88,30028
30,29,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,30029
30,30,15,3,20.0,2,13.33,3,20.0,0,0.0,0,0.0,30030
30,31,7,3,42.86,1,14.29,1,14.29,0,0.0,0,0.0,30031
31,1,6,2,33.33,0,0.0,2,33.33,1,16.67,0,0.0,31001
31,2,19,7,36.84,0,0.0,1,5.26,1,5.26,1,5.26,31002
31,3,20,2,10.0,3,15.0,5,25.0,3,15.0,3,15.0,31003
31,4,12,3,25.0,3,25.0,3,25.0,0,0.0,1,8.33,31004
31,5,19,5,26.32,3,15.79,2,10.53,5,26.32,0,0.0,31005
31,6,11,1,9.09,0,0.0,2,18.18,4,36.36,2,18.18,31006
31,7,9,4,44.44,0,0.0,2,22.22,0,0.0,0,0.0,31007
31,8,9,2,22.22,1,11.11,3,33.33,1,11.11,1,11.11,31008
31,9,9,3,33.33,1,11.11,2,22.22,1,11.11,0,0.0,31009
31,10,16,5,31.25,3,18.75,3,18.75,1,6.25,0,0.0,31010
31,11,24,7,29.17,3,12.5,1,4.17,4,16.67,4,16.67,31011
31,12,17,2,11.76,4,23.53,4,23.53,2,11.76,4,23.53,31012
31,13,16,3,18.75,2,12.5,4,25.0,1,6.25,1,6.25,31013
31,14,17,6,35.29,0,0.0,1,5.88,1,5.88,1,5.88,31014
31,15,13,4,30.77,2,15.38,2,15.38,1,7.69,0,0.0,31015
31,16,30,4,13.33,8,26.67,7,23.33,4,13.33,4,13.33,31016
31,17,13,2,15.38,2,15.38,4,30.77,1,7.69,1,7.69,31017
31,18,2,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,31018
31,19,10,4,40.0,1,10.0,0,0.0,1,10.0,0,0.0,31019
31,20,9,2,22.22,0,0.0,1,11.11,2,22.22,2,22.22,31020
31,21,7,3,42.86,1,14.29,0,0.0,0,0.0,0,0.0,31021
31,22,8,2,25.0,1,12.5,1,12.5,0,0.0,0,0.0,31022
31,23,6,1,16.67,0,0.0,1,16.67,2,33.33,1,16.67,31023
31,24,9,2,22.22,0,0.0,0,0.0,3,33.33,2,22.22,31024
31,25,5,1,20.0,0,0.0,0,0.0,1,20.0,1,20.0,31025
31,26,13,4,30.77,1,7.69,2,15.38,1,7.69,1,7.69,31026
31,27,4,0,0.0,0,0.0,0,0.0,2,50.0,2,50.0,31027
31,28,11,3,27.27,0,0.0,0,0.0,3,27.27,1,9.09,31028
31,29,19,2,10.53,0,0.0,1,5.26,7,36.84,4,21.05,31029
31,30,18,4,22.22,1,5.56,3,16.67,3,16.67,1,5.56,31030
31,31,23,2,8.7,3,13.04,3,13.04,7,30.43,5,21.74,31031
31,32,26,5,19.23,3,11.54,5,19.23,5,19.23,2,7.69,31032
31,33,21,5,23.81,2,9.52,3,14.29,3,14.29,2,9.52,31033
31,34,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,31034
31,35,9,3,33.33,1,11.11,2,22.22,1,11.11,0,0.0,31035
31,36,13,0,0.0,2,15.38,4,30.77,4,30.77,2,15.38,31036
31,37,15,7,46.67,0,0.0,0,0.0,1,6.67,1,6.67,31037
31,38,7,1,14.29,2,28.57,2,28.57,1,14.29,0,0.0,31038
31,39,2,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,31039
31,40,51,14,27.45,3,5.88,6,11.76,7,13.73,5,9.8,31040
31,41,6,2,33.33,0,0.0,0,0.0,2,33.33,0,0.0,31041
31,42,10,3,30.0,2,20.0,0,0.0,2,20.0,1,10.0,31042
31,43,26,4,15.38,5,19.23,6,23.08,3,11.54,2,7.69,31043
31,44,4,2,50.0,0,0.0,0,0.0,1,25.0,1,25.0,31044
31,45,9,0,0.0,3,33.33,3,33.33,1,11.11,2,22.22,31045
31,46,10,3,30.0,1,10.0,2,20.0,0,0.0,0,0.0,31046
31,47,15,6,40.0,0,0.0,1,6.67,0,0.0,2,13.33,31047
33,1,31,5,16.13,5,16.13,7,22.58,5,16.13,6,19.35,33001
33,2,53,21,39.62,5,9.43,3,5.66,4,7.55,4,7.55,33002
33,3,36,8,22.22,7,19.44,5,13.89,4,11.11,6,16.67,33003
33,4,59,14,23.73,11,18.64,10,16.95,6,10.17,5,8.47,33004
33,5,28,7,25.0,5,17.86,4,14.29,0,0.0,1,3.57,33005
33,6,39,9,23.08,8,20.51,6,15.38,1,2.56,0,0.0,33006
33,8,30,11,36.67,2,6.67,4,13.33,2,6.67,2,6.67,33008
33,9,52,13,25.0,9,17.31,9,17.31,3,5.77,5,9.62,33009
33,10,55,18,32.73,4,7.27,5,9.09,7,12.73,6,10.91,33010
33,11,44,13,29.55,8,18.18,7,15.91,4,9.09,2,4.55,33011
33,12,49,7,14.29,9,18.37,9,18.37,6,12.24,7,14.29,33012
33,13,18,3,16.67,3,16.67,3,16.67,3,16.67,2,11.11,33013
33,15,38,7,18.42,5,13.16,9,23.68,6,15.79,4,10.53,33015
33,16,21,9,42.86,1,4.76,1,4.76,1,4.76,1,4.76,33016
33,17,71,18,25.35,9,12.68,6,8.45,11,15.49,11,15.49,33017
33,19,31,10,32.26,4,12.9,3,9.68,3,9.68,3,9.68,33019
33,20,36,6,16.67,8,22.22,7,19.44,2,5.56,4,11.11,33020
33,21,40,11,27.5,8,20.0,7,17.5,1,2.5,1,2.5,33021
33,22,41,11,26.83,3,7.32,5,12.2,5,12.2,5,12.2,33022
33,23,48,11,22.92,8,16.67,10,20.83,6,12.5,5,10.42,33023
33,25,39,9,23.08,10,25.64,9,23.08,2,5.13,1,2.56,33025
33,26,41,10,24.39,7,17.07,8,19.51,3,7.32,2,4.88,33026
33,27,27,6,22.22,4,14.81,5,18.52,2,7.41,3,11.11,33027
35,1,38,8,21.05,4,10.53,6,15.79,6,15.79,2,5.26,35001
35,2,27,7,25.93,3,11.11,4,14.81,4,14.81,3,11.11,35002
35,3,29,6,20.69,7,24.14,7,24.14,0,0.0,3,10.34,35003
35,4,48,13,27.08,10,20.83,9,18.75,2,4.17,0,0.0,35004
35,5,36,9,25.0,7,19.44,7,19.44,3,8.33,1,2.78,35005
35,6,49,12,24.49,7,14.29,7,14.29,7,14.29,7,14.29,35006
35,7,54,14,25.93,5,9.26,6,11.11,7,12.96,5,9.26,35007
35,8,29,10,34.48,2,6.9,3,10.34,1,3.45,0,0.0,35008
35,9,30,8,26.67,5,16.67,8,26.67,2,6.67,1,3.33,35009
35,10,20,7,35.0,3,15.0,3,15.0,0,0.0,1,5.0,35010
35,11,31,4,12.9,7,22.58,9,29.03,3,9.68,2,6.45,35011
35,12,32,9,28.13,5,15.63,4,12.5,2,6.25,3,9.38,35012
35,13,16,4,25.0,2,12.5,0,0.0,3,18.75,4,25.0,35013
35,14,26,9,34.62,1,3.85,4,15.38,3,11.54,2,7.69,35014
35,15,41,10,24.39,8,19.51,9,21.95,3,7.32,2,4.88,35015
35,16,17,6,35.29,2,11.76,2,11.76,0,0.0,0,0.0,35016
35,17,23,7,30.43,2,8.7,6,26.09,1,4.35,1,4.35,35017
35,18,38,7,18.42,9,23.68,8,21.05,5,13.16,3,7.89,35018
35,19,19,2,10.53,4,21.05,4,21.05,4,21.05,2,10.53,35019
35,20,18,5,27.78,1,5.56,1,5.56,2,11.11,1,5.56,35020
35,21,18,2,11.11,4,22.22,3,16.67,3,16.67,2,11.11,35021
35,22,9,3,33.33,0,0.0,1,11.11,1,11.11,1,11.11,35022
35,23,8,4,50.0,0,0.0,0,0.0,0,0.0,1,12.5,35023
35,24,14,3,21.43,2,14.29,4,28.57,2,14.29,1,7.14,35024
35,25,49,12,24.49,10,20.41,10,20.41,2,4.08,2,4.08,35025
35,26,48,10,20.83,9,18.75,10,20.83,4,8.33,3,6.25,35026
35,27,53,9,16.98,8,15.09,8,15.09,9,16.98,8,15.09,35027
35,28,32,8,25.0,5,15.63,6,18.75,2,6.25,1,3.13,35028
35,29,53,16,30.19,8,15.09,8,15.09,4,7.55,5,9.43,35029
35,30,32,10,31.25,4,12.5,5,15.63,0,0.0,1,3.13,35030
35,31,18,5,27.78,3,16.67,4,22.22,0,0.0,2,11.11,35031
35,32,8,2,25.0,0,0.0,2,25.0,1,12.5,1,12.5,35032
35,33,32,7,21.88,5,15.63,7,21.88,3,9.38,3,9.38,35033
35,34,42,12,28.57,6,14.29,7,16.67,3,7.14,3,7.14,35034
35,35,19,3,15.79,5,26.32,4,21.05,3,15.79,1,5.26,35035
35,36,17,3,17.65,4,23.53,6,35.29,1,5.88,1,5.88,35036
36,1,31,9,29.03,2,6.45,3,9.68,4,12.9,3,9.68,36001
36,2,32,8,25.0,2,6.25,4,12.5,3,9.38,5,15.63,36002
36,3,34,10,29.41,3,8.82,5,14.71,4,11.76,1,2.94,36003
36,4,14,2,14.29,1,7.14,0,0.0,5,35.71,4,28.57,36004
36,10,28,9,32.14,3,10.71,4,14.29,3,10.71,1,3.57,36010
36,14,47,13,27.66,3,6.38,5,10.64,7,14.89,7,14.89,36014
36,15,29,8,27.59,1,3.45,3,10.34,4,13.79,4,13.79,36015
36,16,5,1,20.0,1,20.0,2,40.0,0,0.0,0,0.0,36016
36,19,34,5,14.71,4,11.76,6,17.65,5,14.71,7,20.59,36019
36,22,65,13,20.0,10,15.38,8,12.31,12,18.46,9,13.85,36022
36,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36023
36,45,9,3,33.33,1,11.11,1,11.11,1,11.11,0,0.0,36045
36,47,27,7,25.93,4,14.81,3,11.11,4,14.81,3,11.11,36047
36,51,24,9,37.5,3,12.5,0,0.0,3,12.5,0,0.0,36051
37,1,6,1,16.67,2,33.33,1,16.67,0,0.0,1,16.67,37001
37,11,8,4,50.0,0,0.0,0,0.0,1,12.5,0,0.0,37011
37,19,10,3,30.0,1,10.0,2,20.0,0,0.0,0,0.0,37019
37,39,26,7,26.92,6,23.08,6,23.08,4,15.38,2,7.69,37039
38,1,69,19,27.54,11,15.94,7,10.14,5,7.25,5,7.25,38001
38,2,37,6,16.22,6,16.22,7,18.92,6,16.22,7,18.92,38002
38,4,49,16,32.65,6,12.24,4,8.16,3,6.12,4,8.16,38004
38,6,31,9,29.03,6,19.35,5,16.13,1,3.23,4,12.9,38006
38,24,34,8,23.53,6,17.65,5,14.71,3,8.82,3,8.82,38024
38,30,28,6,21.43,3,10.71,2,7.14,6,21.43,4,14.29,38030
38,31,39,8,20.51,6,15.38,6,15.38,3,7.69,5,12.82,38031
38,35,57,15,26.32,6,10.53,6,10.53,11,19.3,6,10.53,38035
38,37,43,10,23.26,9,20.93,5,11.63,2,4.65,7,16.28,38037
38,39,43,11,25.58,4,9.3,3,6.98,7,16.28,7,16.28,38039
38,41,78,26,33.33,9,11.54,12,15.38,2,2.56,2,2.56,38041
39,12,21,3,14.29,2,9.52,3,14.29,4,19.05,4,19.05,39012
39,13,32,4,12.5,4,12.5,6,18.75,8,25.0,7,21.88,39013
39,21,5,1,20.0,1,20.0,1,20.0,1,20.0,0,0.0,39021
39,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,39022
39,23,7,3,42.86,1,14.29,0,0.0,0,0.0,0,0.0,39023
39,24,16,4,25.0,4,25.0,3,18.75,1,6.25,0,0.0,39024
39,28,73,19,26.03,11,15.07,10,13.7,8,10.96,6,8.22,39028
39,30,36,11,30.56,4,11.11,3,8.33,4,11.11,4,11.11,39030
39,31,28,7,25.0,2,7.14,1,3.57,4,14.29,5,17.86,39031
45,1,44,11,25.0,6,13.64,6,13.64,6,13.64,4,9.09,45001
45,16,51,15,29.41,6,11.76,7,13.73,3,5.88,3,5.88,45016
45,28,45,16,35.56,6,13.33,5,11.11,2,4.44,1,2.22,45028
