ward,precinct,total,Dan Dixon (Romney),Dan Dixon (Romney) Percent,George Offord (Romney),George Offord (Romney) Percent,Brian Reaves (Romney),Brian Reaves (Romney) Percent,Josh Marszalik (Paul),Josh Marszalik (Paul) Percent,John Ciesar (Paul),John Ciesar (Paul) Percent,Vivienne Porter (Gingrich),Vivienne Porter (Gingrich) Percent,Julie Ann Craig (Gingrich),Julie Ann Craig (Gingrich) Percent,Thomas Fuchsgruber (Gingrich),Thomas Fuchsgruber (Gingrich) Percent,Dean Mann (Santorum),Dean Mann (Santorum) Percent,Jacqueline Grabowski (Santorum),Jacqueline Grabowski (Santorum) Percent,precinct_id
13,13,25,4,16.0,5,20.0,3,12.0,1,4.0,0,0.0,2,8.0,1,4.0,1,4.0,4,16.0,2,8.0,13013
13,14,50,6,12.0,7,14.0,7,14.0,4,8.0,4,8.0,1,2.0,1,2.0,2,4.0,7,14.0,7,14.0,13014
13,15,56,8,14.29,5,8.93,6,10.71,7,12.5,6,10.71,3,5.36,2,3.57,3,5.36,3,5.36,6,10.71,13015
13,16,31,2,6.45,1,3.23,2,6.45,7,22.58,8,25.81,0,0.0,0,0.0,2,6.45,1,3.23,2,6.45,13016
13,17,73,14,19.18,15,20.55,15,20.55,2,2.74,2,2.74,1,1.37,2,2.74,2,2.74,8,10.96,8,10.96,13017
13,18,31,5,16.13,4,12.9,4,12.9,1,3.23,0,0.0,2,6.45,3,9.68,1,3.23,7,22.58,4,12.9,13018
13,20,39,6,15.38,5,12.82,3,7.69,3,7.69,0,0.0,4,10.26,4,10.26,2,5.13,3,7.69,7,17.95,13020
13,21,9,2,22.22,1,11.11,2,22.22,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,13021
13,22,45,7,15.56,9,20.0,7,15.56,2,4.44,0,0.0,4,8.89,4,8.89,4,8.89,3,6.67,3,6.67,13022
13,23,30,8,26.67,9,30.0,8,26.67,1,3.33,0,0.0,1,3.33,0,0.0,1,3.33,0,0.0,2,6.67,13023
13,24,32,5,15.63,5,15.63,3,9.38,3,9.38,2,6.25,1,3.13,0,0.0,1,3.13,4,12.5,6,18.75,13024
13,25,49,7,14.29,6,12.24,6,12.24,2,4.08,3,6.12,4,8.16,5,10.2,3,6.12,5,10.2,5,10.2,13025
13,26,41,5,12.2,5,12.2,4,9.76,3,7.32,4,9.76,2,4.88,3,7.32,3,7.32,4,9.76,5,12.2,13026
13,27,57,9,15.79,10,17.54,9,15.79,4,7.02,1,1.75,2,3.51,3,5.26,2,3.51,4,7.02,8,14.04,13027
13,28,16,2,12.5,3,18.75,2,12.5,2,12.5,2,12.5,0,0.0,1,6.25,0,0.0,1,6.25,1,6.25,13028
13,29,37,5,13.51,6,16.22,4,10.81,1,2.7,1,2.7,1,2.7,2,5.41,3,8.11,6,16.22,8,21.62,13029
13,30,36,6,16.67,3,8.33,4,11.11,1,2.78,2,5.56,3,8.33,4,11.11,1,2.78,7,19.44,4,11.11,13030
13,31,41,8,19.51,7,17.07,7,17.07,3,7.32,3,7.32,1,2.44,0,0.0,0,0.0,5,12.2,4,9.76,13031
13,32,33,5,15.15,6,18.18,4,12.12,4,12.12,1,3.03,0,0.0,1,3.03,1,3.03,1,3.03,5,15.15,13032
13,33,19,3,15.79,3,15.79,4,21.05,2,10.53,2,10.53,0,0.0,0,0.0,0,0.0,1,5.26,2,10.53,13033
13,34,37,7,18.92,6,16.22,7,18.92,1,2.7,0,0.0,1,2.7,3,8.11,0,0.0,5,13.51,4,10.81,13034
13,35,21,3,14.29,2,9.52,2,9.52,1,4.76,1,4.76,1,4.76,1,4.76,1,4.76,5,23.81,4,19.05,13035
13,36,12,0,0.0,1,8.33,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,3,25.0,3,25.0,13036
13,37,31,6,19.35,5,16.13,4,12.9,1,3.23,1,3.23,2,6.45,2,6.45,1,3.23,5,16.13,2,6.45,13037
13,38,60,10,16.67,12,20.0,11,18.33,6,10.0,5,8.33,1,1.67,1,1.67,1,1.67,5,8.33,4,6.67,13038
13,39,16,4,25.0,4,25.0,2,12.5,1,6.25,1,6.25,1,6.25,1,6.25,0,0.0,0,0.0,1,6.25,13039
