ward,precinct,total,Ellen McIntosh (Romney),Ellen McIntosh (Romney) Percent,Kathleen Lydon (Romney),Kathleen Lydon (Romney) Percent,Ryan Andersen (Paul),Ryan Andersen (Paul) Percent,Forrest Jehlik (Paul),Forrest Jehlik (Paul) Percent,Don Sloan (Gingrich),Don Sloan (Gingrich) Percent,Paul Fuentes (Gingrich),Paul Fuentes (Gingrich) Percent,precinct_id
12,3,19,5,26.32,5,26.32,1,5.26,1,5.26,5,26.32,2,10.53,12003
12,4,9,0,0.0,1,11.11,4,44.44,2,22.22,0,0.0,2,22.22,12004
12,5,13,3,23.08,3,23.08,2,15.38,2,15.38,2,15.38,1,7.69,12005
12,7,14,3,21.43,3,21.43,4,28.57,4,28.57,0,0.0,0,0.0,12007
12,8,26,5,19.23,6,23.08,7,26.92,5,19.23,2,7.69,1,3.85,12008
12,9,4,1,25.0,2,50.0,0,0.0,0,0.0,0,0.0,1,25.0,12009
12,10,12,3,25.0,4,33.33,0,0.0,1,8.33,2,16.67,2,16.67,12010
12,11,20,6,30.0,4,20.0,4,20.0,3,15.0,0,0.0,3,15.0,12011
12,12,8,1,12.5,1,12.5,1,12.5,1,12.5,2,25.0,2,25.0,12012
12,13,26,5,19.23,5,19.23,4,15.38,2,7.69,5,19.23,5,19.23,12013
12,14,17,2,11.76,2,11.76,5,29.41,5,29.41,2,11.76,1,5.88,12014
12,15,5,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,2,40.0,12015
12,16,10,3,30.0,1,10.0,0,0.0,1,10.0,1,10.0,4,40.0,12016
12,19,20,6,30.0,4,20.0,2,10.0,1,5.0,3,15.0,4,20.0,12019
12,20,18,2,11.11,3,16.67,3,16.67,1,5.56,3,16.67,6,33.33,12020
12,21,21,1,4.76,3,14.29,6,28.57,7,33.33,2,9.52,2,9.52,12021
12,22,5,1,20.0,0,0.0,1,20.0,0,0.0,1,20.0,2,40.0,12022
12,23,12,2,16.67,1,8.33,4,33.33,4,33.33,0,0.0,1,8.33,12023
12,24,16,6,37.5,5,31.25,2,12.5,0,0.0,1,6.25,2,12.5,12024
14,2,53,10,18.87,11,20.75,10,18.87,7,13.21,9,16.98,6,11.32,14002
14,3,7,1,14.29,1,14.29,1,14.29,1,14.29,2,28.57,1,14.29,14003
14,4,16,4,25.0,4,25.0,4,25.0,1,6.25,1,6.25,2,12.5,14004
14,5,2,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,14005
14,6,5,2,40.0,2,40.0,0,0.0,1,20.0,0,0.0,0,0.0,14006
14,7,9,2,22.22,3,33.33,2,22.22,2,22.22,0,0.0,0,0.0,14007
14,8,14,4,28.57,5,35.71,0,0.0,1,7.14,2,14.29,2,14.29,14008
14,9,16,6,37.5,5,31.25,4,25.0,0,0.0,0,0.0,1,6.25,14009
14,10,24,6,25.0,5,20.83,6,25.0,5,20.83,1,4.17,1,4.17,14010
14,11,7,2,28.57,2,28.57,1,14.29,1,14.29,1,14.29,0,0.0,14011
14,12,14,0,0.0,0,0.0,3,21.43,4,28.57,3,21.43,4,28.57,14012
14,13,26,7,26.92,7,26.92,7,26.92,4,15.38,0,0.0,1,3.85,14013
14,14,8,0,0.0,1,12.5,2,25.0,2,25.0,2,25.0,1,12.5,14014
14,15,11,1,9.09,1,9.09,3,27.27,2,18.18,1,9.09,3,27.27,14015
14,16,17,5,29.41,6,35.29,2,11.76,0,0.0,2,11.76,2,11.76,14016
14,17,12,2,16.67,2,16.67,2,16.67,2,16.67,2,16.67,2,16.67,14017
14,18,14,4,28.57,6,42.86,0,0.0,1,7.14,2,14.29,1,7.14,14018
14,19,10,3,30.0,3,30.0,0,0.0,0,0.0,2,20.0,2,20.0,14019
14,20,18,4,22.22,2,11.11,4,22.22,0,0.0,4,22.22,4,22.22,14020
14,22,24,11,45.83,6,25.0,3,12.5,0,0.0,1,4.17,3,12.5,14022
14,23,25,6,24.0,6,24.0,6,24.0,4,16.0,1,4.0,2,8.0,14023
14,24,9,2,22.22,3,33.33,1,11.11,0,0.0,0,0.0,3,33.33,14024
14,25,6,1,16.67,0,0.0,2,33.33,0,0.0,1,16.67,2,33.33,14025
14,27,33,8,24.24,8,24.24,9,27.27,5,15.15,2,6.06,1,3.03,14027
14,28,11,3,27.27,2,18.18,1,9.09,1,9.09,2,18.18,2,18.18,14028
14,30,10,3,30.0,3,30.0,3,30.0,1,10.0,0,0.0,0,0.0,14030
14,31,7,3,42.86,4,57.14,0,0.0,0,0.0,0,0.0,0,0.0,14031
22,1,6,3,50.0,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,22001
22,2,11,1,9.09,1,9.09,2,18.18,0,0.0,2,18.18,5,45.45,22002
22,3,23,8,34.78,5,21.74,3,13.04,0,0.0,2,8.7,5,21.74,22003
22,4,17,9,52.94,6,35.29,0,0.0,1,5.88,1,5.88,0,0.0,22004
22,5,11,2,18.18,3,27.27,3,27.27,3,27.27,0,0.0,0,0.0,22005
22,6,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22006
22,8,5,0,0.0,0,0.0,2,40.0,1,20.0,1,20.0,1,20.0,22008
22,9,8,3,37.5,2,25.0,1,12.5,0,0.0,1,12.5,1,12.5,22009
22,10,5,0,0.0,0,0.0,1,20.0,1,20.0,2,40.0,1,20.0,22010
22,11,4,0,0.0,0,0.0,0,0.0,1,25.0,2,50.0,1,25.0,22011
22,12,9,2,22.22,3,33.33,2,22.22,1,11.11,0,0.0,1,11.11,22012
22,13,7,2,28.57,2,28.57,1,14.29,2,28.57,0,0.0,0,0.0,22013
22,15,5,0,0.0,0,0.0,3,60.0,0,0.0,1,20.0,1,20.0,22015
22,16,16,4,25.0,1,6.25,2,12.5,2,12.5,3,18.75,4,25.0,22016
22,17,12,1,8.33,3,25.0,5,41.67,2,16.67,0,0.0,1,8.33,22017
22,18,6,2,33.33,4,66.67,0,0.0,0,0.0,0,0.0,0,0.0,22018
22,20,6,0,0.0,0,0.0,2,33.33,1,16.67,1,16.67,2,33.33,22020
22,22,5,1,20.0,1,20.0,0,0.0,0,0.0,1,20.0,2,40.0,22022
22,23,10,1,10.0,2,20.0,2,20.0,2,20.0,0,0.0,3,30.0,22023
22,24,3,0,0.0,0,0.0,2,66.67,1,33.33,0,0.0,0,0.0,22024
22,25,5,0,0.0,0,0.0,2,40.0,2,40.0,0,0.0,1,20.0,22025
22,26,12,1,8.33,3,25.0,3,25.0,3,25.0,0,0.0,2,16.67,22026
22,27,4,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0,2,50.0,22027
22,28,7,4,57.14,3,42.86,0,0.0,0,0.0,0,0.0,0,0.0,22028
23,9,17,6,35.29,6,35.29,1,5.88,1,5.88,1,5.88,2,11.76,23009
23,24,20,7,35.0,6,30.0,2,10.0,1,5.0,2,10.0,2,10.0,23024
23,29,12,2,16.67,1,8.33,4,33.33,2,16.67,1,8.33,2,16.67,23029
24,33,11,3,27.27,3,27.27,2,18.18,2,18.18,0,0.0,1,9.09,24033
25,1,28,8,28.57,7,25.0,3,10.71,2,7.14,4,14.29,4,14.29,25001
25,2,20,5,25.0,6,30.0,2,10.0,2,10.0,2,10.0,3,15.0,25002
25,5,16,4,25.0,4,25.0,1,6.25,1,6.25,2,12.5,4,25.0,25005
25,6,16,3,18.75,2,12.5,3,18.75,2,12.5,3,18.75,3,18.75,25006
25,7,17,2,11.76,3,17.65,3,17.65,3,17.65,3,17.65,3,17.65,25007
25,8,12,6,50.0,3,25.0,2,16.67,1,8.33,0,0.0,0,0.0,25008
25,9,20,6,30.0,5,25.0,2,10.0,3,15.0,2,10.0,2,10.0,25009
25,11,19,2,10.53,2,10.53,4,21.05,3,15.79,2,10.53,6,31.58,25011
25,12,24,6,25.0,4,16.67,5,20.83,3,12.5,3,12.5,3,12.5,25012
25,13,7,1,14.29,2,28.57,1,14.29,1,14.29,0,0.0,2,28.57,25013
25,15,16,6,37.5,7,43.75,0,0.0,1,6.25,1,6.25,1,6.25,25015
25,17,31,7,22.58,2,6.45,6,19.35,4,12.9,5,16.13,7,22.58,25017
25,19,12,1,8.33,3,25.0,2,16.67,3,25.0,1,8.33,2,16.67,25019
25,20,7,3,42.86,2,28.57,1,14.29,1,14.29,0,0.0,0,0.0,25020
25,22,10,3,30.0,4,40.0,1,10.0,0,0.0,1,10.0,1,10.0,25022
25,23,14,0,0.0,1,7.14,5,35.71,5,35.71,0,0.0,3,21.43,25023
25,24,16,4,25.0,4,25.0,0,0.0,1,6.25,2,12.5,5,31.25,25024
25,26,15,2,13.33,4,26.67,1,6.67,1,6.67,3,20.0,4,26.67,25026
25,30,10,3,30.0,2,20.0,2,20.0,1,10.0,1,10.0,1,10.0,25030
26,2,11,3,27.27,3,27.27,1,9.09,0,0.0,1,9.09,3,27.27,26002
26,3,8,1,12.5,2,25.0,1,12.5,2,25.0,1,12.5,1,12.5,26003
26,4,8,2,25.0,2,25.0,1,12.5,1,12.5,1,12.5,1,12.5,26004
26,5,16,5,31.25,5,31.25,2,12.5,2,12.5,1,6.25,1,6.25,26005
26,6,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,26006
26,8,15,6,40.0,5,33.33,2,13.33,0,0.0,1,6.67,1,6.67,26008
26,9,11,3,27.27,1,9.09,1,9.09,1,9.09,1,9.09,4,36.36,26009
26,10,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,26010
26,11,11,0,0.0,1,9.09,1,9.09,1,9.09,2,18.18,6,54.55,26011
26,12,6,3,50.0,1,16.67,1,16.67,0,0.0,0,0.0,1,16.67,26012
26,13,43,13,30.23,12,27.91,8,18.6,7,16.28,1,2.33,2,4.65,26013
26,14,3,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,1,33.33,26014
26,15,8,2,25.0,2,25.0,1,12.5,1,12.5,1,12.5,1,12.5,26015
26,16,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,26016
26,18,18,3,16.67,4,22.22,2,11.11,1,5.56,3,16.67,5,27.78,26018
26,19,12,1,8.33,2,16.67,4,33.33,3,25.0,1,8.33,1,8.33,26019
26,20,18,4,22.22,5,27.78,1,5.56,1,5.56,2,11.11,5,27.78,26020
26,22,12,2,16.67,3,25.0,3,25.0,4,33.33,0,0.0,0,0.0,26022
26,23,7,0,0.0,0,0.0,3,42.86,3,42.86,0,0.0,1,14.29,26023
26,24,4,0,0.0,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0,26024
26,25,3,1,33.33,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,26025
26,26,6,1,16.67,2,33.33,1,16.67,1,16.67,1,16.67,0,0.0,26026
26,27,17,3,17.65,2,11.76,2,11.76,2,11.76,4,23.53,4,23.53,26027
26,29,7,2,28.57,2,28.57,0,0.0,1,14.29,2,28.57,0,0.0,26029
26,30,15,0,0.0,1,6.67,6,40.0,5,33.33,2,13.33,1,6.67,26030
26,31,12,5,41.67,4,33.33,0,0.0,0,0.0,1,8.33,2,16.67,26031
26,34,30,7,23.33,8,26.67,5,16.67,5,16.67,4,13.33,1,3.33,26034
26,35,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,26035
26,36,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,26036
26,37,11,4,36.36,1,9.09,2,18.18,1,9.09,2,18.18,1,9.09,26037
26,38,9,2,22.22,1,11.11,2,22.22,2,22.22,1,11.11,1,11.11,26038
26,39,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,26039
26,40,4,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,26040
26,41,6,2,33.33,1,16.67,1,16.67,0,0.0,0,0.0,2,33.33,26041
26,42,6,2,33.33,2,33.33,0,0.0,0,0.0,1,16.67,1,16.67,26042
26,43,13,1,7.69,3,23.08,4,30.77,2,15.38,1,7.69,2,15.38,26043
26,45,5,1,20.0,0,0.0,1,20.0,1,20.0,1,20.0,1,20.0,26045
26,47,10,3,30.0,3,30.0,2,20.0,1,10.0,0,0.0,1,10.0,26047
26,49,4,1,25.0,1,25.0,0,0.0,1,25.0,0,0.0,1,25.0,26049
26,50,22,6,27.27,3,13.64,5,22.73,4,18.18,2,9.09,2,9.09,26050
26,51,12,4,33.33,5,41.67,0,0.0,0,0.0,0,0.0,3,25.0,26051
26,52,7,3,42.86,3,42.86,1,14.29,0,0.0,0,0.0,0,0.0,26052
26,53,9,3,33.33,2,22.22,3,33.33,1,11.11,0,0.0,0,0.0,26053
28,29,11,4,36.36,3,27.27,1,9.09,0,0.0,1,9.09,2,18.18,28029
28,34,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,28034
29,2,22,7,31.82,7,31.82,2,9.09,1,4.55,2,9.09,3,13.64,29002
29,6,6,3,50.0,0,0.0,1,16.67,1,16.67,0,0.0,1,16.67,29006
29,9,49,16,32.65,13,26.53,3,6.12,2,4.08,9,18.37,6,12.24,29009
29,30,14,6,42.86,4,28.57,3,21.43,1,7.14,0,0.0,0,0.0,29030
29,32,15,5,33.33,6,40.0,0,0.0,1,6.67,0,0.0,3,20.0,29032
29,39,10,2,20.0,3,30.0,3,30.0,2,20.0,0,0.0,0,0.0,29039
30,2,28,5,17.86,4,14.29,7,25.0,1,3.57,7,25.0,4,14.29,30002
30,3,27,3,11.11,4,14.81,8,29.63,7,25.93,2,7.41,3,11.11,30003
30,4,21,6,28.57,6,28.57,3,14.29,3,14.29,1,4.76,2,9.52,30004
30,5,11,4,36.36,2,18.18,2,18.18,0,0.0,1,9.09,2,18.18,30005
30,6,38,17,44.74,12,31.58,5,13.16,3,7.89,1,2.63,0,0.0,30006
30,7,22,5,22.73,7,31.82,5,22.73,4,18.18,0,0.0,1,4.55,30007
30,8,83,24,28.92,23,27.71,10,12.05,11,13.25,7,8.43,8,9.64,30008
30,9,12,1,8.33,1,8.33,2,16.67,1,8.33,3,25.0,4,33.33,30009
30,10,22,8,36.36,5,22.73,5,22.73,4,18.18,0,0.0,0,0.0,30010
30,11,7,1,14.29,3,42.86,1,14.29,1,14.29,0,0.0,1,14.29,30011
30,12,50,12,24.0,11,22.0,13,26.0,4,8.0,5,10.0,5,10.0,30012
30,13,58,18,31.03,17,29.31,4,6.9,6,10.34,6,10.34,7,12.07,30013
30,14,50,15,30.0,14,28.0,9,18.0,8,16.0,3,6.0,1,2.0,30014
30,15,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,30015
30,16,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,30016
30,17,39,10,25.64,8,20.51,6,15.38,8,20.51,4,10.26,3,7.69,30017
30,18,61,15,24.59,10,16.39,15,24.59,7,11.48,6,9.84,8,13.11,30018
30,19,15,4,26.67,4,26.67,2,13.33,1,6.67,2,13.33,2,13.33,30019
30,20,6,2,33.33,2,33.33,0,0.0,0,0.0,0,0.0,2,33.33,30020
30,21,16,7,43.75,3,18.75,2,12.5,0,0.0,3,18.75,1,6.25,30021
30,22,10,2,20.0,1,10.0,2,20.0,2,20.0,1,10.0,2,20.0,30022
30,23,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,30023
30,24,12,3,25.0,3,25.0,0,0.0,1,8.33,3,25.0,2,16.67,30024
30,25,25,6,24.0,9,36.0,3,12.0,3,12.0,1,4.0,3,12.0,30025
30,26,7,5,71.43,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,30026
30,27,14,5,35.71,4,28.57,1,7.14,1,7.14,1,7.14,2,14.29,30027
30,28,32,8,25.0,7,21.88,5,15.63,3,9.38,5,15.63,4,12.5,30028
30,29,2,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,30029
30,30,16,6,37.5,5,31.25,3,18.75,2,12.5,0,0.0,0,0.0,30030
30,31,7,4,57.14,3,42.86,0,0.0,0,0.0,0,0.0,0,0.0,30031
31,1,6,2,33.33,2,33.33,1,16.67,0,0.0,1,16.67,0,0.0,31001
31,2,19,8,42.11,8,42.11,1,5.26,0,0.0,1,5.26,1,5.26,31002
31,3,19,3,15.79,3,15.79,4,21.05,4,21.05,2,10.53,3,15.79,31003
31,4,15,4,26.67,2,13.33,4,26.67,5,33.33,0,0.0,0,0.0,31004
31,5,18,5,27.78,5,27.78,3,16.67,1,5.56,1,5.56,3,16.67,31005
31,6,11,3,27.27,1,9.09,1,9.09,0,0.0,2,18.18,4,36.36,31006
31,7,9,5,55.56,3,33.33,1,11.11,0,0.0,0,0.0,0,0.0,31007
31,8,9,2,22.22,3,33.33,1,11.11,1,11.11,1,11.11,1,11.11,31008
31,9,8,3,37.5,1,12.5,1,12.5,1,12.5,1,12.5,1,12.5,31009
31,10,19,6,31.58,4,21.05,3,15.79,3,15.79,2,10.53,1,5.26,31010
31,11,24,7,29.17,6,25.0,2,8.33,1,4.17,4,16.67,4,16.67,31011
31,12,17,3,17.65,2,11.76,5,29.41,2,11.76,2,11.76,3,17.65,31012
31,13,17,5,29.41,3,17.65,4,23.53,3,17.65,1,5.88,1,5.88,31013
31,14,17,6,35.29,6,35.29,2,11.76,0,0.0,1,5.88,2,11.76,31014
31,15,12,3,25.0,4,33.33,3,25.0,2,16.67,0,0.0,0,0.0,31015
31,16,30,4,13.33,2,6.67,10,33.33,4,13.33,7,23.33,3,10.0,31016
31,17,14,3,21.43,2,14.29,3,21.43,3,21.43,1,7.14,2,14.29,31017
31,18,4,2,50.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0,31018
31,19,10,3,30.0,4,40.0,0,0.0,1,10.0,1,10.0,1,10.0,31019
31,20,9,2,22.22,3,33.33,0,0.0,0,0.0,2,22.22,2,22.22,31020
31,21,8,4,50.0,3,37.5,1,12.5,0,0.0,0,0.0,0,0.0,31021
31,22,8,2,25.0,3,37.5,2,25.0,1,12.5,0,0.0,0,0.0,31022
31,23,6,1,16.67,1,16.67,0,0.0,0,0.0,1,16.67,3,50.0,31023
31,24,9,2,22.22,2,22.22,1,11.11,0,0.0,2,22.22,2,22.22,31024
31,25,5,1,20.0,0,0.0,1,20.0,0,0.0,1,20.0,2,40.0,31025
31,26,13,4,30.77,3,23.08,3,23.08,0,0.0,2,15.38,1,7.69,31026
31,27,5,0,0.0,1,20.0,0,0.0,0,0.0,2,40.0,2,40.0,31027
31,28,10,4,40.0,3,30.0,1,10.0,0,0.0,1,10.0,1,10.0,31028
31,29,20,3,15.0,4,20.0,1,5.0,1,5.0,5,25.0,6,30.0,31029
31,30,18,5,27.78,3,16.67,2,11.11,1,5.56,3,16.67,4,22.22,31030
31,31,24,3,12.5,2,8.33,4,16.67,3,12.5,6,25.0,6,25.0,31031
31,32,24,6,25.0,7,29.17,5,20.83,2,8.33,2,8.33,2,8.33,31032
31,33,22,6,27.27,6,27.27,3,13.64,2,9.09,3,13.64,2,9.09,31033
31,34,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,31034
31,35,10,3,30.0,3,30.0,2,20.0,1,10.0,0,0.0,1,10.0,31035
31,36,11,3,27.27,0,0.0,3,27.27,2,18.18,1,9.09,2,18.18,31036
31,37,15,6,40.0,7,46.67,0,0.0,0,0.0,1,6.67,1,6.67,31037
31,38,7,1,14.29,1,14.29,1,14.29,1,14.29,1,14.29,2,28.57,31038
31,39,3,1,33.33,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,31039
31,40,52,15,28.85,14,26.92,5,9.62,4,7.69,7,13.46,7,13.46,31040
31,41,6,3,50.0,2,33.33,0,0.0,0,0.0,0,0.0,1,16.67,31041
31,42,11,2,18.18,2,18.18,3,27.27,1,9.09,1,9.09,2,18.18,31042
31,43,25,5,20.0,6,24.0,5,20.0,5,20.0,2,8.0,2,8.0,31043
31,44,4,1,25.0,1,25.0,0,0.0,0,0.0,1,25.0,1,25.0,31044
31,45,9,0,0.0,0,0.0,4,44.44,2,22.22,1,11.11,2,22.22,31045
31,46,11,4,36.36,4,36.36,1,9.09,2,18.18,0,0.0,0,0.0,31046
31,47,13,5,38.46,6,46.15,0,0.0,0,0.0,2,15.38,0,0.0,31047
33,1,32,2,6.25,6,18.75,6,18.75,8,25.0,5,15.63,5,15.63,33001
33,2,57,18,31.58,22,38.6,5,8.77,3,5.26,4,7.02,5,8.77,33002
33,3,36,9,25.0,7,19.44,7,19.44,5,13.89,4,11.11,4,11.11,33003
33,4,59,12,20.34,12,20.34,15,25.42,11,18.64,5,8.47,4,6.78,33004
33,5,27,7,25.93,9,33.33,8,29.63,3,11.11,0,0.0,0,0.0,33005
33,6,42,14,33.33,12,28.57,10,23.81,5,11.9,0,0.0,1,2.38,33006
33,8,30,11,36.67,12,40.0,3,10.0,3,10.0,1,3.33,0,0.0,33008
33,9,54,15,27.78,14,25.93,9,16.67,7,12.96,5,9.26,4,7.41,33009
33,10,55,15,27.27,17,30.91,7,12.73,2,3.64,8,14.55,6,10.91,33010
33,11,42,13,30.95,9,21.43,8,19.05,6,14.29,3,7.14,3,7.14,33011
33,12,50,13,26.0,8,16.0,9,18.0,8,16.0,6,12.0,6,12.0,33012
33,13,18,4,22.22,3,16.67,3,16.67,3,16.67,2,11.11,3,16.67,33013
33,15,36,6,16.67,7,19.44,9,25.0,9,25.0,3,8.33,2,5.56,33015
33,16,22,9,40.91,9,40.91,1,4.55,2,9.09,1,4.55,0,0.0,33016
33,17,71,18,25.35,14,19.72,9,12.68,7,9.86,14,19.72,9,12.68,33017
33,19,34,11,32.35,9,26.47,6,17.65,4,11.76,3,8.82,1,2.94,33019
33,20,35,7,20.0,6,17.14,9,25.71,7,20.0,4,11.43,2,5.71,33020
33,21,40,10,25.0,12,30.0,10,25.0,6,15.0,1,2.5,1,2.5,33021
33,22,43,13,30.23,13,30.23,3,6.98,3,6.98,5,11.63,6,13.95,33022
33,23,52,10,19.23,9,17.31,9,17.31,7,13.46,9,17.31,8,15.38,33023
33,25,40,9,22.5,8,20.0,13,32.5,8,20.0,0,0.0,2,5.0,33025
33,26,43,12,27.91,9,20.93,8,18.6,6,13.95,4,9.3,4,9.3,33026
33,27,30,9,30.0,7,23.33,6,20.0,3,10.0,2,6.67,3,10.0,33027
35,1,39,11,28.21,8,20.51,8,20.51,6,15.38,3,7.69,3,7.69,35001
35,2,28,6,21.43,8,28.57,5,17.86,3,10.71,2,7.14,4,14.29,35002
35,3,29,7,24.14,6,20.69,8,27.59,7,24.14,1,3.45,0,0.0,35003
35,4,49,16,32.65,12,24.49,10,20.41,9,18.37,1,2.04,1,2.04,35004
35,5,36,10,27.78,9,25.0,8,22.22,7,19.44,1,2.78,1,2.78,35005
35,6,49,14,28.57,11,22.45,6,12.24,6,12.24,5,10.2,7,14.29,35006
35,7,54,16,29.63,17,31.48,5,9.26,3,5.56,5,9.26,8,14.81,35007
35,8,29,11,37.93,12,41.38,3,10.34,2,6.9,1,3.45,0,0.0,35008
35,9,30,5,16.67,6,20.0,10,33.33,6,20.0,2,6.67,1,3.33,35009
35,10,20,6,30.0,7,35.0,4,20.0,2,10.0,1,5.0,0,0.0,35010
35,11,31,7,22.58,4,12.9,8,25.81,7,22.58,1,3.23,4,12.9,35011
35,12,34,11,32.35,8,23.53,3,8.82,6,17.65,3,8.82,3,8.82,35012
35,13,17,6,35.29,3,17.65,4,23.53,1,5.88,1,5.88,2,11.76,35013
35,14,26,8,30.77,7,26.92,3,11.54,2,7.69,2,7.69,4,15.38,35014
35,15,40,10,25.0,7,17.5,13,32.5,6,15.0,3,7.5,1,2.5,35015
35,16,20,9,45.0,6,30.0,3,15.0,1,5.0,0,0.0,1,5.0,35016
35,17,21,6,28.57,8,38.1,4,19.05,2,9.52,0,0.0,1,4.76,35017
35,18,40,9,22.5,7,17.5,9,22.5,8,20.0,2,5.0,5,12.5,35018
35,19,19,3,15.79,2,10.53,5,26.32,5,26.32,1,5.26,3,15.79,35019
35,20,19,5,26.32,8,42.11,1,5.26,1,5.26,2,10.53,2,10.53,35020
35,21,17,3,17.65,3,17.65,3,17.65,4,23.53,3,17.65,1,5.88,35021
35,22,9,4,44.44,2,22.22,0,0.0,1,11.11,1,11.11,1,11.11,35022
35,23,8,3,37.5,4,50.0,0,0.0,0,0.0,0,0.0,1,12.5,35023
35,24,14,2,14.29,3,21.43,4,28.57,2,14.29,2,14.29,1,7.14,35024
35,25,49,13,26.53,12,24.49,9,18.37,9,18.37,3,6.12,3,6.12,35025
35,26,48,11,22.92,12,25.0,9,18.75,10,20.83,4,8.33,2,4.17,35026
35,27,53,13,24.53,7,13.21,11,20.75,9,16.98,5,9.43,8,15.09,35027
35,28,32,10,31.25,9,28.13,5,15.63,5,15.63,2,6.25,1,3.13,35028
35,29,53,13,24.53,13,24.53,10,18.87,9,16.98,5,9.43,3,5.66,35029
35,30,34,12,35.29,11,32.35,4,11.76,5,14.71,0,0.0,2,5.88,35030
35,31,18,5,27.78,3,16.67,5,27.78,3,16.67,1,5.56,1,5.56,35031
35,32,8,2,25.0,2,25.0,0,0.0,1,12.5,1,12.5,2,25.0,35032
35,33,38,10,26.32,11,28.95,7,18.42,6,15.79,2,5.26,2,5.26,35033
35,34,45,10,22.22,10,22.22,11,24.44,7,15.56,4,8.89,3,6.67,35034
35,35,19,2,10.53,5,26.32,3,15.79,4,21.05,1,5.26,4,21.05,35035
35,36,18,1,5.56,4,22.22,6,33.33,3,16.67,1,5.56,3,16.67,35036
