ward,precinct,total,Patricia R. Bellock (Romney),Patricia R. Bellock (Romney) Percent,John M. 'Jack' Dorgan (Romney),John M. 'Jack' Dorgan (Romney) Percent,Walter W. Dudycz (Romney),Walter W. Dudycz (Romney) Percent,Joseph Cesarone (Paul),Joseph Cesarone (Paul) Percent,Hugh A. Gallagly Jr. (Paul),Hugh A. Gallagly Jr. (Paul) Percent,Michael A. Corrigan (Gingrich),Michael A. Corrigan (Gingrich) Percent,Laura Kotelman (Gingrich),Laura Kotelman (Gingrich) Percent,Richard Allen Pishotta (Gingrich),Richard Allen Pishotta (Gingrich) Percent,precinct_id
36,43,76,14,18.42,10,13.16,14,18.42,7,9.21,11,14.47,5,6.58,5,6.58,2,2.63,36043
36,46,73,15,20.55,11,15.07,14,19.18,5,6.85,6,8.22,6,8.22,6,8.22,4,5.48,36046
36,48,101,16,15.84,13,12.87,18,17.82,14,13.86,11,10.89,7,6.93,7,6.93,3,2.97,36048
36,49,99,24,24.24,18,18.18,21,21.21,8,8.08,7,7.07,7,7.07,4,4.04,5,5.05,36049
36,50,51,6,11.76,6,11.76,11,21.57,7,13.73,5,9.8,4,7.84,4,7.84,3,5.88,36050
38,3,82,18,21.95,12,14.63,18,21.95,4,4.88,2,2.44,11,13.41,8,9.76,5,6.1,38003
38,5,174,33,18.97,30,17.24,28,16.09,24,13.79,26,14.94,5,2.87,6,3.45,4,2.3,38005
38,7,107,24,22.43,20,18.69,22,20.56,8,7.48,8,7.48,6,5.61,6,5.61,4,3.74,38007
38,8,93,14,15.05,12,12.9,15,16.13,10,10.75,11,11.83,7,7.53,7,7.53,5,5.38,38008
38,9,97,19,19.59,17,17.53,19,19.59,9,9.28,10,10.31,7,7.22,4,4.12,3,3.09,38009
38,10,103,20,19.42,16,15.53,19,18.45,12,11.65,11,10.68,6,5.83,4,3.88,5,4.85,38010
38,11,116,22,18.97,17,14.66,25,21.55,9,7.76,11,9.48,11,9.48,8,6.9,5,4.31,38011
38,12,69,13,18.84,12,17.39,15,21.74,6,8.7,7,10.14,4,5.8,3,4.35,1,1.45,38012
38,13,109,26,23.85,21,19.27,29,26.61,6,5.5,7,6.42,5,4.59,7,6.42,2,1.83,38013
38,14,48,10,20.83,7,14.58,7,14.58,5,10.42,4,8.33,3,6.25,4,8.33,4,8.33,38014
38,15,112,21,18.75,18,16.07,22,19.64,11,9.82,15,13.39,6,5.36,5,4.46,4,3.57,38015
38,16,60,7,11.67,9,15.0,10,16.67,10,16.67,3,5.0,4,6.67,5,8.33,5,8.33,38016
38,17,25,5,20.0,4,16.0,4,16.0,2,8.0,1,4.0,3,12.0,2,8.0,3,12.0,38017
38,18,90,22,24.44,14,15.56,21,23.33,7,7.78,8,8.89,4,4.44,4,4.44,3,3.33,38018
38,19,91,16,17.58,13,14.29,16,17.58,9,9.89,8,8.79,8,8.79,10,10.99,5,5.49,38019
38,20,139,27,19.42,29,20.86,24,17.27,11,7.91,11,7.91,11,7.91,9,6.47,6,4.32,38020
38,21,86,9,10.47,7,8.14,13,15.12,12,13.95,10,11.63,10,11.63,8,9.3,6,6.98,38021
38,22,93,16,17.2,13,13.98,19,20.43,12,12.9,6,6.45,8,8.6,8,8.6,4,4.3,38022
38,23,95,17,17.89,14,14.74,16,16.84,10,10.53,10,10.53,7,7.37,7,7.37,5,5.26,38023
38,25,118,22,18.64,20,16.95,30,25.42,9,7.63,7,5.93,7,5.93,6,5.08,6,5.08,38025
38,26,34,4,11.76,5,14.71,9,26.47,4,11.76,4,11.76,2,5.88,1,2.94,2,5.88,38026
38,27,59,7,11.86,9,15.25,9,15.25,4,6.78,5,8.47,9,15.25,8,13.56,5,8.47,38027
38,28,88,23,26.14,20,22.73,23,26.14,3,3.41,1,1.14,6,6.82,4,4.55,6,6.82,38028
38,29,59,10,16.95,9,15.25,14,23.73,6,10.17,7,11.86,3,5.08,4,6.78,2,3.39,38029
38,32,88,16,18.18,14,15.91,16,18.18,7,7.95,6,6.82,9,10.23,8,9.09,7,7.95,38032
38,33,49,11,22.45,7,14.29,10,20.41,4,8.16,4,8.16,5,10.2,3,6.12,3,6.12,38033
38,34,84,20,23.81,13,15.48,18,21.43,8,9.52,6,7.14,4,4.76,4,4.76,3,3.57,38034
38,36,64,13,20.31,13,20.31,15,23.44,6,9.38,5,7.81,3,4.69,2,3.13,3,4.69,38036
38,38,86,15,17.44,10,11.63,17,19.77,8,9.3,4,4.65,11,12.79,9,10.47,7,8.14,38038
38,40,103,20,19.42,12,11.65,15,14.56,11,10.68,17,16.5,8,7.77,5,4.85,3,2.91,38040
38,42,90,19,21.11,15,16.67,17,18.89,6,6.67,6,6.67,6,6.67,8,8.89,5,5.56,38042
38,43,81,10,12.35,13,16.05,12,14.81,10,12.35,9,11.11,7,8.64,6,7.41,5,6.17,38043
38,44,75,11,14.67,9,12.0,11,14.67,6,8.0,4,5.33,13,17.33,10,13.33,8,10.67,38044
38,45,111,30,27.03,22,19.82,27,24.32,5,4.5,8,7.21,7,6.31,5,4.5,3,2.7,38045
39,1,148,27,18.24,25,16.89,31,20.95,13,8.78,8,5.41,13,8.78,10,6.76,9,6.08,39001
39,2,138,35,25.36,38,27.54,29,21.01,6,4.35,6,4.35,5,3.62,4,2.9,4,2.9,39002
39,3,136,34,25.0,34,25.0,32,23.53,4,2.94,5,3.68,7,5.15,9,6.62,5,3.68,39003
39,4,77,12,15.58,8,10.39,10,12.99,12,15.58,10,12.99,4,5.19,6,7.79,5,6.49,39004
39,5,69,16,23.19,12,17.39,12,17.39,9,13.04,8,11.59,4,5.8,1,1.45,1,1.45,39005
39,6,82,18,21.95,13,15.85,17,20.73,5,6.1,1,1.22,9,10.98,7,8.54,7,8.54,39006
39,7,40,6,15.0,2,5.0,5,12.5,6,15.0,5,12.5,4,10.0,4,10.0,3,7.5,39007
39,8,50,8,16.0,5,10.0,6,12.0,7,14.0,5,10.0,5,10.0,4,8.0,4,8.0,39008
39,9,52,4,7.69,6,11.54,5,9.62,5,9.62,10,19.23,7,13.46,6,11.54,5,9.62,39009
39,10,49,7,14.29,6,12.24,9,18.37,5,10.2,6,12.24,3,6.12,3,6.12,3,6.12,39010
39,11,45,11,24.44,10,22.22,10,22.22,5,11.11,4,8.89,1,2.22,0,0.0,0,0.0,39011
39,12,48,8,16.67,6,12.5,8,16.67,6,12.5,6,12.5,2,4.17,2,4.17,3,6.25,39012
39,14,26,3,11.54,4,15.38,2,7.69,4,15.38,4,15.38,1,3.85,2,7.69,0,0.0,39014
39,15,128,31,24.22,23,17.97,29,22.66,5,3.91,5,3.91,11,8.59,11,8.59,8,6.25,39015
39,16,63,17,26.98,14,22.22,15,23.81,4,6.35,3,4.76,4,6.35,3,4.76,1,1.59,39016
39,17,90,17,18.89,14,15.56,14,15.56,12,13.33,8,8.89,5,5.56,5,5.56,3,3.33,39017
39,18,81,23,28.4,17,20.99,16,19.75,5,6.17,5,6.17,4,4.94,3,3.7,3,3.7,39018
39,19,38,5,13.16,6,15.79,8,21.05,7,18.42,6,15.79,0,0.0,2,5.26,0,0.0,39019
39,20,117,28,23.93,26,22.22,26,22.22,6,5.13,5,4.27,8,6.84,6,5.13,6,5.13,39020
39,21,21,1,4.76,1,4.76,2,9.52,1,4.76,2,9.52,4,19.05,4,19.05,3,14.29,39021
39,22,40,8,20.0,5,12.5,4,10.0,4,10.0,5,12.5,3,7.5,4,10.0,2,5.0,39022
39,23,18,6,33.33,3,16.67,6,33.33,1,5.56,1,5.56,0,0.0,0,0.0,0,0.0,39023
39,25,62,13,20.97,10,16.13,12,19.35,6,9.68,6,9.68,2,3.23,4,6.45,2,3.23,39025
39,26,131,30,22.9,23,17.56,24,18.32,5,3.82,8,6.11,14,10.69,12,9.16,9,6.87,39026
39,27,101,19,18.81,14,13.86,16,15.84,10,9.9,10,9.9,7,6.93,8,7.92,7,6.93,39027
39,28,36,7,19.44,5,13.89,7,19.44,2,5.56,2,5.56,5,13.89,5,13.89,3,8.33,39028
39,29,20,4,20.0,2,10.0,2,10.0,3,15.0,2,10.0,1,5.0,3,15.0,2,10.0,39029
39,32,33,10,30.3,5,15.15,10,30.3,0,0.0,0,0.0,1,3.03,2,6.06,2,6.06,39032
39,33,65,13,20.0,11,16.92,11,16.92,3,4.62,6,9.23,7,10.77,6,9.23,4,6.15,39033
39,34,98,17,17.35,15,15.31,15,15.31,13,13.27,12,12.24,7,7.14,4,4.08,3,3.06,39034
39,35,86,18,20.93,19,22.09,19,22.09,3,3.49,3,3.49,7,8.14,8,9.3,5,5.81,39035
39,36,56,13,23.21,9,16.07,13,23.21,1,1.79,3,5.36,7,12.5,5,8.93,4,7.14,39036
39,37,122,22,18.03,20,16.39,20,16.39,8,6.56,7,5.74,14,11.48,13,10.66,13,10.66,39037
39,38,121,25,20.66,21,17.36,27,22.31,8,6.61,11,9.09,7,5.79,8,6.61,6,4.96,39038
39,39,18,4,22.22,4,22.22,2,11.11,0,0.0,1,5.56,3,16.67,2,11.11,2,11.11,39039
39,40,81,14,17.28,12,14.81,15,18.52,9,11.11,7,8.64,8,9.88,5,6.17,5,6.17,39040
39,41,67,12,17.91,4,5.97,14,20.9,6,8.96,9,13.43,7,10.45,4,5.97,4,5.97,39041
39,42,116,30,25.86,24,20.69,30,25.86,4,3.45,3,2.59,9,7.76,6,5.17,5,4.31,39042
39,43,43,8,18.6,7,16.28,7,16.28,1,2.33,3,6.98,5,11.63,7,16.28,4,9.3,39043
40,1,72,18,25.0,10,13.89,16,22.22,7,9.72,6,8.33,3,4.17,3,4.17,2,2.78,40001
40,2,42,6,14.29,4,9.52,6,14.29,4,9.52,4,9.52,5,11.9,5,11.9,4,9.52,40002
40,5,106,22,20.75,16,15.09,18,16.98,12,11.32,9,8.49,4,3.77,8,7.55,8,7.55,40005
40,6,36,2,5.56,3,8.33,1,2.78,10,27.78,10,27.78,1,2.78,0,0.0,0,0.0,40006
40,10,68,15,22.06,11,16.18,13,19.12,7,10.29,5,7.35,6,8.82,3,4.41,3,4.41,40010
40,14,112,25,22.32,21,18.75,22,19.64,6,5.36,11,9.82,9,8.04,7,6.25,5,4.46,40014
40,15,31,7,22.58,5,16.13,6,19.35,1,3.23,1,3.23,3,9.68,3,9.68,2,6.45,40015
40,17,75,16,21.33,15,20.0,16,21.33,6,8.0,5,6.67,4,5.33,5,6.67,5,6.67,40017
40,19,128,21,16.41,16,12.5,15,11.72,8,6.25,7,5.47,20,15.63,20,15.63,16,12.5,40019
40,20,32,9,28.13,9,28.13,7,21.88,3,9.38,3,9.38,0,0.0,0,0.0,0,0.0,40020
40,21,44,13,29.55,11,25.0,9,20.45,2,4.55,0,0.0,3,6.82,3,6.82,3,6.82,40021
40,23,67,16,23.88,11,16.42,14,20.9,6,8.96,5,7.46,5,7.46,3,4.48,2,2.99,40023
40,24,50,7,14.0,8,16.0,9,18.0,3,6.0,4,8.0,6,12.0,2,4.0,4,8.0,40024
40,25,46,8,17.39,6,13.04,6,13.04,6,13.04,6,13.04,3,6.52,3,6.52,1,2.17,40025
40,29,74,13,17.57,11,14.86,13,17.57,7,9.46,8,10.81,6,8.11,5,6.76,4,5.41,40029
40,30,109,27,24.77,18,16.51,24,22.02,5,4.59,7,6.42,8,7.34,8,7.34,7,6.42,40030
40,32,81,11,13.58,14,17.28,12,14.81,4,4.94,5,6.17,12,14.81,8,9.88,8,9.88,40032
40,34,50,8,16.0,9,18.0,8,16.0,3,6.0,2,4.0,7,14.0,5,10.0,6,12.0,40034
40,38,62,9,14.52,5,8.06,8,12.9,5,8.06,6,9.68,9,14.52,8,12.9,7,11.29,40038
40,40,45,6,13.33,4,8.89,5,11.11,7,15.56,8,17.78,3,6.67,3,6.67,3,6.67,40040
40,41,12,3,25.0,3,25.0,3,25.0,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,40041
41,3,123,23,18.7,15,12.2,35,28.46,8,6.5,9,7.32,11,8.94,9,7.32,4,3.25,41003
41,6,175,45,25.71,33,18.86,43,24.57,9,5.14,9,5.14,12,6.86,10,5.71,6,3.43,41006
