ward,precinct,total,Mabel Moy (Romney),Mabel Moy (Romney) Percent,Rita Zak (Romney),Rita Zak (Romney) Percent,Marty Phelan (Paul),Marty Phelan (Paul) Percent,Joanna Kappele (Paul),Joanna Kappele (Paul) Percent,Jeffrey Piposar (Gingrich),Jeffrey Piposar (Gingrich) Percent,Geoff Polk (Gingrich),Geoff Polk (Gingrich) Percent,precinct_id
2,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02042
2,43,68,20,29.41,20,29.41,7,10.29,7,10.29,7,10.29,7,10.29,02043
2,45,16,2,12.5,2,12.5,8,50.0,4,25.0,0,0.0,0,0.0,02045
2,47,4,1,25.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,02047
2,48,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,02048
2,49,62,14,22.58,18,29.03,12,19.35,17,27.42,1,1.61,0,0.0,02049
2,50,12,3,25.0,3,25.0,3,25.0,2,16.67,1,8.33,0,0.0,02050
2,51,8,1,12.5,1,12.5,3,37.5,3,37.5,0,0.0,0,0.0,02051
2,52,10,1,10.0,2,20.0,3,30.0,2,20.0,1,10.0,1,10.0,02052
2,53,38,11,28.95,11,28.95,2,5.26,3,7.89,6,15.79,5,13.16,02053
2,54,41,11,26.83,13,31.71,5,12.2,7,17.07,3,7.32,2,4.88,02054
3,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03001
3,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03002
3,3,27,9,33.33,9,33.33,4,14.81,4,14.81,0,0.0,1,3.7,03003
3,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03004
3,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03006
3,8,4,0,0.0,0,0.0,1,25.0,0,0.0,2,50.0,1,25.0,03008
3,9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,03009
3,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03010
3,11,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,03011
3,12,4,0,0.0,0,0.0,1,25.0,0,0.0,1,25.0,2,50.0,03012
3,14,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,03014
3,15,3,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,1,33.33,03015
3,16,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,03016
3,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03017
3,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03018
3,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03020
3,21,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03021
3,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03022
3,23,6,1,16.67,1,16.67,1,16.67,2,33.33,1,16.67,0,0.0,03023
3,24,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,03024
3,25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03025
3,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03026
3,27,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,03027
3,28,72,20,27.78,22,30.56,11,15.28,10,13.89,4,5.56,5,6.94,03028
3,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03029
3,31,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,03031
3,32,2,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,03032
3,33,4,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,1,25.0,03033
3,35,4,0,0.0,1,25.0,1,25.0,2,50.0,0,0.0,0,0.0,03035
3,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03036
3,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03037
3,39,2,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,03039
3,40,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,03040
3,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03042
3,43,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03043
3,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03044
3,45,28,7,25.0,7,25.0,4,14.29,6,21.43,2,7.14,2,7.14,03045
3,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03046
3,47,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,03047
3,48,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,03048
3,49,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03049
3,50,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,03050
4,4,2,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,04004
4,5,5,1,20.0,1,20.0,0,0.0,0,0.0,1,20.0,2,40.0,04005
4,6,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,04006
4,7,5,1,20.0,1,20.0,0,0.0,0,0.0,2,40.0,1,20.0,04007
4,10,4,0,0.0,1,25.0,1,25.0,1,25.0,0,0.0,1,25.0,04010
4,11,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,04011
4,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04014
4,15,3,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,04015
4,25,8,2,25.0,2,25.0,2,25.0,1,12.5,1,12.5,0,0.0,04025
4,27,4,3,75.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,04027
4,30,7,1,14.29,0,0.0,2,28.57,1,14.29,2,28.57,1,14.29,04030
4,35,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,04035
4,36,7,1,14.29,1,14.29,2,28.57,3,42.86,0,0.0,0,0.0,04036
4,42,12,3,25.0,4,33.33,3,25.0,2,16.67,0,0.0,0,0.0,04042
11,14,26,3,11.54,2,7.69,10,38.46,10,38.46,0,0.0,1,3.85,11014
11,27,26,5,19.23,5,19.23,3,11.54,3,11.54,5,19.23,5,19.23,11027
11,34,27,8,29.63,8,29.63,5,18.52,6,22.22,0,0.0,0,0.0,11034
11,36,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,11036
11,46,9,0,0.0,0,0.0,1,11.11,1,11.11,4,44.44,3,33.33,11046
12,6,5,2,40.0,2,40.0,0,0.0,1,20.0,0,0.0,0,0.0,12006
12,18,8,2,25.0,0,0.0,1,12.5,3,37.5,1,12.5,1,12.5,12018
15,1,23,8,34.78,6,26.09,2,8.7,1,4.35,3,13.04,3,13.04,15001
15,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15002
15,3,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15003
15,4,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,15004
15,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15005
15,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15007
15,9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15009
15,11,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15011
15,12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15012
15,13,9,2,22.22,1,11.11,2,22.22,1,11.11,2,22.22,1,11.11,15013
15,14,11,2,18.18,4,36.36,2,18.18,2,18.18,1,9.09,0,0.0,15014
15,15,9,2,22.22,2,22.22,1,11.11,2,22.22,1,11.11,1,11.11,15015
15,17,3,0,0.0,2,66.67,0,0.0,1,33.33,0,0.0,0,0.0,15017
15,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15018
15,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15019
15,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15020
15,21,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15021
15,22,4,0,0.0,0,0.0,1,25.0,3,75.0,0,0.0,0,0.0,15022
15,23,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,15023
15,24,8,1,12.5,2,25.0,0,0.0,1,12.5,2,25.0,2,25.0,15024
15,25,5,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,0,0.0,15025
15,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15026
15,27,8,2,25.0,4,50.0,0,0.0,0,0.0,2,25.0,0,0.0,15027
15,29,3,0,0.0,0,0.0,1,33.33,0,0.0,2,66.67,0,0.0,15029
15,30,4,0,0.0,0,0.0,3,75.0,1,25.0,0,0.0,0,0.0,15030
15,31,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,15031
15,32,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,15032
15,33,9,0,0.0,0,0.0,2,22.22,2,22.22,3,33.33,2,22.22,15033
15,34,2,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,15034
15,35,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15035
15,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15036
15,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15037
15,38,6,2,33.33,2,33.33,0,0.0,0,0.0,1,16.67,1,16.67,15038
15,39,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,15039
15,40,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15040
15,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15042
16,1,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,16001
16,2,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,16002
16,3,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,16003
16,4,13,0,0.0,1,7.69,5,38.46,5,38.46,2,15.38,0,0.0,16004
16,5,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,16005
16,6,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,16006
16,7,8,1,12.5,3,37.5,2,25.0,2,25.0,0,0.0,0,0.0,16007
16,8,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,16008
16,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16010
16,11,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,16011
16,12,4,0,0.0,0,0.0,0,0.0,0,0.0,2,50.0,2,50.0,16012
16,13,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,16013
16,14,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,16014
16,15,4,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,1,25.0,16015
16,16,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,16016
16,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16018
16,19,5,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,16019
16,20,3,0,0.0,0,0.0,1,33.33,0,0.0,1,33.33,1,33.33,16020
16,25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16025
16,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16026
16,27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16027
16,30,8,2,25.0,1,12.5,2,25.0,1,12.5,1,12.5,1,12.5,16030
16,31,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16031
16,33,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16033
16,34,2,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,16034
16,36,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,16036
16,38,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,16038
16,40,3,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,1,33.33,16040
17,1,3,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,17001
17,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17008
17,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17014
17,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17019
17,31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17031
17,34,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17034
17,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17036
17,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17037
17,39,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17039
17,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17041
17,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17042
17,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17046
20,15,12,3,25.0,3,25.0,0,0.0,1,8.33,2,16.67,3,25.0,20015
20,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20019
20,27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20027
20,31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20031
20,39,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20039
20,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20040
20,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20041
20,42,2,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,20042
20,43,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20043
20,45,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20045
22,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22007
22,14,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,22014
22,19,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,22019
22,21,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,22021
24,1,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24001
24,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24002
24,3,3,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,2,66.67,24003
24,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24004
24,5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,24005
24,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24006
24,7,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,24007
24,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24008
24,9,6,1,16.67,1,16.67,0,0.0,1,16.67,2,33.33,1,16.67,24009
24,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24010
24,11,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,24011
24,12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24012
24,13,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,24013
24,14,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,24014
24,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24015
24,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24016
24,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24017
24,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24018
24,19,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,24019
24,20,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,24020
24,21,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24021
24,22,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24022
24,23,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,24023
24,24,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24024
24,25,5,1,20.0,2,40.0,0,0.0,0,0.0,1,20.0,1,20.0,24025
24,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24026
24,27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24027
24,28,2,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,24028
24,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24029
24,30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24030
24,31,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,24031
24,32,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24032
24,34,3,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,24034
24,35,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24035
24,36,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,24036
24,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24037
24,38,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,24038
24,39,6,0,0.0,0,0.0,3,50.0,1,16.67,1,16.67,1,16.67,24039
24,40,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,24040
24,41,6,0,0.0,0,0.0,0,0.0,1,16.67,2,33.33,3,50.0,24041
24,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24042
24,43,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24043
24,44,4,0,0.0,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0,24044
24,45,2,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,24045
24,46,2,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,24046
24,47,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,24047
24,48,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,24048
24,49,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,24049
24,50,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,24050
25,3,14,4,28.57,3,21.43,2,14.29,2,14.29,2,14.29,1,7.14,25003
25,4,35,9,25.71,7,20.0,5,14.29,5,14.29,5,14.29,4,11.43,25004
25,10,3,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,25010
25,14,23,7,30.43,4,17.39,6,26.09,4,17.39,1,4.35,1,4.35,25014
25,16,15,7,46.67,3,20.0,1,6.67,1,6.67,2,13.33,1,6.67,25016
25,18,16,2,12.5,2,12.5,3,18.75,1,6.25,5,31.25,3,18.75,25018
25,21,65,24,36.92,24,36.92,4,6.15,4,6.15,4,6.15,5,7.69,25021
25,25,53,14,26.42,12,22.64,9,16.98,11,20.75,3,5.66,4,7.55,25025
25,27,42,10,23.81,11,26.19,4,9.52,5,11.9,6,14.29,6,14.29,25027
25,28,58,14,24.14,11,18.97,11,18.97,9,15.52,7,12.07,6,10.34,25028
25,29,86,29,33.72,29,33.72,5,5.81,3,3.49,11,12.79,9,10.47,25029
26,1,25,3,12.0,7,28.0,6,24.0,5,20.0,3,12.0,1,4.0,26001
26,10,12,3,25.0,2,16.67,2,16.67,4,33.33,0,0.0,1,8.33,26010
26,17,95,27,28.42,34,35.79,8,8.42,8,8.42,9,9.47,9,9.47,26017
26,21,4,0,0.0,0,0.0,1,25.0,2,50.0,1,25.0,0,0.0,26021
26,27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26027
26,28,11,3,27.27,1,9.09,1,9.09,3,27.27,1,9.09,2,18.18,26028
26,33,44,10,22.73,9,20.45,6,13.64,7,15.91,5,11.36,7,15.91,26033
26,44,7,1,14.29,0,0.0,2,28.57,2,28.57,1,14.29,1,14.29,26044
26,46,30,8,26.67,9,30.0,4,13.33,3,10.0,4,13.33,2,6.67,26046
26,48,10,4,40.0,2,20.0,2,20.0,1,10.0,1,10.0,0,0.0,26048
27,1,98,36,36.73,35,35.71,8,8.16,7,7.14,7,7.14,5,5.1,27001
27,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27002
27,3,7,3,42.86,2,28.57,1,14.29,1,14.29,0,0.0,0,0.0,27003
27,4,7,3,42.86,0,0.0,1,14.29,2,28.57,1,14.29,0,0.0,27004
27,5,41,12,29.27,14,34.15,4,9.76,3,7.32,4,9.76,4,9.76,27005
27,6,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,27006
27,7,51,16,31.37,15,29.41,7,13.73,4,7.84,5,9.8,4,7.84,27007
27,8,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,27008
27,9,21,5,23.81,8,38.1,2,9.52,2,9.52,2,9.52,2,9.52,27009
27,10,15,2,13.33,2,13.33,5,33.33,6,40.0,0,0.0,0,0.0,27010
27,11,41,12,29.27,12,29.27,6,14.63,5,12.2,3,7.32,3,7.32,27011
27,12,76,31,40.79,32,42.11,3,3.95,3,3.95,3,3.95,4,5.26,27012
27,14,10,3,30.0,2,20.0,3,30.0,1,10.0,1,10.0,0,0.0,27014
27,15,5,0,0.0,0,0.0,2,40.0,2,40.0,1,20.0,0,0.0,27015
27,16,54,17,31.48,18,33.33,8,14.81,7,12.96,2,3.7,2,3.7,27016
27,17,58,22,37.93,24,41.38,3,5.17,2,3.45,2,3.45,5,8.62,27017
27,18,34,11,32.35,12,35.29,4,11.76,5,14.71,1,2.94,1,2.94,27018
27,19,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,27019
27,20,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,27020
27,21,28,12,42.86,11,39.29,2,7.14,1,3.57,1,3.57,1,3.57,27021
27,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27022
27,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27023
27,24,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,27024
27,25,2,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,27025
