ward,precinct,total,"Angelo """"Skip"""" Saviano (Bush)","Angelo """"Skip"""" Saviano (Bush) Percent",Donna Geneva Roehri (Bush),Donna Geneva Roehri (Bush) Percent,precinct_id
33,23,26,13,50.0,13,50.0,33023
33,24,19,10,52.63,9,47.37,33024
33,25,15,9,60.0,6,40.0,33025
33,28,13,7,53.85,6,46.15,33028
33,29,14,7,50.0,7,50.0,33029
33,34,11,6,54.55,5,45.45,33034
35,22,10,5,50.0,5,50.0,35022
35,33,14,7,50.0,7,50.0,35033
36,1,48,26,54.17,22,45.83,36001
36,2,16,8,50.0,8,50.0,36002
36,3,18,9,50.0,9,50.0,36003
36,5,13,6,46.15,7,53.85,36005
36,6,41,21,51.22,20,48.78,36006
36,7,33,17,51.52,16,48.48,36007
36,8,43,23,53.49,20,46.51,36008
36,9,46,23,50.0,23,50.0,36009
36,10,16,8,50.0,8,50.0,36010
36,11,28,15,53.57,13,46.43,36011
36,12,29,15,51.72,14,48.28,36012
36,13,42,20,47.62,22,52.38,36013
36,14,15,7,46.67,8,53.33,36014
36,15,32,17,53.13,15,46.88,36015
36,16,15,7,46.67,8,53.33,36016
36,17,15,7,46.67,8,53.33,36017
36,18,35,18,51.43,17,48.57,36018
36,19,28,14,50.0,14,50.0,36019
36,20,36,18,50.0,18,50.0,36020
36,21,48,24,50.0,24,50.0,36021
36,22,34,18,52.94,16,47.06,36022
36,25,25,13,52.0,12,48.0,36025
36,26,48,23,47.92,25,52.08,36026
36,27,24,12,50.0,12,50.0,36027
36,28,23,12,52.17,11,47.83,36028
36,29,21,11,52.38,10,47.62,36029
36,30,47,26,55.32,21,44.68,36030
36,31,35,17,48.57,18,51.43,36031
36,32,18,10,55.56,8,44.44,36032
36,33,5,3,60.0,2,40.0,36033
36,34,31,16,51.61,15,48.39,36034
36,35,26,13,50.0,13,50.0,36035
36,36,18,10,55.56,8,44.44,36036
36,37,22,12,54.55,10,45.45,36037
36,38,20,11,55.0,9,45.0,36038
36,39,24,16,66.67,8,33.33,36039
36,40,30,14,46.67,16,53.33,36040
36,41,25,13,52.0,12,48.0,36041
36,42,14,7,50.0,7,50.0,36042
36,43,24,13,54.17,11,45.83,36043
36,45,11,5,45.45,6,54.55,36045
36,46,19,10,52.63,9,47.37,36046
36,47,18,10,55.56,8,44.44,36047
36,48,20,9,45.0,11,55.0,36048
36,49,42,21,50.0,21,50.0,36049
36,50,30,15,50.0,15,50.0,36050
36,51,16,8,50.0,8,50.0,36051
36,52,30,15,50.0,15,50.0,36052
36,53,17,8,47.06,9,52.94,36053
36,55,7,3,42.86,4,57.14,36055
37,52,0,0,0.0,0,0.0,37052
38,1,30,15,50.0,15,50.0,38001
38,2,21,10,47.62,11,52.38,38002
38,3,28,13,46.43,15,53.57,38003
38,4,15,8,53.33,7,46.67,38004
38,5,34,17,50.0,17,50.0,38005
38,6,21,11,52.38,10,47.62,38006
38,7,24,12,50.0,12,50.0,38007
38,8,30,15,50.0,15,50.0,38008
38,9,17,8,47.06,9,52.94,38009
38,10,34,17,50.0,17,50.0,38010
38,11,18,10,55.56,8,44.44,38011
38,12,48,24,50.0,24,50.0,38012
38,13,25,13,52.0,12,48.0,38013
38,14,26,14,53.85,12,46.15,38014
38,15,9,4,44.44,5,55.56,38015
38,16,20,10,50.0,10,50.0,38016
38,17,7,4,57.14,3,42.86,38017
38,18,34,17,50.0,17,50.0,38018
38,19,41,20,48.78,21,51.22,38019
38,20,61,29,47.54,32,52.46,38020
38,21,26,13,50.0,13,50.0,38021
38,22,30,15,50.0,15,50.0,38022
38,23,18,9,50.0,9,50.0,38023
38,24,3,2,66.67,1,33.33,38024
38,25,12,6,50.0,6,50.0,38025
38,26,14,7,50.0,7,50.0,38026
38,27,33,17,51.52,16,48.48,38027
38,28,24,12,50.0,12,50.0,38028
38,29,18,11,61.11,7,38.89,38029
38,30,8,4,50.0,4,50.0,38030
38,31,21,10,47.62,11,52.38,38031
38,32,45,24,53.33,21,46.67,38032
38,33,12,6,50.0,6,50.0,38033
38,34,8,4,50.0,4,50.0,38034
38,35,23,12,52.17,11,47.83,38035
38,36,15,8,53.33,7,46.67,38036
38,37,27,13,48.15,14,51.85,38037
38,38,40,21,52.5,19,47.5,38038
38,39,19,9,47.37,10,52.63,38039
38,40,29,14,48.28,15,51.72,38040
38,41,36,19,52.78,17,47.22,38041
38,42,32,15,46.88,17,53.13,38042
38,43,28,15,53.57,13,46.43,38043
38,44,31,16,51.61,15,48.39,38044
38,45,30,13,43.33,17,56.67,38045
38,46,33,17,51.52,16,48.48,38046
38,47,25,11,44.0,14,56.0,38047
38,48,26,13,50.0,13,50.0,38048
38,49,27,14,51.85,13,48.15,38049
38,50,21,12,57.14,9,42.86,38050
38,51,17,9,52.94,8,47.06,38051
38,52,25,11,44.0,14,56.0,38052
38,53,0,0,0.0,0,0.0,38053
39,1,39,19,48.72,20,51.28,39001
39,2,61,31,50.82,30,49.18,39002
39,3,51,26,50.98,25,49.02,39003
39,4,28,14,50.0,14,50.0,39004
39,5,26,13,50.0,13,50.0,39005
39,6,62,30,48.39,32,51.61,39006
39,7,11,6,54.55,5,45.45,39007
39,8,17,10,58.82,7,41.18,39008
39,9,24,13,54.17,11,45.83,39009
39,10,17,8,47.06,9,52.94,39010
39,11,23,12,52.17,11,47.83,39011
39,12,5,3,60.0,2,40.0,39012
39,13,4,2,50.0,2,50.0,39013
39,14,16,8,50.0,8,50.0,39014
39,15,43,23,53.49,20,46.51,39015
39,16,10,4,40.0,6,60.0,39016
39,17,11,5,45.45,6,54.55,39017
39,18,27,13,48.15,14,51.85,39018
39,19,6,3,50.0,3,50.0,39019
39,20,43,22,51.16,21,48.84,39020
39,21,9,4,44.44,5,55.56,39021
39,22,10,5,50.0,5,50.0,39022
39,23,15,8,53.33,7,46.67,39023
39,24,6,4,66.67,2,33.33,39024
39,25,38,19,50.0,19,50.0,39025
39,26,39,20,51.28,19,48.72,39026
39,27,39,19,48.72,20,51.28,39027
39,28,33,16,48.48,17,51.52,39028
39,29,27,15,55.56,12,44.44,39029
39,30,12,6,50.0,6,50.0,39030
39,31,14,9,64.29,5,35.71,39031
39,32,7,4,57.14,3,42.86,39032
39,33,23,12,52.17,11,47.83,39033
39,34,47,22,46.81,25,53.19,39034
39,35,45,22,48.89,23,51.11,39035
39,36,21,10,47.62,11,52.38,39036
39,37,57,30,52.63,27,47.37,39037
39,38,44,23,52.27,21,47.73,39038
39,39,4,2,50.0,2,50.0,39039
39,40,29,15,51.72,14,48.28,39040
39,41,12,6,50.0,6,50.0,39041
39,42,29,14,48.28,15,51.72,39042
39,43,49,27,55.1,22,44.9,39043
39,44,25,13,52.0,12,48.0,39044
39,45,14,7,50.0,7,50.0,39045
39,46,14,7,50.0,7,50.0,39046
39,47,23,11,47.83,12,52.17,39047
40,1,13,8,61.54,5,38.46,40001
40,2,15,7,46.67,8,53.33,40002
40,5,12,6,50.0,6,50.0,40005
40,6,20,10,50.0,10,50.0,40006
40,10,27,15,55.56,12,44.44,40010
40,14,24,11,45.83,13,54.17,40014
40,15,18,9,50.0,9,50.0,40015
40,17,7,3,42.86,4,57.14,40017
40,19,28,14,50.0,14,50.0,40019
40,20,22,11,50.0,11,50.0,40020
40,21,22,10,45.45,12,54.55,40021
40,23,18,10,55.56,8,44.44,40023
40,24,15,7,46.67,8,53.33,40024
40,25,23,12,52.17,11,47.83,40025
40,29,22,11,50.0,11,50.0,40029
40,30,15,7,46.67,8,53.33,40030
40,31,28,15,53.57,13,46.43,40031
40,32,28,13,46.43,15,53.57,40032
40,34,18,9,50.0,9,50.0,40034
40,36,37,18,48.65,19,51.35,40036
40,38,8,4,50.0,4,50.0,40038
40,40,25,13,52.0,12,48.0,40040
40,41,2,1,50.0,1,50.0,40041
40,44,32,15,46.88,17,53.13,40044
40,45,50,26,52.0,24,48.0,40045
40,48,31,17,54.84,14,45.16,40048
40,49,9,4,44.44,5,55.56,40049
41,3,55,28,50.91,27,49.09,41003
41,9,56,29,51.79,27,48.21,41009
41,10,57,29,50.88,28,49.12,41010
41,12,53,26,49.06,27,50.94,41012
41,14,63,31,49.21,32,50.79,41014
41,16,83,43,51.81,40,48.19,41016
41,19,90,47,52.22,43,47.78,41019
41,21,84,42,50.0,42,50.0,41021
41,22,44,23,52.27,21,47.73,41022
41,23,62,31,50.0,31,50.0,41023
41,24,67,35,52.24,32,47.76,41024
41,30,55,29,52.73,26,47.27,41030
41,35,63,31,49.21,32,50.79,41035
41,43,76,36,47.37,40,52.63,41043
41,46,47,24,51.06,23,48.94,41046
41,47,82,41,50.0,41,50.0,41047
41,50,62,31,50.0,31,50.0,41050
41,51,56,27,48.21,29,51.79,41051
41,54,64,34,53.13,30,46.88,41054
41,57,87,45,51.72,42,48.28,41057
41,59,42,22,52.38,20,47.62,41059
41,62,38,20,52.63,18,47.37,41062
41,65,81,41,50.62,40,49.38,41065
41,66,93,47,50.54,46,49.46,41066
41,67,31,16,51.61,15,48.39,41067
41,68,38,20,52.63,18,47.37,41068
41,69,55,28,50.91,27,49.09,41069
41,70,53,28,52.83,25,47.17,41070
41,71,34,16,47.06,18,52.94,41071
43,2,53,27,50.94,26,49.06,43002
43,6,27,13,48.15,14,51.85,43006
43,7,12,6,50.0,6,50.0,43007
43,8,32,16,50.0,16,50.0,43008
43,12,78,39,50.0,39,50.0,43012
43,14,51,24,47.06,27,52.94,43014
43,17,37,19,51.35,18,48.65,43017
43,19,23,12,52.17,11,47.83,43019
43,20,26,13,50.0,13,50.0,43020
43,21,6,3,50.0,3,50.0,43021
43,22,41,20,48.78,21,51.22,43022
43,27,36,18,50.0,18,50.0,43027
43,29,41,20,48.78,21,51.22,43029
43,31,22,11,50.0,11,50.0,43031
43,32,34,15,44.12,19,55.88,43032
43,33,23,8,34.78,15,65.22,43033
43,34,20,10,50.0,10,50.0,43034
43,35,21,12,57.14,9,42.86,43035
43,38,47,23,48.94,24,51.06,43038
43,39,24,11,45.83,13,54.17,43039
43,41,8,4,50.0,4,50.0,43041
43,43,52,26,50.0,26,50.0,43043
43,44,44,23,52.27,21,47.73,43044
43,45,8,4,50.0,4,50.0,43045
43,48,34,17,50.0,17,50.0,43048
43,50,29,15,51.72,14,48.28,43050
43,53,54,27,50.0,27,50.0,43053
43,56,14,7,50.0,7,50.0,43056
43,57,42,20,47.62,22,52.38,43057
43,58,42,20,47.62,22,52.38,43058
43,59,76,38,50.0,38,50.0,43059
44,1,46,24,52.17,22,47.83,44001
44,2,33,17,51.52,16,48.48,44002
44,5,38,19,50.0,19,50.0,44005
44,6,39,20,51.28,19,48.72,44006
44,8,21,9,42.86,12,57.14,44008
44,9,50,26,52.0,24,48.0,44009
44,10,25,12,48.0,13,52.0,44010
44,11,41,21,51.22,20,48.78,44011
44,12,25,13,52.0,12,48.0,44012
44,13,36,18,50.0,18,50.0,44013
44,14,25,13,52.0,12,48.0,44014
44,15,32,15,46.88,17,53.13,44015
44,16,25,12,48.0,13,52.0,44016
44,17,44,23,52.27,21,47.73,44017
44,18,32,16,50.0,16,50.0,44018
44,19,18,9,50.0,9,50.0,44019
44,20,9,4,44.44,5,55.56,44020
44,21,38,19,50.0,19,50.0,44021
44,22,63,32,50.79,31,49.21,44022
44,23,20,11,55.0,9,45.0,44023
44,24,23,12,52.17,11,47.83,44024
44,25,25,14,56.0,11,44.0,44025
44,26,22,11,50.0,11,50.0,44026
44,27,37,20,54.05,17,45.95,44027
44,28,23,12,52.17,11,47.83,44028
44,29,53,28,52.83,25,47.17,44029
44,30,21,10,47.62,11,52.38,44030
44,31,43,21,48.84,22,51.16,44031
44,32,11,5,45.45,6,54.55,44032
44,33,28,13,46.43,15,53.57,44033
44,34,20,10,50.0,10,50.0,44034
44,36,21,10,47.62,11,52.38,44036
44,37,37,18,48.65,19,51.35,44037
44,38,22,12,54.55,10,45.45,44038
44,39,31,15,48.39,16,51.61,44039
44,40,41,21,51.22,20,48.78,44040
44,41,25,13,52.0,12,48.0,44041
44,42,27,15,55.56,12,44.44,44042
44,43,32,16,50.0,16,50.0,44043
44,44,33,16,48.48,17,51.52,44044
44,45,22,11,50.0,11,50.0,44045
44,46,11,6,54.55,5,45.45,44046
44,47,49,25,51.02,24,48.98,44047
44,50,51,25,49.02,26,50.98,44050
45,1,28,14,50.0,14,50.0,45001
45,2,46,24,52.17,22,47.83,45002
45,3,22,10,45.45,12,54.55,45003
45,4,61,30,49.18,31,50.82,45004
45,5,68,34,50.0,34,50.0,45005
45,6,36,18,50.0,18,50.0,45006
45,7,34,16,47.06,18,52.94,45007
45,8,41,19,46.34,22,53.66,45008
45,9,46,22,47.83,24,52.17,45009
45,10,42,21,50.0,21,50.0,45010
45,11,52,27,51.92,25,48.08,45011
45,12,42,21,50.0,21,50.0,45012
45,13,36,18,50.0,18,50.0,45013
45,14,39,18,46.15,21,53.85,45014
45,15,45,22,48.89,23,51.11,45015
45,16,31,14,45.16,17,54.84,45016
45,17,31,16,51.61,15,48.39,45017
45,18,24,12,50.0,12,50.0,45018
45,19,30,15,50.0,15,50.0,45019
45,20,28,13,46.43,15,53.57,45020
45,21,56,28,50.0,28,50.0,45021
45,22,42,22,52.38,20,47.62,45022
45,23,43,20,46.51,23,53.49,45023
45,24,72,37,51.39,35,48.61,45024
45,25,32,16,50.0,16,50.0,45025
45,26,13,6,46.15,7,53.85,45026
45,27,35,19,54.29,16,45.71,45027
45,28,15,7,46.67,8,53.33,45028
45,29,38,20,52.63,18,47.37,45029
45,30,43,22,51.16,21,48.84,45030
45,31,32,15,46.88,17,53.13,45031
45,32,37,19,51.35,18,48.65,45032
45,33,38,19,50.0,19,50.0,45033
45,34,23,11,47.83,12,52.17,45034
45,35,61,30,49.18,31,50.82,45035
45,36,35,19,54.29,16,45.71,45036
45,37,25,11,44.0,14,56.0,45037
45,38,31,14,45.16,17,54.84,45038
45,39,37,19,51.35,18,48.65,45039
45,40,38,19,50.0,19,50.0,45040
45,41,27,13,48.15,14,51.85,45041
45,42,14,6,42.86,8,57.14,45042
45,43,28,15,53.57,13,46.43,45043
45,44,36,18,50.0,18,50.0,45044
45,45,23,11,47.83,12,52.17,45045
45,46,29,14,48.28,15,51.72,45046
45,47,34,18,52.94,16,47.06,45047
45,48,33,16,48.48,17,51.52,45048
45,49,52,26,50.0,26,50.0,45049
45,50,32,16,50.0,16,50.0,45050
45,51,52,25,48.08,27,51.92,45051
45,52,39,18,46.15,21,53.85,45052
45,53,40,20,50.0,20,50.0,45053
46,3,28,15,53.57,13,46.43,46003
46,5,13,6,46.15,7,53.85,46005
46,13,61,30,49.18,31,50.82,46013
46,17,54,27,50.0,27,50.0,46017
46,18,30,16,53.33,14,46.67,46018
46,24,24,12,50.0,12,50.0,46024
46,29,34,17,50.0,17,50.0,46029
46,31,24,12,50.0,12,50.0,46031
46,36,53,27,50.94,26,49.06,46036
46,37,27,14,51.85,13,48.15,46037
46,43,20,10,50.0,10,50.0,46043
47,1,19,10,52.63,9,47.37,47001
47,2,14,6,42.86,8,57.14,47002
47,3,17,9,52.94,8,47.06,47003
47,4,12,6,50.0,6,50.0,47004
47,5,20,9,45.0,11,55.0,47005
47,6,18,9,50.0,9,50.0,47006
47,7,23,11,47.83,12,52.17,47007
47,8,25,13,52.0,12,48.0,47008
47,9,10,6,60.0,4,40.0,47009
47,10,12,7,58.33,5,41.67,47010
47,11,19,9,47.37,10,52.63,47011
47,12,29,15,51.72,14,48.28,47012
47,13,28,15,53.57,13,46.43,47013
47,14,12,6,50.0,6,50.0,47014
47,15,6,3,50.0,3,50.0,47015
47,16,9,4,44.44,5,55.56,47016
47,17,17,8,47.06,9,52.94,47017
47,18,34,17,50.0,17,50.0,47018
47,19,17,9,52.94,8,47.06,47019
47,20,18,9,50.0,9,50.0,47020
47,21,39,21,53.85,18,46.15,47021
47,22,19,10,52.63,9,47.37,47022
47,23,7,3,42.86,4,57.14,47023
47,24,20,9,45.0,11,55.0,47024
47,25,23,12,52.17,11,47.83,47025
47,26,34,18,52.94,16,47.06,47026
47,27,18,9,50.0,9,50.0,47027
47,28,16,7,43.75,9,56.25,47028
47,29,36,18,50.0,18,50.0,47029
47,30,33,17,51.52,16,48.48,47030
47,31,6,3,50.0,3,50.0,47031
47,32,13,6,46.15,7,53.85,47032
47,33,3,2,66.67,1,33.33,47033
47,34,14,7,50.0,7,50.0,47034
47,35,22,9,40.91,13,59.09,47035
47,36,12,6,50.0,6,50.0,47036
47,37,40,18,45.0,22,55.0,47037
47,38,13,7,53.85,6,46.15,47038
47,39,24,12,50.0,12,50.0,47039
47,40,21,11,52.38,10,47.62,47040
47,41,32,15,46.88,17,53.13,47041
47,42,13,7,53.85,6,46.15,47042
47,43,20,10,50.0,10,50.0,47043
47,44,37,19,51.35,18,48.65,47044
47,45,32,16,50.0,16,50.0,47045
47,46,26,14,53.85,12,46.15,47046
47,47,34,16,47.06,18,52.94,47047
47,48,2,1,50.0,1,50.0,47048
47,49,20,10,50.0,10,50.0,47049
47,50,32,17,53.13,15,46.88,47050
47,51,10,5,50.0,5,50.0,47051
50,44,18,10,55.56,8,44.44,50044
50,45,1,1,100.0,0,0.0,50045
