ward,precinct,total,Ramiro Gonzalez (Bush),Ramiro Gonzalez (Bush) Percent,Francisco Perez (Bush),Francisco Perez (Bush) Percent,precinct_id
14,14,6,3,50.0,3,50.0,14014
14,15,6,3,50.0,3,50.0,14015
14,16,23,12,52.17,11,47.83,14016
14,17,10,5,50.0,5,50.0,14017
14,18,8,4,50.0,4,50.0,14018
14,19,7,4,57.14,3,42.86,14019
14,20,9,4,44.44,5,55.56,14020
14,21,5,3,60.0,2,40.0,14021
14,22,7,3,42.86,4,57.14,14022
14,23,6,3,50.0,3,50.0,14023
14,24,1,1,100.0,0,0.0,14024
14,26,6,3,50.0,3,50.0,14026
14,27,9,4,44.44,5,55.56,14027
14,29,9,5,55.56,4,44.44,14029
14,30,16,10,62.5,6,37.5,14030
14,31,3,2,66.67,1,33.33,14031
14,32,3,2,66.67,1,33.33,14032
14,33,4,2,50.0,2,50.0,14033
14,34,4,2,50.0,2,50.0,14034
14,35,14,7,50.0,7,50.0,14035
14,36,11,5,45.45,6,54.55,14036
14,37,4,2,50.0,2,50.0,14037
16,21,2,1,50.0,1,50.0,16021
16,32,0,0,0.0,0,0.0,16032
20,4,7,5,71.43,2,28.57,20004
20,8,9,4,44.44,5,55.56,20008
20,15,15,8,53.33,7,46.67,20015
20,21,4,2,50.0,2,50.0,20021
20,43,1,1,100.0,0,0.0,20043
22,1,4,2,50.0,2,50.0,22001
22,2,2,1,50.0,1,50.0,22002
22,3,7,4,57.14,3,42.86,22003
22,4,6,4,66.67,2,33.33,22004
22,5,2,2,100.0,0,0.0,22005
22,6,2,2,100.0,0,0.0,22006
22,8,3,1,33.33,2,66.67,22008
22,9,8,5,62.5,3,37.5,22009
22,10,10,7,70.0,3,30.0,22010
22,11,2,1,50.0,1,50.0,22011
22,12,1,1,100.0,0,0.0,22012
22,13,2,2,100.0,0,0.0,22013
22,14,3,1,33.33,2,66.67,22014
22,15,2,1,50.0,1,50.0,22015
22,16,9,4,44.44,5,55.56,22016
22,17,7,4,57.14,3,42.86,22017
22,18,5,3,60.0,2,40.0,22018
22,20,10,5,50.0,5,50.0,22020
22,22,0,0,0.0,0,0.0,22022
22,23,0,0,0.0,0,0.0,22023
22,24,2,1,50.0,1,50.0,22024
22,25,1,0,0.0,1,100.0,22025
22,26,5,2,40.0,3,60.0,22026
22,27,9,6,66.67,3,33.33,22027
22,28,3,2,66.67,1,33.33,22028
22,29,1,0,0.0,1,100.0,22029
22,30,4,2,50.0,2,50.0,22030
23,9,19,10,52.63,9,47.37,23009
23,24,22,11,50.0,11,50.0,23024
23,29,19,10,52.63,9,47.37,23029
24,53,2,0,0.0,2,100.0,24053
24,57,6,4,66.67,2,33.33,24057
25,1,20,10,50.0,10,50.0,25001
25,2,26,14,53.85,12,46.15,25002
25,5,10,6,60.0,4,40.0,25005
25,6,16,9,56.25,7,43.75,25006
25,7,6,4,66.67,2,33.33,25007
25,8,2,1,50.0,1,50.0,25008
25,9,14,7,50.0,7,50.0,25009
25,11,14,9,64.29,5,35.71,25011
25,12,11,7,63.64,4,36.36,25012
25,13,13,6,46.15,7,53.85,25013
25,15,7,4,57.14,3,42.86,25015
25,17,11,7,63.64,4,36.36,25017
25,19,8,5,62.5,3,37.5,25019
25,20,7,5,71.43,2,28.57,25020
25,22,10,7,70.0,3,30.0,25022
25,23,4,4,100.0,0,0.0,25023
25,24,12,5,41.67,7,58.33,25024
25,30,3,1,33.33,2,66.67,25030
25,31,6,3,50.0,3,50.0,25031
26,1,12,6,50.0,6,50.0,26001
26,2,9,5,55.56,4,44.44,26002
26,3,2,1,50.0,1,50.0,26003
26,4,0,0,0.0,0,0.0,26004
26,5,2,1,50.0,1,50.0,26005
26,6,2,1,50.0,1,50.0,26006
26,7,4,2,50.0,2,50.0,26007
26,8,5,3,60.0,2,40.0,26008
26,9,9,4,44.44,5,55.56,26009
26,10,2,2,100.0,0,0.0,26010
26,11,10,5,50.0,5,50.0,26011
26,12,2,1,50.0,1,50.0,26012
26,13,7,4,57.14,3,42.86,26013
26,14,6,4,66.67,2,33.33,26014
26,15,6,3,50.0,3,50.0,26015
26,16,2,1,50.0,1,50.0,26016
26,18,4,2,50.0,2,50.0,26018
26,19,8,3,37.5,5,62.5,26019
26,20,10,7,70.0,3,30.0,26020
26,21,1,0,0.0,1,100.0,26021
26,22,1,1,100.0,0,0.0,26022
26,23,11,6,54.55,5,45.45,26023
26,24,4,2,50.0,2,50.0,26024
26,25,0,0,0.0,0,0.0,26025
26,26,4,3,75.0,1,25.0,26026
26,27,5,2,40.0,3,60.0,26027
26,28,4,2,50.0,2,50.0,26028
26,29,2,1,50.0,1,50.0,26029
26,30,5,3,60.0,2,40.0,26030
26,31,6,3,50.0,3,50.0,26031
26,32,15,8,53.33,7,46.67,26032
26,34,2,1,50.0,1,50.0,26034
26,35,8,5,62.5,3,37.5,26035
26,36,0,0,0.0,0,0.0,26036
26,37,12,6,50.0,6,50.0,26037
26,38,2,1,50.0,1,50.0,26038
26,39,6,3,50.0,3,50.0,26039
26,40,0,0,0.0,0,0.0,26040
26,41,2,1,50.0,1,50.0,26041
26,42,7,4,57.14,3,42.86,26042
26,43,7,3,42.86,4,57.14,26043
26,44,5,2,40.0,3,60.0,26044
26,45,4,2,50.0,2,50.0,26045
26,46,2,2,100.0,0,0.0,26046
26,47,4,2,50.0,2,50.0,26047
26,48,5,3,60.0,2,40.0,26048
26,49,1,0,0.0,1,100.0,26049
26,50,0,0,0.0,0,0.0,26050
26,51,2,1,50.0,1,50.0,26051
26,52,0,0,0.0,0,0.0,26052
26,53,6,3,50.0,3,50.0,26053
26,54,4,3,75.0,1,25.0,26054
26,55,2,1,50.0,1,50.0,26055
26,56,2,1,50.0,1,50.0,26056
26,57,4,2,50.0,2,50.0,26057
26,58,1,1,100.0,0,0.0,26058
26,59,8,4,50.0,4,50.0,26059
26,60,10,7,70.0,3,30.0,26060
26,61,3,1,33.33,2,66.67,26061
26,62,7,4,57.14,3,42.86,26062
26,63,0,0,0.0,0,0.0,26063
27,32,2,2,100.0,0,0.0,27032
27,35,24,12,50.0,12,50.0,27035
27,38,26,13,50.0,13,50.0,27038
27,41,11,6,54.55,5,45.45,27041
27,55,4,2,50.0,2,50.0,27055
27,56,8,4,50.0,4,50.0,27056
27,59,8,4,50.0,4,50.0,27059
28,29,0,0,0.0,0,0.0,28029
28,34,2,1,50.0,1,50.0,28034
28,38,1,1,100.0,0,0.0,28038
29,6,11,5,45.45,6,54.55,29006
29,7,15,8,53.33,7,46.67,29007
29,30,7,4,57.14,3,42.86,29030
29,39,15,9,60.0,6,40.0,29039
29,52,13,7,53.85,6,46.15,29052
29,53,1,1,100.0,0,0.0,29053
30,4,5,3,60.0,2,40.0,30004
30,5,7,4,57.14,3,42.86,30005
30,6,3,1,33.33,2,66.67,30006
30,17,0,0,0.0,0,0.0,30017
30,18,8,5,62.5,3,37.5,30018
30,19,2,1,50.0,1,50.0,30019
30,20,5,3,60.0,2,40.0,30020
30,21,9,5,55.56,4,44.44,30021
30,22,11,6,54.55,5,45.45,30022
30,23,2,1,50.0,1,50.0,30023
30,24,6,4,66.67,2,33.33,30024
30,25,7,4,57.14,3,42.86,30025
30,26,0,0,0.0,0,0.0,30026
30,27,9,5,55.56,4,44.44,30027
30,29,4,2,50.0,2,50.0,30029
30,31,2,1,50.0,1,50.0,30031
30,32,2,1,50.0,1,50.0,30032
30,33,8,4,50.0,4,50.0,30033
30,35,7,3,42.86,4,57.14,30035
30,36,29,16,55.17,13,44.83,30036
30,41,4,3,75.0,1,25.0,30041
31,1,16,8,50.0,8,50.0,31001
31,2,16,9,56.25,7,43.75,31002
31,4,6,3,50.0,3,50.0,31004
31,5,15,7,46.67,8,53.33,31005
31,6,11,6,54.55,5,45.45,31006
31,7,9,4,44.44,5,55.56,31007
31,10,0,0,0.0,0,0.0,31010
31,11,6,3,50.0,3,50.0,31011
31,12,11,5,45.45,6,54.55,31012
31,13,12,7,58.33,5,41.67,31013
31,14,2,1,50.0,1,50.0,31014
31,16,0,0,0.0,0,0.0,31016
31,17,7,4,57.14,3,42.86,31017
31,18,6,2,33.33,4,66.67,31018
31,20,4,2,50.0,2,50.0,31020
31,21,6,3,50.0,3,50.0,31021
31,22,5,3,60.0,2,40.0,31022
31,23,8,6,75.0,2,25.0,31023
31,24,4,2,50.0,2,50.0,31024
31,25,8,4,50.0,4,50.0,31025
31,27,3,2,66.67,1,33.33,31027
31,30,12,6,50.0,6,50.0,31030
31,31,26,13,50.0,13,50.0,31031
31,34,6,3,50.0,3,50.0,31034
31,35,7,4,57.14,3,42.86,31035
31,36,4,2,50.0,2,50.0,31036
31,37,13,8,61.54,5,38.46,31037
31,39,13,7,53.85,6,46.15,31039
31,40,7,3,42.86,4,57.14,31040
31,42,2,1,50.0,1,50.0,31042
31,44,6,4,66.67,2,33.33,31044
31,49,9,5,55.56,4,44.44,31049
31,51,4,2,50.0,2,50.0,31051
32,1,3,1,33.33,2,66.67,32001
32,2,17,10,58.82,7,41.18,32002
32,3,18,9,50.0,9,50.0,32003
32,4,23,12,52.17,11,47.83,32004
32,5,11,5,45.45,6,54.55,32005
32,11,13,7,53.85,6,46.15,32011
32,12,11,5,45.45,6,54.55,32012
32,14,10,5,50.0,5,50.0,32014
32,16,24,12,50.0,12,50.0,32016
32,17,9,5,55.56,4,44.44,32017
32,28,12,6,50.0,6,50.0,32028
32,29,30,15,50.0,15,50.0,32029
32,31,45,22,48.89,23,51.11,32031
32,33,12,7,58.33,5,41.67,32033
32,34,17,9,52.94,8,47.06,32034
32,35,28,15,53.57,13,46.43,32035
32,36,36,16,44.44,20,55.56,32036
32,46,3,1,33.33,2,66.67,32046
32,52,14,7,50.0,7,50.0,32052
33,1,10,5,50.0,5,50.0,33001
33,2,25,11,44.0,14,56.0,33002
33,3,14,7,50.0,7,50.0,33003
33,4,13,7,53.85,6,46.15,33004
33,6,8,4,50.0,4,50.0,33006
33,8,29,14,48.28,15,51.72,33008
33,9,16,8,50.0,8,50.0,33009
33,11,27,14,51.85,13,48.15,33011
33,12,9,4,44.44,5,55.56,33012
33,13,13,7,53.85,6,46.15,33013
33,15,7,4,57.14,3,42.86,33015
33,17,18,9,50.0,9,50.0,33017
33,19,13,7,53.85,6,46.15,33019
33,20,10,5,50.0,5,50.0,33020
33,21,10,5,50.0,5,50.0,33021
33,22,2,1,50.0,1,50.0,33022
33,26,13,6,46.15,7,53.85,33026
33,27,11,7,63.64,4,36.36,33027
33,30,27,14,51.85,13,48.15,33030
33,31,31,16,51.61,15,48.39,33031
33,32,13,7,53.85,6,46.15,33032
33,33,19,10,52.63,9,47.37,33033
35,1,51,22,43.14,29,56.86,35001
35,2,13,4,30.77,9,69.23,35002
35,3,23,12,52.17,11,47.83,35003
35,4,40,22,55.0,18,45.0,35004
35,5,27,11,40.74,16,59.26,35005
35,6,17,8,47.06,9,52.94,35006
35,7,17,8,47.06,9,52.94,35007
35,8,11,6,54.55,5,45.45,35008
35,9,22,9,40.91,13,59.09,35009
35,10,8,4,50.0,4,50.0,35010
35,11,20,9,45.0,11,55.0,35011
35,12,19,9,47.37,10,52.63,35012
35,13,11,7,63.64,4,36.36,35013
35,14,8,5,62.5,3,37.5,35014
35,15,17,8,47.06,9,52.94,35015
35,16,7,3,42.86,4,57.14,35016
35,17,22,11,50.0,11,50.0,35017
35,18,20,10,50.0,10,50.0,35018
35,19,19,10,52.63,9,47.37,35019
35,20,7,4,57.14,3,42.86,35020
35,21,28,13,46.43,15,53.57,35021
35,23,11,4,36.36,7,63.64,35023
35,24,5,2,40.0,3,60.0,35024
35,25,41,20,48.78,21,51.22,35025
35,26,14,7,50.0,7,50.0,35026
35,27,4,3,75.0,1,25.0,35027
35,28,25,11,44.0,14,56.0,35028
35,29,12,6,50.0,6,50.0,35029
35,30,14,7,50.0,7,50.0,35030
35,31,27,13,48.15,14,51.85,35031
35,32,8,4,50.0,4,50.0,35032
35,34,19,9,47.37,10,52.63,35034
35,35,1,1,100.0,0,0.0,35035
36,4,16,8,50.0,8,50.0,36004
36,33,9,5,55.56,4,44.44,36033
36,44,0,0,0.0,0,0.0,36044
36,54,2,1,50.0,1,50.0,36054
36,55,2,1,50.0,1,50.0,36055
37,1,6,4,66.67,2,33.33,37001
37,11,9,4,44.44,5,55.56,37011
37,39,8,4,50.0,4,50.0,37039
37,47,0,0,0.0,0,0.0,37047
37,50,16,8,50.0,8,50.0,37050
37,52,1,1,100.0,0,0.0,37052
