ward,precinct,total,William A. O'Connor (Bush),William A. O'Connor (Bush) Percent,Patricia M. Pavlich (Bush),Patricia M. Pavlich (Bush) Percent,precinct_id
19,34,41,21,51.22,20,48.78,19034
19,35,25,13,52.0,12,48.0,19035
19,36,27,14,51.85,13,48.15,19036
19,37,34,17,50.0,17,50.0,19037
19,38,38,19,50.0,19,50.0,19038
19,39,6,3,50.0,3,50.0,19039
19,40,35,18,51.43,17,48.57,19040
19,41,43,22,51.16,21,48.84,19041
19,42,16,8,50.0,8,50.0,19042
19,44,19,11,57.89,8,42.11,19044
19,45,35,19,54.29,16,45.71,19045
19,46,35,18,51.43,17,48.57,19046
19,47,6,4,66.67,2,33.33,19047
19,49,32,16,50.0,16,50.0,19049
19,51,28,15,53.57,13,46.43,19051
19,52,32,18,56.25,14,43.75,19052
19,53,16,9,56.25,7,43.75,19053
19,54,42,20,47.62,22,52.38,19054
19,55,31,15,48.39,16,51.61,19055
19,56,41,21,51.22,20,48.78,19056
19,57,42,20,47.62,22,52.38,19057
19,58,51,26,50.98,25,49.02,19058
19,59,56,29,51.79,27,48.21,19059
19,61,19,9,47.37,10,52.63,19061
19,62,25,12,48.0,13,52.0,19062
19,63,8,4,50.0,4,50.0,19063
19,64,26,13,50.0,13,50.0,19064
19,65,15,8,53.33,7,46.67,19065
19,67,15,6,40.0,9,60.0,19067
20,41,0,0,0.0,0,0.0,20041
20,51,5,2,40.0,3,60.0,20051
23,1,29,16,55.17,13,44.83,23001
23,2,7,3,42.86,4,57.14,23002
23,3,41,21,51.22,20,48.78,23003
23,4,42,21,50.0,21,50.0,23004
23,5,30,16,53.33,14,46.67,23005
23,6,31,16,51.61,15,48.39,23006
23,7,0,0,0.0,0,0.0,23007
23,8,22,13,59.09,9,40.91,23008
23,10,17,7,41.18,10,58.82,23010
23,11,34,18,52.94,16,47.06,23011
23,12,28,14,50.0,14,50.0,23012
23,13,39,19,48.72,20,51.28,23013
23,14,0,0,0.0,0,0.0,23014
23,15,23,14,60.87,9,39.13,23015
23,16,24,13,54.17,11,45.83,23016
23,17,40,21,52.5,19,47.5,23017
23,18,20,10,50.0,10,50.0,23018
23,19,28,15,53.57,13,46.43,23019
23,20,19,10,52.63,9,47.37,23020
23,21,0,0,0.0,0,0.0,23021
23,22,18,11,61.11,7,38.89,23022
23,23,24,13,54.17,11,45.83,23023
23,25,20,11,55.0,9,45.0,23025
23,26,24,12,50.0,12,50.0,23026
23,27,28,14,50.0,14,50.0,23027
23,28,25,13,52.0,12,48.0,23028
23,30,14,7,50.0,7,50.0,23030
23,31,19,11,57.89,8,42.11,23031
23,32,24,14,58.33,10,41.67,23032
23,33,9,4,44.44,5,55.56,23033
23,34,15,8,53.33,7,46.67,23034
23,35,3,1,33.33,2,66.67,23035
23,36,34,18,52.94,16,47.06,23036
23,37,9,5,55.56,4,44.44,23037
23,38,15,8,53.33,7,46.67,23038
23,39,38,19,50.0,19,50.0,23039
23,40,41,21,51.22,20,48.78,23040
23,41,23,11,47.83,12,52.17,23041
23,42,14,5,35.71,9,64.29,23042
23,43,47,25,53.19,22,46.81,23043
23,44,17,9,52.94,8,47.06,23044
23,45,40,22,55.0,18,45.0,23045
23,46,18,9,50.0,9,50.0,23046
23,47,39,19,48.72,20,51.28,23047
23,48,13,7,53.85,6,46.15,23048
23,49,36,19,52.78,17,47.22,23049
23,50,16,7,43.75,9,56.25,23050
23,51,10,4,40.0,6,60.0,23051
23,52,20,10,50.0,10,50.0,23052
23,53,10,5,50.0,5,50.0,23053
23,54,50,26,52.0,24,48.0,23054
23,55,27,14,51.85,13,48.15,23055
23,56,45,24,53.33,21,46.67,23056
