ward,precinct,total,G. A. Finch (Bush),G. A. Finch (Bush) Percent,E. Suzanne Davis (Bush),E. Suzanne Davis (Bush) Percent,precinct_id
33,24,20,9,45.0,11,55.0,33024
33,25,16,8,50.0,8,50.0,33025
33,28,13,7,53.85,6,46.15,33028
33,29,13,7,53.85,6,46.15,33029
33,34,11,5,45.45,6,54.55,33034
35,22,10,5,50.0,5,50.0,35022
35,33,14,7,50.0,7,50.0,35033
36,1,43,23,53.49,20,46.51,36001
36,2,14,7,50.0,7,50.0,36002
36,3,18,9,50.0,9,50.0,36003
36,5,13,6,46.15,7,53.85,36005
36,6,41,21,51.22,20,48.78,36006
36,7,32,16,50.0,16,50.0,36007
36,8,40,20,50.0,20,50.0,36008
36,9,44,21,47.73,23,52.27,36009
36,10,15,7,46.67,8,53.33,36010
36,11,30,16,53.33,14,46.67,36011
36,12,27,13,48.15,14,51.85,36012
36,13,43,21,48.84,22,51.16,36013
36,14,17,7,41.18,10,58.82,36014
36,15,29,14,48.28,15,51.72,36015
36,16,14,8,57.14,6,42.86,36016
36,17,15,8,53.33,7,46.67,36017
36,18,36,18,50.0,18,50.0,36018
36,19,28,14,50.0,14,50.0,36019
36,20,34,17,50.0,17,50.0,36020
36,21,48,25,52.08,23,47.92,36021
36,22,28,12,42.86,16,57.14,36022
36,25,24,12,50.0,12,50.0,36025
36,26,52,27,51.92,25,48.08,36026
36,27,24,12,50.0,12,50.0,36027
36,28,28,14,50.0,14,50.0,36028
36,29,22,10,45.45,12,54.55,36029
36,30,47,24,51.06,23,48.94,36030
36,31,35,19,54.29,16,45.71,36031
36,32,19,10,52.63,9,47.37,36032
36,33,5,3,60.0,2,40.0,36033
36,34,31,14,45.16,17,54.84,36034
36,35,26,12,46.15,14,53.85,36035
36,36,21,11,52.38,10,47.62,36036
36,37,21,11,52.38,10,47.62,36037
36,38,19,10,52.63,9,47.37,36038
36,39,26,13,50.0,13,50.0,36039
36,40,29,14,48.28,15,51.72,36040
36,41,24,10,41.67,14,58.33,36041
36,42,13,6,46.15,7,53.85,36042
36,43,21,10,47.62,11,52.38,36043
36,45,9,4,44.44,5,55.56,36045
36,46,20,9,45.0,11,55.0,36046
36,47,19,10,52.63,9,47.37,36047
36,48,23,11,47.83,12,52.17,36048
36,49,44,22,50.0,22,50.0,36049
36,50,30,15,50.0,15,50.0,36050
36,51,15,8,53.33,7,46.67,36051
36,52,28,14,50.0,14,50.0,36052
36,53,18,8,44.44,10,55.56,36053
36,55,7,3,42.86,4,57.14,36055
37,52,0,0,0.0,0,0.0,37052
38,1,31,16,51.61,15,48.39,38001
38,2,24,11,45.83,13,54.17,38002
38,3,27,14,51.85,13,48.15,38003
38,4,14,7,50.0,7,50.0,38004
38,5,34,16,47.06,18,52.94,38005
38,6,21,9,42.86,12,57.14,38006
38,7,23,12,52.17,11,47.83,38007
38,8,33,17,51.52,16,48.48,38008
38,9,19,10,52.63,9,47.37,38009
38,10,32,16,50.0,16,50.0,38010
38,11,18,10,55.56,8,44.44,38011
38,12,46,23,50.0,23,50.0,38012
38,13,24,12,50.0,12,50.0,38013
38,14,26,13,50.0,13,50.0,38014
38,15,9,5,55.56,4,44.44,38015
38,16,22,11,50.0,11,50.0,38016
38,17,6,3,50.0,3,50.0,38017
38,18,36,18,50.0,18,50.0,38018
38,19,40,18,45.0,22,55.0,38019
38,20,62,31,50.0,31,50.0,38020
38,21,23,12,52.17,11,47.83,38021
38,22,29,13,44.83,16,55.17,38022
38,23,20,10,50.0,10,50.0,38023
38,24,2,1,50.0,1,50.0,38024
38,25,11,6,54.55,5,45.45,38025
38,26,16,9,56.25,7,43.75,38026
38,27,33,17,51.52,16,48.48,38027
38,28,23,11,47.83,12,52.17,38028
38,29,19,9,47.37,10,52.63,38029
38,30,9,5,55.56,4,44.44,38030
38,31,20,10,50.0,10,50.0,38031
38,32,48,26,54.17,22,45.83,38032
38,33,12,6,50.0,6,50.0,38033
38,34,8,4,50.0,4,50.0,38034
38,35,23,12,52.17,11,47.83,38035
38,36,16,7,43.75,9,56.25,38036
38,37,28,15,53.57,13,46.43,38037
38,38,43,22,51.16,21,48.84,38038
38,39,18,9,50.0,9,50.0,38039
38,40,30,15,50.0,15,50.0,38040
38,41,38,21,55.26,17,44.74,38041
38,42,35,19,54.29,16,45.71,38042
38,43,28,14,50.0,14,50.0,38043
38,44,29,15,51.72,14,48.28,38044
38,45,31,15,48.39,16,51.61,38045
38,46,33,18,54.55,15,45.45,38046
38,47,27,15,55.56,12,44.44,38047
38,48,25,12,48.0,13,52.0,38048
38,49,26,14,53.85,12,46.15,38049
38,50,21,9,42.86,12,57.14,38050
38,51,17,9,52.94,8,47.06,38051
38,52,28,15,53.57,13,46.43,38052
38,53,0,0,0.0,0,0.0,38053
39,1,42,21,50.0,21,50.0,39001
39,2,69,36,52.17,33,47.83,39002
39,3,51,25,49.02,26,50.98,39003
39,4,28,14,50.0,14,50.0,39004
39,5,30,15,50.0,15,50.0,39005
39,6,65,34,52.31,31,47.69,39006
39,7,11,5,45.45,6,54.55,39007
39,8,18,9,50.0,9,50.0,39008
39,9,24,12,50.0,12,50.0,39009
39,10,17,9,52.94,8,47.06,39010
39,11,23,11,47.83,12,52.17,39011
39,12,7,3,42.86,4,57.14,39012
39,13,4,2,50.0,2,50.0,39013
39,14,17,7,41.18,10,58.82,39014
39,15,41,22,53.66,19,46.34,39015
39,16,10,5,50.0,5,50.0,39016
39,17,13,6,46.15,7,53.85,39017
39,18,27,14,51.85,13,48.15,39018
39,19,9,5,55.56,4,44.44,39019
39,20,43,22,51.16,21,48.84,39020
39,21,11,4,36.36,7,63.64,39021
39,22,10,4,40.0,6,60.0,39022
39,23,18,9,50.0,9,50.0,39023
39,24,6,3,50.0,3,50.0,39024
39,25,41,20,48.78,21,51.22,39025
39,26,45,23,51.11,22,48.89,39026
39,27,38,18,47.37,20,52.63,39027
39,28,33,17,51.52,16,48.48,39028
39,29,31,15,48.39,16,51.61,39029
39,30,12,6,50.0,6,50.0,39030
39,31,16,8,50.0,8,50.0,39031
39,32,7,4,57.14,3,42.86,39032
39,33,30,14,46.67,16,53.33,39033
39,34,47,24,51.06,23,48.94,39034
39,35,46,23,50.0,23,50.0,39035
39,36,20,10,50.0,10,50.0,39036
39,37,58,28,48.28,30,51.72,39037
39,38,44,22,50.0,22,50.0,39038
39,39,6,3,50.0,3,50.0,39039
39,40,28,14,50.0,14,50.0,39040
39,41,12,6,50.0,6,50.0,39041
39,42,32,16,50.0,16,50.0,39042
39,43,50,25,50.0,25,50.0,39043
39,44,27,14,51.85,13,48.15,39044
39,45,21,12,57.14,9,42.86,39045
39,46,14,6,42.86,8,57.14,39046
39,47,23,11,47.83,12,52.17,39047
40,1,15,6,40.0,9,60.0,40001
40,2,15,7,46.67,8,53.33,40002
40,5,13,7,53.85,6,46.15,40005
40,6,22,12,54.55,10,45.45,40006
40,10,26,14,53.85,12,46.15,40010
40,14,24,12,50.0,12,50.0,40014
40,15,20,9,45.0,11,55.0,40015
40,17,7,3,42.86,4,57.14,40017
40,19,28,14,50.0,14,50.0,40019
40,20,22,11,50.0,11,50.0,40020
40,21,23,11,47.83,12,52.17,40021
40,23,21,11,52.38,10,47.62,40023
40,24,16,8,50.0,8,50.0,40024
40,25,23,12,52.17,11,47.83,40025
40,29,22,11,50.0,11,50.0,40029
40,30,15,7,46.67,8,53.33,40030
40,31,26,14,53.85,12,46.15,40031
40,32,31,16,51.61,15,48.39,40032
40,34,18,8,44.44,10,55.56,40034
40,36,35,17,48.57,18,51.43,40036
40,38,8,4,50.0,4,50.0,40038
40,40,25,13,52.0,12,48.0,40040
40,41,3,1,33.33,2,66.67,40041
40,44,36,20,55.56,16,44.44,40044
40,45,53,27,50.94,26,49.06,40045
40,48,31,16,51.61,15,48.39,40048
40,49,10,5,50.0,5,50.0,40049
41,3,54,27,50.0,27,50.0,41003
41,9,54,28,51.85,26,48.15,41009
41,10,63,32,50.79,31,49.21,41010
41,12,54,25,46.3,29,53.7,41012
41,14,63,30,47.62,33,52.38,41014
41,16,82,42,51.22,40,48.78,41016
41,19,91,46,50.55,45,49.45,41019
41,21,85,42,49.41,43,50.59,41021
41,22,43,21,48.84,22,51.16,41022
41,23,53,26,49.06,27,50.94,41023
41,24,65,32,49.23,33,50.77,41024
41,30,57,27,47.37,30,52.63,41030
41,35,62,31,50.0,31,50.0,41035
41,43,74,35,47.3,39,52.7,41043
41,46,45,21,46.67,24,53.33,41046
41,47,86,42,48.84,44,51.16,41047
41,50,60,31,51.67,29,48.33,41050
41,51,61,30,49.18,31,50.82,41051
41,54,65,34,52.31,31,47.69,41054
41,57,82,42,51.22,40,48.78,41057
41,59,38,20,52.63,18,47.37,41059
41,62,38,19,50.0,19,50.0,41062
41,65,81,41,50.62,40,49.38,41065
41,66,96,45,46.88,51,53.13,41066
41,67,29,16,55.17,13,44.83,41067
41,68,39,21,53.85,18,46.15,41068
41,69,61,30,49.18,31,50.82,41069
41,70,55,27,49.09,28,50.91,41070
41,71,36,18,50.0,18,50.0,41071
43,2,52,26,50.0,26,50.0,43002
43,6,28,14,50.0,14,50.0,43006
43,7,11,6,54.55,5,45.45,43007
43,8,34,17,50.0,17,50.0,43008
43,12,79,40,50.63,39,49.37,43012
43,14,55,27,49.09,28,50.91,43014
43,17,36,16,44.44,20,55.56,43017
43,19,22,12,54.55,10,45.45,43019
43,20,27,15,55.56,12,44.44,43020
43,21,6,3,50.0,3,50.0,43021
43,22,41,20,48.78,21,51.22,43022
43,27,32,16,50.0,16,50.0,43027
43,29,42,20,47.62,22,52.38,43029
43,31,22,11,50.0,11,50.0,43031
43,32,35,15,42.86,20,57.14,43032
43,33,26,12,46.15,14,53.85,43033
43,34,20,10,50.0,10,50.0,43034
43,35,25,12,48.0,13,52.0,43035
43,38,44,19,43.18,25,56.82,43038
43,39,24,12,50.0,12,50.0,43039
43,41,10,5,50.0,5,50.0,43041
43,43,52,25,48.08,27,51.92,43043
43,44,49,22,44.9,27,55.1,43044
43,45,8,4,50.0,4,50.0,43045
43,48,34,15,44.12,19,55.88,43048
43,50,29,16,55.17,13,44.83,43050
43,53,58,28,48.28,30,51.72,43053
43,56,14,7,50.0,7,50.0,43056
43,57,45,20,44.44,25,55.56,43057
43,58,46,21,45.65,25,54.35,43058
43,59,79,38,48.1,41,51.9,43059
44,1,49,25,51.02,24,48.98,44001
44,2,33,17,51.52,16,48.48,44002
44,5,41,22,53.66,19,46.34,44005
44,6,39,19,48.72,20,51.28,44006
44,8,24,11,45.83,13,54.17,44008
44,9,50,25,50.0,25,50.0,44009
44,10,25,13,52.0,12,48.0,44010
44,11,43,22,51.16,21,48.84,44011
44,12,24,12,50.0,12,50.0,44012
44,13,36,18,50.0,18,50.0,44013
44,14,27,13,48.15,14,51.85,44014
44,15,34,16,47.06,18,52.94,44015
44,16,25,12,48.0,13,52.0,44016
44,17,47,23,48.94,24,51.06,44017
44,18,32,16,50.0,16,50.0,44018
44,19,18,9,50.0,9,50.0,44019
44,20,8,4,50.0,4,50.0,44020
44,21,37,18,48.65,19,51.35,44021
44,22,64,32,50.0,32,50.0,44022
44,23,19,10,52.63,9,47.37,44023
44,24,23,11,47.83,12,52.17,44024
44,25,25,14,56.0,11,44.0,44025
44,26,22,11,50.0,11,50.0,44026
44,27,33,16,48.48,17,51.52,44027
44,28,24,11,45.83,13,54.17,44028
44,29,53,27,50.94,26,49.06,44029
44,30,21,11,52.38,10,47.62,44030
44,31,43,22,51.16,21,48.84,44031
44,32,11,5,45.45,6,54.55,44032
44,33,28,12,42.86,16,57.14,44033
44,34,24,13,54.17,11,45.83,44034
44,36,21,10,47.62,11,52.38,44036
44,37,39,19,48.72,20,51.28,44037
44,38,22,11,50.0,11,50.0,44038
44,39,30,15,50.0,15,50.0,44039
44,40,43,23,53.49,20,46.51,44040
44,41,24,12,50.0,12,50.0,44041
44,42,26,13,50.0,13,50.0,44042
44,43,34,16,47.06,18,52.94,44043
44,44,35,17,48.57,18,51.43,44044
44,45,21,11,52.38,10,47.62,44045
44,46,13,7,53.85,6,46.15,44046
44,47,53,27,50.94,26,49.06,44047
44,50,51,25,49.02,26,50.98,44050
45,1,26,13,50.0,13,50.0,45001
45,2,46,22,47.83,24,52.17,45002
45,3,23,11,47.83,12,52.17,45003
45,4,62,31,50.0,31,50.0,45004
45,5,67,35,52.24,32,47.76,45005
45,6,36,19,52.78,17,47.22,45006
45,7,34,16,47.06,18,52.94,45007
45,8,45,23,51.11,22,48.89,45008
45,9,45,23,51.11,22,48.89,45009
45,10,43,22,51.16,21,48.84,45010
45,11,49,25,51.02,24,48.98,45011
45,12,43,20,46.51,23,53.49,45012
45,13,35,17,48.57,18,51.43,45013
45,14,40,19,47.5,21,52.5,45014
45,15,42,20,47.62,22,52.38,45015
45,16,30,16,53.33,14,46.67,45016
45,17,34,18,52.94,16,47.06,45017
45,18,25,11,44.0,14,56.0,45018
45,19,30,14,46.67,16,53.33,45019
45,20,31,16,51.61,15,48.39,45020
45,21,55,28,50.91,27,49.09,45021
45,22,44,22,50.0,22,50.0,45022
45,23,43,20,46.51,23,53.49,45023
45,24,71,37,52.11,34,47.89,45024
45,25,33,17,51.52,16,48.48,45025
45,26,13,6,46.15,7,53.85,45026
45,27,34,16,47.06,18,52.94,45027
45,28,15,8,53.33,7,46.67,45028
45,29,36,21,58.33,15,41.67,45029
45,30,45,22,48.89,23,51.11,45030
45,31,32,15,46.88,17,53.13,45031
45,32,35,17,48.57,18,51.43,45032
45,33,41,20,48.78,21,51.22,45033
45,34,24,12,50.0,12,50.0,45034
45,35,60,27,45.0,33,55.0,45035
45,36,34,17,50.0,17,50.0,45036
45,37,27,14,51.85,13,48.15,45037
45,38,33,16,48.48,17,51.52,45038
45,39,38,21,55.26,17,44.74,45039
45,40,33,16,48.48,17,51.52,45040
45,41,27,13,48.15,14,51.85,45041
45,42,16,8,50.0,8,50.0,45042
45,43,28,15,53.57,13,46.43,45043
45,44,37,19,51.35,18,48.65,45044
45,45,26,14,53.85,12,46.15,45045
45,46,32,16,50.0,16,50.0,45046
45,47,36,19,52.78,17,47.22,45047
45,48,34,16,47.06,18,52.94,45048
45,49,53,26,49.06,27,50.94,45049
45,50,33,16,48.48,17,51.52,45050
45,51,54,26,48.15,28,51.85,45051
45,52,39,20,51.28,19,48.72,45052
45,53,42,21,50.0,21,50.0,45053
46,3,29,14,48.28,15,51.72,46003
46,5,12,5,41.67,7,58.33,46005
46,13,63,30,47.62,33,52.38,46013
46,17,59,29,49.15,30,50.85,46017
46,18,30,15,50.0,15,50.0,46018
46,24,23,11,47.83,12,52.17,46024
46,29,33,16,48.48,17,51.52,46029
46,31,24,12,50.0,12,50.0,46031
46,36,52,24,46.15,28,53.85,46036
46,37,27,13,48.15,14,51.85,46037
46,43,20,10,50.0,10,50.0,46043
47,1,22,10,45.45,12,54.55,47001
47,2,17,7,41.18,10,58.82,47002
47,3,17,9,52.94,8,47.06,47003
47,4,13,6,46.15,7,53.85,47004
47,5,19,8,42.11,11,57.89,47005
47,6,18,9,50.0,9,50.0,47006
47,7,24,13,54.17,11,45.83,47007
47,8,30,15,50.0,15,50.0,47008
47,9,10,4,40.0,6,60.0,47009
47,10,12,7,58.33,5,41.67,47010
47,11,19,10,52.63,9,47.37,47011
47,12,28,13,46.43,15,53.57,47012
47,13,27,14,51.85,13,48.15,47013
47,14,12,6,50.0,6,50.0,47014
47,15,6,3,50.0,3,50.0,47015
47,16,11,5,45.45,6,54.55,47016
47,17,18,8,44.44,10,55.56,47017
47,18,33,17,51.52,16,48.48,47018
47,19,17,8,47.06,9,52.94,47019
47,20,20,11,55.0,9,45.0,47020
47,21,40,21,52.5,19,47.5,47021
47,22,20,9,45.0,11,55.0,47022
47,23,7,4,57.14,3,42.86,47023
47,24,22,11,50.0,11,50.0,47024
47,25,24,12,50.0,12,50.0,47025
47,26,34,17,50.0,17,50.0,47026
47,27,22,11,50.0,11,50.0,47027
47,28,19,8,42.11,11,57.89,47028
47,29,38,20,52.63,18,47.37,47029
47,30,38,19,50.0,19,50.0,47030
47,31,4,2,50.0,2,50.0,47031
47,32,13,6,46.15,7,53.85,47032
47,33,3,1,33.33,2,66.67,47033
47,34,14,7,50.0,7,50.0,47034
47,35,21,10,47.62,11,52.38,47035
47,36,15,7,46.67,8,53.33,47036
47,37,42,21,50.0,21,50.0,47037
47,38,15,8,53.33,7,46.67,47038
47,39,24,12,50.0,12,50.0,47039
47,40,21,10,47.62,11,52.38,47040
47,41,32,16,50.0,16,50.0,47041
47,42,13,7,53.85,6,46.15,47042
47,43,21,10,47.62,11,52.38,47043
47,44,40,19,47.5,21,52.5,47044
47,45,30,15,50.0,15,50.0,47045
47,46,25,13,52.0,12,48.0,47046
47,47,36,19,52.78,17,47.22,47047
47,48,2,1,50.0,1,50.0,47048
47,49,22,11,50.0,11,50.0,47049
47,50,32,15,46.88,17,53.13,47050
47,51,10,5,50.0,5,50.0,47051
50,44,21,11,52.38,10,47.62,50044
50,45,1,1,100.0,0,0.0,50045
