ward,precinct,total,Harold B. Smith (Bush),Harold B. Smith (Bush) Percent,Brian G. Doherty (Bush),Brian G. Doherty (Bush) Percent,precinct_id
46,41,15,8,53.33,7,46.67,46041
46,42,33,19,57.58,14,42.42,46042
48,1,23,12,52.17,11,47.83,48001
48,2,31,16,51.61,15,48.39,48002
48,3,32,17,53.13,15,46.88,48003
48,4,58,28,48.28,30,51.72,48004
48,5,48,24,50.0,24,50.0,48005
48,6,22,10,45.45,12,54.55,48006
48,7,9,5,55.56,4,44.44,48007
48,8,21,10,47.62,11,52.38,48008
48,9,29,14,48.28,15,51.72,48009
48,10,21,10,47.62,11,52.38,48010
48,11,19,9,47.37,10,52.63,48011
48,12,14,7,50.0,7,50.0,48012
48,13,20,10,50.0,10,50.0,48013
48,14,54,29,53.7,25,46.3,48014
48,15,7,3,42.86,4,57.14,48015
48,16,22,11,50.0,11,50.0,48016
48,17,14,7,50.0,7,50.0,48017
48,18,17,9,52.94,8,47.06,48018
48,19,16,8,50.0,8,50.0,48019
48,20,8,4,50.0,4,50.0,48020
48,21,2,1,50.0,1,50.0,48021
48,22,65,33,50.77,32,49.23,48022
48,23,39,21,53.85,18,46.15,48023
48,24,15,8,53.33,7,46.67,48024
48,25,12,6,50.0,6,50.0,48025
48,26,41,19,46.34,22,53.66,48026
48,27,23,12,52.17,11,47.83,48027
48,28,28,15,53.57,13,46.43,48028
48,29,29,15,51.72,14,48.28,48029
48,30,30,15,50.0,15,50.0,48030
48,31,16,8,50.0,8,50.0,48031
48,32,24,12,50.0,12,50.0,48032
48,33,21,12,57.14,9,42.86,48033
48,34,11,7,63.64,4,36.36,48034
48,35,16,7,43.75,9,56.25,48035
48,36,26,13,50.0,13,50.0,48036
48,37,17,9,52.94,8,47.06,48037
48,38,17,8,47.06,9,52.94,48038
48,39,24,11,45.83,13,54.17,48039
48,40,6,3,50.0,3,50.0,48040
48,41,22,11,50.0,11,50.0,48041
48,42,6,2,33.33,4,66.67,48042
48,43,17,10,58.82,7,41.18,48043
48,44,14,7,50.0,7,50.0,48044
48,45,14,9,64.29,5,35.71,48045
48,46,16,9,56.25,7,43.75,48046
48,47,14,7,50.0,7,50.0,48047
48,48,18,8,44.44,10,55.56,48048
48,49,8,4,50.0,4,50.0,48049
48,50,26,11,42.31,15,57.69,48050
48,51,11,6,54.55,5,45.45,48051
48,52,21,11,52.38,10,47.62,48052
48,53,27,14,51.85,13,48.15,48053
48,54,16,8,50.0,8,50.0,48054
48,55,13,6,46.15,7,53.85,48055
48,56,13,7,53.85,6,46.15,48056
49,1,2,1,50.0,1,50.0,49001
49,2,25,13,52.0,12,48.0,49002
49,3,13,5,38.46,8,61.54,49003
49,4,5,2,40.0,3,60.0,49004
49,5,4,2,50.0,2,50.0,49005
49,6,14,7,50.0,7,50.0,49006
49,7,12,6,50.0,6,50.0,49007
49,8,11,5,45.45,6,54.55,49008
49,9,12,6,50.0,6,50.0,49009
49,10,19,9,47.37,10,52.63,49010
49,11,15,9,60.0,6,40.0,49011
49,12,16,8,50.0,8,50.0,49012
49,13,16,8,50.0,8,50.0,49013
49,14,28,13,46.43,15,53.57,49014
49,15,6,3,50.0,3,50.0,49015
49,16,29,16,55.17,13,44.83,49016
49,17,6,2,33.33,4,66.67,49017
49,18,11,5,45.45,6,54.55,49018
49,19,18,9,50.0,9,50.0,49019
49,20,24,12,50.0,12,50.0,49020
49,21,36,18,50.0,18,50.0,49021
49,22,7,4,57.14,3,42.86,49022
49,23,25,12,48.0,13,52.0,49023
49,24,6,3,50.0,3,50.0,49024
49,25,10,5,50.0,5,50.0,49025
49,26,33,17,51.52,16,48.48,49026
49,27,7,4,57.14,3,42.86,49027
49,28,14,7,50.0,7,50.0,49028
49,29,14,7,50.0,7,50.0,49029
49,30,8,4,50.0,4,50.0,49030
49,31,8,4,50.0,4,50.0,49031
49,32,8,4,50.0,4,50.0,49032
49,33,11,6,54.55,5,45.45,49033
49,34,11,6,54.55,5,45.45,49034
49,35,33,16,48.48,17,51.52,49035
49,36,30,14,46.67,16,53.33,49036
49,37,13,7,53.85,6,46.15,49037
49,38,6,3,50.0,3,50.0,49038
49,39,5,3,60.0,2,40.0,49039
49,40,21,10,47.62,11,52.38,49040
49,41,9,4,44.44,5,55.56,49041
49,42,17,9,52.94,8,47.06,49042
49,43,10,6,60.0,4,40.0,49043
49,44,28,14,50.0,14,50.0,49044
50,1,35,18,51.43,17,48.57,50001
50,2,23,12,52.17,11,47.83,50002
50,3,13,6,46.15,7,53.85,50003
50,4,20,11,55.0,9,45.0,50004
50,5,26,16,61.54,10,38.46,50005
50,6,19,10,52.63,9,47.37,50006
50,7,21,10,47.62,11,52.38,50007
50,8,21,12,57.14,9,42.86,50008
50,9,17,8,47.06,9,52.94,50009
50,10,11,7,63.64,4,36.36,50010
50,11,18,10,55.56,8,44.44,50011
50,12,10,5,50.0,5,50.0,50012
50,13,5,2,40.0,3,60.0,50013
50,14,8,5,62.5,3,37.5,50014
50,15,25,13,52.0,12,48.0,50015
50,16,16,9,56.25,7,43.75,50016
50,17,17,9,52.94,8,47.06,50017
50,18,39,19,48.72,20,51.28,50018
50,19,21,11,52.38,10,47.62,50019
50,20,44,22,50.0,22,50.0,50020
50,21,28,14,50.0,14,50.0,50021
50,22,29,15,51.72,14,48.28,50022
50,23,12,7,58.33,5,41.67,50023
50,24,37,21,56.76,16,43.24,50024
50,25,33,17,51.52,16,48.48,50025
50,26,16,8,50.0,8,50.0,50026
50,27,4,2,50.0,2,50.0,50027
50,28,26,17,65.38,9,34.62,50028
50,29,39,19,48.72,20,51.28,50029
50,30,17,8,47.06,9,52.94,50030
50,31,0,0,0.0,0,0.0,50031
50,32,24,13,54.17,11,45.83,50032
50,33,20,10,50.0,10,50.0,50033
50,34,12,6,50.0,6,50.0,50034
50,35,47,23,48.94,24,51.06,50035
50,36,35,19,54.29,16,45.71,50036
50,37,34,17,50.0,17,50.0,50037
50,38,19,10,52.63,9,47.37,50038
50,39,18,10,55.56,8,44.44,50039
50,40,22,11,50.0,11,50.0,50040
50,41,27,14,51.85,13,48.15,50041
50,42,18,9,50.0,9,50.0,50042
50,43,11,5,45.45,6,54.55,50043
