ward,precinct,total,ROBIN LEE MEYER,ROBIN LEE MEYER Percent,EARLEAN COLLINS,EARLEAN COLLINS Percent,precinct_id
27,34,160,1,0.63,159,99.38,27034
27,36,180,8,4.44,172,95.56,27036
27,40,162,2,1.23,160,98.77,27040
27,41,254,81,31.89,173,68.11,27041
27,44,158,3,1.9,155,98.1,27044
27,45,200,4,2.0,196,98.0,27045
27,46,196,4,2.04,192,97.96,27046
27,47,181,3,1.66,178,98.34,27047
27,48,210,3,1.43,207,98.57,27048
27,49,163,3,1.84,160,98.16,27049
27,50,7,4,57.14,3,42.86,27050
27,53,88,8,9.09,80,90.91,27053
27,54,34,13,38.24,21,61.76,27054
27,55,63,25,39.68,38,60.32,27055
27,56,143,33,23.08,110,76.92,27056
27,57,136,37,27.21,99,72.79,27057
27,59,68,8,11.76,60,88.24,27059
27,60,56,0,0.0,56,100.0,27060
27,61,52,2,3.85,50,96.15,27061
27,62,168,5,2.98,163,97.02,27062
27,63,219,3,1.37,216,98.63,27063
27,64,178,3,1.69,175,98.31,27064
28,1,204,2,0.98,202,99.02,28001
28,2,133,3,2.26,130,97.74,28002
28,3,116,2,1.72,114,98.28,28003
28,4,155,3,1.94,152,98.06,28004
28,5,56,0,0.0,56,100.0,28005
28,6,153,4,2.61,149,97.39,28006
28,7,228,6,2.63,222,97.37,28007
28,8,126,1,0.79,125,99.21,28008
28,9,133,1,0.75,132,99.25,28009
28,11,117,2,1.71,115,98.29,28011
28,12,97,0,0.0,97,100.0,28012
28,13,76,1,1.32,75,98.68,28013
28,14,150,1,0.67,149,99.33,28014
28,15,131,5,3.82,126,96.18,28015
28,16,177,7,3.95,170,96.05,28016
28,17,186,10,5.38,176,94.62,28017
28,18,248,6,2.42,242,97.58,28018
28,19,227,5,2.2,222,97.8,28019
28,20,184,5,2.72,179,97.28,28020
28,21,224,4,1.79,220,98.21,28021
28,22,187,3,1.6,184,98.4,28022
28,23,233,4,1.72,229,98.28,28023
28,24,130,0,0.0,130,100.0,28024
28,25,139,7,5.04,132,94.96,28025
28,26,183,1,0.55,182,99.45,28026
28,27,128,2,1.56,126,98.44,28027
28,28,163,3,1.84,160,98.16,28028
28,30,131,6,4.58,125,95.42,28030
28,31,131,1,0.76,130,99.24,28031
28,33,151,5,3.31,146,96.69,28033
28,37,229,3,1.31,226,98.69,28037
28,40,220,4,1.82,216,98.18,28040
28,41,90,1,1.11,89,98.89,28041
28,42,131,0,0.0,131,100.0,28042
28,43,127,4,3.15,123,96.85,28043
28,44,124,1,0.81,123,99.19,28044
28,45,145,2,1.38,143,98.62,28045
28,46,155,3,1.94,152,98.06,28046
28,47,150,5,3.33,145,96.67,28047
28,48,117,2,1.71,115,98.29,28048
28,49,115,2,1.74,113,98.26,28049
28,51,207,1,0.48,206,99.52,28051
28,55,168,4,2.38,164,97.62,28055
28,56,180,5,2.78,175,97.22,28056
28,57,146,5,3.42,141,96.58,28057
28,58,142,3,2.11,139,97.89,28058
28,59,138,1,0.72,137,99.28,28059
28,60,152,1,0.66,151,99.34,28060
28,61,99,0,0.0,99,100.0,28061
28,62,186,6,3.23,180,96.77,28062
28,63,200,2,1.0,198,99.0,28063
28,64,135,0,0.0,135,100.0,28064
28,65,201,9,4.48,192,95.52,28065
28,66,169,1,0.59,168,99.41,28066
28,67,116,2,1.72,114,98.28,28067
28,68,192,3,1.56,189,98.44,28068
28,70,123,2,1.63,121,98.37,28070
28,71,171,16,9.36,155,90.64,28071
28,72,118,5,4.24,113,95.76,28072
28,73,89,1,1.12,88,98.88,28073
28,74,140,3,2.14,137,97.86,28074
28,75,117,2,1.71,115,98.29,28075
28,76,119,2,1.68,117,98.32,28076
29,1,261,4,1.53,257,98.47,29001
29,3,312,8,2.56,304,97.44,29003
29,4,224,6,2.68,218,97.32,29004
29,5,295,2,0.68,293,99.32,29005
29,8,211,5,2.37,206,97.63,29008
29,10,251,1,0.4,250,99.6,29010
29,11,355,2,0.56,353,99.44,29011
29,12,303,20,6.6,283,93.4,29012
29,13,299,4,1.34,295,98.66,29013
29,14,309,3,0.97,306,99.03,29014
29,15,278,2,0.72,276,99.28,29015
29,16,315,1,0.32,314,99.68,29016
29,17,246,5,2.03,241,97.97,29017
29,18,239,3,1.26,236,98.74,29018
29,19,213,3,1.41,210,98.59,29019
29,20,238,1,0.42,237,99.58,29020
29,21,240,5,2.08,235,97.92,29021
29,22,216,35,16.2,181,83.8,29022
29,23,280,6,2.14,274,97.86,29023
29,25,291,4,1.37,287,98.63,29025
29,26,242,5,2.07,237,97.93,29026
29,27,193,7,3.63,186,96.37,29027
29,28,322,5,1.55,317,98.45,29028
29,29,310,10,3.23,300,96.77,29029
29,31,252,0,0.0,252,100.0,29031
29,33,241,4,1.66,237,98.34,29033
29,34,200,23,11.5,177,88.5,29034
29,35,237,2,0.84,235,99.16,29035
29,36,272,3,1.1,269,98.9,29036
29,37,274,8,2.92,266,97.08,29037
29,38,227,2,0.88,225,99.12,29038
29,40,409,8,1.96,401,98.04,29040
29,41,338,1,0.3,337,99.7,29041
29,42,319,3,0.94,316,99.06,29042
29,43,346,4,1.16,342,98.84,29043
29,44,285,9,3.16,276,96.84,29044
29,45,251,4,1.59,247,98.41,29045
29,46,280,4,1.43,276,98.57,29046
29,47,370,18,4.86,352,95.14,29047
29,48,234,5,2.14,229,97.86,29048
29,49,332,5,1.51,327,98.49,29049
29,50,219,3,1.37,216,98.63,29050
29,51,283,7,2.47,276,97.53,29051
32,6,6,2,33.33,4,66.67,32006
32,11,156,38,24.36,118,75.64,32011
32,12,50,10,20.0,40,80.0,32012
32,46,38,25,65.79,13,34.21,32046
36,23,158,18,11.39,140,88.61,36023
36,24,244,24,9.84,220,90.16,36024
36,44,267,46,17.23,221,82.77,36044
36,54,348,54,15.52,294,84.48,36054
37,3,155,7,4.52,148,95.48,37003
37,4,113,4,3.54,109,96.46,37004
37,5,249,5,2.01,244,97.99,37005
37,6,252,4,1.59,248,98.41,37006
37,7,196,0,0.0,196,100.0,37007
37,8,195,10,5.13,185,94.87,37008
37,9,240,6,2.5,234,97.5,37009
37,10,260,9,3.46,251,96.54,37010
37,12,171,12,7.02,159,92.98,37012
37,13,191,7,3.66,184,96.34,37013
37,14,223,4,1.79,219,98.21,37014
37,15,210,10,4.76,200,95.24,37015
37,16,275,9,3.27,266,96.73,37016
37,17,248,8,3.23,240,96.77,37017
37,18,227,4,1.76,223,98.24,37018
37,19,102,5,4.9,97,95.1,37019
37,20,159,2,1.26,157,98.74,37020
37,21,213,5,2.35,208,97.65,37021
37,22,266,6,2.26,260,97.74,37022
37,23,203,4,1.97,199,98.03,37023
37,24,214,3,1.4,211,98.6,37024
37,25,268,10,3.73,258,96.27,37025
37,26,123,5,4.07,118,95.93,37026
37,27,159,3,1.89,156,98.11,37027
37,28,171,7,4.09,164,95.91,37028
37,29,232,3,1.29,229,98.71,37029
37,30,205,9,4.39,196,95.61,37030
37,31,239,5,2.09,234,97.91,37031
37,32,250,7,2.8,243,97.2,37032
37,33,183,6,3.28,177,96.72,37033
37,34,216,7,3.24,209,96.76,37034
37,35,115,5,4.35,110,95.65,37035
37,36,211,5,2.37,206,97.63,37036
37,37,207,4,1.93,203,98.07,37037
37,38,243,7,2.88,236,97.12,37038
37,40,270,0,0.0,270,100.0,37040
37,41,225,3,1.33,222,98.67,37041
37,43,154,3,1.95,151,98.05,37043
37,44,221,7,3.17,214,96.83,37044
37,45,138,3,2.17,135,97.83,37045
37,46,232,3,1.29,229,98.71,37046
37,48,220,220,100.0,0,0.0,37048
37,49,203,6,2.96,197,97.04,37049
37,51,171,5,2.92,166,97.08,37051
37,53,194,4,2.06,190,97.94,37053
37,54,240,3,1.25,237,98.75,37054
37,55,229,9,3.93,220,96.07,37055
37,56,157,2,1.27,155,98.73,37056
37,57,136,4,2.94,132,97.06,37057
37,58,200,8,4.0,192,96.0,37058
