ward,precinct,total,JAMES R. BROWN,JAMES R. BROWN Percent,precinct_id
15,9,164,164,100.0,15009
15,11,142,142,100.0,15011
15,13,108,108,100.0,15013
15,15,156,156,100.0,15015
15,22,161,161,100.0,15022
15,24,143,143,100.0,15024
15,25,144,144,100.0,15025
15,27,60,60,100.0,15027
15,29,82,82,100.0,15029
15,30,150,150,100.0,15030
15,32,163,163,100.0,15032
15,38,115,115,100.0,15038
15,44,147,147,100.0,15044
15,45,73,73,100.0,15045
15,48,115,115,100.0,15048
15,49,110,110,100.0,15049
15,50,141,141,100.0,15050
16,1,98,98,100.0,16001
16,2,107,107,100.0,16002
16,4,122,122,100.0,16004
16,7,141,141,100.0,16007
16,11,150,150,100.0,16011
16,13,118,118,100.0,16013
16,21,124,124,100.0,16021
16,23,147,147,100.0,16023
16,32,112,112,100.0,16032
16,35,116,116,100.0,16035
16,39,35,35,100.0,16039
16,42,86,86,100.0,16042
16,44,155,155,100.0,16044
16,47,4,4,100.0,16047
20,4,94,94,100.0,20004
20,8,58,58,100.0,20008
20,15,43,43,100.0,20015
20,21,54,54,100.0,20021
20,41,7,7,100.0,20041
20,43,51,51,100.0,20043
20,51,36,36,100.0,20051
22,1,89,89,100.0,22001
22,2,64,64,100.0,22002
22,3,91,91,100.0,22003
22,4,113,113,100.0,22004
22,5,113,113,100.0,22005
22,6,98,98,100.0,22006
22,8,94,94,100.0,22008
22,9,95,95,100.0,22009
22,10,91,91,100.0,22010
22,11,106,106,100.0,22011
22,12,71,71,100.0,22012
22,13,132,132,100.0,22013
22,14,91,91,100.0,22014
22,15,92,92,100.0,22015
22,16,126,126,100.0,22016
22,17,109,109,100.0,22017
22,18,102,102,100.0,22018
22,19,132,132,100.0,22019
22,20,123,123,100.0,22020
22,22,75,75,100.0,22022
22,23,68,68,100.0,22023
22,24,91,91,100.0,22024
22,25,79,79,100.0,22025
22,26,73,73,100.0,22026
22,27,100,100,100.0,22027
22,28,95,95,100.0,22028
22,29,69,69,100.0,22029
22,30,97,97,100.0,22030
23,31,199,199,100.0,23031
24,10,6,6,100.0,24010
24,14,0,0,0.0,24014
24,44,63,63,100.0,24044
24,53,125,125,100.0,24053
24,57,115,115,100.0,24057
25,1,145,145,100.0,25001
25,2,154,154,100.0,25002
25,3,11,11,100.0,25003
25,5,181,181,100.0,25005
25,6,123,123,100.0,25006
25,7,136,136,100.0,25007
25,8,157,157,100.0,25008
25,9,194,194,100.0,25009
25,11,123,123,100.0,25011
25,12,158,158,100.0,25012
25,13,160,160,100.0,25013
25,15,157,157,100.0,25015
25,17,208,208,100.0,25017
25,19,158,158,100.0,25019
25,20,196,196,100.0,25020
25,22,84,84,100.0,25022
25,23,169,169,100.0,25023
25,24,144,144,100.0,25024
25,25,146,146,100.0,25025
25,27,142,142,100.0,25027
25,29,46,46,100.0,25029
25,30,164,164,100.0,25030
28,29,122,122,100.0,28029
28,34,11,11,100.0,28034
28,38,52,52,100.0,28038
28,69,80,80,100.0,28069
