ward,precinct,total,JUAN MORENO,JUAN MORENO Percent,JOSEPH MARIO MORENO,JOSEPH MARIO MORENO Percent,precinct_id
14,9,229,26,11.35,203,88.65,14009
14,10,195,30,15.38,165,84.62,14010
14,11,186,20,10.75,166,89.25,14011
14,12,163,18,11.04,145,88.96,14012
14,13,257,40,15.56,217,84.44,14013
14,14,159,19,11.95,140,88.05,14014
14,15,256,21,8.2,235,91.8,14015
14,16,235,42,17.87,193,82.13,14016
14,17,241,37,15.35,204,84.65,14017
14,18,197,28,14.21,169,85.79,14018
14,19,284,24,8.45,260,91.55,14019
14,20,187,30,16.04,157,83.96,14020
14,21,223,30,13.45,193,86.55,14021
14,22,228,42,18.42,186,81.58,14022
14,23,162,18,11.11,144,88.89,14023
14,24,140,15,10.71,125,89.29,14024
14,26,149,19,12.75,130,87.25,14026
14,27,141,28,19.86,113,80.14,14027
14,29,236,29,12.29,207,87.71,14029
14,30,175,29,16.57,146,83.43,14030
14,31,206,17,8.25,189,91.75,14031
14,32,178,23,12.92,155,87.08,14032
14,33,167,22,13.17,145,86.83,14033
14,34,173,13,7.51,160,92.49,14034
14,35,108,22,20.37,86,79.63,14035
14,36,255,51,20.0,204,80.0,14036
14,37,197,24,12.18,173,87.82,14037
15,1,130,15,11.54,115,88.46,15001
15,10,183,46,25.14,137,74.86,15010
15,14,225,45,20.0,180,80.0,15014
15,16,153,34,22.22,119,77.78,15016
15,25,211,26,12.32,185,87.68,15025
15,28,241,39,16.18,202,83.82,15028
15,32,229,16,6.99,213,93.01,15032
15,44,163,17,10.43,146,89.57,15044
15,49,147,14,9.52,133,90.48,15049
16,1,56,2,3.57,54,96.43,16001
16,4,172,14,8.14,158,91.86,16004
16,13,130,29,22.31,101,77.69,16013
16,17,281,53,18.86,228,81.14,16017
16,21,194,30,15.46,164,84.54,16021
16,23,136,23,16.91,113,83.09,16023
16,32,165,22,13.33,143,86.67,16032
16,35,181,21,11.6,160,88.4,16035
16,39,105,23,21.9,82,78.1,16039
16,42,133,20,15.04,113,84.96,16042
16,44,35,4,11.43,31,88.57,16044
16,47,3,0,0.0,3,100.0,16047
20,4,155,20,12.9,135,87.1,20004
20,8,85,12,14.12,73,85.88,20008
20,15,78,20,25.64,58,74.36,20015
20,21,94,10,10.64,84,89.36,20021
20,41,11,0,0.0,11,100.0,20041
20,43,90,14,15.56,76,84.44,20043
20,51,48,4,8.33,44,91.67,20051
22,1,144,13,9.03,131,90.97,22001
22,2,113,16,14.16,97,85.84,22002
22,3,132,13,9.85,119,90.15,22003
22,4,177,33,18.64,144,81.36,22004
22,5,168,24,14.29,144,85.71,22005
22,6,142,24,16.9,118,83.1,22006
22,8,144,30,20.83,114,79.17,22008
22,9,156,26,16.67,130,83.33,22009
22,10,152,23,15.13,129,84.87,22010
22,11,176,23,13.07,153,86.93,22011
22,12,114,15,13.16,99,86.84,22012
22,13,206,25,12.14,181,87.86,22013
22,14,123,13,10.57,110,89.43,22014
22,15,140,20,14.29,120,85.71,22015
22,16,202,27,13.37,175,86.63,22016
22,17,162,21,12.96,141,87.04,22017
22,18,159,26,16.35,133,83.65,22018
22,20,182,25,13.74,157,86.26,22020
22,22,131,20,15.27,111,84.73,22022
22,23,103,13,12.62,90,87.38,22023
22,24,136,14,10.29,122,89.71,22024
22,25,132,18,13.64,114,86.36,22025
22,26,131,18,13.74,113,86.26,22026
22,27,167,25,14.97,142,85.03,22027
22,28,131,14,10.69,117,89.31,22028
22,29,106,12,11.32,94,88.68,22029
22,30,166,26,15.66,140,84.34,22030
23,6,117,22,18.8,95,81.2,23006
23,9,250,45,18.0,205,82.0,23009
23,24,222,42,18.92,180,81.08,23024
23,29,261,50,19.16,211,80.84,23029
24,53,70,13,18.57,57,81.43,24053
24,57,203,32,15.76,171,84.24,24057
25,1,222,35,15.77,187,84.23,25001
25,2,250,36,14.4,214,85.6,25002
25,3,16,4,25.0,12,75.0,25003
25,5,265,49,18.49,216,81.51,25005
25,7,213,35,16.43,178,83.57,25007
25,8,224,26,11.61,198,88.39,25008
25,9,304,49,16.12,255,83.88,25009
25,11,192,36,18.75,156,81.25,25011
25,12,204,27,13.24,177,86.76,25012
25,13,265,27,10.19,238,89.81,25013
25,15,238,25,10.5,213,89.5,25015
25,17,328,45,13.72,283,86.28,25017
25,19,258,40,15.5,218,84.5,25019
25,20,296,34,11.49,262,88.51,25020
25,22,134,21,15.67,113,84.33,25022
25,23,255,25,9.8,230,90.2,25023
25,24,224,38,16.96,186,83.04,25024
25,29,99,73,73.74,26,26.26,25029
25,30,237,29,12.24,208,87.76,25030
28,29,170,21,12.35,149,87.65,28029
28,34,20,8,40.0,12,60.0,28034
28,38,72,6,8.33,66,91.67,28038
