ward,precinct,total,FORREST CLAYPOOL,FORREST CLAYPOOL Percent,precinct_id
38,25,182,182,100.0,38025
38,26,168,168,100.0,38026
38,27,135,135,100.0,38027
38,28,170,170,100.0,38028
38,29,174,174,100.0,38029
38,30,190,190,100.0,38030
38,31,236,236,100.0,38031
38,32,248,248,100.0,38032
38,33,177,177,100.0,38033
38,34,121,121,100.0,38034
38,35,67,67,100.0,38035
38,36,205,205,100.0,38036
38,37,211,211,100.0,38037
38,39,198,198,100.0,38039
38,40,145,145,100.0,38040
38,41,257,257,100.0,38041
38,42,219,219,100.0,38042
38,43,207,207,100.0,38043
38,44,189,189,100.0,38044
38,45,221,221,100.0,38045
38,46,180,180,100.0,38046
38,47,188,188,100.0,38047
38,48,208,208,100.0,38048
38,49,174,174,100.0,38049
38,50,223,223,100.0,38050
38,51,184,184,100.0,38051
38,52,209,209,100.0,38052
38,53,36,36,100.0,38053
39,5,163,163,100.0,39005
39,6,223,223,100.0,39006
39,7,156,156,100.0,39007
39,8,240,240,100.0,39008
39,9,238,238,100.0,39009
39,10,198,198,100.0,39010
39,11,245,245,100.0,39011
39,12,155,155,100.0,39012
39,14,195,195,100.0,39014
39,19,168,168,100.0,39019
39,21,139,139,100.0,39021
39,22,150,150,100.0,39022
39,25,218,218,100.0,39025
39,27,217,217,100.0,39027
39,28,222,222,100.0,39028
39,29,215,215,100.0,39029
39,30,142,142,100.0,39030
39,31,132,132,100.0,39031
39,33,221,221,100.0,39033
39,34,261,261,100.0,39034
39,35,233,233,100.0,39035
39,38,240,240,100.0,39038
39,43,234,234,100.0,39043
39,44,228,228,100.0,39044
39,45,105,105,100.0,39045
39,46,166,166,100.0,39046
40,1,147,147,100.0,40001
40,5,106,106,100.0,40005
40,6,185,185,100.0,40006
40,14,200,200,100.0,40014
40,17,110,110,100.0,40017
40,19,184,184,100.0,40019
40,20,168,168,100.0,40020
40,21,205,205,100.0,40021
40,23,238,238,100.0,40023
40,24,110,110,100.0,40024
40,30,157,157,100.0,40030
40,32,121,121,100.0,40032
40,34,135,135,100.0,40034
40,36,209,209,100.0,40036
40,38,106,106,100.0,40038
40,40,119,119,100.0,40040
40,41,240,240,100.0,40041
40,42,256,256,100.0,40042
40,43,231,231,100.0,40043
40,44,165,165,100.0,40044
40,48,147,147,100.0,40048
40,49,48,48,100.0,40049
44,9,57,57,100.0,44009
44,47,95,95,100.0,44047
45,1,200,200,100.0,45001
45,7,215,215,100.0,45007
45,8,151,151,100.0,45008
45,10,287,287,100.0,45010
45,12,247,247,100.0,45012
45,14,290,290,100.0,45014
45,16,265,265,100.0,45016
45,20,234,234,100.0,45020
45,25,245,245,100.0,45025
45,26,149,149,100.0,45026
45,28,236,236,100.0,45028
45,29,225,225,100.0,45029
45,31,215,215,100.0,45031
45,38,177,177,100.0,45038
45,39,52,52,100.0,45039
45,40,12,12,100.0,45040
45,46,269,269,100.0,45046
45,47,252,252,100.0,45047
45,48,197,197,100.0,45048
45,50,216,216,100.0,45050
45,53,220,220,100.0,45053
46,21,55,55,100.0,46021
47,1,274,274,100.0,47001
47,2,232,232,100.0,47002
47,3,238,238,100.0,47003
47,4,292,292,100.0,47004
47,5,228,228,100.0,47005
47,6,330,330,100.0,47006
47,7,248,248,100.0,47007
47,8,350,350,100.0,47008
47,9,160,160,100.0,47009
47,10,227,227,100.0,47010
47,11,475,475,100.0,47011
47,12,260,260,100.0,47012
47,13,415,415,100.0,47013
47,14,185,185,100.0,47014
47,15,313,313,100.0,47015
47,16,259,259,100.0,47016
47,17,248,248,100.0,47017
47,18,328,328,100.0,47018
47,19,318,318,100.0,47019
47,20,285,285,100.0,47020
47,21,293,293,100.0,47021
47,22,273,273,100.0,47022
47,23,132,132,100.0,47023
47,24,276,276,100.0,47024
47,25,302,302,100.0,47025
47,26,398,398,100.0,47026
47,27,242,242,100.0,47027
47,28,370,370,100.0,47028
47,29,287,287,100.0,47029
47,30,286,286,100.0,47030
47,31,275,275,100.0,47031
47,32,299,299,100.0,47032
47,33,251,251,100.0,47033
47,34,322,322,100.0,47034
47,35,384,384,100.0,47035
47,36,376,376,100.0,47036
47,37,346,346,100.0,47037
47,38,278,278,100.0,47038
47,39,286,286,100.0,47039
47,40,236,236,100.0,47040
47,41,396,396,100.0,47041
47,42,212,212,100.0,47042
47,43,188,188,100.0,47043
47,44,298,298,100.0,47044
47,45,275,275,100.0,47045
47,46,201,201,100.0,47046
47,47,264,264,100.0,47047
47,48,52,52,100.0,47048
47,49,222,222,100.0,47049
47,50,185,185,100.0,47050
47,51,181,181,100.0,47051
48,10,150,150,100.0,48010
48,49,18,18,100.0,48049
