ward,precinct,total,JUDY BAAR TOPINKA,JUDY BAAR TOPINKA Percent,THOMAS J. DART,THOMAS J. DART Percent,RHYS READ,RHYS READ Percent,precinct_id
3,28,149,5,3.36,142,95.3,2,1.34,03028
3,29,270,20,7.41,247,91.48,3,1.11,03029
3,30,153,29,18.95,123,80.39,1,0.65,03030
3,31,309,38,12.3,267,86.41,4,1.29,03031
3,32,176,19,10.8,156,88.64,1,0.57,03032
3,33,241,33,13.69,205,85.06,3,1.24,03033
3,34,143,21,14.69,120,83.92,2,1.4,03034
3,35,201,23,11.44,175,87.06,3,1.49,03035
3,36,132,13,9.85,114,86.36,5,3.79,03036
3,37,119,14,11.76,104,87.39,1,0.84,03037
3,38,47,11,23.4,36,76.6,0,0.0,03038
3,39,260,44,16.92,210,80.77,6,2.31,03039
3,40,219,27,12.33,186,84.93,6,2.74,03040
3,41,213,26,12.21,185,86.85,2,0.94,03041
3,42,173,17,9.83,154,89.02,2,1.16,03042
3,43,87,5,5.75,82,94.25,0,0.0,03043
3,44,105,7,6.67,95,90.48,3,2.86,03044
3,45,143,7,4.9,136,95.1,0,0.0,03045
3,46,194,33,17.01,159,81.96,2,1.03,03046
3,47,144,20,13.89,123,85.42,1,0.69,03047
3,48,191,12,6.28,177,92.67,2,1.05,03048
3,49,65,8,12.31,57,87.69,0,0.0,03049
3,50,104,1,0.96,103,99.04,0,0.0,03050
3,51,69,17,24.64,51,73.91,1,1.45,03051
3,52,104,1,0.96,103,99.04,0,0.0,03052
3,53,190,39,20.53,145,76.32,6,3.16,03053
3,54,222,95,42.79,121,54.5,6,2.7,03054
3,55,169,18,10.65,150,88.76,1,0.59,03055
3,56,178,30,16.85,147,82.58,1,0.56,03056
3,57,251,26,10.36,222,88.45,3,1.2,03057
3,58,80,13,16.25,65,81.25,2,2.5,03058
3,59,134,13,9.7,118,88.06,3,2.24,03059
3,60,207,21,10.14,182,87.92,4,1.93,03060
3,61,186,40,21.51,142,76.34,4,2.15,03061
3,62,184,16,8.7,166,90.22,2,1.09,03062
3,63,169,69,40.83,93,55.03,7,4.14,03063
4,1,274,65,23.72,202,73.72,7,2.55,04001
4,2,312,95,30.45,214,68.59,3,0.96,04002
4,3,442,64,14.48,371,83.94,7,1.58,04003
4,4,381,41,10.76,338,88.71,2,0.52,04004
4,5,309,50,16.18,257,83.17,2,0.65,04005
4,6,122,32,26.23,87,71.31,3,2.46,04006
4,7,207,32,15.46,171,82.61,4,1.93,04007
4,8,270,48,17.78,219,81.11,3,1.11,04008
4,9,537,112,20.86,419,78.03,6,1.12,04009
4,10,367,57,15.53,302,82.29,8,2.18,04010
4,11,311,35,11.25,276,88.75,0,0.0,04011
4,12,153,26,16.99,124,81.05,3,1.96,04012
4,13,240,61,25.42,176,73.33,3,1.25,04013
4,14,187,12,6.42,174,93.05,1,0.53,04014
4,15,161,26,16.15,129,80.12,6,3.73,04015
4,16,335,45,13.43,283,84.48,7,2.09,04016
4,17,332,94,28.31,232,69.88,6,1.81,04017
4,18,268,25,9.33,243,90.67,0,0.0,04018
4,19,314,59,18.79,251,79.94,4,1.27,04019
4,20,127,13,10.24,112,88.19,2,1.57,04020
4,21,373,84,22.52,283,75.87,6,1.61,04021
4,22,378,88,23.28,286,75.66,4,1.06,04022
4,23,251,72,28.69,176,70.12,3,1.2,04023
4,24,351,77,21.94,271,77.21,3,0.85,04024
4,25,305,75,24.59,226,74.1,4,1.31,04025
4,26,298,46,15.44,251,84.23,1,0.34,04026
4,27,309,72,23.3,233,75.4,4,1.29,04027
4,28,248,75,30.24,166,66.94,7,2.82,04028
4,29,229,79,34.5,148,64.63,2,0.87,04029
4,30,163,7,4.29,155,95.09,1,0.61,04030
4,31,93,7,7.53,85,91.4,1,1.08,04031
4,32,378,103,27.25,273,72.22,2,0.53,04032
4,33,113,22,19.47,89,78.76,2,1.77,04033
4,34,228,69,30.26,151,66.23,8,3.51,04034
4,35,191,19,9.95,168,87.96,4,2.09,04035
4,36,131,30,22.9,98,74.81,3,2.29,04036
4,37,168,8,4.76,160,95.24,0,0.0,04037
4,38,406,129,31.77,273,67.24,4,0.99,04038
4,39,134,16,11.94,118,88.06,0,0.0,04039
4,40,271,56,20.66,213,78.6,2,0.74,04040
4,41,151,34,22.52,111,73.51,6,3.97,04041
4,42,334,82,24.55,250,74.85,2,0.6,04042
4,43,234,63,26.92,166,70.94,5,2.14,04043
4,44,220,42,19.09,173,78.64,5,2.27,04044
4,45,466,124,26.61,338,72.53,4,0.86,04045
4,46,265,51,19.25,211,79.62,3,1.13,04046
4,47,419,87,20.76,322,76.85,10,2.39,04047
4,48,448,150,33.48,293,65.4,5,1.12,04048
4,49,98,6,6.12,92,93.88,0,0.0,04049
4,50,234,41,17.52,190,81.2,3,1.28,04050
4,51,345,89,25.8,251,72.75,5,1.45,04051
4,52,80,6,7.5,74,92.5,0,0.0,04052
4,53,15,2,13.33,13,86.67,0,0.0,04053
4,54,174,36,20.69,131,75.29,7,4.02,04054
4,55,227,57,25.11,166,73.13,4,1.76,04055
4,56,332,70,21.08,260,78.31,2,0.6,04056
4,57,159,45,28.3,112,70.44,2,1.26,04057
4,58,307,67,21.82,234,76.22,6,1.95,04058
5,1,330,65,19.7,263,79.7,2,0.61,05001
5,2,235,32,13.62,201,85.53,2,0.85,05002
5,3,161,43,26.71,114,70.81,4,2.48,05003
5,4,222,46,20.72,173,77.93,3,1.35,05004
5,5,230,23,10.0,203,88.26,4,1.74,05005
5,6,351,72,20.51,276,78.63,3,0.85,05006
5,7,324,53,16.36,264,81.48,7,2.16,05007
5,8,416,128,30.77,286,68.75,2,0.48,05008
5,9,278,57,20.5,219,78.78,2,0.72,05009
5,10,302,32,10.6,267,88.41,3,0.99,05010
5,11,325,102,31.38,220,67.69,3,0.92,05011
5,12,208,30,14.42,175,84.13,3,1.44,05012
5,13,260,39,15.0,216,83.08,5,1.92,05013
5,14,391,99,25.32,286,73.15,6,1.53,05014
5,15,281,59,21.0,213,75.8,9,3.2,05015
5,16,241,38,15.77,201,83.4,2,0.83,05016
5,17,304,30,9.87,272,89.47,2,0.66,05017
5,18,290,40,13.79,247,85.17,3,1.03,05018
5,19,149,19,12.75,124,83.22,6,4.03,05019
5,20,158,13,8.23,144,91.14,1,0.63,05020
5,21,314,49,15.61,260,82.8,5,1.59,05021
5,22,292,41,14.04,250,85.62,1,0.34,05022
5,23,216,28,12.96,188,87.04,0,0.0,05023
5,24,252,71,28.17,178,70.63,3,1.19,05024
5,25,290,41,14.14,246,84.83,3,1.03,05025
5,26,301,66,21.93,230,76.41,5,1.66,05026
5,27,379,120,31.66,248,65.44,11,2.9,05027
5,28,261,72,27.59,186,71.26,3,1.15,05028
5,29,296,53,17.91,239,80.74,4,1.35,05029
5,30,316,79,25.0,230,72.78,7,2.22,05030
5,31,261,36,13.79,223,85.44,2,0.77,05031
5,32,387,82,21.19,302,78.04,3,0.78,05032
5,33,262,39,14.89,221,84.35,2,0.76,05033
5,34,277,42,15.16,231,83.39,4,1.44,05034
5,35,207,76,36.71,128,61.84,3,1.45,05035
5,36,174,23,13.22,142,81.61,9,5.17,05036
5,37,225,73,32.44,142,63.11,10,4.44,05037
5,38,346,100,28.9,237,68.5,9,2.6,05038
5,39,319,98,30.72,215,67.4,6,1.88,05039
5,40,372,51,13.71,315,84.68,6,1.61,05040
5,41,297,87,29.29,205,69.02,5,1.68,05041
5,42,315,40,12.7,272,86.35,3,0.95,05042
5,43,309,68,22.01,239,77.35,2,0.65,05043
5,44,303,51,16.83,249,82.18,3,0.99,05044
5,45,170,21,12.35,149,87.65,0,0.0,05045
5,46,316,96,30.38,204,64.56,16,5.06,05046
5,47,241,31,12.86,207,85.89,3,1.24,05047
5,48,211,48,22.75,160,75.83,3,1.42,05048
5,49,65,6,9.23,59,90.77,0,0.0,05049
5,50,246,23,9.35,219,89.02,4,1.63,05050
5,51,241,25,10.37,211,87.55,5,2.07,05051
5,52,101,19,18.81,76,75.25,6,5.94,05052
5,53,373,93,24.93,275,73.73,5,1.34,05053
5,54,391,75,19.18,313,80.05,3,0.77,05054
6,1,343,80,23.32,259,75.51,4,1.17,06001
6,2,336,78,23.21,256,76.19,2,0.6,06002
6,3,323,53,16.41,264,81.73,6,1.86,06003
6,4,250,22,8.8,224,89.6,4,1.6,06004
6,5,183,13,7.1,170,92.9,0,0.0,06005
6,6,254,44,17.32,209,82.28,1,0.39,06006
6,7,333,45,13.51,284,85.29,4,1.2,06007
6,8,295,53,17.97,240,81.36,2,0.68,06008
6,9,229,43,18.78,184,80.35,2,0.87,06009
6,10,384,81,21.09,300,78.13,3,0.78,06010
6,11,285,54,18.95,230,80.7,1,0.35,06011
6,12,273,19,6.96,253,92.67,1,0.37,06012
6,13,270,46,17.04,221,81.85,3,1.11,06013
6,14,310,50,16.13,257,82.9,3,0.97,06014
6,15,274,33,12.04,238,86.86,3,1.09,06015
6,16,316,57,18.04,257,81.33,2,0.63,06016
6,17,366,75,20.49,290,79.23,1,0.27,06017
6,18,81,9,11.11,72,88.89,0,0.0,06018
6,19,373,56,15.01,311,83.38,6,1.61,06019
6,20,305,34,11.15,270,88.52,1,0.33,06020
6,21,276,54,19.57,218,78.99,4,1.45,06021
6,22,290,46,15.86,244,84.14,0,0.0,06022
6,23,249,39,15.66,208,83.53,2,0.8,06023
6,24,290,58,20.0,232,80.0,0,0.0,06024
6,25,194,27,13.92,166,85.57,1,0.52,06025
6,26,316,37,11.71,279,88.29,0,0.0,06026
6,27,384,64,16.67,310,80.73,10,2.6,06027
6,28,467,97,20.77,367,78.59,3,0.64,06028
6,29,360,64,17.78,290,80.56,6,1.67,06029
6,30,270,42,15.56,227,84.07,1,0.37,06030
6,31,353,74,20.96,274,77.62,5,1.42,06031
6,32,346,46,13.29,297,85.84,3,0.87,06032
6,33,363,54,14.88,303,83.47,6,1.65,06033
6,34,252,44,17.46,204,80.95,4,1.59,06034
6,35,375,79,21.07,293,78.13,3,0.8,06035
6,36,174,18,10.34,154,88.51,2,1.15,06036
6,37,335,54,16.12,277,82.69,4,1.19,06037
6,38,325,58,17.85,264,81.23,3,0.92,06038
6,39,280,36,12.86,240,85.71,4,1.43,06039
6,40,187,14,7.49,173,92.51,0,0.0,06040
6,41,311,76,24.44,233,74.92,2,0.64,06041
6,42,185,16,8.65,168,90.81,1,0.54,06042
6,43,360,66,18.33,292,81.11,2,0.56,06043
6,44,311,66,21.22,240,77.17,5,1.61,06044
6,45,190,28,14.74,161,84.74,1,0.53,06045
6,46,286,54,18.88,228,79.72,4,1.4,06046
6,47,314,62,19.75,249,79.3,3,0.96,06047
6,48,333,60,18.02,266,79.88,7,2.1,06048
6,49,308,38,12.34,266,86.36,4,1.3,06049
6,50,290,52,17.93,235,81.03,3,1.03,06050
6,51,245,39,15.92,202,82.45,4,1.63,06051
6,52,238,41,17.23,192,80.67,5,2.1,06052
6,53,269,42,15.61,224,83.27,3,1.12,06053
6,54,272,43,15.81,227,83.46,2,0.74,06054
6,55,268,46,17.16,220,82.09,2,0.75,06055
6,56,232,28,12.07,201,86.64,3,1.29,06056
6,57,158,21,13.29,135,85.44,2,1.27,06057
6,58,322,71,22.05,247,76.71,4,1.24,06058
6,59,255,55,21.57,199,78.04,1,0.39,06059
6,60,209,43,20.57,163,77.99,3,1.44,06060
6,61,210,35,16.67,174,82.86,1,0.48,06061
6,62,112,21,18.75,90,80.36,1,0.89,06062
6,63,244,46,18.85,197,80.74,1,0.41,06063
6,64,348,74,21.26,271,77.87,3,0.86,06064
6,65,103,12,11.65,91,88.35,0,0.0,06065
6,66,304,33,10.86,270,88.82,1,0.33,06066
7,1,315,59,18.73,252,80.0,4,1.27,07001
7,2,345,57,16.52,287,83.19,1,0.29,07002
7,3,195,29,14.87,162,83.08,4,2.05,07003
7,4,248,38,15.32,207,83.47,3,1.21,07004
7,5,232,31,13.36,199,85.78,2,0.86,07005
7,6,224,22,9.82,199,88.84,3,1.34,07006
7,7,180,16,8.89,164,91.11,0,0.0,07007
7,8,102,15,14.71,85,83.33,2,1.96,07008
7,9,259,44,16.99,212,81.85,3,1.16,07009
7,10,195,24,12.31,169,86.67,2,1.03,07010
7,11,265,69,26.04,195,73.58,1,0.38,07011
7,12,225,30,13.33,194,86.22,1,0.44,07012
7,13,214,27,12.62,186,86.92,1,0.47,07013
7,14,319,62,19.44,254,79.62,3,0.94,07014
7,15,185,14,7.57,169,91.35,2,1.08,07015
7,16,209,28,13.4,180,86.12,1,0.48,07016
7,17,176,21,11.93,153,86.93,2,1.14,07017
7,18,183,36,19.67,143,78.14,4,2.19,07018
7,19,390,57,14.62,331,84.87,2,0.51,07019
7,20,130,5,3.85,125,96.15,0,0.0,07020
7,21,260,37,14.23,215,82.69,8,3.08,07021
7,22,193,21,10.88,170,88.08,2,1.04,07022
7,23,182,17,9.34,163,89.56,2,1.1,07023
7,24,203,21,10.34,180,88.67,2,0.99,07024
7,25,294,32,10.88,260,88.44,2,0.68,07025
7,26,333,34,10.21,295,88.59,4,1.2,07026
7,27,339,73,21.53,264,77.88,2,0.59,07027
7,28,287,36,12.54,250,87.11,1,0.35,07028
7,29,146,22,15.07,122,83.56,2,1.37,07029
7,30,284,52,18.31,230,80.99,2,0.7,07030
7,31,236,39,16.53,193,81.78,4,1.69,07031
7,32,217,30,13.82,185,85.25,2,0.92,07032
7,33,199,27,13.57,171,85.93,1,0.5,07033
7,34,233,33,14.16,197,84.55,3,1.29,07034
7,35,163,22,13.5,136,83.44,5,3.07,07035
7,36,288,29,10.07,256,88.89,3,1.04,07036
7,37,114,13,11.4,101,88.6,0,0.0,07037
7,38,193,24,12.44,163,84.46,6,3.11,07038
7,39,260,22,8.46,237,91.15,1,0.38,07039
7,40,241,28,11.62,210,87.14,3,1.24,07040
7,41,206,27,13.11,175,84.95,4,1.94,07041
7,42,401,48,11.97,345,86.03,8,2.0,07042
7,43,264,31,11.74,233,88.26,0,0.0,07043
7,44,396,71,17.93,316,79.8,9,2.27,07044
7,45,366,79,21.58,283,77.32,4,1.09,07045
7,46,102,10,9.8,91,89.22,1,0.98,07046
7,47,223,36,16.14,183,82.06,4,1.79,07047
7,48,118,14,11.86,103,87.29,1,0.85,07048
7,49,152,17,11.18,134,88.16,1,0.66,07049
7,50,168,43,25.6,124,73.81,1,0.6,07050
7,51,212,36,16.98,175,82.55,1,0.47,07051
7,52,214,29,13.55,180,84.11,5,2.34,07052
7,53,210,16,7.62,194,92.38,0,0.0,07053
7,54,135,21,15.56,113,83.7,1,0.74,07054
7,55,217,34,15.67,181,83.41,2,0.92,07055
7,56,226,30,13.27,192,84.96,4,1.77,07056
7,57,235,47,20.0,187,79.57,1,0.43,07057
7,58,308,60,19.48,248,80.52,0,0.0,07058
7,59,146,22,15.07,124,84.93,0,0.0,07059
7,60,178,17,9.55,160,89.89,1,0.56,07060
7,61,231,31,13.42,196,84.85,4,1.73,07061
7,62,250,17,6.8,233,93.2,0,0.0,07062
7,63,204,39,19.12,161,78.92,4,1.96,07063
7,64,221,32,14.48,186,84.16,3,1.36,07064
7,65,208,33,15.87,173,83.17,2,0.96,07065
8,1,329,69,20.97,258,78.42,2,0.61,08001
8,2,163,22,13.5,140,85.89,1,0.61,08002
8,3,407,70,17.2,334,82.06,3,0.74,08003
8,4,300,36,12.0,261,87.0,3,1.0,08004
8,5,346,67,19.36,278,80.35,1,0.29,08005
8,6,332,44,13.25,284,85.54,4,1.2,08006
8,7,227,27,11.89,200,88.11,0,0.0,08007
8,8,358,56,15.64,300,83.8,2,0.56,08008
8,9,360,60,16.67,298,82.78,2,0.56,08009
8,10,377,64,16.98,312,82.76,1,0.27,08010
8,11,283,37,13.07,243,85.87,3,1.06,08011
8,12,282,49,17.38,228,80.85,5,1.77,08012
8,13,253,39,15.42,213,84.19,1,0.4,08013
8,14,277,30,10.83,245,88.45,2,0.72,08014
8,15,275,36,13.09,237,86.18,2,0.73,08015
8,16,319,59,18.5,257,80.56,3,0.94,08016
8,17,260,37,14.23,222,85.38,1,0.38,08017
8,18,213,31,14.55,182,85.45,0,0.0,08018
8,19,348,58,16.67,289,83.05,1,0.29,08019
8,20,221,28,12.67,188,85.07,5,2.26,08020
8,21,243,39,16.05,203,83.54,1,0.41,08021
8,22,265,34,12.83,231,87.17,0,0.0,08022
8,23,289,45,15.57,241,83.39,3,1.04,08023
8,24,316,43,13.61,272,86.08,1,0.32,08024
8,25,310,48,15.48,259,83.55,3,0.97,08025
8,26,224,31,13.84,192,85.71,1,0.45,08026
8,27,320,43,13.44,274,85.63,3,0.94,08027
8,28,229,38,16.59,190,82.97,1,0.44,08028
8,29,310,35,11.29,272,87.74,3,0.97,08029
8,30,232,43,18.53,187,80.6,2,0.86,08030
8,31,213,27,12.68,183,85.92,3,1.41,08031
8,32,492,73,14.84,417,84.76,2,0.41,08032
8,33,254,17,6.69,235,92.52,2,0.79,08033
8,34,355,37,10.42,313,88.17,5,1.41,08034
8,35,367,64,17.44,297,80.93,6,1.63,08035
8,36,284,45,15.85,238,83.8,1,0.35,08036
8,37,342,43,12.57,299,87.43,0,0.0,08037
8,38,266,17,6.39,248,93.23,1,0.38,08038
8,39,344,38,11.05,305,88.66,1,0.29,08039
8,40,299,40,13.38,255,85.28,4,1.34,08040
8,41,266,48,18.05,212,79.7,6,2.26,08041
8,42,293,48,16.38,244,83.28,1,0.34,08042
8,43,303,41,13.53,255,84.16,7,2.31,08043
8,44,218,34,15.6,179,82.11,5,2.29,08044
8,45,229,31,13.54,198,86.46,0,0.0,08045
8,46,223,27,12.11,193,86.55,3,1.35,08046
8,47,313,39,12.46,267,85.3,7,2.24,08047
8,48,224,35,15.63,187,83.48,2,0.89,08048
8,49,322,39,12.11,280,86.96,3,0.93,08049
8,50,302,52,17.22,245,81.13,5,1.66,08050
8,51,371,53,14.29,313,84.37,5,1.35,08051
8,52,299,41,13.71,255,85.28,3,1.0,08052
8,53,340,65,19.12,272,80.0,3,0.88,08053
8,54,293,58,19.8,233,79.52,2,0.68,08054
8,55,306,34,11.11,268,87.58,4,1.31,08055
8,56,379,42,11.08,332,87.6,5,1.32,08056
8,57,252,38,15.08,212,84.13,2,0.79,08057
8,58,315,50,15.87,260,82.54,5,1.59,08058
8,59,203,15,7.39,188,92.61,0,0.0,08059
8,60,242,42,17.36,200,82.64,0,0.0,08060
8,61,255,33,12.94,221,86.67,1,0.39,08061
8,62,265,62,23.4,200,75.47,3,1.13,08062
8,63,312,48,15.38,259,83.01,5,1.6,08063
8,64,271,30,11.07,238,87.82,3,1.11,08064
8,65,198,28,14.14,170,85.86,0,0.0,08065
8,66,411,59,14.36,351,85.4,1,0.24,08066
8,67,148,24,16.22,123,83.11,1,0.68,08067
8,68,189,25,13.23,163,86.24,1,0.53,08068
8,69,183,27,14.75,155,84.7,1,0.55,08069
8,70,353,34,9.63,314,88.95,5,1.42,08070
9,1,344,44,12.79,298,86.63,2,0.58,09001
9,2,361,17,4.71,341,94.46,3,0.83,09002
9,3,235,7,2.98,226,96.17,2,0.85,09003
9,4,377,40,10.61,334,88.59,3,0.8,09004
9,5,334,33,9.88,297,88.92,4,1.2,09005
9,6,311,46,14.79,259,83.28,6,1.93,09006
9,7,331,27,8.16,298,90.03,6,1.81,09007
9,8,230,24,10.43,203,88.26,3,1.3,09008
9,9,342,49,14.33,291,85.09,2,0.58,09009
9,10,296,34,11.49,257,86.82,5,1.69,09010
9,11,223,12,5.38,208,93.27,3,1.35,09011
9,12,323,29,8.98,293,90.71,1,0.31,09012
9,13,397,63,15.87,332,83.63,2,0.5,09013
9,14,409,64,15.65,342,83.62,3,0.73,09014
9,15,154,9,5.84,143,92.86,2,1.3,09015
9,16,342,29,8.48,308,90.06,5,1.46,09016
9,17,284,22,7.75,262,92.25,0,0.0,09017
9,18,335,49,14.63,286,85.37,0,0.0,09018
9,19,357,41,11.48,310,86.83,6,1.68,09019
9,20,342,37,10.82,301,88.01,4,1.17,09020
9,21,231,33,14.29,197,85.28,1,0.43,09021
9,22,366,40,10.93,325,88.8,1,0.27,09022
9,23,238,18,7.56,214,89.92,6,2.52,09023
9,24,175,16,9.14,157,89.71,2,1.14,09024
9,25,138,19,13.77,119,86.23,0,0.0,09025
9,26,210,18,8.57,189,90.0,3,1.43,09026
9,27,183,22,12.02,160,87.43,1,0.55,09027
9,28,244,27,11.07,215,88.11,2,0.82,09028
9,29,280,23,8.21,255,91.07,2,0.71,09029
9,30,248,29,11.69,219,88.31,0,0.0,09030
9,31,266,22,8.27,241,90.6,3,1.13,09031
9,32,327,36,11.01,291,88.99,0,0.0,09032
9,33,188,24,12.77,163,86.7,1,0.53,09033
9,34,304,33,10.86,270,88.82,1,0.33,09034
9,35,296,45,15.2,251,84.8,0,0.0,09035
9,36,170,12,7.06,157,92.35,1,0.59,09036
9,37,280,80,28.57,191,68.21,9,3.21,09037
9,38,330,43,13.03,277,83.94,10,3.03,09038
