ward,precinct,total,MARK A. AUGUSTI,MARK A. AUGUSTI Percent,RAHM EMANUEL,RAHM EMANUEL Percent,FRANK GONZALEZ,FRANK GONZALEZ Percent,precinct_id
38,24,189,41,21.69,130,68.78,18,9.52,38024
38,25,227,32,14.1,182,80.18,13,5.73,38025
38,26,227,55,24.23,161,70.93,11,4.85,38026
38,27,179,59,32.96,112,62.57,8,4.47,38027
38,28,218,62,28.44,144,66.06,12,5.5,38028
38,29,234,53,22.65,171,73.08,10,4.27,38029
38,30,243,67,27.57,165,67.9,11,4.53,38030
38,31,305,71,23.28,212,69.51,22,7.21,38031
38,32,346,166,47.98,169,48.84,11,3.18,38032
38,33,230,62,26.96,161,70.0,7,3.04,38033
38,34,163,38,23.31,105,64.42,20,12.27,38034
38,35,92,32,34.78,49,53.26,11,11.96,38035
38,36,255,54,21.18,195,76.47,6,2.35,38036
38,37,295,78,26.44,191,64.75,26,8.81,38037
38,38,338,112,33.14,212,62.72,14,4.14,38038
38,39,273,76,27.84,179,65.57,18,6.59,38039
38,40,189,58,30.69,122,64.55,9,4.76,38040
38,41,321,88,27.41,216,67.29,17,5.3,38041
38,42,278,80,28.78,187,67.27,11,3.96,38042
38,43,268,70,26.12,184,68.66,14,5.22,38043
38,44,261,94,36.02,158,60.54,9,3.45,38044
38,45,291,71,24.4,211,72.51,9,3.09,38045
38,46,242,80,33.06,152,62.81,10,4.13,38046
38,47,265,67,25.28,181,68.3,17,6.42,38047
38,48,275,64,23.27,194,70.55,17,6.18,38048
38,49,253,122,48.22,122,48.22,9,3.56,38049
38,50,299,91,30.43,190,63.55,18,6.02,38050
38,51,233,62,26.61,164,70.39,7,3.0,38051
38,52,269,74,27.51,176,65.43,19,7.06,38052
38,53,55,21,38.18,33,60.0,1,1.82,38053
39,1,267,105,39.33,155,58.05,7,2.62,39001
39,2,400,87,21.75,307,76.75,6,1.5,39002
39,3,292,101,34.59,187,64.04,4,1.37,39003
39,4,206,69,33.5,130,63.11,7,3.4,39004
39,5,218,62,28.44,149,68.35,7,3.21,39005
39,6,299,94,31.44,195,65.22,10,3.34,39006
39,7,196,48,24.49,134,68.37,14,7.14,39007
39,8,339,69,20.35,255,75.22,15,4.42,39008
39,9,353,79,22.38,261,73.94,13,3.68,39009
39,10,256,34,13.28,198,77.34,24,9.38,39010
39,11,356,77,21.63,268,75.28,11,3.09,39011
39,12,207,30,14.49,164,79.23,13,6.28,39012
39,13,168,31,18.45,130,77.38,7,4.17,39013
39,14,266,40,15.04,201,75.56,25,9.4,39014
39,15,257,114,44.36,137,53.31,6,2.33,39015
39,16,206,46,22.33,146,70.87,14,6.8,39016
39,17,230,38,16.52,185,80.43,7,3.04,39017
39,18,329,71,21.58,238,72.34,20,6.08,39018
39,19,221,49,22.17,158,71.49,14,6.33,39019
39,20,255,106,41.57,138,54.12,11,4.31,39020
39,21,181,32,17.68,144,79.56,5,2.76,39021
39,22,251,24,9.56,207,82.47,20,7.97,39022
39,23,160,36,22.5,119,74.38,5,3.13,39023
39,24,159,17,10.69,133,83.65,9,5.66,39024
39,25,306,102,33.33,185,60.46,19,6.21,39025
39,26,289,111,38.41,170,58.82,8,2.77,39026
39,27,280,73,26.07,188,67.14,19,6.79,39027
39,28,298,60,20.13,202,67.79,36,12.08,39028
39,29,279,69,24.73,195,69.89,15,5.38,39029
39,30,195,34,17.44,146,74.87,15,7.69,39030
39,31,207,38,18.36,161,77.78,8,3.86,39031
39,32,292,32,10.96,257,88.01,3,1.03,39032
39,33,327,84,25.69,233,71.25,10,3.06,39033
39,34,342,76,22.22,247,72.22,19,5.56,39034
39,35,323,81,25.08,231,71.52,11,3.41,39035
39,36,344,43,12.5,292,84.88,9,2.62,39036
39,37,386,142,36.79,230,59.59,14,3.63,39037
39,38,311,85,27.33,213,68.49,13,4.18,39038
39,39,139,28,20.14,102,73.38,9,6.47,39039
39,40,194,77,39.69,112,57.73,5,2.58,39040
39,41,131,36,27.48,94,71.76,1,0.76,39041
39,42,264,113,42.8,145,54.92,6,2.27,39042
39,43,299,80,26.76,203,67.89,16,5.35,39043
39,44,313,57,18.21,227,72.52,29,9.27,39044
39,45,159,44,27.67,106,66.67,9,5.66,39045
39,46,224,41,18.3,172,76.79,11,4.91,39046
39,47,194,67,34.54,121,62.37,6,3.09,39047
40,1,198,37,18.69,148,74.75,13,6.57,40001
40,2,202,41,20.3,149,73.76,12,5.94,40002
40,5,125,17,13.6,99,79.2,9,7.2,40005
40,6,226,34,15.04,177,78.32,15,6.64,40006
40,10,301,58,19.27,227,75.42,16,5.32,40010
40,14,240,41,17.08,185,77.08,14,5.83,40014
40,15,272,52,19.12,215,79.04,5,1.84,40015
40,17,149,25,16.78,117,78.52,7,4.7,40017
40,19,227,51,22.47,166,73.13,10,4.41,40019
40,20,220,53,24.09,158,71.82,9,4.09,40020
40,21,249,45,18.07,193,77.51,11,4.42,40021
40,23,288,42,14.58,233,80.9,13,4.51,40023
40,24,157,30,19.11,118,75.16,9,5.73,40024
40,25,198,47,23.74,142,71.72,9,4.55,40025
40,29,311,61,19.61,237,76.21,13,4.18,40029
40,30,305,61,20.0,237,77.7,7,2.3,40030
40,31,247,64,25.91,174,70.45,9,3.64,40031
40,32,171,45,26.32,117,68.42,9,5.26,40032
40,34,181,27,14.92,149,82.32,5,2.76,40034
40,36,258,57,22.09,194,75.19,7,2.71,40036
40,38,148,27,18.24,112,75.68,9,6.08,40038
40,40,145,36,24.83,104,71.72,5,3.45,40040
40,41,53,8,15.09,40,75.47,5,9.43,40041
40,44,205,39,19.02,151,73.66,15,7.32,40044
40,45,368,74,20.11,282,76.63,12,3.26,40045
40,48,199,40,20.1,146,73.37,13,6.53,40048
40,49,167,38,22.75,117,70.06,12,7.19,40049
41,3,227,81,35.68,139,61.23,7,3.08,41003
41,9,298,119,39.93,167,56.04,12,4.03,41009
41,10,323,132,40.87,181,56.04,10,3.1,41010
41,12,410,131,31.95,268,65.37,11,2.68,41012
41,14,386,155,40.16,223,57.77,8,2.07,41014
41,16,347,125,36.02,212,61.1,10,2.88,41016
41,19,304,129,42.43,168,55.26,7,2.3,41019
41,21,377,175,46.42,189,50.13,13,3.45,41021
41,22,269,133,49.44,132,49.07,4,1.49,41022
41,23,308,110,35.71,188,61.04,10,3.25,41023
41,24,249,126,50.6,115,46.18,8,3.21,41024
41,30,289,117,40.48,167,57.79,5,1.73,41030
41,35,306,155,50.65,141,46.08,10,3.27,41035
41,43,275,110,40.0,158,57.45,7,2.55,41043
41,46,277,99,35.74,164,59.21,14,5.05,41046
41,47,317,133,41.96,180,56.78,4,1.26,41047
41,50,314,117,37.26,191,60.83,6,1.91,41050
41,51,268,109,40.67,153,57.09,6,2.24,41051
41,54,272,101,37.13,163,59.93,8,2.94,41054
41,57,329,141,42.86,180,54.71,8,2.43,41057
41,59,286,120,41.96,160,55.94,6,2.1,41059
41,62,293,103,35.15,184,62.8,6,2.05,41062
41,65,405,149,36.79,239,59.01,17,4.2,41065
41,66,342,151,44.15,183,53.51,8,2.34,41066
41,67,247,93,37.65,152,61.54,2,0.81,41067
41,68,208,68,32.69,136,65.38,4,1.92,41068
41,69,370,127,34.32,236,63.78,7,1.89,41069
41,70,247,107,43.32,134,54.25,6,2.43,41070
41,71,190,70,36.84,113,59.47,7,3.68,41071
43,2,317,110,34.7,201,63.41,6,1.89,43002
43,6,252,83,32.94,154,61.11,15,5.95,43006
43,7,194,51,26.29,135,69.59,8,4.12,43007
43,8,308,75,24.35,229,74.35,4,1.3,43008
43,12,359,107,29.81,238,66.3,14,3.9,43012
43,14,278,65,23.38,211,75.9,2,0.72,43014
43,17,200,71,35.5,119,59.5,10,5.0,43017
43,19,231,53,22.94,171,74.03,7,3.03,43019
43,20,323,93,28.79,225,69.66,5,1.55,43020
43,21,95,35,36.84,57,60.0,3,3.16,43021
43,22,201,65,32.34,126,62.69,10,4.98,43022
43,27,280,96,34.29,174,62.14,10,3.57,43027
43,29,287,96,33.45,181,63.07,10,3.48,43029
43,31,257,92,35.8,161,62.65,4,1.56,43031
43,32,240,71,29.58,164,68.33,5,2.08,43032
43,33,189,76,40.21,107,56.61,6,3.17,43033
43,34,186,68,36.56,108,58.06,10,5.38,43034
43,35,321,114,35.51,198,61.68,9,2.8,43035
43,38,276,82,29.71,182,65.94,12,4.35,43038
43,39,217,77,35.48,135,62.21,5,2.3,43039
43,41,111,47,42.34,63,56.76,1,0.9,43041
43,43,270,109,40.37,155,57.41,6,2.22,43043
43,44,359,103,28.69,252,70.19,4,1.11,43044
43,45,52,10,19.23,38,73.08,4,7.69,43045
43,48,325,98,30.15,216,66.46,11,3.38,43048
43,50,239,75,31.38,159,66.53,5,2.09,43050
43,53,331,86,25.98,229,69.18,16,4.83,43053
43,56,221,54,24.43,161,72.85,6,2.71,43056
43,57,265,105,39.62,149,56.23,11,4.15,43057
43,58,305,81,26.56,220,72.13,4,1.31,43058
43,59,306,82,26.8,221,72.22,3,0.98,43059
44,1,301,66,21.93,225,74.75,10,3.32,44001
44,2,249,58,23.29,181,72.69,10,4.02,44002
44,5,378,83,21.96,279,73.81,16,4.23,44005
44,6,321,79,24.61,233,72.59,9,2.8,44006
44,8,194,53,27.32,136,70.1,5,2.58,44008
44,9,530,177,33.4,336,63.4,17,3.21,44009
44,10,253,74,29.25,174,68.77,5,1.98,44010
44,11,400,110,27.5,278,69.5,12,3.0,44011
44,12,224,56,25.0,161,71.88,7,3.13,44012
44,13,232,63,27.16,167,71.98,2,0.86,44013
44,14,323,85,26.32,229,70.9,9,2.79,44014
44,15,393,81,20.61,305,77.61,7,1.78,44015
44,16,341,75,21.99,257,75.37,9,2.64,44016
44,17,371,75,20.22,284,76.55,12,3.23,44017
44,18,233,58,24.89,166,71.24,9,3.86,44018
44,19,206,38,18.45,156,75.73,12,5.83,44019
44,20,288,79,27.43,193,67.01,16,5.56,44020
44,21,379,86,22.69,279,73.61,14,3.69,44021
44,22,396,81,20.45,303,76.52,12,3.03,44022
44,23,333,70,21.02,254,76.28,9,2.7,44023
44,24,258,65,25.19,185,71.71,8,3.1,44024
44,25,337,84,24.93,234,69.44,19,5.64,44025
44,26,264,53,20.08,202,76.52,9,3.41,44026
44,27,393,123,31.3,262,66.67,8,2.04,44027
44,28,256,85,33.2,156,60.94,15,5.86,44028
44,29,361,122,33.8,228,63.16,11,3.05,44029
44,30,293,53,18.09,227,77.47,13,4.44,44030
44,31,389,113,29.05,260,66.84,16,4.11,44031
44,32,205,37,18.05,163,79.51,5,2.44,44032
44,33,410,54,13.17,343,83.66,13,3.17,44033
44,34,234,52,22.22,170,72.65,12,5.13,44034
44,36,329,64,19.45,254,77.2,11,3.34,44036
44,37,394,76,19.29,306,77.66,12,3.05,44037
44,38,341,115,33.72,221,64.81,5,1.47,44038
44,39,386,144,37.31,234,60.62,8,2.07,44039
44,40,345,127,36.81,210,60.87,8,2.32,44040
44,41,333,82,24.62,240,72.07,11,3.3,44041
44,42,361,70,19.39,275,76.18,16,4.43,44042
44,43,339,97,28.61,227,66.96,15,4.42,44043
44,44,386,67,17.36,303,78.5,16,4.15,44044
44,45,364,82,22.53,265,72.8,17,4.67,44045
44,46,242,42,17.36,192,79.34,8,3.31,44046
44,47,456,157,34.43,282,61.84,17,3.73,44047
44,50,355,109,30.7,225,63.38,21,5.92,44050
45,1,245,62,25.31,173,70.61,10,4.08,45001
45,2,353,111,31.44,234,66.29,8,2.27,45002
45,3,413,83,20.1,323,78.21,7,1.69,45003
45,4,366,154,42.08,203,55.46,9,2.46,45004
45,5,401,176,43.89,216,53.87,9,2.24,45005
45,6,322,94,29.19,217,67.39,11,3.42,45006
45,7,290,93,32.07,176,60.69,21,7.24,45007
45,8,289,98,33.91,179,61.94,12,4.15,45008
45,9,356,118,33.15,229,64.33,9,2.53,45009
45,10,393,113,28.75,252,64.12,28,7.12,45010
45,11,284,101,35.56,178,62.68,5,1.76,45011
45,12,320,97,30.31,212,66.25,11,3.44,45012
45,13,365,117,32.05,232,63.56,16,4.38,45013
45,14,366,94,25.68,250,68.31,22,6.01,45014
45,15,363,127,34.99,231,63.64,5,1.38,45015
45,16,318,57,17.92,250,78.62,11,3.46,45016
45,17,300,109,36.33,181,60.33,10,3.33,45017
45,18,298,70,23.49,216,72.48,12,4.03,45018
45,19,344,113,32.85,224,65.12,7,2.03,45019
45,20,302,102,33.77,189,62.58,11,3.64,45020
45,21,320,106,33.13,207,64.69,7,2.19,45021
45,22,292,117,40.07,163,55.82,12,4.11,45022
45,23,350,114,32.57,224,64.0,12,3.43,45023
45,24,389,147,37.79,225,57.84,17,4.37,45024
45,25,336,94,27.98,233,69.35,9,2.68,45025
45,26,340,97,28.53,234,68.82,9,2.65,45026
45,27,312,82,26.28,222,71.15,8,2.56,45027
45,28,311,75,24.12,218,70.1,18,5.79,45028
45,29,305,84,27.54,203,66.56,18,5.9,45029
45,30,326,121,37.12,198,60.74,7,2.15,45030
45,31,304,78,25.66,211,69.41,15,4.93,45031
45,32,236,88,37.29,140,59.32,8,3.39,45032
45,33,291,96,32.99,187,64.26,8,2.75,45033
45,34,268,97,36.19,159,59.33,12,4.48,45034
45,35,312,123,39.42,177,56.73,12,3.85,45035
45,36,290,100,34.48,178,61.38,12,4.14,45036
45,37,271,68,25.09,191,70.48,12,4.43,45037
45,38,361,98,27.15,254,70.36,9,2.49,45038
45,39,348,97,27.87,232,66.67,19,5.46,45039
45,40,359,101,28.13,250,69.64,8,2.23,45040
45,41,233,70,30.04,151,64.81,12,5.15,45041
45,42,271,65,23.99,191,70.48,15,5.54,45042
45,43,283,72,25.44,194,68.55,17,6.01,45043
45,44,351,114,32.48,225,64.1,12,3.42,45044
45,45,280,84,30.0,188,67.14,8,2.86,45045
45,46,342,91,26.61,238,69.59,13,3.8,45046
45,47,332,102,30.72,212,63.86,18,5.42,45047
45,48,262,70,26.72,181,69.08,11,4.2,45048
45,49,308,110,35.71,182,59.09,16,5.19,45049
45,50,309,111,35.92,188,60.84,10,3.24,45050
45,51,326,109,33.44,204,62.58,13,3.99,45051
45,52,308,102,33.12,196,63.64,10,3.25,45052
45,53,300,100,33.33,183,61.0,17,5.67,45053
46,3,399,50,12.53,319,79.95,30,7.52,46003
46,5,320,53,16.56,249,77.81,18,5.63,46005
46,13,453,109,24.06,329,72.63,15,3.31,46013
46,17,514,106,20.62,394,76.65,14,2.72,46017
46,18,360,82,22.78,269,74.72,9,2.5,46018
46,24,304,53,17.43,242,79.61,9,2.96,46024
46,29,298,42,14.09,249,83.56,7,2.35,46029
46,31,373,69,18.5,291,78.02,13,3.49,46031
46,36,354,74,20.9,261,73.73,19,5.37,46036
46,37,227,36,15.86,186,81.94,5,2.2,46037
46,43,217,43,19.82,166,76.5,8,3.69,46043
47,1,334,47,14.07,268,80.24,19,5.69,47001
47,2,307,56,18.24,239,77.85,12,3.91,47002
47,3,291,52,17.87,229,78.69,10,3.44,47003
47,4,380,91,23.95,280,73.68,9,2.37,47004
47,5,299,70,23.41,219,73.24,10,3.34,47005
47,6,397,82,20.65,303,76.32,12,3.02,47006
47,7,328,68,20.73,251,76.52,9,2.74,47007
47,8,454,73,16.08,358,78.85,23,5.07,47008
47,9,212,37,17.45,164,77.36,11,5.19,47009
47,10,276,34,12.32,230,83.33,12,4.35,47010
47,11,532,59,11.09,455,85.53,18,3.38,47011
47,12,325,60,18.46,249,76.62,16,4.92,47012
47,13,499,78,15.63,402,80.56,19,3.81,47013
47,14,231,38,16.45,182,78.79,11,4.76,47014
47,15,376,53,14.1,302,80.32,21,5.59,47015
47,16,320,58,18.13,243,75.94,19,5.94,47016
47,17,301,58,19.27,227,75.42,16,5.32,47017
47,18,384,69,17.97,302,78.65,13,3.39,47018
47,19,367,50,13.62,308,83.92,9,2.45,47019
47,20,342,57,16.67,263,76.9,22,6.43,47020
47,21,370,79,21.35,280,75.68,11,2.97,47021
47,22,334,45,13.47,271,81.14,18,5.39,47022
47,23,156,21,13.46,127,81.41,8,5.13,47023
47,24,341,71,20.82,256,75.07,14,4.11,47024
47,25,393,102,25.95,273,69.47,18,4.58,47025
47,26,468,59,12.61,380,81.2,29,6.2,47026
47,27,320,71,22.19,236,73.75,13,4.06,47027
47,28,466,76,16.31,362,77.68,28,6.01,47028
47,29,352,76,21.59,266,75.57,10,2.84,47029
47,30,369,57,15.45,297,80.49,15,4.07,47030
47,31,334,45,13.47,266,79.64,23,6.89,47031
47,32,369,52,14.09,306,82.93,11,2.98,47032
47,33,320,49,15.31,256,80.0,15,4.69,47033
47,34,409,57,13.94,329,80.44,23,5.62,47034
47,35,467,80,17.13,361,77.3,26,5.57,47035
47,36,460,58,12.61,376,81.74,26,5.65,47036
47,37,433,83,19.17,335,77.37,15,3.46,47037
47,38,350,55,15.71,272,77.71,23,6.57,47038
47,39,359,74,20.61,267,74.37,18,5.01,47039
47,40,278,39,14.03,221,79.5,18,6.47,47040
47,41,479,87,18.16,377,78.71,15,3.13,47041
47,42,261,40,15.33,208,79.69,13,4.98,47042
47,43,245,61,24.9,177,72.24,7,2.86,47043
47,44,407,98,24.08,286,70.27,23,5.65,47044
47,45,336,68,20.24,252,75.0,16,4.76,47045
47,46,264,69,26.14,185,70.08,10,3.79,47046
47,47,342,78,22.81,250,73.1,14,4.09,47047
47,48,60,5,8.33,51,85.0,4,6.67,47048
47,49,282,60,21.28,209,74.11,13,4.61,47049
47,50,236,52,22.03,175,74.15,9,3.81,47050
47,51,238,53,22.27,176,73.95,9,3.78,47051
50,44,254,48,18.9,202,79.53,4,1.57,50044
50,45,153,33,21.57,112,73.2,8,5.23,50045
