ward,precinct,total,CHRISTOPHER A. BULLOCK,CHRISTOPHER A. BULLOCK Percent,"JOHN H. STROGER, JR.","JOHN H. STROGER, JR. Percent",precinct_id
7,8,102,6,5.88,96,94.12,07008
7,9,261,10,3.83,251,96.17,07009
7,10,206,7,3.4,199,96.6,07010
7,11,272,10,3.68,262,96.32,07011
7,12,225,7,3.11,218,96.89,07012
7,13,219,5,2.28,214,97.72,07013
7,14,326,20,6.13,306,93.87,07014
7,15,185,4,2.16,181,97.84,07015
7,16,211,7,3.32,204,96.68,07016
7,17,184,4,2.17,180,97.83,07017
7,18,190,9,4.74,181,95.26,07018
7,19,400,9,2.25,391,97.75,07019
7,20,131,3,2.29,128,97.71,07020
7,21,268,9,3.36,259,96.64,07021
7,22,196,10,5.1,186,94.9,07022
7,23,190,6,3.16,184,96.84,07023
7,24,204,4,1.96,200,98.04,07024
7,25,306,11,3.59,295,96.41,07025
7,26,332,13,3.92,319,96.08,07026
7,27,340,10,2.94,330,97.06,07027
7,28,289,4,1.38,285,98.62,07028
7,29,149,2,1.34,147,98.66,07029
7,30,287,7,2.44,280,97.56,07030
7,31,239,6,2.51,233,97.49,07031
7,32,215,17,7.91,198,92.09,07032
7,33,208,10,4.81,198,95.19,07033
7,34,243,7,2.88,236,97.12,07034
7,35,154,21,13.64,133,86.36,07035
7,36,296,13,4.39,283,95.61,07036
7,37,117,4,3.42,113,96.58,07037
7,38,200,7,3.5,193,96.5,07038
7,39,267,4,1.5,263,98.5,07039
7,40,224,10,4.46,214,95.54,07040
7,41,212,10,4.72,202,95.28,07041
7,42,415,5,1.2,410,98.8,07042
7,43,272,7,2.57,265,97.43,07043
7,44,400,19,4.75,381,95.25,07044
7,45,377,13,3.45,364,96.55,07045
7,46,102,4,3.92,98,96.08,07046
7,47,230,9,3.91,221,96.09,07047
7,48,119,3,2.52,116,97.48,07048
7,49,159,4,2.52,155,97.48,07049
7,50,167,7,4.19,160,95.81,07050
7,51,218,7,3.21,211,96.79,07051
7,52,223,7,3.14,216,96.86,07052
7,53,212,1,0.47,211,99.53,07053
7,54,136,10,7.35,126,92.65,07054
7,55,219,10,4.57,209,95.43,07055
7,56,228,8,3.51,220,96.49,07056
7,57,240,6,2.5,234,97.5,07057
7,58,314,14,4.46,300,95.54,07058
7,59,149,9,6.04,140,93.96,07059
7,60,181,3,1.66,178,98.34,07060
7,61,236,7,2.97,229,97.03,07061
7,62,261,4,1.53,257,98.47,07062
7,63,206,9,4.37,197,95.63,07063
7,64,229,10,4.37,219,95.63,07064
7,65,211,6,2.84,205,97.16,07065
8,1,344,14,4.07,330,95.93,08001
8,2,171,5,2.92,166,97.08,08002
8,3,417,11,2.64,406,97.36,08003
8,4,302,12,3.97,290,96.03,08004
8,5,354,11,3.11,343,96.89,08005
8,6,338,10,2.96,328,97.04,08006
8,7,232,7,3.02,225,96.98,08007
8,8,361,7,1.94,354,98.06,08008
8,9,358,12,3.35,346,96.65,08009
8,10,379,16,4.22,363,95.78,08010
8,11,294,8,2.72,286,97.28,08011
8,12,290,7,2.41,283,97.59,08012
8,13,255,7,2.75,248,97.25,08013
8,14,281,5,1.78,276,98.22,08014
8,15,281,5,1.78,276,98.22,08015
8,16,314,6,1.91,308,98.09,08016
8,17,259,8,3.09,251,96.91,08017
8,18,217,2,0.92,215,99.08,08018
8,19,352,11,3.13,341,96.88,08019
8,20,231,2,0.87,229,99.13,08020
8,21,249,10,4.02,239,95.98,08021
8,22,269,8,2.97,261,97.03,08022
8,23,296,11,3.72,285,96.28,08023
8,24,317,7,2.21,310,97.79,08024
8,25,317,9,2.84,308,97.16,08025
8,26,222,6,2.7,216,97.3,08026
8,27,320,8,2.5,312,97.5,08027
8,28,235,8,3.4,227,96.6,08028
8,29,312,12,3.85,300,96.15,08029
8,30,240,9,3.75,231,96.25,08030
8,31,219,5,2.28,214,97.72,08031
8,32,499,16,3.21,483,96.79,08032
8,33,268,10,3.73,258,96.27,08033
8,34,361,12,3.32,349,96.68,08034
8,35,367,15,4.09,352,95.91,08035
8,36,292,2,0.68,290,99.32,08036
8,37,344,5,1.45,339,98.55,08037
8,38,276,6,2.17,270,97.83,08038
8,39,347,7,2.02,340,97.98,08039
8,40,303,7,2.31,296,97.69,08040
8,41,275,7,2.55,268,97.45,08041
8,42,293,11,3.75,282,96.25,08042
8,43,312,9,2.88,303,97.12,08043
8,44,221,7,3.17,214,96.83,08044
8,45,233,7,3.0,226,97.0,08045
8,46,233,5,2.15,228,97.85,08046
8,47,323,5,1.55,318,98.45,08047
8,48,236,5,2.12,231,97.88,08048
8,49,336,15,4.46,321,95.54,08049
8,50,311,11,3.54,300,96.46,08050
8,51,385,10,2.6,375,97.4,08051
8,52,307,6,1.95,301,98.05,08052
8,53,355,7,1.97,348,98.03,08053
