ward,precinct,total,KATHLEEN A. THOMAS,KATHLEEN A. THOMAS Percent,precinct_id
4,34,226,22,9.73,04034
4,35,188,2,1.06,04035
4,36,130,6,4.62,04036
4,37,165,4,2.42,04037
4,38,408,20,4.9,04038
4,39,131,0,0.0,04039
4,40,268,14,5.22,04040
4,41,150,16,10.67,04041
4,42,329,13,3.95,04042
4,43,226,19,8.41,04043
4,44,215,14,6.51,04044
4,45,471,20,4.25,04045
4,46,262,11,4.2,04046
4,47,422,25,5.92,04047
4,48,448,34,7.59,04048
4,49,89,1,1.12,04049
4,50,236,9,3.81,04050
4,51,346,8,2.31,04051
4,52,82,0,0.0,04052
4,53,15,0,0.0,04053
4,54,166,12,7.23,04054
4,55,225,14,6.22,04055
4,56,337,3,0.89,04056
4,57,158,7,4.43,04057
4,58,307,16,5.21,04058
5,1,333,10,3.0,05001
5,2,227,9,3.96,05002
5,3,157,13,8.28,05003
5,4,216,3,1.39,05004
5,5,227,6,2.64,05005
5,6,356,10,2.81,05006
5,7,324,7,2.16,05007
5,8,406,31,7.64,05008
5,9,278,5,1.8,05009
5,10,286,6,2.1,05010
5,11,324,31,9.57,05011
5,12,209,8,3.83,05012
5,13,254,7,2.76,05013
5,14,388,18,4.64,05014
5,15,280,17,6.07,05015
5,16,240,14,5.83,05016
5,17,297,8,2.69,05017
5,18,289,5,1.73,05018
5,19,145,5,3.45,05019
5,20,157,1,0.64,05020
5,21,319,8,2.51,05021
5,22,293,7,2.39,05022
5,23,208,11,5.29,05023
5,24,252,12,4.76,05024
5,25,291,8,2.75,05025
5,26,295,7,2.37,05026
5,27,366,50,13.66,05027
5,28,258,7,2.71,05028
5,29,296,7,2.36,05029
5,30,309,33,10.68,05030
5,31,266,8,3.01,05031
5,32,390,5,1.28,05032
5,33,258,8,3.1,05033
5,34,275,3,1.09,05034
5,35,206,24,11.65,05035
5,36,172,5,2.91,05036
5,37,220,18,8.18,05037
5,38,343,33,9.62,05038
5,39,313,23,7.35,05039
5,40,369,8,2.17,05040
5,41,282,30,10.64,05041
5,42,308,7,2.27,05042
5,43,304,8,2.63,05043
5,44,298,10,3.36,05044
5,45,168,6,3.57,05045
5,46,316,31,9.81,05046
5,47,242,5,2.07,05047
5,48,213,9,4.23,05048
5,49,63,2,3.17,05049
5,50,245,2,0.82,05050
5,51,240,5,2.08,05051
5,52,96,11,11.46,05052
5,53,373,28,7.51,05053
5,54,393,6,1.53,05054
6,1,351,4,1.14,06001
6,2,345,4,1.16,06002
6,3,323,12,3.72,06003
6,4,237,16,6.75,06004
6,5,184,1,0.54,06005
6,6,260,6,2.31,06006
6,7,335,10,2.99,06007
6,8,290,2,0.69,06008
6,9,236,6,2.54,06009
6,10,384,9,2.34,06010
6,11,289,5,1.73,06011
6,12,276,5,1.81,06012
6,13,277,6,2.17,06013
6,14,315,9,2.86,06014
6,15,280,4,1.43,06015
6,16,322,3,0.93,06016
6,17,367,4,1.09,06017
6,18,78,2,2.56,06018
6,19,372,7,1.88,06019
6,20,300,8,2.67,06020
6,21,282,10,3.55,06021
6,22,294,2,0.68,06022
6,23,253,3,1.19,06023
6,24,294,9,3.06,06024
6,25,189,6,3.17,06025
6,26,312,7,2.24,06026
6,27,390,9,2.31,06027
6,28,472,9,1.91,06028
6,29,362,7,1.93,06029
6,30,277,6,2.17,06030
6,31,355,7,1.97,06031
6,32,352,6,1.7,06032
6,33,369,8,2.17,06033
6,34,257,2,0.78,06034
6,35,367,9,2.45,06035
6,36,169,4,2.37,06036
6,37,338,6,1.78,06037
6,38,328,12,3.66,06038
6,39,271,5,1.85,06039
6,40,186,6,3.23,06040
6,41,313,7,2.24,06041
6,42,178,2,1.12,06042
6,43,360,8,2.22,06043
6,44,315,5,1.59,06044
6,45,194,1,0.52,06045
6,46,279,6,2.15,06046
6,47,316,4,1.27,06047
6,48,330,6,1.82,06048
6,49,308,5,1.62,06049
6,50,291,6,2.06,06050
6,51,248,8,3.23,06051
6,52,247,7,2.83,06052
6,53,269,7,2.6,06053
6,54,270,4,1.48,06054
6,55,263,3,1.14,06055
6,56,231,1,0.43,06056
6,57,160,2,1.25,06057
6,58,320,6,1.88,06058
6,59,256,4,1.56,06059
6,60,208,9,4.33,06060
6,61,208,6,2.88,06061
6,62,111,4,3.6,06062
6,63,250,3,1.2,06063
6,64,350,7,2.0,06064
6,65,100,2,2.0,06065
6,66,309,5,1.62,06066
7,1,318,8,2.52,07001
7,2,341,7,2.05,07002
7,3,195,7,3.59,07003
7,4,247,8,3.24,07004
7,5,232,11,4.74,07005
7,6,222,11,4.95,07006
7,7,181,5,2.76,07007
7,8,99,6,6.06,07008
7,9,257,6,2.33,07009
7,10,201,4,1.99,07010
7,11,265,6,2.26,07011
7,12,219,8,3.65,07012
7,13,211,1,0.47,07013
7,14,322,13,4.04,07014
7,15,181,5,2.76,07015
7,16,212,6,2.83,07016
7,17,172,1,0.58,07017
7,18,187,6,3.21,07018
7,19,393,8,2.04,07019
7,20,126,3,2.38,07020
7,21,256,4,1.56,07021
7,22,198,7,3.54,07022
7,23,182,2,1.1,07023
7,24,202,3,1.49,07024
7,25,301,12,3.99,07025
7,26,325,7,2.15,07026
7,27,342,8,2.34,07027
7,28,289,15,5.19,07028
7,29,144,2,1.39,07029
7,30,284,4,1.41,07030
7,31,236,2,0.85,07031
7,32,210,12,5.71,07032
7,33,203,6,2.96,07033
7,34,239,5,2.09,07034
7,35,152,12,7.89,07035
7,36,292,6,2.05,07036
7,37,112,0,0.0,07037
7,38,196,2,1.02,07038
7,39,258,4,1.55,07039
7,40,226,10,4.42,07040
7,41,204,6,2.94,07041
7,42,406,9,2.22,07042
7,43,268,6,2.24,07043
7,44,397,16,4.03,07044
7,45,373,10,2.68,07045
7,46,105,1,0.95,07046
7,47,225,7,3.11,07047
7,48,117,4,3.42,07048
7,49,156,0,0.0,07049
7,50,169,3,1.78,07050
7,51,214,4,1.87,07051
7,52,219,3,1.37,07052
7,53,214,3,1.4,07053
7,54,134,5,3.73,07054
7,55,213,2,0.94,07055
7,56,221,9,4.07,07056
7,57,237,3,1.27,07057
7,58,310,13,4.19,07058
7,59,142,4,2.82,07059
7,60,179,1,0.56,07060
7,61,232,11,4.74,07061
7,62,254,3,1.18,07062
7,63,201,8,3.98,07063
7,64,222,7,3.15,07064
7,65,209,7,3.35,07065
8,1,334,10,2.99,08001
8,2,167,1,0.6,08002
8,3,405,6,1.48,08003
8,4,293,6,2.05,08004
8,5,348,6,1.72,08005
8,6,339,13,3.83,08006
8,7,229,2,0.87,08007
8,8,348,3,0.86,08008
8,9,358,7,1.96,08009
8,10,370,4,1.08,08010
8,11,283,8,2.83,08011
8,12,277,5,1.81,08012
8,13,251,2,0.8,08013
8,14,269,3,1.12,08014
8,15,272,5,1.84,08015
8,16,310,4,1.29,08016
8,17,256,5,1.95,08017
8,18,208,6,2.88,08018
8,19,352,5,1.42,08019
8,20,218,2,0.92,08020
8,21,242,5,2.07,08021
8,22,266,5,1.88,08022
8,23,295,7,2.37,08023
8,24,313,8,2.56,08024
8,25,308,6,1.95,08025
8,26,220,5,2.27,08026
8,27,314,5,1.59,08027
8,28,228,4,1.75,08028
8,29,300,5,1.67,08029
8,30,235,8,3.4,08030
8,31,214,3,1.4,08031
8,32,489,15,3.07,08032
8,33,258,6,2.33,08033
8,34,353,7,1.98,08034
8,35,367,4,1.09,08035
8,36,279,3,1.08,08036
8,37,340,7,2.06,08037
8,38,262,3,1.15,08038
8,39,344,0,0.0,08039
8,40,296,6,2.03,08040
8,41,273,4,1.47,08041
8,42,287,6,2.09,08042
8,43,290,5,1.72,08043
8,44,221,2,0.9,08044
8,45,229,6,2.62,08045
8,46,220,2,0.91,08046
8,47,314,5,1.59,08047
8,48,227,4,1.76,08048
8,49,314,7,2.23,08049
8,50,302,7,2.32,08050
8,51,375,8,2.13,08051
8,52,303,4,1.32,08052
8,53,349,6,1.72,08053
8,54,293,9,3.07,08054
8,55,302,8,2.65,08055
8,56,375,7,1.87,08056
8,57,251,4,1.59,08057
8,58,318,5,1.57,08058
8,59,197,6,3.05,08059
8,60,242,4,1.65,08060
8,61,248,2,0.81,08061
8,62,266,4,1.5,08062
8,63,307,6,1.95,08063
8,64,261,3,1.15,08064
8,65,194,5,2.58,08065
8,66,410,4,0.98,08066
8,67,145,3,2.07,08067
8,68,185,4,2.16,08068
8,69,178,3,1.69,08069
8,70,349,9,2.58,08070
9,1,343,4,1.17,09001
9,2,356,10,2.81,09002
9,3,224,3,1.34,09003
9,4,364,13,3.57,09004
9,5,330,6,1.82,09005
9,6,311,5,1.61,09006
9,7,320,8,2.5,09007
9,8,229,3,1.31,09008
9,9,338,5,1.48,09009
9,10,290,11,3.79,09010
9,11,206,7,3.4,09011
9,12,323,10,3.1,09012
9,13,397,8,2.02,09013
9,14,414,9,2.17,09014
9,15,145,3,2.07,09015
9,16,328,3,0.91,09016
9,17,281,4,1.42,09017
9,18,331,12,3.63,09018
9,19,356,9,2.53,09019
9,20,334,4,1.2,09020
9,21,220,4,1.82,09021
9,22,369,3,0.81,09022
9,23,236,12,5.08,09023
9,24,164,7,4.27,09024
9,25,143,2,1.4,09025
9,26,210,6,2.86,09026
9,27,179,5,2.79,09027
9,28,240,11,4.58,09028
9,29,273,7,2.56,09029
9,30,244,3,1.23,09030
9,31,266,10,3.76,09031
9,32,329,4,1.22,09032
9,33,194,6,3.09,09033
9,34,308,13,4.22,09034
9,35,304,5,1.64,09035
9,36,169,3,1.78,09036
9,37,272,50,18.38,09037
9,38,319,6,1.88,09038
9,39,303,3,0.99,09039
9,40,333,9,2.7,09040
9,41,376,7,1.86,09041
9,42,256,9,3.52,09042
9,43,230,9,3.91,09043
9,44,257,6,2.33,09044
9,45,322,7,2.17,09045
9,46,285,7,2.46,09046
9,47,199,5,2.51,09047
9,48,313,13,4.15,09048
9,49,132,2,1.52,09049
9,50,124,2,1.61,09050
9,51,223,4,1.79,09051
9,52,301,4,1.33,09052
9,53,236,8,3.39,09053
9,54,254,8,3.15,09054
9,55,168,6,3.57,09055
9,56,170,1,0.59,09056
9,57,181,28,15.47,09057
9,58,222,3,1.35,09058
10,1,186,9,4.84,10001
10,2,205,38,18.54,10002
10,3,290,72,24.83,10003
10,4,202,15,7.43,10004
10,5,236,37,15.68,10005
10,6,236,6,2.54,10006
10,7,60,5,8.33,10007
10,8,254,55,21.65,10008
10,9,269,76,28.25,10009
10,10,260,66,25.38,10010
10,11,271,57,21.03,10011
10,12,213,48,22.54,10012
10,13,209,42,20.1,10013
10,14,279,73,26.16,10014
10,15,119,27,22.69,10015
10,16,261,67,25.67,10016
10,17,246,49,19.92,10017
10,18,164,14,8.54,10018
10,19,285,73,25.61,10019
10,20,211,39,18.48,10020
10,21,217,64,29.49,10021
10,22,86,16,18.6,10022
10,23,196,21,10.71,10023
10,24,237,77,32.49,10024
10,25,274,28,10.22,10025
10,26,196,36,18.37,10026
10,27,307,56,18.24,10027
10,28,260,12,4.62,10028
10,29,222,4,1.8,10029
10,30,282,31,10.99,10030
10,31,262,36,13.74,10031
10,32,258,56,21.71,10032
10,33,223,39,17.49,10033
10,34,217,26,11.98,10034
10,35,215,30,13.95,10035
10,36,266,15,5.64,10036
10,37,186,6,3.23,10037
10,38,277,63,22.74,10038
10,39,227,38,16.74,10039
10,40,220,14,6.36,10040
10,41,306,76,24.84,10041
10,42,265,69,26.04,10042
10,43,99,5,5.05,10043
10,44,210,30,14.29,10044
10,45,164,29,17.68,10045
10,46,221,27,12.22,10046
10,47,211,35,16.59,10047
10,48,189,10,5.29,10048
10,49,168,7,4.17,10049
11,1,289,40,13.84,11001
11,2,243,40,16.46,11002
11,3,222,36,16.22,11003
11,4,332,35,10.54,11004
11,5,181,20,11.05,11005
11,6,386,50,12.95,11006
11,7,285,39,13.68,11007
11,8,274,37,13.5,11008
11,9,266,21,7.89,11009
11,10,158,19,12.03,11010
11,11,316,48,15.19,11011
11,12,318,35,11.01,11012
11,13,298,38,12.75,11013
11,14,231,30,12.99,11014
11,15,229,30,13.1,11015
11,16,281,34,12.1,11016
11,17,353,56,15.86,11017
11,18,195,32,16.41,11018
11,19,238,32,13.45,11019
11,20,221,12,5.43,11020
11,21,360,41,11.39,11021
11,22,241,19,7.88,11022
11,23,233,27,11.59,11023
11,24,407,46,11.3,11024
11,25,196,27,13.78,11025
11,26,387,49,12.66,11026
11,27,281,46,16.37,11027
11,28,219,21,9.59,11028
11,29,341,36,10.56,11029
11,30,271,44,16.24,11030
11,31,237,24,10.13,11031
11,32,228,26,11.4,11032
11,33,202,17,8.42,11033
11,34,144,8,5.56,11034
11,35,345,30,8.7,11035
11,36,83,9,10.84,11036
11,37,265,27,10.19,11037
11,38,386,48,12.44,11038
11,39,386,31,8.03,11039
11,40,165,14,8.48,11040
11,41,164,17,10.37,11041
11,42,230,17,7.39,11042
11,43,371,54,14.56,11043
11,44,266,46,17.29,11044
11,45,176,31,17.61,11045
11,46,175,9,5.14,11046
11,47,254,34,13.39,11047
11,48,149,21,14.09,11048
11,49,234,27,11.54,11049
11,50,199,21,10.55,11050
12,1,91,10,10.99,12001
12,2,151,22,14.57,12002
12,3,142,16,11.27,12003
12,4,130,15,11.54,12004
12,5,175,37,21.14,12005
12,6,106,11,10.38,12006
12,7,62,9,14.52,12007
12,8,284,53,18.66,12008
12,9,110,15,13.64,12009
12,10,86,18,20.93,12010
12,11,131,20,15.27,12011
12,12,106,18,16.98,12012
12,13,129,26,20.16,12013
12,14,112,13,11.61,12014
12,15,141,11,7.8,12015
12,16,150,28,18.67,12016
12,17,108,17,15.74,12017
12,18,149,14,9.4,12018
12,19,142,33,23.24,12019
12,20,173,30,17.34,12020
12,21,189,31,16.4,12021
12,22,111,15,13.51,12022
12,23,109,22,20.18,12023
12,24,208,34,16.35,12024
12,25,145,21,14.48,12025
12,26,151,28,18.54,12026
12,27,94,27,28.72,12027
12,28,168,27,16.07,12028
12,29,172,30,17.44,12029
13,1,313,65,20.77,13001
13,2,256,46,17.97,13002
13,3,316,64,20.25,13003
13,4,451,93,20.62,13004
13,5,258,41,15.89,13005
13,6,275,56,20.36,13006
13,7,308,45,14.61,13007
13,8,344,64,18.6,13008
13,9,304,48,15.79,13009
13,10,286,65,22.73,13010
13,11,271,25,9.23,13011
13,12,317,55,17.35,13012
13,13,355,40,11.27,13013
13,14,260,48,18.46,13014
13,15,316,49,15.51,13015
13,16,245,40,16.33,13016
13,17,324,55,16.98,13017
13,18,273,30,10.99,13018
13,19,244,33,13.52,13019
13,20,277,39,14.08,13020
13,21,208,35,16.83,13021
13,22,324,41,12.65,13022
13,23,239,26,10.88,13023
13,24,331,48,14.5,13024
13,25,256,44,17.19,13025
13,26,211,29,13.74,13026
13,27,354,57,16.1,13027
13,28,235,33,14.04,13028
13,29,303,63,20.79,13029
13,30,271,46,16.97,13030
13,31,288,35,12.15,13031
13,32,284,38,13.38,13032
13,33,282,36,12.77,13033
13,34,287,46,16.03,13034
13,35,340,54,15.88,13035
13,36,192,31,16.15,13036
13,37,230,33,14.35,13037
13,38,327,55,16.82,13038
13,39,294,50,17.01,13039
13,40,267,30,11.24,13040
13,41,236,38,16.1,13041
13,42,361,60,16.62,13042
13,43,248,20,8.06,13043
13,44,364,17,4.67,13044
13,45,418,69,16.51,13045
13,46,281,36,12.81,13046
13,47,319,48,15.05,13047
13,48,285,40,14.04,13048
13,49,353,56,15.86,13049
13,50,362,35,9.67,13050
13,51,257,34,13.23,13051
13,52,367,63,17.17,13052
13,53,370,59,15.95,13053
13,54,294,35,11.9,13054
14,1,171,27,15.79,14001
14,2,187,37,19.79,14002
14,3,263,27,10.27,14003
14,4,184,27,14.67,14004
14,5,263,25,9.51,14005
14,6,172,37,21.51,14006
14,7,212,34,16.04,14007
14,8,125,23,18.4,14008
14,9,228,18,7.89,14009
14,10,197,35,17.77,14010
14,11,185,18,9.73,14011
14,12,161,15,9.32,14012
14,13,252,46,18.25,14013
14,14,155,16,10.32,14014
14,15,259,19,7.34,14015
14,16,238,40,16.81,14016
14,17,272,30,11.03,14017
14,18,191,24,12.57,14018
14,19,287,28,9.76,14019
14,20,190,29,15.26,14020
14,21,224,24,10.71,14021
14,22,216,27,12.5,14022
14,23,163,20,12.27,14023
14,24,139,14,10.07,14024
14,25,233,40,17.17,14025
14,26,151,10,6.62,14026
14,27,147,30,20.41,14027
14,28,231,26,11.26,14028
14,29,236,25,10.59,14029
14,30,184,27,14.67,14030
14,31,213,20,9.39,14031
14,32,169,23,13.61,14032
14,33,163,16,9.82,14033
14,34,170,13,7.65,14034
14,35,110,31,28.18,14035
14,36,254,39,15.35,14036
14,37,197,20,10.15,14037
15,1,131,17,12.98,15001
15,2,189,3,1.59,15002
15,3,216,10,4.63,15003
15,4,202,5,2.48,15004
15,5,203,8,3.94,15005
15,6,192,25,13.02,15006
15,7,177,5,2.82,15007
15,8,264,8,3.03,15008
15,9,218,11,5.05,15009
15,10,181,42,23.2,15010
15,11,200,9,4.5,15011
15,12,129,5,3.88,15012
15,13,138,7,5.07,15013
15,14,228,37,16.23,15014
15,15,263,15,5.7,15015
15,16,163,33,20.25,15016
15,17,219,2,0.91,15017
15,18,165,8,4.85,15018
15,19,195,3,1.54,15019
15,20,179,6,3.35,15020
15,21,207,3,1.45,15021
15,22,217,3,1.38,15022
15,23,178,4,2.25,15023
15,24,188,6,3.19,15024
15,25,213,21,9.86,15025
15,26,170,7,4.12,15026
15,27,146,5,3.42,15027
15,28,246,35,14.23,15028
15,29,103,4,3.88,15029
15,30,231,10,4.33,15030
15,31,165,8,4.85,15031
15,32,231,11,4.76,15032
15,33,168,3,1.79,15033
15,34,154,8,5.19,15034
15,35,203,3,1.48,15035
15,36,164,5,3.05,15036
15,37,182,1,0.55,15037
15,38,163,8,4.91,15038
15,39,218,7,3.21,15039
15,40,190,4,2.11,15040
15,41,274,22,8.03,15041
15,42,135,1,0.74,15042
15,43,192,6,3.13,15043
15,44,192,17,8.85,15044
15,45,85,5,5.88,15045
15,46,190,1,0.53,15046
15,47,224,2,0.89,15047
15,48,156,6,3.85,15048
15,49,151,10,6.62,15049
15,50,187,4,2.14,15050
15,51,149,3,2.01,15051
15,52,121,3,2.48,15052
16,1,121,8,6.61,16001
16,2,156,4,2.56,16002
16,3,225,3,1.33,16003
16,4,170,9,5.29,16004
16,5,224,9,4.02,16005
16,6,84,4,4.76,16006
16,7,190,6,3.16,16007
16,8,168,4,2.38,16008
16,9,271,9,3.32,16009
16,10,151,3,1.99,16010
16,11,249,12,4.82,16011
16,12,151,4,2.65,16012
16,13,161,23,14.29,16013
16,14,218,6,2.75,16014
16,15,237,6,2.53,16015
16,16,191,2,1.05,16016
16,17,282,50,17.73,16017
16,18,185,5,2.7,16018
16,19,146,4,2.74,16019
16,20,210,3,1.43,16020
16,21,195,31,15.9,16021
16,22,155,1,0.65,16022
16,23,193,20,10.36,16023
16,24,122,4,3.28,16024
16,25,160,3,1.88,16025
16,26,215,4,1.86,16026
16,27,224,9,4.02,16027
16,28,260,3,1.15,16028
16,29,107,5,4.67,16029
16,30,150,3,2.0,16030
16,31,240,7,2.92,16031
16,32,166,25,15.06,16032
16,33,195,1,0.51,16033
16,34,171,5,2.92,16034
16,35,178,28,15.73,16035
16,36,209,5,2.39,16036
16,37,174,3,1.72,16037
16,38,189,9,4.76,16038
16,39,104,20,19.23,16039
16,40,246,7,2.85,16040
16,41,91,4,4.4,16041
16,42,128,15,11.72,16042
16,43,230,8,3.48,16043
16,44,201,12,5.97,16044
16,45,128,3,2.34,16045
16,46,82,1,1.22,16046
16,47,81,1,1.23,16047
17,1,165,3,1.82,17001
17,2,228,11,4.82,17002
17,3,204,7,3.43,17003
17,4,347,8,2.31,17004
17,5,241,6,2.49,17005
17,6,174,5,2.87,17006
17,7,277,6,2.17,17007
17,8,153,1,0.65,17008
17,9,173,1,0.58,17009
17,10,280,5,1.79,17010
17,11,263,4,1.52,17011
17,12,272,8,2.94,17012
17,13,173,8,4.62,17013
17,14,235,7,2.98,17014
17,15,206,5,2.43,17015
17,16,228,5,2.19,17016
17,17,188,1,0.53,17017
17,18,243,6,2.47,17018
17,19,107,2,1.87,17019
17,20,219,6,2.74,17020
17,21,331,5,1.51,17021
17,22,262,6,2.29,17022
17,23,172,2,1.16,17023
17,24,253,10,3.95,17024
17,25,156,0,0.0,17025
17,26,295,10,3.39,17026
17,27,288,5,1.74,17027
17,28,228,8,3.51,17028
17,29,287,6,2.09,17029
17,30,294,11,3.74,17030
17,31,257,4,1.56,17031
17,32,275,7,2.55,17032
17,33,195,3,1.54,17033
17,34,214,5,2.34,17034
17,35,154,5,3.25,17035
17,36,147,1,0.68,17036
17,37,219,2,0.91,17037
17,38,229,3,1.31,17038
17,39,163,6,3.68,17039
17,40,181,6,3.31,17040
17,41,208,4,1.92,17041
17,42,206,4,1.94,17042
17,43,217,4,1.84,17043
17,44,219,3,1.37,17044
17,45,160,6,3.75,17045
17,46,236,6,2.54,17046
17,47,131,1,0.76,17047
17,48,234,4,1.71,17048
17,49,195,3,1.54,17049
17,50,198,6,3.03,17050
17,51,269,8,2.97,17051
17,52,333,10,3.0,17052
17,53,227,6,2.64,17053
17,54,275,6,2.18,17054
17,55,212,7,3.3,17055
17,56,239,5,2.09,17056
17,57,269,6,2.23,17057
17,58,222,1,0.45,17058
17,59,152,5,3.29,17059
17,60,317,6,1.89,17060
17,61,222,3,1.35,17061
17,62,200,5,2.5,17062
17,63,201,7,3.48,17063
17,64,169,3,1.78,17064
18,1,177,10,5.65,18001
18,2,295,31,10.51,18002
18,3,279,89,31.9,18003
18,4,310,6,1.94,18004
18,5,286,9,3.15,18005
18,6,287,88,30.66,18006
18,7,253,26,10.28,18007
18,8,120,8,6.67,18008
18,9,311,28,9.0,18009
18,10,407,29,7.13,18010
18,11,294,47,15.99,18011
18,12,370,30,8.11,18012
