ward,precinct,total,ANTHONY J. LOPEZ-CISNEROS,ANTHONY J. LOPEZ-CISNEROS Percent,LUIS V. GUTIERREZ,LUIS V. GUTIERREZ Percent,MAGGIE KOHLS,MAGGIE KOHLS Percent,precinct_id
12,18,96,4,4.17,91,94.79,1,1.04,12018
12,19,161,24,14.91,129,80.12,8,4.97,12019
12,20,181,22,12.15,148,81.77,11,6.08,12020
12,21,202,29,14.36,164,81.19,9,4.46,12021
12,22,124,12,9.68,106,85.48,6,4.84,12022
12,23,122,20,16.39,98,80.33,4,3.28,12023
12,24,219,29,13.24,167,76.26,23,10.5,12024
12,25,143,27,18.88,107,74.83,9,6.29,12025
12,26,161,17,10.56,135,83.85,9,5.59,12026
12,27,100,24,24.0,70,70.0,6,6.0,12027
12,28,182,28,15.38,143,78.57,11,6.04,12028
12,29,183,24,13.11,144,78.69,15,8.2,12029
13,3,332,58,17.47,239,71.99,35,10.54,13003
14,1,160,31,19.38,120,75.0,9,5.63,14001
14,3,254,40,15.75,198,77.95,16,6.3,14003
14,4,164,29,17.68,123,75.0,12,7.32,14004
14,5,266,16,6.02,239,89.85,11,4.14,14005
14,6,166,29,17.47,132,79.52,5,3.01,14006
14,7,212,33,15.57,160,75.47,19,8.96,14007
14,8,127,22,17.32,95,74.8,10,7.87,14008
14,9,202,17,8.42,171,84.65,14,6.93,14009
14,10,203,30,14.78,162,79.8,11,5.42,14010
14,11,186,14,7.53,166,89.25,6,3.23,14011
14,12,163,14,8.59,142,87.12,7,4.29,14012
14,13,243,57,23.46,166,68.31,20,8.23,14013
14,14,161,16,9.94,141,87.58,4,2.48,14014
14,15,261,25,9.58,229,87.74,7,2.68,14015
14,16,242,48,19.83,177,73.14,17,7.02,14016
14,17,276,24,8.7,243,88.04,9,3.26,14017
14,18,207,27,13.04,168,81.16,12,5.8,14018
14,19,280,23,8.21,236,84.29,21,7.5,14019
14,20,195,27,13.85,155,79.49,13,6.67,14020
14,21,222,29,13.06,184,82.88,9,4.05,14021
14,22,222,30,13.51,179,80.63,13,5.86,14022
14,23,165,18,10.91,136,82.42,11,6.67,14023
14,24,144,12,8.33,131,90.97,1,0.69,14024
14,26,154,15,9.74,126,81.82,13,8.44,14026
14,27,136,25,18.38,101,74.26,10,7.35,14027
14,29,250,25,10.0,215,86.0,10,4.0,14029
14,30,186,34,18.28,142,76.34,10,5.38,14030
14,31,211,17,8.06,189,89.57,5,2.37,14031
14,32,177,18,10.17,153,86.44,6,3.39,14032
14,33,167,18,10.78,139,83.23,10,5.99,14033
14,34,182,10,5.49,165,90.66,7,3.85,14034
14,35,102,26,25.49,68,66.67,8,7.84,14035
14,36,260,47,18.08,201,77.31,12,4.62,14036
14,37,203,15,7.39,179,88.18,9,4.43,14037
16,21,203,23,11.33,177,87.19,3,1.48,16021
16,32,39,8,20.51,29,74.36,2,5.13,16032
20,4,161,14,8.7,143,88.82,4,2.48,20004
20,8,83,6,7.23,76,91.57,1,1.2,20008
20,15,77,12,15.58,62,80.52,3,3.9,20015
20,21,95,8,8.42,84,88.42,3,3.16,20021
20,43,89,6,6.74,81,91.01,2,2.25,20043
22,1,158,7,4.43,150,94.94,1,0.63,22001
22,2,128,14,10.94,114,89.06,0,0.0,22002
22,3,142,8,5.63,134,94.37,0,0.0,22003
22,4,187,9,4.81,177,94.65,1,0.53,22004
22,5,209,13,6.22,194,92.82,2,0.96,22005
22,6,186,8,4.3,176,94.62,2,1.08,22006
22,8,154,14,9.09,138,89.61,2,1.3,22008
22,9,175,6,3.43,169,96.57,0,0.0,22009
22,10,170,7,4.12,162,95.29,1,0.59,22010
22,11,190,14,7.37,174,91.58,2,1.05,22011
22,12,130,12,9.23,116,89.23,2,1.54,22012
22,13,223,15,6.73,206,92.38,2,0.9,22013
22,14,136,7,5.15,126,92.65,3,2.21,22014
22,15,156,14,8.97,140,89.74,2,1.28,22015
22,16,227,12,5.29,206,90.75,9,3.96,22016
22,17,178,13,7.3,162,91.01,3,1.69,22017
22,18,182,14,7.69,162,89.01,6,3.3,22018
22,20,211,14,6.64,192,91.0,5,2.37,22020
22,22,150,10,6.67,139,92.67,1,0.67,22022
22,23,116,2,1.72,113,97.41,1,0.86,22023
22,24,149,4,2.68,145,97.32,0,0.0,22024
22,25,135,9,6.67,124,91.85,2,1.48,22025
22,26,146,9,6.16,129,88.36,8,5.48,22026
22,27,182,18,9.89,159,87.36,5,2.75,22027
22,28,145,6,4.14,139,95.86,0,0.0,22028
22,29,122,11,9.02,110,90.16,1,0.82,22029
22,30,195,12,6.15,177,90.77,6,3.08,22030
23,9,266,49,18.42,192,72.18,25,9.4,23009
23,24,225,48,21.33,163,72.44,14,6.22,23024
23,29,270,45,16.67,196,72.59,29,10.74,23029
24,53,74,6,8.11,66,89.19,2,2.7,24053
24,57,215,13,6.05,200,93.02,2,0.93,24057
25,1,228,30,13.16,187,82.02,11,4.82,25001
25,2,271,21,7.75,243,89.67,7,2.58,25002
25,5,288,64,22.22,208,72.22,16,5.56,25005
25,6,194,20,10.31,163,84.02,11,5.67,25006
25,7,221,29,13.12,186,84.16,6,2.71,25007
25,8,228,16,7.02,204,89.47,8,3.51,25008
25,9,318,33,10.38,277,87.11,8,2.52,25009
25,11,202,17,8.42,179,88.61,6,2.97,25011
25,12,221,26,11.76,180,81.45,15,6.79,25012
25,13,283,35,12.37,245,86.57,3,1.06,25013
25,15,247,30,12.15,208,84.21,9,3.64,25015
25,17,424,18,4.25,395,93.16,11,2.59,25017
25,19,274,16,5.84,252,91.97,6,2.19,25019
25,20,309,29,9.39,275,89.0,5,1.62,25020
25,22,144,16,11.11,122,84.72,6,4.17,25022
25,23,269,17,6.32,241,89.59,11,4.09,25023
25,24,238,26,10.92,208,87.39,4,1.68,25024
25,29,2,0,0.0,2,100.0,0,0.0,25029
25,30,249,21,8.43,220,88.35,8,3.21,25030
26,1,147,19,12.93,123,83.67,5,3.4,26001
26,2,158,5,3.16,150,94.94,3,1.9,26002
26,3,130,12,9.23,116,89.23,2,1.54,26003
26,4,139,21,15.11,113,81.29,5,3.6,26004
26,5,240,19,7.92,211,87.92,10,4.17,26005
26,6,141,7,4.96,128,90.78,6,4.26,26006
26,7,118,15,12.71,91,77.12,12,10.17,26007
26,8,127,17,13.39,99,77.95,11,8.66,26008
26,9,137,17,12.41,115,83.94,5,3.65,26009
26,10,124,5,4.03,114,91.94,5,4.03,26010
26,11,154,20,12.99,125,81.17,9,5.84,26011
26,12,125,15,12.0,106,84.8,4,3.2,26012
26,13,182,33,18.13,135,74.18,14,7.69,26013
26,14,158,13,8.23,142,89.87,3,1.9,26014
26,15,147,19,12.93,127,86.39,1,0.68,26015
26,16,138,6,4.35,129,93.48,3,2.17,26016
26,18,109,11,10.09,95,87.16,3,2.75,26018
26,19,235,34,14.47,186,79.15,15,6.38,26019
26,20,188,16,8.51,163,86.7,9,4.79,26020
26,21,185,14,7.57,168,90.81,3,1.62,26021
26,22,113,15,13.27,92,81.42,6,5.31,26022
26,23,151,14,9.27,132,87.42,5,3.31,26023
26,24,137,18,13.14,104,75.91,15,10.95,26024
26,25,83,4,4.82,75,90.36,4,4.82,26025
26,26,116,10,8.62,104,89.66,2,1.72,26026
26,27,147,14,9.52,127,86.39,6,4.08,26027
26,28,135,10,7.41,121,89.63,4,2.96,26028
26,29,147,10,6.8,134,91.16,3,2.04,26029
26,30,178,11,6.18,161,90.45,6,3.37,26030
26,31,187,19,10.16,161,86.1,7,3.74,26031
26,32,190,35,18.42,141,74.21,14,7.37,26032
26,34,165,14,8.48,148,89.7,3,1.82,26034
26,35,159,24,15.09,121,76.1,14,8.81,26035
26,36,154,13,8.44,138,89.61,3,1.95,26036
26,37,109,16,14.68,89,81.65,4,3.67,26037
26,38,125,11,8.8,112,89.6,2,1.6,26038
26,39,128,3,2.34,121,94.53,4,3.13,26039
26,40,68,6,8.82,57,83.82,5,7.35,26040
26,41,132,9,6.82,118,89.39,5,3.79,26041
26,42,134,8,5.97,118,88.06,8,5.97,26042
26,43,125,11,8.8,114,91.2,0,0.0,26043
26,44,128,9,7.03,110,85.94,9,7.03,26044
26,45,144,5,3.47,129,89.58,10,6.94,26045
26,46,48,12,25.0,34,70.83,2,4.17,26046
26,47,89,10,11.24,78,87.64,1,1.12,26047
26,48,197,17,8.63,173,87.82,7,3.55,26048
26,49,122,8,6.56,109,89.34,5,4.1,26049
26,50,92,5,5.43,85,92.39,2,2.17,26050
26,51,174,13,7.47,158,90.8,3,1.72,26051
26,52,93,3,3.23,86,92.47,4,4.3,26052
26,53,116,9,7.76,107,92.24,0,0.0,26053
26,54,129,8,6.2,119,92.25,2,1.55,26054
26,55,126,14,11.11,111,88.1,1,0.79,26055
26,56,147,17,11.56,121,82.31,9,6.12,26056
26,57,118,10,8.47,105,88.98,3,2.54,26057
26,58,132,11,8.33,117,88.64,4,3.03,26058
26,59,159,11,6.92,142,89.31,6,3.77,26059
26,60,117,12,10.26,98,83.76,7,5.98,26060
26,61,125,9,7.2,114,91.2,2,1.6,26061
26,62,184,25,13.59,146,79.35,13,7.07,26062
26,63,58,3,5.17,55,94.83,0,0.0,26063
27,32,172,18,10.47,142,82.56,12,6.98,27032
27,35,429,81,18.88,315,73.43,33,7.69,27035
27,38,223,42,18.83,162,72.65,19,8.52,27038
27,41,216,58,26.85,139,64.35,19,8.8,27041
27,55,69,15,21.74,49,71.01,5,7.25,27055
27,56,164,27,16.46,130,79.27,7,4.27,27056
27,59,275,24,8.73,245,89.09,6,2.18,27059
28,29,182,20,10.99,158,86.81,4,2.2,28029
28,34,21,2,9.52,19,90.48,0,0.0,28034
28,38,80,4,5.0,75,93.75,1,1.25,28038
29,6,124,16,12.9,98,79.03,10,8.06,29006
29,7,142,17,11.97,115,80.99,10,7.04,29007
29,30,50,2,4.0,48,96.0,0,0.0,29030
29,39,238,26,10.92,201,84.45,11,4.62,29039
29,52,224,22,9.82,193,86.16,9,4.02,29052
29,53,102,8,7.84,87,85.29,7,6.86,29053
30,4,179,27,15.08,143,79.89,9,5.03,30004
30,5,154,11,7.14,137,88.96,6,3.9,30005
30,6,141,14,9.93,118,83.69,9,6.38,30006
30,17,23,2,8.7,20,86.96,1,4.35,30017
30,18,49,2,4.08,46,93.88,1,2.04,30018
30,19,126,11,8.73,109,86.51,6,4.76,30019
30,20,197,10,5.08,184,93.4,3,1.52,30020
30,21,149,18,12.08,126,84.56,5,3.36,30021
30,22,229,20,8.73,204,89.08,5,2.18,30022
30,23,173,18,10.4,154,89.02,1,0.58,30023
30,24,169,19,11.24,149,88.17,1,0.59,30024
30,25,142,25,17.61,107,75.35,10,7.04,30025
30,26,136,8,5.88,125,91.91,3,2.21,30026
30,27,193,19,9.84,166,86.01,8,4.15,30027
30,29,105,6,5.71,98,93.33,1,0.95,30029
30,31,148,6,4.05,138,93.24,4,2.7,30031
30,32,105,12,11.43,89,84.76,4,3.81,30032
30,33,186,9,4.84,175,94.09,2,1.08,30033
30,35,187,18,9.63,162,86.63,7,3.74,30035
30,36,222,39,17.57,167,75.23,16,7.21,30036
30,41,193,15,7.77,172,89.12,6,3.11,30041
31,1,113,16,14.16,93,82.3,4,3.54,31001
31,2,165,22,13.33,137,83.03,6,3.64,31002
31,4,175,22,12.57,141,80.57,12,6.86,31004
31,5,209,52,24.88,151,72.25,6,2.87,31005
31,6,210,35,16.67,168,80.0,7,3.33,31006
31,7,178,15,8.43,154,86.52,9,5.06,31007
31,10,111,11,9.91,100,90.09,0,0.0,31010
31,11,119,22,18.49,88,73.95,9,7.56,31011
31,12,183,20,10.93,160,87.43,3,1.64,31012
31,13,217,32,14.75,176,81.11,9,4.15,31013
31,14,161,14,8.7,142,88.2,5,3.11,31014
31,16,41,7,17.07,30,73.17,4,9.76,31016
31,17,161,15,9.32,143,88.82,3,1.86,31017
31,18,192,31,16.15,157,81.77,4,2.08,31018
31,20,159,18,11.32,130,81.76,11,6.92,31020
31,21,191,12,6.28,171,89.53,8,4.19,31021
31,22,118,20,16.95,86,72.88,12,10.17,31022
31,23,116,18,15.52,96,82.76,2,1.72,31023
31,24,148,22,14.86,123,83.11,3,2.03,31024
31,25,164,15,9.15,146,89.02,3,1.83,31025
31,27,146,11,7.53,128,87.67,7,4.79,31027
31,30,181,23,12.71,149,82.32,9,4.97,31030
31,31,254,46,18.11,192,75.59,16,6.3,31031
31,34,144,6,4.17,132,91.67,6,4.17,31034
31,35,115,19,16.52,92,80.0,4,3.48,31035
31,36,212,18,8.49,190,89.62,4,1.89,31036
31,37,194,21,10.82,167,86.08,6,3.09,31037
31,39,148,8,5.41,136,91.89,4,2.7,31039
31,40,152,10,6.58,137,90.13,5,3.29,31040
31,42,182,22,12.09,152,83.52,8,4.4,31042
31,44,162,20,12.35,137,84.57,5,3.09,31044
31,49,90,16,17.78,67,74.44,7,7.78,31049
31,51,118,13,11.02,104,88.14,1,0.85,31051
32,1,50,7,14.0,41,82.0,2,4.0,32001
32,2,306,56,18.3,225,73.53,25,8.17,32002
32,3,218,39,17.89,163,74.77,16,7.34,32003
32,4,374,84,22.46,255,68.18,35,9.36,32004
32,5,221,53,23.98,152,68.78,16,7.24,32005
32,11,177,31,17.51,133,75.14,13,7.34,32011
32,12,101,15,14.85,79,78.22,7,6.93,32012
32,14,263,40,15.21,198,75.29,25,9.51,32014
32,16,315,60,19.05,235,74.6,20,6.35,32016
32,17,167,29,17.37,126,75.45,12,7.19,32017
32,28,243,51,20.99,175,72.02,17,7.0,32028
32,29,278,51,18.35,202,72.66,25,8.99,32029
32,31,399,90,22.56,284,71.18,25,6.27,32031
32,33,253,49,19.37,190,75.1,14,5.53,32033
32,34,331,79,23.87,226,68.28,26,7.85,32034
32,35,358,73,20.39,262,73.18,23,6.42,32035
32,36,368,90,24.46,256,69.57,22,5.98,32036
32,46,26,2,7.69,21,80.77,3,11.54,32046
32,52,205,38,18.54,157,76.59,10,4.88,32052
33,1,279,39,13.98,226,81.0,14,5.02,33001
33,2,403,72,17.87,304,75.43,27,6.7,33002
33,3,221,33,14.93,177,80.09,11,4.98,33003
33,4,288,43,14.93,225,78.13,20,6.94,33004
33,6,341,31,9.09,284,83.28,26,7.62,33006
33,8,343,56,16.33,266,77.55,21,6.12,33008
33,9,192,30,15.63,154,80.21,8,4.17,33009
33,11,334,46,13.77,264,79.04,24,7.19,33011
33,12,332,51,15.36,261,78.61,20,6.02,33012
33,13,381,47,12.34,313,82.15,21,5.51,33013
33,15,258,45,17.44,197,76.36,16,6.2,33015
33,17,340,45,13.24,270,79.41,25,7.35,33017
33,19,283,43,15.19,216,76.33,24,8.48,33019
33,20,247,38,15.38,198,80.16,11,4.45,33020
33,21,354,55,15.54,276,77.97,23,6.5,33021
33,22,121,20,16.53,94,77.69,7,5.79,33022
33,26,256,30,11.72,215,83.98,11,4.3,33026
33,27,229,44,19.21,174,75.98,11,4.8,33027
33,30,270,61,22.59,188,69.63,21,7.78,33030
33,31,318,62,19.5,244,76.73,12,3.77,33031
33,32,266,42,15.79,206,77.44,18,6.77,33032
33,33,257,38,14.79,200,77.82,19,7.39,33033
35,1,313,59,18.85,234,74.76,20,6.39,35001
35,2,269,30,11.15,226,84.01,13,4.83,35002
35,3,182,22,12.09,154,84.62,6,3.3,35003
35,4,361,58,16.07,271,75.07,32,8.86,35004
35,5,262,41,15.65,207,79.01,14,5.34,35005
35,6,266,52,19.55,201,75.56,13,4.89,35006
35,7,336,40,11.9,276,82.14,20,5.95,35007
35,8,272,44,16.18,212,77.94,16,5.88,35008
35,9,257,39,15.18,206,80.16,12,4.67,35009
35,10,244,40,16.39,190,77.87,14,5.74,35010
35,11,260,48,18.46,187,71.92,25,9.62,35011
35,12,327,70,21.41,238,72.78,19,5.81,35012
35,13,170,27,15.88,124,72.94,19,11.18,35013
35,14,316,29,9.18,272,86.08,15,4.75,35014
35,15,241,28,11.62,194,80.5,19,7.88,35015
35,16,250,35,14.0,201,80.4,14,5.6,35016
35,17,298,33,11.07,250,83.89,15,5.03,35017
35,18,301,42,13.95,241,80.07,18,5.98,35018
35,19,241,28,11.62,202,83.82,11,4.56,35019
35,20,273,36,13.19,224,82.05,13,4.76,35020
35,21,299,42,14.05,237,79.26,20,6.69,35021
35,23,206,21,10.19,176,85.44,9,4.37,35023
35,24,214,29,13.55,171,79.91,14,6.54,35024
35,25,290,50,17.24,219,75.52,21,7.24,35025
35,26,344,56,16.28,270,78.49,18,5.23,35026
35,27,317,56,17.67,242,76.34,19,5.99,35027
35,28,295,35,11.86,245,83.05,15,5.08,35028
35,29,335,61,18.21,251,74.93,23,6.87,35029
35,30,345,56,16.23,267,77.39,22,6.38,35030
35,31,360,59,16.39,287,79.72,14,3.89,35031
35,32,190,22,11.58,155,81.58,13,6.84,35032
35,34,255,42,16.47,195,76.47,18,7.06,35034
35,35,261,41,15.71,200,76.63,20,7.66,35035
36,4,182,25,13.74,149,81.87,8,4.4,36004
36,33,110,25,22.73,75,68.18,10,9.09,36033
36,44,66,10,15.15,53,80.3,3,4.55,36044
36,54,62,5,8.06,56,90.32,1,1.61,36054
36,55,43,5,11.63,36,83.72,2,4.65,36055
37,1,156,20,12.82,131,83.97,5,3.21,37001
37,11,165,16,9.7,143,86.67,6,3.64,37011
37,39,119,20,16.81,86,72.27,13,10.92,37039
37,47,46,3,6.52,39,84.78,4,8.7,37047
37,50,262,21,8.02,230,87.79,11,4.2,37050
37,52,140,17,12.14,112,80.0,11,7.86,37052
