ward,precinct,total,JERRY (ICEMAN) BUTLER,JERRY (ICEMAN) BUTLER Percent,precinct_id
20,34,274,274,100.0,20034
20,36,212,212,100.0,20036
20,37,149,149,100.0,20037
20,38,41,41,100.0,20038
20,47,126,126,100.0,20047
20,50,185,185,100.0,20050
21,29,139,139,100.0,21029
21,52,37,37,100.0,21052
21,74,104,104,100.0,21074
42,2,171,171,100.0,42002
42,5,185,185,100.0,42005
42,6,367,367,100.0,42006
42,11,223,223,100.0,42011
42,13,362,362,100.0,42013
42,25,197,197,100.0,42025
42,31,119,119,100.0,42031
42,35,157,157,100.0,42035
42,37,200,200,100.0,42037
42,38,222,222,100.0,42038
42,40,126,126,100.0,42040
42,41,210,210,100.0,42041
42,43,215,215,100.0,42043
42,44,173,173,100.0,42044
42,47,125,125,100.0,42047
42,50,136,136,100.0,42050
42,51,192,192,100.0,42051
42,52,136,136,100.0,42052
42,53,134,134,100.0,42053
42,54,167,167,100.0,42054
42,62,133,133,100.0,42062
42,63,189,189,100.0,42063
42,64,106,106,100.0,42064
42,65,202,202,100.0,42065
42,66,165,165,100.0,42066
