ward,precinct,total,NATHAN PEOPLES,NATHAN PEOPLES Percent,"JOHN H. STROGER, JR.","JOHN H. STROGER, JR. Percent",precinct_id
8,50,308,10,3.25,298,96.75,08050
8,51,378,14,3.7,364,96.3,08051
8,52,300,5,1.67,295,98.33,08052
8,53,350,5,1.43,345,98.57,08053
8,54,302,7,2.32,295,97.68,08054
8,55,301,6,1.99,295,98.01,08055
8,56,385,9,2.34,376,97.66,08056
8,58,318,8,2.52,310,97.48,08058
8,59,203,8,3.94,195,96.06,08059
8,60,237,7,2.95,230,97.05,08060
8,61,258,5,1.94,253,98.06,08061
8,62,269,8,2.97,261,97.03,08062
8,63,305,3,0.98,302,99.02,08063
8,64,276,3,1.09,273,98.91,08064
8,65,197,6,3.05,191,96.95,08065
8,66,411,14,3.41,397,96.59,08066
9,8,230,3,1.3,227,98.7,09008
9,20,338,6,1.78,332,98.22,09020
9,21,228,3,1.32,225,98.68,09021
9,27,182,3,1.65,179,98.35,09027
9,36,162,5,3.09,157,96.91,09036
9,37,260,74,28.46,186,71.54,09037
9,49,129,2,1.55,127,98.45,09049
9,51,224,3,1.34,221,98.66,09051
9,54,256,12,4.69,244,95.31,09054
9,55,169,5,2.96,164,97.04,09055
9,56,171,0,0.0,171,100.0,09056
9,57,143,31,21.68,112,78.32,09057
9,58,224,3,1.34,221,98.66,09058
10,1,186,6,3.23,180,96.77,10001
10,2,194,44,22.68,150,77.32,10002
10,3,272,93,34.19,179,65.81,10003
10,4,203,14,6.9,189,93.1,10004
10,5,212,54,25.47,158,74.53,10005
10,6,221,11,4.98,210,95.02,10006
10,7,58,6,10.34,52,89.66,10007
10,8,247,69,27.94,178,72.06,10008
10,9,254,82,32.28,172,67.72,10009
10,10,244,83,34.02,161,65.98,10010
10,11,249,70,28.11,179,71.89,10011
10,12,203,51,25.12,152,74.88,10012
10,13,196,47,23.98,149,76.02,10013
10,14,263,90,34.22,173,65.78,10014
10,15,115,42,36.52,73,63.48,10015
10,16,248,98,39.52,150,60.48,10016
10,17,227,74,32.6,153,67.4,10017
10,18,158,6,3.8,152,96.2,10018
10,19,280,79,28.21,201,71.79,10019
10,20,198,55,27.78,143,72.22,10020
10,21,203,67,33.0,136,67.0,10021
10,22,82,15,18.29,67,81.71,10022
10,23,182,28,15.38,154,84.62,10023
10,24,224,80,35.71,144,64.29,10024
10,25,281,19,6.76,262,93.24,10025
10,26,187,41,21.93,146,78.07,10026
10,27,291,79,27.15,212,72.85,10027
10,28,244,15,6.15,229,93.85,10028
10,29,214,4,1.87,210,98.13,10029
10,30,266,48,18.05,218,81.95,10030
10,31,250,55,22.0,195,78.0,10031
10,32,245,62,25.31,183,74.69,10032
10,33,215,39,18.14,176,81.86,10033
10,34,208,32,15.38,176,84.62,10034
10,35,200,29,14.5,171,85.5,10035
10,36,256,17,6.64,239,93.36,10036
10,37,187,4,2.14,183,97.86,10037
10,38,270,85,31.48,185,68.52,10038
10,39,215,43,20.0,172,80.0,10039
10,40,195,19,9.74,176,90.26,10040
10,41,286,95,33.22,191,66.78,10041
10,42,252,91,36.11,161,63.89,10042
10,43,97,6,6.19,91,93.81,10043
10,44,195,33,16.92,162,83.08,10044
10,45,160,40,25.0,120,75.0,10045
10,46,214,34,15.89,180,84.11,10046
10,47,198,46,23.23,152,76.77,10047
10,48,187,12,6.42,175,93.58,10048
10,49,158,8,5.06,150,94.94,10049
18,46,248,5,2.02,243,97.98,18046
18,53,241,3,1.24,238,98.76,18053
18,63,272,2,0.74,270,99.26,18063
19,43,41,1,2.44,40,97.56,19043
19,50,63,4,6.35,59,93.65,19050
21,1,408,11,2.7,397,97.3,21001
21,2,114,0,0.0,114,100.0,21002
21,3,443,13,2.93,430,97.07,21003
21,4,384,9,2.34,375,97.66,21004
21,5,303,3,0.99,300,99.01,21005
21,6,293,6,2.05,287,97.95,21006
21,7,319,9,2.82,310,97.18,21007
21,8,319,7,2.19,312,97.81,21008
21,9,290,7,2.41,283,97.59,21009
21,10,204,4,1.96,200,98.04,21010
21,11,313,7,2.24,306,97.76,21011
21,12,332,8,2.41,324,97.59,21012
21,13,154,3,1.95,151,98.05,21013
21,14,274,2,0.73,272,99.27,21014
21,15,260,4,1.54,256,98.46,21015
21,16,267,5,1.87,262,98.13,21016
21,17,135,2,1.48,133,98.52,21017
21,18,297,7,2.36,290,97.64,21018
21,19,254,4,1.57,250,98.43,21019
21,20,149,4,2.68,145,97.32,21020
21,21,317,7,2.21,310,97.79,21021
21,22,319,13,4.08,306,95.92,21022
21,23,232,6,2.59,226,97.41,21023
21,24,306,3,0.98,303,99.02,21024
21,25,242,1,0.41,241,99.59,21025
21,26,225,1,0.44,224,99.56,21026
21,27,322,9,2.8,313,97.2,21027
21,28,226,0,0.0,226,100.0,21028
21,30,217,5,2.3,212,97.7,21030
21,31,378,9,2.38,369,97.62,21031
21,32,187,4,2.14,183,97.86,21032
21,33,312,10,3.21,302,96.79,21033
21,34,342,4,1.17,338,98.83,21034
21,35,193,6,3.11,187,96.89,21035
21,36,267,8,3.0,259,97.0,21036
21,37,203,7,3.45,196,96.55,21037
21,38,284,8,2.82,276,97.18,21038
21,39,232,2,0.86,230,99.14,21039
21,40,286,3,1.05,283,98.95,21040
21,41,253,9,3.56,244,96.44,21041
21,42,279,4,1.43,275,98.57,21042
21,43,282,7,2.48,275,97.52,21043
21,44,286,7,2.45,279,97.55,21044
21,45,246,9,3.66,237,96.34,21045
21,46,230,2,0.87,228,99.13,21046
21,47,366,5,1.37,361,98.63,21047
21,48,371,7,1.89,364,98.11,21048
21,49,365,13,3.56,352,96.44,21049
21,50,294,9,3.06,285,96.94,21050
21,51,333,6,1.8,327,98.2,21051
21,52,269,24,8.92,245,91.08,21052
21,53,255,3,1.18,252,98.82,21053
21,54,266,6,2.26,260,97.74,21054
21,55,319,6,1.88,313,98.12,21055
21,56,212,4,1.89,208,98.11,21056
21,57,283,5,1.77,278,98.23,21057
21,58,221,4,1.81,217,98.19,21058
21,59,360,9,2.5,351,97.5,21059
21,60,280,9,3.21,271,96.79,21060
21,61,325,12,3.69,313,96.31,21061
21,62,285,10,3.51,275,96.49,21062
21,63,285,7,2.46,278,97.54,21063
21,64,156,5,3.21,151,96.79,21064
21,65,259,12,4.63,247,95.37,21065
21,66,237,1,0.42,236,99.58,21066
21,67,240,1,0.42,239,99.58,21067
21,68,309,8,2.59,301,97.41,21068
21,69,238,6,2.52,232,97.48,21069
21,70,202,4,1.98,198,98.02,21070
21,71,212,4,1.89,208,98.11,21071
21,72,242,6,2.48,236,97.52,21072
21,73,374,9,2.41,365,97.59,21073
21,75,217,2,0.92,215,99.08,21075
21,76,303,8,2.64,295,97.36,21076
34,13,270,7,2.59,263,97.41,34013
34,62,345,5,1.45,340,98.55,34062
34,64,68,0,0.0,68,100.0,34064
34,66,298,6,2.01,292,97.99,34066
34,67,235,5,2.13,230,97.87,34067
34,68,163,3,1.84,160,98.16,34068
34,69,207,3,1.45,204,98.55,34069
34,70,278,8,2.88,270,97.12,34070
34,71,256,6,2.34,250,97.66,34071
34,72,219,4,1.83,215,98.17,34072
34,73,208,7,3.37,201,96.63,34073
