ward,precinct,total,LAWRENCE O'GARA,LAWRENCE O'GARA Percent,precinct_id
15,13,99,99,100.0,15013
15,15,163,163,100.0,15015
15,22,134,134,100.0,15022
15,24,110,110,100.0,15024
15,25,143,143,100.0,15025
15,27,51,51,100.0,15027
15,29,69,69,100.0,15029
15,30,119,119,100.0,15030
15,32,150,150,100.0,15032
15,38,102,102,100.0,15038
15,44,142,142,100.0,15044
15,45,63,63,100.0,15045
15,48,100,100,100.0,15048
15,49,107,107,100.0,15049
15,50,116,116,100.0,15050
16,1,88,88,100.0,16001
16,2,83,83,100.0,16002
16,4,114,114,100.0,16004
16,7,124,124,100.0,16007
16,11,138,138,100.0,16011
16,13,114,114,100.0,16013
16,21,134,134,100.0,16021
16,23,133,133,100.0,16023
16,32,123,123,100.0,16032
16,35,115,115,100.0,16035
16,39,38,38,100.0,16039
16,42,82,82,100.0,16042
16,44,136,136,100.0,16044
16,47,1,1,100.0,16047
20,4,95,95,100.0,20004
20,8,60,60,100.0,20008
20,15,48,48,100.0,20015
20,21,61,61,100.0,20021
20,41,9,9,100.0,20041
20,43,55,55,100.0,20043
20,51,32,32,100.0,20051
22,1,87,87,100.0,22001
22,2,70,70,100.0,22002
22,3,93,93,100.0,22003
22,4,107,107,100.0,22004
22,5,123,123,100.0,22005
22,6,99,99,100.0,22006
22,8,99,99,100.0,22008
22,9,102,102,100.0,22009
22,10,90,90,100.0,22010
22,11,104,104,100.0,22011
22,12,74,74,100.0,22012
22,13,134,134,100.0,22013
22,14,88,88,100.0,22014
22,15,90,90,100.0,22015
22,16,132,132,100.0,22016
22,17,106,106,100.0,22017
22,18,105,105,100.0,22018
22,19,112,112,100.0,22019
22,20,125,125,100.0,22020
22,22,84,84,100.0,22022
22,23,74,74,100.0,22023
22,24,93,93,100.0,22024
22,25,89,89,100.0,22025
22,26,80,80,100.0,22026
22,27,105,105,100.0,22027
22,28,100,100,100.0,22028
22,29,67,67,100.0,22029
22,30,103,103,100.0,22030
23,31,204,204,100.0,23031
24,10,5,5,100.0,24010
24,14,0,0,0.0,24014
24,44,56,56,100.0,24044
24,53,111,111,100.0,24053
24,57,125,125,100.0,24057
25,1,139,139,100.0,25001
25,2,156,156,100.0,25002
25,3,11,11,100.0,25003
25,5,194,194,100.0,25005
25,6,127,127,100.0,25006
25,7,136,136,100.0,25007
25,8,155,155,100.0,25008
25,9,201,201,100.0,25009
25,11,120,120,100.0,25011
25,12,158,158,100.0,25012
25,13,165,165,100.0,25013
25,15,164,164,100.0,25015
25,17,207,207,100.0,25017
25,19,150,150,100.0,25019
25,20,203,203,100.0,25020
25,22,87,87,100.0,25022
25,23,177,177,100.0,25023
25,24,141,141,100.0,25024
25,25,157,157,100.0,25025
25,27,140,140,100.0,25027
25,29,51,51,100.0,25029
25,30,169,169,100.0,25030
28,29,119,119,100.0,28029
28,34,15,15,100.0,28034
28,38,50,50,100.0,28038
28,69,80,80,100.0,28069
