ward,precinct,total,NICHOLAS M. DURIC,NICHOLAS M. DURIC Percent,JANICE D SCHAKOWSKY,JANICE D SCHAKOWSKY Percent,"STEPHANIE """"VS. THE MACHINE"""" SAILOR","STEPHANIE """"VS. THE MACHINE"""" SAILOR Percent",precinct_id
41,55,318,132,41.51,177,55.66,9,2.83,41055
41,56,376,130,34.57,224,59.57,22,5.85,41056
41,58,253,99,39.13,143,56.52,11,4.35,41058
41,60,262,91,34.73,164,62.6,7,2.67,41060
41,61,396,128,32.32,254,64.14,14,3.54,41061
41,63,283,111,39.22,163,57.6,9,3.18,41063
41,64,327,127,38.84,188,57.49,12,3.67,41064
44,3,350,52,14.86,294,84.0,4,1.14,44003
44,4,362,56,15.47,299,82.6,7,1.93,44004
44,7,381,94,24.67,282,74.02,5,1.31,44007
44,18,17,7,41.18,10,58.82,0,0.0,44018
44,35,281,55,19.57,212,75.44,14,4.98,44035
44,48,268,56,20.9,203,75.75,9,3.36,44048
44,49,521,112,21.5,400,76.78,9,1.73,44049
46,1,522,86,16.48,427,81.8,9,1.72,46001
46,2,268,28,10.45,228,85.07,12,4.48,46002
46,4,259,35,13.51,213,82.24,11,4.25,46004
46,6,275,28,10.18,233,84.73,14,5.09,46006
46,7,419,65,15.51,334,79.71,20,4.77,46007
46,8,368,38,10.33,317,86.14,13,3.53,46008
46,9,371,67,18.06,282,76.01,22,5.93,46009
46,10,172,26,15.12,137,79.65,9,5.23,46010
46,11,334,41,12.28,283,84.73,10,2.99,46011
46,12,285,33,11.58,232,81.4,20,7.02,46012
46,14,266,20,7.52,237,89.1,9,3.38,46014
46,15,325,45,13.85,264,81.23,16,4.92,46015
46,16,317,39,12.3,264,83.28,14,4.42,46016
46,19,357,35,9.8,302,84.59,20,5.6,46019
46,20,294,26,8.84,245,83.33,23,7.82,46020
46,21,75,17,22.67,56,74.67,2,2.67,46021
46,22,253,52,20.55,184,72.73,17,6.72,46022
46,23,228,18,7.89,201,88.16,9,3.95,46023
46,25,230,38,16.52,180,78.26,12,5.22,46025
46,26,258,26,10.08,211,81.78,21,8.14,46026
46,27,326,66,20.25,240,73.62,20,6.13,46027
46,28,350,64,18.29,269,76.86,17,4.86,46028
46,30,352,67,19.03,275,78.13,10,2.84,46030
46,32,305,45,14.75,249,81.64,11,3.61,46032
46,33,331,61,18.43,258,77.95,12,3.63,46033
46,34,403,35,8.68,348,86.35,20,4.96,46034
46,35,214,43,20.09,156,72.9,15,7.01,46035
46,38,162,21,12.96,134,82.72,7,4.32,46038
46,39,339,67,19.76,263,77.58,9,2.65,46039
46,40,235,17,7.23,210,89.36,8,3.4,46040
46,41,248,30,12.1,212,85.48,6,2.42,46041
46,42,356,59,16.57,274,76.97,23,6.46,46042
48,1,336,33,9.82,296,88.1,7,2.08,48001
48,2,271,41,15.13,221,81.55,9,3.32,48002
48,3,385,52,13.51,313,81.3,20,5.19,48003
48,4,398,86,21.61,305,76.63,7,1.76,48004
48,5,273,56,20.51,209,76.56,8,2.93,48005
48,6,386,34,8.81,335,86.79,17,4.4,48006
48,7,283,23,8.13,251,88.69,9,3.18,48007
48,8,251,51,20.32,190,75.7,10,3.98,48008
48,9,299,49,16.39,241,80.6,9,3.01,48009
48,10,224,28,12.5,190,84.82,6,2.68,48010
48,11,410,42,10.24,351,85.61,17,4.15,48011
48,12,263,34,12.93,218,82.89,11,4.18,48012
48,13,262,41,15.65,216,82.44,5,1.91,48013
48,14,385,44,11.43,330,85.71,11,2.86,48014
48,15,252,10,3.97,235,93.25,7,2.78,48015
48,16,263,19,7.22,238,90.49,6,2.28,48016
48,17,214,21,9.81,184,85.98,9,4.21,48017
48,18,233,29,12.45,200,85.84,4,1.72,48018
48,19,264,34,12.88,223,84.47,7,2.65,48019
48,20,151,32,21.19,114,75.5,5,3.31,48020
48,21,142,11,7.75,123,86.62,8,5.63,48021
48,22,396,68,17.17,320,80.81,8,2.02,48022
48,23,297,61,20.54,229,77.1,7,2.36,48023
48,24,280,26,9.29,246,87.86,8,2.86,48024
48,25,305,29,9.51,269,88.2,7,2.3,48025
48,26,363,64,17.63,289,79.61,10,2.75,48026
48,27,198,36,18.18,157,79.29,5,2.53,48027
48,28,275,40,14.55,231,84.0,4,1.45,48028
48,29,256,27,10.55,225,87.89,4,1.56,48029
48,30,309,47,15.21,249,80.58,13,4.21,48030
48,31,232,17,7.33,208,89.66,7,3.02,48031
48,32,251,24,9.56,210,83.67,17,6.77,48032
48,33,247,48,19.43,197,79.76,2,0.81,48033
48,34,173,13,7.51,148,85.55,12,6.94,48034
48,35,219,38,17.35,178,81.28,3,1.37,48035
48,36,260,37,14.23,217,83.46,6,2.31,48036
48,37,267,40,14.98,221,82.77,6,2.25,48037
48,38,353,38,10.76,303,85.84,12,3.4,48038
48,39,231,48,20.78,177,76.62,6,2.6,48039
48,40,177,18,10.17,153,86.44,6,3.39,48040
48,41,182,19,10.44,157,86.26,6,3.3,48041
48,42,254,25,9.84,219,86.22,10,3.94,48042
48,43,370,36,9.73,321,86.76,13,3.51,48043
48,44,298,32,10.74,251,84.23,15,5.03,48044
48,45,268,20,7.46,240,89.55,8,2.99,48045
48,46,223,29,13.0,183,82.06,11,4.93,48046
48,47,207,18,8.7,177,85.51,12,5.8,48047
48,48,236,29,12.29,199,84.32,8,3.39,48048
48,49,116,13,11.21,101,87.07,2,1.72,48049
48,50,309,33,10.68,267,86.41,9,2.91,48050
48,51,371,45,12.13,308,83.02,18,4.85,48051
48,52,179,12,6.7,162,90.5,5,2.79,48052
48,53,238,34,14.29,198,83.19,6,2.52,48053
48,54,219,26,11.87,188,85.84,5,2.28,48054
48,55,82,16,19.51,59,71.95,7,8.54,48055
48,56,179,11,6.15,156,87.15,12,6.7,48056
49,1,244,6,2.46,233,95.49,5,2.05,49001
49,2,298,39,13.09,246,82.55,13,4.36,49002
49,3,198,14,7.07,178,89.9,6,3.03,49003
49,4,131,10,7.63,117,89.31,4,3.05,49004
49,5,192,13,6.77,168,87.5,11,5.73,49005
49,6,269,30,11.15,229,85.13,10,3.72,49006
49,7,224,24,10.71,189,84.38,11,4.91,49007
49,8,252,25,9.92,217,86.11,10,3.97,49008
49,9,220,19,8.64,192,87.27,9,4.09,49009
49,10,241,26,10.79,206,85.48,9,3.73,49010
49,11,163,18,11.04,137,84.05,8,4.91,49011
49,12,268,27,10.07,234,87.31,7,2.61,49012
49,13,283,36,12.72,237,83.75,10,3.53,49013
49,14,304,40,13.16,245,80.59,19,6.25,49014
49,15,229,26,11.35,194,84.72,9,3.93,49015
49,16,223,31,13.9,183,82.06,9,4.04,49016
49,17,37,6,16.22,31,83.78,0,0.0,49017
49,18,182,22,12.09,153,84.07,7,3.85,49018
49,19,185,13,7.03,169,91.35,3,1.62,49019
49,20,298,28,9.4,263,88.26,7,2.35,49020
49,21,221,41,18.55,160,72.4,20,9.05,49021
49,22,212,25,11.79,176,83.02,11,5.19,49022
49,23,186,17,9.14,160,86.02,9,4.84,49023
49,24,102,9,8.82,88,86.27,5,4.9,49024
49,25,294,13,4.42,269,91.5,12,4.08,49025
49,26,289,39,13.49,241,83.39,9,3.11,49026
49,27,331,22,6.65,298,90.03,11,3.32,49027
49,28,209,15,7.18,187,89.47,7,3.35,49028
49,29,284,28,9.86,241,84.86,15,5.28,49029
49,30,237,25,10.55,205,86.5,7,2.95,49030
49,31,91,8,8.79,77,84.62,6,6.59,49031
49,32,233,29,12.45,187,80.26,17,7.3,49032
49,33,210,30,14.29,174,82.86,6,2.86,49033
49,34,229,24,10.48,198,86.46,7,3.06,49034
49,35,357,39,10.92,302,84.59,16,4.48,49035
49,36,330,34,10.3,283,85.76,13,3.94,49036
49,37,129,18,13.95,109,84.5,2,1.55,49037
49,38,205,14,6.83,187,91.22,4,1.95,49038
49,39,232,17,7.33,208,89.66,7,3.02,49039
49,40,234,24,10.26,204,87.18,6,2.56,49040
49,41,253,39,15.42,211,83.4,3,1.19,49041
49,42,261,20,7.66,236,90.42,5,1.92,49042
49,43,255,16,6.27,233,91.37,6,2.35,49043
49,44,299,34,11.37,255,85.28,10,3.34,49044
50,1,354,51,14.41,294,83.05,9,2.54,50001
50,2,331,59,17.82,266,80.36,6,1.81,50002
50,3,289,36,12.46,246,85.12,7,2.42,50003
50,4,295,34,11.53,257,87.12,4,1.36,50004
50,5,332,38,11.45,287,86.45,7,2.11,50005
50,6,249,33,13.25,210,84.34,6,2.41,50006
50,7,328,62,18.9,254,77.44,12,3.66,50007
50,8,246,52,21.14,182,73.98,12,4.88,50008
50,9,245,45,18.37,195,79.59,5,2.04,50009
50,10,230,36,15.65,183,79.57,11,4.78,50010
50,11,261,27,10.34,233,89.27,1,0.38,50011
50,12,232,24,10.34,207,89.22,1,0.43,50012
50,13,326,53,16.26,268,82.21,5,1.53,50013
50,14,179,19,10.61,156,87.15,4,2.23,50014
50,15,333,55,16.52,267,80.18,11,3.3,50015
50,16,192,14,7.29,177,92.19,1,0.52,50016
50,17,232,52,22.41,175,75.43,5,2.16,50017
50,18,220,32,14.55,186,84.55,2,0.91,50018
50,19,225,36,16.0,177,78.67,12,5.33,50019
50,20,272,63,23.16,206,75.74,3,1.1,50020
50,21,329,47,14.29,271,82.37,11,3.34,50021
50,22,282,42,14.89,228,80.85,12,4.26,50022
50,23,190,50,26.32,135,71.05,5,2.63,50023
50,24,243,36,14.81,192,79.01,15,6.17,50024
50,25,319,72,22.57,231,72.41,16,5.02,50025
50,26,194,31,15.98,159,81.96,4,2.06,50026
50,27,133,14,10.53,119,89.47,0,0.0,50027
50,28,305,37,12.13,258,84.59,10,3.28,50028
50,29,274,44,16.06,217,79.2,13,4.74,50029
50,30,265,42,15.85,220,83.02,3,1.13,50030
50,31,131,5,3.82,125,95.42,1,0.76,50031
50,32,214,32,14.95,172,80.37,10,4.67,50032
50,33,166,31,18.67,130,78.31,5,3.01,50033
50,34,142,15,10.56,122,85.92,5,3.52,50034
50,35,333,48,14.41,275,82.58,10,3.0,50035
50,36,281,57,20.28,217,77.22,7,2.49,50036
50,37,330,44,13.33,276,83.64,10,3.03,50037
50,38,196,12,6.12,182,92.86,2,1.02,50038
50,39,259,29,11.2,225,86.87,5,1.93,50039
50,40,291,43,14.78,237,81.44,11,3.78,50040
50,41,353,58,16.43,285,80.74,10,2.83,50041
50,42,328,57,17.38,268,81.71,3,0.91,50042
50,43,235,33,14.04,195,82.98,7,2.98,50043
