ward,precinct,total,WILLIAM O. LIPINSKI,WILLIAM O. LIPINSKI Percent,precinct_id
15,32,211,211,100.0,15032
15,44,174,174,100.0,15044
15,49,80,80,100.0,15049
16,1,110,110,100.0,16001
16,4,152,152,100.0,16004
16,6,80,80,100.0,16006
16,7,174,174,100.0,16007
16,11,241,241,100.0,16011
16,13,150,150,100.0,16013
16,17,258,258,100.0,16017
16,23,157,157,100.0,16023
16,32,38,38,100.0,16032
16,35,165,165,100.0,16035
16,39,91,91,100.0,16039
16,42,112,112,100.0,16042
16,47,1,1,100.0,16047
18,3,258,258,100.0,18003
18,6,249,249,100.0,18006
18,15,168,168,100.0,18015
18,28,330,330,100.0,18028
18,41,300,300,100.0,18041
18,43,237,237,100.0,18043
18,48,200,200,100.0,18048
18,55,326,326,100.0,18055
18,56,258,258,100.0,18056
18,57,216,216,100.0,18057
18,64,227,227,100.0,18064
19,1,370,370,100.0,19001
19,2,305,305,100.0,19002
19,3,326,326,100.0,19003
19,4,327,327,100.0,19004
19,5,316,316,100.0,19005
19,6,335,335,100.0,19006
19,7,332,332,100.0,19007
19,8,269,269,100.0,19008
19,9,266,266,100.0,19009
19,10,417,417,100.0,19010
19,11,351,351,100.0,19011
19,12,317,317,100.0,19012
19,13,270,270,100.0,19013
19,14,219,219,100.0,19014
19,15,191,191,100.0,19015
19,16,411,411,100.0,19016
19,17,349,349,100.0,19017
19,18,408,408,100.0,19018
19,19,337,337,100.0,19019
19,20,269,269,100.0,19020
19,21,282,282,100.0,19021
19,22,383,383,100.0,19022
19,23,395,395,100.0,19023
19,24,275,275,100.0,19024
19,25,367,367,100.0,19025
19,26,365,365,100.0,19026
19,27,208,208,100.0,19027
19,29,293,293,100.0,19029
19,30,327,327,100.0,19030
19,31,300,300,100.0,19031
19,32,400,400,100.0,19032
19,33,377,377,100.0,19033
19,34,352,352,100.0,19034
19,35,314,314,100.0,19035
19,36,360,360,100.0,19036
19,37,293,293,100.0,19037
19,38,402,402,100.0,19038
19,39,229,229,100.0,19039
19,40,309,309,100.0,19040
19,41,361,361,100.0,19041
19,42,266,266,100.0,19042
19,44,294,294,100.0,19044
19,45,397,397,100.0,19045
19,46,441,441,100.0,19046
19,47,238,238,100.0,19047
19,49,367,367,100.0,19049
19,51,327,327,100.0,19051
19,52,294,294,100.0,19052
19,53,343,343,100.0,19053
19,54,262,262,100.0,19054
19,55,307,307,100.0,19055
19,56,391,391,100.0,19056
19,57,351,351,100.0,19057
19,58,367,367,100.0,19058
19,59,373,373,100.0,19059
19,61,445,445,100.0,19061
19,62,338,338,100.0,19062
19,63,223,223,100.0,19063
19,64,387,387,100.0,19064
19,65,213,213,100.0,19065
19,67,75,75,100.0,19067
20,41,11,11,100.0,20041
20,51,45,45,100.0,20051
23,1,257,257,100.0,23001
23,2,365,365,100.0,23002
23,3,290,290,100.0,23003
23,4,285,285,100.0,23004
23,5,234,234,100.0,23005
23,6,337,337,100.0,23006
23,7,151,151,100.0,23007
23,8,356,356,100.0,23008
23,10,382,382,100.0,23010
23,11,347,347,100.0,23011
23,12,286,286,100.0,23012
23,13,376,376,100.0,23013
23,14,152,152,100.0,23014
23,15,303,303,100.0,23015
23,16,341,341,100.0,23016
23,17,359,359,100.0,23017
23,18,257,257,100.0,23018
23,19,294,294,100.0,23019
23,20,280,280,100.0,23020
23,21,239,239,100.0,23021
23,22,333,333,100.0,23022
23,23,309,309,100.0,23023
23,25,219,219,100.0,23025
23,26,302,302,100.0,23026
23,27,280,280,100.0,23027
23,28,317,317,100.0,23028
23,30,294,294,100.0,23030
23,31,276,276,100.0,23031
23,32,326,326,100.0,23032
23,33,326,326,100.0,23033
23,34,247,247,100.0,23034
23,35,176,176,100.0,23035
23,36,398,398,100.0,23036
23,37,210,210,100.0,23037
23,38,236,236,100.0,23038
23,39,290,290,100.0,23039
23,40,302,302,100.0,23040
23,41,315,315,100.0,23041
23,42,253,253,100.0,23042
23,43,338,338,100.0,23043
23,44,300,300,100.0,23044
23,45,327,327,100.0,23045
23,46,304,304,100.0,23046
23,47,343,343,100.0,23047
23,48,254,254,100.0,23048
23,49,400,400,100.0,23049
23,50,204,204,100.0,23050
23,51,267,267,100.0,23051
23,52,367,367,100.0,23052
23,53,222,222,100.0,23053
23,54,423,423,100.0,23054
23,55,327,327,100.0,23055
23,56,251,251,100.0,23056
