ward,precinct,total,JIM DURKIN,JIM DURKIN Percent,RICHARD J. DURBIN,RICHARD J. DURBIN Percent,STEVEN BURGAUER,STEVEN BURGAUER Percent,precinct_id
3,38,47,1,2.13,46,97.87,0,0.0,03038
3,39,257,20,7.78,235,91.44,2,0.78,03039
3,40,215,12,5.58,200,93.02,3,1.4,03040
3,41,224,13,5.8,211,94.2,0,0.0,03041
3,42,178,6,3.37,169,94.94,3,1.69,03042
3,43,86,7,8.14,79,91.86,0,0.0,03043
3,44,112,7,6.25,104,92.86,1,0.89,03044
3,45,138,5,3.62,130,94.2,3,2.17,03045
3,46,205,11,5.37,192,93.66,2,0.98,03046
3,47,138,12,8.7,125,90.58,1,0.72,03047
3,48,196,8,4.08,186,94.9,2,1.02,03048
3,49,64,3,4.69,59,92.19,2,3.13,03049
3,50,103,2,1.94,100,97.09,1,0.97,03050
3,51,67,12,17.91,54,80.6,1,1.49,03051
3,52,103,2,1.94,100,97.09,1,0.97,03052
3,53,201,27,13.43,173,86.07,1,0.5,03053
3,54,229,55,24.02,171,74.67,3,1.31,03054
3,55,171,5,2.92,163,95.32,3,1.75,03055
3,56,177,9,5.08,166,93.79,2,1.13,03056
3,57,250,4,1.6,242,96.8,4,1.6,03057
3,58,82,2,2.44,80,97.56,0,0.0,03058
3,59,131,12,9.16,115,87.79,4,3.05,03059
3,60,206,5,2.43,195,94.66,6,2.91,03060
3,61,191,18,9.42,167,87.43,6,3.14,03061
3,62,185,16,8.65,169,91.35,0,0.0,03062
3,63,169,35,20.71,131,77.51,3,1.78,03063
4,1,282,21,7.45,257,91.13,4,1.42,04001
4,2,311,17,5.47,292,93.89,2,0.64,04002
4,3,437,20,4.58,412,94.28,5,1.14,04003
4,4,375,12,3.2,358,95.47,5,1.33,04004
4,5,309,13,4.21,296,95.79,0,0.0,04005
4,6,123,0,0.0,120,97.56,3,2.44,04006
4,7,217,17,7.83,198,91.24,2,0.92,04007
4,8,277,12,4.33,259,93.5,6,2.17,04008
4,9,540,23,4.26,514,95.19,3,0.56,04009
4,10,372,12,3.23,356,95.7,4,1.08,04010
4,11,308,7,2.27,300,97.4,1,0.32,04011
4,12,157,2,1.27,153,97.45,2,1.27,04012
4,13,239,13,5.44,224,93.72,2,0.84,04013
4,14,189,4,2.12,185,97.88,0,0.0,04014
4,15,162,9,5.56,150,92.59,3,1.85,04015
4,16,333,20,6.01,309,92.79,4,1.2,04016
4,17,334,32,9.58,298,89.22,4,1.2,04017
4,18,273,8,2.93,261,95.6,4,1.47,04018
4,19,317,16,5.05,299,94.32,2,0.63,04019
4,20,127,7,5.51,119,93.7,1,0.79,04020
4,21,377,21,5.57,351,93.1,5,1.33,04021
4,22,387,15,3.88,370,95.61,2,0.52,04022
4,23,256,23,8.98,232,90.63,1,0.39,04023
4,24,356,19,5.34,335,94.1,2,0.56,04024
4,25,311,15,4.82,292,93.89,4,1.29,04025
4,26,305,13,4.26,287,94.1,5,1.64,04026
4,27,302,12,3.97,288,95.36,2,0.66,04027
4,28,255,32,12.55,220,86.27,3,1.18,04028
4,29,250,25,10.0,223,89.2,2,0.8,04029
4,30,165,5,3.03,157,95.15,3,1.82,04030
4,31,97,4,4.12,92,94.85,1,1.03,04031
4,32,387,32,8.27,352,90.96,3,0.78,04032
4,33,118,7,5.93,108,91.53,3,2.54,04033
4,34,237,27,11.39,208,87.76,2,0.84,04034
4,35,191,8,4.19,180,94.24,3,1.57,04035
4,36,125,11,8.8,112,89.6,2,1.6,04036
4,37,176,4,2.27,171,97.16,1,0.57,04037
4,38,423,28,6.62,394,93.14,1,0.24,04038
4,39,133,2,1.5,129,96.99,2,1.5,04039
4,40,279,21,7.53,255,91.4,3,1.08,04040
4,41,155,15,9.68,136,87.74,4,2.58,04041
4,42,338,21,6.21,314,92.9,3,0.89,04042
4,43,235,22,9.36,210,89.36,3,1.28,04043
4,44,222,18,8.11,201,90.54,3,1.35,04044
4,45,468,29,6.2,437,93.38,2,0.43,04045
4,46,265,14,5.28,250,94.34,1,0.38,04046
4,47,435,29,6.67,398,91.49,8,1.84,04047
4,48,457,41,8.97,413,90.37,3,0.66,04048
4,49,100,7,7.0,92,92.0,1,1.0,04049
4,50,231,18,7.79,211,91.34,2,0.87,04050
4,51,348,16,4.6,331,95.11,1,0.29,04051
4,52,85,4,4.71,78,91.76,3,3.53,04052
4,53,14,1,7.14,13,92.86,0,0.0,04053
4,54,174,13,7.47,158,90.8,3,1.72,04054
4,55,230,13,5.65,214,93.04,3,1.3,04055
4,56,337,14,4.15,322,95.55,1,0.3,04056
4,57,154,5,3.25,146,94.81,3,1.95,04057
4,58,312,19,6.09,289,92.63,4,1.28,04058
5,1,334,11,3.29,319,95.51,4,1.2,05001
5,2,237,10,4.22,224,94.51,3,1.27,05002
5,3,161,16,9.94,142,88.2,3,1.86,05003
5,4,216,9,4.17,207,95.83,0,0.0,05004
5,5,230,7,3.04,220,95.65,3,1.3,05005
5,6,352,16,4.55,334,94.89,2,0.57,05006
5,7,328,12,3.66,311,94.82,5,1.52,05007
5,8,428,44,10.28,378,88.32,6,1.4,05008
5,9,280,8,2.86,269,96.07,3,1.07,05009
5,10,293,13,4.44,280,95.56,0,0.0,05010
5,11,336,33,9.82,302,89.88,1,0.3,05011
5,12,207,9,4.35,194,93.72,4,1.93,05012
5,13,264,12,4.55,249,94.32,3,1.14,05013
5,14,404,29,7.18,372,92.08,3,0.74,05014
5,15,281,18,6.41,258,91.81,5,1.78,05015
5,16,236,10,4.24,224,94.92,2,0.85,05016
5,17,299,8,2.68,288,96.32,3,1.0,05017
5,18,294,12,4.08,279,94.9,3,1.02,05018
5,19,146,4,2.74,141,96.58,1,0.68,05019
5,20,159,3,1.89,155,97.48,1,0.63,05020
5,21,302,11,3.64,289,95.7,2,0.66,05021
5,22,291,9,3.09,281,96.56,1,0.34,05022
5,23,227,13,5.73,209,92.07,5,2.2,05023
5,24,251,14,5.58,235,93.63,2,0.8,05024
5,25,319,13,4.08,302,94.67,4,1.25,05025
5,26,306,20,6.54,281,91.83,5,1.63,05026
5,27,396,58,14.65,330,83.33,8,2.02,05027
5,28,261,13,4.98,244,93.49,4,1.53,05028
5,29,288,11,3.82,275,95.49,2,0.69,05029
5,30,326,41,12.58,282,86.5,3,0.92,05030
5,31,260,11,4.23,246,94.62,3,1.15,05031
5,32,394,14,3.55,374,94.92,6,1.52,05032
5,33,261,7,2.68,251,96.17,3,1.15,05033
5,34,280,6,2.14,269,96.07,5,1.79,05034
5,35,215,33,15.35,181,84.19,1,0.47,05035
5,36,168,6,3.57,161,95.83,1,0.6,05036
5,37,231,20,8.66,209,90.48,2,0.87,05037
5,38,353,33,9.35,317,89.8,3,0.85,05038
5,39,328,35,10.67,289,88.11,4,1.22,05039
5,40,372,10,2.69,360,96.77,2,0.54,05040
5,41,301,36,11.96,263,87.38,2,0.66,05041
5,42,312,11,3.53,299,95.83,2,0.64,05042
5,43,308,14,4.55,290,94.16,4,1.3,05043
5,44,296,17,5.74,276,93.24,3,1.01,05044
5,45,175,5,2.86,169,96.57,1,0.57,05045
5,46,323,29,8.98,290,89.78,4,1.24,05046
5,47,244,12,4.92,231,94.67,1,0.41,05047
5,48,227,17,7.49,207,91.19,3,1.32,05048
5,49,69,3,4.35,65,94.2,1,1.45,05049
5,50,237,5,2.11,229,96.62,3,1.27,05050
5,51,239,7,2.93,231,96.65,1,0.42,05051
5,52,100,10,10.0,87,87.0,3,3.0,05052
5,53,386,34,8.81,351,90.93,1,0.26,05053
5,54,392,18,4.59,372,94.9,2,0.51,05054
6,1,350,9,2.57,335,95.71,6,1.71,06001
6,2,338,12,3.55,323,95.56,3,0.89,06002
6,3,321,13,4.05,303,94.39,5,1.56,06003
6,4,246,24,9.76,216,87.8,6,2.44,06004
6,5,185,3,1.62,180,97.3,2,1.08,06005
6,6,255,11,4.31,242,94.9,2,0.78,06006
6,7,331,8,2.42,317,95.77,6,1.81,06007
6,8,291,13,4.47,278,95.53,0,0.0,06008
6,9,233,12,5.15,217,93.13,4,1.72,06009
6,10,379,18,4.75,357,94.2,4,1.06,06010
6,11,288,12,4.17,276,95.83,0,0.0,06011
6,12,276,10,3.62,264,95.65,2,0.72,06012
6,13,268,11,4.1,252,94.03,5,1.87,06013
6,14,312,19,6.09,291,93.27,2,0.64,06014
6,15,279,9,3.23,268,96.06,2,0.72,06015
6,16,318,14,4.4,297,93.4,7,2.2,06016
6,17,362,6,1.66,353,97.51,3,0.83,06017
6,18,83,3,3.61,79,95.18,1,1.2,06018
6,19,375,17,4.53,354,94.4,4,1.07,06019
6,20,297,15,5.05,281,94.61,1,0.34,06020
6,21,280,15,5.36,265,94.64,0,0.0,06021
6,22,292,15,5.14,273,93.49,4,1.37,06022
6,23,254,6,2.36,247,97.24,1,0.39,06023
6,24,285,10,3.51,273,95.79,2,0.7,06024
6,25,187,7,3.74,177,94.65,3,1.6,06025
6,26,312,10,3.21,300,96.15,2,0.64,06026
6,27,384,10,2.6,370,96.35,4,1.04,06027
6,28,463,17,3.67,442,95.46,4,0.86,06028
6,29,357,18,5.04,330,92.44,9,2.52,06029
6,30,279,11,3.94,266,95.34,2,0.72,06030
6,31,352,18,5.11,331,94.03,3,0.85,06031
6,32,351,20,5.7,328,93.45,3,0.85,06032
6,33,363,8,2.2,350,96.42,5,1.38,06033
6,34,279,7,2.51,270,96.77,2,0.72,06034
6,35,364,19,5.22,341,93.68,4,1.1,06035
6,36,170,12,7.06,156,91.76,2,1.18,06036
6,37,334,4,1.2,326,97.6,4,1.2,06037
6,38,314,8,2.55,305,97.13,1,0.32,06038
6,39,276,9,3.26,262,94.93,5,1.81,06039
6,40,183,8,4.37,172,93.99,3,1.64,06040
6,41,307,17,5.54,285,92.83,5,1.63,06041
6,42,184,9,4.89,175,95.11,0,0.0,06042
6,43,353,15,4.25,334,94.62,4,1.13,06043
6,44,309,11,3.56,295,95.47,3,0.97,06044
6,45,192,5,2.6,186,96.88,1,0.52,06045
6,46,275,8,2.91,263,95.64,4,1.45,06046
6,47,317,16,5.05,299,94.32,2,0.63,06047
6,48,341,10,2.93,325,95.31,6,1.76,06048
6,49,313,10,3.19,299,95.53,4,1.28,06049
6,50,284,12,4.23,270,95.07,2,0.7,06050
6,51,241,6,2.49,234,97.1,1,0.41,06051
6,52,242,9,3.72,229,94.63,4,1.65,06052
6,53,267,10,3.75,256,95.88,1,0.37,06053
6,54,274,6,2.19,266,97.08,2,0.73,06054
6,55,267,13,4.87,250,93.63,4,1.5,06055
6,56,234,6,2.56,227,97.01,1,0.43,06056
6,57,166,7,4.22,157,94.58,2,1.2,06057
6,58,320,5,1.56,310,96.88,5,1.56,06058
6,59,252,9,3.57,242,96.03,1,0.4,06059
6,60,206,11,5.34,194,94.17,1,0.49,06060
6,61,207,13,6.28,193,93.24,1,0.48,06061
6,62,112,4,3.57,106,94.64,2,1.79,06062
6,63,248,8,3.23,236,95.16,4,1.61,06063
6,64,346,15,4.34,328,94.8,3,0.87,06064
6,65,100,2,2.0,98,98.0,0,0.0,06065
6,66,304,15,4.93,286,94.08,3,0.99,06066
7,1,317,15,4.73,299,94.32,3,0.95,07001
7,2,340,21,6.18,317,93.24,2,0.59,07002
7,3,198,8,4.04,186,93.94,4,2.02,07003
7,4,248,17,6.85,225,90.73,6,2.42,07004
7,5,224,14,6.25,209,93.3,1,0.45,07005
7,6,222,15,6.76,201,90.54,6,2.7,07006
7,7,182,8,4.4,174,95.6,0,0.0,07007
7,8,101,7,6.93,92,91.09,2,1.98,07008
7,9,259,8,3.09,248,95.75,3,1.16,07009
7,10,206,11,5.34,190,92.23,5,2.43,07010
7,11,272,10,3.68,259,95.22,3,1.1,07011
7,12,224,14,6.25,209,93.3,1,0.45,07012
7,13,211,6,2.84,205,97.16,0,0.0,07013
7,14,318,20,6.29,296,93.08,2,0.63,07014
7,15,172,8,4.65,163,94.77,1,0.58,07015
7,16,206,6,2.91,198,96.12,2,0.97,07016
7,17,177,4,2.26,171,96.61,2,1.13,07017
7,18,184,9,4.89,173,94.02,2,1.09,07018
7,19,387,20,5.17,363,93.8,4,1.03,07019
7,20,129,3,2.33,124,96.12,2,1.55,07020
7,21,261,16,6.13,244,93.49,1,0.38,07021
7,22,200,11,5.5,188,94.0,1,0.5,07022
7,23,173,5,2.89,163,94.22,5,2.89,07023
7,24,202,6,2.97,194,96.04,2,0.99,07024
7,25,291,12,4.12,278,95.53,1,0.34,07025
7,26,327,11,3.36,316,96.64,0,0.0,07026
7,27,341,12,3.52,325,95.31,4,1.17,07027
7,28,280,12,4.29,262,93.57,6,2.14,07028
7,29,140,4,2.86,133,95.0,3,2.14,07029
7,30,281,13,4.63,262,93.24,6,2.14,07030
7,31,240,6,2.5,233,97.08,1,0.42,07031
7,32,218,14,6.42,200,91.74,4,1.83,07032
7,33,202,12,5.94,188,93.07,2,0.99,07033
7,34,238,10,4.2,225,94.54,3,1.26,07034
7,35,159,18,11.32,136,85.53,5,3.14,07035
7,36,294,16,5.44,273,92.86,5,1.7,07036
7,37,115,7,6.09,108,93.91,0,0.0,07037
7,38,194,8,4.12,184,94.85,2,1.03,07038
7,39,261,14,5.36,244,93.49,3,1.15,07039
7,40,236,13,5.51,215,91.1,8,3.39,07040
7,41,209,8,3.83,198,94.74,3,1.44,07041
7,42,389,11,2.83,370,95.12,8,2.06,07042
7,43,268,11,4.1,254,94.78,3,1.12,07043
7,44,396,24,6.06,364,91.92,8,2.02,07044
7,45,373,14,3.75,358,95.98,1,0.27,07045
7,46,105,5,4.76,100,95.24,0,0.0,07046
7,47,229,20,8.73,207,90.39,2,0.87,07047
7,48,120,5,4.17,113,94.17,2,1.67,07048
7,49,156,3,1.92,153,98.08,0,0.0,07049
7,50,165,8,4.85,151,91.52,6,3.64,07050
7,51,216,4,1.85,210,97.22,2,0.93,07051
7,52,218,13,5.96,204,93.58,1,0.46,07052
7,53,213,6,2.82,205,96.24,2,0.94,07053
7,54,130,8,6.15,121,93.08,1,0.77,07054
7,55,216,7,3.24,209,96.76,0,0.0,07055
7,56,224,3,1.34,216,96.43,5,2.23,07056
7,57,241,9,3.73,228,94.61,4,1.66,07057
7,58,306,21,6.86,283,92.48,2,0.65,07058
7,59,145,8,5.52,135,93.1,2,1.38,07059
7,60,178,5,2.81,173,97.19,0,0.0,07060
7,61,234,21,8.97,210,89.74,3,1.28,07061
7,62,251,8,3.19,242,96.41,1,0.4,07062
7,63,213,13,6.1,198,92.96,2,0.94,07063
7,64,228,15,6.58,211,92.54,2,0.88,07064
7,65,211,9,4.27,199,94.31,3,1.42,07065
8,1,325,18,5.54,305,93.85,2,0.62,08001
8,2,166,5,3.01,161,96.99,0,0.0,08002
8,3,400,18,4.5,379,94.75,3,0.75,08003
8,4,290,10,3.45,278,95.86,2,0.69,08004
8,5,344,10,2.91,332,96.51,2,0.58,08005
8,6,332,14,4.22,314,94.58,4,1.2,08006
8,7,224,5,2.23,218,97.32,1,0.45,08007
8,8,345,12,3.48,332,96.23,1,0.29,08008
8,9,351,14,3.99,333,94.87,4,1.14,08009
8,10,373,14,3.75,356,95.44,3,0.8,08010
8,11,280,12,4.29,266,95.0,2,0.71,08011
8,12,275,16,5.82,257,93.45,2,0.73,08012
8,13,249,8,3.21,239,95.98,2,0.8,08013
8,14,273,8,2.93,263,96.34,2,0.73,08014
8,15,273,14,5.13,257,94.14,2,0.73,08015
8,16,308,9,2.92,299,97.08,0,0.0,08016
8,17,240,10,4.17,230,95.83,0,0.0,08017
8,18,209,4,1.91,201,96.17,4,1.91,08018
8,19,347,13,3.75,333,95.97,1,0.29,08019
8,20,217,10,4.61,205,94.47,2,0.92,08020
8,21,242,12,4.96,229,94.63,1,0.41,08021
8,22,259,5,1.93,254,98.07,0,0.0,08022
8,23,286,12,4.2,272,95.1,2,0.7,08023
8,24,306,15,4.9,291,95.1,0,0.0,08024
8,25,303,11,3.63,290,95.71,2,0.66,08025
8,26,224,4,1.79,218,97.32,2,0.89,08026
8,27,318,12,3.77,303,95.28,3,0.94,08027
8,28,250,10,4.0,236,94.4,4,1.6,08028
8,29,299,14,4.68,281,93.98,4,1.34,08029
8,30,236,8,3.39,225,95.34,3,1.27,08030
8,31,213,5,2.35,206,96.71,2,0.94,08031
8,32,483,20,4.14,459,95.03,4,0.83,08032
8,33,254,12,4.72,242,95.28,0,0.0,08033
8,34,347,16,4.61,325,93.66,6,1.73,08034
8,35,358,13,3.63,344,96.09,1,0.28,08035
8,36,277,13,4.69,263,94.95,1,0.36,08036
8,37,335,13,3.88,319,95.22,3,0.9,08037
8,38,280,13,4.64,261,93.21,6,2.14,08038
8,39,339,12,3.54,326,96.17,1,0.29,08039
8,40,290,7,2.41,278,95.86,5,1.72,08040
8,41,278,6,2.16,267,96.04,5,1.8,08041
8,42,284,12,4.23,271,95.42,1,0.35,08042
8,43,278,9,3.24,267,96.04,2,0.72,08043
8,44,215,6,2.79,206,95.81,3,1.4,08044
8,45,225,11,4.89,213,94.67,1,0.44,08045
8,46,225,6,2.67,217,96.44,2,0.89,08046
8,47,306,13,4.25,290,94.77,3,0.98,08047
8,48,224,13,5.8,210,93.75,1,0.45,08048
8,49,342,13,3.8,328,95.91,1,0.29,08049
8,50,300,6,2.0,292,97.33,2,0.67,08050
8,51,366,13,3.55,348,95.08,5,1.37,08051
8,52,300,8,2.67,289,96.33,3,1.0,08052
8,53,340,12,3.53,327,96.18,1,0.29,08053
8,54,290,12,4.14,273,94.14,5,1.72,08054
8,55,295,11,3.73,283,95.93,1,0.34,08055
8,56,368,21,5.71,344,93.48,3,0.82,08056
8,57,246,10,4.07,230,93.5,6,2.44,08057
8,58,309,7,2.27,301,97.41,1,0.32,08058
8,59,198,12,6.06,186,93.94,0,0.0,08059
8,60,240,13,5.42,226,94.17,1,0.42,08060
8,61,249,12,4.82,236,94.78,1,0.4,08061
8,62,269,14,5.2,253,94.05,2,0.74,08062
8,63,310,12,3.87,294,94.84,4,1.29,08063
8,64,269,9,3.35,257,95.54,3,1.12,08064
8,65,187,5,2.67,181,96.79,1,0.53,08065
8,66,407,17,4.18,382,93.86,8,1.97,08066
8,67,146,10,6.85,134,91.78,2,1.37,08067
8,68,186,6,3.23,179,96.24,1,0.54,08068
8,69,184,8,4.35,175,95.11,1,0.54,08069
8,70,338,11,3.25,325,96.15,2,0.59,08070
9,1,348,11,3.16,333,95.69,4,1.15,09001
9,2,356,15,4.21,337,94.66,4,1.12,09002
9,3,239,4,1.67,232,97.07,3,1.26,09003
9,4,373,21,5.63,347,93.03,5,1.34,09004
9,5,327,13,3.98,310,94.8,4,1.22,09005
9,6,315,11,3.49,301,95.56,3,0.95,09006
9,7,334,14,4.19,313,93.71,7,2.1,09007
9,8,232,6,2.59,225,96.98,1,0.43,09008
9,9,364,8,2.2,352,96.7,4,1.1,09009
9,10,294,13,4.42,281,95.58,0,0.0,09010
9,11,221,11,4.98,204,92.31,6,2.71,09011
9,12,326,10,3.07,313,96.01,3,0.92,09012
9,13,392,15,3.83,375,95.66,2,0.51,09013
9,14,412,18,4.37,386,93.69,8,1.94,09014
9,15,152,1,0.66,151,99.34,0,0.0,09015
9,16,326,8,2.45,310,95.09,8,2.45,09016
9,17,273,10,3.66,261,95.6,2,0.73,09017
9,18,328,12,3.66,314,95.73,2,0.61,09018
9,19,356,17,4.78,333,93.54,6,1.69,09019
9,20,335,16,4.78,316,94.33,3,0.9,09020
9,21,218,4,1.83,214,98.17,0,0.0,09021
9,22,372,15,4.03,355,95.43,2,0.54,09022
9,23,242,9,3.72,225,92.98,8,3.31,09023
9,24,172,8,4.65,159,92.44,5,2.91,09024
9,25,140,6,4.29,134,95.71,0,0.0,09025
9,26,208,8,3.85,197,94.71,3,1.44,09026
9,27,182,5,2.75,175,96.15,2,1.1,09027
9,28,247,16,6.48,229,92.71,2,0.81,09028
9,29,277,13,4.69,257,92.78,7,2.53,09029
9,30,244,9,3.69,233,95.49,2,0.82,09030
9,31,263,12,4.56,250,95.06,1,0.38,09031
9,32,329,14,4.26,314,95.44,1,0.3,09032
9,33,195,11,5.64,181,92.82,3,1.54,09033
9,34,308,18,5.84,284,92.21,6,1.95,09034
9,35,305,3,0.98,300,98.36,2,0.66,09035
9,36,172,3,1.74,166,96.51,3,1.74,09036
9,37,275,61,22.18,205,74.55,9,3.27,09037
