ward,precinct,total,ROBERT J. PETTIS,ROBERT J. PETTIS Percent,JACQUELINE Y. COLLINS,JACQUELINE Y. COLLINS Percent,precinct_id
17,7,287,8,2.79,279,97.21,17007
17,8,152,2,1.32,150,98.68,17008
17,9,173,3,1.73,170,98.27,17009
17,10,285,12,4.21,273,95.79,17010
17,11,266,6,2.26,260,97.74,17011
17,12,276,6,2.17,270,97.83,17012
17,13,159,10,6.29,149,93.71,17013
17,14,12,5,41.67,7,58.33,17014
17,15,211,6,2.84,205,97.16,17015
17,16,227,4,1.76,223,98.24,17016
17,17,187,4,2.14,183,97.86,17017
17,18,257,5,1.95,252,98.05,17018
17,19,107,3,2.8,104,97.2,17019
17,20,220,10,4.55,210,95.45,17020
17,21,324,9,2.78,315,97.22,17021
17,22,268,5,1.87,263,98.13,17022
17,23,187,6,3.21,181,96.79,17023
17,24,254,5,1.97,249,98.03,17024
17,25,163,1,0.61,162,99.39,17025
17,26,303,11,3.63,292,96.37,17026
17,27,304,9,2.96,295,97.04,17027
17,28,238,15,6.3,223,93.7,17028
17,29,284,4,1.41,280,98.59,17029
17,30,293,11,3.75,282,96.25,17030
17,31,263,7,2.66,256,97.34,17031
17,32,267,7,2.62,260,97.38,17032
17,33,197,3,1.52,194,98.48,17033
17,34,216,4,1.85,212,98.15,17034
17,35,163,4,2.45,159,97.55,17035
17,36,153,3,1.96,150,98.04,17036
17,37,232,5,2.16,227,97.84,17037
17,38,230,5,2.17,225,97.83,17038
17,39,171,3,1.75,168,98.25,17039
17,40,181,7,3.87,174,96.13,17040
17,41,212,4,1.89,208,98.11,17041
17,42,212,5,2.36,207,97.64,17042
17,43,227,10,4.41,217,95.59,17043
17,44,222,1,0.45,221,99.55,17044
17,45,166,8,4.82,158,95.18,17045
17,46,246,5,2.03,241,97.97,17046
17,47,140,7,5.0,133,95.0,17047
17,48,230,2,0.87,228,99.13,17048
17,49,198,7,3.54,191,96.46,17049
17,50,207,5,2.42,202,97.58,17050
17,51,267,4,1.5,263,98.5,17051
17,52,336,8,2.38,328,97.62,17052
17,53,247,3,1.21,244,98.79,17053
17,54,276,5,1.81,271,98.19,17054
17,55,212,4,1.89,208,98.11,17055
17,56,245,6,2.45,239,97.55,17056
17,57,281,7,2.49,274,97.51,17057
17,58,232,8,3.45,224,96.55,17058
17,59,157,4,2.55,153,97.45,17059
17,60,325,12,3.69,313,96.31,17060
17,61,214,5,2.34,209,97.66,17061
17,62,201,3,1.49,198,98.51,17062
17,63,204,8,3.92,196,96.08,17063
17,64,172,2,1.16,170,98.84,17064
18,1,177,14,7.91,163,92.09,18001
18,2,308,34,11.04,274,88.96,18002
18,3,276,117,42.39,159,57.61,18003
18,4,313,16,5.11,297,94.89,18004
18,5,302,6,1.99,296,98.01,18005
18,6,280,111,39.64,169,60.36,18006
18,7,250,37,14.8,213,85.2,18007
18,8,121,11,9.09,110,90.91,18008
18,9,318,39,12.26,279,87.74,18009
18,10,410,48,11.71,362,88.29,18010
18,11,283,59,20.85,224,79.15,18011
18,12,372,46,12.37,326,87.63,18012
18,13,310,37,11.94,273,88.06,18013
18,14,350,27,7.71,323,92.29,18014
18,15,192,49,25.52,143,74.48,18015
18,16,298,16,5.37,282,94.63,18016
18,17,268,35,13.06,233,86.94,18017
18,18,308,14,4.55,294,95.45,18018
18,20,287,12,4.18,275,95.82,18020
18,21,389,41,10.54,348,89.46,18021
18,22,337,17,5.04,320,94.96,18022
18,23,263,21,7.98,242,92.02,18023
18,27,285,29,10.18,256,89.82,18027
18,28,334,122,36.53,212,63.47,18028
18,29,324,78,24.07,246,75.93,18029
18,31,273,19,6.96,254,93.04,18031
18,33,234,4,1.71,230,98.29,18033
18,35,362,26,7.18,336,92.82,18035
18,36,218,25,11.47,193,88.53,18036
18,37,215,25,11.63,190,88.37,18037
18,38,349,8,2.29,341,97.71,18038
18,39,239,18,7.53,221,92.47,18039
18,40,356,25,7.02,331,92.98,18040
18,41,328,125,38.11,203,61.89,18041
18,42,231,35,15.15,196,84.85,18042
18,43,257,33,12.84,224,87.16,18043
18,44,201,32,15.92,169,84.08,18044
18,47,276,26,9.42,250,90.58,18047
18,48,214,67,31.31,147,68.69,18048
18,49,221,20,9.05,201,90.95,18049
18,50,284,14,4.93,270,95.07,18050
18,54,300,14,4.67,286,95.33,18054
18,55,343,126,36.73,217,63.27,18055
18,56,279,50,17.92,229,82.08,18056
18,57,249,26,10.44,223,89.56,18057
18,58,272,12,4.41,260,95.59,18058
18,59,196,5,2.55,191,97.45,18059
18,60,344,6,1.74,338,98.26,18060
18,61,301,12,3.99,289,96.01,18061
18,64,242,37,15.29,205,84.71,18064
20,10,225,9,4.0,216,96.0,20010
20,18,12,1,8.33,11,91.67,20018
20,25,106,5,4.72,101,95.28,20025
20,28,267,10,3.75,257,96.25,20028
20,30,216,6,2.78,210,97.22,20030
20,35,123,1,0.81,122,99.19,20035
20,49,183,3,1.64,180,98.36,20049
21,2,113,3,2.65,110,97.35,21002
21,16,266,7,2.63,259,97.37,21016
21,17,139,4,2.88,135,97.12,21017
21,30,215,8,3.72,207,96.28,21030
21,32,191,5,2.62,186,97.38,21032
21,34,339,5,1.47,334,98.53,21034
21,37,195,5,2.56,190,97.44,21037
21,39,239,9,3.77,230,96.23,21039
21,41,251,7,2.79,244,97.21,21041
21,52,327,15,4.59,312,95.41,21052
21,62,286,11,3.85,275,96.15,21062
21,64,152,1,0.66,151,99.34,21064
21,65,258,3,1.16,255,98.84,21065
21,67,242,3,1.24,239,98.76,21067
21,69,230,4,1.74,226,98.26,21069
21,70,196,7,3.57,189,96.43,21070
21,71,214,3,1.4,211,98.6,21071
21,72,244,8,3.28,236,96.72,21072
21,74,112,6,5.36,106,94.64,21074
