ward,precinct,total,Jeremy Rose (Romney),Jeremy Rose (Romney) Percent,Branden J Ozga (Romney),Branden J Ozga (Romney) Percent,Joann Finger (McCain),Joann Finger (McCain) Percent,Will Callard (McCain),Will Callard (McCain) Percent,Nickolas John Herringshaw (Paul),Nickolas John Herringshaw (Paul) Percent,Susan Radzinowicz (Thompson),Susan Radzinowicz (Thompson) Percent,Robert Sargus (Thompson),Robert Sargus (Thompson) Percent,Kevin Hacker (Giuliani),Kevin Hacker (Giuliani) Percent,Robert R. Rodman IV (Giuliani),Robert R. Rodman IV (Giuliani) Percent,precinct_id
39,33,35,3,8.57,3,8.57,8,22.86,9,25.71,2,5.71,3,8.57,1,2.86,1,2.86,2,5.71,39033
39,34,66,6,9.09,7,10.61,21,31.82,22,33.33,4,6.06,1,1.52,0,0.0,1,1.52,0,0.0,39034
39,35,60,10,16.67,7,11.67,17,28.33,15,25.0,3,5.0,3,5.0,2,3.33,0,0.0,0,0.0,39035
39,36,35,9,25.71,8,22.86,7,20.0,6,17.14,0,0.0,2,5.71,0,0.0,0,0.0,1,2.86,39036
39,37,76,12,15.79,11,14.47,20,26.32,18,23.68,6,7.89,0,0.0,0,0.0,1,1.32,1,1.32,39037
39,38,63,4,6.35,4,6.35,25,39.68,21,33.33,3,4.76,1,1.59,1,1.59,1,1.59,0,0.0,39038
39,39,17,1,5.88,1,5.88,7,41.18,4,23.53,2,11.76,0,0.0,0,0.0,0,0.0,0,0.0,39039
39,40,32,8,25.0,8,25.0,6,18.75,5,15.63,1,3.13,0,0.0,0,0.0,2,6.25,1,3.13,39040
39,41,26,3,11.54,3,11.54,9,34.62,9,34.62,0,0.0,0,0.0,0,0.0,1,3.85,1,3.85,39041
39,42,46,8,17.39,9,19.57,13,28.26,14,30.43,1,2.17,0,0.0,0,0.0,0,0.0,0,0.0,39042
39,43,52,13,25.0,11,21.15,10,19.23,8,15.38,4,7.69,0,0.0,1,1.92,2,3.85,0,0.0,39043
39,44,32,5,15.63,4,12.5,10,31.25,7,21.88,1,3.13,1,3.13,0,0.0,1,3.13,1,3.13,39044
39,45,24,4,16.67,6,25.0,5,20.83,4,16.67,0,0.0,0,0.0,1,4.17,3,12.5,1,4.17,39045
