ward,precinct,total,John Harty (McCain),John Harty (McCain) Percent,Nick Peric (McCain),Nick Peric (McCain) Percent,Michael B. DiBartolo (Romney),Michael B. DiBartolo (Romney) Percent,Robert S. Giurato (Romney),Robert S. Giurato (Romney) Percent,Curtis D. Barrett (Paul),Curtis D. Barrett (Paul) Percent,Reuben W. Perelman (Paul),Reuben W. Perelman (Paul) Percent,Joseph Hedrick (Thompson),Joseph Hedrick (Thompson) Percent,Brennan B. Miller III (Thompson),Brennan B. Miller III (Thompson) Percent,Carla Brookman (Giuliani),Carla Brookman (Giuliani) Percent,Anton Valukas (Giuliani),Anton Valukas (Giuliani) Percent,Steven T. Janes (Huckabee),Steven T. Janes (Huckabee) Percent,Paul Sherwood (Huckabee),Paul Sherwood (Huckabee) Percent,precinct_id
46,47,18,3,16.67,3,16.67,3,16.67,4,22.22,1,5.56,1,5.56,0,0.0,0,0.0,1,5.56,0,0.0,0,0.0,2,11.11,46047
48,1,61,17,27.87,15,24.59,5,8.2,4,6.56,5,8.2,6,9.84,1,1.64,0,0.0,0,0.0,1,1.64,4,6.56,3,4.92,48001
48,2,41,7,17.07,5,12.2,6,14.63,5,12.2,0,0.0,1,2.44,1,2.44,1,2.44,1,2.44,0,0.0,7,17.07,7,17.07,48002
48,3,34,8,23.53,6,17.65,8,23.53,5,14.71,2,5.88,1,2.94,0,0.0,0,0.0,2,5.88,2,5.88,0,0.0,0,0.0,48003
48,4,81,14,17.28,11,13.58,15,18.52,13,16.05,8,9.88,6,7.41,1,1.23,0,0.0,0,0.0,0,0.0,7,8.64,6,7.41,48004
48,5,77,25,32.47,22,28.57,10,12.99,9,11.69,2,2.6,2,2.6,0,0.0,0,0.0,2,2.6,0,0.0,3,3.9,2,2.6,48005
48,6,52,16,30.77,10,19.23,10,19.23,6,11.54,2,3.85,2,3.85,0,0.0,0,0.0,3,5.77,1,1.92,1,1.92,1,1.92,48006
48,7,32,8,25.0,10,31.25,2,6.25,1,3.13,2,6.25,2,6.25,0,0.0,1,3.13,0,0.0,0,0.0,3,9.38,3,9.38,48007
48,8,43,13,30.23,14,32.56,2,4.65,3,6.98,3,6.98,3,6.98,1,2.33,0,0.0,0,0.0,0,0.0,2,4.65,2,4.65,48008
48,9,67,15,22.39,16,23.88,7,10.45,10,14.93,1,1.49,1,1.49,2,2.99,1,1.49,2,2.99,0,0.0,6,8.96,6,8.96,48009
48,10,37,7,18.92,6,16.22,9,24.32,10,27.03,0,0.0,0,0.0,1,2.7,0,0.0,1,2.7,0,0.0,2,5.41,1,2.7,48010
48,11,45,15,33.33,16,35.56,4,8.89,3,6.67,1,2.22,3,6.67,0,0.0,0,0.0,0,0.0,0,0.0,2,4.44,1,2.22,48011
48,12,30,10,33.33,8,26.67,3,10.0,0,0.0,2,6.67,2,6.67,0,0.0,0,0.0,2,6.67,0,0.0,1,3.33,2,6.67,48012
48,13,32,5,15.63,5,15.63,8,25.0,6,18.75,3,9.38,3,9.38,0,0.0,0,0.0,0,0.0,0,0.0,1,3.13,1,3.13,48013
48,14,76,23,30.26,21,27.63,10,13.16,10,13.16,2,2.63,1,1.32,0,0.0,1,1.32,5,6.58,1,1.32,1,1.32,1,1.32,48014
48,15,35,7,20.0,6,17.14,7,20.0,6,17.14,3,8.57,3,8.57,0,0.0,0,0.0,0,0.0,0,0.0,2,5.71,1,2.86,48015
48,16,34,9,26.47,9,26.47,2,5.88,0,0.0,4,11.76,4,11.76,1,2.94,0,0.0,2,5.88,1,2.94,1,2.94,1,2.94,48016
48,17,60,16,26.67,14,23.33,5,8.33,5,8.33,4,6.67,4,6.67,3,5.0,2,3.33,2,3.33,2,3.33,1,1.67,2,3.33,48017
48,18,32,7,21.88,6,18.75,3,9.38,3,9.38,2,6.25,3,9.38,2,6.25,1,3.13,2,6.25,1,3.13,1,3.13,1,3.13,48018
48,19,35,8,22.86,8,22.86,7,20.0,6,17.14,0,0.0,0,0.0,0,0.0,0,0.0,1,2.86,1,2.86,2,5.71,2,5.71,48019
48,20,35,15,42.86,13,37.14,3,8.57,3,8.57,0,0.0,0,0.0,1,2.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48020
48,21,35,9,25.71,8,22.86,4,11.43,5,14.29,1,2.86,1,2.86,0,0.0,0,0.0,1,2.86,0,0.0,4,11.43,2,5.71,48021
48,22,67,11,16.42,11,16.42,16,23.88,14,20.9,4,5.97,3,4.48,1,1.49,0,0.0,0,0.0,0,0.0,4,5.97,3,4.48,48022
48,23,32,12,37.5,11,34.38,3,9.38,2,6.25,1,3.13,1,3.13,1,3.13,0,0.0,0,0.0,0,0.0,1,3.13,0,0.0,48023
48,24,23,7,30.43,5,21.74,3,13.04,3,13.04,1,4.35,1,4.35,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,2,8.7,48024
48,25,34,6,17.65,6,17.65,3,8.82,3,8.82,3,8.82,3,8.82,1,2.94,1,2.94,0,0.0,0,0.0,4,11.76,4,11.76,48025
48,26,64,17,26.56,14,21.88,7,10.94,8,12.5,2,3.13,2,3.13,0,0.0,0,0.0,3,4.69,2,3.13,4,6.25,5,7.81,48026
48,27,41,10,24.39,8,19.51,8,19.51,5,12.2,1,2.44,1,2.44,1,2.44,1,2.44,1,2.44,1,2.44,2,4.88,2,4.88,48027
48,28,49,19,38.78,17,34.69,7,14.29,5,10.2,0,0.0,0,0.0,0,0.0,0,0.0,1,2.04,0,0.0,0,0.0,0,0.0,48028
48,29,56,18,32.14,14,25.0,8,14.29,6,10.71,1,1.79,2,3.57,1,1.79,0,0.0,1,1.79,1,1.79,2,3.57,2,3.57,48029
48,30,29,5,17.24,5,17.24,6,20.69,6,20.69,0,0.0,0,0.0,0,0.0,0,0.0,2,6.9,3,10.34,1,3.45,1,3.45,48030
48,31,12,2,16.67,2,16.67,1,8.33,1,8.33,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,2,16.67,1,8.33,48031
48,32,25,7,28.0,7,28.0,1,4.0,2,8.0,2,8.0,2,8.0,0,0.0,1,4.0,1,4.0,1,4.0,1,4.0,0,0.0,48032
48,33,45,17,37.78,12,26.67,5,11.11,5,11.11,1,2.22,1,2.22,1,2.22,0,0.0,0,0.0,1,2.22,1,2.22,1,2.22,48033
48,34,35,8,22.86,6,17.14,6,17.14,7,20.0,2,5.71,2,5.71,1,2.86,0,0.0,0,0.0,0,0.0,0,0.0,3,8.57,48034
