ward,precinct,total,Carlos Saucedo (McCain),Carlos Saucedo (McCain) Percent,Kimberly Pate Godden (McCain),Kimberly Pate Godden (McCain) Percent,Jonathan Blessing (Romney),Jonathan Blessing (Romney) Percent,Sean Thomas McCarthy (Romney),Sean Thomas McCarthy (Romney) Percent,Brian G. Markey (Paul),Brian G. Markey (Paul) Percent,Christopher W. Barnes (Thompson),Christopher W. Barnes (Thompson) Percent,Jennifer L. Sheahan (Thompson),Jennifer L. Sheahan (Thompson) Percent,Andrew Gutierrez (Giuliani),Andrew Gutierrez (Giuliani) Percent,precinct_id
14,35,8,2,25.0,1,12.5,1,12.5,2,25.0,0,0.0,0,0.0,1,12.5,1,12.5,14035
16,21,14,4,28.57,4,28.57,2,14.29,2,14.29,0,0.0,0,0.0,0,0.0,1,7.14,16021
16,32,13,3,23.08,2,15.38,1,7.69,1,7.69,1,7.69,1,7.69,0,0.0,1,7.69,16032
20,4,12,3,25.0,2,16.67,2,16.67,1,8.33,1,8.33,0,0.0,0,0.0,1,8.33,20004
20,8,5,1,20.0,2,40.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,20008
20,15,9,4,44.44,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,20015
20,21,8,1,12.5,1,12.5,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,1,12.5,20021
22,1,7,1,14.29,1,14.29,1,14.29,2,28.57,0,0.0,1,14.29,0,0.0,1,14.29,22001
22,2,8,2,25.0,2,25.0,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,1,12.5,22002
22,3,19,8,42.11,5,26.32,2,10.53,1,5.26,0,0.0,0,0.0,1,5.26,1,5.26,22003
22,4,5,2,40.0,1,20.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,22004
22,5,6,3,50.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,22005
22,6,4,1,25.0,1,25.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0,22006
22,8,4,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22008
22,9,14,4,28.57,4,28.57,1,7.14,1,7.14,1,7.14,0,0.0,1,7.14,0,0.0,22009
22,10,13,6,46.15,4,30.77,0,0.0,0,0.0,3,23.08,0,0.0,0,0.0,0,0.0,22010
22,11,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22011
22,12,9,2,22.22,1,11.11,3,33.33,2,22.22,0,0.0,0,0.0,0,0.0,1,11.11,22012
22,13,9,6,66.67,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,22013
22,14,13,3,23.08,2,15.38,4,30.77,3,23.08,0,0.0,0,0.0,1,7.69,0,0.0,22014
22,15,5,2,40.0,0,0.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,22015
22,16,13,3,23.08,3,23.08,2,15.38,2,15.38,0,0.0,1,7.69,0,0.0,1,7.69,22016
22,17,14,6,42.86,3,21.43,2,14.29,1,7.14,0,0.0,0,0.0,0,0.0,2,14.29,22017
22,18,6,4,66.67,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22018
22,20,6,1,16.67,1,16.67,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,1,16.67,22020
22,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22022
22,23,14,3,21.43,2,14.29,2,14.29,2,14.29,1,7.14,0,0.0,1,7.14,1,7.14,22023
22,24,8,3,37.5,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,2,25.0,22024
22,25,3,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,22025
22,26,8,2,25.0,1,12.5,1,12.5,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,22026
