ward,precinct,total,Charlie Serrano (Romney),Charlie Serrano (Romney) Percent,Bryce R. Kenny (Romney),Bryce R. Kenny (Romney) Percent,Ann Melichar (McCain),Ann Melichar (McCain) Percent,Gustavo Gonzalez (McCain),Gustavo Gonzalez (McCain) Percent,Joseph M. Cesarone (Paul),Joseph M. Cesarone (Paul) Percent,Ann K. Huggins (Paul),Ann K. Huggins (Paul) Percent,John J. Curry (Thompson),John J. Curry (Thompson) Percent,Tom M. Tomschin (Thompson),Tom M. Tomschin (Thompson) Percent,Raul Perez (Giuliani),Raul Perez (Giuliani) Percent,Glen H. Samson (Giuliani),Glen H. Samson (Giuliani) Percent,precinct_id
1,36,49,5,10.2,5,10.2,14,28.57,10,20.41,7,14.29,7,14.29,0,0.0,0,0.0,1,2.04,0,0.0,01036
1,37,29,7,24.14,6,20.69,4,13.79,5,17.24,3,10.34,2,6.9,2,6.9,0,0.0,0,0.0,0,0.0,01037
1,38,10,3,30.0,2,20.0,2,20.0,1,10.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,01038
1,39,34,9,26.47,8,23.53,6,17.65,7,20.59,0,0.0,0,0.0,0,0.0,0,0.0,3,8.82,1,2.94,01039
1,40,32,2,6.25,1,3.13,10,31.25,8,25.0,5,15.63,6,18.75,0,0.0,0,0.0,0,0.0,0,0.0,01040
1,41,50,6,12.0,7,14.0,11,22.0,14,28.0,3,6.0,5,10.0,1,2.0,1,2.0,1,2.0,1,2.0,01041
1,42,15,2,13.33,1,6.67,2,13.33,2,13.33,3,20.0,3,20.0,1,6.67,1,6.67,0,0.0,0,0.0,01042
1,43,22,2,9.09,3,13.64,7,31.82,6,27.27,1,4.55,1,4.55,1,4.55,1,4.55,0,0.0,0,0.0,01043
1,44,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,01044
1,45,26,4,15.38,4,15.38,5,19.23,4,15.38,4,15.38,3,11.54,0,0.0,1,3.85,0,0.0,1,3.85,01045
1,46,28,3,10.71,3,10.71,8,28.57,6,21.43,4,14.29,3,10.71,0,0.0,0,0.0,1,3.57,0,0.0,01046
1,47,31,1,3.23,2,6.45,12,38.71,12,38.71,0,0.0,2,6.45,0,0.0,0,0.0,1,3.23,1,3.23,01047
1,48,9,0,0.0,1,11.11,3,33.33,2,22.22,1,11.11,1,11.11,0,0.0,0,0.0,1,11.11,0,0.0,01048
1,49,27,6,22.22,4,14.81,5,18.52,2,7.41,5,18.52,5,18.52,0,0.0,0,0.0,0,0.0,0,0.0,01049
1,50,17,2,11.76,2,11.76,6,35.29,5,29.41,0,0.0,0,0.0,1,5.88,0,0.0,1,5.88,0,0.0,01050
3,13,21,2,9.52,0,0.0,7,33.33,7,33.33,0,0.0,0,0.0,2,9.52,2,9.52,1,4.76,0,0.0,03013
11,3,9,5,55.56,2,22.22,0,0.0,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,0,0.0,11003
11,10,6,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,11010
11,18,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,11018
11,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11026
11,30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11030
12,1,28,8,28.57,4,14.29,3,10.71,5,17.86,2,7.14,3,10.71,1,3.57,0,0.0,2,7.14,0,0.0,12001
12,2,20,4,20.0,2,10.0,4,20.0,6,30.0,0,0.0,0,0.0,1,5.0,0,0.0,3,15.0,0,0.0,12002
12,3,26,5,19.23,6,23.08,3,11.54,7,26.92,1,3.85,2,7.69,0,0.0,1,3.85,1,3.85,0,0.0,12003
12,4,10,1,10.0,1,10.0,1,10.0,2,20.0,0,0.0,0,0.0,1,10.0,2,20.0,2,20.0,0,0.0,12004
12,5,19,5,26.32,3,15.79,3,15.79,5,26.32,0,0.0,0,0.0,0,0.0,0,0.0,2,10.53,1,5.26,12005
12,6,5,1,20.0,0,0.0,0,0.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,12006
12,7,12,2,16.67,2,16.67,2,16.67,6,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12007
12,8,33,4,12.12,4,12.12,4,12.12,6,18.18,2,6.06,3,9.09,1,3.03,1,3.03,7,21.21,1,3.03,12008
12,9,15,4,26.67,3,20.0,2,13.33,3,20.0,0,0.0,0,0.0,1,6.67,0,0.0,2,13.33,0,0.0,12009
12,10,27,7,25.93,5,18.52,6,22.22,6,22.22,1,3.7,0,0.0,2,7.41,0,0.0,0,0.0,0,0.0,12010
12,11,15,4,26.67,2,13.33,2,13.33,3,20.0,1,6.67,1,6.67,0,0.0,0,0.0,2,13.33,0,0.0,12011
12,12,19,1,5.26,1,5.26,5,26.32,6,31.58,1,5.26,1,5.26,2,10.53,0,0.0,2,10.53,0,0.0,12012
12,13,37,4,10.81,4,10.81,9,24.32,11,29.73,2,5.41,2,5.41,2,5.41,2,5.41,1,2.7,0,0.0,12013
12,14,10,4,40.0,3,30.0,1,10.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12014
12,15,16,0,0.0,1,6.25,2,12.5,7,43.75,0,0.0,0,0.0,1,6.25,1,6.25,3,18.75,1,6.25,12015
12,16,6,0,0.0,0,0.0,2,33.33,2,33.33,1,16.67,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,12016
12,17,15,2,13.33,1,6.67,4,26.67,5,33.33,1,6.67,1,6.67,0,0.0,0,0.0,0,0.0,1,6.67,12017
12,18,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12018
12,19,24,4,16.67,3,12.5,6,25.0,7,29.17,0,0.0,0,0.0,0,0.0,1,4.17,2,8.33,1,4.17,12019
12,20,17,1,5.88,2,11.76,5,29.41,6,35.29,0,0.0,0,0.0,2,11.76,0,0.0,1,5.88,0,0.0,12020
12,21,29,4,13.79,4,13.79,5,17.24,4,13.79,2,6.9,2,6.9,1,3.45,2,6.9,1,3.45,4,13.79,12021
12,22,7,1,14.29,1,14.29,1,14.29,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,12022
12,23,20,4,20.0,3,15.0,3,15.0,7,35.0,0,0.0,0,0.0,1,5.0,0,0.0,2,10.0,0,0.0,12023
12,24,11,2,18.18,2,18.18,1,9.09,2,18.18,2,18.18,0,0.0,0,0.0,0,0.0,1,9.09,1,9.09,12024
13,3,30,3,10.0,2,6.67,10,33.33,8,26.67,0,0.0,1,3.33,1,3.33,0,0.0,3,10.0,2,6.67,13003
14,1,6,1,16.67,2,33.33,1,16.67,1,16.67,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,14001
14,3,5,1,20.0,0,0.0,1,20.0,2,40.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,14003
14,4,13,5,38.46,5,38.46,1,7.69,2,15.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14004
14,5,3,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,14005
14,6,9,2,22.22,0,0.0,2,22.22,2,22.22,1,11.11,1,11.11,0,0.0,0,0.0,1,11.11,0,0.0,14006
14,7,19,2,10.53,0,0.0,7,36.84,6,31.58,2,10.53,1,5.26,0,0.0,0,0.0,1,5.26,0,0.0,14007
14,8,17,1,5.88,3,17.65,3,17.65,5,29.41,1,5.88,1,5.88,3,17.65,0,0.0,0,0.0,0,0.0,14008
14,9,7,3,42.86,2,28.57,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14009
14,10,23,3,13.04,4,17.39,7,30.43,6,26.09,0,0.0,1,4.35,1,4.35,0,0.0,1,4.35,0,0.0,14010
14,11,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14011
14,12,16,2,12.5,2,12.5,1,6.25,1,6.25,3,18.75,3,18.75,2,12.5,0,0.0,2,12.5,0,0.0,14012
14,13,18,3,16.67,2,11.11,2,11.11,4,22.22,2,11.11,4,22.22,1,5.56,0,0.0,0,0.0,0,0.0,14013
14,14,9,2,22.22,1,11.11,0,0.0,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,2,22.22,2,22.22,14014
14,15,5,0,0.0,0,0.0,0,0.0,1,20.0,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,14015
14,16,7,1,14.29,1,14.29,2,28.57,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,14016
14,17,14,5,35.71,4,28.57,1,7.14,3,21.43,0,0.0,0,0.0,0,0.0,0,0.0,1,7.14,0,0.0,14017
14,18,5,2,40.0,1,20.0,0,0.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14018
14,19,19,2,10.53,1,5.26,4,21.05,5,26.32,3,15.79,3,15.79,0,0.0,0,0.0,0,0.0,1,5.26,14019
14,20,22,3,13.64,2,9.09,4,18.18,6,27.27,1,4.55,1,4.55,1,4.55,0,0.0,3,13.64,1,4.55,14020
14,21,7,0,0.0,0,0.0,0,0.0,1,14.29,2,28.57,2,28.57,0,0.0,1,14.29,0,0.0,1,14.29,14021
14,22,14,1,7.14,2,14.29,3,21.43,6,42.86,0,0.0,0,0.0,0,0.0,1,7.14,1,7.14,0,0.0,14022
14,23,21,3,14.29,2,9.52,3,14.29,6,28.57,3,14.29,2,9.52,0,0.0,0,0.0,2,9.52,0,0.0,14023
14,24,7,1,14.29,1,14.29,1,14.29,4,57.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14024
14,26,5,1,20.0,0,0.0,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14026
14,27,21,2,9.52,1,4.76,4,19.05,3,14.29,3,14.29,5,23.81,0,0.0,0,0.0,2,9.52,1,4.76,14027
14,29,11,4,36.36,4,36.36,0,0.0,1,9.09,0,0.0,1,9.09,1,9.09,0,0.0,0,0.0,0,0.0,14029
14,30,13,3,23.08,1,7.69,2,15.38,2,15.38,1,7.69,1,7.69,2,15.38,0,0.0,0,0.0,1,7.69,14030
14,31,9,1,11.11,0,0.0,1,11.11,2,22.22,2,22.22,2,22.22,0,0.0,0,0.0,1,11.11,0,0.0,14031
14,32,9,3,33.33,1,11.11,2,22.22,3,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14032
14,33,6,1,16.67,2,33.33,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,1,16.67,1,16.67,14033
14,34,6,1,16.67,0,0.0,2,33.33,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14034
14,35,8,2,25.0,1,12.5,1,12.5,2,25.0,0,0.0,1,12.5,0,0.0,1,12.5,0,0.0,0,0.0,14035
16,21,14,2,14.29,2,14.29,4,28.57,4,28.57,0,0.0,0,0.0,2,14.29,0,0.0,0,0.0,0,0.0,16021
16,32,13,2,15.38,1,7.69,2,15.38,4,30.77,1,7.69,1,7.69,0,0.0,0,0.0,2,15.38,0,0.0,16032
20,4,12,0,0.0,0,0.0,2,16.67,6,50.0,1,8.33,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,20004
20,8,5,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20008
20,15,9,2,22.22,0,0.0,2,22.22,4,44.44,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,0,0.0,20015
20,21,8,1,12.5,1,12.5,1,12.5,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,2,25.0,0,0.0,20021
22,1,7,2,28.57,1,14.29,2,28.57,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,22001
22,2,8,0,0.0,0,0.0,1,12.5,2,25.0,1,12.5,1,12.5,0,0.0,0,0.0,2,25.0,1,12.5,22002
22,3,22,4,18.18,1,4.55,4,18.18,9,40.91,0,0.0,0,0.0,1,4.55,0,0.0,2,9.09,1,4.55,22003
22,4,6,2,33.33,0,0.0,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,22004
22,5,6,1,16.67,0,0.0,1,16.67,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,22005
22,6,4,0,0.0,1,25.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22006
22,8,4,0,0.0,0,0.0,1,25.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22008
22,9,14,1,7.14,1,7.14,1,7.14,5,35.71,2,14.29,2,14.29,0,0.0,0,0.0,2,14.29,0,0.0,22009
22,10,13,0,0.0,1,7.69,5,38.46,6,46.15,1,7.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22010
22,11,3,0,0.0,0,0.0,1,33.33,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22011
22,12,11,3,27.27,3,27.27,2,18.18,3,27.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22012
22,13,8,0,0.0,0,0.0,4,50.0,3,37.5,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,0,0.0,22013
22,14,14,3,21.43,4,28.57,3,21.43,2,14.29,0,0.0,0,0.0,1,7.14,0,0.0,1,7.14,0,0.0,22014
22,15,6,1,16.67,1,16.67,0,0.0,3,50.0,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,22015
22,16,14,3,21.43,2,14.29,3,21.43,4,28.57,2,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22016
22,17,14,3,21.43,1,7.14,4,28.57,5,35.71,0,0.0,0,0.0,0,0.0,0,0.0,1,7.14,0,0.0,22017
22,18,6,0,0.0,0,0.0,3,50.0,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22018
22,20,6,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,1,16.67,1,16.67,22020
22,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22022
22,23,14,2,14.29,2,14.29,2,14.29,4,28.57,1,7.14,2,14.29,0,0.0,0,0.0,1,7.14,0,0.0,22023
22,24,8,1,12.5,2,25.0,2,25.0,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,22024
22,25,3,1,33.33,0,0.0,0,0.0,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22025
22,26,8,2,25.0,1,12.5,1,12.5,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,1,12.5,0,0.0,22026
22,27,14,2,14.29,0,0.0,4,28.57,8,57.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22027
22,28,9,2,22.22,0,0.0,1,11.11,5,55.56,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,0,0.0,22028
22,29,5,1,20.0,1,20.0,1,20.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22029
23,9,35,6,17.14,7,20.0,2,5.71,5,14.29,1,2.86,2,5.71,4,11.43,4,11.43,4,11.43,0,0.0,23009
23,24,17,4,23.53,4,23.53,4,23.53,4,23.53,0,0.0,1,5.88,0,0.0,0,0.0,0,0.0,0,0.0,23024
23,29,23,5,21.74,4,17.39,4,17.39,3,13.04,1,4.35,0,0.0,1,4.35,1,4.35,3,13.04,1,4.35,23029
24,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24044
24,53,6,0,0.0,0,0.0,3,50.0,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24053
25,1,28,2,7.14,4,14.29,11,39.29,9,32.14,1,3.57,1,3.57,0,0.0,0,0.0,0,0.0,0,0.0,25001
25,2,29,2,6.9,2,6.9,8,27.59,10,34.48,3,10.34,3,10.34,0,0.0,0,0.0,1,3.45,0,0.0,25002
25,5,11,1,9.09,1,9.09,2,18.18,3,27.27,1,9.09,1,9.09,0,0.0,0,0.0,2,18.18,0,0.0,25005
25,6,16,3,18.75,4,25.0,3,18.75,4,25.0,1,6.25,0,0.0,0,0.0,0,0.0,1,6.25,0,0.0,25006
25,7,28,1,3.57,1,3.57,6,21.43,9,32.14,4,14.29,6,21.43,0,0.0,0,0.0,1,3.57,0,0.0,25007
25,8,8,1,12.5,0,0.0,1,12.5,2,25.0,1,12.5,1,12.5,0,0.0,0,0.0,1,12.5,1,12.5,25008
25,9,18,1,5.56,0,0.0,4,22.22,6,33.33,3,16.67,2,11.11,1,5.56,0,0.0,1,5.56,0,0.0,25009
25,11,24,5,20.83,4,16.67,3,12.5,8,33.33,0,0.0,0,0.0,1,4.17,0,0.0,3,12.5,0,0.0,25011
25,12,13,0,0.0,0,0.0,5,38.46,5,38.46,2,15.38,1,7.69,0,0.0,0,0.0,0,0.0,0,0.0,25012
25,13,18,1,5.56,1,5.56,5,27.78,7,38.89,1,5.56,1,5.56,0,0.0,0,0.0,2,11.11,0,0.0,25013
25,15,17,2,11.76,2,11.76,5,29.41,7,41.18,0,0.0,0,0.0,0,0.0,0,0.0,1,5.88,0,0.0,25015
25,17,25,4,16.0,4,16.0,4,16.0,6,24.0,1,4.0,0,0.0,1,4.0,0,0.0,4,16.0,1,4.0,25017
25,19,17,1,5.88,1,5.88,5,29.41,6,35.29,1,5.88,2,11.76,0,0.0,0,0.0,1,5.88,0,0.0,25019
25,20,16,1,6.25,1,6.25,2,12.5,7,43.75,0,0.0,0,0.0,2,12.5,0,0.0,3,18.75,0,0.0,25020
25,22,11,2,18.18,2,18.18,3,27.27,4,36.36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25022
25,23,16,1,6.25,1,6.25,5,31.25,6,37.5,2,12.5,1,6.25,0,0.0,0,0.0,0,0.0,0,0.0,25023
25,24,14,2,14.29,2,14.29,3,21.43,3,21.43,2,14.29,2,14.29,0,0.0,0,0.0,0,0.0,0,0.0,25024
25,30,6,0,0.0,0,0.0,1,16.67,1,16.67,2,33.33,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,25030
25,31,18,2,11.11,2,11.11,4,22.22,4,22.22,3,16.67,3,16.67,0,0.0,0,0.0,0,0.0,0,0.0,25031
26,1,22,2,9.09,2,9.09,5,22.73,8,36.36,1,4.55,1,4.55,0,0.0,0,0.0,3,13.64,0,0.0,26001
26,2,7,1,14.29,1,14.29,1,14.29,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,1,14.29,0,0.0,26002
26,3,14,1,7.14,1,7.14,6,42.86,5,35.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.14,26003
26,4,7,1,14.29,1,14.29,2,28.57,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,26004
26,5,14,2,14.29,3,21.43,2,14.29,5,35.71,1,7.14,1,7.14,0,0.0,0,0.0,0,0.0,0,0.0,26005
26,6,3,0,0.0,0,0.0,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26006
26,7,20,5,25.0,3,15.0,6,30.0,5,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0,26007
26,8,16,1,6.25,1,6.25,5,31.25,4,25.0,1,6.25,1,6.25,0,0.0,0,0.0,1,6.25,2,12.5,26008
26,9,10,1,10.0,0,0.0,3,30.0,3,30.0,2,20.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,26009
26,10,6,2,33.33,1,16.67,0,0.0,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,26010
26,11,16,0,0.0,0,0.0,3,18.75,6,37.5,2,12.5,2,12.5,0,0.0,0,0.0,3,18.75,0,0.0,26011
26,12,3,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26012
26,13,11,2,18.18,2,18.18,2,18.18,3,27.27,0,0.0,0,0.0,1,9.09,1,9.09,0,0.0,0,0.0,26013
26,14,12,1,8.33,1,8.33,2,16.67,3,25.0,1,8.33,1,8.33,1,8.33,0,0.0,2,16.67,0,0.0,26014
26,15,15,3,20.0,0,0.0,3,20.0,7,46.67,0,0.0,0,0.0,0,0.0,0,0.0,2,13.33,0,0.0,26015
26,16,3,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,26016
26,18,9,0,0.0,0,0.0,3,33.33,3,33.33,0,0.0,1,11.11,0,0.0,0,0.0,1,11.11,1,11.11,26018
26,19,13,3,23.08,3,23.08,4,30.77,3,23.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26019
26,20,16,1,6.25,1,6.25,5,31.25,6,37.5,1,6.25,2,12.5,0,0.0,0,0.0,0,0.0,0,0.0,26020
26,21,10,1,10.0,0,0.0,1,10.0,4,40.0,1,10.0,1,10.0,1,10.0,0,0.0,1,10.0,0,0.0,26021
26,22,6,1,16.67,0,0.0,2,33.33,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,26022
26,23,12,0,0.0,0,0.0,3,25.0,5,41.67,1,8.33,2,16.67,0,0.0,0,0.0,1,8.33,0,0.0,26023
26,24,16,2,12.5,2,12.5,3,18.75,6,37.5,1,6.25,0,0.0,0,0.0,1,6.25,1,6.25,0,0.0,26024
26,25,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,26025
26,26,7,1,14.29,0,0.0,1,14.29,2,28.57,1,14.29,0,0.0,1,14.29,1,14.29,0,0.0,0,0.0,26026
