ward,precinct,total,Arthur J. Jones,Arthur J. Jones Percent,Michael Hawkins,Michael Hawkins Percent,precinct_id
13,37,6,0,0.0,6,100.0,13037
13,38,12,4,33.33,8,66.67,13038
13,39,4,1,25.0,3,75.0,13039
13,40,17,9,52.94,8,47.06,13040
13,41,5,2,40.0,3,60.0,13041
13,42,13,5,38.46,8,61.54,13042
13,43,8,0,0.0,8,100.0,13043
13,44,7,2,28.57,5,71.43,13044
13,45,15,5,33.33,10,66.67,13045
13,46,10,7,70.0,3,30.0,13046
13,47,10,5,50.0,5,50.0,13047
14,2,11,6,54.55,5,45.45,14002
14,25,9,6,66.67,3,33.33,14025
14,28,4,1,25.0,3,75.0,14028
15,1,7,3,42.86,4,57.14,15001
15,10,8,4,50.0,4,50.0,15010
15,13,1,0,0.0,1,100.0,15013
15,14,8,4,50.0,4,50.0,15014
15,15,4,1,25.0,3,75.0,15015
15,16,4,3,75.0,1,25.0,15016
15,25,2,0,0.0,2,100.0,15025
15,28,10,4,40.0,6,60.0,15028
15,32,1,1,100.0,0,0.0,15032
15,44,11,0,0.0,11,100.0,15044
15,49,2,0,0.0,2,100.0,15049
16,1,0,0,0.0,0,0.0,16001
16,4,1,1,100.0,0,0.0,16004
16,6,1,1,100.0,0,0.0,16006
16,7,4,0,0.0,4,100.0,16007
16,11,4,4,100.0,0,0.0,16011
16,13,9,6,66.67,3,33.33,16013
16,17,7,4,57.14,3,42.86,16017
16,23,6,1,16.67,5,83.33,16023
16,32,1,0,0.0,1,100.0,16032
16,35,12,5,41.67,7,58.33,16035
16,39,12,4,33.33,8,66.67,16039
16,42,8,4,50.0,4,50.0,16042
18,3,17,4,23.53,13,76.47,18003
18,6,26,4,15.38,22,84.62,18006
18,15,8,7,87.5,1,12.5,18015
18,28,20,2,10.0,18,90.0,18028
18,41,15,4,26.67,11,73.33,18041
18,43,12,3,25.0,9,75.0,18043
18,48,12,3,25.0,9,75.0,18048
18,55,22,8,36.36,14,63.64,18055
18,56,6,3,50.0,3,50.0,18056
18,57,3,1,33.33,2,66.67,18057
18,62,7,2,28.57,5,71.43,18062
19,1,25,10,40.0,15,60.0,19001
19,2,9,4,44.44,5,55.56,19002
19,3,44,19,43.18,25,56.82,19003
19,4,28,11,39.29,17,60.71,19004
19,5,14,7,50.0,7,50.0,19005
19,6,36,11,30.56,25,69.44,19006
19,7,17,4,23.53,13,76.47,19007
19,8,33,4,12.12,29,87.88,19008
19,9,19,6,31.58,13,68.42,19009
19,10,28,5,17.86,23,82.14,19010
19,11,34,11,32.35,23,67.65,19011
19,12,31,10,32.26,21,67.74,19012
19,13,6,2,33.33,4,66.67,19013
19,14,25,9,36.0,16,64.0,19014
19,15,30,11,36.67,19,63.33,19015
19,16,29,5,17.24,24,82.76,19016
19,17,26,9,34.62,17,65.38,19017
19,18,26,5,19.23,21,80.77,19018
19,19,15,4,26.67,11,73.33,19019
19,20,18,7,38.89,11,61.11,19020
19,21,24,9,37.5,15,62.5,19021
19,22,35,13,37.14,22,62.86,19022
19,23,34,10,29.41,24,70.59,19023
19,24,38,10,26.32,28,73.68,19024
19,25,42,12,28.57,30,71.43,19025
19,26,38,10,26.32,28,73.68,19026
19,27,13,5,38.46,8,61.54,19027
19,29,31,7,22.58,24,77.42,19029
19,30,38,10,26.32,28,73.68,19030
19,31,29,9,31.03,20,68.97,19031
19,32,30,5,16.67,25,83.33,19032
19,33,36,10,27.78,26,72.22,19033
19,34,27,9,33.33,18,66.67,19034
19,35,14,5,35.71,9,64.29,19035
19,36,15,3,20.0,12,80.0,19036
19,37,20,11,55.0,9,45.0,19037
19,38,11,2,18.18,9,81.82,19038
19,39,3,2,66.67,1,33.33,19039
19,40,30,8,26.67,22,73.33,19040
19,41,33,9,27.27,24,72.73,19041
19,42,29,10,34.48,19,65.52,19042
19,44,33,10,30.3,23,69.7,19044
19,45,33,10,30.3,23,69.7,19045
19,46,32,17,53.13,15,46.88,19046
19,47,10,3,30.0,7,70.0,19047
19,49,15,6,40.0,9,60.0,19049
19,51,28,6,21.43,22,78.57,19051
19,52,38,13,34.21,25,65.79,19052
19,53,34,5,14.71,29,85.29,19053
19,54,37,9,24.32,28,75.68,19054
19,55,25,6,24.0,19,76.0,19055
19,56,29,3,10.34,26,89.66,19056
19,57,25,12,48.0,13,52.0,19057
19,58,40,10,25.0,30,75.0,19058
19,59,38,10,26.32,28,73.68,19059
19,61,25,8,32.0,17,68.0,19061
19,62,13,1,7.69,12,92.31,19062
19,63,11,3,27.27,8,72.73,19063
19,64,16,7,43.75,9,56.25,19064
19,65,7,2,28.57,5,71.43,19065
20,41,0,0,0.0,0,0.0,20041
23,1,20,5,25.0,15,75.0,23001
23,2,15,9,60.0,6,40.0,23002
23,3,26,10,38.46,16,61.54,23003
23,4,20,8,40.0,12,60.0,23004
23,5,9,2,22.22,7,77.78,23005
23,6,23,3,13.04,20,86.96,23006
23,7,0,0,0.0,0,0.0,23007
23,8,19,7,36.84,12,63.16,23008
23,10,11,3,27.27,8,72.73,23010
23,11,26,13,50.0,13,50.0,23011
23,12,28,9,32.14,19,67.86,23012
23,13,16,5,31.25,11,68.75,23013
23,14,0,0,0.0,0,0.0,23014
23,15,25,6,24.0,19,76.0,23015
23,16,20,11,55.0,9,45.0,23016
23,17,32,10,31.25,22,68.75,23017
23,18,21,9,42.86,12,57.14,23018
23,19,26,4,15.38,22,84.62,23019
23,20,13,2,15.38,11,84.62,23020
23,21,0,0,0.0,0,0.0,23021
23,22,18,3,16.67,15,83.33,23022
23,23,24,7,29.17,17,70.83,23023
23,25,21,7,33.33,14,66.67,23025
23,26,40,16,40.0,24,60.0,23026
23,27,21,8,38.1,13,61.9,23027
23,28,19,5,26.32,14,73.68,23028
23,30,21,3,14.29,18,85.71,23030
23,31,8,7,87.5,1,12.5,23031
23,32,9,6,66.67,3,33.33,23032
23,33,14,7,50.0,7,50.0,23033
23,34,15,6,40.0,9,60.0,23034
23,35,2,0,0.0,2,100.0,23035
23,36,26,10,38.46,16,61.54,23036
23,37,1,0,0.0,1,100.0,23037
23,38,17,6,35.29,11,64.71,23038
23,39,27,9,33.33,18,66.67,23039
23,40,31,18,58.06,13,41.94,23040
23,41,16,4,25.0,12,75.0,23041
23,42,17,7,41.18,10,58.82,23042
23,43,31,14,45.16,17,54.84,23043
23,44,13,6,46.15,7,53.85,23044
23,45,24,7,29.17,17,70.83,23045
23,46,12,5,41.67,7,58.33,23046
23,47,31,7,22.58,24,77.42,23047
23,48,16,7,43.75,9,56.25,23048
23,49,29,14,48.28,15,51.72,23049
23,50,9,4,44.44,5,55.56,23050
23,51,11,1,9.09,10,90.91,23051
23,52,17,2,11.76,15,88.24,23052
23,53,4,0,0.0,4,100.0,23053
23,54,29,10,34.48,19,65.52,23054
23,55,15,6,40.0,9,60.0,23055
23,56,22,6,27.27,16,72.73,23056
