ward,precinct,total,Tyrone Fahner (Bush),Tyrone Fahner (Bush) Percent,Muneer Ahmad Satter (Bush),Muneer Ahmad Satter (Bush) Percent,Katherine Dold White (Bush),Katherine Dold White (Bush) Percent,J. Blair Garber (Cruz),J. Blair Garber (Cruz) Percent,Jeffrey Stewart Shapiro (Cruz),Jeffrey Stewart Shapiro (Cruz) Percent,Jill Dolan (Cruz),Jill Dolan (Cruz) Percent,Nickolas Neubauer (Trump),Nickolas Neubauer (Trump) Percent,Linda Lucchese (Trump),Linda Lucchese (Trump) Percent,Ryan McElrath (Trump),Ryan McElrath (Trump) Percent,Gary Vandenbroucke (Christie),Gary Vandenbroucke (Christie) Percent,Laura Vandenbroucke (Christie),Laura Vandenbroucke (Christie) Percent,James R. Selegean (Christie),James R. Selegean (Christie) Percent,Penny Pullen (Santorum),Penny Pullen (Santorum) Percent,Jeannine M. Como (Santorum),Jeannine M. Como (Santorum) Percent,Mark R. Albers (Santorum),Mark R. Albers (Santorum) Percent,Stephen Cowen (Fiorina),Stephen Cowen (Fiorina) Percent,Jennifer Cowen (Fiorina),Jennifer Cowen (Fiorina) Percent,Judy Ortega (Fiorina),Judy Ortega (Fiorina) Percent,John A. Tsarpalas (Carson),John A. Tsarpalas (Carson) Percent,James D. Skyles (Carson),James D. Skyles (Carson) Percent,Jetta H. Boschen (Carson),Jetta H. Boschen (Carson) Percent,Justin Eugene Kuehlthau (Paul),Justin Eugene Kuehlthau (Paul) Percent,Michael Hager (Paul),Michael Hager (Paul) Percent,Jim O'Donnell (Paul),Jim O'Donnell (Paul) Percent,Brian Moran (Kasich),Brian Moran (Kasich) Percent,Pamela Kinsey Lungmus (Kasich),Pamela Kinsey Lungmus (Kasich) Percent,Marc Levine (Rubio),Marc Levine (Rubio) Percent,Susan Kelly Sweeney (Rubio),Susan Kelly Sweeney (Rubio) Percent,Kevin O'Connell (Rubio),Kevin O'Connell (Rubio) Percent,precinct_id
40,33,108,1,0.93,0,0.0,0,0.0,8,7.41,5,4.63,8,7.41,11,10.19,11,10.19,11,10.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.93,13,12.04,13,12.04,5,4.63,3,2.78,5,4.63,40033
40,35,99,1,1.01,2,2.02,6,6.06,10,10.1,8,8.08,13,13.13,10,10.1,9,9.09,6,6.06,0,0.0,1,1.01,0,0.0,0,0.0,0,0.0,0,0.0,1,1.01,1,1.01,0,0.0,1,1.01,1,1.01,1,1.01,1,1.01,0,0.0,0,0.0,6,6.06,4,4.04,3,3.03,3,3.03,6,6.06,40035
40,36,126,1,0.79,0,0.0,3,2.38,7,5.56,5,3.97,8,6.35,15,11.9,13,10.32,13,10.32,0,0.0,0,0.0,0,0.0,1,0.79,0,0.0,0,0.0,0,0.0,0,0.0,1,0.79,2,1.59,2,1.59,0,0.0,1,0.79,1,0.79,2,1.59,9,7.14,10,7.94,8,6.35,8,6.35,5,3.97,40036
40,37,98,0,0.0,1,1.02,1,1.02,11,11.22,9,9.18,8,8.16,10,10.2,10,10.2,8,8.16,0,0.0,0,0.0,0,0.0,1,1.02,1,1.02,0,0.0,1,1.02,0,0.0,2,2.04,0,0.0,0,0.0,1,1.02,0,0.0,1,1.02,1,1.02,8,8.16,6,6.12,5,5.1,1,1.02,3,3.06,40037
40,39,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,20.0,2,20.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,0,0.0,0,0.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,40039
41,1,405,3,0.74,2,0.49,3,0.74,28,6.91,23,5.68,33,8.15,79,19.51,81,20.0,81,20.0,1,0.25,0,0.0,0,0.0,0,0.0,2,0.49,0,0.0,1,0.25,2,0.49,3,0.74,5,1.23,3,0.74,1,0.25,1,0.25,4,0.99,1,0.25,9,2.22,9,2.22,8,1.98,6,1.48,6,1.48,41001
41,2,366,2,0.55,0,0.0,1,0.27,25,6.83,21,5.74,28,7.65,62,16.94,61,16.67,64,17.49,2,0.55,0,0.0,0,0.0,0,0.0,2,0.55,0,0.0,0,0.0,1,0.27,1,0.27,3,0.82,3,0.82,2,0.55,0,0.0,4,1.09,3,0.82,24,6.56,16,4.37,8,2.19,3,0.82,8,2.19,41002
41,4,269,0,0.0,0,0.0,3,1.12,11,4.09,7,2.6,13,4.83,51,18.96,53,19.7,47,17.47,1,0.37,1,0.37,1,0.37,0,0.0,2,0.74,0,0.0,0,0.0,0,0.0,1,0.37,1,0.37,2,0.74,0,0.0,0,0.0,0,0.0,2,0.74,17,6.32,12,4.46,9,3.35,8,2.97,9,3.35,41004
41,5,325,2,0.62,1,0.31,1,0.31,23,7.08,25,7.69,26,8.0,56,17.23,53,16.31,50,15.38,1,0.31,1,0.31,0,0.0,1,0.31,1,0.31,1,0.31,0,0.0,1,0.31,0,0.0,1,0.31,1,0.31,1,0.31,0,0.0,3,0.92,6,1.85,18,5.54,11,3.38,10,3.08,6,1.85,6,1.85,41005
41,7,388,1,0.26,0,0.0,4,1.03,16,4.12,18,4.64,21,5.41,62,15.98,62,15.98,57,14.69,1,0.26,1,0.26,1,0.26,1,0.26,1,0.26,0,0.0,1,0.26,2,0.52,2,0.52,1,0.26,1,0.26,1,0.26,1,0.26,6,1.55,6,1.55,37,9.54,28,7.22,8,2.06,5,1.29,7,1.8,41007
41,8,425,4,0.94,0,0.0,3,0.71,25,5.88,24,5.65,30,7.06,70,16.47,73,17.18,70,16.47,3,0.71,1,0.24,1,0.24,2,0.47,0,0.0,0,0.0,2,0.47,2,0.47,3,0.71,0,0.0,0,0.0,1,0.24,0,0.0,1,0.24,1,0.24,25,5.88,17,4.0,16,3.76,12,2.82,12,2.82,41008
41,10,314,0,0.0,1,0.32,5,1.59,12,3.82,12,3.82,15,4.78,47,14.97,47,14.97,48,15.29,1,0.32,0,0.0,0,0.0,0,0.0,0,0.0,1,0.32,0,0.0,1,0.32,0,0.0,6,1.91,3,0.96,4,1.27,1,0.32,2,0.64,2,0.64,30,9.55,21,6.69,9,2.87,5,1.59,8,2.55,41010
41,11,303,1,0.33,1,0.33,1,0.33,22,7.26,24,7.92,24,7.92,52,17.16,56,18.48,52,17.16,0,0.0,1,0.33,0,0.0,2,0.66,0,0.0,0,0.0,2,0.66,1,0.33,2,0.66,3,0.99,1,0.33,0,0.0,2,0.66,2,0.66,4,1.32,7,2.31,6,1.98,10,3.3,11,3.63,10,3.3,41011
41,13,437,6,1.37,2,0.46,4,0.92,34,7.78,33,7.55,39,8.92,77,17.62,73,16.7,71,16.25,3,0.69,2,0.46,0,0.0,0,0.0,3,0.69,0,0.0,0,0.0,1,0.23,0,0.0,1,0.23,1,0.23,2,0.46,1,0.23,1,0.23,2,0.46,17,3.89,13,2.97,12,2.75,8,1.83,13,2.97,41013
41,15,420,3,0.71,2,0.48,5,1.19,30,7.14,33,7.86,31,7.38,67,15.95,64,15.24,70,16.67,1,0.24,2,0.48,2,0.48,1,0.24,0,0.0,0,0.0,0,0.0,2,0.48,1,0.24,2,0.48,1,0.24,1,0.24,1,0.24,4,0.95,7,1.67,25,5.95,17,4.05,10,2.38,10,2.38,8,1.9,41015
41,17,46,0,0.0,0,0.0,0,0.0,3,6.52,3,6.52,3,6.52,4,8.7,4,8.7,5,10.87,1,2.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.17,1,2.17,2,4.35,1,2.17,6,13.04,4,8.7,0,0.0,1,2.17,2,4.35,41017
41,18,323,2,0.62,2,0.62,3,0.93,24,7.43,17,5.26,21,6.5,44,13.62,44,13.62,42,13.0,2,0.62,2,0.62,2,0.62,1,0.31,0,0.0,0,0.0,0,0.0,1,0.31,2,0.62,2,0.62,4,1.24,1,0.31,1,0.31,3,0.93,2,0.62,18,5.57,15,4.64,19,5.88,13,4.02,16,4.95,41018
41,20,285,5,1.75,2,0.7,3,1.05,17,5.96,10,3.51,16,5.61,50,17.54,51,17.89,50,17.54,1,0.35,1,0.35,1,0.35,0,0.0,0,0.0,1,0.35,1,0.35,0,0.0,0,0.0,2,0.7,0,0.0,0,0.0,3,1.05,2,0.7,3,1.05,16,5.61,12,4.21,7,2.46,8,2.81,7,2.46,41020
41,23,201,4,1.99,1,0.5,3,1.49,9,4.48,11,5.47,10,4.98,37,18.41,40,19.9,34,16.92,0,0.0,0,0.0,1,0.5,0,0.0,3,1.49,0,0.0,1,0.5,1,0.5,1,0.5,0,0.0,2,1.0,0,0.0,1,0.5,1,0.5,3,1.49,10,4.98,6,2.99,3,1.49,5,2.49,4,1.99,41023
41,25,208,3,1.44,0,0.0,3,1.44,11,5.29,10,4.81,9,4.33,41,19.71,40,19.23,41,19.71,2,0.96,1,0.48,1,0.48,1,0.48,1,0.48,0,0.0,0,0.0,1,0.48,0,0.0,2,0.96,0,0.0,0,0.0,0,0.0,1,0.48,0,0.0,9,4.33,7,3.37,7,3.37,5,2.4,4,1.92,41025
41,28,286,4,1.4,1,0.35,3,1.05,20,6.99,19,6.64,19,6.64,48,16.78,47,16.43,47,16.43,1,0.35,0,0.0,0,0.0,1,0.35,2,0.7,0,0.0,0,0.0,0,0.0,0,0.0,4,1.4,2,0.7,3,1.05,0,0.0,2,0.7,2,0.7,11,3.85,9,3.15,10,3.5,8,2.8,10,3.5,41028
41,29,253,7,2.77,3,1.19,3,1.19,16,6.32,16,6.32,14,5.53,50,19.76,50,19.76,44,17.39,2,0.79,1,0.4,0,0.0,1,0.4,4,1.58,2,0.79,1,0.4,1,0.4,1,0.4,1,0.4,1,0.4,1,0.4,2,0.79,3,1.19,2,0.79,6,2.37,3,1.19,5,1.98,4,1.58,3,1.19,41029
41,31,364,6,1.65,4,1.1,9,2.47,37,10.16,28,7.69,38,10.44,31,8.52,33,9.07,29,7.97,2,0.55,3,0.82,1,0.27,1,0.27,1,0.27,0,0.0,1,0.27,2,0.55,2,0.55,5,1.37,3,0.82,3,0.82,0,0.0,3,0.82,3,0.82,30,8.24,20,5.49,15,4.12,11,3.02,18,4.95,41031
41,33,47,0,0.0,0,0.0,0,0.0,1,2.13,1,2.13,1,2.13,11,23.4,10,21.28,10,21.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,6.38,1,2.13,3,6.38,1,2.13,2,4.26,41033
41,34,257,0,0.0,1,0.39,2,0.78,14,5.45,14,5.45,17,6.61,40,15.56,42,16.34,41,15.95,2,0.78,0,0.0,0,0.0,1,0.39,0,0.0,1,0.39,1,0.39,0,0.0,0,0.0,0,0.0,0,0.0,1,0.39,1,0.39,1,0.39,1,0.39,14,5.45,14,5.45,12,4.67,11,4.28,11,4.28,41034
41,36,374,0,0.0,0,0.0,1,0.27,20,5.35,18,4.81,22,5.88,72,19.25,72,19.25,66,17.65,2,0.53,2,0.53,2,0.53,0,0.0,2,0.53,0,0.0,0,0.0,0,0.0,0,0.0,2,0.53,3,0.8,1,0.27,0,0.0,1,0.27,1,0.27,22,5.88,19,5.08,8,2.14,7,1.87,7,1.87,41036
41,37,332,1,0.3,1,0.3,2,0.6,17,5.12,12,3.61,18,5.42,56,16.87,63,18.98,56,16.87,0,0.0,1,0.3,1,0.3,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,1,0.3,2,0.6,4,1.2,2,0.6,1,0.3,4,1.2,7,2.11,20,6.02,13,3.92,8,2.41,9,2.71,13,3.92,41037
41,40,442,5,1.13,1,0.23,3,0.68,33,7.47,35,7.92,38,8.6,64,14.48,69,15.61,69,15.61,1,0.23,1,0.23,1,0.23,2,0.45,1,0.23,1,0.23,2,0.45,1,0.23,1,0.23,1,0.23,4,0.9,2,0.45,0,0.0,3,0.68,4,0.9,29,6.56,18,4.07,7,1.58,6,1.36,11,2.49,41040
41,41,371,3,0.81,1,0.27,4,1.08,19,5.12,14,3.77,24,6.47,65,17.52,65,17.52,65,17.52,0,0.0,0,0.0,0,0.0,2,0.54,3,0.81,0,0.0,0,0.0,3,0.81,2,0.54,1,0.27,1,0.27,1,0.27,1,0.27,1,0.27,5,1.35,22,5.93,12,3.23,15,4.04,12,3.23,13,3.5,41041
41,42,341,2,0.59,2,0.59,6,1.76,18,5.28,16,4.69,21,6.16,60,17.6,63,18.48,63,18.48,0,0.0,2,0.59,0,0.0,0,0.0,2,0.59,1,0.29,0,0.0,0,0.0,0,0.0,4,1.17,5,1.47,3,0.88,0,0.0,2,0.59,2,0.59,18,5.28,15,4.4,6,1.76,3,0.88,7,2.05,41042
41,43,361,2,0.55,1,0.28,2,0.55,26,7.2,19,5.26,25,6.93,68,18.84,64,17.73,63,17.45,1,0.28,1,0.28,2,0.55,1,0.28,2,0.55,1,0.28,1,0.28,0,0.0,0,0.0,1,0.28,1,0.28,0,0.0,1,0.28,1,0.28,4,1.11,19,5.26,14,3.88,8,2.22,4,1.11,11,3.05,41043
41,44,423,3,0.71,2,0.47,5,1.18,28,6.62,28,6.62,31,7.33,64,15.13,63,14.89,64,15.13,0,0.0,0,0.0,1,0.24,0,0.0,1,0.24,0,0.0,3,0.71,1,0.24,2,0.47,1,0.24,1,0.24,1,0.24,0,0.0,0,0.0,2,0.47,23,5.44,16,3.78,20,4.73,15,3.55,22,5.2,41044
41,45,195,0,0.0,1,0.51,0,0.0,23,11.79,12,6.15,22,11.28,31,15.9,35,17.95,33,16.92,0,0.0,0,0.0,0,0.0,1,0.51,0,0.0,1,0.51,0,0.0,0,0.0,0,0.0,1,0.51,0,0.0,1,0.51,0,0.0,2,1.03,1,0.51,2,1.03,2,1.03,8,4.1,5,2.56,6,3.08,41045
44,3,162,2,1.23,1,0.62,2,1.23,5,3.09,3,1.85,6,3.7,21,12.96,19,11.73,19,11.73,1,0.62,0,0.0,0,0.0,1,0.62,0,0.0,0,0.0,1,0.62,0,0.0,1,0.62,1,0.62,1,0.62,0,0.0,1,0.62,1,0.62,1,0.62,17,10.49,15,9.26,12,7.41,6,3.7,6,3.7,44003
44,4,259,5,1.93,3,1.16,2,0.77,10,3.86,7,2.7,11,4.25,23,8.88,27,10.42,26,10.04,0,0.0,0,0.0,1,0.39,1,0.39,0,0.0,0,0.0,2,0.77,1,0.39,3,1.16,1,0.39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34,13.13,26,10.04,16,6.18,12,4.63,15,5.79,44004
44,7,258,2,0.78,2,0.78,2,0.78,15,5.81,10,3.88,14,5.43,27,10.47,27,10.47,27,10.47,0,0.0,1,0.39,0,0.0,1,0.39,1,0.39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34,13.18,21,8.14,15,5.81,13,5.04,13,5.04,44007
44,24,199,6,3.02,0,0.0,2,1.01,10,5.03,9,4.52,12,6.03,18,9.05,20,10.05,17,8.54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,24,12.06,16,8.04,14,7.04,10,5.03,10,5.03,44024
44,35,331,1,0.3,0,0.0,2,0.6,22,6.65,23,6.95,27,8.16,24,7.25,25,7.55,24,7.25,1,0.3,1,0.3,0,0.0,1,0.3,0,0.0,0,0.0,4,1.21,4,1.21,5,1.51,0,0.0,1,0.3,0,0.0,0,0.0,2,0.6,3,0.91,35,10.57,26,7.85,27,8.16,20,6.04,20,6.04,44035
46,1,124,2,1.61,2,1.61,2,1.61,7,5.65,6,4.84,7,5.65,14,11.29,14,11.29,13,10.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.81,0,0.0,1,0.81,1,0.81,2,1.61,1,0.81,2,1.61,0,0.0,1,0.81,2,1.61,13,10.48,13,10.48,3,2.42,4,3.23,2,1.61,46001
46,2,79,2,2.53,0,0.0,0,0.0,5,6.33,5,6.33,5,6.33,5,6.33,6,7.59,6,7.59,0,0.0,0,0.0,0,0.0,1,1.27,1,1.27,1,1.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,12.66,7,8.86,6,7.59,5,6.33,4,5.06,46002
46,4,108,0,0.0,1,0.93,0,0.0,3,2.78,2,1.85,3,2.78,8,7.41,5,4.63,6,5.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.93,0,0.0,1,0.93,1,0.93,1,0.93,1,0.93,1,0.93,1,0.93,2,1.85,2,1.85,13,12.04,11,10.19,10,9.26,11,10.19,9,8.33,46004
46,5,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.33,2,33.33,0,0.0,0,0.0,0,0.0,46005
46,6,32,0,0.0,0,0.0,2,6.25,0,0.0,0,0.0,1,3.13,7,21.88,8,25.0,7,21.88,0,0.0,0,0.0,1,3.13,1,3.13,0,0.0,0,0.0,0,0.0,1,3.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,6.25,1,3.13,0,0.0,0,0.0,0,0.0,46006
46,7,234,3,1.28,2,0.85,2,0.85,13,5.56,13,5.56,16,6.84,31,13.25,27,11.54,28,11.97,1,0.43,1,0.43,1,0.43,0,0.0,1,0.43,0,0.0,2,0.85,0,0.0,0,0.0,0,0.0,2,0.85,0,0.0,0,0.0,0,0.0,0,0.0,22,9.4,18,7.69,11,4.7,7,2.99,9,3.85,46007
46,8,97,2,2.06,2,2.06,2,2.06,4,4.12,3,3.09,3,3.09,20,20.62,19,19.59,18,18.56,0,0.0,0,0.0,0,0.0,2,2.06,0,0.0,1,1.03,0,0.0,0,0.0,1,1.03,0,0.0,1,1.03,0,0.0,0,0.0,1,1.03,0,0.0,5,5.15,3,3.09,1,1.03,2,2.06,1,1.03,46008
46,9,145,2,1.38,2,1.38,2,1.38,13,8.97,13,8.97,13,8.97,7,4.83,6,4.14,5,3.45,0,0.0,1,0.69,0,0.0,1,0.69,1,0.69,1,0.69,1,0.69,1,0.69,1,0.69,1,0.69,1,0.69,0,0.0,0,0.0,0,0.0,2,1.38,21,14.48,17,11.72,5,3.45,3,2.07,3,2.07,46009
46,11,230,1,0.43,0,0.0,2,0.87,14,6.09,16,6.96,18,7.83,27,11.74,28,12.17,28,12.17,1,0.43,1,0.43,1,0.43,0,0.0,0,0.0,4,1.74,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.43,2,0.87,0,0.0,19,8.26,16,6.96,14,6.09,7,3.04,9,3.91,46011
46,12,43,0,0.0,0,0.0,1,2.33,4,9.3,3,6.98,3,6.98,2,4.65,1,2.33,1,2.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.33,6,13.95,5,11.63,4,9.3,3,6.98,3,6.98,46012
46,13,156,1,0.64,0,0.0,1,0.64,9,5.77,6,3.85,10,6.41,7,4.49,8,5.13,8,5.13,0,0.0,1,0.64,0,0.0,1,0.64,0,0.0,0,0.0,0,0.0,1,0.64,1,0.64,0,0.0,1,0.64,0,0.0,0,0.0,2,1.28,3,1.92,27,17.31,21,13.46,6,3.85,6,3.85,5,3.21,46013
46,14,79,2,2.53,2,2.53,1,1.27,9,11.39,9,11.39,8,10.13,8,10.13,9,11.39,8,10.13,1,1.27,1,1.27,0,0.0,0,0.0,0,0.0,1,1.27,0,0.0,1,1.27,0,0.0,1,1.27,2,2.53,0,0.0,0,0.0,1,1.27,1,1.27,3,3.8,3,3.8,1,1.27,1,1.27,2,2.53,46014
46,15,239,1,0.42,1,0.42,2,0.84,23,9.62,22,9.21,24,10.04,15,6.28,16,6.69,13,5.44,0,0.0,1,0.42,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.84,0,0.0,0,0.0,2,0.84,1,0.42,0,0.0,0,0.0,2,0.84,30,12.55,21,8.79,14,5.86,9,3.77,9,3.77,46015
46,16,93,2,2.15,1,1.08,2,2.15,5,5.38,6,6.45,5,5.38,9,9.68,10,10.75,10,10.75,0,0.0,0,0.0,1,1.08,0,0.0,0,0.0,0,0.0,0,0.0,1,1.08,0,0.0,1,1.08,0,0.0,0,0.0,0,0.0,0,0.0,1,1.08,7,7.53,6,6.45,7,7.53,6,6.45,5,5.38,46016
46,17,238,2,0.84,1,0.42,1,0.42,16,6.72,12,5.04,14,5.88,29,12.18,30,12.61,29,12.18,1,0.42,1,0.42,1,0.42,1,0.42,0,0.0,0,0.0,1,0.42,2,0.84,2,0.84,1,0.42,1,0.42,1,0.42,0,0.0,1,0.42,3,1.26,21,8.82,18,7.56,11,4.62,6,2.52,6,2.52,46017
46,18,286,2,0.7,1,0.35,2,0.7,18,6.29,12,4.2,19,6.64,33,11.54,32,11.19,30,10.49,1,0.35,1,0.35,1,0.35,1,0.35,0,0.0,1,0.35,0,0.0,2,0.7,2,0.7,2,0.7,2,0.7,1,0.35,0,0.0,1,0.35,0,0.0,30,10.49,26,9.09,14,4.9,9,3.15,12,4.2,46018
46,20,72,1,1.39,1,1.39,2,2.78,6,8.33,4,5.56,4,5.56,7,9.72,8,11.11,8,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.78,1,1.39,2,2.78,2,2.78,8,11.11,6,8.33,7,9.72,46020
