ward,precinct,total,Lauren Baker (Christie),Lauren Baker (Christie) Percent,Christopher M. Adams (Christie),Christopher M. Adams (Christie) Percent,Robert O'Malley (Christie),Robert O'Malley (Christie) Percent,Chris Cleveland (Cruz),Chris Cleveland (Cruz) Percent,Sean O'Leary (Cruz),Sean O'Leary (Cruz) Percent,James Strzalka (Cruz),James Strzalka (Cruz) Percent,John M. Dorgan (Bush),John M. Dorgan (Bush) Percent,Chris Nybo (Bush),Chris Nybo (Bush) Percent,R. Stratford Shields (Bush),R. Stratford Shields (Bush) Percent,Kathleen Goro (Trump),Kathleen Goro (Trump) Percent,Lori Gayne (Trump),Lori Gayne (Trump) Percent,Mark Fratella (Trump),Mark Fratella (Trump) Percent,Allen Carter (Fiorina),Allen Carter (Fiorina) Percent,Mary Carter (Fiorina),Mary Carter (Fiorina) Percent,Michael Golde (Fiorina),Michael Golde (Fiorina) Percent,Daniel J. Cronin (Kasich),Daniel J. Cronin (Kasich) Percent,Dale E. Kleber (Kasich),Dale E. Kleber (Kasich) Percent,Kayleen M. Carlson (Kasich),Kayleen M. Carlson (Kasich) Percent,Christopher Grozev (Rubio),Christopher Grozev (Rubio) Percent,A. Christine Svenson (Rubio),A. Christine Svenson (Rubio) Percent,Mark Cavers (Rubio),Mark Cavers (Rubio) Percent,Scott Davis (Paul),Scott Davis (Paul) Percent,James Babiarz (Paul),James Babiarz (Paul) Percent,Ruben Chaljub (Paul),Ruben Chaljub (Paul) Percent,Christian C. Schultz (Carson),Christian C. Schultz (Carson) Percent,Walter L. Crowley (Carson),Walter L. Crowley (Carson) Percent,Robert J. Mowry (Carson),Robert J. Mowry (Carson) Percent,precinct_id
1,32,81,0,0.0,0,0.0,1,1.23,2,2.47,4,4.94,2,2.47,2,2.47,0,0.0,0,0.0,8,9.88,8,9.88,10,12.35,0,0.0,0,0.0,0,0.0,14,17.28,13,16.05,12,14.81,1,1.23,2,2.47,1,1.23,0,0.0,0,0.0,0,0.0,0,0.0,1,1.23,0,0.0,01032
1,33,145,2,1.38,1,0.69,4,2.76,8,5.52,9,6.21,7,4.83,1,0.69,0,0.0,1,0.69,13,8.97,12,8.28,13,8.97,0,0.0,0,0.0,1,0.69,17,11.72,16,11.03,13,8.97,9,6.21,8,5.52,10,6.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01033
1,35,182,0,0.0,0,0.0,3,1.65,12,6.59,16,8.79,11,6.04,1,0.55,0,0.0,0,0.0,18,9.89,16,8.79,21,11.54,3,1.65,2,1.1,2,1.1,17,9.34,15,8.24,17,9.34,9,4.95,6,3.3,10,5.49,2,1.1,0,0.0,0,0.0,0,0.0,1,0.55,0,0.0,01035
1,36,195,0,0.0,2,1.03,3,1.54,12,6.15,15,7.69,13,6.67,1,0.51,1,0.51,0,0.0,15,7.69,14,7.18,16,8.21,0,0.0,1,0.51,0,0.0,30,15.38,24,12.31,23,11.79,6,3.08,4,2.05,7,3.59,2,1.03,1,0.51,1,0.51,2,1.03,1,0.51,1,0.51,01036
1,37,154,0,0.0,0,0.0,2,1.3,6,3.9,8,5.19,6,3.9,0,0.0,0,0.0,0,0.0,21,13.64,19,12.34,24,15.58,0,0.0,0,0.0,0,0.0,18,11.69,13,8.44,15,9.74,5,3.25,6,3.9,9,5.84,0,0.0,0,0.0,0,0.0,0,0.0,1,0.65,1,0.65,01037
1,38,32,0,0.0,0,0.0,0,0.0,2,6.25,2,6.25,0,0.0,0,0.0,0,0.0,0,0.0,3,9.38,4,12.5,3,9.38,0,0.0,0,0.0,0,0.0,4,12.5,3,9.38,3,9.38,2,6.25,1,3.13,1,3.13,0,0.0,0,0.0,0,0.0,2,6.25,1,3.13,1,3.13,01038
1,39,108,0,0.0,0,0.0,1,0.93,8,7.41,9,8.33,7,6.48,1,0.93,1,0.93,1,0.93,7,6.48,8,7.41,8,7.41,0,0.0,0,0.0,0,0.0,15,13.89,12,11.11,14,12.96,5,4.63,3,2.78,6,5.56,0,0.0,0,0.0,0,0.0,0,0.0,1,0.93,1,0.93,01039
1,40,104,0,0.0,0,0.0,2,1.92,4,3.85,5,4.81,5,4.81,1,0.96,2,1.92,1,0.96,10,9.62,7,6.73,6,5.77,1,0.96,1,0.96,0,0.0,14,13.46,17,16.35,15,14.42,3,2.88,3,2.88,5,4.81,0,0.0,0,0.0,1,0.96,0,0.0,1,0.96,0,0.0,01040
2,1,149,0,0.0,0,0.0,0,0.0,6,4.03,7,4.7,5,3.36,1,0.67,1,0.67,1,0.67,12,8.05,13,8.72,11,7.38,1,0.67,0,0.0,0,0.0,23,15.44,20,13.42,20,13.42,10,6.71,6,4.03,9,6.04,1,0.67,0,0.0,0,0.0,0,0.0,1,0.67,1,0.67,02001
2,3,185,3,1.62,0,0.0,1,0.54,5,2.7,4,2.16,3,1.62,1,0.54,2,1.08,3,1.62,18,9.73,15,8.11,16,8.65,1,0.54,2,1.08,1,0.54,30,16.22,25,13.51,29,15.68,5,2.7,6,3.24,9,4.86,1,0.54,1,0.54,1,0.54,0,0.0,3,1.62,0,0.0,02003
2,4,108,0,0.0,0,0.0,0,0.0,8,7.41,8,7.41,7,6.48,2,1.85,0,0.0,0,0.0,10,9.26,8,7.41,11,10.19,0,0.0,0,0.0,0,0.0,14,12.96,14,12.96,14,12.96,4,3.7,3,2.78,4,3.7,0,0.0,1,0.93,0,0.0,0,0.0,0,0.0,0,0.0,02004
2,5,213,3,1.41,0,0.0,2,0.94,13,6.1,13,6.1,11,5.16,2,0.94,3,1.41,1,0.47,16,7.51,18,8.45,18,8.45,1,0.47,1,0.47,0,0.0,26,12.21,24,11.27,23,10.8,12,5.63,10,4.69,10,4.69,3,1.41,2,0.94,1,0.47,0,0.0,0,0.0,0,0.0,02005
2,6,164,2,1.22,1,0.61,2,1.22,7,4.27,5,3.05,7,4.27,3,1.83,1,0.61,1,0.61,10,6.1,6,3.66,7,4.27,2,1.22,0,0.0,2,1.22,27,16.46,25,15.24,24,14.63,10,6.1,6,3.66,10,6.1,1,0.61,2,1.22,1,0.61,2,1.22,0,0.0,0,0.0,02006
2,7,140,3,2.14,1,0.71,2,1.43,8,5.71,8,5.71,7,5.0,1,0.71,1,0.71,0,0.0,5,3.57,5,3.57,7,5.0,0,0.0,0,0.0,0,0.0,20,14.29,20,14.29,21,15.0,10,7.14,8,5.71,11,7.86,1,0.71,0,0.0,0,0.0,0,0.0,1,0.71,0,0.0,02007
2,8,215,1,0.47,0,0.0,4,1.86,7,3.26,9,4.19,6,2.79,0,0.0,2,0.93,1,0.47,13,6.05,10,4.65,11,5.12,0,0.0,1,0.47,0,0.0,39,18.14,39,18.14,40,18.6,10,4.65,8,3.72,9,4.19,1,0.47,0,0.0,0,0.0,1,0.47,1,0.47,2,0.93,02008
2,12,166,1,0.6,1,0.6,2,1.2,12,7.23,12,7.23,9,5.42,1,0.6,0,0.0,0,0.0,9,5.42,9,5.42,8,4.82,0,0.0,0,0.0,0,0.0,29,17.47,29,17.47,28,16.87,5,3.01,4,2.41,4,2.41,0,0.0,0,0.0,0,0.0,1,0.6,1,0.6,1,0.6,02012
2,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02014
2,15,159,1,0.63,1,0.63,0,0.0,11,6.92,11,6.92,10,6.29,0,0.0,2,1.26,1,0.63,15,9.43,17,10.69,15,9.43,0,0.0,1,0.63,0,0.0,16,10.06,15,9.43,16,10.06,6,3.77,5,3.14,6,3.77,3,1.89,2,1.26,2,1.26,1,0.63,1,0.63,1,0.63,02015
2,16,135,0,0.0,1,0.74,0,0.0,7,5.19,7,5.19,5,3.7,1,0.74,0,0.0,0,0.0,7,5.19,10,7.41,7,5.19,0,0.0,0,0.0,0,0.0,25,18.52,23,17.04,22,16.3,7,5.19,3,2.22,6,4.44,1,0.74,1,0.74,1,0.74,1,0.74,0,0.0,0,0.0,02016
2,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02017
2,20,163,1,0.61,1,0.61,1,0.61,8,4.91,11,6.75,9,5.52,0,0.0,0,0.0,0,0.0,10,6.13,9,5.52,12,7.36,1,0.61,1,0.61,0,0.0,27,16.56,21,12.88,21,12.88,9,5.52,8,4.91,9,5.52,0,0.0,0,0.0,0,0.0,1,0.61,2,1.23,1,0.61,02020
2,21,139,2,1.44,1,0.72,2,1.44,5,3.6,5,3.6,4,2.88,0,0.0,0,0.0,0,0.0,16,11.51,16,11.51,17,12.23,0,0.0,0,0.0,0,0.0,20,14.39,19,13.67,21,15.11,2,1.44,2,1.44,4,2.88,1,0.72,1,0.72,1,0.72,0,0.0,0,0.0,0,0.0,02021
2,22,379,0,0.0,0,0.0,3,0.79,10,2.64,9,2.37,8,2.11,0,0.0,1,0.26,0,0.0,31,8.18,30,7.92,31,8.18,1,0.26,1,0.26,1,0.26,64,16.89,65,17.15,64,16.89,21,5.54,17,4.49,18,4.75,1,0.26,1,0.26,1,0.26,0,0.0,1,0.26,0,0.0,02022
2,24,256,0,0.0,0,0.0,1,0.39,10,3.91,12,4.69,9,3.52,4,1.56,1,0.39,1,0.39,16,6.25,16,6.25,16,6.25,0,0.0,0,0.0,0,0.0,48,18.75,45,17.58,44,17.19,12,4.69,9,3.52,12,4.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02024
2,25,177,1,0.56,2,1.13,1,0.56,5,2.82,3,1.69,5,2.82,1,0.56,1,0.56,1,0.56,11,6.21,8,4.52,7,3.95,2,1.13,0,0.0,0,0.0,38,21.47,34,19.21,33,18.64,9,5.08,7,3.95,6,3.39,0,0.0,0,0.0,1,0.56,0,0.0,1,0.56,0,0.0,02025
2,26,222,1,0.45,0,0.0,0,0.0,9,4.05,7,3.15,6,2.7,1,0.45,0,0.0,2,0.9,15,6.76,16,7.21,17,7.66,1,0.45,0,0.0,0,0.0,40,18.02,34,15.32,37,16.67,11,4.95,8,3.6,12,5.41,1,0.45,2,0.9,1,0.45,0,0.0,1,0.45,0,0.0,02026
2,28,334,3,0.9,1,0.3,7,2.1,19,5.69,21,6.29,20,5.99,6,1.8,3,0.9,2,0.6,36,10.78,33,9.88,30,8.98,1,0.3,3,0.9,1,0.3,40,11.98,38,11.38,37,11.08,10,2.99,7,2.1,13,3.89,1,0.3,1,0.3,1,0.3,0,0.0,0,0.0,0,0.0,02028
2,30,371,2,0.54,1,0.27,1,0.27,21,5.66,22,5.93,20,5.39,1,0.27,1,0.27,1,0.27,40,10.78,40,10.78,38,10.24,1,0.27,3,0.81,0,0.0,49,13.21,46,12.4,49,13.21,12,3.23,9,2.43,9,2.43,1,0.27,0,0.0,1,0.27,1,0.27,2,0.54,0,0.0,02030
2,31,430,3,0.7,1,0.23,2,0.47,7,1.63,10,2.33,7,1.63,1,0.23,1,0.23,0,0.0,36,8.37,35,8.14,36,8.37,1,0.23,1,0.23,0,0.0,82,19.07,83,19.3,83,19.3,11,2.56,8,1.86,13,3.02,2,0.47,2,0.47,0,0.0,1,0.23,2,0.47,2,0.47,02031
2,33,468,4,0.85,3,0.64,3,0.64,20,4.27,21,4.49,16,3.42,2,0.43,2,0.43,2,0.43,48,10.26,44,9.4,47,10.04,0,0.0,1,0.21,1,0.21,73,15.6,65,13.89,65,13.89,15,3.21,14,2.99,16,3.42,3,0.64,0,0.0,0,0.0,1,0.21,2,0.43,0,0.0,02033
2,37,311,1,0.32,1,0.32,2,0.64,16,5.14,17,5.47,13,4.18,1,0.32,0,0.0,1,0.32,33,10.61,32,10.29,35,11.25,0,0.0,0,0.0,1,0.32,39,12.54,37,11.9,36,11.58,14,4.5,12,3.86,14,4.5,1,0.32,3,0.96,1,0.32,0,0.0,1,0.32,0,0.0,02037
2,38,99,0,0.0,0,0.0,0,0.0,4,4.04,6,6.06,4,4.04,0,0.0,0,0.0,0,0.0,8,8.08,8,8.08,8,8.08,0,0.0,0,0.0,0,0.0,18,18.18,17,17.17,17,17.17,4,4.04,2,2.02,3,3.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02038
2,44,236,0,0.0,0,0.0,1,0.42,13,5.51,12,5.08,11,4.66,1,0.42,1,0.42,1,0.42,21,8.9,21,8.9,22,9.32,1,0.42,2,0.85,1,0.42,35,14.83,28,11.86,30,12.71,12,5.08,7,2.97,12,5.08,0,0.0,0,0.0,0,0.0,2,0.85,1,0.42,1,0.42,02044
25,32,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25032
26,28,32,0,0.0,0,0.0,0,0.0,0,0.0,1,3.13,0,0.0,0,0.0,0,0.0,0,0.0,4,12.5,4,12.5,4,12.5,0,0.0,0,0.0,0,0.0,5,15.63,3,9.38,3,9.38,2,6.25,2,6.25,4,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26028
26,32,133,1,0.75,0,0.0,0,0.0,2,1.5,3,2.26,3,2.26,0,0.0,0,0.0,0,0.0,17,12.78,17,12.78,18,13.53,1,0.75,0,0.0,0,0.0,17,12.78,16,12.03,18,13.53,7,5.26,6,4.51,7,5.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26032
27,7,111,1,0.9,0,0.0,0,0.0,3,2.7,3,2.7,4,3.6,1,0.9,1,0.9,0,0.0,13,11.71,10,9.01,8,7.21,0,0.0,1,0.9,0,0.0,12,10.81,11,9.91,9,8.11,11,9.91,10,9.01,12,10.81,0,0.0,1,0.9,0,0.0,0,0.0,0,0.0,0,0.0,27007
27,12,167,2,1.2,0,0.0,1,0.6,6,3.59,7,4.19,7,4.19,1,0.6,1,0.6,0,0.0,17,10.18,14,8.38,15,8.98,0,0.0,1,0.6,0,0.0,29,17.37,27,16.17,27,16.17,1,0.6,2,1.2,5,2.99,1,0.6,1,0.6,1,0.6,0,0.0,1,0.6,0,0.0,27012
27,13,18,0,0.0,0,0.0,0,0.0,2,11.11,2,11.11,2,11.11,0,0.0,0,0.0,0,0.0,1,5.56,1,5.56,1,5.56,0,0.0,0,0.0,0,0.0,3,16.67,3,16.67,3,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27013
27,27,9,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27027
27,35,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27035
27,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27037
27,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27040
27,42,154,0,0.0,0,0.0,1,0.65,9,5.84,8,5.19,8,5.19,0,0.0,0,0.0,0,0.0,18,11.69,17,11.04,17,11.04,0,0.0,0,0.0,0,0.0,18,11.69,17,11.04,18,11.69,7,4.55,5,3.25,5,3.25,1,0.65,1,0.65,1,0.65,1,0.65,1,0.65,1,0.65,27042
27,43,12,0,0.0,0,0.0,0,0.0,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,2,16.67,2,16.67,2,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,27043
27,46,218,2,0.92,0,0.0,2,0.92,11,5.05,11,5.05,10,4.59,2,0.92,2,0.92,2,0.92,12,5.5,13,5.96,13,5.96,0,0.0,3,1.38,0,0.0,37,16.97,36,16.51,38,17.43,8,3.67,7,3.21,8,3.67,1,0.46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27046
29,23,21,0,0.0,0,0.0,0,0.0,1,4.76,2,9.52,3,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.76,0,0.0,0,0.0,0,0.0,2,9.52,2,9.52,2,9.52,3,14.29,2,9.52,3,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29023
29,29,166,1,0.6,0,0.0,1,0.6,15,9.04,15,9.04,15,9.04,1,0.6,1,0.6,0,0.0,23,13.86,25,15.06,25,15.06,2,1.2,2,1.2,0,0.0,6,3.61,6,3.61,7,4.22,3,1.81,4,2.41,8,4.82,0,0.0,3,1.81,0,0.0,1,0.6,1,0.6,1,0.6,29029
29,31,254,1,0.39,2,0.79,8,3.15,13,5.12,13,5.12,15,5.91,2,0.79,2,0.79,2,0.79,43,16.93,39,15.35,42,16.54,1,0.39,0,0.0,0,0.0,11,4.33,8,3.15,9,3.54,12,4.72,10,3.94,12,4.72,2,0.79,4,1.57,1,0.39,0,0.0,1,0.39,1,0.39,29031
29,32,243,5,2.06,1,0.41,3,1.23,12,4.94,10,4.12,17,7.0,3,1.23,0,0.0,1,0.41,48,19.75,45,18.52,46,18.93,1,0.41,2,0.82,0,0.0,7,2.88,7,2.88,5,2.06,11,4.53,4,1.65,9,3.7,0,0.0,5,2.06,0,0.0,0,0.0,1,0.41,0,0.0,29032
29,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29038
29,39,80,1,1.25,0,0.0,1,1.25,5,6.25,6,7.5,6,7.5,0,0.0,0,0.0,0,0.0,16,20.0,15,18.75,17,21.25,0,0.0,0,0.0,0,0.0,3,3.75,2,2.5,3,3.75,1,1.25,1,1.25,1,1.25,0,0.0,0,0.0,0,0.0,0,0.0,1,1.25,1,1.25,29039
30,15,111,0,0.0,0,0.0,2,1.8,13,11.71,12,10.81,11,9.91,1,0.9,1,0.9,1,0.9,8,7.21,7,6.31,7,6.31,0,0.0,0,0.0,0,0.0,13,11.71,10,9.01,10,9.01,4,3.6,4,3.6,4,3.6,0,0.0,0,0.0,1,0.9,0,0.0,1,0.9,1,0.9,30015
30,17,62,0,0.0,0,0.0,0,0.0,6,9.68,9,14.52,8,12.9,0,0.0,1,1.61,0,0.0,6,9.68,8,12.9,5,8.06,0,0.0,0,0.0,0,0.0,1,1.61,2,3.23,2,3.23,3,4.84,2,3.23,4,6.45,3,4.84,2,3.23,0,0.0,0,0.0,0,0.0,0,0.0,30017
30,21,80,0,0.0,1,1.25,3,3.75,7,8.75,9,11.25,6,7.5,1,1.25,0,0.0,1,1.25,12,15.0,16,20.0,15,18.75,2,2.5,1,1.25,0,0.0,1,1.25,0,0.0,1,1.25,1,1.25,1,1.25,1,1.25,0,0.0,1,1.25,0,0.0,0,0.0,0,0.0,0,0.0,30021
32,1,224,3,1.34,2,0.89,2,0.89,9,4.02,11,4.91,8,3.57,3,1.34,2,0.89,1,0.45,18,8.04,20,8.93,20,8.93,2,0.89,1,0.45,1,0.45,29,12.95,27,12.05,30,13.39,13,5.8,5,2.23,8,3.57,1,0.45,0,0.0,0,0.0,1,0.45,3,1.34,4,1.79,32001
32,2,249,1,0.4,1,0.4,2,0.8,13,5.22,15,6.02,12,4.82,3,1.2,2,0.8,5,2.01,13,5.22,14,5.62,13,5.22,0,0.0,2,0.8,0,0.0,42,16.87,33,13.25,36,14.46,16,6.43,8,3.21,14,5.62,1,0.4,1,0.4,1,0.4,0,0.0,1,0.4,0,0.0,32002
32,4,172,1,0.58,0,0.0,2,1.16,5,2.91,4,2.33,4,2.33,1,0.58,2,1.16,1,0.58,7,4.07,7,4.07,7,4.07,0,0.0,0,0.0,0,0.0,39,22.67,38,22.09,40,23.26,5,2.91,5,2.91,3,1.74,1,0.58,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32004
32,5,182,1,0.55,1,0.55,2,1.1,11,6.04,12,6.59,9,4.95,1,0.55,1,0.55,1,0.55,10,5.49,9,4.95,11,6.04,0,0.0,0,0.0,1,0.55,30,16.48,27,14.84,27,14.84,8,4.4,8,4.4,9,4.95,0,0.0,0,0.0,0,0.0,1,0.55,1,0.55,1,0.55,32005
32,6,228,3,1.32,1,0.44,2,0.88,8,3.51,7,3.07,7,3.07,1,0.44,1,0.44,1,0.44,6,2.63,6,2.63,10,4.39,0,0.0,1,0.44,0,0.0,36,15.79,38,16.67,39,17.11,20,8.77,15,6.58,18,7.89,2,0.88,3,1.32,3,1.32,0,0.0,0,0.0,0,0.0,32006
32,7,291,0,0.0,0,0.0,0,0.0,13,4.47,15,5.15,11,3.78,3,1.03,3,1.03,2,0.69,13,4.47,12,4.12,14,4.81,1,0.34,0,0.0,0,0.0,50,17.18,50,17.18,47,16.15,19,6.53,17,5.84,20,6.87,0,0.0,0,0.0,0,0.0,1,0.34,0,0.0,0,0.0,32007
