ward,precinct,total,Aaron Brager (Trump),Aaron Brager (Trump) Percent,Janet Tavakoli (Trump),Janet Tavakoli (Trump) Percent,Evan Andrew Feigenbaum (Bush),Evan Andrew Feigenbaum (Bush) Percent,Gregory J. Hart (Bush),Gregory J. Hart (Bush) Percent,Mark S. Hosty (Bush),Mark S. Hosty (Bush) Percent,Suneet Lad (Christie),Suneet Lad (Christie) Percent,William S. Zeiler (Christie),William S. Zeiler (Christie) Percent,William J. Zeiler (Christie),William J. Zeiler (Christie) Percent,Michael Provenzano (Cruz),Michael Provenzano (Cruz) Percent,Matthew Limbert (Cruz),Matthew Limbert (Cruz) Percent,Wayne Heusel (Cruz),Wayne Heusel (Cruz) Percent,Jeffrey ''Jeff'' Durkes (Fiorina),Jeffrey ''Jeff'' Durkes (Fiorina) Percent,Jennifer Koerner (Fiorina),Jennifer Koerner (Fiorina) Percent,Joseph ''Joe'' Dusek (Fiorina),Joseph ''Joe'' Dusek (Fiorina) Percent,Darlene Brown (Carson),Darlene Brown (Carson) Percent,Adrian J. Wright (Carson),Adrian J. Wright (Carson) Percent,Yvonne Franklin (Carson),Yvonne Franklin (Carson) Percent,Erin Broderick (Rubio),Erin Broderick (Rubio) Percent,Thomas C. Cronin (Rubio),Thomas C. Cronin (Rubio) Percent,Eric Pulia (Rubio),Eric Pulia (Rubio) Percent,Helene Marie Cissell (Kasich),Helene Marie Cissell (Kasich) Percent,Bruno H. Behrend (Kasich),Bruno H. Behrend (Kasich) Percent,Ellen Wesley (Kasich),Ellen Wesley (Kasich) Percent,precinct_id
2,21,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,40.0,2,40.0,02021
2,23,251,17,6.77,18,7.17,1,0.4,3,1.2,3,1.2,0,0.0,0,0.0,0,0.0,14,5.58,14,5.58,11,4.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,2.79,5,1.99,7,2.79,42,16.73,45,17.93,47,18.73,02023
2,27,336,47,13.99,44,13.1,0,0.0,2,0.6,2,0.6,0,0.0,1,0.3,0,0.0,20,5.95,21,6.25,18,5.36,1,0.3,0,0.0,0,0.0,0,0.0,1,0.3,1,0.3,16,4.76,12,3.57,11,3.27,28,8.33,34,10.12,32,9.52,02027
2,28,28,2,7.14,1,3.57,1,3.57,0,0.0,0,0.0,0,0.0,1,3.57,1,3.57,2,7.14,1,3.57,1,3.57,0,0.0,0,0.0,0,0.0,0,0.0,1,3.57,0,0.0,1,3.57,2,7.14,1,3.57,3,10.71,4,14.29,5,17.86,02028
2,29,397,48,12.09,49,12.34,1,0.25,2,0.5,1,0.25,0,0.0,0,0.0,0,0.0,20,5.04,22,5.54,21,5.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.25,22,5.54,22,5.54,22,5.54,32,8.06,44,11.08,40,10.08,02029
2,32,246,17,6.91,20,8.13,0,0.0,0,0.0,1,0.41,0,0.0,0,0.0,0,0.0,14,5.69,14,5.69,12,4.88,0,0.0,2,0.81,1,0.41,1,0.41,1,0.41,2,0.81,13,5.28,10,4.07,9,3.66,39,15.85,35,14.23,39,15.85,02032
2,34,317,24,7.57,23,7.26,2,0.63,3,0.95,4,1.26,0,0.0,1,0.32,0,0.0,7,2.21,7,2.21,8,2.52,0,0.0,3,0.95,2,0.63,0,0.0,1,0.32,0,0.0,18,5.68,18,5.68,18,5.68,39,12.3,59,18.61,56,17.67,02034
2,35,373,20,5.36,18,4.83,0,0.0,2,0.54,2,0.54,0,0.0,2,0.54,2,0.54,20,5.36,26,6.97,21,5.63,0,0.0,3,0.8,1,0.27,1,0.27,1,0.27,3,0.8,24,6.43,19,5.09,18,4.83,50,13.4,60,16.09,60,16.09,02035
2,36,251,25,9.96,27,10.76,2,0.8,3,1.2,3,1.2,0,0.0,0,0.0,1,0.4,10,3.98,10,3.98,8,3.19,1,0.4,2,0.8,4,1.59,2,0.8,1,0.4,1,0.4,11,4.38,12,4.78,11,4.38,30,11.95,31,12.35,32,12.75,02036
2,38,236,24,10.17,26,11.02,1,0.42,1,0.42,1,0.42,0,0.0,1,0.42,2,0.85,16,6.78,16,6.78,15,6.36,0,0.0,1,0.42,0,0.0,0,0.0,0,0.0,0,0.0,11,4.66,11,4.66,11,4.66,25,10.59,25,10.59,27,11.44,02038
2,39,249,40,16.06,45,18.07,3,1.2,2,0.8,1,0.4,1,0.4,2,0.8,1,0.4,14,5.62,11,4.42,12,4.82,0,0.0,0,0.0,3,1.2,0,0.0,2,0.8,0,0.0,7,2.81,7,2.81,6,2.41,17,6.83,18,7.23,18,7.23,02039
2,40,316,33,10.44,37,11.71,1,0.32,2,0.63,1,0.32,2,0.63,5,1.58,6,1.9,17,5.38,19,6.01,16,5.06,0,0.0,1,0.32,1,0.32,1,0.32,2,0.63,0,0.0,12,3.8,13,4.11,14,4.43,32,10.13,34,10.76,36,11.39,02040
2,41,328,27,8.23,30,9.15,0,0.0,1,0.3,1,0.3,0,0.0,1,0.3,0,0.0,23,7.01,21,6.4,18,5.49,0,0.0,0,0.0,0,0.0,1,0.3,2,0.61,1,0.3,21,6.4,18,5.49,18,5.49,34,10.37,42,12.8,39,11.89,02041
2,42,257,20,7.78,18,7.0,2,0.78,4,1.56,3,1.17,1,0.39,2,0.78,0,0.0,19,7.39,18,7.0,15,5.84,1,0.39,2,0.78,1,0.39,2,0.78,1,0.39,1,0.39,13,5.06,13,5.06,13,5.06,30,11.67,29,11.28,30,11.67,02042
2,43,474,52,10.97,52,10.97,2,0.42,5,1.05,5,1.05,2,0.42,2,0.42,0,0.0,16,3.38,16,3.38,13,2.74,1,0.21,3,0.63,0,0.0,0,0.0,1,0.21,0,0.0,33,6.96,30,6.33,27,5.7,50,10.55,57,12.03,54,11.39,02043
2,45,223,20,8.97,17,7.62,0,0.0,4,1.79,2,0.9,2,0.9,0,0.0,2,0.9,17,7.62,13,5.83,10,4.48,0,0.0,3,1.35,0,0.0,3,1.35,3,1.35,2,0.9,11,4.93,13,5.83,10,4.48,22,9.87,26,11.66,27,12.11,02045
2,46,179,11,6.15,11,6.15,1,0.56,2,1.12,1,0.56,0,0.0,2,1.12,1,0.56,9,5.03,13,7.26,11,6.15,1,0.56,0,0.0,0,0.0,0,0.0,1,0.56,0,0.0,9,5.03,9,5.03,7,3.91,23,12.85,29,16.2,26,14.53,02046
3,1,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03001
3,2,12,2,16.67,2,16.67,0,0.0,0,0.0,0,0.0,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,1,8.33,1,8.33,03002
3,3,31,5,16.13,6,19.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.23,0,0.0,0,0.0,1,3.23,2,6.45,1,3.23,0,0.0,0,0.0,0,0.0,3,9.68,3,9.68,3,9.68,03003
3,4,9,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,1,11.11,03004
3,5,3,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03005
3,6,264,24,9.09,29,10.98,0,0.0,2,0.76,2,0.76,1,0.38,1,0.38,1,0.38,15,5.68,14,5.3,11,4.17,1,0.38,2,0.76,1,0.38,3,1.14,0,0.0,0,0.0,11,4.17,10,3.79,9,3.41,29,10.98,34,12.88,37,14.02,03006
3,8,8,1,12.5,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,03008
3,9,19,3,15.79,2,10.53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,21.05,4,21.05,3,15.79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03009
3,10,8,1,12.5,2,25.0,0,0.0,1,12.5,0,0.0,1,12.5,0,0.0,0,0.0,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03010
3,11,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03011
3,12,3,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03012
3,13,220,25,11.36,24,10.91,0,0.0,1,0.45,1,0.45,0,0.0,2,0.91,0,0.0,13,5.91,12,5.45,11,5.0,0,0.0,0,0.0,0,0.0,1,0.45,1,0.45,0,0.0,8,3.64,8,3.64,8,3.64,23,10.45,30,13.64,28,12.73,03013
3,14,158,15,9.49,16,10.13,0,0.0,1,0.63,1,0.63,0,0.0,0,0.0,0,0.0,8,5.06,9,5.7,9,5.7,1,0.63,2,1.27,1,0.63,0,0.0,1,0.63,0,0.0,10,6.33,8,5.06,7,4.43,17,10.76,17,10.76,19,12.03,03014
3,15,22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.55,0,0.0,2,9.09,3,13.64,4,18.18,3,13.64,0,0.0,0,0.0,0,0.0,2,9.09,1,4.55,1,4.55,3,13.64,1,4.55,1,4.55,0,0.0,0,0.0,0,0.0,03015
3,16,16,1,6.25,1,6.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.25,1,6.25,0,0.0,0,0.0,0,0.0,0,0.0,3,18.75,4,25.0,2,12.5,0,0.0,0,0.0,1,6.25,0,0.0,0,0.0,1,6.25,03016
3,17,125,9,7.2,10,8.0,1,0.8,2,1.6,0,0.0,1,0.8,0,0.0,0,0.0,8,6.4,8,6.4,8,6.4,0,0.0,0,0.0,0,0.0,2,1.6,1,0.8,3,2.4,5,4.0,4,3.2,5,4.0,16,12.8,16,12.8,15,12.0,03017
3,18,7,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,03018
3,19,283,29,10.25,30,10.6,0,0.0,3,1.06,1,0.35,1,0.35,1,0.35,0,0.0,18,6.36,19,6.71,17,6.01,1,0.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,4.95,13,4.59,13,4.59,27,9.54,33,11.66,33,11.66,03019
3,20,7,0,0.0,0,0.0,1,14.29,1,14.29,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,03020
3,21,191,14,7.33,14,7.33,1,0.52,1,0.52,1,0.52,1,0.52,0,0.0,0,0.0,17,8.9,17,8.9,16,8.38,1,0.52,2,1.05,1,0.52,1,0.52,2,1.05,1,0.52,4,2.09,4,2.09,5,2.62,21,10.99,27,14.14,28,14.66,03021
3,22,227,20,8.81,20,8.81,1,0.44,1,0.44,1,0.44,0,0.0,1,0.44,1,0.44,16,7.05,15,6.61,12,5.29,0,0.0,0,0.0,0,0.0,1,0.44,0,0.0,0,0.0,11,4.85,10,4.41,10,4.41,29,12.78,30,13.22,29,12.78,03022
3,23,18,2,11.11,2,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.56,1,5.56,1,5.56,0,0.0,0,0.0,0,0.0,1,5.56,1,5.56,1,5.56,0,0.0,0,0.0,1,5.56,2,11.11,2,11.11,1,5.56,03023
3,24,14,1,7.14,1,7.14,0,0.0,3,21.43,1,7.14,0,0.0,0,0.0,0,0.0,0,0.0,1,7.14,1,7.14,0,0.0,1,7.14,0,0.0,0,0.0,0,0.0,0,0.0,2,14.29,1,7.14,1,7.14,0,0.0,0,0.0,0,0.0,03024
3,25,359,39,10.86,43,11.98,0,0.0,1,0.28,2,0.56,1,0.28,1,0.28,0,0.0,18,5.01,21,5.85,18,5.01,1,0.28,3,0.84,1,0.28,0,0.0,2,0.56,0,0.0,17,4.74,19,5.29,17,4.74,37,10.31,40,11.14,41,11.42,03025
3,26,189,22,11.64,22,11.64,2,1.06,2,1.06,2,1.06,1,0.53,0,0.0,0,0.0,8,4.23,7,3.7,6,3.17,0,0.0,0,0.0,1,0.53,1,0.53,1,0.53,1,0.53,10,5.29,10,5.29,8,4.23,19,10.05,22,11.64,22,11.64,03026
3,27,272,30,11.03,30,11.03,0,0.0,0,0.0,0,0.0,0,0.0,2,0.74,0,0.0,21,7.72,20,7.35,19,6.99,1,0.37,1,0.37,3,1.1,3,1.1,1,0.37,1,0.37,11,4.04,11,4.04,11,4.04,23,8.46,28,10.29,27,9.93,03027
3,28,15,0,0.0,1,6.67,0,0.0,1,6.67,1,6.67,2,13.33,0,0.0,1,6.67,1,6.67,0,0.0,0,0.0,0,0.0,0,0.0,1,6.67,1,6.67,1,6.67,0,0.0,0,0.0,1,6.67,0,0.0,2,13.33,1,6.67,1,6.67,03028
3,29,20,1,5.0,1,5.0,0,0.0,0,0.0,1,5.0,1,5.0,0,0.0,0,0.0,1,5.0,3,15.0,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,10.0,1,5.0,2,10.0,2,10.0,1,5.0,1,5.0,1,5.0,03029
3,30,7,1,14.29,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03030
3,31,12,3,25.0,3,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03031
3,32,217,19,8.76,23,10.6,0,0.0,2,0.92,2,0.92,2,0.92,2,0.92,1,0.46,20,9.22,17,7.83,16,7.37,1,0.46,1,0.46,1,0.46,1,0.46,2,0.92,1,0.46,13,5.99,11,5.07,11,5.07,15,6.91,18,8.29,17,7.83,03032
3,33,229,20,8.73,20,8.73,0,0.0,2,0.87,2,0.87,1,0.44,2,0.87,2,0.87,11,4.8,13,5.68,10,4.37,1,0.44,1,0.44,2,0.87,2,0.87,2,0.87,1,0.44,11,4.8,13,5.68,9,3.93,28,12.23,27,11.79,30,13.1,03033
3,34,194,19,9.79,19,9.79,2,1.03,2,1.03,2,1.03,1,0.52,1,0.52,1,0.52,8,4.12,9,4.64,7,3.61,0,0.0,0,0.0,0,0.0,1,0.52,3,1.55,1,0.52,17,8.76,16,8.25,15,7.73,17,8.76,17,8.76,17,8.76,03034
3,35,6,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,1,16.67,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,03035
3,36,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03036
3,37,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,03037
3,39,264,27,10.23,28,10.61,0,0.0,2,0.76,1,0.38,0,0.0,0,0.0,0,0.0,14,5.3,14,5.3,12,4.55,1,0.38,1,0.38,1,0.38,1,0.38,1,0.38,2,0.76,12,4.55,10,3.79,9,3.41,30,11.36,38,14.39,34,12.88,03039
3,40,80,5,6.25,5,6.25,1,1.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,7.5,6,7.5,6,7.5,1,1.25,1,1.25,1,1.25,0,0.0,1,1.25,0,0.0,2,2.5,2,2.5,3,3.75,11,13.75,12,15.0,11,13.75,03040
4,2,241,18,7.47,21,8.71,1,0.41,2,0.83,1,0.41,1,0.41,1,0.41,1,0.41,11,4.56,10,4.15,7,2.9,1,0.41,1,0.41,0,0.0,2,0.83,3,1.24,1,0.41,7,2.9,7,2.9,6,2.49,39,16.18,40,16.6,39,16.18,04002
4,4,24,1,4.17,1,4.17,0,0.0,1,4.17,0,0.0,0,0.0,0,0.0,0,0.0,2,8.33,3,12.5,2,8.33,0,0.0,0,0.0,0,0.0,2,8.33,2,8.33,1,4.17,1,4.17,0,0.0,0,0.0,2,8.33,2,8.33,2,8.33,04004
4,5,42,1,2.38,1,2.38,0,0.0,0,0.0,1,2.38,0,0.0,0,0.0,0,0.0,5,11.9,6,14.29,5,11.9,0,0.0,0,0.0,1,2.38,0,0.0,0,0.0,0,0.0,4,9.52,4,9.52,4,9.52,3,7.14,3,7.14,3,7.14,04005
4,6,42,8,19.05,8,19.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.38,1,2.38,1,2.38,1,2.38,0,0.0,0,0.0,1,2.38,1,2.38,1,2.38,2,4.76,1,2.38,3,7.14,2,4.76,3,7.14,1,2.38,04006
4,7,23,1,4.35,1,4.35,0,0.0,0,0.0,0,0.0,1,4.35,1,4.35,1,4.35,3,13.04,2,8.7,2,8.7,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,1,4.35,1,4.35,1,4.35,1,4.35,1,4.35,2,8.7,2,8.7,04007
4,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04008
4,10,39,2,5.13,3,7.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,7.69,3,7.69,2,5.13,0,0.0,0,0.0,0,0.0,1,2.56,1,2.56,1,2.56,1,2.56,1,2.56,1,2.56,5,12.82,7,17.95,6,15.38,04010
4,11,15,0,0.0,0,0.0,1,6.67,1,6.67,1,6.67,0,0.0,0,0.0,0,0.0,3,20.0,2,13.33,2,13.33,1,6.67,0,0.0,1,6.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.67,1,6.67,1,6.67,04011
4,13,129,12,9.3,12,9.3,1,0.78,1,0.78,1,0.78,0,0.0,0,0.0,0,0.0,7,5.43,5,3.88,5,3.88,0,0.0,1,0.78,0,0.0,0,0.0,0,0.0,0,0.0,11,8.53,11,8.53,11,8.53,11,8.53,13,10.08,15,11.63,04013
4,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04014
4,15,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.09,1,9.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,27.27,3,27.27,3,27.27,04015
4,16,189,23,12.17,23,12.17,0,0.0,0,0.0,1,0.53,1,0.53,0,0.0,0,0.0,9,4.76,7,3.7,5,2.65,0,0.0,2,1.06,0,0.0,1,0.53,0,0.0,0,0.0,6,3.17,7,3.7,6,3.17,22,11.64,27,14.29,27,14.29,04016
4,17,207,20,9.66,19,9.18,0,0.0,0,0.0,0,0.0,1,0.48,1,0.48,1,0.48,11,5.31,13,6.28,9,4.35,0,0.0,1,0.48,0,0.0,1,0.48,2,0.97,1,0.48,14,6.76,11,5.31,11,5.31,21,10.14,25,12.08,24,11.59,04017
4,20,149,13,8.72,13,8.72,0,0.0,0,0.0,0,0.0,1,0.67,0,0.0,0,0.0,10,6.71,10,6.71,10,6.71,0,0.0,3,2.01,0,0.0,2,1.34,0,0.0,2,1.34,9,6.04,8,5.37,8,5.37,15,10.07,16,10.74,17,11.41,04020
