ward,precinct,total,G. Joel Baise (Bush),G. Joel Baise (Bush) Percent,George Offord (Bush),George Offord (Bush) Percent,Ben Noble (Bush),Ben Noble (Bush) Percent,Kimberly Blackburn (Christie),Kimberly Blackburn (Christie) Percent,Louis G. Rexing (Christie),Louis G. Rexing (Christie) Percent,Matthew Moustakas (Christie),Matthew Moustakas (Christie) Percent,Vince Matonis (Trump),Vince Matonis (Trump) Percent,Geraldine Brady (Trump),Geraldine Brady (Trump) Percent,Nena Mihailovic (Trump),Nena Mihailovic (Trump) Percent,Vivienne Porter (Cruz),Vivienne Porter (Cruz) Percent,Madelyn D. Flaherty (Cruz),Madelyn D. Flaherty (Cruz) Percent,Alaa N. Sweis (Cruz),Alaa N. Sweis (Cruz) Percent,Ronald Armstrong (Fiorina),Ronald Armstrong (Fiorina) Percent,Richard ''Dick'' Halm (Fiorina),Richard ''Dick'' Halm (Fiorina) Percent,Jeffrey ''Jeff'' Baker (Fiorina),Jeffrey ''Jeff'' Baker (Fiorina) Percent,James J. Parrilli (Kasich),James J. Parrilli (Kasich) Percent,Andrew J. Kirchoff (Kasich),Andrew J. Kirchoff (Kasich) Percent,William J. Corley (Kasich),William J. Corley (Kasich) Percent,Steven Daglas (Rubio),Steven Daglas (Rubio) Percent,Katie Justak (Rubio),Katie Justak (Rubio) Percent,Tyler Mikan (Rubio),Tyler Mikan (Rubio) Percent,John D. Brannen (Carson),John D. Brannen (Carson) Percent,John D'Alessandro (Carson),John D'Alessandro (Carson) Percent,Gael Heppner (Carson),Gael Heppner (Carson) Percent,precinct_id
12,1,80,2,2.5,2,2.5,1,1.25,0,0.0,0,0.0,0,0.0,15,18.75,13,16.25,17,21.25,6,7.5,5,6.25,3,3.75,0,0.0,0,0.0,0,0.0,1,1.25,1,1.25,1,1.25,4,5.0,3,3.75,3,3.75,1,1.25,1,1.25,1,1.25,12001
12,3,76,1,1.32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,14.47,11,14.47,11,14.47,5,6.58,5,6.58,4,5.26,0,0.0,0,0.0,0,0.0,2,2.63,2,2.63,2,2.63,6,7.89,5,6.58,5,6.58,2,2.63,2,2.63,2,2.63,12003
12,4,51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,13.73,7,13.73,6,11.76,6,11.76,5,9.8,5,9.8,1,1.96,0,0.0,0,0.0,3,5.88,2,3.92,3,5.88,3,5.88,1,1.96,2,3.92,0,0.0,0,0.0,0,0.0,12004
12,5,22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,27.27,5,22.73,6,27.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.55,2,9.09,1,4.55,0,0.0,0,0.0,1,4.55,0,0.0,0,0.0,0,0.0,12005
12,8,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12008
12,9,68,1,1.47,1,1.47,1,1.47,0,0.0,0,0.0,1,1.47,13,19.12,14,20.59,12,17.65,4,5.88,6,8.82,5,7.35,0,0.0,0,0.0,0,0.0,2,2.94,3,4.41,2,2.94,1,1.47,0,0.0,1,1.47,0,0.0,0,0.0,1,1.47,12009
12,19,58,2,3.45,1,1.72,1,1.72,1,1.72,0,0.0,1,1.72,6,10.34,6,10.34,6,10.34,6,10.34,6,10.34,3,5.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,8.62,6,10.34,5,8.62,1,1.72,1,1.72,1,1.72,12019
12,23,96,1,1.04,1,1.04,1,1.04,2,2.08,3,3.13,1,1.04,18,18.75,17,17.71,18,18.75,5,5.21,3,3.13,5,5.21,1,1.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,5.21,5,5.21,4,4.17,2,2.08,2,2.08,2,2.08,12023
13,1,92,1,1.09,1,1.09,1,1.09,0,0.0,0,0.0,0,0.0,18,19.57,18,19.57,17,18.48,6,6.52,7,7.61,7,7.61,0,0.0,0,0.0,0,0.0,2,2.17,1,1.09,1,1.09,5,5.43,3,3.26,3,3.26,1,1.09,0,0.0,0,0.0,13001
13,2,114,0,0.0,0,0.0,1,0.88,0,0.0,0,0.0,0,0.0,16,14.04,19,16.67,18,15.79,14,12.28,13,11.4,11,9.65,2,1.75,0,0.0,1,0.88,3,2.63,3,2.63,2,1.75,4,3.51,4,3.51,3,2.63,0,0.0,0,0.0,0,0.0,13002
13,3,41,1,2.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,24.39,10,24.39,9,21.95,3,7.32,5,12.2,3,7.32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13003
13,4,144,0,0.0,0,0.0,1,0.69,1,0.69,0,0.0,1,0.69,29,20.14,34,23.61,29,20.14,5,3.47,8,5.56,5,3.47,0,0.0,0,0.0,0,0.0,8,5.56,8,5.56,7,4.86,3,2.08,2,1.39,2,1.39,0,0.0,1,0.69,0,0.0,13004
13,5,61,1,1.64,0,0.0,3,4.92,0,0.0,0,0.0,1,1.64,7,11.48,8,13.11,7,11.48,6,9.84,5,8.2,4,6.56,0,0.0,1,1.64,1,1.64,1,1.64,1,1.64,1,1.64,6,9.84,3,4.92,3,4.92,1,1.64,1,1.64,0,0.0,13005
13,6,122,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27,22.13,26,21.31,27,22.13,8,6.56,8,6.56,7,5.74,0,0.0,0,0.0,1,0.82,4,3.28,3,2.46,3,2.46,1,0.82,2,1.64,1,0.82,1,0.82,2,1.64,1,0.82,13006
13,7,27,1,3.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,18.52,5,18.52,5,18.52,0,0.0,0,0.0,1,3.7,0,0.0,0,0.0,0,0.0,3,11.11,3,11.11,1,3.7,1,3.7,1,3.7,1,3.7,0,0.0,0,0.0,0,0.0,13007
13,8,138,1,0.72,2,1.45,1,0.72,2,1.45,0,0.0,0,0.0,22,15.94,26,18.84,27,19.57,12,8.7,11,7.97,9,6.52,0,0.0,0,0.0,1,0.72,3,2.17,4,2.9,3,2.17,4,2.9,5,3.62,4,2.9,1,0.72,0,0.0,0,0.0,13008
13,9,86,1,1.16,1,1.16,2,2.33,0,0.0,1,1.16,0,0.0,12,13.95,12,13.95,12,13.95,9,10.47,6,6.98,8,9.3,2,2.33,0,0.0,1,1.16,1,1.16,1,1.16,1,1.16,6,6.98,3,3.49,3,3.49,2,2.33,1,1.16,1,1.16,13009
13,10,169,2,1.18,2,1.18,1,0.59,1,0.59,0,0.0,0,0.0,36,21.3,33,19.53,34,20.12,10,5.92,9,5.33,8,4.73,0,0.0,0,0.0,0,0.0,8,4.73,5,2.96,9,5.33,3,1.78,2,1.18,2,1.18,1,0.59,2,1.18,1,0.59,13010
13,11,104,1,0.96,1,0.96,1,0.96,0,0.0,2,1.92,1,0.96,19,18.27,17,16.35,18,17.31,10,9.62,8,7.69,8,7.69,0,0.0,0,0.0,0,0.0,2,1.92,2,1.92,3,2.88,2,1.92,3,2.88,3,2.88,1,0.96,2,1.92,0,0.0,13011
13,12,69,0,0.0,1,1.45,0,0.0,1,1.45,1,1.45,1,1.45,11,15.94,13,18.84,12,17.39,7,10.14,7,10.14,7,10.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,4.35,3,4.35,2,2.9,0,0.0,0,0.0,0,0.0,13012
13,13,19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,26.32,5,26.32,4,21.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.26,0,0.0,0,0.0,1,5.26,2,10.53,1,5.26,13013
13,14,68,0,0.0,1,1.47,0,0.0,0,0.0,0,0.0,0,0.0,10,14.71,10,14.71,10,14.71,11,16.18,8,11.76,8,11.76,0,0.0,0,0.0,0,0.0,1,1.47,0,0.0,1,1.47,3,4.41,3,4.41,2,2.94,0,0.0,0,0.0,0,0.0,13014
13,15,61,0,0.0,2,3.28,0,0.0,0,0.0,0,0.0,1,1.64,12,19.67,13,21.31,13,21.31,3,4.92,1,1.64,1,1.64,0,0.0,0,0.0,0,0.0,3,4.92,3,4.92,1,1.64,1,1.64,3,4.92,1,1.64,2,3.28,0,0.0,1,1.64,13015
13,16,24,1,4.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,8.33,3,12.5,3,12.5,2,8.33,2,8.33,2,8.33,0,0.0,0,0.0,0,0.0,1,4.17,1,4.17,1,4.17,1,4.17,2,8.33,2,8.33,0,0.0,1,4.17,0,0.0,13016
13,17,113,1,0.88,1,0.88,1,0.88,0,0.0,1,0.88,2,1.77,24,21.24,24,21.24,24,21.24,4,3.54,8,7.08,3,2.65,1,0.88,0,0.0,1,0.88,3,2.65,2,1.77,2,1.77,3,2.65,4,3.54,2,1.77,2,1.77,0,0.0,0,0.0,13017
13,18,118,1,0.85,1,0.85,1,0.85,1,0.85,2,1.69,0,0.0,22,18.64,24,20.34,22,18.64,10,8.47,10,8.47,8,6.78,1,0.85,0,0.0,0,0.0,3,2.54,4,3.39,2,1.69,1,0.85,1,0.85,1,0.85,1,0.85,1,0.85,1,0.85,13018
13,20,129,0,0.0,0,0.0,3,2.33,0,0.0,1,0.78,0,0.0,29,22.48,30,23.26,27,20.93,7,5.43,8,6.2,7,5.43,0,0.0,1,0.78,1,0.78,1,0.78,2,1.55,2,1.55,4,3.1,3,2.33,3,2.33,0,0.0,0,0.0,0,0.0,13020
13,21,175,0,0.0,1,0.57,0,0.0,1,0.57,0,0.0,1,0.57,38,21.71,37,21.14,38,21.71,11,6.29,11,6.29,10,5.71,0,0.0,0,0.0,0,0.0,3,1.71,3,1.71,4,2.29,3,1.71,4,2.29,3,1.71,2,1.14,4,2.29,1,0.57,13021
13,22,157,1,0.64,0,0.0,0,0.0,0,0.0,3,1.91,0,0.0,36,22.93,34,21.66,34,21.66,7,4.46,9,5.73,7,4.46,0,0.0,0,0.0,0,0.0,4,2.55,6,3.82,3,1.91,4,2.55,6,3.82,3,1.91,0,0.0,0,0.0,0,0.0,13022
13,23,52,2,3.85,0,0.0,1,1.92,0,0.0,0,0.0,0,0.0,7,13.46,7,13.46,7,13.46,5,9.62,4,7.69,4,7.69,0,0.0,0,0.0,0,0.0,3,5.77,3,5.77,4,7.69,1,1.92,2,3.85,1,1.92,1,1.92,0,0.0,0,0.0,13023
13,24,76,1,1.32,0,0.0,0,0.0,0,0.0,0,0.0,1,1.32,13,17.11,14,18.42,12,15.79,7,9.21,6,7.89,6,7.89,0,0.0,0,0.0,0,0.0,2,2.63,3,3.95,2,2.63,2,2.63,2,2.63,4,5.26,1,1.32,0,0.0,0,0.0,13024
13,25,59,1,1.69,1,1.69,2,3.39,0,0.0,1,1.69,0,0.0,12,20.34,10,16.95,11,18.64,4,6.78,3,5.08,3,5.08,0,0.0,1,1.69,0,0.0,0,0.0,2,3.39,1,1.69,1,1.69,3,5.08,3,5.08,0,0.0,0,0.0,0,0.0,13025
13,26,84,3,3.57,3,3.57,3,3.57,0,0.0,0,0.0,0,0.0,14,16.67,16,19.05,13,15.48,6,7.14,5,5.95,4,4.76,0,0.0,0,0.0,0,0.0,4,4.76,4,4.76,4,4.76,1,1.19,2,2.38,1,1.19,0,0.0,0,0.0,1,1.19,13026
13,27,71,3,4.23,2,2.82,3,4.23,0,0.0,1,1.41,0,0.0,7,9.86,7,9.86,6,8.45,10,14.08,10,14.08,9,12.68,0,0.0,0,0.0,0,0.0,1,1.41,1,1.41,1,1.41,5,7.04,1,1.41,3,4.23,1,1.41,0,0.0,0,0.0,13027
13,28,35,2,5.71,2,5.71,1,2.86,1,2.86,0,0.0,0,0.0,6,17.14,4,11.43,5,14.29,2,5.71,1,2.86,1,2.86,1,2.86,0,0.0,1,2.86,0,0.0,1,2.86,1,2.86,1,2.86,2,5.71,0,0.0,1,2.86,1,2.86,1,2.86,13028
13,29,72,1,1.39,1,1.39,2,2.78,0,0.0,0,0.0,0,0.0,8,11.11,12,16.67,9,12.5,5,6.94,6,8.33,3,4.17,0,0.0,0,0.0,1,1.39,2,2.78,2,2.78,2,2.78,5,6.94,8,11.11,5,6.94,0,0.0,0,0.0,0,0.0,13029
13,30,10,0,0.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,30.0,2,20.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,13030
13,31,185,2,1.08,3,1.62,3,1.62,0,0.0,0,0.0,0,0.0,40,21.62,40,21.62,38,20.54,9,4.86,9,4.86,10,5.41,1,0.54,0,0.0,1,0.54,3,1.62,5,2.7,4,2.16,6,3.24,5,2.7,5,2.7,1,0.54,0,0.0,0,0.0,13031
13,32,117,0,0.0,0,0.0,0,0.0,0,0.0,1,0.85,0,0.0,26,22.22,27,23.08,24,20.51,6,5.13,6,5.13,6,5.13,0,0.0,0,0.0,0,0.0,2,1.71,2,1.71,2,1.71,5,4.27,5,4.27,5,4.27,0,0.0,0,0.0,0,0.0,13032
13,33,171,2,1.17,1,0.58,2,1.17,1,0.58,0,0.0,0,0.0,39,22.81,34,19.88,34,19.88,9,5.26,8,4.68,8,4.68,0,0.0,0,0.0,0,0.0,3,1.75,3,1.75,5,2.92,6,3.51,7,4.09,8,4.68,0,0.0,1,0.58,0,0.0,13033
13,34,42,2,4.76,1,2.38,0,0.0,0,0.0,0,0.0,0,0.0,6,14.29,6,14.29,4,9.52,4,9.52,4,9.52,2,4.76,1,2.38,0,0.0,0,0.0,2,4.76,2,4.76,2,4.76,1,2.38,2,4.76,2,4.76,0,0.0,0,0.0,1,2.38,13034
13,35,21,1,4.76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,14.29,4,19.05,3,14.29,4,19.05,3,14.29,3,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13035
13,36,29,0,0.0,0,0.0,1,3.45,0,0.0,0,0.0,0,0.0,1,3.45,2,6.9,1,3.45,2,6.9,1,3.45,1,3.45,0,0.0,0,0.0,0,0.0,0,0.0,1,3.45,0,0.0,6,20.69,5,17.24,5,17.24,1,3.45,1,3.45,1,3.45,13036
13,37,29,2,6.9,1,3.45,1,3.45,1,3.45,0,0.0,0,0.0,4,13.79,3,10.34,3,10.34,2,6.9,1,3.45,1,3.45,0,0.0,0,0.0,1,3.45,1,3.45,2,6.9,1,3.45,2,6.9,1,3.45,2,6.9,0,0.0,0,0.0,0,0.0,13037
13,38,134,1,0.75,0,0.0,0,0.0,0,0.0,0,0.0,1,0.75,37,27.61,37,27.61,36,26.87,2,1.49,3,2.24,2,1.49,0,0.0,0,0.0,0,0.0,2,1.49,1,0.75,1,0.75,4,2.99,3,2.24,3,2.24,1,0.75,0,0.0,0,0.0,13038
13,39,21,0,0.0,1,4.76,0,0.0,0,0.0,0,0.0,0,0.0,3,14.29,2,9.52,2,9.52,3,14.29,3,14.29,3,14.29,0,0.0,0,0.0,0,0.0,1,4.76,1,4.76,1,4.76,1,4.76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13039
13,40,51,0,0.0,0,0.0,1,1.96,0,0.0,0,0.0,0,0.0,5,9.8,7,13.73,4,7.84,8,15.69,8,15.69,7,13.73,0,0.0,0,0.0,0,0.0,0,0.0,1,1.96,0,0.0,3,5.88,3,5.88,3,5.88,1,1.96,0,0.0,0,0.0,13040
13,41,64,0,0.0,1,1.56,0,0.0,0,0.0,1,1.56,0,0.0,9,14.06,10,15.63,9,14.06,4,6.25,3,4.69,3,4.69,0,0.0,0,0.0,1,1.56,2,3.13,2,3.13,2,3.13,4,6.25,4,6.25,5,7.81,1,1.56,2,3.13,1,1.56,13041
13,42,163,0,0.0,0,0.0,2,1.23,0,0.0,0,0.0,2,1.23,32,19.63,33,20.25,29,17.79,8,4.91,10,6.13,7,4.29,2,1.23,1,0.61,2,1.23,3,1.84,5,3.07,3,1.84,6,3.68,5,3.07,5,3.07,3,1.84,4,2.45,1,0.61,13042
13,43,47,1,2.13,1,2.13,1,2.13,0,0.0,1,2.13,0,0.0,7,14.89,6,12.77,7,14.89,5,10.64,5,10.64,3,6.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,6.38,4,8.51,3,6.38,0,0.0,0,0.0,0,0.0,13043
13,44,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,16.67,2,16.67,2,16.67,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,13044
13,45,70,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,24.29,16,22.86,16,22.86,4,5.71,4,5.71,2,2.86,1,1.43,0,0.0,0,0.0,1,1.43,1,1.43,1,1.43,2,2.86,3,4.29,2,2.86,0,0.0,0,0.0,0,0.0,13045
13,46,71,2,2.82,2,2.82,3,4.23,1,1.41,3,4.23,2,2.82,5,7.04,6,8.45,7,9.86,8,11.27,7,9.86,8,11.27,2,2.82,0,0.0,1,1.41,1,1.41,0,0.0,0,0.0,2,2.82,3,4.23,1,1.41,3,4.23,2,2.82,2,2.82,13046
13,47,46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,19.57,9,19.57,9,19.57,3,6.52,3,6.52,3,6.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.17,1,2.17,3,6.52,2,4.35,1,2.17,1,2.17,1,2.17,13047
