ward,precinct,total,Todd E. Arseneau (Bush),Todd E. Arseneau (Bush) Percent,Darren C. Collier (Bush),Darren C. Collier (Bush) Percent,Timothy Bukowski (Bush),Timothy Bukowski (Bush) Percent,Ryan Nolan (Trump),Ryan Nolan (Trump) Percent,Shane Chomko (Trump),Shane Chomko (Trump) Percent,Keith Cooper (Trump),Keith Cooper (Trump) Percent,Israel J. Smith (Christie),Israel J. Smith (Christie) Percent,Wanda Cantrell (Christie),Wanda Cantrell (Christie) Percent,Tondalaya Marie Nelson (Christie),Tondalaya Marie Nelson (Christie) Percent,Kathleen E. Valente (Cruz),Kathleen E. Valente (Cruz) Percent,Margaret Annunziata (Cruz),Margaret Annunziata (Cruz) Percent,Caleb C. Fisher (Cruz),Caleb C. Fisher (Cruz) Percent,Holly Czajkowski (Fiorina),Holly Czajkowski (Fiorina) Percent,Carol Dudlack (Fiorina),Carol Dudlack (Fiorina) Percent,Cheryl Simanek (Fiorina),Cheryl Simanek (Fiorina) Percent,Wayland C. Johnson (Kasich),Wayland C. Johnson (Kasich) Percent,Stephen E. Liehr (Kasich),Stephen E. Liehr (Kasich) Percent,Barbara J. Peterson (Kasich),Barbara J. Peterson (Kasich) Percent,Douglas V. Horne (Carson),Douglas V. Horne (Carson) Percent,Philanise N. White (Carson),Philanise N. White (Carson) Percent,Kristi Delaurentiis (Rubio),Kristi Delaurentiis (Rubio) Percent,Antonio Carrico (Rubio),Antonio Carrico (Rubio) Percent,Miriam Shabo (Rubio),Miriam Shabo (Rubio) Percent,precinct_id
5,35,18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.56,1,5.56,1,5.56,0,0.0,0,0.0,0,0.0,3,16.67,3,16.67,3,16.67,0,0.0,0,0.0,2,11.11,2,11.11,2,11.11,05035
5,36,14,0,0.0,0,0.0,0,0.0,3,21.43,2,14.29,3,21.43,0,0.0,0,0.0,0,0.0,1,7.14,1,7.14,1,7.14,0,0.0,0,0.0,0,0.0,1,7.14,1,7.14,1,7.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05036
5,37,80,3,3.75,3,3.75,2,2.5,4,5.0,5,6.25,4,5.0,0,0.0,0,0.0,0,0.0,7,8.75,6,7.5,7,8.75,0,0.0,0,0.0,0,0.0,7,8.75,10,12.5,10,12.5,0,0.0,0,0.0,5,6.25,3,3.75,4,5.0,05037
5,38,21,0,0.0,0,0.0,0,0.0,4,19.05,2,9.52,3,14.29,2,9.52,2,9.52,0,0.0,1,4.76,1,4.76,1,4.76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,9.52,1,4.76,0,0.0,0,0.0,0,0.0,1,4.76,05038
5,40,15,0,0.0,0,0.0,0,0.0,2,13.33,2,13.33,2,13.33,0,0.0,0,0.0,0,0.0,2,13.33,2,13.33,2,13.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.67,1,6.67,1,6.67,05040
5,41,16,0,0.0,0,0.0,0,0.0,2,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,12.5,2,12.5,1,6.25,0,0.0,0,0.0,0,0.0,2,12.5,2,12.5,2,12.5,0,0.0,0,0.0,1,6.25,1,6.25,1,6.25,05041
7,1,8,0,0.0,0,0.0,0,0.0,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,2,25.0,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07001
7,2,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07002
7,3,12,1,8.33,0,0.0,0,0.0,3,25.0,2,16.67,2,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,07003
7,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07004
7,5,15,1,6.67,1,6.67,0,0.0,2,13.33,1,6.67,1,6.67,0,0.0,0,0.0,0,0.0,3,20.0,2,13.33,2,13.33,0,0.0,0,0.0,0,0.0,1,6.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.67,0,0.0,07005
7,6,24,0,0.0,0,0.0,0,0.0,1,4.17,1,4.17,1,4.17,0,0.0,0,0.0,0,0.0,5,20.83,5,20.83,5,20.83,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,8.33,2,8.33,2,8.33,07006
7,7,10,0,0.0,0,0.0,1,10.0,1,10.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,1,10.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,0,0.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,07007
7,8,20,2,10.0,2,10.0,2,10.0,2,10.0,2,10.0,2,10.0,1,5.0,0,0.0,0,0.0,1,5.0,1,5.0,1,5.0,0,0.0,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0,2,10.0,0,0.0,0,0.0,0,0.0,07008
7,9,21,0,0.0,0,0.0,0,0.0,2,9.52,2,9.52,3,14.29,1,4.76,0,0.0,0,0.0,3,14.29,3,14.29,3,14.29,0,0.0,0,0.0,0,0.0,1,4.76,1,4.76,1,4.76,0,0.0,1,4.76,0,0.0,0,0.0,0,0.0,07009
7,10,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.33,0,0.0,0,0.0,2,33.33,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,07010
7,11,16,0,0.0,0,0.0,0,0.0,1,6.25,0,0.0,0,0.0,0,0.0,0,0.0,1,6.25,2,12.5,2,12.5,2,12.5,2,12.5,1,6.25,1,6.25,0,0.0,0,0.0,0,0.0,0,0.0,1,6.25,1,6.25,1,6.25,1,6.25,07011
7,12,6,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,07012
7,13,6,1,16.67,0,0.0,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,07013
7,14,33,0,0.0,0,0.0,0,0.0,5,15.15,5,15.15,4,12.12,0,0.0,0,0.0,0,0.0,7,21.21,6,18.18,6,18.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07014
7,15,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,07015
7,16,13,0,0.0,0,0.0,0,0.0,2,15.38,2,15.38,1,7.69,0,0.0,0,0.0,0,0.0,1,7.69,1,7.69,1,7.69,2,15.38,1,7.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.69,0,0.0,07016
7,17,12,0,0.0,0,0.0,0,0.0,3,25.0,3,25.0,3,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,0,0.0,0,0.0,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07017
7,18,28,1,3.57,1,3.57,1,3.57,5,17.86,4,14.29,4,14.29,0,0.0,0,0.0,0,0.0,3,10.71,2,7.14,2,7.14,1,3.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,7.14,1,3.57,1,3.57,07018
7,19,9,0,0.0,0,0.0,0,0.0,2,22.22,1,11.11,2,22.22,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,22.22,0,0.0,0,0.0,0,0.0,07019
7,20,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,07020
7,21,9,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,1,11.11,0,0.0,07021
7,22,21,0,0.0,0,0.0,0,0.0,2,9.52,2,9.52,2,9.52,0,0.0,1,4.76,0,0.0,2,9.52,2,9.52,2,9.52,0,0.0,1,4.76,0,0.0,0,0.0,0,0.0,0,0.0,1,4.76,1,4.76,1,4.76,1,4.76,2,9.52,07022
7,23,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07023
7,24,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,07024
7,25,21,0,0.0,0,0.0,0,0.0,4,19.05,4,19.05,4,19.05,0,0.0,0,0.0,0,0.0,2,9.52,2,9.52,2,9.52,0,0.0,0,0.0,0,0.0,1,4.76,1,4.76,1,4.76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07025
7,26,12,1,8.33,0,0.0,1,8.33,1,8.33,2,16.67,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,16.67,2,16.67,0,0.0,0,0.0,0,0.0,07026
7,27,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,2,28.57,1,14.29,1,14.29,1,14.29,07027
7,28,23,1,4.35,0,0.0,1,4.35,4,17.39,3,13.04,3,13.04,0,0.0,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,1,4.35,2,8.7,1,4.35,1,4.35,0,0.0,1,4.35,07028
7,29,16,0,0.0,0,0.0,0,0.0,3,18.75,3,18.75,3,18.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,12.5,2,12.5,1,6.25,1,6.25,0,0.0,0,0.0,0,0.0,07029
7,30,12,0,0.0,0,0.0,0,0.0,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,2,16.67,1,8.33,2,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,0,0.0,1,8.33,1,8.33,1,8.33,07030
7,31,9,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,2,22.22,2,22.22,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07031
7,32,22,0,0.0,0,0.0,0,0.0,6,27.27,5,22.73,7,31.82,0,0.0,0,0.0,1,4.55,1,4.55,1,4.55,1,4.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07032
7,33,12,0,0.0,0,0.0,0,0.0,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,2,16.67,2,16.67,2,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,07033
7,34,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07034
7,35,10,0,0.0,0,0.0,0,0.0,2,20.0,2,20.0,3,30.0,0,0.0,0,0.0,0,0.0,1,10.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07035
7,36,12,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,1,8.33,2,16.67,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,1,8.33,0,0.0,0,0.0,1,8.33,1,8.33,1,8.33,07036
7,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07037
7,38,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,0,0.0,07038
7,39,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07039
7,40,6,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,2,33.33,1,16.67,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07040
7,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07041
7,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07042
7,43,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,07043
7,44,14,0,0.0,0,0.0,1,7.14,1,7.14,2,14.29,2,14.29,0,0.0,0,0.0,0,0.0,1,7.14,1,7.14,1,7.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.14,2,14.29,2,14.29,07044
7,45,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07045
7,46,4,0,0.0,0,0.0,0,0.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07046
8,4,15,0,0.0,1,6.67,0,0.0,2,13.33,2,13.33,2,13.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.67,0,0.0,2,13.33,2,13.33,1,6.67,08004
8,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08005
8,7,7,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,1,14.29,1,14.29,1,14.29,08007
8,9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08009
8,17,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08017
8,27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08027
8,28,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.33,2,33.33,2,33.33,08028
8,32,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08032
8,36,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08036
8,39,9,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,1,11.11,1,11.11,1,11.11,08039
8,42,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08042
8,46,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,08046
8,49,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08049
8,50,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08050
8,53,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08053
9,1,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.33,2,33.33,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09001
9,2,7,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,0,0.0,1,14.29,0,0.0,0,0.0,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,1,14.29,09002
9,3,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09003
9,4,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09004
