ward,precinct,total,Carol Smith Donovan (Bush),Carol Smith Donovan (Bush) Percent,Brian Timpone (Bush),Brian Timpone (Bush) Percent,Kathleen A. Thomas (Bush),Kathleen A. Thomas (Bush) Percent,Lora Drobetsky (Trump),Lora Drobetsky (Trump) Percent,Steve Trimble (Trump),Steve Trimble (Trump) Percent,John Simpson (Trump),John Simpson (Trump) Percent,Laura Lewandowski (Christie),Laura Lewandowski (Christie) Percent,Stephanie Guyett (Christie),Stephanie Guyett (Christie) Percent,Douglas Guyett (Christie),Douglas Guyett (Christie) Percent,James Francis Zangrilli (Cruz),James Francis Zangrilli (Cruz) Percent,Kerrie Reed (Cruz),Kerrie Reed (Cruz) Percent,Joshua Hammer (Cruz),Joshua Hammer (Cruz) Percent,Carl Segvich (Santorum),Carl Segvich (Santorum) Percent,Corinne Williams (Fiorina),Corinne Williams (Fiorina) Percent,Jeff Halm (Fiorina),Jeff Halm (Fiorina) Percent,Kathryn ''Kayte'' Malik (Fiorina),Kathryn ''Kayte'' Malik (Fiorina) Percent,Nancy J. Kimme (Kasich),Nancy J. Kimme (Kasich) Percent,William Dean Smithburg (Kasich),William Dean Smithburg (Kasich) Percent,Kreg T. Allison (Kasich),Kreg T. Allison (Kasich) Percent,Amanda B. Dechavez (Carson),Amanda B. Dechavez (Carson) Percent,Thomas Edward McDonough (Carson),Thomas Edward McDonough (Carson) Percent,Bruce John Schulte (Carson),Bruce John Schulte (Carson) Percent,Grace Austin (Paul),Grace Austin (Paul) Percent,Alberta Grossi-Antweiler (Paul),Alberta Grossi-Antweiler (Paul) Percent,Eloise Gerson (Rubio),Eloise Gerson (Rubio) Percent,Michael Rolfes (Rubio),Michael Rolfes (Rubio) Percent,Brendan Seyring (Rubio),Brendan Seyring (Rubio) Percent,precinct_id
2,14,140,0,0.0,1,0.71,0,0.0,15,10.71,14,10.0,13,9.29,1,0.71,0,0.0,0,0.0,8,5.71,12,8.57,9,6.43,0,0.0,0,0.0,0,0.0,0,0.0,22,15.71,17,12.14,20,14.29,0,0.0,0,0.0,1,0.71,0,0.0,0,0.0,3,2.14,2,1.43,2,1.43,02014
2,17,195,2,1.03,1,0.51,2,1.03,16,8.21,14,7.18,16,8.21,2,1.03,2,1.03,1,0.51,12,6.15,19,9.74,17,8.72,0,0.0,2,1.03,0,0.0,1,0.51,20,10.26,17,8.72,18,9.23,1,0.51,0,0.0,0,0.0,1,0.51,2,1.03,13,6.67,8,4.1,8,4.1,02017
2,18,294,4,1.36,2,0.68,4,1.36,32,10.88,32,10.88,29,9.86,0,0.0,0,0.0,0,0.0,11,3.74,16,5.44,17,5.78,1,0.34,1,0.34,3,1.02,1,0.34,36,12.24,33,11.22,34,11.56,0,0.0,0,0.0,0,0.0,1,0.34,0,0.0,14,4.76,12,4.08,11,3.74,02018
2,19,279,2,0.72,0,0.0,0,0.0,30,10.75,32,11.47,29,10.39,1,0.36,0,0.0,0,0.0,12,4.3,13,4.66,12,4.3,0,0.0,0,0.0,0,0.0,0,0.0,43,15.41,37,13.26,43,15.41,0,0.0,0,0.0,0,0.0,1,0.36,1,0.36,9,3.23,8,2.87,6,2.15,02019
2,20,128,2,1.56,0,0.0,0,0.0,12,9.38,13,10.16,13,10.16,0,0.0,0,0.0,1,0.78,1,0.78,5,3.91,5,3.91,1,0.78,0,0.0,0,0.0,0,0.0,17,13.28,12,9.38,16,12.5,0,0.0,0,0.0,0,0.0,1,0.78,0,0.0,9,7.03,10,7.81,10,7.81,02020
2,21,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,2,33.33,2,33.33,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02021
2,23,264,3,1.14,3,1.14,3,1.14,17,6.44,16,6.06,17,6.44,1,0.38,2,0.76,0,0.0,8,3.03,13,4.92,13,4.92,0,0.0,0,0.0,0,0.0,1,0.38,49,18.56,48,18.18,48,18.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,3.03,7,2.65,7,2.65,02023
2,27,342,2,0.58,1,0.29,2,0.58,43,12.57,43,12.57,47,13.74,1,0.29,2,0.58,0,0.0,16,4.68,21,6.14,21,6.14,1,0.29,1,0.29,1,0.29,1,0.29,35,10.23,26,7.6,33,9.65,0,0.0,1,0.29,0,0.0,1,0.29,0,0.0,17,4.97,14,4.09,12,3.51,02027
2,28,27,0,0.0,0,0.0,1,3.7,0,0.0,2,7.41,1,3.7,0,0.0,1,3.7,1,3.7,1,3.7,1,3.7,1,3.7,0,0.0,0,0.0,0,0.0,1,3.7,5,18.52,3,11.11,5,18.52,0,0.0,0,0.0,0,0.0,1,3.7,0,0.0,1,3.7,1,3.7,1,3.7,02028
2,29,405,2,0.49,1,0.25,3,0.74,50,12.35,50,12.35,48,11.85,2,0.49,1,0.25,1,0.25,12,2.96,22,5.43,20,4.94,0,0.0,2,0.49,1,0.25,0,0.0,47,11.6,35,8.64,44,10.86,0,0.0,0,0.0,0,0.0,1,0.25,1,0.25,22,5.43,21,5.19,19,4.69,02029
2,32,253,4,1.58,2,0.79,1,0.4,19,7.51,19,7.51,16,6.32,1,0.4,0,0.0,0,0.0,10,3.95,14,5.53,11,4.35,0,0.0,2,0.79,2,0.79,1,0.4,45,17.79,34,13.44,38,15.02,0,0.0,0,0.0,1,0.4,0,0.0,0,0.0,13,5.14,10,3.95,10,3.95,02032
2,34,333,4,1.2,2,0.6,1,0.3,23,6.91,27,8.11,26,7.81,0,0.0,2,0.6,0,0.0,6,1.8,7,2.1,8,2.4,1,0.3,3,0.9,0,0.0,0,0.0,59,17.72,46,13.81,58,17.42,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,6.01,20,6.01,20,6.01,02034
2,35,390,2,0.51,1,0.26,2,0.51,17,4.36,21,5.38,17,4.36,1,0.26,0,0.0,1,0.26,15,3.85,22,5.64,26,6.67,1,0.26,3,0.77,1,0.26,3,0.77,66,16.92,54,13.85,73,18.72,1,0.26,2,0.51,0,0.0,1,0.26,1,0.26,19,4.87,21,5.38,19,4.87,02035
2,36,253,2,0.79,2,0.79,2,0.79,31,12.25,26,10.28,26,10.28,1,0.4,1,0.4,2,0.79,6,2.37,9,3.56,10,3.95,0,0.0,3,1.19,1,0.4,1,0.4,36,14.23,30,11.86,31,12.25,2,0.79,1,0.4,1,0.4,2,0.79,0,0.0,8,3.16,10,3.95,9,3.56,02036
2,38,238,2,0.84,2,0.84,3,1.26,25,10.5,25,10.5,23,9.66,0,0.0,2,0.84,2,0.84,10,4.2,15,6.3,16,6.72,0,0.0,1,0.42,0,0.0,1,0.42,30,12.61,19,7.98,27,11.34,0,0.0,2,0.84,0,0.0,0,0.0,0,0.0,12,5.04,11,4.62,10,4.2,02038
2,39,247,4,1.62,1,0.4,5,2.02,46,18.62,44,17.81,40,16.19,2,0.81,1,0.4,2,0.81,7,2.83,12,4.86,11,4.45,1,0.4,1,0.4,1,0.4,0,0.0,15,6.07,15,6.07,16,6.48,2,0.81,0,0.0,0,0.0,0,0.0,0,0.0,8,3.24,7,2.83,6,2.43,02039
2,40,329,2,0.61,2,0.61,2,0.61,38,11.55,33,10.03,34,10.33,2,0.61,1,0.3,2,0.61,10,3.04,16,4.86,16,4.86,0,0.0,2,0.61,1,0.3,1,0.3,39,11.85,36,10.94,44,13.37,1,0.3,1,0.3,0,0.0,2,0.61,0,0.0,17,5.17,13,3.95,14,4.26,02040
2,41,349,3,0.86,3,0.86,4,1.15,31,8.88,30,8.6,28,8.02,0,0.0,0,0.0,0,0.0,13,3.72,21,6.02,22,6.3,0,0.0,0,0.0,1,0.29,1,0.29,46,13.18,33,9.46,43,12.32,2,0.57,1,0.29,1,0.29,1,0.29,1,0.29,23,6.59,19,5.44,22,6.3,02041
2,42,276,6,2.17,3,1.09,5,1.81,19,6.88,20,7.25,19,6.88,3,1.09,3,1.09,0,0.0,9,3.26,17,6.16,17,6.16,1,0.36,1,0.36,2,0.72,1,0.36,39,14.13,30,10.87,34,12.32,1,0.36,1,0.36,2,0.72,1,0.36,1,0.36,14,5.07,13,4.71,14,5.07,02042
2,43,494,4,0.81,4,0.81,6,1.21,53,10.73,54,10.93,53,10.73,3,0.61,1,0.2,1,0.2,9,1.82,16,3.24,16,3.24,1,0.2,2,0.4,1,0.2,1,0.2,62,12.55,53,10.73,59,11.94,0,0.0,0,0.0,1,0.2,1,0.2,0,0.0,33,6.68,32,6.48,28,5.67,02043
2,45,231,2,0.87,2,0.87,2,0.87,20,8.66,20,8.66,22,9.52,4,1.73,1,0.43,2,0.87,12,5.19,15,6.49,11,4.76,2,0.87,4,1.73,0,0.0,3,1.3,25,10.82,23,9.96,24,10.39,1,0.43,3,1.3,2,0.87,3,1.3,3,1.3,9,3.9,7,3.03,9,3.9,02045
2,46,186,1,0.54,3,1.61,2,1.08,11,5.91,10,5.38,10,5.38,1,0.54,2,1.08,1,0.54,7,3.76,14,7.53,14,7.53,0,0.0,1,0.54,0,0.0,0,0.0,28,15.05,25,13.44,29,15.59,0,0.0,0,0.0,0,0.0,3,1.61,1,0.54,7,3.76,9,4.84,7,3.76,02046
3,1,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,50.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03001
3,2,9,0,0.0,0,0.0,0,0.0,2,22.22,2,22.22,2,22.22,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03002
3,3,30,0,0.0,0,0.0,0,0.0,6,20.0,6,20.0,5,16.67,0,0.0,1,3.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,10.0,2,6.67,3,10.0,1,3.33,2,6.67,1,3.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03003
3,4,8,0,0.0,0,0.0,0,0.0,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03004
3,5,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03005
3,6,270,4,1.48,0,0.0,0,0.0,28,10.37,25,9.26,22,8.15,2,0.74,4,1.48,1,0.37,12,4.44,18,6.67,14,5.19,0,0.0,1,0.37,1,0.37,1,0.37,38,14.07,27,10.0,35,12.96,1,0.37,0,0.0,0,0.0,5,1.85,1,0.37,15,5.56,7,2.59,8,2.96,03006
3,8,9,0,0.0,0,0.0,0,0.0,2,22.22,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,0,0.0,03008
3,9,18,0,0.0,0,0.0,0,0.0,3,16.67,2,11.11,2,11.11,0,0.0,0,0.0,0,0.0,2,11.11,4,22.22,3,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.56,0,0.0,0,0.0,0,0.0,0,0.0,1,5.56,0,0.0,03009
3,10,7,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,1,14.29,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03010
3,11,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,03011
3,12,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03012
3,13,229,1,0.44,1,0.44,1,0.44,25,10.92,25,10.92,24,10.48,1,0.44,1,0.44,0,0.0,8,3.49,12,5.24,13,5.68,0,0.0,1,0.44,0,0.0,0,0.0,30,13.1,24,10.48,29,12.66,0,0.0,0,0.0,0,0.0,1,0.44,0,0.0,11,4.8,10,4.37,11,4.8,03013
3,14,165,0,0.0,0,0.0,2,1.21,15,9.09,16,9.7,13,7.88,0,0.0,0,0.0,0,0.0,6,3.64,9,5.45,8,4.85,0,0.0,0,0.0,0,0.0,0,0.0,26,15.76,18,10.91,20,12.12,0,0.0,0,0.0,1,0.61,1,0.61,1,0.61,12,7.27,9,5.45,8,4.85,03014
3,15,22,1,4.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.55,0,0.0,2,9.09,4,18.18,3,13.64,1,4.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,9.09,1,4.55,2,9.09,0,0.0,0,0.0,2,9.09,1,4.55,2,9.09,03015
3,16,13,0,0.0,0,0.0,0,0.0,1,7.69,1,7.69,1,7.69,1,7.69,0,0.0,0,0.0,0,0.0,1,7.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.69,0,0.0,0,0.0,1,7.69,2,15.38,1,7.69,0,0.0,0,0.0,1,7.69,1,7.69,1,7.69,03016
3,17,128,2,1.56,1,0.78,2,1.56,9,7.03,8,6.25,10,7.81,1,0.78,0,0.0,0,0.0,7,5.47,8,6.25,9,7.03,0,0.0,1,0.78,0,0.0,0,0.0,19,14.84,18,14.06,17,13.28,2,1.56,1,0.78,2,1.56,0,0.0,0,0.0,4,3.13,4,3.13,3,2.34,03017
3,18,8,0,0.0,1,12.5,1,12.5,0,0.0,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,03018
3,19,284,1,0.35,1,0.35,0,0.0,27,9.51,30,10.56,27,9.51,3,1.06,1,0.35,0,0.0,15,5.28,18,6.34,20,7.04,1,0.35,0,0.0,1,0.35,0,0.0,33,11.62,28,9.86,32,11.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,5.63,15,5.28,15,5.28,03019
3,20,7,2,28.57,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03020
3,21,194,2,1.03,2,1.03,2,1.03,12,6.19,14,7.22,14,7.22,0,0.0,0,0.0,1,0.52,13,6.7,18,9.28,19,9.79,0,0.0,1,0.52,1,0.52,0,0.0,26,13.4,22,11.34,28,14.43,1,0.52,1,0.52,0,0.0,1,0.52,0,0.0,6,3.09,5,2.58,5,2.58,03021
3,22,228,2,0.88,3,1.32,2,0.88,19,8.33,23,10.09,19,8.33,1,0.44,0,0.0,0,0.0,11,4.82,13,5.7,14,6.14,1,0.44,1,0.44,1,0.44,0,0.0,27,11.84,24,10.53,27,11.84,1,0.44,0,0.0,0,0.0,2,0.88,1,0.44,12,5.26,12,5.26,12,5.26,03022
3,23,18,0,0.0,0,0.0,0,0.0,2,11.11,2,11.11,2,11.11,0,0.0,0,0.0,0,0.0,1,5.56,1,5.56,1,5.56,0,0.0,0,0.0,0,0.0,0,0.0,2,11.11,2,11.11,2,11.11,1,5.56,1,5.56,1,5.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03023
3,24,14,0,0.0,1,7.14,0,0.0,1,7.14,1,7.14,1,7.14,0,0.0,1,7.14,0,0.0,1,7.14,1,7.14,3,21.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.14,1,7.14,1,7.14,03024
3,25,381,2,0.52,0,0.0,0,0.0,48,12.6,43,11.29,41,10.76,3,0.79,0,0.0,1,0.26,14,3.67,23,6.04,21,5.51,1,0.26,1,0.26,0,0.0,1,0.26,42,11.02,38,9.97,41,10.76,1,0.26,2,0.52,1,0.26,2,0.52,1,0.26,18,4.72,19,4.99,17,4.46,03025
3,26,198,2,1.01,2,1.01,3,1.52,22,11.11,22,11.11,23,11.62,0,0.0,0,0.0,1,0.51,7,3.54,5,2.53,6,3.03,0,0.0,0,0.0,0,0.0,1,0.51,28,14.14,19,9.6,26,13.13,0,0.0,1,0.51,1,0.51,1,0.51,0,0.0,10,5.05,9,4.55,9,4.55,03026
3,27,274,2,0.73,0,0.0,0,0.0,31,11.31,31,11.31,29,10.58,0,0.0,0,0.0,1,0.36,17,6.2,24,8.76,21,7.66,1,0.36,1,0.36,0,0.0,0,0.0,30,10.95,21,7.66,27,9.85,2,0.73,3,1.09,1,0.36,1,0.36,1,0.36,11,4.01,11,4.01,8,2.92,03027
3,28,15,1,6.67,1,6.67,1,6.67,0,0.0,0,0.0,0,0.0,0,0.0,1,6.67,1,6.67,0,0.0,0,0.0,0,0.0,0,0.0,1,6.67,1,6.67,1,6.67,3,20.0,1,6.67,1,6.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.67,1,6.67,0,0.0,03028
3,29,19,0,0.0,0,0.0,1,5.26,1,5.26,1,5.26,1,5.26,0,0.0,1,5.26,0,0.0,1,5.26,1,5.26,2,10.53,0,0.0,1,5.26,0,0.0,0,0.0,1,5.26,1,5.26,1,5.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,10.53,2,10.53,2,10.53,03029
3,30,7,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03030
3,31,8,0,0.0,0,0.0,0,0.0,1,12.5,2,25.0,2,25.0,0,0.0,0,0.0,0,0.0,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03031
3,32,212,2,0.94,0,0.0,1,0.47,21,9.91,21,9.91,21,9.91,1,0.47,1,0.47,2,0.94,11,5.19,16,7.55,16,7.55,0,0.0,1,0.47,1,0.47,2,0.94,22,10.38,16,7.55,21,9.91,1,0.47,1,0.47,2,0.94,2,0.94,0,0.0,12,5.66,9,4.25,9,4.25,03032
3,33,232,1,0.43,2,0.86,0,0.0,21,9.05,24,10.34,21,9.05,2,0.86,1,0.43,0,0.0,8,3.45,12,5.17,13,5.6,1,0.43,2,0.86,1,0.43,3,1.29,33,14.22,27,11.64,29,12.5,0,0.0,0,0.0,0,0.0,1,0.43,1,0.43,13,5.6,9,3.88,7,3.02,03033
3,34,204,3,1.47,1,0.49,2,0.98,15,7.35,18,8.82,18,8.82,2,0.98,0,0.0,1,0.49,8,3.92,11,5.39,12,5.88,0,0.0,1,0.49,0,0.0,0,0.0,23,11.27,20,9.8,20,9.8,1,0.49,1,0.49,1,0.49,2,0.98,0,0.0,15,7.35,16,7.84,13,6.37,03034
3,35,6,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,03035
3,36,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03036
3,37,6,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03037
3,39,281,2,0.71,1,0.36,1,0.36,28,9.96,28,9.96,27,9.61,1,0.36,2,0.71,0,0.0,12,4.27,16,5.69,14,4.98,1,0.36,0,0.0,0,0.0,0,0.0,38,13.52,35,12.46,37,13.17,1,0.36,1,0.36,3,1.07,0,0.0,0,0.0,14,4.98,11,3.91,8,2.85,03039
3,40,83,1,1.2,0,0.0,1,1.2,6,7.23,6,7.23,5,6.02,1,1.2,0,0.0,0,0.0,5,6.02,7,8.43,6,7.23,1,1.2,2,2.41,1,1.2,0,0.0,13,15.66,9,10.84,10,12.05,0,0.0,0,0.0,0,0.0,1,1.2,1,1.2,2,2.41,2,2.41,3,3.61,03040
4,2,249,2,0.8,0,0.0,5,2.01,15,6.02,21,8.43,20,8.03,1,0.4,2,0.8,0,0.0,10,4.02,13,5.22,10,4.02,2,0.8,0,0.0,1,0.4,2,0.8,45,18.07,35,14.06,38,15.26,1,0.4,2,0.8,0,0.0,1,0.4,1,0.4,9,3.61,8,3.21,5,2.01,04002
