ward,precinct,total,Stephen J. Balich (Cruz),Stephen J. Balich (Cruz) Percent,Jerry Randick (Cruz),Jerry Randick (Cruz) Percent,Nancy Ann Powell-Hayes (Cruz),Nancy Ann Powell-Hayes (Cruz) Percent,Thomas Beller (Christie),Thomas Beller (Christie) Percent,Patrick Hackett (Christie),Patrick Hackett (Christie) Percent,Kathryn Meyer (Christie),Kathryn Meyer (Christie) Percent,John Lynch (Trump),John Lynch (Trump) Percent,Cynthia Schaffer (Trump),Cynthia Schaffer (Trump) Percent,Bob Anderson (Trump),Bob Anderson (Trump) Percent,Colleen Grant Schumann (Bush),Colleen Grant Schumann (Bush) Percent,Scott McPherson (Bush),Scott McPherson (Bush) Percent,Ian Brenson (Bush),Ian Brenson (Bush) Percent,Salvador ''Tony'' Godinez (Fiorina),Salvador ''Tony'' Godinez (Fiorina) Percent,Sharon Kubasak (Fiorina),Sharon Kubasak (Fiorina) Percent,Deborah ''Debbie'' Burzinski (Fiorina),Deborah ''Debbie'' Burzinski (Fiorina) Percent,Christine Radogno (Kasich),Christine Radogno (Kasich) Percent,Sean M. Morrison (Kasich),Sean M. Morrison (Kasich) Percent,Elizabeth Ann Gorman (Kasich),Elizabeth Ann Gorman (Kasich) Percent,John Pappas (Paul),John Pappas (Paul) Percent,Dan Mitchell (Paul),Dan Mitchell (Paul) Percent,Harry W. Oryhon (Carson),Harry W. Oryhon (Carson) Percent,Mark S. Zajac (Carson),Mark S. Zajac (Carson) Percent,Barbara F. Hoffman (Carson),Barbara F. Hoffman (Carson) Percent,Herb Schumann (Rubio),Herb Schumann (Rubio) Percent,George Yukich (Rubio),George Yukich (Rubio) Percent,precinct_id
11,16,111,8,7.21,7,6.31,4,3.6,1,0.9,1,0.9,1,0.9,24,21.62,23,20.72,22,19.82,1,0.9,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9,3,2.7,3,2.7,2,1.8,1,0.9,2,1.8,0,0.0,1,0.9,2,1.8,2,1.8,1,0.9,11016
11,17,116,12,10.34,10,8.62,8,6.9,0,0.0,0,0.0,1,0.86,19,16.38,18,15.52,20,17.24,0,0.0,2,1.72,1,0.86,0,0.0,0,0.0,1,0.86,4,3.45,4,3.45,3,2.59,0,0.0,0,0.0,1,0.86,0,0.0,0,0.0,4,3.45,4,3.45,11017
11,18,77,7,9.09,7,9.09,3,3.9,0,0.0,0,0.0,1,1.3,15,19.48,14,18.18,16,20.78,1,1.3,0,0.0,0,0.0,1,1.3,2,2.6,0,0.0,3,3.9,1,1.3,2,2.6,0,0.0,0,0.0,0,0.0,0,0.0,1,1.3,1,1.3,1,1.3,11018
11,19,184,19,10.33,19,10.33,15,8.15,1,0.54,1,0.54,1,0.54,22,11.96,22,11.96,21,11.41,0,0.0,1,0.54,0,0.0,0,0.0,2,1.09,0,0.0,9,4.89,9,4.89,7,3.8,3,1.63,0,0.0,1,0.54,1,0.54,1,0.54,9,4.89,10,5.43,11019
11,20,97,8,8.25,6,6.19,5,5.15,0,0.0,1,1.03,0,0.0,19,19.59,19,19.59,20,20.62,0,0.0,0,0.0,0,0.0,1,1.03,0,0.0,1,1.03,6,6.19,3,3.09,1,1.03,4,4.12,0,0.0,0,0.0,0,0.0,1,1.03,1,1.03,1,1.03,11020
11,21,173,14,8.09,8,4.62,7,4.05,2,1.16,3,1.73,2,1.16,38,21.97,32,18.5,31,17.92,1,0.58,1,0.58,0,0.0,1,0.58,1,0.58,0,0.0,5,2.89,3,1.73,3,1.73,0,0.0,2,1.16,0,0.0,1,0.58,0,0.0,7,4.05,5,2.89,11021
11,22,181,16,8.84,15,8.29,13,7.18,0,0.0,0,0.0,0,0.0,38,20.99,40,22.1,35,19.34,0,0.0,1,0.55,0,0.0,0,0.0,1,0.55,1,0.55,4,2.21,4,2.21,4,2.21,2,1.1,0,0.0,0,0.0,0,0.0,1,0.55,2,1.1,3,1.66,11022
11,23,106,3,2.83,2,1.89,2,1.89,0,0.0,0,0.0,2,1.89,25,23.58,26,24.53,25,23.58,0,0.0,0,0.0,0,0.0,1,0.94,1,0.94,0,0.0,2,1.89,2,1.89,2,1.89,0,0.0,0,0.0,0,0.0,0,0.0,1,0.94,4,3.77,4,3.77,11023
11,24,127,9,7.09,9,7.09,6,4.72,0,0.0,0,0.0,1,0.79,22,17.32,20,15.75,18,14.17,0,0.0,0,0.0,0,0.0,0,0.0,1,0.79,0,0.0,4,3.15,4,3.15,4,3.15,1,0.79,2,1.57,1,0.79,0,0.0,2,1.57,8,6.3,7,5.51,11024
11,25,153,15,9.8,16,10.46,13,8.5,1,0.65,3,1.96,2,1.31,17,11.11,18,11.76,16,10.46,1,0.65,1,0.65,0,0.0,0,0.0,0,0.0,1,0.65,9,5.88,7,4.58,5,3.27,3,1.96,3,1.96,1,0.65,0,0.0,1,0.65,4,2.61,7,4.58,11025
11,26,184,18,9.78,16,8.7,15,8.15,0,0.0,0,0.0,0,0.0,33,17.93,29,15.76,32,17.39,0,0.0,1,0.54,0,0.0,0,0.0,1,0.54,0,0.0,4,2.17,6,3.26,4,2.17,1,0.54,0,0.0,2,1.09,1,0.54,1,0.54,6,3.26,7,3.8,11026
11,27,30,1,3.33,1,3.33,2,6.67,0,0.0,0,0.0,1,3.33,6,20.0,4,13.33,3,10.0,2,6.67,2,6.67,0,0.0,0,0.0,0,0.0,0,0.0,2,6.67,2,6.67,2,6.67,1,3.33,0,0.0,0,0.0,1,3.33,0,0.0,0,0.0,0,0.0,11027
11,28,76,1,1.32,3,3.95,1,1.32,0,0.0,0,0.0,1,1.32,20,26.32,18,23.68,19,25.0,2,2.63,0,0.0,0,0.0,1,1.32,0,0.0,0,0.0,0,0.0,1,1.32,1,1.32,1,1.32,1,1.32,0,0.0,0,0.0,0,0.0,3,3.95,1,1.32,11028
11,29,191,18,9.42,15,7.85,11,5.76,1,0.52,2,1.05,0,0.0,34,17.8,34,17.8,33,17.28,0,0.0,0,0.0,0,0.0,1,0.52,0,0.0,0,0.0,6,3.14,8,4.19,5,2.62,1,0.52,3,1.57,0,0.0,0,0.0,1,0.52,6,3.14,6,3.14,11029
11,31,180,14,7.78,11,6.11,8,4.44,0,0.0,0,0.0,0,0.0,37,20.56,36,20.0,30,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,3.89,6,3.33,4,2.22,1,0.56,0,0.0,0,0.0,1,0.56,0,0.0,8,4.44,8,4.44,11031
11,32,141,9,6.38,7,4.96,6,4.26,1,0.71,2,1.42,1,0.71,28,19.86,24,17.02,26,18.44,1,0.71,1,0.71,2,1.42,1,0.71,1,0.71,0,0.0,8,5.67,5,3.55,4,2.84,3,2.13,3,2.13,0,0.0,0,0.0,0,0.0,1,0.71,5,3.55,11032
11,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11037
12,1,92,9,9.78,8,8.7,7,7.61,0,0.0,0,0.0,1,1.09,15,16.3,15,16.3,15,16.3,1,1.09,1,1.09,0,0.0,1,1.09,1,1.09,1,1.09,1,1.09,1,1.09,2,2.17,0,0.0,0,0.0,1,1.09,1,1.09,0,0.0,4,4.35,3,3.26,12001
12,3,73,6,8.22,4,5.48,4,5.48,0,0.0,0,0.0,2,2.74,10,13.7,10,13.7,10,13.7,1,1.37,0,0.0,0,0.0,1,1.37,0,0.0,0,0.0,2,2.74,2,2.74,2,2.74,1,1.37,0,0.0,1,1.37,1,1.37,1,1.37,5,6.85,5,6.85,12003
12,4,51,5,9.8,3,5.88,6,11.76,0,0.0,0,0.0,0,0.0,6,11.76,8,15.69,7,13.73,0,0.0,0,0.0,0,0.0,1,1.96,0,0.0,0,0.0,2,3.92,3,5.88,2,3.92,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,3.92,4,7.84,12004
12,5,22,0,0.0,0,0.0,0,0.0,0,0.0,1,4.55,0,0.0,6,27.27,5,22.73,5,22.73,1,4.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.55,1,4.55,1,4.55,0,0.0,0,0.0,0,0.0,1,4.55,0,0.0,0,0.0,0,0.0,12005
12,8,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12008
12,9,68,6,8.82,4,5.88,4,5.88,0,0.0,1,1.47,0,0.0,13,19.12,12,17.65,10,14.71,2,2.94,0,0.0,0,0.0,1,1.47,0,0.0,0,0.0,2,2.94,3,4.41,1,1.47,1,1.47,3,4.41,0,0.0,0,0.0,0,0.0,2,2.94,1,1.47,12009
12,19,65,8,12.31,6,9.23,5,7.69,0,0.0,0,0.0,1,1.54,5,7.69,6,9.23,4,6.15,1,1.54,1,1.54,1,1.54,0,0.0,0,0.0,1,1.54,2,3.08,0,0.0,0,0.0,4,6.15,1,1.54,2,3.08,0,0.0,1,1.54,7,10.77,5,7.69,12019
12,23,98,4,4.08,4,4.08,2,2.04,2,2.04,2,2.04,1,1.02,16,16.33,15,15.31,16,16.33,0,0.0,2,2.04,1,1.02,0,0.0,0,0.0,2,2.04,0,0.0,1,1.02,1,1.02,2,2.04,1,1.02,5,5.1,5,5.1,2,2.04,4,4.08,5,5.1,12023
13,1,101,7,6.93,9,8.91,7,6.93,0,0.0,0,0.0,2,1.98,19,18.81,19,18.81,17,16.83,1,0.99,2,1.98,1,0.99,0,0.0,0,0.0,0,0.0,2,1.98,1,0.99,3,2.97,0,0.0,0,0.0,0,0.0,1,0.99,0,0.0,4,3.96,3,2.97,13001
13,2,113,14,12.39,12,10.62,8,7.08,0,0.0,1,0.88,1,0.88,18,15.93,17,15.04,15,13.27,0,0.0,0,0.0,1,0.88,2,1.77,1,0.88,2,1.77,2,1.77,2,1.77,2,1.77,1,0.88,0,0.0,0,0.0,1,0.88,1,0.88,3,2.65,3,2.65,13002
13,3,40,3,7.5,3,7.5,4,10.0,0,0.0,0,0.0,0,0.0,9,22.5,8,20.0,9,22.5,0,0.0,0,0.0,0,0.0,1,2.5,0,0.0,1,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.5,0,0.0,0,0.0,1,2.5,13003
13,4,144,6,4.17,8,5.56,4,2.78,0,0.0,0,0.0,0,0.0,32,22.22,35,24.31,29,20.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,5.56,7,4.86,6,4.17,0,0.0,0,0.0,0,0.0,1,0.69,0,0.0,3,2.08,2,1.39,13004
13,5,61,6,9.84,6,9.84,3,4.92,2,3.28,2,3.28,0,0.0,5,8.2,6,9.84,7,11.48,3,4.92,0,0.0,1,1.64,1,1.64,0,0.0,1,1.64,1,1.64,2,3.28,1,1.64,0,0.0,1,1.64,1,1.64,1,1.64,1,1.64,2,3.28,2,3.28,13005
13,6,122,7,5.74,7,5.74,5,4.1,0,0.0,0,0.0,0,0.0,27,22.13,26,21.31,28,22.95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.82,4,3.28,3,2.46,3,2.46,1,0.82,0,0.0,2,1.64,2,1.64,1,0.82,3,2.46,1,0.82,13006
13,7,30,1,3.33,0,0.0,0,0.0,0,0.0,0,0.0,1,3.33,5,16.67,5,16.67,4,13.33,0,0.0,0,0.0,0,0.0,1,3.33,0,0.0,1,3.33,2,6.67,3,10.0,1,3.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,6.67,2,6.67,13007
13,8,139,10,7.19,11,7.91,9,6.47,0,0.0,1,0.72,1,0.72,23,16.55,25,17.99,23,16.55,0,0.0,1,0.72,0,0.0,1,0.72,1,0.72,0,0.0,5,3.6,4,2.88,4,2.88,4,2.88,2,1.44,2,1.44,1,0.72,0,0.0,6,4.32,1,0.72,13008
13,9,84,9,10.71,8,9.52,4,4.76,1,1.19,0,0.0,0,0.0,12,14.29,13,15.48,12,14.29,0,0.0,1,1.19,2,2.38,2,2.38,0,0.0,0,0.0,1,1.19,1,1.19,1,1.19,0,0.0,1,1.19,1,1.19,0,0.0,0,0.0,5,5.95,4,4.76,13009
13,10,163,9,5.52,10,6.13,8,4.91,0,0.0,0,0.0,2,1.23,34,20.86,35,21.47,32,19.63,0,0.0,1,0.61,0,0.0,1,0.61,0,0.0,1,0.61,6,3.68,8,4.91,5,3.07,0,0.0,0,0.0,1,0.61,2,1.23,2,1.23,2,1.23,2,1.23,13010
13,11,109,10,9.17,10,9.17,9,8.26,1,0.92,0,0.0,1,0.92,19,17.43,19,17.43,17,15.6,1,0.92,1,0.92,1,0.92,1,0.92,0,0.0,0,0.0,2,1.83,2,1.83,3,2.75,6,5.5,1,0.92,0,0.0,0,0.0,1,0.92,2,1.83,1,0.92,13011
13,12,71,7,9.86,8,11.27,7,9.86,1,1.41,1,1.41,1,1.41,11,15.49,12,16.9,11,15.49,0,0.0,0,0.0,0,0.0,2,2.82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.82,0,0.0,0,0.0,0,0.0,0,0.0,3,4.23,2,2.82,13012
13,13,20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,30.0,5,25.0,4,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0,1,5.0,2,10.0,1,5.0,0,0.0,0,0.0,13013
13,14,70,10,14.29,10,14.29,7,10.0,1,1.43,0,0.0,0,0.0,10,14.29,10,14.29,9,12.86,1,1.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.43,1,1.43,1,1.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,4.29,4,5.71,13014
13,15,61,2,3.28,1,1.64,3,4.92,0,0.0,0,0.0,0,0.0,11,18.03,13,21.31,12,19.67,1,1.64,3,4.92,0,0.0,0,0.0,0,0.0,2,3.28,3,4.92,4,6.56,2,3.28,1,1.64,0,0.0,1,1.64,1,1.64,1,1.64,0,0.0,0,0.0,13015
13,16,23,2,8.7,3,13.04,1,4.35,0,0.0,0,0.0,0,0.0,2,8.7,3,13.04,3,13.04,0,0.0,0,0.0,0,0.0,2,8.7,0,0.0,0,0.0,1,4.35,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,1,4.35,0,0.0,1,4.35,1,4.35,13016
13,17,118,6,5.08,6,5.08,6,5.08,1,0.85,2,1.69,1,0.85,22,18.64,25,21.19,23,19.49,0,0.0,2,1.69,1,0.85,1,0.85,0,0.0,2,1.69,3,2.54,3,2.54,1,0.85,1,0.85,0,0.0,0,0.0,1,0.85,0,0.0,4,3.39,3,2.54,13017
13,18,118,8,6.78,8,6.78,8,6.78,0,0.0,1,0.85,3,2.54,23,19.49,22,18.64,21,17.8,0,0.0,1,0.85,0,0.0,1,0.85,1,0.85,0,0.0,3,2.54,3,2.54,2,1.69,1,0.85,0,0.0,2,1.69,2,1.69,3,2.54,2,1.69,1,0.85,13018
13,20,124,10,8.06,10,8.06,6,4.84,1,0.81,0,0.0,1,0.81,27,21.77,24,19.35,29,23.39,0,0.0,2,1.61,0,0.0,0,0.0,1,0.81,0,0.0,3,2.42,1,0.81,1,0.81,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.61,3,2.42,13020
13,21,179,14,7.82,11,6.15,10,5.59,1,0.56,0,0.0,0,0.0,38,21.23,37,20.67,38,21.23,0,0.0,0,0.0,0,0.0,1,0.56,1,0.56,2,1.12,4,2.23,4,2.23,2,1.12,2,1.12,1,0.56,0,0.0,2,1.12,1,0.56,4,2.23,3,1.68,13021
13,22,167,7,4.19,7,4.19,5,2.99,1,0.6,2,1.2,1,0.6,37,22.16,38,22.75,39,23.35,0,0.0,0,0.0,0,0.0,1,0.6,0,0.0,2,1.2,4,2.4,4,2.4,4,2.4,1,0.6,1,0.6,0,0.0,3,1.8,0,0.0,3,1.8,3,1.8,13022
13,23,52,5,9.62,4,7.69,5,9.62,0,0.0,0,0.0,0,0.0,7,13.46,7,13.46,7,13.46,0,0.0,1,1.92,0,0.0,0,0.0,1,1.92,3,5.77,3,5.77,3,5.77,1,1.92,0,0.0,1,1.92,0,0.0,0,0.0,1,1.92,1,1.92,1,1.92,13023
13,24,81,9,11.11,7,8.64,4,4.94,0,0.0,0,0.0,0,0.0,13,16.05,12,14.81,15,18.52,0,0.0,1,1.23,0,0.0,0,0.0,0,0.0,0,0.0,2,2.47,3,3.7,3,3.7,3,3.7,0,0.0,0,0.0,4,4.94,0,0.0,1,1.23,2,2.47,13024
13,25,59,2,3.39,4,6.78,2,3.39,0,0.0,0,0.0,0,0.0,13,22.03,12,20.34,11,18.64,0,0.0,1,1.69,0,0.0,1,1.69,0,0.0,0,0.0,2,3.39,1,1.69,2,3.39,2,3.39,0,0.0,0,0.0,0,0.0,1,1.69,1,1.69,1,1.69,13025
13,26,94,7,7.45,5,5.32,3,3.19,0,0.0,0,0.0,0,0.0,19,20.21,18,19.15,14,14.89,2,2.13,2,2.13,2,2.13,0,0.0,0,0.0,1,1.06,4,4.26,4,4.26,4,4.26,1,1.06,1,1.06,0,0.0,2,2.13,1,1.06,1,1.06,2,2.13,13026
13,27,72,11,15.28,10,13.89,9,12.5,1,1.39,0,0.0,0,0.0,7,9.72,7,9.72,7,9.72,1,1.39,2,2.78,2,2.78,0,0.0,0,0.0,0,0.0,1,1.39,1,1.39,1,1.39,1,1.39,0,0.0,0,0.0,1,1.39,0,0.0,5,6.94,3,4.17,13027
13,28,32,3,9.38,3,9.38,1,3.13,0,0.0,0,0.0,0,0.0,5,15.63,5,15.63,4,12.5,1,3.13,1,3.13,1,3.13,1,3.13,1,3.13,0,0.0,0,0.0,1,3.13,1,3.13,0,0.0,0,0.0,1,3.13,1,3.13,1,3.13,0,0.0,0,0.0,13028
13,29,73,7,9.59,6,8.22,7,9.59,0,0.0,0,0.0,1,1.37,6,8.22,11,15.07,7,9.59,1,1.37,1,1.37,0,0.0,3,4.11,1,1.37,0,0.0,3,4.11,2,2.74,2,2.74,2,2.74,0,0.0,0,0.0,1,1.37,0,0.0,6,8.22,2,2.74,13029
13,30,11,2,18.18,3,27.27,2,18.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.09,0,0.0,1,9.09,0,0.0,0,0.0,1,9.09,0,0.0,0,0.0,0,0.0,1,9.09,13030
13,31,199,11,5.53,13,6.53,7,3.52,2,1.01,0,0.0,2,1.01,37,18.59,39,19.6,38,19.1,2,1.01,5,2.51,1,0.5,1,0.5,2,1.01,1,0.5,6,3.02,4,2.01,1,0.5,6,3.02,2,1.01,2,1.01,3,1.51,1,0.5,5,2.51,4,2.01,13031
13,32,119,4,3.36,6,5.04,2,1.68,0,0.0,0,0.0,1,0.84,23,19.33,26,21.85,27,22.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,2.52,3,2.52,3,2.52,1,0.84,0,0.0,0,0.0,1,0.84,0,0.0,7,5.88,6,5.04,13032
13,33,167,10,5.99,10,5.99,7,4.19,1,0.6,1,0.6,0,0.0,33,19.76,37,22.16,31,18.56,0,0.0,2,1.2,0,0.0,1,0.6,0,0.0,1,0.6,4,2.4,2,1.2,1,0.6,2,1.2,3,1.8,0,0.0,3,1.8,1,0.6,5,2.99,5,2.99,13033
13,34,43,2,4.65,6,13.95,0,0.0,1,2.33,1,2.33,0,0.0,6,13.95,5,11.63,5,11.63,0,0.0,1,2.33,1,2.33,0,0.0,0,0.0,0,0.0,2,4.65,2,4.65,2,4.65,2,4.65,1,2.33,0,0.0,0,0.0,0,0.0,2,4.65,2,4.65,13034
13,35,23,4,17.39,4,17.39,4,17.39,0,0.0,0,0.0,0,0.0,4,17.39,3,13.04,3,13.04,0,0.0,0,0.0,0,0.0,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13035
13,36,29,1,3.45,1,3.45,1,3.45,0,0.0,0,0.0,0,0.0,2,6.9,2,6.9,1,3.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.45,0,0.0,0,0.0,1,3.45,0,0.0,1,3.45,1,3.45,1,3.45,6,20.69,5,17.24,13036
13,37,29,2,6.9,2,6.9,1,3.45,0,0.0,1,3.45,0,0.0,3,10.34,3,10.34,4,13.79,1,3.45,1,3.45,2,6.9,1,3.45,0,0.0,0,0.0,1,3.45,1,3.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,6.9,1,3.45,13037
13,38,137,3,2.19,3,2.19,4,2.92,1,0.73,1,0.73,1,0.73,35,25.55,35,25.55,35,25.55,0,0.0,1,0.73,0,0.0,0,0.0,0,0.0,0,0.0,1,0.73,1,0.73,1,0.73,4,2.92,0,0.0,0,0.0,1,0.73,0,0.0,4,2.92,3,2.19,13038
13,39,23,3,13.04,3,13.04,3,13.04,0,0.0,0,0.0,0,0.0,2,8.7,3,13.04,2,8.7,1,4.35,1,4.35,1,4.35,0,0.0,0,0.0,0,0.0,1,4.35,1,4.35,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13039
13,40,50,7,14.0,6,12.0,3,6.0,1,2.0,1,2.0,1,2.0,4,8.0,5,10.0,5,10.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.0,1,2.0,0,0.0,0,0.0,0,0.0,1,2.0,0,0.0,0,0.0,2,4.0,0,0.0,4,8.0,4,8.0,13040
13,41,64,3,4.69,3,4.69,2,3.13,0,0.0,0,0.0,0,0.0,11,17.19,10,15.63,8,12.5,0,0.0,0,0.0,0,0.0,0,0.0,1,1.56,1,1.56,3,4.69,2,3.13,1,1.56,1,1.56,2,3.13,1,1.56,1,1.56,1,1.56,5,7.81,3,4.69,13041
13,42,170,10,5.88,12,7.06,7,4.12,1,0.59,1,0.59,1,0.59,36,21.18,33,19.41,30,17.65,0,0.0,1,0.59,1,0.59,0,0.0,2,1.18,4,2.35,4,2.35,3,1.76,1,0.59,2,1.18,0,0.0,2,1.18,3,1.76,1,0.59,5,2.94,5,2.94,13042
13,43,51,5,9.8,6,11.76,4,7.84,1,1.96,0,0.0,0,0.0,3,5.88,8,15.69,6,11.76,0,0.0,1,1.96,0,0.0,1,1.96,0,0.0,1,1.96,0,0.0,0,0.0,0,0.0,1,1.96,0,0.0,0,0.0,0,0.0,1,1.96,5,9.8,4,7.84,13043
