ward,precinct,total,Phyllis Demarco (Cruz),Phyllis Demarco (Cruz) Percent,Sara Marie Lamantia (Cruz),Sara Marie Lamantia (Cruz) Percent,Brad Messervey (Cruz),Brad Messervey (Cruz) Percent,James Ignatowski (Trump),James Ignatowski (Trump) Percent,Steve Bayne (Trump),Steve Bayne (Trump) Percent,Cathryn Biga (Trump),Cathryn Biga (Trump) Percent,Angelo ''Skip'' Saviano (Bush),Angelo ''Skip'' Saviano (Bush) Percent,Amy S. Findlay (Bush),Amy S. Findlay (Bush) Percent,Heather E. Way Kitzes (Christie),Heather E. Way Kitzes (Christie) Percent,Ashvin Lad (Christie),Ashvin Lad (Christie) Percent,Alexander Doberstein (Christie),Alexander Doberstein (Christie) Percent,Scott Newhall (Fiorina),Scott Newhall (Fiorina) Percent,Lucinda ''Cindy'' Burke (Fiorina),Lucinda ''Cindy'' Burke (Fiorina) Percent,Robert Bedell (Fiorina),Robert Bedell (Fiorina) Percent,Ryan P. McNicholas (Kasich),Ryan P. McNicholas (Kasich) Percent,Paul A. Laliberte (Kasich),Paul A. Laliberte (Kasich) Percent,Richard J. Veenstra (Kasich),Richard J. Veenstra (Kasich) Percent,Jonathon H. Luers (Carson),Jonathon H. Luers (Carson) Percent,Evan Jane Ellman (Carson),Evan Jane Ellman (Carson) Percent,Laura M. Urbik Kern (Carson),Laura M. Urbik Kern (Carson) Percent,Sophia Babiarz (Paul),Sophia Babiarz (Paul) Percent,Earon Shaw Rein (Paul),Earon Shaw Rein (Paul) Percent,Sean T. Noonan (Rubio),Sean T. Noonan (Rubio) Percent,Laura Mary Kotelman (Rubio),Laura Mary Kotelman (Rubio) Percent,William C. Beck (Rubio),William C. Beck (Rubio) Percent,precinct_id
27,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27040
27,42,148,9,6.08,8,5.41,8,5.41,17,11.49,18,12.16,18,12.16,1,0.68,0,0.0,2,1.35,1,0.68,1,0.68,1,0.68,0,0.0,0,0.0,15,10.14,16,10.81,16,10.81,1,0.68,1,0.68,1,0.68,1,0.68,1,0.68,5,3.38,3,2.03,4,2.7,27042
27,43,10,1,10.0,1,10.0,1,10.0,1,10.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,1,10.0,0,0.0,0,0.0,1,10.0,1,10.0,0,0.0,0,0.0,27043
27,46,204,10,4.9,11,5.39,8,3.92,13,6.37,13,6.37,13,6.37,1,0.49,3,1.47,0,0.0,1,0.49,0,0.0,1,0.49,0,0.0,1,0.49,28,13.73,39,19.12,36,17.65,2,0.98,0,0.0,0,0.0,0,0.0,0,0.0,8,3.92,6,2.94,7,3.43,27046
29,23,16,1,6.25,1,6.25,2,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.25,1,6.25,1,6.25,1,6.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,18.75,2,12.5,3,18.75,29023
29,29,158,14,8.86,12,7.59,14,8.86,26,16.46,25,15.82,24,15.19,4,2.53,0,0.0,0,0.0,1,0.63,1,0.63,1,0.63,0,0.0,0,0.0,5,3.16,7,4.43,6,3.8,2,1.27,1,0.63,1,0.63,2,1.27,0,0.0,4,2.53,3,1.9,5,3.16,29029
29,31,242,11,4.55,14,5.79,12,4.96,47,19.42,42,17.36,38,15.7,5,2.07,2,0.83,0,0.0,2,0.83,0,0.0,0,0.0,0,0.0,0,0.0,8,3.31,10,4.13,10,4.13,4,1.65,1,0.41,0,0.0,2,0.83,1,0.41,12,4.96,9,3.72,10,4.13,29031
29,32,236,15,6.36,12,5.08,12,5.08,55,23.31,48,20.34,43,18.22,4,1.69,1,0.42,1,0.42,0,0.0,1,0.42,0,0.0,0,0.0,1,0.42,7,2.97,8,3.39,7,2.97,0,0.0,0,0.0,2,0.85,0,0.0,0,0.0,7,2.97,4,1.69,8,3.39,29032
29,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29038
29,39,79,5,6.33,6,7.59,5,6.33,15,18.99,15,18.99,15,18.99,1,1.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.53,3,3.8,2,2.53,1,1.27,1,1.27,1,1.27,1,1.27,0,0.0,2,2.53,2,2.53,2,2.53,29039
30,15,100,11,11.0,9,9.0,11,11.0,7,7.0,8,8.0,7,7.0,1,1.0,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,7.0,8,8.0,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,7.0,5,5.0,5,5.0,30015
30,17,66,6,9.09,7,10.61,7,10.61,8,12.12,9,13.64,6,9.09,0,0.0,0,0.0,0,0.0,0,0.0,1,1.52,0,0.0,1,1.52,0,0.0,2,3.03,3,4.55,3,4.55,0,0.0,0,0.0,0,0.0,2,3.03,1,1.52,3,4.55,4,6.06,2,3.03,30017
30,21,75,8,10.67,8,10.67,8,10.67,15,20.0,14,18.67,14,18.67,0,0.0,2,2.67,0,0.0,0,0.0,0,0.0,1,1.33,0,0.0,0,0.0,0,0.0,1,1.33,2,2.67,0,0.0,0,0.0,0,0.0,1,1.33,0,0.0,0,0.0,0,0.0,1,1.33,30021
32,1,223,10,4.48,12,5.38,9,4.04,21,9.42,20,8.97,21,9.42,0,0.0,3,1.35,2,0.9,1,0.45,1,0.45,0,0.0,2,0.9,1,0.45,22,9.87,28,12.56,27,12.11,3,1.35,3,1.35,3,1.35,2,0.9,0,0.0,13,5.83,8,3.59,9,4.04,32001
32,2,240,12,5.0,14,5.83,12,5.0,13,5.42,13,5.42,14,5.83,4,1.67,4,1.67,1,0.42,1,0.42,1,0.42,0,0.0,1,0.42,1,0.42,32,13.33,37,15.42,32,13.33,2,0.83,0,0.0,0,0.0,2,0.83,2,0.83,16,6.67,12,5.0,10,4.17,32002
32,4,164,5,3.05,5,3.05,4,2.44,7,4.27,7,4.27,6,3.66,1,0.61,2,1.22,0,0.0,1,0.61,0,0.0,0,0.0,0,0.0,0,0.0,31,18.9,39,23.78,37,22.56,0,0.0,0,0.0,0,0.0,1,0.61,1,0.61,8,4.88,3,1.83,4,2.44,32004
32,5,175,12,6.86,12,6.86,11,6.29,7,4.0,12,6.86,11,6.29,4,2.29,2,1.14,2,1.14,1,0.57,0,0.0,0,0.0,1,0.57,0,0.0,21,12.0,27,15.43,25,14.29,1,0.57,1,0.57,1,0.57,0,0.0,0,0.0,9,5.14,6,3.43,7,4.0,32005
32,6,210,7,3.33,6,2.86,5,2.38,7,3.33,8,3.81,8,3.81,2,0.95,3,1.43,0,0.0,0,0.0,0,0.0,0,0.0,1,0.48,0,0.0,33,15.71,37,17.62,35,16.67,1,0.48,0,0.0,2,0.95,4,1.9,4,1.9,20,9.52,11,5.24,15,7.14,32006
32,7,275,11,4.0,13,4.73,10,3.64,12,4.36,12,4.36,13,4.73,0,0.0,5,1.82,0,0.0,0,0.0,0,0.0,1,0.36,1,0.36,0,0.0,40,14.55,54,19.64,50,18.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,7.64,13,4.73,17,6.18,32007
32,8,293,28,9.56,25,8.53,22,7.51,13,4.44,12,4.1,12,4.1,1,0.34,2,0.68,1,0.34,1,0.34,1,0.34,1,0.34,1,0.34,0,0.0,40,13.65,49,16.72,49,16.72,2,0.68,1,0.34,0,0.0,2,0.68,0,0.0,10,3.41,9,3.07,10,3.41,32008
32,9,200,9,4.5,11,5.5,11,5.5,14,7.0,15,7.5,13,6.5,3,1.5,2,1.0,0,0.0,1,0.5,0,0.0,1,0.5,1,0.5,1,0.5,20,10.0,26,13.0,26,13.0,4,2.0,1,0.5,3,1.5,0,0.0,0,0.0,14,7.0,8,4.0,14,7.0,32009
32,10,267,15,5.62,15,5.62,18,6.74,15,5.62,15,5.62,14,5.24,1,0.37,3,1.12,3,1.12,0,0.0,1,0.37,1,0.37,0,0.0,1,0.37,36,13.48,46,17.23,47,17.6,0,0.0,1,0.37,0,0.0,2,0.75,1,0.37,13,4.87,7,2.62,9,3.37,32010
32,13,290,18,6.21,19,6.55,15,5.17,13,4.48,14,4.83,13,4.48,1,0.34,2,0.69,0,0.0,1,0.34,0,0.0,0,0.0,0,0.0,1,0.34,38,13.1,52,17.93,52,17.93,0,0.0,1,0.34,0,0.0,1,0.34,2,0.69,17,5.86,16,5.52,11,3.79,32013
32,15,215,13,6.05,12,5.58,13,6.05,19,8.84,22,10.23,22,10.23,0,0.0,2,0.93,0,0.0,1,0.47,0,0.0,0,0.0,1,0.47,0,0.0,27,12.56,27,12.56,27,12.56,1,0.47,1,0.47,1,0.47,0,0.0,0,0.0,9,4.19,8,3.72,9,4.19,32015
32,16,163,9,5.52,10,6.13,10,6.13,14,8.59,15,9.2,13,7.98,0,0.0,2,1.23,0,0.0,0,0.0,1,0.61,2,1.23,0,0.0,0,0.0,19,11.66,25,15.34,22,13.5,2,1.23,0,0.0,0,0.0,0,0.0,0,0.0,5,3.07,5,3.07,9,5.52,32016
