ward,precinct,total,Jasmine Velasco Hauser (Cruz),Jasmine Velasco Hauser (Cruz) Percent,"Joel B. Streightiff, Jr. (Cruz)","Joel B. Streightiff, Jr. (Cruz) Percent",Shprintza Spak (Cruz),Shprintza Spak (Cruz) Percent,Sandra Hodel-Runtz (Christie),Sandra Hodel-Runtz (Christie) Percent,Mark Crane (Christie),Mark Crane (Christie) Percent,Joseph Tamraz (Christie),Joseph Tamraz (Christie) Percent,Nester Komolafe (Trump),Nester Komolafe (Trump) Percent,Gerald DeNotto (Trump),Gerald DeNotto (Trump) Percent,Frank Biga III (Trump),Frank Biga III (Trump) Percent,Daniel B. Peterson (Bush),Daniel B. Peterson (Bush) Percent,Adam M. Robinson (Bush),Adam M. Robinson (Bush) Percent,Mary Childers (Bush),Mary Childers (Bush) Percent,Joseph R. Hedrick (Santorum),Joseph R. Hedrick (Santorum) Percent,Angela M. Como (Santorum),Angela M. Como (Santorum) Percent,Steven Polit (Santorum),Steven Polit (Santorum) Percent,Carlos Ortega (Fiorina),Carlos Ortega (Fiorina) Percent,Suzanne Devane (Fiorina),Suzanne Devane (Fiorina) Percent,Diane Shapiro (Fiorina),Diane Shapiro (Fiorina) Percent,Thomas Schild (Carson),Thomas Schild (Carson) Percent,Vivian L. Davros (Carson),Vivian L. Davros (Carson) Percent,Jeffrey J. Ross (Carson),Jeffrey J. Ross (Carson) Percent,John C. Demler (Kasich),John C. Demler (Kasich) Percent,Carol A. Teschky (Kasich),Carol A. Teschky (Kasich) Percent,Gregory J. Lungmus (Kasich),Gregory J. Lungmus (Kasich) Percent,Alexander Paul Bisenius (Paul),Alexander Paul Bisenius (Paul) Percent,Josh Gasbarra (Paul),Josh Gasbarra (Paul) Percent,Char Foss-Eggemann (Rubio),Char Foss-Eggemann (Rubio) Percent,Douglas Gessner (Rubio),Douglas Gessner (Rubio) Percent,Christopher Provenzano (Rubio),Christopher Provenzano (Rubio) Percent,precinct_id
40,33,109,4,3.67,8,7.34,8,7.34,0,0.0,0,0.0,0,0.0,13,11.93,12,11.01,12,11.01,1,0.92,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.92,0,0.0,0,0.0,0,0.0,13,11.93,13,11.93,13,11.93,0,0.0,0,0.0,3,2.75,4,3.67,4,3.67,40033
40,35,100,11,11.0,11,11.0,11,11.0,0,0.0,0,0.0,2,2.0,7,7.0,8,8.0,9,9.0,5,5.0,2,2.0,2,2.0,0,0.0,1,1.0,0,0.0,1,1.0,1,1.0,3,3.0,1,1.0,1,1.0,1,1.0,4,4.0,6,6.0,3,3.0,0,0.0,0,0.0,2,2.0,5,5.0,3,3.0,40035
40,36,127,8,6.3,7,5.51,6,4.72,0,0.0,0,0.0,1,0.79,16,12.6,14,11.02,15,11.81,3,2.36,2,1.57,1,0.79,0,0.0,0,0.0,0,0.0,2,1.57,1,0.79,0,0.0,2,1.57,0,0.0,1,0.79,12,9.45,10,7.87,9,7.09,1,0.79,1,0.79,4,3.15,7,5.51,4,3.15,40036
40,37,90,9,10.0,9,10.0,9,10.0,1,1.11,0,0.0,0,0.0,7,7.78,8,8.89,7,7.78,2,2.22,0,0.0,1,1.11,0,0.0,2,2.22,1,1.11,2,2.22,0,0.0,0,0.0,0,0.0,1,1.11,1,1.11,6,6.67,6,6.67,6,6.67,0,0.0,1,1.11,3,3.33,5,5.56,3,3.33,40037
40,39,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,20.0,2,20.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,1,10.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40039
41,1,384,22,5.73,28,7.29,25,6.51,2,0.52,1,0.26,4,1.04,75,19.53,82,21.35,75,19.53,2,0.52,2,0.52,0,0.0,0,0.0,0,0.0,0,0.0,2,0.52,2,0.52,3,0.78,3,0.78,2,0.52,3,0.78,12,3.13,10,2.6,5,1.3,3,0.78,1,0.26,5,1.3,8,2.08,7,1.82,41001
41,2,350,24,6.86,26,7.43,25,7.14,1,0.29,4,1.14,1,0.29,56,16.0,62,17.71,58,16.57,4,1.14,3,0.86,2,0.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.29,2,0.57,2,0.57,1,0.29,21,6.0,20,5.71,14,4.0,2,0.57,1,0.29,5,1.43,9,2.57,6,1.71,41002
41,4,255,11,4.31,11,4.31,10,3.92,2,0.78,1,0.39,1,0.39,45,17.65,51,20.0,45,17.65,2,0.78,0,0.0,1,0.39,0,0.0,0,0.0,1,0.39,0,0.0,1,0.39,1,0.39,3,1.18,2,0.78,3,1.18,13,5.1,14,5.49,10,3.92,0,0.0,0,0.0,6,2.35,11,4.31,10,3.92,41004
41,5,314,21,6.69,24,7.64,22,7.01,0,0.0,1,0.32,0,0.0,50,15.92,60,19.11,52,16.56,1,0.32,0,0.0,3,0.96,1,0.32,1,0.32,2,0.64,0,0.0,2,0.64,0,0.0,1,0.32,2,0.64,1,0.32,18,5.73,15,4.78,12,3.82,1,0.32,3,0.96,6,1.91,9,2.87,6,1.91,41005
41,7,381,15,3.94,22,5.77,16,4.2,2,0.52,2,0.52,0,0.0,59,15.49,60,15.75,58,15.22,5,1.31,1,0.26,3,0.79,0,0.0,1,0.26,0,0.0,0,0.0,1,0.26,2,0.52,1,0.26,2,0.52,1,0.26,38,9.97,39,10.24,26,6.82,3,0.79,4,1.05,8,2.1,6,1.57,6,1.57,41007
41,8,418,23,5.5,28,6.7,27,6.46,1,0.24,1,0.24,1,0.24,73,17.46,76,18.18,72,17.22,1,0.24,1,0.24,3,0.72,0,0.0,0,0.0,0,0.0,2,0.48,2,0.48,2,0.48,1,0.24,0,0.0,2,0.48,22,5.26,22,5.26,16,3.83,2,0.48,2,0.48,11,2.63,16,3.83,11,2.63,41008
41,10,299,9,3.01,12,4.01,10,3.34,1,0.33,2,0.67,2,0.67,43,14.38,45,15.05,41,13.71,1,0.33,1,0.33,1,0.33,1,0.33,0,0.0,0,0.0,1,0.33,1,0.33,1,0.33,6,2.01,4,1.34,2,0.67,33,11.04,33,11.04,26,8.7,1,0.33,1,0.33,6,2.01,8,2.68,7,2.34,41010
41,11,290,18,6.21,21,7.24,18,6.21,1,0.34,2,0.69,0,0.0,54,18.62,56,19.31,56,19.31,1,0.34,1,0.34,2,0.69,0,0.0,0,0.0,0,0.0,2,0.69,1,0.34,2,0.69,2,0.69,2,0.69,3,1.03,6,2.07,7,2.41,6,2.07,1,0.34,1,0.34,9,3.1,10,3.45,8,2.76,41011
41,13,433,34,7.85,36,8.31,34,7.85,1,0.23,3,0.69,2,0.46,76,17.55,77,17.78,69,15.94,2,0.46,4,0.92,4,0.92,0,0.0,1,0.23,1,0.23,0,0.0,1,0.23,0,0.0,1,0.23,1,0.23,3,0.69,17,3.93,20,4.62,14,3.23,1,0.23,2,0.46,8,1.85,10,2.31,11,2.54,41013
41,15,400,24,6.0,30,7.5,28,7.0,2,0.5,4,1.0,3,0.75,63,15.75,75,18.75,62,15.5,3,0.75,5,1.25,4,1.0,1,0.25,1,0.25,0,0.0,2,0.5,1,0.25,3,0.75,0,0.0,2,0.5,2,0.5,21,5.25,19,4.75,13,3.25,3,0.75,1,0.25,4,1.0,13,3.25,11,2.75,41015
41,17,46,3,6.52,2,4.35,2,4.35,0,0.0,1,2.17,0,0.0,6,13.04,5,10.87,5,10.87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,13.04,7,15.22,5,10.87,1,2.17,1,2.17,1,2.17,1,2.17,0,0.0,41017
41,18,324,23,7.1,23,7.1,21,6.48,2,0.62,2,0.62,4,1.23,41,12.65,45,13.89,38,11.73,4,1.23,1,0.31,3,0.93,0,0.0,1,0.31,0,0.0,1,0.31,1,0.31,0,0.0,1,0.31,1,0.31,0,0.0,23,7.1,20,6.17,17,5.25,1,0.31,2,0.62,14,4.32,20,6.17,15,4.63,41018
41,20,270,16,5.93,15,5.56,16,5.93,1,0.37,2,0.74,4,1.48,49,18.15,48,17.78,47,17.41,3,1.11,2,0.74,3,1.11,2,0.74,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.37,13,4.81,13,4.81,8,2.96,3,1.11,2,0.74,7,2.59,8,2.96,7,2.59,41020
41,23,210,12,5.71,12,5.71,12,5.71,0,0.0,1,0.48,0,0.0,34,16.19,44,20.95,39,18.57,3,1.43,1,0.48,2,0.95,0,0.0,5,2.38,1,0.48,0,0.0,1,0.48,3,1.43,0,0.0,0,0.0,1,0.48,10,4.76,11,5.24,7,3.33,0,0.0,0,0.0,2,0.95,4,1.9,5,2.38,41023
41,25,212,7,3.3,9,4.25,9,4.25,5,2.36,3,1.42,2,0.94,36,16.98,43,20.28,40,18.87,4,1.89,2,0.94,3,1.42,1,0.47,1,0.47,0,0.0,2,0.94,0,0.0,0,0.0,0,0.0,1,0.47,1,0.47,7,3.3,9,4.25,9,4.25,2,0.94,0,0.0,4,1.89,5,2.36,7,3.3,41025
41,28,288,18,6.25,20,6.94,19,6.6,2,0.69,1,0.35,3,1.04,46,15.97,50,17.36,46,15.97,2,0.69,1,0.35,1,0.35,0,0.0,1,0.35,0,0.0,0,0.0,0,0.0,1,0.35,2,0.69,4,1.39,3,1.04,13,4.51,12,4.17,12,4.17,4,1.39,2,0.69,6,2.08,10,3.47,9,3.13,41028
41,29,242,14,5.79,17,7.02,13,5.37,1,0.41,3,1.24,2,0.83,48,19.83,52,21.49,43,17.77,5,2.07,2,0.83,2,0.83,1,0.41,2,0.83,0,0.0,4,1.65,2,0.83,4,1.65,1,0.41,0,0.0,1,0.41,6,2.48,4,1.65,3,1.24,1,0.41,1,0.41,3,1.24,4,1.65,3,1.24,41029
41,31,341,30,8.8,37,10.85,30,8.8,2,0.59,2,0.59,3,0.88,29,8.5,30,8.8,28,8.21,6,1.76,7,2.05,7,2.05,1,0.29,1,0.29,0,0.0,1,0.29,1,0.29,2,0.59,1,0.29,2,0.59,2,0.59,29,8.5,26,7.62,17,4.99,2,0.59,1,0.29,11,3.23,16,4.69,17,4.99,41031
41,33,46,2,4.35,1,2.17,1,2.17,1,2.17,0,0.0,0,0.0,11,23.91,9,19.57,10,21.74,1,2.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,6.52,3,6.52,2,4.35,0,0.0,0,0.0,0,0.0,1,2.17,1,2.17,41033
41,34,248,12,4.84,14,5.65,16,6.45,0,0.0,1,0.4,0,0.0,38,15.32,38,15.32,38,15.32,2,0.81,2,0.81,1,0.4,0,0.0,2,0.81,1,0.4,1,0.4,0,0.0,1,0.4,1,0.4,1,0.4,0,0.0,15,6.05,16,6.45,15,6.05,2,0.81,0,0.0,9,3.63,12,4.84,10,4.03,41034
41,36,375,20,5.33,22,5.87,20,5.33,1,0.27,2,0.53,4,1.07,64,17.07,72,19.2,70,18.67,0,0.0,1,0.27,0,0.0,0,0.0,2,0.53,0,0.0,0,0.0,0,0.0,0,0.0,1,0.27,2,0.53,2,0.53,24,6.4,22,5.87,19,5.07,2,0.53,1,0.27,7,1.87,8,2.13,9,2.4,41036
41,37,319,15,4.7,20,6.27,16,5.02,1,0.31,3,0.94,1,0.31,53,16.61,57,17.87,54,16.93,1,0.31,1,0.31,2,0.63,1,0.31,1,0.31,0,0.0,0,0.0,1,0.31,0,0.0,1,0.31,2,0.63,2,0.63,20,6.27,21,6.58,14,4.39,3,0.94,5,1.57,6,1.88,8,2.51,10,3.13,41037
41,40,432,27,6.25,40,9.26,32,7.41,1,0.23,2,0.46,5,1.16,67,15.51,72,16.67,65,15.05,2,0.46,1,0.23,2,0.46,0,0.0,0,0.0,0,0.0,1,0.23,1,0.23,4,0.93,3,0.69,2,0.46,2,0.46,27,6.25,30,6.94,24,5.56,0,0.0,3,0.69,6,1.39,7,1.62,6,1.39,41040
41,41,356,16,4.49,19,5.34,14,3.93,1,0.28,1,0.28,2,0.56,62,17.42,69,19.38,64,17.98,1,0.28,2,0.56,2,0.56,1,0.28,2,0.56,0,0.0,2,0.56,1,0.28,2,0.56,0,0.0,0,0.0,0,0.0,17,4.78,21,5.9,13,3.65,1,0.28,1,0.28,11,3.09,16,4.49,15,4.21,41041
41,42,323,18,5.57,19,5.88,21,6.5,0,0.0,0,0.0,1,0.31,54,16.72,61,18.89,55,17.03,1,0.31,2,0.62,4,1.24,1,0.31,1,0.31,0,0.0,1,0.31,0,0.0,0,0.0,6,1.86,7,2.17,3,0.93,19,5.88,20,6.19,13,4.02,0,0.0,1,0.31,5,1.55,6,1.86,4,1.24,41042
41,43,342,19,5.56,25,7.31,20,5.85,0,0.0,3,0.88,2,0.58,62,18.13,69,20.18,61,17.84,4,1.17,3,0.88,0,0.0,0,0.0,1,0.29,1,0.29,0,0.0,0,0.0,2,0.58,1,0.29,0,0.0,0,0.0,16,4.68,19,5.56,11,3.22,0,0.0,0,0.0,4,1.17,9,2.63,10,2.92,41043
41,44,409,24,5.87,27,6.6,26,6.36,0,0.0,1,0.24,3,0.73,63,15.4,65,15.89,61,14.91,3,0.73,3,0.73,2,0.49,1,0.24,0,0.0,1,0.24,2,0.49,2,0.49,1,0.24,0,0.0,1,0.24,0,0.0,22,5.38,21,5.13,18,4.4,1,0.24,0,0.0,18,4.4,23,5.62,20,4.89,41044
41,45,200,21,10.5,23,11.5,18,9.0,1,0.5,2,1.0,1,0.5,36,18.0,33,16.5,29,14.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,2,1.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,6,3.0,6,3.0,4,2.0,0,0.0,0,0.0,5,2.5,5,2.5,4,2.0,41045
44,3,154,6,3.9,7,4.55,6,3.9,1,0.65,0,0.0,1,0.65,18,11.69,19,12.34,21,13.64,0,0.0,0,0.0,0,0.0,0,0.0,2,1.3,0,0.0,0,0.0,0,0.0,1,0.65,0,0.0,1,0.65,0,0.0,18,11.69,21,13.64,16,10.39,0,0.0,0,0.0,4,2.6,7,4.55,5,3.25,44003
44,4,253,6,2.37,6,2.37,8,3.16,1,0.4,1,0.4,1,0.4,25,9.88,26,10.28,28,11.07,4,1.58,3,1.19,5,1.98,0,0.0,0,0.0,0,0.0,2,0.79,1,0.4,1,0.4,1,0.4,0,0.0,0,0.0,33,13.04,34,13.44,24,9.49,0,0.0,0,0.0,12,4.74,17,6.72,14,5.53,44004
44,7,246,11,4.47,17,6.91,11,4.47,1,0.41,1,0.41,1,0.41,27,10.98,25,10.16,25,10.16,1,0.41,2,0.81,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.41,0,0.0,0,0.0,2,0.81,30,12.2,31,12.6,19,7.72,0,0.0,0,0.0,11,4.47,17,6.91,13,5.28,44007
44,24,195,11,5.64,11,5.64,11,5.64,1,0.51,0,0.0,1,0.51,18,9.23,20,10.26,18,9.23,3,1.54,2,1.03,3,1.54,0,0.0,0,0.0,0,0.0,1,0.51,1,0.51,0,0.0,3,1.54,0,0.0,0,0.0,27,13.85,24,12.31,14,7.18,0,0.0,0,0.0,8,4.1,12,6.15,6,3.08,44024
44,35,330,21,6.36,27,8.18,26,7.88,1,0.3,1,0.3,1,0.3,24,7.27,23,6.97,22,6.67,1,0.3,1,0.3,5,1.52,1,0.3,0,0.0,1,0.3,4,1.21,3,0.91,4,1.21,0,0.0,1,0.3,1,0.3,31,9.39,34,10.3,27,8.18,2,0.61,2,0.61,21,6.36,23,6.97,22,6.67,44035
46,1,125,7,5.6,7,5.6,8,6.4,0,0.0,1,0.8,0,0.0,13,10.4,14,11.2,12,9.6,0,0.0,0,0.0,1,0.8,0,0.0,0,0.0,1,0.8,0,0.0,1,0.8,1,0.8,2,1.6,3,2.4,2,1.6,14,11.2,14,11.2,11,8.8,2,1.6,1,0.8,3,2.4,4,3.2,3,2.4,46001
46,2,76,5,6.58,6,7.89,5,6.58,1,1.32,1,1.32,0,0.0,6,7.89,5,6.58,5,6.58,0,0.0,0,0.0,1,1.32,1,1.32,1,1.32,1,1.32,0,0.0,1,1.32,0,0.0,0,0.0,0,0.0,0,0.0,8,10.53,8,10.53,5,6.58,0,0.0,0,0.0,5,6.58,5,6.58,6,7.89,46002
46,4,108,2,1.85,4,3.7,2,1.85,1,0.93,0,0.0,0,0.0,6,5.56,7,6.48,5,4.63,2,1.85,0,0.0,0,0.0,0,0.0,1,0.93,0,0.0,0,0.0,0,0.0,0,0.0,1,0.93,1,0.93,1,0.93,14,12.96,14,12.96,11,10.19,2,1.85,1,0.93,10,9.26,12,11.11,11,10.19,46004
46,5,6,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,46005
46,6,29,0,0.0,0,0.0,0,0.0,1,3.45,0,0.0,0,0.0,8,27.59,8,27.59,8,27.59,0,0.0,0,0.0,0,0.0,0,0.0,1,3.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.45,0,0.0,0,0.0,1,3.45,0,0.0,1,3.45,0,0.0,46006
46,7,228,15,6.58,17,7.46,14,6.14,2,0.88,1,0.44,1,0.44,28,12.28,32,14.04,26,11.4,1,0.44,1,0.44,1,0.44,0,0.0,1,0.44,0,0.0,0,0.0,1,0.44,0,0.0,0,0.0,0,0.0,0,0.0,23,10.09,22,9.65,17,7.46,0,0.0,0,0.0,5,2.19,10,4.39,10,4.39,46007
46,8,103,5,4.85,3,2.91,5,4.85,0,0.0,2,1.94,0,0.0,19,18.45,23,22.33,21,20.39,1,0.97,2,1.94,1,0.97,0,0.0,1,0.97,0,0.0,0,0.0,0,0.0,1,0.97,0,0.0,0,0.0,0,0.0,6,5.83,6,5.83,4,3.88,0,0.0,0,0.0,0,0.0,2,1.94,1,0.97,46008
46,9,136,11,8.09,12,8.82,11,8.09,2,1.47,1,0.74,1,0.74,4,2.94,5,3.68,4,2.94,3,2.21,3,2.21,2,1.47,1,0.74,2,1.47,1,0.74,1,0.74,0,0.0,0,0.0,0,0.0,2,1.47,1,0.74,17,12.5,19,13.97,17,12.5,1,0.74,0,0.0,5,3.68,5,3.68,5,3.68,46009
46,11,216,12,5.56,15,6.94,16,7.41,1,0.46,4,1.85,1,0.46,28,12.96,29,13.43,24,11.11,3,1.39,1,0.46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.93,1,0.46,0,0.0,1,0.46,17,7.87,18,8.33,15,6.94,1,0.46,0,0.0,9,4.17,10,4.63,8,3.7,46011
46,12,43,4,9.3,3,6.98,3,6.98,0,0.0,0,0.0,0,0.0,2,4.65,1,2.33,1,2.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.33,0,0.0,0,0.0,2,4.65,5,11.63,6,13.95,4,9.3,2,4.65,2,4.65,3,6.98,2,4.65,2,4.65,46012
46,13,152,8,5.26,10,6.58,9,5.92,1,0.66,0,0.0,0,0.0,8,5.26,7,4.61,7,4.61,1,0.66,1,0.66,4,2.63,0,0.0,0,0.0,1,0.66,0,0.0,3,1.97,1,0.66,1,0.66,0,0.0,0,0.0,28,18.42,24,15.79,17,11.18,0,0.0,2,1.32,5,3.29,8,5.26,6,3.95,46013
46,14,78,8,10.26,8,10.26,9,11.54,0,0.0,3,3.85,1,1.28,6,7.69,5,6.41,6,7.69,3,3.85,5,6.41,1,1.28,0,0.0,0,0.0,1,1.28,2,2.56,0,0.0,1,1.28,0,0.0,2,2.56,2,2.56,3,3.85,4,5.13,2,2.56,0,0.0,0,0.0,2,2.56,3,3.85,1,1.28,46014
46,15,227,19,8.37,24,10.57,22,9.69,1,0.44,3,1.32,0,0.0,14,6.17,16,7.05,13,5.73,1,0.44,0,0.0,1,0.44,0,0.0,0,0.0,0,0.0,0,0.0,1,0.44,4,1.76,2,0.88,1,0.44,1,0.44,28,12.33,26,11.45,19,8.37,0,0.0,0,0.0,10,4.41,10,4.41,11,4.85,46015
46,16,83,3,3.61,4,4.82,3,3.61,1,1.2,0,0.0,0,0.0,10,12.05,10,12.05,9,10.84,2,2.41,1,1.2,2,2.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.2,0,0.0,0,0.0,0,0.0,6,7.23,7,8.43,5,6.02,0,0.0,0,0.0,6,7.23,7,8.43,6,7.23,46016
46,17,223,15,6.73,16,7.17,14,6.28,2,0.9,3,1.35,3,1.35,22,9.87,26,11.66,21,9.42,0,0.0,0,0.0,1,0.45,0,0.0,0,0.0,0,0.0,0,0.0,2,0.9,0,0.0,2,0.9,1,0.45,1,0.45,24,10.76,26,11.66,19,8.52,1,0.45,3,1.35,7,3.14,8,3.59,6,2.69,46017
46,18,278,18,6.47,22,7.91,21,7.55,2,0.72,0,0.0,2,0.72,30,10.79,31,11.15,28,10.07,1,0.36,1,0.36,3,1.08,0,0.0,1,0.36,1,0.36,1,0.36,2,0.72,4,1.44,1,0.36,4,1.44,2,0.72,28,10.07,32,11.51,24,8.63,0,0.0,0,0.0,5,1.8,8,2.88,6,2.16,46018
46,20,68,4,5.88,6,8.82,6,8.82,0,0.0,1,1.47,0,0.0,8,11.76,7,10.29,7,10.29,1,1.47,0,0.0,1,1.47,0,0.0,0,0.0,1,1.47,0,0.0,0,0.0,1,1.47,0,0.0,0,0.0,0,0.0,2,2.94,2,2.94,2,2.94,2,2.94,1,1.47,5,7.35,6,8.82,5,7.35,46020
