ward,precinct,total,LORI LIGHTFOOT,LORI LIGHTFOOT Percent,TONI PRECKWINKLE,TONI PRECKWINKLE Percent,precinct_id
5,27,334,158,47.31,176,52.69,05027
5,28,386,231,59.84,155,40.16,05028
5,29,362,216,59.67,146,40.33,05029
5,30,220,151,68.64,69,31.36,05030
5,31,240,165,68.75,75,31.25,05031
5,32,443,235,53.05,208,46.95,05032
5,33,357,218,61.06,139,38.94,05033
5,34,408,210,51.47,198,48.53,05034
5,35,446,250,56.05,196,43.95,05035
5,36,211,134,63.51,77,36.49,05036
5,37,448,223,49.78,225,50.22,05037
5,38,297,191,64.31,106,35.69,05038
5,39,287,137,47.74,150,52.26,05039
5,40,270,146,54.07,124,45.93,05040
5,41,242,125,51.65,117,48.35,05041
6,1,324,189,58.33,135,41.67,06001
6,2,303,209,68.98,94,31.02,06002
6,3,329,237,72.04,92,27.96,06003
6,4,206,152,73.79,54,26.21,06004
6,5,162,113,69.75,49,30.25,06005
6,6,321,208,64.8,113,35.2,06006
6,7,242,171,70.66,71,29.34,06007
6,8,313,192,61.34,121,38.66,06008
6,9,231,163,70.56,68,29.44,06009
6,10,149,104,69.8,45,30.2,06010
6,11,239,165,69.04,74,30.96,06011
6,12,157,108,68.79,49,31.21,06012
6,13,230,154,66.96,76,33.04,06013
6,14,264,184,69.7,80,30.3,06014
6,15,199,134,67.34,65,32.66,06015
6,16,324,209,64.51,115,35.49,06016
6,17,172,122,70.93,50,29.07,06017
6,18,178,115,64.61,63,35.39,06018
6,19,252,179,71.03,73,28.97,06019
6,20,151,115,76.16,36,23.84,06020
6,21,131,93,70.99,38,29.01,06021
6,22,157,119,75.8,38,24.2,06022
6,23,138,101,73.19,37,26.81,06023
6,24,142,91,64.08,51,35.92,06024
6,25,135,94,69.63,41,30.37,06025
6,26,165,107,64.85,58,35.15,06026
6,27,157,111,70.7,46,29.3,06027
6,28,133,80,60.15,53,39.85,06028
6,29,335,215,64.18,120,35.82,06029
6,30,211,142,67.3,69,32.7,06030
6,31,307,184,59.93,123,40.07,06031
6,32,258,180,69.77,78,30.23,06032
6,33,287,204,71.08,83,28.92,06033
6,34,273,182,66.67,91,33.33,06034
6,35,249,155,62.25,94,37.75,06035
6,36,347,205,59.08,142,40.92,06036
6,37,328,206,62.8,122,37.2,06037
6,38,315,197,62.54,118,37.46,06038
6,39,224,144,64.29,80,35.71,06039
6,40,266,176,66.17,90,33.83,06040
6,41,284,196,69.01,88,30.99,06041
6,42,266,172,64.66,94,35.34,06042
6,43,231,168,72.73,63,27.27,06043
6,44,257,174,67.7,83,32.3,06044
6,45,301,181,60.13,120,39.87,06045
6,46,186,128,68.82,58,31.18,06046
6,47,182,139,76.37,43,23.63,06047
6,48,277,182,65.7,95,34.3,06048
7,1,223,154,69.06,69,30.94,07001
7,2,215,147,68.37,68,31.63,07002
7,3,283,195,68.9,88,31.1,07003
7,4,259,190,73.36,69,26.64,07004
7,5,248,164,66.13,84,33.87,07005
7,6,344,216,62.79,128,37.21,07006
7,7,207,132,63.77,75,36.23,07007
7,8,237,156,65.82,81,34.18,07008
7,9,426,269,63.15,157,36.85,07009
7,10,295,222,75.25,73,24.75,07010
7,11,223,153,68.61,70,31.39,07011
7,12,232,165,71.12,67,28.88,07012
7,13,172,117,68.02,55,31.98,07013
7,14,248,167,67.34,81,32.66,07014
7,15,244,158,64.75,86,35.25,07015
7,16,155,110,70.97,45,29.03,07016
7,17,186,128,68.82,58,31.18,07017
7,18,219,138,63.01,81,36.99,07018
7,19,233,159,68.24,74,31.76,07019
7,20,167,125,74.85,42,25.15,07020
7,21,158,115,72.78,43,27.22,07021
7,22,192,130,67.71,62,32.29,07022
7,23,259,158,61.0,101,39.0,07023
7,24,194,125,64.43,69,35.57,07024
7,25,164,119,72.56,45,27.44,07025
7,26,194,132,68.04,62,31.96,07026
7,27,204,141,69.12,63,30.88,07027
7,28,171,108,63.16,63,36.84,07028
7,29,195,140,71.79,55,28.21,07029
7,30,160,107,66.88,53,33.13,07030
7,31,146,99,67.81,47,32.19,07031
7,32,367,227,61.85,140,38.15,07032
7,33,372,236,63.44,136,36.56,07033
7,34,320,194,60.63,126,39.38,07034
7,35,231,170,73.59,61,26.41,07035
7,36,302,193,63.91,109,36.09,07036
7,37,277,180,64.98,97,35.02,07037
7,38,196,132,67.35,64,32.65,07038
7,39,235,167,71.06,68,28.94,07039
7,40,225,155,68.89,70,31.11,07040
7,41,222,159,71.62,63,28.38,07041
7,42,203,140,68.97,63,31.03,07042
7,43,220,156,70.91,64,29.09,07043
7,44,181,125,69.06,56,30.94,07044
7,45,179,137,76.54,42,23.46,07045
7,46,125,89,71.2,36,28.8,07046
8,1,253,169,66.8,84,33.2,08001
8,2,232,153,65.95,79,34.05,08002
8,3,347,225,64.84,122,35.16,08003
8,4,338,223,65.98,115,34.02,08004
8,5,331,194,58.61,137,41.39,08005
8,6,260,159,61.15,101,38.85,08006
8,7,340,226,66.47,114,33.53,08007
8,8,301,213,70.76,88,29.24,08008
8,9,193,132,68.39,61,31.61,08009
8,10,371,226,60.92,145,39.08,08010
8,11,229,120,52.4,109,47.6,08011
8,12,230,153,66.52,77,33.48,08012
8,13,301,194,64.45,107,35.55,08013
8,14,167,114,68.26,53,31.74,08014
8,15,235,167,71.06,68,28.94,08015
8,16,74,51,68.92,23,31.08,08016
8,17,231,147,63.64,84,36.36,08017
8,18,185,125,67.57,60,32.43,08018
8,19,312,194,62.18,118,37.82,08019
8,20,333,205,61.56,128,38.44,08020
8,21,322,206,63.98,116,36.02,08021
8,22,245,167,68.16,78,31.84,08022
8,23,205,139,67.8,66,32.2,08023
8,24,171,118,69.01,53,30.99,08024
8,25,249,175,70.28,74,29.72,08025
8,26,226,144,63.72,82,36.28,08026
8,27,313,203,64.86,110,35.14,08027
8,28,267,163,61.05,104,38.95,08028
8,29,299,225,75.25,74,24.75,08029
8,30,282,188,66.67,94,33.33,08030
8,31,200,132,66.0,68,34.0,08031
8,32,205,143,69.76,62,30.24,08032
8,33,258,191,74.03,67,25.97,08033
8,34,266,184,69.17,82,30.83,08034
8,35,296,204,68.92,92,31.08,08035
8,36,304,183,60.2,121,39.8,08036
8,37,237,143,60.34,94,39.66,08037
8,38,164,108,65.85,56,34.15,08038
8,39,282,198,70.21,84,29.79,08039
8,40,208,141,67.79,67,32.21,08040
8,41,291,194,66.67,97,33.33,08041
8,42,334,201,60.18,133,39.82,08042
8,43,148,114,77.03,34,22.97,08043
8,44,180,105,58.33,75,41.67,08044
8,45,208,135,64.9,73,35.1,08045
8,46,186,115,61.83,71,38.17,08046
8,47,200,147,73.5,53,26.5,08047
8,48,226,155,68.58,71,31.42,08048
8,49,265,184,69.43,81,30.57,08049
8,50,288,194,67.36,94,32.64,08050
8,51,327,222,67.89,105,32.11,08051
8,52,356,232,65.17,124,34.83,08052
8,53,141,98,69.5,43,30.5,08053
8,54,194,129,66.49,65,33.51,08054
8,55,245,172,70.2,73,29.8,08055
8,56,282,185,65.6,97,34.4,08056
9,1,240,177,73.75,63,26.25,09001
9,2,201,148,73.63,53,26.37,09002
9,3,129,109,84.5,20,15.5,09003
9,4,191,148,77.49,43,22.51,09004
9,5,260,184,70.77,76,29.23,09005
9,6,233,158,67.81,75,32.19,09006
9,7,187,128,68.45,59,31.55,09007
9,8,212,155,73.11,57,26.89,09008
9,9,291,183,62.89,108,37.11,09009
9,10,179,143,79.89,36,20.11,09010
9,11,174,130,74.71,44,25.29,09011
9,12,299,187,62.54,112,37.46,09012
9,13,311,226,72.67,85,27.33,09013
9,14,319,229,71.79,90,28.21,09014
9,15,180,130,72.22,50,27.78,09015
9,16,217,164,75.58,53,24.42,09016
9,17,166,128,77.11,38,22.89,09017
9,18,183,134,73.22,49,26.78,09018
9,19,219,160,73.06,59,26.94,09019
9,20,251,191,76.1,60,23.9,09020
9,21,210,145,69.05,65,30.95,09021
9,22,267,164,61.42,103,38.58,09022
9,23,321,206,64.17,115,35.83,09023
9,24,280,185,66.07,95,33.93,09024
9,25,264,187,70.83,77,29.17,09025
9,26,186,127,68.28,59,31.72,09026
9,27,202,147,72.77,55,27.23,09027
9,28,106,74,69.81,32,30.19,09028
9,29,213,130,61.03,83,38.97,09029
9,30,172,125,72.67,47,27.33,09030
9,31,178,127,71.35,51,28.65,09031
9,32,252,176,69.84,76,30.16,09032
9,33,168,113,67.26,55,32.74,09033
9,34,181,127,70.17,54,29.83,09034
9,35,248,155,62.5,93,37.5,09035
9,36,193,131,67.88,62,32.12,09036
9,37,364,250,68.68,114,31.32,09037
9,38,225,152,67.56,73,32.44,09038
9,39,251,176,70.12,75,29.88,09039
9,40,293,194,66.21,99,33.79,09040
9,41,184,134,72.83,50,27.17,09041
9,42,282,191,67.73,91,32.27,09042
9,43,191,142,74.35,49,25.65,09043
9,44,209,140,66.99,69,33.01,09044
9,45,185,115,62.16,70,37.84,09045
9,46,248,176,70.97,72,29.03,09046
9,47,311,200,64.31,111,35.69,09047
9,48,299,213,71.24,86,28.76,09048
9,49,282,192,68.09,90,31.91,09049
9,50,375,263,70.13,112,29.87,09050
9,51,261,182,69.73,79,30.27,09051
10,1,213,154,72.3,59,27.7,10001
10,2,241,207,85.89,34,14.11,10002
10,3,245,209,85.31,36,14.69,10003
10,4,150,119,79.33,31,20.67,10004
10,5,190,169,88.95,21,11.05,10005
10,6,145,122,84.14,23,15.86,10006
10,7,128,111,86.72,17,13.28,10007
10,8,82,61,74.39,21,25.61,10008
10,9,228,207,90.79,21,9.21,10009
10,10,226,189,83.63,37,16.37,10010
10,11,195,158,81.03,37,18.97,10011
10,12,120,97,80.83,23,19.17,10012
10,13,175,141,80.57,34,19.43,10013
10,14,227,189,83.26,38,16.74,10014
10,15,470,316,67.23,154,32.77,10015
10,16,164,129,78.66,35,21.34,10016
10,17,300,260,86.67,40,13.33,10017
10,18,111,73,65.77,38,34.23,10018
10,19,226,199,88.05,27,11.95,10019
10,20,253,211,83.4,42,16.6,10020
10,21,189,172,91.01,17,8.99,10021
10,22,104,83,79.81,21,20.19,10022
10,23,152,125,82.24,27,17.76,10023
10,24,216,188,87.04,28,12.96,10024
10,25,68,51,75.0,17,25.0,10025
10,26,115,88,76.52,27,23.48,10026
10,27,166,121,72.89,45,27.11,10027
10,28,192,150,78.13,42,21.88,10028
10,29,151,141,93.38,10,6.62,10029
10,30,154,127,82.47,27,17.53,10030
10,31,132,110,83.33,22,16.67,10031
10,32,178,148,83.15,30,16.85,10032
10,33,127,101,79.53,26,20.47,10033
10,34,124,100,80.65,24,19.35,10034
10,35,252,217,86.11,35,13.89,10035
10,36,57,38,66.67,19,33.33,10036
11,1,279,204,73.12,75,26.88,11001
11,2,17,8,47.06,9,52.94,11002
11,3,224,134,59.82,90,40.18,11003
11,4,209,152,72.73,57,27.27,11004
11,5,306,192,62.75,114,37.25,11005
11,6,389,292,75.06,97,24.94,11006
11,7,216,156,72.22,60,27.78,11007
11,8,233,182,78.11,51,21.89,11008
11,9,212,159,75.0,53,25.0,11009
11,10,224,153,68.3,71,31.7,11010
11,11,263,205,77.95,58,22.05,11011
11,12,427,372,87.12,55,12.88,11012
11,13,342,263,76.9,79,23.1,11013
11,14,175,107,61.14,68,38.86,11014
11,15,119,105,88.24,14,11.76,11015
11,16,180,131,72.78,49,27.22,11016
11,17,323,239,73.99,84,26.01,11017
11,18,228,165,72.37,63,27.63,11018
11,19,319,222,69.59,97,30.41,11019
11,20,194,141,72.68,53,27.32,11020
11,21,402,306,76.12,96,23.88,11021
11,22,300,227,75.67,73,24.33,11022
11,23,176,140,79.55,36,20.45,11023
11,24,364,275,75.55,89,24.45,11024
11,25,357,280,78.43,77,21.57,11025
11,26,341,248,72.73,93,27.27,11026
11,27,77,55,71.43,22,28.57,11027
11,28,121,96,79.34,25,20.66,11028
11,29,341,270,79.18,71,20.82,11029
11,30,117,87,74.36,30,25.64,11030
11,31,290,239,82.41,51,17.59,11031
11,32,144,105,72.92,39,27.08,11032
11,33,297,236,79.46,61,20.54,11033
11,34,126,77,61.11,49,38.89,11034
11,35,84,58,69.05,26,30.95,11035
11,36,102,61,59.8,41,40.2,11036
11,37,87,57,65.52,30,34.48,11037
11,38,119,84,70.59,35,29.41,11038
12,1,215,163,75.81,52,24.19,12001
12,2,153,122,79.74,31,20.26,12002
12,3,300,201,67.0,99,33.0,12003
12,4,215,154,71.63,61,28.37,12004
12,5,204,161,78.92,43,21.08,12005
12,6,185,151,81.62,34,18.38,12006
12,7,134,78,58.21,56,41.79,12007
12,8,238,180,75.63,58,24.37,12008
12,9,164,128,78.05,36,21.95,12009
12,10,176,117,66.48,59,33.52,12010
12,11,161,131,81.37,30,18.63,12011
12,12,161,132,81.99,29,18.01,12012
12,13,193,149,77.2,44,22.8,12013
12,14,144,97,67.36,47,32.64,12014
12,15,152,119,78.29,33,21.71,12015
12,16,100,73,73.0,27,27.0,12016
12,17,172,127,73.84,45,26.16,12017
12,18,149,108,72.48,41,27.52,12018
12,19,198,150,75.76,48,24.24,12019
12,20,157,120,76.43,37,23.57,12020
12,21,197,146,74.11,51,25.89,12021
12,22,133,89,66.92,44,33.08,12022
12,23,216,165,76.39,51,23.61,12023
13,1,196,159,81.12,37,18.88,13001
13,2,201,172,85.57,29,14.43,13002
13,3,104,85,81.73,19,18.27,13003
13,4,214,181,84.58,33,15.42,13004
13,5,182,157,86.26,25,13.74,13005
13,6,230,206,89.57,24,10.43,13006
13,7,110,92,83.64,18,16.36,13007
13,8,155,129,83.23,26,16.77,13008
13,9,172,138,80.23,34,19.77,13009
13,10,215,193,89.77,22,10.23,13010
13,11,210,189,90.0,21,10.0,13011
13,12,162,115,70.99,47,29.01,13012
13,13,204,179,87.75,25,12.25,13013
13,14,150,126,84.0,24,16.0,13014
13,15,223,172,77.13,51,22.87,13015
13,16,103,82,79.61,21,20.39,13016
13,17,177,152,85.88,25,14.12,13017
13,18,168,141,83.93,27,16.07,13018
13,19,138,111,80.43,27,19.57,13019
13,20,153,140,91.5,13,8.5,13020
13,21,267,241,90.26,26,9.74,13021
13,22,232,209,90.09,23,9.91,13022
13,23,121,98,80.99,23,19.01,13023
13,24,157,139,88.54,18,11.46,13024
13,25,164,145,88.41,19,11.59,13025
13,26,162,142,87.65,20,12.35,13026
13,27,194,161,82.99,33,17.01,13027
13,28,124,107,86.29,17,13.71,13028
13,29,136,108,79.41,28,20.59,13029
13,30,104,80,76.92,24,23.08,13030
13,31,246,224,91.06,22,8.94,13031
13,32,199,172,86.43,27,13.57,13032
13,33,220,195,88.64,25,11.36,13033
13,34,168,136,80.95,32,19.05,13034
13,35,160,135,84.38,25,15.63,13035
13,36,101,90,89.11,11,10.89,13036
13,37,247,190,76.92,57,23.08,13037
13,38,203,183,90.15,20,9.85,13038
13,39,159,131,82.39,28,17.61,13039
13,40,170,147,86.47,23,13.53,13040
13,41,178,142,79.78,36,20.22,13041
13,42,222,204,91.89,18,8.11,13042
13,43,192,162,84.38,30,15.63,13043
13,44,144,112,77.78,32,22.22,13044
13,45,222,190,85.59,32,14.41,13045
13,46,183,149,81.42,34,18.58,13046
13,47,147,123,83.67,24,16.33,13047
13,48,188,167,88.83,21,11.17,13048
14,1,333,306,91.89,27,8.11,14001
14,2,227,188,82.82,39,17.18,14002
14,3,136,104,76.47,32,23.53,14003
14,4,226,204,90.27,22,9.73,14004
14,5,176,133,75.57,43,24.43,14005
14,6,63,51,80.95,12,19.05,14006
14,7,185,149,80.54,36,19.46,14007
14,8,176,139,78.98,37,21.02,14008
14,9,306,267,87.25,39,12.75,14009
14,10,97,80,82.47,17,17.53,14010
14,11,75,63,84.0,12,16.0,14011
14,12,177,152,85.88,25,14.12,14012
14,13,144,107,74.31,37,25.69,14013
14,14,118,87,73.73,31,26.27,14014
14,15,139,116,83.45,23,16.55,14015
14,16,131,90,68.7,41,31.3,14016
14,17,130,108,83.08,22,16.92,14017
14,18,75,60,80.0,15,20.0,14018
14,19,128,89,69.53,39,30.47,14019
14,20,87,73,83.91,14,16.09,14020
14,21,123,91,73.98,32,26.02,14021
14,22,232,192,82.76,40,17.24,14022
14,23,163,132,80.98,31,19.02,14023
14,24,294,254,86.39,40,13.61,14024
14,25,83,69,83.13,14,16.87,14025
14,26,114,90,78.95,24,21.05,14026
14,27,165,131,79.39,34,20.61,14027
14,28,111,87,78.38,24,21.62,14028
14,29,135,109,80.74,26,19.26,14029
14,30,71,61,85.92,10,14.08,14030
14,31,86,71,82.56,15,17.44,14031
15,1,279,218,78.14,61,21.86,15001
15,2,161,111,68.94,50,31.06,15002
15,3,172,126,73.26,46,26.74,15003
15,4,249,171,68.67,78,31.33,15004
15,5,249,185,74.3,64,25.7,15005
15,6,255,198,77.65,57,22.35,15006
15,7,190,130,68.42,60,31.58,15007
15,8,243,189,77.78,54,22.22,15008
15,9,311,250,80.39,61,19.61,15009
15,10,328,265,80.79,63,19.21,15010
15,11,274,194,70.8,80,29.2,15011
15,12,293,220,75.09,73,24.91,15012
15,13,231,181,78.35,50,21.65,15013
15,14,202,160,79.21,42,20.79,15014
15,15,182,142,78.02,40,21.98,15015
15,16,292,217,74.32,75,25.68,15016
15,17,194,138,71.13,56,28.87,15017
15,18,151,102,67.55,49,32.45,15018
15,19,213,154,72.3,59,27.7,15019
15,20,197,127,64.47,70,35.53,15020
15,21,161,104,64.6,57,35.4,15021
15,22,170,125,73.53,45,26.47,15022
15,23,182,136,74.73,46,25.27,15023
15,24,168,131,77.98,37,22.02,15024
16,1,186,129,69.35,57,30.65,16001
16,2,177,129,72.88,48,27.12,16002
16,3,153,107,69.93,46,30.07,16003
16,4,169,105,62.13,64,37.87,16004
16,5,115,82,71.3,33,28.7,16005
16,6,187,135,72.19,52,27.81,16006
16,7,166,118,71.08,48,28.92,16007
16,8,97,63,64.95,34,35.05,16008
16,9,186,118,63.44,68,36.56,16009
16,10,169,119,70.41,50,29.59,16010
16,11,152,116,76.32,36,23.68,16011
16,12,136,92,67.65,44,32.35,16012
16,13,112,75,66.96,37,33.04,16013
16,14,158,110,69.62,48,30.38,16014
16,15,203,134,66.01,69,33.99,16015
16,16,209,150,71.77,59,28.23,16016
16,17,132,97,73.48,35,26.52,16017
16,18,197,123,62.44,74,37.56,16018
16,19,163,112,68.71,51,31.29,16019
16,20,135,97,71.85,38,28.15,16020
16,21,158,111,70.25,47,29.75,16021
16,22,143,110,76.92,33,23.08,16022
16,23,140,106,75.71,34,24.29,16023
16,24,114,86,75.44,28,24.56,16024
16,25,225,149,66.22,76,33.78,16025
16,26,186,125,67.2,61,32.8,16026
16,27,152,112,73.68,40,26.32,16027
16,28,223,155,69.51,68,30.49,16028
16,29,164,102,62.2,62,37.8,16029
16,30,154,104,67.53,50,32.47,16030
16,31,224,164,73.21,60,26.79,16031
16,32,128,93,72.66,35,27.34,16032
16,33,169,121,71.6,48,28.4,16033
16,34,156,107,68.59,49,31.41,16034
16,35,187,143,76.47,44,23.53,16035
16,36,130,86,66.15,44,33.85,16036
17,1,165,108,65.45,57,34.55,17001
17,2,223,162,72.65,61,27.35,17002
17,3,222,166,74.77,56,25.23,17003
17,4,290,198,68.28,92,31.72,17004
17,5,169,111,65.68,58,34.32,17005
17,6,162,124,76.54,38,23.46,17006
17,7,127,95,74.8,32,25.2,17007
17,8,179,138,77.09,41,22.91,17008
17,9,177,112,63.28,65,36.72,17009
17,10,311,214,68.81,97,31.19,17010
17,11,156,107,68.59,49,31.41,17011
17,12,215,154,71.63,61,28.37,17012
