ward,precinct,total,MELISSA CONYEARS-ERVIN,MELISSA CONYEARS-ERVIN Percent,AMEYA PAWAR,AMEYA PAWAR Percent,precinct_id
7,27,195,173,88.72,22,11.28,07027
7,28,162,127,78.4,35,21.6,07028
7,29,192,175,91.15,17,8.85,07029
7,30,158,124,78.48,34,21.52,07030
7,31,140,114,81.43,26,18.57,07031
7,32,369,319,86.45,50,13.55,07032
7,33,368,320,86.96,48,13.04,07033
7,34,314,276,87.9,38,12.1,07034
7,35,221,188,85.07,33,14.93,07035
7,36,297,255,85.86,42,14.14,07036
7,37,272,244,89.71,28,10.29,07037
7,38,194,161,82.99,33,17.01,07038
7,39,227,196,86.34,31,13.66,07039
7,40,218,194,88.99,24,11.01,07040
7,41,216,178,82.41,38,17.59,07041
7,42,198,174,87.88,24,12.12,07042
7,43,216,190,87.96,26,12.04,07043
7,44,178,160,89.89,18,10.11,07044
7,45,172,156,90.7,16,9.3,07045
7,46,117,101,86.32,16,13.68,07046
8,1,244,196,80.33,48,19.67,08001
8,2,222,183,82.43,39,17.57,08002
8,3,340,308,90.59,32,9.41,08003
8,4,328,274,83.54,54,16.46,08004
8,5,327,289,88.38,38,11.62,08005
8,6,251,230,91.63,21,8.37,08006
8,7,336,291,86.61,45,13.39,08007
8,8,296,262,88.51,34,11.49,08008
8,9,190,175,92.11,15,7.89,08009
8,10,364,313,85.99,51,14.01,08010
8,11,224,196,87.5,28,12.5,08011
8,12,218,203,93.12,15,6.88,08012
8,13,289,248,85.81,41,14.19,08013
8,14,166,131,78.92,35,21.08,08014
8,15,229,203,88.65,26,11.35,08015
8,16,74,67,90.54,7,9.46,08016
8,17,231,204,88.31,27,11.69,08017
8,18,178,161,90.45,17,9.55,08018
8,19,310,277,89.35,33,10.65,08019
8,20,328,291,88.72,37,11.28,08020
8,21,318,286,89.94,32,10.06,08021
8,22,239,208,87.03,31,12.97,08022
8,23,200,176,88.0,24,12.0,08023
8,24,163,130,79.75,33,20.25,08024
8,25,244,218,89.34,26,10.66,08025
8,26,216,179,82.87,37,17.13,08026
8,27,306,260,84.97,46,15.03,08027
8,28,264,230,87.12,34,12.88,08028
8,29,289,256,88.58,33,11.42,08029
8,30,276,248,89.86,28,10.14,08030
8,31,200,179,89.5,21,10.5,08031
8,32,197,177,89.85,20,10.15,08032
8,33,252,220,87.3,32,12.7,08033
8,34,264,235,89.02,29,10.98,08034
8,35,291,249,85.57,42,14.43,08035
8,36,296,255,86.15,41,13.85,08036
8,37,235,206,87.66,29,12.34,08037
8,38,160,145,90.63,15,9.38,08038
8,39,279,243,87.1,36,12.9,08039
8,40,201,163,81.09,38,18.91,08040
8,41,277,234,84.48,43,15.52,08041
8,42,319,275,86.21,44,13.79,08042
8,43,142,127,89.44,15,10.56,08043
8,44,177,158,89.27,19,10.73,08044
8,45,209,172,82.3,37,17.7,08045
8,46,182,166,91.21,16,8.79,08046
8,47,195,172,88.21,23,11.79,08047
8,48,219,173,79.0,46,21.0,08048
8,49,260,228,87.69,32,12.31,08049
8,50,279,250,89.61,29,10.39,08050
8,51,317,284,89.59,33,10.41,08051
8,52,344,313,90.99,31,9.01,08052
8,53,137,118,86.13,19,13.87,08053
8,54,187,156,83.42,31,16.58,08054
8,55,239,207,86.61,32,13.39,08055
8,56,269,239,88.85,30,11.15,08056
9,1,232,204,87.93,28,12.07,09001
9,2,192,171,89.06,21,10.94,09002
9,3,124,108,87.1,16,12.9,09003
9,4,186,167,89.78,19,10.22,09004
9,5,251,218,86.85,33,13.15,09005
9,6,224,201,89.73,23,10.27,09006
9,7,174,155,89.08,19,10.92,09007
9,8,201,167,83.08,34,16.92,09008
9,9,286,252,88.11,34,11.89,09009
9,10,172,144,83.72,28,16.28,09010
9,11,169,151,89.35,18,10.65,09011
9,12,289,255,88.24,34,11.76,09012
9,13,304,272,89.47,32,10.53,09013
9,14,313,281,89.78,32,10.22,09014
9,15,169,140,82.84,29,17.16,09015
9,16,214,190,88.79,24,11.21,09016
9,17,154,133,86.36,21,13.64,09017
9,18,177,163,92.09,14,7.91,09018
9,19,215,194,90.23,21,9.77,09019
9,20,245,218,88.98,27,11.02,09020
9,21,204,186,91.18,18,8.82,09021
9,22,260,227,87.31,33,12.69,09022
9,23,311,269,86.5,42,13.5,09023
9,24,272,239,87.87,33,12.13,09024
9,25,257,227,88.33,30,11.67,09025
9,26,179,146,81.56,33,18.44,09026
9,27,194,173,89.18,21,10.82,09027
9,28,101,71,70.3,30,29.7,09028
9,29,194,165,85.05,29,14.95,09029
9,30,170,156,91.76,14,8.24,09030
9,31,175,150,85.71,25,14.29,09031
9,32,245,220,89.8,25,10.2,09032
9,33,167,144,86.23,23,13.77,09033
9,34,177,151,85.31,26,14.69,09034
9,35,242,213,88.02,29,11.98,09035
9,36,191,167,87.43,24,12.57,09036
9,37,356,218,61.24,138,38.76,09037
9,38,218,182,83.49,36,16.51,09038
9,39,245,220,89.8,25,10.2,09039
9,40,289,264,91.35,25,8.65,09040
9,41,179,157,87.71,22,12.29,09041
9,42,278,237,85.25,41,14.75,09042
9,43,185,155,83.78,30,16.22,09043
9,44,207,189,91.3,18,8.7,09044
9,45,179,158,88.27,21,11.73,09045
9,46,238,185,77.73,53,22.27,09046
9,47,308,275,89.29,33,10.71,09047
9,48,292,257,88.01,35,11.99,09048
9,49,277,239,86.28,38,13.72,09049
9,50,370,336,90.81,34,9.19,09050
9,51,260,234,90.0,26,10.0,09051
10,1,208,163,78.37,45,21.63,10001
10,2,236,138,58.47,98,41.53,10002
10,3,236,154,65.25,82,34.75,10003
10,4,144,97,67.36,47,32.64,10004
10,5,183,102,55.74,81,44.26,10005
10,6,138,75,54.35,63,45.65,10006
10,7,121,72,59.5,49,40.5,10007
10,8,75,64,85.33,11,14.67,10008
10,9,221,146,66.06,75,33.94,10009
10,10,214,111,51.87,103,48.13,10010
10,11,181,98,54.14,83,45.86,10011
10,12,116,63,54.31,53,45.69,10012
10,13,170,119,70.0,51,30.0,10013
10,14,218,116,53.21,102,46.79,10014
10,15,456,395,86.62,61,13.38,10015
10,16,156,98,62.82,58,37.18,10016
10,17,295,175,59.32,120,40.68,10017
10,18,107,91,85.05,16,14.95,10018
10,19,215,118,54.88,97,45.12,10019
10,20,236,144,61.02,92,38.98,10020
10,21,176,94,53.41,82,46.59,10021
10,22,100,54,54.0,46,46.0,10022
10,23,146,86,58.9,60,41.1,10023
10,24,204,135,66.18,69,33.82,10024
10,25,65,49,75.38,16,24.62,10025
10,26,109,69,63.3,40,36.7,10026
10,27,159,117,73.58,42,26.42,10027
10,28,185,104,56.22,81,43.78,10028
10,29,139,87,62.59,52,37.41,10029
10,30,146,82,56.16,64,43.84,10030
10,31,128,63,49.22,65,50.78,10031
10,32,169,86,50.89,83,49.11,10032
10,33,120,71,59.17,49,40.83,10033
10,34,121,97,80.17,24,19.83,10034
10,35,246,134,54.47,112,45.53,10035
10,36,55,38,69.09,17,30.91,10036
11,1,270,167,61.85,103,38.15,11001
11,2,17,12,70.59,5,29.41,11002
11,3,210,76,36.19,134,63.81,11003
11,4,197,110,55.84,87,44.16,11004
11,5,297,143,48.15,154,51.85,11005
11,6,365,184,50.41,181,49.59,11006
11,7,205,109,53.17,96,46.83,11007
11,8,221,107,48.42,114,51.58,11008
11,9,202,114,56.44,88,43.56,11009
11,10,213,105,49.3,108,50.7,11010
11,11,253,138,54.55,115,45.45,11011
11,12,412,257,62.38,155,37.62,11012
11,13,326,239,73.31,87,26.69,11013
11,14,171,88,51.46,83,48.54,11014
11,15,111,71,63.96,40,36.04,11015
11,16,165,108,65.45,57,34.55,11016
11,17,310,151,48.71,159,51.29,11017
11,18,217,133,61.29,84,38.71,11018
11,19,296,129,43.58,167,56.42,11019
11,20,190,110,57.89,80,42.11,11020
11,21,381,233,61.15,148,38.85,11021
11,22,281,133,47.33,148,52.67,11022
11,23,171,102,59.65,69,40.35,11023
11,24,344,244,70.93,100,29.07,11024
11,25,338,158,46.75,180,53.25,11025
11,26,323,189,58.51,134,41.49,11026
11,27,74,31,41.89,43,58.11,11027
11,28,119,76,63.87,43,36.13,11028
11,29,316,210,66.46,106,33.54,11029
11,30,109,64,58.72,45,41.28,11030
11,31,279,155,55.56,124,44.44,11031
11,32,136,75,55.15,61,44.85,11032
11,33,275,137,49.82,138,50.18,11033
11,34,114,85,74.56,29,25.44,11034
11,35,75,47,62.67,28,37.33,11035
11,36,95,51,53.68,44,46.32,11036
11,37,77,45,58.44,32,41.56,11037
11,38,114,55,48.25,59,51.75,11038
12,1,206,94,45.63,112,54.37,12001
12,2,137,87,63.5,50,36.5,12002
12,3,287,121,42.16,166,57.84,12003
12,4,205,99,48.29,106,51.71,12004
12,5,191,108,56.54,83,43.46,12005
12,6,176,87,49.43,89,50.57,12006
12,7,130,66,50.77,64,49.23,12007
12,8,223,116,52.02,107,47.98,12008
12,9,158,82,51.9,76,48.1,12009
12,10,170,89,52.35,81,47.65,12010
12,11,158,91,57.59,67,42.41,12011
12,12,154,97,62.99,57,37.01,12012
12,13,187,112,59.89,75,40.11,12013
12,14,138,72,52.17,66,47.83,12014
12,15,138,80,57.97,58,42.03,12015
12,16,93,58,62.37,35,37.63,12016
12,17,167,66,39.52,101,60.48,12017
12,18,144,73,50.69,71,49.31,12018
12,19,187,94,50.27,93,49.73,12019
12,20,153,83,54.25,70,45.75,12020
12,21,189,94,49.74,95,50.26,12021
12,22,128,57,44.53,71,55.47,12022
12,23,201,106,52.74,95,47.26,12023
13,1,190,123,64.74,67,35.26,13001
13,2,183,112,61.2,71,38.8,13002
13,3,97,50,51.55,47,48.45,13003
13,4,202,126,62.38,76,37.62,13004
13,5,173,104,60.12,69,39.88,13005
13,6,226,141,62.39,85,37.61,13006
13,7,107,82,76.64,25,23.36,13007
13,8,149,88,59.06,61,40.94,13008
13,9,161,99,61.49,62,38.51,13009
13,10,206,123,59.71,83,40.29,13010
13,11,194,132,68.04,62,31.96,13011
13,12,157,97,61.78,60,38.22,13012
13,13,198,129,65.15,69,34.85,13013
13,14,140,84,60.0,56,40.0,13014
13,15,219,142,64.84,77,35.16,13015
13,16,101,60,59.41,41,40.59,13016
13,17,173,121,69.94,52,30.06,13017
13,18,164,111,67.68,53,32.32,13018
13,19,131,88,67.18,43,32.82,13019
13,20,149,111,74.5,38,25.5,13020
13,21,252,154,61.11,98,38.89,13021
13,22,221,132,59.73,89,40.27,13022
13,23,117,69,58.97,48,41.03,13023
13,24,145,93,64.14,52,35.86,13024
13,25,157,91,57.96,66,42.04,13025
13,26,157,104,66.24,53,33.76,13026
13,27,187,126,67.38,61,32.62,13027
13,28,118,85,72.03,33,27.97,13028
13,29,130,84,64.62,46,35.38,13029
13,30,101,65,64.36,36,35.64,13030
13,31,226,148,65.49,78,34.51,13031
13,32,189,114,60.32,75,39.68,13032
13,33,214,156,72.9,58,27.1,13033
13,34,160,105,65.63,55,34.38,13034
13,35,153,102,66.67,51,33.33,13035
13,36,97,65,67.01,32,32.99,13036
13,37,237,156,65.82,81,34.18,13037
13,38,187,139,74.33,48,25.67,13038
13,39,155,101,65.16,54,34.84,13039
13,40,166,115,69.28,51,30.72,13040
13,41,170,112,65.88,58,34.12,13041
13,42,207,145,70.05,62,29.95,13042
13,43,186,119,63.98,67,36.02,13043
13,44,137,88,64.23,49,35.77,13044
13,45,209,154,73.68,55,26.32,13045
13,46,181,111,61.33,70,38.67,13046
13,47,145,97,66.9,48,33.1,13047
13,48,181,107,59.12,74,40.88,13048
14,1,317,228,71.92,89,28.08,14001
14,2,220,137,62.27,83,37.73,14002
14,3,132,82,62.12,50,37.88,14003
14,4,209,135,64.59,74,35.41,14004
14,5,167,107,64.07,60,35.93,14005
14,6,62,37,59.68,25,40.32,14006
14,7,180,114,63.33,66,36.67,14007
14,8,166,93,56.02,73,43.98,14008
14,9,296,174,58.78,122,41.22,14009
14,10,96,57,59.38,39,40.63,14010
14,11,75,35,46.67,40,53.33,14011
14,12,174,94,54.02,80,45.98,14012
14,13,141,87,61.7,54,38.3,14013
14,14,114,63,55.26,51,44.74,14014
14,15,133,74,55.64,59,44.36,14015
14,16,128,54,42.19,74,57.81,14016
14,17,125,75,60.0,50,40.0,14017
14,18,71,47,66.2,24,33.8,14018
14,19,124,89,71.77,35,28.23,14019
14,20,85,47,55.29,38,44.71,14020
14,21,116,62,53.45,54,46.55,14021
14,22,222,140,63.06,82,36.94,14022
14,23,158,99,62.66,59,37.34,14023
14,24,286,173,60.49,113,39.51,14024
14,25,80,55,68.75,25,31.25,14025
14,26,108,60,55.56,48,44.44,14026
14,27,155,97,62.58,58,37.42,14027
14,28,104,65,62.5,39,37.5,14028
14,29,130,89,68.46,41,31.54,14029
14,30,68,40,58.82,28,41.18,14030
14,31,82,47,57.32,35,42.68,14031
15,1,262,139,53.05,123,46.95,15001
15,2,156,133,85.26,23,14.74,15002
15,3,165,149,90.3,16,9.7,15003
15,4,235,136,57.87,99,42.13,15004
15,5,236,143,60.59,93,39.41,15005
15,6,243,133,54.73,110,45.27,15006
15,7,179,147,82.12,32,17.88,15007
15,8,225,143,63.56,82,36.44,15008
15,9,299,197,65.89,102,34.11,15009
15,10,313,174,55.59,139,44.41,15010
15,11,263,163,61.98,100,38.02,15011
15,12,281,167,59.43,114,40.57,15012
15,13,226,135,59.73,91,40.27,15013
15,14,194,105,54.12,89,45.88,15014
15,15,174,102,58.62,72,41.38,15015
15,16,278,199,71.58,79,28.42,15016
15,17,185,161,87.03,24,12.97,15017
15,18,136,118,86.76,18,13.24,15018
15,19,202,145,71.78,57,28.22,15019
15,20,189,176,93.12,13,6.88,15020
15,21,156,140,89.74,16,10.26,15021
15,22,167,153,91.62,14,8.38,15022
15,23,174,157,90.23,17,9.77,15023
15,24,160,142,88.75,18,11.25,15024
16,1,182,112,61.54,70,38.46,16001
16,2,171,150,87.72,21,12.28,16002
16,3,149,138,92.62,11,7.38,16003
16,4,164,140,85.37,24,14.63,16004
16,5,106,97,91.51,9,8.49,16005
16,6,175,153,87.43,22,12.57,16006
16,7,165,137,83.03,28,16.97,16007
16,8,96,74,77.08,22,22.92,16008
16,9,177,161,90.96,16,9.04,16009
16,10,161,145,90.06,16,9.94,16010
16,11,148,103,69.59,45,30.41,16011
16,12,129,108,83.72,21,16.28,16012
16,13,108,81,75.0,27,25.0,16013
16,14,148,128,86.49,20,13.51,16014
16,15,193,173,89.64,20,10.36,16015
16,16,185,156,84.32,29,15.68,16016
16,17,126,93,73.81,33,26.19,16017
16,18,188,159,84.57,29,15.43,16018
16,19,157,134,85.35,23,14.65,16019
16,20,127,106,83.46,21,16.54,16020
16,21,154,132,85.71,22,14.29,16021
16,22,138,120,86.96,18,13.04,16022
16,23,135,101,74.81,34,25.19,16023
16,24,110,91,82.73,19,17.27,16024
16,25,213,181,84.98,32,15.02,16025
16,26,177,156,88.14,21,11.86,16026
16,27,140,118,84.29,22,15.71,16027
16,28,211,182,86.26,29,13.74,16028
16,29,155,136,87.74,19,12.26,16029
16,30,143,113,79.02,30,20.98,16030
16,31,198,174,87.88,24,12.12,16031
16,32,127,79,62.2,48,37.8,16032
16,33,160,145,90.63,15,9.38,16033
16,34,150,129,86.0,21,14.0,16034
16,35,172,127,73.84,45,26.16,16035
16,36,123,109,88.62,14,11.38,16036
17,1,164,106,64.63,58,35.37,17001
17,2,207,188,90.82,19,9.18,17002
17,3,212,185,87.26,27,12.74,17003
17,4,279,242,86.74,37,13.26,17004
17,5,161,137,85.09,24,14.91,17005
17,6,159,135,84.91,24,15.09,17006
17,7,123,90,73.17,33,26.83,17007
17,8,171,149,87.13,22,12.87,17008
17,9,175,157,89.71,18,10.29,17009
17,10,289,245,84.78,44,15.22,17010
17,11,150,129,86.0,21,14.0,17011
17,12,212,149,70.28,63,29.72,17012
