ward,precinct,total,Mary Katherine Rochford,Mary Katherine Rochford Percent,Sebastian T. Patti,Sebastian T. Patti Percent,Kevin Rogers,Kevin Rogers Percent,William D. O'Neal,William D. O'Neal Percent,Anthony Lynn Burrell,Anthony Lynn Burrell Percent,precinct_id
1,24,147,76,51.7,30,20.41,8,5.44,27,18.37,6,4.08,01024
1,25,53,25,47.17,7,13.21,8,15.09,8,15.09,5,9.43,01025
1,26,46,25,54.35,9,19.57,5,10.87,7,15.22,0,0.0,01026
1,27,54,25,46.3,10,18.52,7,12.96,12,22.22,0,0.0,01027
1,28,51,21,41.18,9,17.65,5,9.8,9,17.65,7,13.73,01028
1,29,82,31,37.8,22,26.83,7,8.54,16,19.51,6,7.32,01029
1,30,132,51,38.64,29,21.97,23,17.42,17,12.88,12,9.09,01030
1,31,57,36,63.16,7,12.28,7,12.28,5,8.77,2,3.51,01031
1,32,73,22,30.14,12,16.44,15,20.55,15,20.55,9,12.33,01032
1,33,87,47,54.02,13,14.94,7,8.05,17,19.54,3,3.45,01033
1,34,56,31,55.36,9,16.07,6,10.71,5,8.93,5,8.93,01034
1,35,41,23,56.1,7,17.07,5,12.2,5,12.2,1,2.44,01035
1,36,73,44,60.27,19,26.03,5,6.85,2,2.74,3,4.11,01036
1,37,66,35,53.03,14,21.21,4,6.06,10,15.15,3,4.55,01037
1,38,36,12,33.33,8,22.22,7,19.44,7,19.44,2,5.56,01038
1,39,72,32,44.44,8,11.11,11,15.28,16,22.22,5,6.94,01039
1,40,23,9,39.13,7,30.43,2,8.7,2,8.7,3,13.04,01040
1,41,64,38,59.38,9,14.06,6,9.38,9,14.06,2,3.13,01041
1,42,48,22,45.83,3,6.25,5,10.42,17,35.42,1,2.08,01042
1,43,82,29,35.37,19,23.17,7,8.54,20,24.39,7,8.54,01043
1,44,51,23,45.1,9,17.65,5,9.8,10,19.61,4,7.84,01044
1,45,90,42,46.67,19,21.11,7,7.78,17,18.89,5,5.56,01045
1,46,79,39,49.37,17,21.52,7,8.86,9,11.39,7,8.86,01046
1,47,68,34,50.0,17,25.0,9,13.24,7,10.29,1,1.47,01047
1,48,53,24,45.28,6,11.32,4,7.55,15,28.3,4,7.55,01048
1,49,36,22,61.11,7,19.44,3,8.33,2,5.56,2,5.56,01049
1,50,51,28,54.9,7,13.73,4,7.84,6,11.76,6,11.76,01050
2,1,168,94,55.95,29,17.26,17,10.12,12,7.14,16,9.52,02001
2,2,26,8,30.77,6,23.08,8,30.77,1,3.85,3,11.54,02002
2,3,142,53,37.32,14,9.86,24,16.9,24,16.9,27,19.01,02003
2,4,70,15,21.43,10,14.29,14,20.0,17,24.29,14,20.0,02004
2,5,111,24,21.62,5,4.5,24,21.62,21,18.92,37,33.33,02005
2,6,112,62,55.36,20,17.86,8,7.14,11,9.82,11,9.82,02006
2,7,161,36,22.36,15,9.32,35,21.74,41,25.47,34,21.12,02007
2,8,174,88,50.57,27,15.52,28,16.09,16,9.2,15,8.62,02008
2,9,103,30,29.13,13,12.62,17,16.5,19,18.45,24,23.3,02009
2,10,79,19,24.05,8,10.13,19,24.05,17,21.52,16,20.25,02010
2,11,247,146,59.11,49,19.84,24,9.72,21,8.5,7,2.83,02011
2,12,116,71,61.21,17,14.66,9,7.76,11,9.48,8,6.9,02012
2,13,123,39,31.71,19,15.45,23,18.7,27,21.95,15,12.2,02013
2,14,201,60,29.85,14,6.97,44,21.89,46,22.89,37,18.41,02014
2,15,54,10,18.52,6,11.11,13,24.07,13,24.07,12,22.22,02015
2,16,129,78,60.47,17,13.18,11,8.53,16,12.4,7,5.43,02016
2,17,78,24,30.77,5,6.41,10,12.82,19,24.36,20,25.64,02017
2,18,144,69,47.92,22,15.28,21,14.58,25,17.36,7,4.86,02018
2,19,159,66,41.51,22,13.84,31,19.5,29,18.24,11,6.92,02019
2,20,214,61,28.5,18,8.41,37,17.29,49,22.9,49,22.9,02020
2,21,147,40,27.21,19,12.93,18,12.24,38,25.85,32,21.77,02021
2,22,216,88,40.74,41,18.98,27,12.5,23,10.65,37,17.13,02022
2,23,92,26,28.26,8,8.7,18,19.57,18,19.57,22,23.91,02023
2,24,64,29,45.31,8,12.5,12,18.75,9,14.06,6,9.38,02024
2,25,144,53,36.81,23,15.97,20,13.89,23,15.97,25,17.36,02025
2,26,105,31,29.52,11,10.48,21,20.0,17,16.19,25,23.81,02026
2,27,102,39,38.24,9,8.82,16,15.69,16,15.69,22,21.57,02027
2,28,80,48,60.0,12,15.0,8,10.0,4,5.0,8,10.0,02028
2,29,64,30,46.88,8,12.5,10,15.63,10,15.63,6,9.38,02029
2,30,122,54,44.26,23,18.85,11,9.02,23,18.85,11,9.02,02030
2,31,135,37,27.41,9,6.67,28,20.74,39,28.89,22,16.3,02031
2,32,53,19,35.85,2,3.77,5,9.43,17,32.08,10,18.87,02032
2,33,65,14,21.54,2,3.08,8,12.31,20,30.77,21,32.31,02033
2,34,107,23,21.5,15,14.02,19,17.76,24,22.43,26,24.3,02034
2,35,25,16,64.0,3,12.0,2,8.0,2,8.0,2,8.0,02035
2,36,197,97,49.24,20,10.15,22,11.17,37,18.78,21,10.66,02036
2,37,110,66,60.0,13,11.82,10,9.09,11,10.0,10,9.09,02037
2,38,173,96,55.49,27,15.61,19,10.98,20,11.56,11,6.36,02038
2,39,90,29,32.22,6,6.67,17,18.89,22,24.44,16,17.78,02039
2,40,194,67,34.54,39,20.1,26,13.4,37,19.07,25,12.89,02040
2,41,59,5,8.47,3,5.08,18,30.51,23,38.98,10,16.95,02041
2,42,76,12,15.79,4,5.26,19,25.0,21,27.63,20,26.32,02042
2,43,198,91,45.96,24,12.12,23,11.62,33,16.67,27,13.64,02043
2,44,103,20,19.42,3,2.91,28,27.18,34,33.01,18,17.48,02044
2,45,103,26,25.24,10,9.71,16,15.53,24,23.3,27,26.21,02045
2,46,220,56,25.45,11,5.0,47,21.36,61,27.73,45,20.45,02046
2,47,80,23,28.75,6,7.5,19,23.75,12,15.0,20,25.0,02047
2,48,77,18,23.38,4,5.19,14,18.18,17,22.08,24,31.17,02048
2,49,92,56,60.87,13,14.13,10,10.87,7,7.61,6,6.52,02049
2,50,90,32,35.56,15,16.67,12,13.33,20,22.22,11,12.22,02050
2,51,82,24,29.27,8,9.76,18,21.95,13,15.85,19,23.17,02051
2,52,150,45,30.0,8,5.33,27,18.0,44,29.33,26,17.33,02052
2,53,100,50,50.0,19,19.0,12,12.0,12,12.0,7,7.0,02053
2,54,156,96,61.54,34,21.79,9,5.77,11,7.05,6,3.85,02054
2,55,54,31,57.41,6,11.11,8,14.81,4,7.41,5,9.26,02055
2,56,114,27,23.68,6,5.26,25,21.93,29,25.44,27,23.68,02056
3,1,105,20,19.05,24,22.86,25,23.81,19,18.1,17,16.19,03001
3,2,188,35,18.62,40,21.28,33,17.55,48,25.53,32,17.02,03002
3,3,126,41,32.54,19,15.08,27,21.43,23,18.25,16,12.7,03003
3,4,88,14,15.91,16,18.18,16,18.18,18,20.45,24,27.27,03004
3,5,113,21,18.58,16,14.16,24,21.24,19,16.81,33,29.2,03005
3,6,33,14,42.42,3,9.09,8,24.24,6,18.18,2,6.06,03006
3,7,119,25,21.01,26,21.85,16,13.45,30,25.21,22,18.49,03007
3,8,104,22,21.15,18,17.31,22,21.15,23,22.12,19,18.27,03008
3,9,115,22,19.13,14,12.17,29,25.22,21,18.26,29,25.22,03009
3,10,41,9,21.95,9,21.95,5,12.2,8,19.51,10,24.39,03010
3,11,116,24,20.69,24,20.69,31,26.72,15,12.93,22,18.97,03011
3,12,92,18,19.57,8,8.7,24,26.09,25,27.17,17,18.48,03012
3,13,72,34,47.22,6,8.33,9,12.5,13,18.06,10,13.89,03013
3,14,103,28,27.18,16,15.53,19,18.45,26,25.24,14,13.59,03014
3,15,129,23,17.83,21,16.28,28,21.71,28,21.71,29,22.48,03015
3,16,103,23,22.33,22,21.36,23,22.33,19,18.45,16,15.53,03016
3,17,62,15,24.19,9,14.52,13,20.97,15,24.19,10,16.13,03017
3,18,58,10,17.24,4,6.9,24,41.38,13,22.41,7,12.07,03018
3,19,33,12,36.36,5,15.15,7,21.21,5,15.15,4,12.12,03019
3,20,98,20,20.41,7,7.14,21,21.43,28,28.57,22,22.45,03020
3,21,45,16,35.56,3,6.67,6,13.33,12,26.67,8,17.78,03021
3,22,69,18,26.09,13,18.84,9,13.04,17,24.64,12,17.39,03022
3,23,87,17,19.54,15,17.24,22,25.29,16,18.39,17,19.54,03023
3,24,139,33,23.74,21,15.11,25,17.99,33,23.74,27,19.42,03024
3,25,72,23,31.94,10,13.89,13,18.06,15,20.83,11,15.28,03025
3,26,36,4,11.11,12,33.33,8,22.22,7,19.44,5,13.89,03026
3,27,115,32,27.83,14,12.17,21,18.26,18,15.65,30,26.09,03027
3,28,192,105,54.69,27,14.06,22,11.46,21,10.94,17,8.85,03028
3,29,114,25,21.93,28,24.56,19,16.67,24,21.05,18,15.79,03029
3,30,96,27,28.13,13,13.54,17,17.71,21,21.88,18,18.75,03030
3,31,188,33,17.55,43,22.87,24,12.77,49,26.06,39,20.74,03031
3,32,83,19,22.89,14,16.87,15,18.07,20,24.1,15,18.07,03032
3,33,150,30,20.0,27,18.0,30,20.0,40,26.67,23,15.33,03033
3,34,120,29,24.17,15,12.5,19,15.83,27,22.5,30,25.0,03034
3,35,123,25,20.33,33,26.83,27,21.95,24,19.51,14,11.38,03035
3,36,33,5,15.15,4,12.12,8,24.24,7,21.21,9,27.27,03036
3,37,51,6,11.76,9,17.65,6,11.76,16,31.37,14,27.45,03037
3,38,186,36,19.35,19,10.22,49,26.34,49,26.34,33,17.74,03038
3,39,199,48,24.12,26,13.07,41,20.6,55,27.64,29,14.57,03039
3,40,119,34,28.57,25,21.01,26,21.85,17,14.29,17,14.29,03040
3,41,115,37,32.17,21,18.26,16,13.91,18,15.65,23,20.0,03041
3,42,71,20,28.17,5,7.04,18,25.35,17,23.94,11,15.49,03042
3,43,15,6,40.0,2,13.33,1,6.67,2,13.33,4,26.67,03043
3,44,25,4,16.0,2,8.0,4,16.0,7,28.0,8,32.0,03044
3,45,150,46,30.67,15,10.0,24,16.0,35,23.33,30,20.0,03045
3,46,11,4,36.36,1,9.09,2,18.18,2,18.18,2,18.18,03046
3,47,75,16,21.33,21,28.0,17,22.67,14,18.67,7,9.33,03047
3,48,75,9,12.0,25,33.33,12,16.0,16,21.33,13,17.33,03048
3,49,30,6,20.0,2,6.67,7,23.33,8,26.67,7,23.33,03049
3,50,61,16,26.23,14,22.95,11,18.03,11,18.03,9,14.75,03050
4,1,183,74,40.44,30,16.39,26,14.21,33,18.03,20,10.93,04001
4,2,212,61,28.77,22,10.38,41,19.34,43,20.28,45,21.23,04002
4,3,183,36,19.67,36,19.67,46,25.14,36,19.67,29,15.85,04003
4,4,138,38,27.54,22,15.94,28,20.29,21,15.22,29,21.01,04004
4,5,212,45,21.23,45,21.23,42,19.81,43,20.28,37,17.45,04005
4,6,71,11,15.49,3,4.23,22,30.99,16,22.54,19,26.76,04006
4,7,177,47,26.55,36,20.34,30,16.95,33,18.64,31,17.51,04007
4,8,172,35,20.35,33,19.19,27,15.7,39,22.67,38,22.09,04008
4,9,355,73,20.56,46,12.96,67,18.87,77,21.69,92,25.92,04009
4,10,164,46,28.05,22,13.41,25,15.24,26,15.85,45,27.44,04010
4,11,109,23,21.1,14,12.84,21,19.27,24,22.02,27,24.77,04011
4,12,93,17,18.28,14,15.05,22,23.66,19,20.43,21,22.58,04012
4,13,119,34,28.57,34,28.57,14,11.76,20,16.81,17,14.29,04013
4,14,94,22,23.4,19,20.21,18,19.15,20,21.28,15,15.96,04014
4,15,115,28,24.35,13,11.3,24,20.87,20,17.39,30,26.09,04015
4,16,178,45,25.28,23,12.92,28,15.73,52,29.21,30,16.85,04016
4,17,169,57,33.73,16,9.47,32,18.93,24,14.2,40,23.67,04017
4,18,150,39,26.0,10,6.67,38,25.33,39,26.0,24,16.0,04018
4,19,140,37,26.43,12,8.57,28,20.0,30,21.43,33,23.57,04019
4,20,86,19,22.09,12,13.95,16,18.6,25,29.07,14,16.28,04020
4,21,210,59,28.1,51,24.29,31,14.76,31,14.76,38,18.1,04021
4,22,213,68,31.92,43,20.19,34,15.96,30,14.08,38,17.84,04022
4,23,129,46,35.66,30,23.26,17,13.18,18,13.95,18,13.95,04023
4,24,148,41,27.7,43,29.05,27,18.24,21,14.19,16,10.81,04024
4,25,182,38,20.88,23,12.64,43,23.63,35,19.23,43,23.63,04025
4,26,164,43,26.22,21,12.8,33,20.12,36,21.95,31,18.9,04026
4,27,133,28,21.05,22,16.54,27,20.3,31,23.31,25,18.8,04027
4,28,107,45,42.06,25,23.36,8,7.48,14,13.08,15,14.02,04028
4,29,135,54,40.0,27,20.0,21,15.56,15,11.11,18,13.33,04029
4,30,136,33,24.26,18,13.24,27,19.85,30,22.06,28,20.59,04030
4,31,88,39,44.32,31,35.23,6,6.82,7,7.95,5,5.68,04031
4,32,163,72,44.17,46,28.22,17,10.43,14,8.59,14,8.59,04032
4,33,115,28,24.35,12,10.43,21,18.26,24,20.87,30,26.09,04033
4,34,123,58,47.15,26,21.14,17,13.82,3,2.44,19,15.45,04034
4,35,82,14,17.07,10,12.2,24,29.27,16,19.51,18,21.95,04035
4,36,113,30,26.55,28,24.78,15,13.27,21,18.58,19,16.81,04036
4,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04037
4,38,270,85,31.48,51,18.89,44,16.3,38,14.07,52,19.26,04038
4,39,109,25,22.94,27,24.77,23,21.1,16,14.68,18,16.51,04039
4,40,123,28,22.76,20,16.26,17,13.82,26,21.14,32,26.02,04040
4,41,60,27,45.0,17,28.33,6,10.0,8,13.33,2,3.33,04041
4,42,182,51,28.02,12,6.59,44,24.18,33,18.13,42,23.08,04042
4,43,109,48,44.04,22,20.18,18,16.51,7,6.42,14,12.84,04043
4,44,100,38,38.0,15,15.0,19,19.0,15,15.0,13,13.0,04044
4,45,291,71,24.4,65,22.34,45,15.46,66,22.68,44,15.12,04045
4,46,114,24,21.05,24,21.05,18,15.79,26,22.81,22,19.3,04046
4,47,178,61,34.27,44,24.72,32,17.98,18,10.11,23,12.92,04047
4,48,204,82,40.2,42,20.59,21,10.29,29,14.22,30,14.71,04048
4,49,111,30,27.03,12,10.81,27,24.32,26,23.42,16,14.41,04049
4,50,140,26,18.57,31,22.14,32,22.86,24,17.14,27,19.29,04050
4,51,147,31,21.09,29,19.73,29,19.73,31,21.09,27,18.37,04051
4,52,175,43,24.57,14,8.0,28,16.0,50,28.57,40,22.86,04052
5,1,153,32,20.92,12,7.84,32,20.92,40,26.14,37,24.18,05001
5,2,132,23,17.42,22,16.67,27,20.45,32,24.24,28,21.21,05002
5,3,66,25,37.88,17,25.76,5,7.58,9,13.64,10,15.15,05003
5,4,108,18,16.67,6,5.56,28,25.93,35,32.41,21,19.44,05004
5,5,106,25,23.58,14,13.21,23,21.7,30,28.3,14,13.21,05005
5,6,156,38,24.36,10,6.41,26,16.67,44,28.21,38,24.36,05006
5,7,157,34,21.66,25,15.92,21,13.38,38,24.2,39,24.84,05007
5,8,185,83,44.86,70,37.84,13,7.03,10,5.41,9,4.86,05008
5,9,129,29,22.48,18,13.95,26,20.16,29,22.48,27,20.93,05009
5,10,104,20,19.23,11,10.58,25,24.04,23,22.12,25,24.04,05010
5,11,119,43,36.13,43,36.13,11,9.24,9,7.56,13,10.92,05011
5,12,69,22,31.88,4,5.8,15,21.74,15,21.74,13,18.84,05012
5,13,140,34,24.29,13,9.29,35,25.0,28,20.0,30,21.43,05013
5,14,190,73,38.42,47,24.74,23,12.11,21,11.05,26,13.68,05014
5,15,107,33,30.84,19,17.76,19,17.76,15,14.02,21,19.63,05015
5,16,99,22,22.22,11,11.11,23,23.23,25,25.25,18,18.18,05016
5,17,122,33,27.05,20,16.39,29,23.77,14,11.48,26,21.31,05017
5,18,118,31,26.27,20,16.95,20,16.95,28,23.73,19,16.1,05018
5,19,68,10,14.71,7,10.29,15,22.06,23,33.82,13,19.12,05019
5,20,52,9,17.31,4,7.69,14,26.92,11,21.15,14,26.92,05020
5,21,121,25,20.66,5,4.13,30,24.79,27,22.31,34,28.1,05021
5,22,133,38,28.57,11,8.27,28,21.05,35,26.32,21,15.79,05022
5,23,86,21,24.42,8,9.3,15,17.44,19,22.09,23,26.74,05023
5,24,146,56,38.36,36,24.66,24,16.44,19,13.01,11,7.53,05024
5,25,106,20,18.87,7,6.6,26,24.53,32,30.19,21,19.81,05025
5,26,129,35,27.13,7,5.43,25,19.38,38,29.46,24,18.6,05026
5,27,134,73,54.48,38,28.36,7,5.22,6,4.48,10,7.46,05027
5,28,165,42,25.45,19,11.52,38,23.03,38,23.03,28,16.97,05028
5,29,141,36,25.53,18,12.77,22,15.6,30,21.28,35,24.82,05029
5,30,117,57,48.72,43,36.75,7,5.98,4,3.42,6,5.13,05030
5,31,115,22,19.13,15,13.04,23,20.0,27,23.48,28,24.35,05031
5,32,266,68,25.56,27,10.15,61,22.93,58,21.8,52,19.55,05032
5,33,96,18,18.75,12,12.5,21,21.88,28,29.17,17,17.71,05033
5,34,139,38,27.34,11,7.91,30,21.58,34,24.46,26,18.71,05034
5,35,99,40,40.4,22,22.22,14,14.14,10,10.1,13,13.13,05035
5,36,57,12,21.05,3,5.26,15,26.32,16,28.07,11,19.3,05036
5,37,111,45,40.54,35,31.53,7,6.31,7,6.31,17,15.32,05037
5,38,168,78,46.43,44,26.19,14,8.33,18,10.71,14,8.33,05038
5,39,174,94,54.02,55,31.61,1,0.57,10,5.75,14,8.05,05039
5,40,111,27,24.32,12,10.81,19,17.12,25,22.52,28,25.23,05040
5,41,101,53,52.48,30,29.7,4,3.96,5,4.95,9,8.91,05041
5,42,133,36,27.07,10,7.52,31,23.31,29,21.8,27,20.3,05042
5,43,167,35,20.96,14,8.38,38,22.75,45,26.95,35,20.96,05043
5,44,139,31,22.3,17,12.23,35,25.18,24,17.27,32,23.02,05044
5,45,77,25,32.47,20,25.97,7,9.09,12,15.58,13,16.88,05045
5,46,129,53,41.09,48,37.21,7,5.43,13,10.08,8,6.2,05046
5,47,105,26,24.76,10,9.52,25,23.81,14,13.33,30,28.57,05047
5,48,89,37,41.57,25,28.09,6,6.74,8,8.99,13,14.61,05048
5,49,29,6,20.69,2,6.9,6,20.69,8,27.59,7,24.14,05049
5,50,85,18,21.18,10,11.76,21,24.71,22,25.88,14,16.47,05050
5,51,87,19,21.84,12,13.79,18,20.69,19,21.84,19,21.84,05051
5,52,8,4,50.0,3,37.5,1,12.5,0,0.0,0,0.0,05052
5,53,151,46,30.46,20,13.25,31,20.53,24,15.89,30,19.87,05053
5,54,217,37,17.05,28,12.9,51,23.5,48,22.12,53,24.42,05054
5,55,111,21,18.92,12,10.81,21,18.92,29,26.13,28,25.23,05055
6,1,215,32,14.88,19,8.84,48,22.33,77,35.81,39,18.14,06001
6,2,175,32,18.29,18,10.29,35,20.0,51,29.14,39,22.29,06002
6,3,180,29,16.11,26,14.44,33,18.33,59,32.78,33,18.33,06003
6,4,107,25,23.36,12,11.21,20,18.69,29,27.1,21,19.63,06004
6,5,54,11,20.37,14,25.93,8,14.81,14,25.93,7,12.96,06005
6,6,124,24,19.35,12,9.68,25,20.16,37,29.84,26,20.97,06006
6,7,135,25,18.52,12,8.89,28,20.74,41,30.37,29,21.48,06007
6,8,200,34,17.0,24,12.0,45,22.5,60,30.0,37,18.5,06008
6,9,164,22,13.41,23,14.02,15,9.15,67,40.85,37,22.56,06009
6,10,265,47,17.74,29,10.94,56,21.13,79,29.81,54,20.38,06010
6,11,142,23,16.2,28,19.72,35,24.65,25,17.61,31,21.83,06011
6,12,109,31,28.44,11,10.09,19,17.43,29,26.61,19,17.43,06012
6,13,130,15,11.54,19,14.62,26,20.0,51,39.23,19,14.62,06013
6,14,123,28,22.76,14,11.38,32,26.02,24,19.51,25,20.33,06014
6,15,72,16,22.22,5,6.94,19,26.39,20,27.78,12,16.67,06015
6,16,178,42,23.6,20,11.24,36,20.22,52,29.21,28,15.73,06016
6,17,200,32,16.0,25,12.5,47,23.5,54,27.0,42,21.0,06017
6,18,62,14,22.58,9,14.52,9,14.52,16,25.81,14,22.58,06018
6,19,173,38,21.97,19,10.98,35,20.23,40,23.12,41,23.7,06019
6,20,154,37,24.03,20,12.99,33,21.43,42,27.27,22,14.29,06020
6,21,156,18,11.54,20,12.82,38,24.36,41,26.28,39,25.0,06021
6,22,128,12,9.38,11,8.59,38,29.69,35,27.34,32,25.0,06022
6,23,130,26,20.0,17,13.08,25,19.23,35,26.92,27,20.77,06023
6,24,154,26,16.88,18,11.69,32,20.78,40,25.97,38,24.68,06024
6,25,80,18,22.5,16,20.0,13,16.25,19,23.75,14,17.5,06025
6,26,169,30,17.75,11,6.51,23,13.61,72,42.6,33,19.53,06026
6,27,207,31,14.98,36,17.39,40,19.32,69,33.33,31,14.98,06027
6,28,316,31,9.81,38,12.03,58,18.35,131,41.46,58,18.35,06028
6,29,213,34,15.96,29,13.62,39,18.31,71,33.33,40,18.78,06029
6,30,103,21,20.39,11,10.68,23,22.33,20,19.42,28,27.18,06030
6,31,177,30,16.95,23,12.99,34,19.21,56,31.64,34,19.21,06031
6,32,143,27,18.88,12,8.39,29,20.28,38,26.57,37,25.87,06032
6,33,190,43,22.63,12,6.32,41,21.58,48,25.26,46,24.21,06033
6,34,121,25,20.66,5,4.13,24,19.83,35,28.93,32,26.45,06034
6,35,131,35,26.72,9,6.87,32,24.43,29,22.14,26,19.85,06035
6,36,87,20,22.99,6,6.9,17,19.54,21,24.14,23,26.44,06036
6,37,202,23,11.39,36,17.82,47,23.27,55,27.23,41,20.3,06037
6,38,155,29,18.71,11,7.1,29,18.71,51,32.9,35,22.58,06038
6,39,107,26,24.3,15,14.02,29,27.1,17,15.89,20,18.69,06039
6,40,69,17,24.64,9,13.04,9,13.04,21,30.43,13,18.84,06040
6,41,183,26,14.21,41,22.4,25,13.66,46,25.14,45,24.59,06041
6,42,60,11,18.33,10,16.67,13,21.67,13,21.67,13,21.67,06042
6,43,152,29,19.08,21,13.82,27,17.76,45,29.61,30,19.74,06043
6,44,152,30,19.74,22,14.47,34,22.37,34,22.37,32,21.05,06044
6,45,121,20,16.53,17,14.05,27,22.31,37,30.58,20,16.53,06045
6,46,147,27,18.37,18,12.24,33,22.45,38,25.85,31,21.09,06046
6,47,166,33,19.88,21,12.65,33,19.88,41,24.7,38,22.89,06047
6,48,129,27,20.93,23,17.83,28,21.71,29,22.48,22,17.05,06048
6,49,130,29,22.31,11,8.46,13,10.0,41,31.54,36,27.69,06049
6,50,163,36,22.09,20,12.27,22,13.5,42,25.77,43,26.38,06050
6,51,88,19,21.59,4,4.55,20,22.73,16,18.18,29,32.95,06051
6,52,92,23,25.0,5,5.43,16,17.39,27,29.35,21,22.83,06052
6,53,130,18,13.85,12,9.23,27,20.77,40,30.77,33,25.38,06053
6,54,124,29,23.39,11,8.87,30,24.19,24,19.35,30,24.19,06054
6,55,116,21,18.1,13,11.21,25,21.55,23,19.83,34,29.31,06055
6,56,120,22,18.33,17,14.17,30,25.0,31,25.83,20,16.67,06056
6,57,68,13,19.12,7,10.29,13,19.12,19,27.94,16,23.53,06057
6,58,183,28,15.3,26,14.21,51,27.87,51,27.87,27,14.75,06058
6,59,148,30,20.27,16,10.81,28,18.92,43,29.05,31,20.95,06059
6,60,100,22,22.0,9,9.0,23,23.0,27,27.0,19,19.0,06060
6,61,77,22,28.57,7,9.09,21,27.27,14,18.18,13,16.88,06061
6,62,122,18,14.75,16,13.11,29,23.77,34,27.87,25,20.49,06062
6,63,146,31,21.23,14,9.59,27,18.49,44,30.14,30,20.55,06063
6,64,187,25,13.37,19,10.16,35,18.72,63,33.69,45,24.06,06064
7,1,280,57,20.36,28,10.0,76,27.14,70,25.0,49,17.5,07001
7,2,154,32,20.78,23,14.94,25,16.23,49,31.82,25,16.23,07002
7,3,83,27,32.53,8,9.64,18,21.69,17,20.48,13,15.66,07003
7,4,85,22,25.88,8,9.41,19,22.35,25,29.41,11,12.94,07004
7,5,72,16,22.22,9,12.5,11,15.28,20,27.78,16,22.22,07005
7,6,91,19,20.88,5,5.49,23,25.27,32,35.16,12,13.19,07006
7,7,80,17,21.25,8,10.0,17,21.25,24,30.0,14,17.5,07007
7,8,36,6,16.67,3,8.33,7,19.44,13,36.11,7,19.44,07008
7,9,132,24,18.18,10,7.58,22,16.67,40,30.3,36,27.27,07009
7,10,72,12,16.67,5,6.94,16,22.22,14,19.44,25,34.72,07010
7,11,146,27,18.49,11,7.53,37,25.34,38,26.03,33,22.6,07011
7,12,93,12,12.9,10,10.75,20,21.51,33,35.48,18,19.35,07012
7,13,91,13,14.29,8,8.79,23,25.27,35,38.46,12,13.19,07013
7,14,125,22,17.6,10,8.0,25,20.0,43,34.4,25,20.0,07014
7,15,63,12,19.05,6,9.52,14,22.22,17,26.98,14,22.22,07015
7,16,62,9,14.52,3,4.84,13,20.97,21,33.87,16,25.81,07016
7,17,61,8,13.11,3,4.92,8,13.11,26,42.62,16,26.23,07017
7,18,86,24,27.91,5,5.81,10,11.63,26,30.23,21,24.42,07018
7,19,175,38,21.71,14,8.0,43,24.57,44,25.14,36,20.57,07019
7,20,42,14,33.33,1,2.38,9,21.43,11,26.19,7,16.67,07020
7,21,110,18,16.36,10,9.09,24,21.82,30,27.27,28,25.45,07021
7,22,97,18,18.56,19,19.59,11,11.34,32,32.99,17,17.53,07022
7,23,106,17,16.04,14,13.21,20,18.87,33,31.13,22,20.75,07023
7,24,119,24,20.17,11,9.24,22,18.49,35,29.41,27,22.69,07024
