ward,precinct,total,Helen A. Ozmina Barc,Helen A. Ozmina Barc Percent,precinct_id
23,32,167,167,100.0,23032
23,33,155,155,100.0,23033
23,34,99,99,100.0,23034
23,35,66,66,100.0,23035
23,36,180,180,100.0,23036
23,37,87,87,100.0,23037
23,38,114,114,100.0,23038
23,39,115,115,100.0,23039
23,40,115,115,100.0,23040
23,41,127,127,100.0,23041
23,42,123,123,100.0,23042
23,43,166,166,100.0,23043
23,44,157,157,100.0,23044
23,45,149,149,100.0,23045
23,46,129,129,100.0,23046
23,47,169,169,100.0,23047
23,48,117,117,100.0,23048
23,49,188,188,100.0,23049
23,50,86,86,100.0,23050
23,51,159,159,100.0,23051
23,52,177,177,100.0,23052
23,53,93,93,100.0,23053
23,54,167,167,100.0,23054
