ward,precinct,total,Desiree Grode,Desiree Grode Percent,Robert B. Steele,Robert B. Steele Percent,Frank M. Bass,Frank M. Bass Percent,Erold Elysee,Erold Elysee Percent,precinct_id
2,49,83,41,49.4,30,36.14,10,12.05,2,2.41,02049
2,50,88,27,30.68,45,51.14,10,11.36,6,6.82,02050
2,51,90,27,30.0,53,58.89,10,11.11,0,0.0,02051
2,53,95,40,42.11,31,32.63,16,16.84,8,8.42,02053
2,54,144,89,61.81,37,25.69,13,9.03,5,3.47,02054
2,55,57,22,38.6,23,40.35,8,14.04,4,7.02,02055
2,56,119,21,17.65,87,73.11,10,8.4,1,0.84,02056
3,3,129,52,40.31,60,46.51,14,10.85,3,2.33,03003
3,8,111,14,12.61,83,74.77,8,7.21,6,5.41,03008
3,12,92,27,29.35,62,67.39,3,3.26,0,0.0,03012
3,14,103,27,26.21,64,62.14,10,9.71,2,1.94,03014
3,17,60,17,28.33,35,58.33,7,11.67,1,1.67,03017
3,18,55,12,21.82,36,65.45,6,10.91,1,1.82,03018
3,21,45,8,17.78,26,57.78,8,17.78,3,6.67,03021
3,22,71,12,16.9,53,74.65,5,7.04,1,1.41,03022
3,25,70,10,14.29,54,77.14,5,7.14,1,1.43,03025
3,26,39,10,25.64,27,69.23,2,5.13,0,0.0,03026
3,27,127,36,28.35,73,57.48,17,13.39,1,0.79,03027
3,28,182,86,47.25,63,34.62,29,15.93,4,2.2,03028
3,29,119,23,19.33,88,73.95,8,6.72,0,0.0,03029
3,36,39,3,7.69,31,79.49,2,5.13,3,7.69,03036
3,42,70,24,34.29,35,50.0,10,14.29,1,1.43,03042
3,44,25,3,12.0,19,76.0,3,12.0,0,0.0,03044
3,45,162,45,27.78,91,56.17,17,10.49,9,5.56,03045
3,47,75,14,18.67,55,73.33,4,5.33,2,2.67,03047
3,48,74,18,24.32,50,67.57,5,6.76,1,1.35,03048
3,50,64,12,18.75,42,65.63,8,12.5,2,3.13,03050
6,18,68,19,27.94,39,57.35,8,11.76,2,2.94,06018
6,62,134,18,13.43,98,73.13,16,11.94,2,1.49,06062
11,14,108,16,14.81,65,60.19,24,22.22,3,2.78,11014
11,27,75,9,12.0,46,61.33,19,25.33,1,1.33,11027
11,31,0,0,0.0,0,0.0,0,0.0,0,0.0,11031
11,34,48,11,22.92,31,64.58,5,10.42,1,2.08,11034
11,36,36,5,13.89,25,69.44,6,16.67,0,0.0,11036
11,46,78,10,12.82,63,80.77,5,6.41,0,0.0,11046
12,1,7,3,42.86,3,42.86,1,14.29,0,0.0,12001
12,6,27,7,25.93,10,37.04,5,18.52,5,18.52,12006
12,18,13,6,46.15,6,46.15,1,7.69,0,0.0,12018
15,2,67,14,20.9,40,59.7,12,17.91,1,1.49,15002
15,3,68,15,22.06,45,66.18,6,8.82,2,2.94,15003
15,4,71,12,16.9,47,66.2,12,16.9,0,0.0,15004
15,5,63,9,14.29,43,68.25,10,15.87,1,1.59,15005
15,7,70,10,14.29,52,74.29,6,8.57,2,2.86,15007
15,8,96,23,23.96,58,60.42,9,9.38,6,6.25,15008
15,9,83,16,19.28,57,68.67,8,9.64,2,2.41,15009
15,11,84,14,16.67,55,65.48,10,11.9,5,5.95,15011
15,12,51,11,21.57,35,68.63,0,0.0,5,9.8,15012
15,17,79,12,15.19,58,73.42,8,10.13,1,1.27,15017
15,18,50,12,24.0,34,68.0,3,6.0,1,2.0,15018
15,19,84,18,21.43,59,70.24,7,8.33,0,0.0,15019
15,20,55,10,18.18,35,63.64,9,16.36,1,1.82,15020
15,21,78,12,15.38,55,70.51,9,11.54,2,2.56,15021
15,23,61,12,19.67,42,68.85,5,8.2,2,3.28,15023
15,26,85,15,17.65,63,74.12,5,5.88,2,2.35,15026
15,27,77,12,15.58,54,70.13,9,11.69,2,2.6,15027
15,30,74,8,10.81,51,68.92,12,16.22,3,4.05,15030
15,31,49,12,24.49,31,63.27,6,12.24,0,0.0,15031
15,33,40,14,35.0,24,60.0,1,2.5,1,2.5,15033
15,34,56,8,14.29,36,64.29,11,19.64,1,1.79,15034
15,35,98,17,17.35,60,61.22,17,17.35,4,4.08,15035
15,36,68,10,14.71,48,70.59,7,10.29,3,4.41,15036
15,37,61,10,16.39,43,70.49,8,13.11,0,0.0,15037
15,38,65,8,12.31,44,67.69,10,15.38,3,4.62,15038
15,39,64,12,18.75,46,71.88,5,7.81,1,1.56,15039
15,40,66,12,18.18,50,75.76,2,3.03,2,3.03,15040
15,41,112,24,21.43,71,63.39,15,13.39,2,1.79,15041
15,42,56,9,16.07,35,62.5,8,14.29,4,7.14,15042
15,43,73,8,10.96,59,80.82,3,4.11,3,4.11,15043
15,46,46,5,10.87,38,82.61,3,6.52,0,0.0,15046
15,47,95,14,14.74,54,56.84,14,14.74,13,13.68,15047
15,48,57,14,24.56,36,63.16,7,12.28,0,0.0,15048
15,51,50,9,18.0,32,64.0,7,14.0,2,4.0,15051
15,52,59,10,16.95,39,66.1,9,15.25,1,1.69,15052
16,3,83,12,14.46,59,71.08,8,9.64,4,4.82,16003
16,5,75,17,22.67,47,62.67,10,13.33,1,1.33,16005
16,9,129,26,20.16,88,68.22,10,7.75,5,3.88,16009
16,14,72,11,15.28,51,70.83,7,9.72,3,4.17,16014
16,15,104,25,24.04,65,62.5,12,11.54,2,1.92,16015
16,16,78,16,20.51,57,73.08,4,5.13,1,1.28,16016
16,20,68,14,20.59,47,69.12,5,7.35,2,2.94,16020
16,22,85,21,24.71,60,70.59,4,4.71,0,0.0,16022
16,24,41,7,17.07,28,68.29,4,9.76,2,4.88,16024
16,25,55,8,14.55,39,70.91,7,12.73,1,1.82,16025
16,26,92,16,17.39,68,73.91,6,6.52,2,2.17,16026
16,27,109,29,26.61,70,64.22,7,6.42,3,2.75,16027
16,28,98,25,25.51,59,60.2,13,13.27,1,1.02,16028
16,31,97,23,23.71,62,63.92,9,9.28,3,3.09,16031
16,33,69,15,21.74,44,63.77,8,11.59,2,2.9,16033
16,34,61,14,22.95,36,59.02,8,13.11,3,4.92,16034
16,36,71,12,16.9,55,77.46,3,4.23,1,1.41,16036
16,37,43,7,16.28,31,72.09,4,9.3,1,2.33,16037
16,38,54,9,16.67,31,57.41,13,24.07,1,1.85,16038
16,40,87,22,25.29,60,68.97,3,3.45,2,2.3,16040
16,41,45,10,22.22,28,62.22,7,15.56,0,0.0,16041
16,43,86,11,12.79,53,61.63,20,23.26,2,2.33,16043
17,1,55,8,14.55,39,70.91,7,12.73,1,1.82,17001
17,6,65,12,18.46,48,73.85,1,1.54,4,6.15,17006
17,8,82,13,15.85,58,70.73,8,9.76,3,3.66,17008
17,13,59,11,18.64,40,67.8,7,11.86,1,1.69,17013
17,14,79,7,8.86,58,73.42,12,15.19,2,2.53,17014
17,16,70,15,21.43,46,65.71,7,10.0,2,2.86,17016
17,17,64,9,14.06,51,79.69,3,4.69,1,1.56,17017
17,19,43,4,9.3,30,69.77,6,13.95,3,6.98,17019
17,34,86,18,20.93,59,68.6,7,8.14,2,2.33,17034
17,36,56,15,26.79,38,67.86,2,3.57,1,1.79,17036
17,39,78,12,15.38,54,69.23,8,10.26,4,5.13,17039
17,41,73,17,23.29,47,64.38,8,10.96,1,1.37,17041
17,42,70,8,11.43,52,74.29,8,11.43,2,2.86,17042
17,43,60,11,18.33,39,65.0,9,15.0,1,1.67,17043
17,45,46,8,17.39,33,71.74,3,6.52,2,4.35,17045
17,46,98,18,18.37,69,70.41,6,6.12,5,5.1,17046
17,49,63,15,23.81,38,60.32,9,14.29,1,1.59,17049
17,58,85,9,10.59,67,78.82,8,9.41,1,1.18,17058
17,59,57,12,21.05,39,68.42,6,10.53,0,0.0,17059
17,60,137,17,12.41,96,70.07,24,17.52,0,0.0,17060
17,62,61,8,13.11,46,75.41,6,9.84,1,1.64,17062
17,63,51,11,21.57,35,68.63,5,9.8,0,0.0,17063
17,64,64,13,20.31,40,62.5,9,14.06,2,3.13,17064
18,5,113,16,14.16,82,72.57,10,8.85,5,4.42,18005
18,8,0,0,0.0,0,0.0,0,0.0,0,0.0,18008
18,27,126,33,26.19,74,58.73,17,13.49,2,1.59,18027
18,33,124,24,19.35,86,69.35,13,10.48,1,0.81,18033
18,39,105,16,15.24,68,64.76,19,18.1,2,1.9,18039
18,42,83,13,15.66,54,65.06,12,14.46,4,4.82,18042
18,47,100,27,27.0,55,55.0,15,15.0,3,3.0,18047
18,49,97,19,19.59,63,64.95,15,15.46,0,0.0,18049
18,50,127,24,18.9,87,68.5,14,11.02,2,1.57,18050
18,58,102,24,23.53,66,64.71,10,9.8,2,1.96,18058
18,59,126,23,18.25,91,72.22,8,6.35,4,3.17,18059
20,7,27,7,25.93,16,59.26,3,11.11,1,3.7,20007
20,11,62,18,29.03,39,62.9,4,6.45,1,1.61,20011
20,12,60,8,13.33,43,71.67,5,8.33,4,6.67,20012
20,13,89,18,20.22,55,61.8,13,14.61,3,3.37,20013
20,17,81,16,19.75,45,55.56,16,19.75,4,4.94,20017
20,19,73,10,13.7,57,78.08,4,5.48,2,2.74,20019
20,20,42,10,23.81,30,71.43,1,2.38,1,2.38,20020
20,23,123,34,27.64,75,60.98,12,9.76,2,1.63,20023
20,25,86,18,20.93,63,73.26,4,4.65,1,1.16,20025
20,27,79,18,22.78,53,67.09,7,8.86,1,1.27,20027
20,28,103,26,25.24,70,67.96,4,3.88,3,2.91,20028
20,30,103,24,23.3,66,64.08,10,9.71,3,2.91,20030
20,31,136,37,27.21,82,60.29,16,11.76,1,0.74,20031
20,33,105,24,22.86,66,62.86,13,12.38,2,1.9,20033
20,35,40,6,15.0,30,75.0,4,10.0,0,0.0,20035
20,39,87,6,6.9,65,74.71,14,16.09,2,2.3,20039
20,40,74,9,12.16,54,72.97,9,12.16,2,2.7,20040
20,42,89,17,19.1,63,70.79,9,10.11,0,0.0,20042
20,43,19,2,10.53,16,84.21,1,5.26,0,0.0,20043
20,44,145,30,20.69,91,62.76,21,14.48,3,2.07,20044
20,45,13,3,23.08,8,61.54,0,0.0,2,15.38,20045
20,46,86,23,26.74,48,55.81,13,15.12,2,2.33,20046
20,48,45,11,24.44,24,53.33,6,13.33,4,8.89,20048
20,49,62,14,22.58,37,59.68,9,14.52,2,3.23,20049
20,50,36,7,19.44,23,63.89,6,16.67,0,0.0,20050
22,7,107,10,9.35,82,76.64,14,13.08,1,0.93,22007
22,18,1,0,0.0,1,100.0,0,0.0,0,0.0,22018
22,19,62,6,9.68,50,80.65,4,6.45,2,3.23,22019
22,21,110,7,6.36,81,73.64,21,19.09,1,0.91,22021
24,1,132,8,6.06,92,69.7,30,22.73,2,1.52,24001
24,2,66,3,4.55,56,84.85,7,10.61,0,0.0,24002
24,3,95,11,11.58,72,75.79,10,10.53,2,2.11,24003
24,4,97,10,10.31,73,75.26,10,10.31,4,4.12,24004
24,5,63,5,7.94,50,79.37,8,12.7,0,0.0,24005
24,6,125,12,9.6,95,76.0,18,14.4,0,0.0,24006
24,7,87,14,16.09,55,63.22,17,19.54,1,1.15,24007
24,8,84,13,15.48,55,65.48,14,16.67,2,2.38,24008
24,9,80,10,12.5,61,76.25,8,10.0,1,1.25,24009
24,10,85,16,18.82,59,69.41,10,11.76,0,0.0,24010
24,11,58,11,18.97,35,60.34,12,20.69,0,0.0,24011
24,12,74,8,10.81,55,74.32,11,14.86,0,0.0,24012
24,13,99,15,15.15,68,68.69,15,15.15,1,1.01,24013
24,14,114,10,8.77,72,63.16,29,25.44,3,2.63,24014
24,15,85,5,5.88,59,69.41,19,22.35,2,2.35,24015
24,16,67,8,11.94,55,82.09,3,4.48,1,1.49,24016
24,17,76,9,11.84,53,69.74,13,17.11,1,1.32,24017
24,18,65,12,18.46,45,69.23,4,6.15,4,6.15,24018
24,19,58,8,13.79,38,65.52,11,18.97,1,1.72,24019
24,20,98,11,11.22,58,59.18,27,27.55,2,2.04,24020
24,21,40,5,12.5,30,75.0,4,10.0,1,2.5,24021
24,22,91,9,9.89,69,75.82,11,12.09,2,2.2,24022
24,23,83,10,12.05,54,65.06,16,19.28,3,3.61,24023
24,24,54,4,7.41,45,83.33,4,7.41,1,1.85,24024
24,25,107,15,14.02,74,69.16,17,15.89,1,0.93,24025
24,26,88,15,17.05,67,76.14,6,6.82,0,0.0,24026
24,27,54,12,22.22,31,57.41,9,16.67,2,3.7,24027
24,28,118,15,12.71,87,73.73,15,12.71,1,0.85,24028
24,29,107,8,7.48,86,80.37,12,11.21,1,0.93,24029
24,30,86,10,11.63,61,70.93,14,16.28,1,1.16,24030
24,31,88,11,12.5,66,75.0,8,9.09,3,3.41,24031
24,32,81,12,14.81,47,58.02,22,27.16,0,0.0,24032
24,33,71,8,11.27,49,69.01,14,19.72,0,0.0,24033
24,34,115,10,8.7,93,80.87,10,8.7,2,1.74,24034
24,35,131,15,11.45,99,75.57,16,12.21,1,0.76,24035
24,36,78,4,5.13,57,73.08,15,19.23,2,2.56,24036
24,37,120,20,16.67,79,65.83,18,15.0,3,2.5,24037
24,38,120,15,12.5,89,74.17,14,11.67,2,1.67,24038
24,39,79,9,11.39,55,69.62,14,17.72,1,1.27,24039
24,40,150,9,6.0,117,78.0,23,15.33,1,0.67,24040
24,41,82,14,17.07,51,62.2,16,19.51,1,1.22,24041
24,42,68,10,14.71,46,67.65,11,16.18,1,1.47,24042
24,43,122,9,7.38,98,80.33,15,12.3,0,0.0,24043
24,44,92,10,10.87,71,77.17,10,10.87,1,1.09,24044
24,45,83,8,9.64,60,72.29,13,15.66,2,2.41,24045
24,46,118,23,19.49,82,69.49,13,11.02,0,0.0,24046
24,47,81,9,11.11,60,74.07,12,14.81,0,0.0,24047
24,48,54,8,14.81,34,62.96,11,20.37,1,1.85,24048
24,49,176,24,13.64,134,76.14,14,7.95,4,2.27,24049
24,50,146,25,17.12,104,71.23,14,9.59,3,2.05,24050
24,51,125,14,11.2,93,74.4,15,12.0,3,2.4,24051
24,52,85,6,7.06,58,68.24,20,23.53,1,1.18,24052
24,54,108,9,8.33,67,62.04,31,28.7,1,0.93,24054
24,56,143,7,4.9,89,62.24,44,30.77,3,2.1,24056
25,3,51,13,25.49,33,64.71,3,5.88,2,3.92,25003
25,4,126,44,34.92,49,38.89,26,20.63,7,5.56,25004
25,5,8,1,12.5,1,12.5,3,37.5,3,37.5,25005
25,6,64,22,34.38,27,42.19,10,15.63,5,7.81,25006
25,8,0,0,0.0,0,0.0,0,0.0,0,0.0,25008
25,10,63,18,28.57,30,47.62,8,12.7,7,11.11,25010
25,14,60,15,25.0,33,55.0,8,13.33,4,6.67,25014
25,16,81,18,22.22,55,67.9,4,4.94,4,4.94,25016
25,18,119,31,26.05,59,49.58,24,20.17,5,4.2,25018
25,21,86,35,40.7,33,38.37,15,17.44,3,3.49,25021
25,25,91,40,43.96,28,30.77,18,19.78,5,5.49,25025
25,26,65,21,32.31,25,38.46,18,27.69,1,1.54,25026
25,27,77,24,31.17,33,42.86,19,24.68,1,1.3,25027
25,28,145,61,42.07,65,44.83,17,11.72,2,1.38,25028
25,29,145,49,33.79,75,51.72,18,12.41,3,2.07,25029
27,1,97,46,47.42,30,30.93,18,18.56,3,3.09,27001
27,5,35,17,48.57,13,37.14,4,11.43,1,2.86,27005
27,6,28,7,25.0,17,60.71,4,14.29,0,0.0,27006
27,9,137,41,29.93,79,57.66,12,8.76,5,3.65,27009
27,11,57,15,26.32,31,54.39,9,15.79,2,3.51,27011
27,12,106,38,35.85,53,50.0,11,10.38,4,3.77,27012
27,16,17,6,35.29,8,47.06,3,17.65,0,0.0,27016
27,17,26,16,61.54,6,23.08,3,11.54,1,3.85,27017
27,18,0,0,0.0,0,0.0,0,0.0,0,0.0,27018
27,20,82,19,23.17,51,62.2,11,13.41,1,1.22,27020
27,21,65,14,21.54,46,70.77,3,4.62,2,3.08,27021
27,28,107,30,28.04,64,59.81,11,10.28,2,1.87,27028
27,37,91,34,37.36,40,43.96,13,14.29,4,4.4,27037
27,39,27,6,22.22,18,66.67,3,11.11,0,0.0,27039
27,42,47,26,55.32,15,31.91,6,12.77,0,0.0,27042
27,43,51,11,21.57,34,66.67,5,9.8,1,1.96,27043
27,51,12,1,8.33,9,75.0,2,16.67,0,0.0,27051
27,58,21,7,33.33,10,47.62,4,19.05,0,0.0,27058
28,10,29,3,10.34,23,79.31,2,6.9,1,3.45,28010
28,32,79,10,12.66,62,78.48,5,6.33,2,2.53,28032
28,35,67,12,17.91,45,67.16,9,13.43,1,1.49,28035
28,36,56,8,14.29,41,73.21,6,10.71,1,1.79,28036
28,50,56,9,16.07,35,62.5,9,16.07,3,5.36,28050
28,52,68,20,29.41,38,55.88,9,13.24,1,1.47,28052
28,53,54,16,29.63,27,50.0,7,12.96,4,7.41,28053
28,54,62,11,17.74,44,70.97,6,9.68,1,1.61,28054
28,61,47,13,27.66,23,48.94,9,19.15,2,4.26,28061
32,46,0,0,0.0,0,0.0,0,0.0,0,0.0,32046
42,1,116,75,64.66,27,23.28,14,12.07,0,0.0,42001
42,3,88,52,59.09,21,23.86,11,12.5,4,4.55,42003
42,4,135,103,76.3,19,14.07,10,7.41,3,2.22,42004
42,7,90,47,52.22,26,28.89,16,17.78,1,1.11,42007
42,8,145,108,74.48,22,15.17,13,8.97,2,1.38,42008
42,9,220,120,54.55,62,28.18,29,13.18,9,4.09,42009
42,10,75,50,66.67,14,18.67,8,10.67,3,4.0,42010
42,12,74,47,63.51,21,28.38,5,6.76,1,1.35,42012
42,14,92,46,50.0,34,36.96,11,11.96,1,1.09,42014
42,15,140,94,67.14,32,22.86,9,6.43,5,3.57,42015
42,16,62,44,70.97,14,22.58,3,4.84,1,1.61,42016
42,17,204,79,38.73,92,45.1,25,12.25,8,3.92,42017
42,18,163,103,63.19,39,23.93,13,7.98,8,4.91,42018
42,19,26,16,61.54,5,19.23,5,19.23,0,0.0,42019
42,20,58,23,39.66,20,34.48,9,15.52,6,10.34,42020
42,21,70,39,55.71,15,21.43,14,20.0,2,2.86,42021
42,22,60,30,50.0,23,38.33,6,10.0,1,1.67,42022
42,23,141,106,75.18,20,14.18,12,8.51,3,2.13,42023
42,24,118,67,56.78,34,28.81,15,12.71,2,1.69,42024
42,26,124,53,42.74,55,44.35,13,10.48,3,2.42,42026
42,27,142,72,50.7,44,30.99,22,15.49,4,2.82,42027
42,28,118,73,61.86,23,19.49,19,16.1,3,2.54,42028
42,29,98,58,59.18,19,19.39,17,17.35,4,4.08,42029
42,30,66,42,63.64,14,21.21,8,12.12,2,3.03,42030
42,32,80,52,65.0,21,26.25,6,7.5,1,1.25,42032
42,33,162,101,62.35,41,25.31,16,9.88,4,2.47,42033
42,34,102,66,64.71,20,19.61,13,12.75,3,2.94,42034
42,36,60,36,60.0,18,30.0,5,8.33,1,1.67,42036
42,39,67,21,31.34,26,38.81,17,25.37,3,4.48,42039
42,42,56,25,44.64,19,33.93,11,19.64,1,1.79,42042
42,45,117,81,69.23,21,17.95,13,11.11,2,1.71,42045
42,46,57,25,43.86,22,38.6,7,12.28,3,5.26,42046
42,48,84,45,53.57,25,29.76,11,13.1,3,3.57,42048
42,49,33,17,51.52,11,33.33,4,12.12,1,3.03,42049
42,55,90,48,53.33,28,31.11,9,10.0,5,5.56,42055
42,56,97,62,63.92,22,22.68,11,11.34,2,2.06,42056
42,57,58,26,44.83,21,36.21,10,17.24,1,1.72,42057
42,58,43,23,53.49,15,34.88,4,9.3,1,2.33,42058
42,59,100,57,57.0,22,22.0,16,16.0,5,5.0,42059
42,60,33,13,39.39,19,57.58,1,3.03,0,0.0,42060
42,61,54,25,46.3,21,38.89,6,11.11,2,3.7,42061
42,67,129,67,51.94,47,36.43,12,9.3,3,2.33,42067
42,68,82,38,46.34,29,35.37,10,12.2,5,6.1,42068
42,69,64,29,45.31,25,39.06,5,7.81,5,7.81,42069
43,13,47,20,42.55,23,48.94,4,8.51,0,0.0,43013
43,19,68,39,57.35,17,25.0,11,16.18,1,1.47,43019
43,28,140,87,62.14,31,22.14,18,12.86,4,2.86,43028
43,30,55,25,45.45,19,34.55,10,18.18,1,1.82,43030
43,35,120,79,65.83,25,20.83,15,12.5,1,0.83,43035
43,37,80,37,46.25,28,35.0,8,10.0,7,8.75,43037
43,39,73,42,57.53,21,28.77,9,12.33,1,1.37,43039
43,40,46,26,56.52,11,23.91,8,17.39,1,2.17,43040
43,51,137,51,37.23,57,41.61,21,15.33,8,5.84,43051
43,54,69,34,49.28,25,36.23,6,8.7,4,5.8,43054
43,55,3,0,0.0,1,33.33,1,33.33,1,33.33,43055
