ward,precinct,total,Mary Sendra Anselmo,Mary Sendra Anselmo Percent,Wanda Majcher,Wanda Majcher Percent,Thomas M. Ryan,Thomas M. Ryan Percent,John G. Mulroe,John G. Mulroe Percent,precinct_id
45,41,84,27,32.14,10,11.9,26,30.95,21,25.0,45041
45,42,162,35,21.6,16,9.88,37,22.84,74,45.68,45042
45,43,127,30,23.62,18,14.17,29,22.83,50,39.37,45043
45,44,177,22,12.43,7,3.95,55,31.07,93,52.54,45044
45,45,95,16,16.84,10,10.53,27,28.42,42,44.21,45045
45,46,138,24,17.39,18,13.04,34,24.64,62,44.93,45046
45,47,119,23,19.33,17,14.29,24,20.17,55,46.22,45047
45,48,139,23,16.55,15,10.79,26,18.71,75,53.96,45048
45,49,138,26,18.84,7,5.07,33,23.91,72,52.17,45049
45,50,118,16,13.56,23,19.49,29,24.58,50,42.37,45050
45,51,136,14,10.29,23,16.91,29,21.32,70,51.47,45051
45,52,160,18,11.25,16,10.0,32,20.0,94,58.75,45052
45,53,99,17,17.17,11,11.11,29,29.29,42,42.42,45053
