ward,precinct,total,Edward Harmening,Edward Harmening Percent,James Patrick Doran,James Patrick Doran Percent,Thomas J. Murphy,Thomas J. Murphy Percent,precinct_id
14,13,176,89,50.57,22,12.5,47,26.7,14013
14,25,139,56,40.29,26,18.71,50,35.97,14025
14,27,171,68,39.77,30,17.54,58,33.92,14027
14,28,135,63,46.67,21,15.56,29,21.48,14028
15,1,80,12,15.0,18,22.5,29,36.25,15001
15,8,87,11,12.64,9,10.34,35,40.23,15008
15,10,67,11,16.42,21,31.34,21,31.34,15010
15,14,95,12,12.63,17,17.89,43,45.26,15014
15,16,62,7,11.29,16,25.81,27,43.55,15016
15,28,89,12,13.48,19,21.35,42,47.19,15028
15,34,6,1,16.67,1,16.67,2,33.33,15034
15,41,101,16,15.84,11,10.89,40,39.6,15041
15,46,22,1,4.55,2,9.09,9,40.91,15046
15,51,37,5,13.51,9,24.32,11,29.73,15051
16,17,87,13,14.94,22,25.29,27,31.03,16017
16,39,72,9,12.5,18,25.0,24,33.33,16039
17,11,96,8,8.33,12,12.5,50,52.08,17011
17,32,91,10,10.99,15,16.48,43,47.25,17032
17,40,67,11,16.42,11,16.42,26,38.81,17040
17,56,95,10,10.53,13,13.68,42,44.21,17056
17,57,109,9,8.26,12,11.01,54,49.54,17057
17,58,0,0,0.0,0,0.0,0,0.0,17058
17,59,52,1,1.92,6,11.54,24,46.15,17059
17,60,126,9,7.14,14,11.11,61,48.41,17060
17,61,81,6,7.41,9,11.11,42,51.85,17061
17,62,56,11,19.64,4,7.14,22,39.29,17062
17,63,43,2,4.65,4,9.3,20,46.51,17063
17,64,62,9,14.52,4,6.45,27,43.55,17064
18,1,68,8,11.76,4,5.88,42,61.76,18001
18,2,135,15,11.11,13,9.63,73,54.07,18002
18,3,133,49,36.84,19,14.29,52,39.1,18003
18,4,175,14,8.0,21,12.0,98,56.0,18004
18,5,104,10,9.62,18,17.31,54,51.92,18005
18,6,121,28,23.14,13,10.74,51,42.15,18006
18,7,119,12,10.08,20,16.81,68,57.14,18007
18,8,67,17,25.37,3,4.48,34,50.75,18008
18,9,187,22,11.76,32,17.11,102,54.55,18009
18,10,256,42,16.41,62,24.22,106,41.41,18010
18,11,128,21,16.41,16,12.5,68,53.13,18011
18,12,198,20,10.1,28,14.14,105,53.03,18012
18,13,161,25,15.53,26,16.15,83,51.55,18013
18,14,180,16,8.89,18,10.0,105,58.33,18014
18,15,74,14,18.92,15,20.27,33,44.59,18015
18,16,151,14,9.27,15,9.93,94,62.25,18016
18,17,121,29,23.97,7,5.79,62,51.24,18017
18,18,161,20,12.42,19,11.8,78,48.45,18018
18,19,202,23,11.39,13,6.44,119,58.91,18019
18,21,217,33,15.21,24,11.06,111,51.15,18021
18,22,175,22,12.57,27,15.43,97,55.43,18022
18,23,114,13,11.4,13,11.4,64,56.14,18023
18,26,135,27,20.0,15,11.11,59,43.7,18026
18,27,120,21,17.5,13,10.83,55,45.83,18027
18,28,153,60,39.22,20,13.07,58,37.91,18028
18,29,139,21,15.11,21,15.11,64,46.04,18029
18,31,99,13,13.13,11,11.11,57,57.58,18031
18,32,213,19,8.92,11,5.16,131,61.5,18032
18,33,123,20,16.26,13,10.57,61,49.59,18033
18,34,259,36,13.9,48,18.53,115,44.4,18034
18,35,215,27,12.56,50,23.26,106,49.3,18035
18,36,101,9,8.91,13,12.87,67,66.34,18036
18,37,133,17,12.78,24,18.05,69,51.88,18037
18,39,103,12,11.65,14,13.59,47,45.63,18039
18,40,188,32,17.02,27,14.36,92,48.94,18040
18,41,147,26,17.69,31,21.09,69,46.94,18041
18,42,81,16,19.75,7,8.64,38,46.91,18042
18,43,77,8,10.39,15,19.48,35,45.45,18043
18,44,87,11,12.64,10,11.49,45,51.72,18044
18,47,94,26,27.66,9,9.57,40,42.55,18047
18,48,89,22,24.72,14,15.73,44,49.44,18048
18,49,93,13,13.98,12,12.9,41,44.09,18049
18,50,119,18,15.13,12,10.08,57,47.9,18050
18,54,149,16,10.74,22,14.77,80,53.69,18054
18,55,155,52,33.55,17,10.97,70,45.16,18055
18,56,90,17,18.89,14,15.56,46,51.11,18056
18,57,94,15,15.96,9,9.57,52,55.32,18057
18,58,100,15,15.0,16,16.0,43,43.0,18058
18,59,124,10,8.06,12,9.68,71,57.26,18059
18,62,97,11,11.34,15,15.46,54,55.67,18062
19,1,294,115,39.12,117,39.8,37,12.59,19001
19,2,210,71,33.81,38,18.1,39,18.57,19002
19,3,183,105,57.38,22,12.02,31,16.94,19003
19,4,223,133,59.64,28,12.56,50,22.42,19004
19,5,251,63,25.1,26,10.36,50,19.92,19005
19,6,191,106,55.5,43,22.51,30,15.71,19006
19,7,261,134,51.34,44,16.86,52,19.92,19007
19,8,153,82,53.59,15,9.8,50,32.68,19008
19,9,170,47,27.65,57,33.53,34,20.0,19009
19,10,322,98,30.43,35,10.87,35,10.87,19010
19,11,237,130,54.85,30,12.66,68,28.69,19011
19,12,197,123,62.44,21,10.66,42,21.32,19012
19,13,142,11,7.75,16,11.27,39,27.46,19013
19,14,140,69,49.29,39,27.86,20,14.29,19014
19,15,159,52,32.7,33,20.75,61,38.36,19015
19,16,269,135,50.19,89,33.09,36,13.38,19016
19,17,246,99,40.24,58,23.58,37,15.04,19017
19,18,302,97,32.12,53,17.55,39,12.91,19018
19,19,245,80,32.65,56,22.86,42,17.14,19019
19,20,202,50,24.75,51,25.25,38,18.81,19020
19,21,157,66,42.04,30,19.11,53,33.76,19021
19,22,251,91,36.25,47,18.73,65,25.9,19022
19,23,278,128,46.04,72,25.9,48,17.27,19023
19,24,196,112,57.14,29,14.8,44,22.45,19024
19,25,282,121,42.91,54,19.15,56,19.86,19025
19,26,274,109,39.78,57,20.8,80,29.2,19026
19,27,138,40,28.99,17,12.32,40,28.99,19027
19,28,217,35,16.13,39,17.97,64,29.49,19028
19,29,159,85,53.46,36,22.64,22,13.84,19029
19,30,185,99,53.51,29,15.68,41,22.16,19030
19,31,250,108,43.2,45,18.0,54,21.6,19031
19,32,252,122,48.41,45,17.86,49,19.44,19032
19,33,238,158,66.39,34,14.29,25,10.5,19033
19,34,287,132,45.99,38,13.24,95,33.1,19034
19,35,261,115,44.06,36,13.79,68,26.05,19035
19,36,226,51,22.57,34,15.04,74,32.74,19036
19,37,234,85,36.32,27,11.54,54,23.08,19037
19,38,211,60,28.44,22,10.43,60,28.44,19038
19,39,72,6,8.33,15,20.83,21,29.17,19039
19,40,231,100,43.29,33,14.29,47,20.35,19040
19,41,161,90,55.9,20,12.42,42,26.09,19041
19,42,208,72,34.62,27,12.98,56,26.92,19042
19,43,200,20,10.0,31,15.5,54,27.0,19043
19,44,209,113,54.07,38,18.18,32,15.31,19044
19,45,250,87,34.8,98,39.2,45,18.0,19045
19,46,330,138,41.82,114,34.55,46,13.94,19046
19,47,171,52,30.41,19,11.11,56,32.75,19047
19,48,147,21,14.29,20,13.61,45,30.61,19048
19,49,250,60,24.0,21,8.4,78,31.2,19049
19,50,148,30,20.27,19,12.84,43,29.05,19050
19,51,163,63,38.65,21,12.88,62,38.04,19051
