ward,precinct,total,Toni Preckwinkle,Toni Preckwinkle Percent,Terrence J. O'Brien,Terrence J. O'Brien Percent,Dorothy A. Brown,Dorothy A. Brown Percent,Todd H. Stroger,Todd H. Stroger Percent,precinct_id
2,12,167,128,76.65,30,17.96,5,2.99,4,2.4,02012
2,13,163,77,47.24,20,12.27,27,16.56,39,23.93,02013
2,14,256,147,57.42,11,4.3,42,16.41,56,21.88,02014
2,15,65,21,32.31,1,1.54,23,35.38,20,30.77,02015
2,16,168,118,70.24,31,18.45,12,7.14,7,4.17,02016
2,17,90,18,20.0,4,4.44,36,40.0,32,35.56,02017
2,18,188,122,64.89,42,22.34,16,8.51,8,4.26,02018
2,19,216,131,60.65,47,21.76,9,4.17,29,13.43,02019
2,20,280,131,46.79,13,4.64,51,18.21,85,30.36,02020
2,21,220,88,40.0,15,6.82,50,22.73,67,30.45,02021
2,22,291,190,65.29,39,13.4,23,7.9,39,13.4,02022
2,23,113,43,38.05,10,8.85,32,28.32,28,24.78,02023
2,24,80,51,63.75,7,8.75,14,17.5,8,10.0,02024
2,25,189,105,55.56,15,7.94,42,22.22,27,14.29,02025
2,26,159,82,51.57,13,8.18,28,17.61,36,22.64,02026
2,27,132,43,32.58,3,2.27,49,37.12,37,28.03,02027
2,28,102,68,66.67,20,19.61,10,9.8,4,3.92,02028
2,29,101,44,43.56,9,8.91,26,25.74,22,21.78,02029
2,30,176,118,67.05,29,16.48,11,6.25,18,10.23,02030
2,31,164,75,45.73,11,6.71,26,15.85,52,31.71,02031
2,32,71,39,54.93,13,18.31,13,18.31,6,8.45,02032
2,33,71,20,28.17,1,1.41,26,36.62,24,33.8,02033
2,34,157,35,22.29,7,4.46,59,37.58,56,35.67,02034
2,35,34,23,67.65,5,14.71,3,8.82,3,8.82,02035
2,36,248,147,59.27,26,10.48,39,15.73,36,14.52,02036
2,37,149,109,73.15,12,8.05,14,9.4,14,9.4,02037
2,38,220,158,71.82,36,16.36,13,5.91,13,5.91,02038
2,39,122,60,49.18,21,17.21,22,18.03,19,15.57,02039
2,40,272,148,54.41,42,15.44,42,15.44,40,14.71,02040
2,41,69,18,26.09,1,1.45,24,34.78,26,37.68,02041
2,42,128,27,21.09,6,4.69,52,40.63,43,33.59,02042
2,43,273,165,60.44,38,13.92,32,11.72,38,13.92,02043
2,44,144,40,27.78,11,7.64,37,25.69,56,38.89,02044
2,45,136,45,33.09,7,5.15,49,36.03,35,25.74,02045
2,46,265,140,52.83,7,2.64,36,13.58,82,30.94,02046
2,47,108,37,34.26,3,2.78,40,37.04,28,25.93,02047
2,48,86,19,22.09,4,4.65,35,40.7,28,32.56,02048
2,49,121,91,75.21,12,9.92,9,7.44,9,7.44,02049
2,50,114,49,42.98,20,17.54,21,18.42,24,21.05,02050
2,51,107,37,34.58,10,9.35,33,30.84,27,25.23,02051
2,52,188,66,35.11,13,6.91,63,33.51,46,24.47,02052
2,53,119,81,68.07,15,12.61,10,8.4,13,10.92,02053
2,54,205,173,84.39,14,6.83,17,8.29,1,0.49,02054
2,55,67,50,74.63,7,10.45,1,1.49,9,13.43,02055
2,56,141,51,36.17,9,6.38,40,28.37,41,29.08,02056
3,1,151,63,41.72,5,3.31,38,25.17,45,29.8,03001
3,2,234,124,52.99,8,3.42,44,18.8,58,24.79,03002
3,3,163,86,52.76,26,15.95,31,19.02,20,12.27,03003
3,4,111,54,48.65,7,6.31,17,15.32,33,29.73,03004
3,5,153,57,37.25,9,5.88,41,26.8,46,30.07,03005
3,6,40,20,50.0,2,5.0,8,20.0,10,25.0,03006
3,7,200,71,35.5,5,2.5,55,27.5,69,34.5,03007
3,8,124,52,41.94,7,5.65,34,27.42,31,25.0,03008
3,9,150,58,38.67,6,4.0,37,24.67,49,32.67,03009
3,10,51,19,37.25,3,5.88,11,21.57,18,35.29,03010
3,11,144,70,48.61,3,2.08,26,18.06,45,31.25,03011
3,12,127,44,34.65,5,3.94,30,23.62,48,37.8,03012
3,13,83,31,37.35,24,28.92,24,28.92,4,4.82,03013
3,14,112,37,33.04,6,5.36,28,25.0,41,36.61,03014
3,15,171,60,35.09,8,4.68,44,25.73,59,34.5,03015
3,16,118,56,47.46,3,2.54,20,16.95,39,33.05,03016
3,17,74,24,32.43,4,5.41,27,36.49,19,25.68,03017
3,18,78,36,46.15,1,1.28,24,30.77,17,21.79,03018
3,19,41,19,46.34,5,12.2,13,31.71,4,9.76,03019
3,20,126,65,51.59,3,2.38,16,12.7,42,33.33,03020
3,21,64,18,28.13,4,6.25,22,34.38,20,31.25,03021
3,22,80,34,42.5,2,2.5,17,21.25,27,33.75,03022
3,23,120,46,38.33,8,6.67,26,21.67,40,33.33,03023
3,24,181,76,41.99,9,4.97,42,23.2,54,29.83,03024
3,25,88,40,45.45,5,5.68,21,23.86,22,25.0,03025
3,26,46,12,26.09,3,6.52,18,39.13,13,28.26,03026
3,27,146,54,36.99,6,4.11,33,22.6,53,36.3,03027
3,28,250,177,70.8,38,15.2,13,5.2,22,8.8,03028
3,29,153,70,45.75,9,5.88,48,31.37,26,16.99,03029
3,30,116,61,52.59,4,3.45,18,15.52,33,28.45,03030
3,31,233,116,49.79,5,2.15,47,20.17,65,27.9,03031
3,32,104,50,48.08,0,0.0,25,24.04,29,27.88,03032
3,33,189,84,44.44,8,4.23,48,25.4,49,25.93,03033
3,34,144,83,57.64,4,2.78,23,15.97,34,23.61,03034
3,35,151,81,53.64,2,1.32,33,21.85,35,23.18,03035
3,36,47,16,34.04,2,4.26,14,29.79,15,31.91,03036
3,37,62,24,38.71,3,4.84,15,24.19,20,32.26,03037
3,38,245,90,36.73,2,0.82,60,24.49,93,37.96,03038
3,39,274,110,40.15,6,2.19,59,21.53,99,36.13,03039
3,40,153,71,46.41,1,0.65,35,22.88,46,30.07,03040
3,41,160,70,43.75,10,6.25,46,28.75,34,21.25,03041
3,42,94,37,39.36,7,7.45,24,25.53,26,27.66,03042
3,43,23,8,34.78,0,0.0,4,17.39,11,47.83,03043
3,44,27,7,25.93,1,3.7,7,25.93,12,44.44,03044
3,45,194,97,50.0,12,6.19,42,21.65,43,22.16,03045
3,46,16,5,31.25,1,6.25,6,37.5,4,25.0,03046
3,47,96,41,42.71,4,4.17,20,20.83,31,32.29,03047
3,48,96,44,45.83,1,1.04,29,30.21,22,22.92,03048
3,49,39,26,66.67,0,0.0,4,10.26,9,23.08,03049
3,50,87,28,32.18,10,11.49,21,24.14,28,32.18,03050
4,1,257,194,75.49,7,2.72,18,7.0,38,14.79,04001
4,2,260,129,49.62,11,4.23,40,15.38,80,30.77,04002
4,3,242,150,61.98,7,2.89,25,10.33,60,24.79,04003
4,4,193,116,60.1,5,2.59,35,18.13,37,19.17,04004
4,5,268,149,55.6,7,2.61,40,14.93,72,26.87,04005
4,6,86,36,41.86,1,1.16,17,19.77,32,37.21,04006
4,7,234,147,62.82,4,1.71,29,12.39,54,23.08,04007
4,8,227,144,63.44,8,3.52,22,9.69,53,23.35,04008
4,9,443,287,64.79,8,1.81,62,14.0,86,19.41,04009
4,10,208,128,61.54,4,1.92,31,14.9,45,21.63,04010
4,11,142,86,60.56,5,3.52,17,11.97,34,23.94,04011
4,12,108,58,53.7,2,1.85,23,21.3,25,23.15,04012
4,13,159,120,75.47,4,2.52,11,6.92,24,15.09,04013
4,14,117,65,55.56,5,4.27,22,18.8,25,21.37,04014
4,15,164,105,64.02,8,4.88,24,14.63,27,16.46,04015
4,16,216,127,58.8,6,2.78,33,15.28,50,23.15,04016
4,17,211,143,67.77,5,2.37,19,9.0,44,20.85,04017
4,18,192,98,51.04,6,3.13,37,19.27,51,26.56,04018
4,19,177,87,49.15,4,2.26,30,16.95,56,31.64,04019
4,20,118,75,63.56,3,2.54,19,16.1,21,17.8,04020
4,21,265,201,75.85,4,1.51,19,7.17,41,15.47,04021
4,22,279,208,74.55,13,4.66,17,6.09,41,14.7,04022
4,23,154,117,75.97,3,1.95,6,3.9,28,18.18,04023
4,24,196,137,69.9,5,2.55,22,11.22,32,16.33,04024
4,25,226,141,62.39,2,0.88,24,10.62,59,26.11,04025
4,26,205,104,50.73,4,1.95,28,13.66,69,33.66,04026
4,27,159,81,50.94,7,4.4,25,15.72,46,28.93,04027
4,28,131,104,79.39,3,2.29,4,3.05,20,15.27,04028
4,29,193,153,79.27,9,4.66,10,5.18,21,10.88,04029
4,30,167,105,62.87,8,4.79,18,10.78,36,21.56,04030
4,31,135,121,89.63,3,2.22,3,2.22,8,5.93,04031
4,32,221,176,79.64,9,4.07,9,4.07,27,12.22,04032
4,33,154,107,69.48,3,1.95,20,12.99,24,15.58,04033
4,34,168,140,83.33,3,1.79,13,7.74,12,7.14,04034
4,35,100,56,56.0,7,7.0,9,9.0,28,28.0,04035
4,36,140,92,65.71,8,5.71,22,15.71,18,12.86,04036
4,37,0,0,0.0,0,0.0,0,0.0,0,0.0,04037
4,38,325,238,73.23,8,2.46,25,7.69,54,16.62,04038
4,39,137,96,70.07,7,5.11,16,11.68,18,13.14,04039
4,40,174,103,59.2,3,1.72,20,11.49,48,27.59,04040
4,41,87,78,89.66,3,3.45,2,2.3,4,4.6,04041
4,42,232,133,57.33,7,3.02,29,12.5,63,27.16,04042
4,43,133,109,81.95,3,2.26,8,6.02,13,9.77,04043
4,44,125,89,71.2,4,3.2,12,9.6,20,16.0,04044
4,45,368,233,63.32,11,2.99,43,11.68,81,22.01,04045
4,46,140,88,62.86,3,2.14,17,12.14,32,22.86,04046
4,47,231,170,73.59,6,2.6,16,6.93,39,16.88,04047
4,48,254,193,75.98,10,3.94,14,5.51,37,14.57,04048
4,49,158,95,60.13,4,2.53,28,17.72,31,19.62,04049
4,50,184,119,64.67,7,3.8,17,9.24,41,22.28,04050
4,51,185,110,59.46,5,2.7,15,8.11,55,29.73,04051
4,52,221,112,50.68,13,5.88,39,17.65,57,25.79,04052
5,1,198,99,50.0,2,1.01,33,16.67,64,32.32,05001
5,2,151,66,43.71,4,2.65,37,24.5,44,29.14,05002
5,3,81,63,77.78,3,3.7,5,6.17,10,12.35,05003
5,4,138,53,38.41,1,0.72,30,21.74,54,39.13,05004
5,5,137,67,48.91,4,2.92,21,15.33,45,32.85,05005
5,6,189,85,44.97,3,1.59,40,21.16,61,32.28,05006
5,7,190,90,47.37,1,0.53,36,18.95,63,33.16,05007
5,8,255,226,88.63,13,5.1,7,2.75,9,3.53,05008
5,9,157,60,38.22,6,3.82,37,23.57,54,34.39,05009
5,10,138,59,42.75,7,5.07,33,23.91,39,28.26,05010
5,11,169,143,84.62,5,2.96,9,5.33,12,7.1,05011
5,12,98,36,36.73,2,2.04,21,21.43,39,39.8,05012
5,13,169,76,44.97,8,4.73,33,19.53,52,30.77,05013
5,14,250,191,76.4,14,5.6,18,7.2,27,10.8,05014
5,15,132,90,68.18,8,6.06,12,9.09,22,16.67,05015
5,16,126,52,41.27,9,7.14,28,22.22,37,29.37,05016
5,17,155,57,36.77,3,1.94,49,31.61,46,29.68,05017
5,18,161,95,59.01,9,5.59,25,15.53,32,19.88,05018
5,19,81,31,38.27,4,4.94,14,17.28,32,39.51,05019
5,20,65,17,26.15,2,3.08,24,36.92,22,33.85,05020
5,21,154,77,50.0,7,4.55,29,18.83,41,26.62,05021
5,22,170,66,38.82,6,3.53,43,25.29,55,32.35,05022
5,23,98,45,45.92,2,2.04,17,17.35,34,34.69,05023
5,24,204,146,71.57,6,2.94,18,8.82,34,16.67,05024
5,25,138,59,42.75,7,5.07,30,21.74,42,30.43,05025
5,26,174,66,37.93,10,5.75,39,22.41,59,33.91,05026
5,27,195,175,89.74,1,0.51,5,2.56,14,7.18,05027
5,28,212,107,50.47,4,1.89,29,13.68,72,33.96,05028
5,29,170,91,53.53,0,0.0,29,17.06,50,29.41,05029
5,30,157,141,89.81,5,3.18,8,5.1,3,1.91,05030
5,31,144,71,49.31,5,3.47,29,20.14,39,27.08,05031
5,32,324,168,51.85,10,3.09,55,16.98,91,28.09,05032
5,33,121,51,42.15,2,1.65,33,27.27,35,28.93,05033
5,34,172,72,41.86,5,2.91,43,25.0,52,30.23,05034
5,35,150,110,73.33,6,4.0,16,10.67,18,12.0,05035
5,36,73,30,41.1,2,2.74,21,28.77,20,27.4,05036
5,37,142,114,80.28,9,6.34,1,0.7,18,12.68,05037
5,38,228,200,87.72,5,2.19,9,3.95,14,6.14,05038
5,39,236,209,88.56,9,3.81,8,3.39,10,4.24,05039
5,40,137,63,45.99,3,2.19,36,26.28,35,25.55,05040
5,41,156,147,94.23,4,2.56,4,2.56,1,0.64,05041
5,42,178,74,41.57,4,2.25,45,25.28,55,30.9,05042
5,43,203,104,51.23,5,2.46,28,13.79,66,32.51,05043
5,44,173,89,51.45,5,2.89,36,20.81,43,24.86,05044
5,45,90,38,42.22,3,3.33,21,23.33,28,31.11,05045
5,46,166,139,83.73,5,3.01,9,5.42,13,7.83,05046
5,47,139,65,46.76,1,0.72,26,18.71,47,33.81,05047
5,48,126,93,73.81,5,3.97,14,11.11,14,11.11,05048
5,49,35,15,42.86,0,0.0,4,11.43,16,45.71,05049
5,50,111,43,38.74,3,2.7,35,31.53,30,27.03,05050
5,51,104,40,38.46,6,5.77,34,32.69,24,23.08,05051
5,52,10,8,80.0,0,0.0,1,10.0,1,10.0,05052
5,53,196,131,66.84,4,2.04,16,8.16,45,22.96,05053
5,54,271,130,47.97,6,2.21,40,14.76,95,35.06,05054
5,55,150,71,47.33,4,2.67,29,19.33,46,30.67,05055
6,1,251,97,38.65,7,2.79,37,14.74,110,43.82,06001
6,2,208,85,40.87,3,1.44,38,18.27,82,39.42,06002
6,3,220,81,36.82,6,2.73,42,19.09,91,41.36,06003
6,4,150,45,30.0,5,3.33,52,34.67,48,32.0,06004
6,5,74,29,39.19,4,5.41,23,31.08,18,24.32,06005
6,6,160,68,42.5,4,2.5,32,20.0,56,35.0,06006
6,7,171,73,42.69,6,3.51,35,20.47,57,33.33,06007
6,8,242,90,37.19,6,2.48,64,26.45,82,33.88,06008
6,9,194,83,42.78,7,3.61,43,22.16,61,31.44,06009
6,10,305,112,36.72,7,2.3,46,15.08,140,45.9,06010
6,11,166,77,46.39,3,1.81,38,22.89,48,28.92,06011
6,12,139,55,39.57,7,5.04,42,30.22,35,25.18,06012
6,13,146,60,41.1,6,4.11,33,22.6,47,32.19,06013
6,14,148,66,44.59,5,3.38,33,22.3,44,29.73,06014
6,15,95,22,23.16,4,4.21,34,35.79,35,36.84,06015
6,16,227,68,29.96,8,3.52,54,23.79,97,42.73,06016
6,17,238,98,41.18,3,1.26,53,22.27,84,35.29,06017
6,18,81,23,28.4,2,2.47,16,19.75,40,49.38,06018
6,19,208,83,39.9,11,5.29,44,21.15,70,33.65,06019
6,20,182,68,37.36,7,3.85,37,20.33,70,38.46,06020
6,21,204,80,39.22,5,2.45,37,18.14,82,40.2,06021
6,22,158,52,32.91,4,2.53,39,24.68,63,39.87,06022
6,23,157,56,35.67,6,3.82,51,32.48,44,28.03,06023
6,24,173,55,31.79,10,5.78,35,20.23,73,42.2,06024
6,25,102,40,39.22,3,2.94,19,18.63,40,39.22,06025
6,26,214,70,32.71,2,0.93,57,26.64,85,39.72,06026
6,27,234,90,38.46,3,1.28,40,17.09,101,43.16,06027
6,28,346,127,36.71,5,1.45,78,22.54,136,39.31,06028
6,29,262,120,45.8,9,3.44,41,15.65,92,35.11,06029
6,30,124,51,41.13,2,1.61,29,23.39,42,33.87,06030
6,31,216,102,47.22,3,1.39,38,17.59,73,33.8,06031
6,32,178,71,39.89,5,2.81,41,23.03,61,34.27,06032
6,33,224,89,39.73,4,1.79,64,28.57,67,29.91,06033
6,34,145,49,33.79,5,3.45,41,28.28,50,34.48,06034
6,35,162,58,35.8,7,4.32,36,22.22,61,37.65,06035
6,36,106,30,28.3,3,2.83,35,33.02,38,35.85,06036
6,37,237,89,37.55,4,1.69,45,18.99,99,41.77,06037
6,38,189,60,31.75,6,3.17,48,25.4,75,39.68,06038
6,39,129,46,35.66,2,1.55,34,26.36,47,36.43,06039
6,40,88,36,40.91,4,4.55,20,22.73,28,31.82,06040
6,41,217,101,46.54,5,2.3,36,16.59,75,34.56,06041
6,42,69,21,30.43,1,1.45,21,30.43,26,37.68,06042
6,43,184,80,43.48,7,3.8,37,20.11,60,32.61,06043
6,44,183,78,42.62,3,1.64,38,20.77,64,34.97,06044
6,45,152,51,33.55,1,0.66,23,15.13,77,50.66,06045
6,46,176,70,39.77,4,2.27,29,16.48,73,41.48,06046
6,47,206,80,38.83,7,3.4,42,20.39,77,37.38,06047
6,48,156,60,38.46,5,3.21,30,19.23,61,39.1,06048
6,49,177,51,28.81,7,3.95,50,28.25,69,38.98,06049
6,50,194,66,34.02,2,1.03,37,19.07,89,45.88,06050
6,51,110,43,39.09,5,4.55,24,21.82,38,34.55,06051
6,52,113,56,49.56,2,1.77,23,20.35,32,28.32,06052
6,53,158,57,36.08,4,2.53,33,20.89,64,40.51,06053
6,54,145,58,40.0,1,0.69,34,23.45,52,35.86,06054
6,55,144,50,34.72,5,3.47,33,22.92,56,38.89,06055
6,56,139,49,35.25,8,5.76,26,18.71,56,40.29,06056
6,57,91,33,36.26,3,3.3,20,21.98,35,38.46,06057
6,58,222,91,40.99,4,1.8,53,23.87,74,33.33,06058
6,59,178,68,38.2,4,2.25,42,23.6,64,35.96,06059
6,60,125,45,36.0,4,3.2,30,24.0,46,36.8,06060
6,61,91,41,45.05,0,0.0,22,24.18,28,30.77,06061
6,62,154,67,43.51,4,2.6,38,24.68,45,29.22,06062
6,63,171,61,35.67,5,2.92,36,21.05,69,40.35,06063
6,64,218,89,40.83,4,1.83,44,20.18,81,37.16,06064
7,1,319,138,43.26,9,2.82,43,13.48,129,40.44,07001
7,2,176,67,38.07,2,1.14,39,22.16,68,38.64,07002
7,3,100,34,34.0,2,2.0,22,22.0,42,42.0,07003
7,4,104,48,46.15,7,6.73,19,18.27,30,28.85,07004
7,5,87,38,43.68,6,6.9,22,25.29,21,24.14,07005
7,6,126,43,34.13,3,2.38,34,26.98,46,36.51,07006
7,7,92,33,35.87,5,5.43,23,25.0,31,33.7,07007
7,8,45,19,42.22,2,4.44,10,22.22,14,31.11,07008
7,9,154,54,35.06,8,5.19,30,19.48,62,40.26,07009
7,10,81,30,37.04,4,4.94,18,22.22,29,35.8,07010
7,11,186,88,47.31,5,2.69,33,17.74,60,32.26,07011
7,12,118,48,40.68,3,2.54,25,21.19,42,35.59,07012
7,13,105,35,33.33,4,3.81,25,23.81,41,39.05,07013
7,14,153,70,45.75,8,5.23,21,13.73,54,35.29,07014
7,15,76,27,35.53,4,5.26,23,30.26,22,28.95,07015
7,16,77,37,48.05,2,2.6,19,24.68,19,24.68,07016
7,17,74,23,31.08,5,6.76,19,25.68,27,36.49,07017
7,18,102,50,49.02,7,6.86,21,20.59,24,23.53,07018
7,19,225,78,34.67,6,2.67,67,29.78,74,32.89,07019
7,20,56,16,28.57,7,12.5,21,37.5,12,21.43,07020
7,21,133,60,45.11,3,2.26,28,21.05,42,31.58,07021
7,22,111,45,40.54,2,1.8,29,26.13,35,31.53,07022
7,23,141,53,37.59,5,3.55,42,29.79,41,29.08,07023
7,24,145,47,32.41,6,4.14,32,22.07,60,41.38,07024
7,25,199,77,38.69,7,3.52,45,22.61,70,35.18,07025
7,26,185,68,36.76,12,6.49,46,24.86,59,31.89,07026
7,27,225,88,39.11,2,0.89,53,23.56,82,36.44,07027
7,28,136,47,34.56,9,6.62,39,28.68,41,30.15,07028
7,29,155,58,37.42,5,3.23,41,26.45,51,32.9,07029
7,30,192,56,29.17,3,1.56,42,21.88,91,47.4,07030
7,31,165,63,38.18,2,1.21,30,18.18,70,42.42,07031
7,32,94,50,53.19,13,13.83,18,19.15,13,13.83,07032
7,33,131,47,35.88,3,2.29,37,28.24,44,33.59,07033
7,34,140,61,43.57,3,2.14,27,19.29,49,35.0,07034
7,35,198,90,45.45,5,2.53,46,23.23,57,28.79,07035
7,36,168,69,41.07,9,5.36,37,22.02,53,31.55,07036
7,37,79,24,30.38,4,5.06,19,24.05,32,40.51,07037
7,38,109,30,27.52,5,4.59,39,35.78,35,32.11,07038
7,39,105,46,43.81,4,3.81,23,21.9,32,30.48,07039
7,40,127,42,33.07,3,2.36,38,29.92,44,34.65,07040
7,41,129,60,46.51,4,3.1,22,17.05,43,33.33,07041
7,42,212,92,43.4,5,2.36,56,26.42,59,27.83,07042
7,43,159,69,43.4,4,2.52,40,25.16,46,28.93,07043
7,44,226,87,38.5,14,6.19,57,25.22,68,30.09,07044
7,45,249,128,51.41,5,2.01,46,18.47,70,28.11,07045
7,46,98,39,39.8,5,5.1,31,31.63,23,23.47,07046
7,47,129,46,35.66,3,2.33,34,26.36,46,35.66,07047
7,48,133,46,34.59,4,3.01,35,26.32,48,36.09,07048
7,49,87,35,40.23,7,8.05,18,20.69,27,31.03,07049
7,50,112,42,37.5,4,3.57,17,15.18,49,43.75,07050
7,51,247,95,38.46,7,2.83,50,20.24,95,38.46,07051
7,52,118,42,35.59,5,4.24,33,27.97,38,32.2,07052
7,53,123,46,37.4,2,1.63,43,34.96,32,26.02,07053
7,54,72,25,34.72,9,12.5,18,25.0,20,27.78,07054
7,55,141,46,32.62,6,4.26,32,22.7,57,40.43,07055
7,56,114,44,38.6,6,5.26,25,21.93,39,34.21,07056
7,57,129,48,37.21,5,3.88,32,24.81,44,34.11,07057
7,58,215,104,48.37,4,1.86,35,16.28,72,33.49,07058
7,59,78,34,43.59,4,5.13,23,29.49,17,21.79,07059
7,60,98,42,42.86,3,3.06,23,23.47,30,30.61,07060
7,61,143,61,42.66,1,0.7,38,26.57,43,30.07,07061
8,1,212,78,36.79,9,4.25,38,17.92,87,41.04,08001
8,2,99,38,38.38,1,1.01,14,14.14,46,46.46,08002
8,3,267,87,32.58,3,1.12,32,11.99,145,54.31,08003
8,4,178,78,43.82,1,0.56,27,15.17,72,40.45,08004
8,5,255,96,37.65,4,1.57,42,16.47,113,44.31,08005
8,6,197,58,29.44,7,3.55,31,15.74,101,51.27,08006
8,7,144,64,44.44,1,0.69,26,18.06,53,36.81,08007
8,8,252,80,31.75,3,1.19,46,18.25,123,48.81,08008
8,9,241,105,43.57,4,1.66,36,14.94,96,39.83,08009
8,10,294,129,43.88,8,2.72,43,14.63,114,38.78,08010
8,11,197,63,31.98,2,1.02,50,25.38,82,41.62,08011
8,12,147,56,38.1,2,1.36,39,26.53,50,34.01,08012
8,13,131,41,31.3,3,2.29,28,21.37,59,45.04,08013
8,14,100,31,31.0,2,2.0,28,28.0,39,39.0,08014
8,15,142,47,33.1,2,1.41,38,26.76,55,38.73,08015
8,16,228,90,39.47,8,3.51,24,10.53,106,46.49,08016
8,17,165,52,31.52,2,1.21,28,16.97,83,50.3,08017
8,18,93,29,31.18,2,2.15,24,25.81,38,40.86,08018
8,19,258,79,30.62,5,1.94,77,29.84,97,37.6,08019
8,20,137,56,40.88,3,2.19,21,15.33,57,41.61,08020
8,21,151,48,31.79,5,3.31,36,23.84,62,41.06,08021
8,22,147,59,40.14,4,2.72,30,20.41,54,36.73,08022
8,23,152,59,38.82,6,3.95,33,21.71,54,35.53,08023
8,24,183,67,36.61,6,3.28,36,19.67,74,40.44,08024
8,25,169,63,37.28,2,1.18,47,27.81,57,33.73,08025
8,26,119,43,36.13,6,5.04,23,19.33,47,39.5,08026
8,27,195,64,32.82,2,1.03,46,23.59,83,42.56,08027
8,28,150,60,40.0,2,1.33,38,25.33,50,33.33,08028
8,29,197,57,28.93,5,2.54,40,20.3,95,48.22,08029
