ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,precinct_id
48,27,73,73,100.0,48027
48,28,144,144,100.0,48028
48,29,126,126,100.0,48029
48,30,133,133,100.0,48030
48,31,87,87,100.0,48031
48,32,86,86,100.0,48032
48,33,157,157,100.0,48033
48,34,141,141,100.0,48034
48,35,62,62,100.0,48035
48,36,147,147,100.0,48036
48,37,89,89,100.0,48037
48,38,186,186,100.0,48038
48,39,117,117,100.0,48039
48,40,80,80,100.0,48040
48,41,62,62,100.0,48041
48,42,119,119,100.0,48042
48,43,156,156,100.0,48043
48,44,140,140,100.0,48044
48,45,103,103,100.0,48045
48,46,89,89,100.0,48046
48,47,86,86,100.0,48047
48,48,118,118,100.0,48048
48,49,51,51,100.0,48049
48,50,169,169,100.0,48050
48,51,214,214,100.0,48051
48,52,88,88,100.0,48052
48,53,98,98,100.0,48053
48,54,105,105,100.0,48054
49,1,117,117,100.0,49001
49,2,216,216,100.0,49002
49,3,102,102,100.0,49003
49,4,59,59,100.0,49004
49,5,168,168,100.0,49005
49,6,128,128,100.0,49006
49,7,104,104,100.0,49007
49,8,144,144,100.0,49008
49,9,117,117,100.0,49009
49,10,108,108,100.0,49010
49,11,102,102,100.0,49011
49,12,150,150,100.0,49012
49,13,161,161,100.0,49013
49,14,116,116,100.0,49014
49,15,89,89,100.0,49015
49,16,111,111,100.0,49016
49,17,19,19,100.0,49017
49,18,99,99,100.0,49018
49,19,94,94,100.0,49019
49,20,159,159,100.0,49020
49,21,31,31,100.0,49021
49,22,143,143,100.0,49022
49,23,99,99,100.0,49023
49,24,134,134,100.0,49024
49,25,144,144,100.0,49025
49,26,126,126,100.0,49026
49,27,158,158,100.0,49027
49,28,75,75,100.0,49028
49,29,128,128,100.0,49029
49,30,136,136,100.0,49030
49,31,112,112,100.0,49031
49,32,85,85,100.0,49032
49,33,105,105,100.0,49033
49,34,124,124,100.0,49034
49,35,156,156,100.0,49035
49,36,193,193,100.0,49036
49,37,177,177,100.0,49037
49,38,75,75,100.0,49038
49,39,95,95,100.0,49039
49,40,97,97,100.0,49040
49,41,104,104,100.0,49041
49,42,118,118,100.0,49042
50,1,156,156,100.0,50001
50,2,134,134,100.0,50002
50,3,130,130,100.0,50003
50,4,124,124,100.0,50004
50,5,129,129,100.0,50005
50,6,96,96,100.0,50006
50,7,179,179,100.0,50007
50,8,73,73,100.0,50008
50,9,98,98,100.0,50009
50,10,84,84,100.0,50010
50,11,130,130,100.0,50011
50,12,119,119,100.0,50012
50,13,102,102,100.0,50013
50,14,79,79,100.0,50014
50,15,188,188,100.0,50015
50,16,75,75,100.0,50016
50,17,86,86,100.0,50017
50,18,102,102,100.0,50018
50,19,96,96,100.0,50019
50,20,104,104,100.0,50020
50,21,143,143,100.0,50021
50,22,88,88,100.0,50022
50,23,80,80,100.0,50023
50,24,77,77,100.0,50024
50,25,112,112,100.0,50025
50,26,60,60,100.0,50026
50,27,60,60,100.0,50027
50,28,89,89,100.0,50028
50,29,111,111,100.0,50029
50,30,107,107,100.0,50030
50,31,44,44,100.0,50031
50,32,87,87,100.0,50032
50,33,70,70,100.0,50033
50,34,102,102,100.0,50034
50,35,167,167,100.0,50035
50,36,144,144,100.0,50036
50,37,138,138,100.0,50037
50,38,97,97,100.0,50038
50,39,85,85,100.0,50039
50,40,125,125,100.0,50040
50,41,178,178,100.0,50041
50,42,140,140,100.0,50042
50,43,81,81,100.0,50043
