ward,precinct,total,Joseph W. Sneed,Joseph W. Sneed Percent,Keith D. Muhammad,Keith D. Muhammad Percent,Eddie Winters,Eddie Winters Percent,Annazette R. Collins,Annazette R. Collins Percent,Mable Taylor,Mable Taylor Percent,Jonathan Goldman,Jonathan Goldman Percent,precinct_id
27,56,4,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0,2,50.0,27056
27,57,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27057
28,2,126,13,10.32,9,7.14,13,10.32,79,62.7,10,7.94,2,1.59,28002
28,3,73,7,9.59,12,16.44,7,9.59,35,47.95,10,13.7,2,2.74,28003
28,5,71,4,5.63,7,9.86,10,14.08,46,64.79,3,4.23,1,1.41,28005
28,6,73,7,9.59,3,4.11,5,6.85,54,73.97,2,2.74,2,2.74,28006
28,7,85,9,10.59,3,3.53,11,12.94,53,62.35,8,9.41,1,1.18,28007
28,9,75,14,18.67,5,6.67,7,9.33,44,58.67,4,5.33,1,1.33,28009
28,10,31,3,9.68,1,3.23,5,16.13,18,58.06,2,6.45,2,6.45,28010
28,11,68,7,10.29,8,11.76,11,16.18,41,60.29,1,1.47,0,0.0,28011
28,13,36,5,13.89,1,2.78,6,16.67,23,63.89,1,2.78,0,0.0,28013
28,18,122,10,8.2,8,6.56,18,14.75,72,59.02,9,7.38,5,4.1,28018
28,20,104,7,6.73,9,8.65,12,11.54,65,62.5,6,5.77,5,4.81,28020
28,22,86,13,15.12,7,8.14,8,9.3,51,59.3,6,6.98,1,1.16,28022
28,23,78,6,7.69,4,5.13,3,3.85,50,64.1,10,12.82,5,6.41,28023
28,24,55,5,9.09,6,10.91,8,14.55,29,52.73,7,12.73,0,0.0,28024
28,25,80,14,17.5,7,8.75,14,17.5,35,43.75,5,6.25,5,6.25,28025
28,26,94,9,9.57,3,3.19,9,9.57,63,67.02,8,8.51,2,2.13,28026
28,28,51,4,7.84,4,7.84,5,9.8,28,54.9,9,17.65,1,1.96,28028
28,30,64,10,15.63,3,4.69,7,10.94,38,59.38,5,7.81,1,1.56,28030
28,31,71,4,5.63,4,5.63,6,8.45,56,78.87,1,1.41,0,0.0,28031
28,32,81,8,9.88,10,12.35,19,23.46,36,44.44,7,8.64,1,1.23,28032
28,33,116,14,12.07,22,18.97,10,8.62,61,52.59,5,4.31,4,3.45,28033
28,36,69,3,4.35,8,11.59,18,26.09,37,53.62,3,4.35,0,0.0,28036
28,37,159,16,10.06,8,5.03,21,13.21,95,59.75,16,10.06,3,1.89,28037
28,43,148,13,8.78,6,4.05,9,6.08,106,71.62,9,6.08,5,3.38,28043
28,44,133,14,10.53,11,8.27,16,12.03,82,61.65,6,4.51,4,3.01,28044
28,50,58,11,18.97,4,6.9,9,15.52,27,46.55,4,6.9,3,5.17,28050
28,59,84,16,19.05,1,1.19,7,8.33,54,64.29,5,5.95,1,1.19,28059
32,2,142,13,9.15,5,3.52,6,4.23,11,7.75,16,11.27,91,64.08,32002
32,4,129,8,6.2,4,3.1,5,3.88,14,10.85,3,2.33,95,73.64,32004
32,5,70,5,7.14,2,2.86,2,2.86,9,12.86,3,4.29,49,70.0,32005
32,6,101,16,15.84,5,4.95,6,5.94,25,24.75,8,7.92,41,40.59,32006
32,26,88,11,12.5,11,12.5,6,6.82,23,26.14,0,0.0,37,42.05,32026
32,29,95,9,9.47,4,4.21,4,4.21,15,15.79,3,3.16,60,63.16,32029
32,31,158,8,5.06,3,1.9,6,3.8,9,5.7,2,1.27,130,82.28,32031
32,33,94,7,7.45,6,6.38,4,4.26,9,9.57,5,5.32,63,67.02,32033
32,34,109,12,11.01,5,4.59,7,6.42,19,17.43,3,2.75,63,57.8,32034
32,35,151,7,4.64,4,2.65,7,4.64,12,7.95,3,1.99,118,78.15,32035
32,36,115,6,5.22,1,0.87,3,2.61,7,6.09,2,1.74,96,83.48,32036
32,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32037
32,46,19,2,10.53,0,0.0,3,15.79,4,21.05,1,5.26,9,47.37,32046
32,50,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,32050
32,51,129,7,5.43,4,3.1,3,2.33,17,13.18,1,0.78,97,75.19,32051
32,52,48,4,8.33,2,4.17,0,0.0,5,10.42,0,0.0,37,77.08,32052
37,3,58,12,20.69,7,12.07,11,18.97,16,27.59,7,12.07,5,8.62,37003
37,4,129,20,15.5,15,11.63,14,10.85,60,46.51,9,6.98,11,8.53,37004
37,8,76,10,13.16,4,5.26,9,11.84,27,35.53,12,15.79,14,18.42,37008
37,12,67,13,19.4,4,5.97,12,17.91,25,37.31,2,2.99,11,16.42,37012
37,13,110,20,18.18,8,7.27,15,13.64,47,42.73,7,6.36,13,11.82,37013
37,28,124,10,8.06,8,6.45,26,20.97,62,50.0,11,8.87,7,5.65,37028
43,1,160,21,13.13,9,5.63,3,1.88,43,26.88,5,3.13,79,49.38,43001
43,3,135,7,5.19,3,2.22,4,2.96,20,14.81,4,2.96,97,71.85,43003
43,5,121,14,11.57,2,1.65,4,3.31,17,14.05,4,3.31,80,66.12,43005
43,9,81,4,4.94,5,6.17,2,2.47,7,8.64,2,2.47,61,75.31,43009
43,10,105,9,8.57,4,3.81,5,4.76,10,9.52,1,0.95,76,72.38,43010
43,11,88,4,4.55,3,3.41,2,2.27,17,19.32,1,1.14,61,69.32,43011
43,15,102,2,1.96,1,0.98,4,3.92,14,13.73,2,1.96,79,77.45,43015
43,47,119,8,6.72,9,7.56,4,3.36,16,13.45,5,4.2,77,64.71,43047
43,55,24,3,12.5,3,12.5,1,4.17,3,12.5,1,4.17,13,54.17,43055
