ward,precinct,total,Jacqueline ''Jacqui'' Collins,Jacqueline ''Jacqui'' Collins Percent,precinct_id
18,14,171,171,100.0,18014
18,15,59,59,100.0,18015
18,16,160,160,100.0,18016
18,17,120,120,100.0,18017
18,18,151,151,100.0,18018
18,20,129,129,100.0,18020
18,21,195,195,100.0,18021
18,22,171,171,100.0,18022
18,23,114,114,100.0,18023
18,27,117,117,100.0,18027
18,28,129,129,100.0,18028
18,29,139,139,100.0,18029
18,31,94,94,100.0,18031
18,33,109,109,100.0,18033
18,35,203,203,100.0,18035
18,36,105,105,100.0,18036
18,37,128,128,100.0,18037
18,38,150,150,100.0,18038
18,39,104,104,100.0,18039
18,40,191,191,100.0,18040
18,41,125,125,100.0,18041
18,42,77,77,100.0,18042
18,43,78,78,100.0,18043
18,44,87,87,100.0,18044
18,47,84,84,100.0,18047
18,48,70,70,100.0,18048
18,49,87,87,100.0,18049
18,50,115,115,100.0,18050
18,54,144,144,100.0,18054
18,55,118,118,100.0,18055
18,56,86,86,100.0,18056
18,57,91,91,100.0,18057
18,58,91,91,100.0,18058
18,59,118,118,100.0,18059
18,60,149,149,100.0,18060
18,61,130,130,100.0,18061
18,62,87,87,100.0,18062
20,10,67,67,100.0,20010
20,18,8,8,100.0,20018
20,25,21,21,100.0,20025
20,28,91,91,100.0,20028
20,30,92,92,100.0,20030
20,35,30,30,100.0,20035
20,49,63,63,100.0,20049
21,2,120,120,100.0,21002
21,16,134,134,100.0,21016
21,30,87,87,100.0,21030
21,32,99,99,100.0,21032
21,34,155,155,100.0,21034
21,37,123,123,100.0,21037
21,39,98,98,100.0,21039
21,41,99,99,100.0,21041
21,52,128,128,100.0,21052
21,62,125,125,100.0,21062
21,64,71,71,100.0,21064
21,65,222,222,100.0,21065
21,67,120,120,100.0,21067
21,69,105,105,100.0,21069
21,72,136,136,100.0,21072
21,74,45,45,100.0,21074
