ward,precinct,total,Thomas L. Hogan,Thomas L. Hogan Percent,Pamela E. Hill-Veal,Pamela E. Hill-Veal Percent,Frank Edward Gardner,Frank Edward Gardner Percent,Aurelia Marie Pucinski,Aurelia Marie Pucinski Percent,Don R. Sampen,Don R. Sampen Percent,precinct_id
4,39,112,13,11.61,65,58.04,9,8.04,23,20.54,2,1.79,04039
4,40,130,19,14.62,50,38.46,25,19.23,31,23.85,5,3.85,04040
4,41,66,28,42.42,16,24.24,7,10.61,13,19.7,2,3.03,04041
4,42,196,36,18.37,71,36.22,29,14.8,54,27.55,6,3.06,04042
4,43,114,41,35.96,31,27.19,9,7.89,24,21.05,9,7.89,04043
4,44,102,29,28.43,30,29.41,12,11.76,28,27.45,3,2.94,04044
4,45,315,39,12.38,154,48.89,50,15.87,66,20.95,6,1.9,04045
4,46,117,16,13.68,56,47.86,19,16.24,25,21.37,1,0.85,04046
4,47,180,61,33.89,59,32.78,16,8.89,37,20.56,7,3.89,04047
4,48,215,73,33.95,59,27.44,24,11.16,48,22.33,11,5.12,04048
4,49,116,24,20.69,32,27.59,20,17.24,35,30.17,5,4.31,04049
4,50,146,22,15.07,63,43.15,18,12.33,38,26.03,5,3.42,04050
4,51,157,21,13.38,79,50.32,22,14.01,33,21.02,2,1.27,04051
4,52,181,36,19.89,52,28.73,26,14.36,60,33.15,7,3.87,04052
5,1,168,33,19.64,67,39.88,20,11.9,43,25.6,5,2.98,05001
5,2,131,23,17.56,56,42.75,19,14.5,29,22.14,4,3.05,05002
5,3,66,25,37.88,12,18.18,12,18.18,13,19.7,4,6.06,05003
5,4,113,14,12.39,49,43.36,18,15.93,24,21.24,8,7.08,05004
5,5,112,23,20.54,35,31.25,15,13.39,38,33.93,1,0.89,05005
5,6,166,19,11.45,61,36.75,30,18.07,50,30.12,6,3.61,05006
5,7,168,29,17.26,62,36.9,22,13.1,52,30.95,3,1.79,05007
5,8,196,103,52.55,28,14.29,11,5.61,33,16.84,21,10.71,05008
5,9,133,19,14.29,49,36.84,26,19.55,35,26.32,4,3.01,05009
5,10,114,19,16.67,45,39.47,17,14.91,30,26.32,3,2.63,05010
5,11,128,58,45.31,30,23.44,7,5.47,26,20.31,7,5.47,05011
5,12,72,13,18.06,18,25.0,14,19.44,26,36.11,1,1.39,05012
5,13,142,27,19.01,57,40.14,18,12.68,32,22.54,8,5.63,05013
5,14,199,76,38.19,54,27.14,19,9.55,39,19.6,11,5.53,05014
5,15,116,27,23.28,43,37.07,16,13.79,27,23.28,3,2.59,05015
5,16,100,15,15.0,37,37.0,21,21.0,26,26.0,1,1.0,05016
5,17,127,24,18.9,43,33.86,12,9.45,44,34.65,4,3.15,05017
5,18,126,25,19.84,57,45.24,14,11.11,29,23.02,1,0.79,05018
5,19,68,13,19.12,31,45.59,9,13.24,13,19.12,2,2.94,05019
5,20,57,9,15.79,19,33.33,10,17.54,16,28.07,3,5.26,05020
5,21,124,17,13.71,50,40.32,17,13.71,38,30.65,2,1.61,05021
5,22,138,28,20.29,46,33.33,23,16.67,36,26.09,5,3.62,05022
5,23,90,15,16.67,31,34.44,14,15.56,28,31.11,2,2.22,05023
5,24,157,53,33.76,48,30.57,17,10.83,32,20.38,7,4.46,05024
5,25,104,9,8.65,33,31.73,16,15.38,45,43.27,1,0.96,05025
5,26,137,15,10.95,43,31.39,20,14.6,50,36.5,9,6.57,05026
5,27,149,73,48.99,20,13.42,8,5.37,26,17.45,22,14.77,05027
5,28,177,23,12.99,76,42.94,33,18.64,35,19.77,10,5.65,05028
5,29,153,24,15.69,61,39.87,25,16.34,41,26.8,2,1.31,05029
5,30,119,63,52.94,16,13.45,4,3.36,18,15.13,18,15.13,05030
5,31,113,17,15.04,40,35.4,17,15.04,37,32.74,2,1.77,05031
5,32,283,49,17.31,126,44.52,38,13.43,63,22.26,7,2.47,05032
5,33,95,19,20.0,34,35.79,15,15.79,24,25.26,3,3.16,05033
5,34,147,17,11.56,55,37.41,24,16.33,46,31.29,5,3.4,05034
5,35,104,30,28.85,31,29.81,11,10.58,30,28.85,2,1.92,05035
5,36,59,15,25.42,16,27.12,9,15.25,14,23.73,5,8.47,05036
5,37,119,42,35.29,38,31.93,10,8.4,24,20.17,5,4.2,05037
5,38,179,83,46.37,28,15.64,13,7.26,39,21.79,16,8.94,05038
5,39,175,99,56.57,21,12.0,8,4.57,27,15.43,20,11.43,05039
5,40,116,16,13.79,48,41.38,19,16.38,33,28.45,0,0.0,05040
5,41,108,68,62.96,11,10.19,4,3.7,16,14.81,9,8.33,05041
5,42,139,25,17.99,45,32.37,25,17.99,41,29.5,3,2.16,05042
5,43,174,32,18.39,71,40.8,27,15.52,39,22.41,5,2.87,05043
5,44,145,31,21.38,48,33.1,27,18.62,35,24.14,4,2.76,05044
5,45,77,12,15.58,40,51.95,9,11.69,14,18.18,2,2.6,05045
5,46,135,54,40.0,33,24.44,10,7.41,24,17.78,14,10.37,05046
5,47,108,14,12.96,37,34.26,18,16.67,35,32.41,4,3.7,05047
5,48,94,24,25.53,25,26.6,11,11.7,30,31.91,4,4.26,05048
5,49,33,4,12.12,7,21.21,8,24.24,13,39.39,1,3.03,05049
5,50,88,15,17.05,36,40.91,12,13.64,24,27.27,1,1.14,05050
5,51,88,15,17.05,35,39.77,17,19.32,20,22.73,1,1.14,05051
5,52,8,4,50.0,2,25.0,0,0.0,2,25.0,0,0.0,05052
5,53,158,30,18.99,59,37.34,20,12.66,46,29.11,3,1.9,05053
5,54,233,27,11.59,92,39.48,43,18.45,64,27.47,7,3.0,05054
5,55,117,13,11.11,34,29.06,18,15.38,48,41.03,4,3.42,05055
6,1,231,19,8.23,103,44.59,48,20.78,60,25.97,1,0.43,06001
6,2,182,23,12.64,70,38.46,33,18.13,52,28.57,4,2.2,06002
6,3,185,29,15.68,76,41.08,26,14.05,48,25.95,6,3.24,06003
6,4,109,22,20.18,32,29.36,22,20.18,27,24.77,6,5.5,06004
6,5,55,11,20.0,22,40.0,7,12.73,12,21.82,3,5.45,06005
6,6,133,18,13.53,52,39.1,24,18.05,33,24.81,6,4.51,06006
6,7,145,26,17.93,48,33.1,20,13.79,46,31.72,5,3.45,06007
6,8,211,22,10.43,88,41.71,40,18.96,58,27.49,3,1.42,06008
6,9,170,12,7.06,89,52.35,26,15.29,34,20.0,9,5.29,06009
6,10,279,44,15.77,96,34.41,62,22.22,69,24.73,8,2.87,06010
6,11,153,25,16.34,60,39.22,29,18.95,34,22.22,5,3.27,06011
6,12,118,28,23.73,35,29.66,20,16.95,30,25.42,5,4.24,06012
6,13,135,15,11.11,68,50.37,14,10.37,34,25.19,4,2.96,06013
6,14,129,22,17.05,51,39.53,14,10.85,39,30.23,3,2.33,06014
6,15,77,13,16.88,26,33.77,16,20.78,20,25.97,2,2.6,06015
6,16,188,24,12.77,88,46.81,32,17.02,40,21.28,4,2.13,06016
6,17,211,19,9.0,83,39.34,57,27.01,49,23.22,3,1.42,06017
6,18,61,12,19.67,21,34.43,12,19.67,13,21.31,3,4.92,06018
6,19,178,40,22.47,57,32.02,25,14.04,55,30.9,1,0.56,06019
6,20,160,36,22.5,40,25.0,23,14.38,52,32.5,9,5.63,06020
6,21,167,25,14.97,61,36.53,38,22.75,38,22.75,5,2.99,06021
6,22,134,15,11.19,62,46.27,24,17.91,29,21.64,4,2.99,06022
6,23,134,18,13.43,42,31.34,22,16.42,49,36.57,3,2.24,06023
6,24,161,25,15.53,65,40.37,25,15.53,40,24.84,6,3.73,06024
6,25,84,12,14.29,37,44.05,11,13.1,21,25.0,3,3.57,06025
6,26,184,21,11.41,84,45.65,31,16.85,44,23.91,4,2.17,06026
6,27,210,17,8.1,106,50.48,31,14.76,52,24.76,4,1.9,06027
6,28,328,34,10.37,187,57.01,47,14.33,54,16.46,6,1.83,06028
6,29,219,28,12.79,101,46.12,44,20.09,44,20.09,2,0.91,06029
6,30,100,13,13.0,34,34.0,17,17.0,29,29.0,7,7.0,06030
6,31,186,26,13.98,80,43.01,29,15.59,48,25.81,3,1.61,06031
6,32,150,24,16.0,53,35.33,17,11.33,51,34.0,5,3.33,06032
6,33,196,39,19.9,66,33.67,35,17.86,53,27.04,3,1.53,06033
6,34,127,20,15.75,45,35.43,20,15.75,40,31.5,2,1.57,06034
6,35,142,21,14.79,50,35.21,26,18.31,43,30.28,2,1.41,06035
6,36,91,14,15.38,33,36.26,11,12.09,29,31.87,4,4.4,06036
6,37,213,25,11.74,102,47.89,42,19.72,42,19.72,2,0.94,06037
6,38,164,26,15.85,61,37.2,21,12.8,53,32.32,3,1.83,06038
6,39,108,17,15.74,40,37.04,15,13.89,31,28.7,5,4.63,06039
6,40,73,12,16.44,21,28.77,9,12.33,26,35.62,5,6.85,06040
6,41,187,25,13.37,96,51.34,28,14.97,37,19.79,1,0.53,06041
6,42,60,13,21.67,26,43.33,7,11.67,12,20.0,2,3.33,06042
6,43,160,16,10.0,75,46.88,31,19.38,35,21.88,3,1.88,06043
6,44,161,20,12.42,70,43.48,27,16.77,36,22.36,8,4.97,06044
6,45,128,23,17.97,53,41.41,21,16.41,29,22.66,2,1.56,06045
6,46,153,25,16.34,67,43.79,26,16.99,31,20.26,4,2.61,06046
6,47,177,23,12.99,84,47.46,27,15.25,40,22.6,3,1.69,06047
6,48,129,19,14.73,46,35.66,22,17.05,35,27.13,7,5.43,06048
6,49,135,27,20.0,47,34.81,9,6.67,49,36.3,3,2.22,06049
6,50,169,21,12.43,73,43.2,29,17.16,41,24.26,5,2.96,06050
6,51,91,9,9.89,39,42.86,19,20.88,22,24.18,2,2.2,06051
6,52,94,13,13.83,30,31.91,14,14.89,33,35.11,4,4.26,06052
6,53,139,20,14.39,48,34.53,24,17.27,39,28.06,8,5.76,06053
6,54,129,20,15.5,46,35.66,18,13.95,40,31.01,5,3.88,06054
6,55,123,19,15.45,57,46.34,22,17.89,22,17.89,3,2.44,06055
6,56,123,19,15.45,44,35.77,18,14.63,40,32.52,2,1.63,06056
6,57,71,11,15.49,32,45.07,16,22.54,11,15.49,1,1.41,06057
6,58,200,25,12.5,99,49.5,33,16.5,43,21.5,0,0.0,06058
6,59,159,23,14.47,58,36.48,28,17.61,47,29.56,3,1.89,06059
6,60,103,18,17.48,38,36.89,17,16.5,28,27.18,2,1.94,06060
6,61,79,16,20.25,24,30.38,12,15.19,26,32.91,1,1.27,06061
6,62,127,21,16.54,38,29.92,28,22.05,34,26.77,6,4.72,06062
6,63,151,22,14.57,64,42.38,21,13.91,41,27.15,3,1.99,06063
6,64,192,21,10.94,71,36.98,43,22.4,53,27.6,4,2.08,06064
7,1,293,38,12.97,109,37.2,49,16.72,93,31.74,4,1.37,07001
7,2,153,19,12.42,67,43.79,19,12.42,42,27.45,6,3.92,07002
7,3,85,19,22.35,27,31.76,15,17.65,24,28.24,0,0.0,07003
7,4,87,19,21.84,21,24.14,16,18.39,25,28.74,6,6.9,07004
7,5,74,10,13.51,24,32.43,9,12.16,25,33.78,6,8.11,07005
7,6,101,22,21.78,32,31.68,13,12.87,30,29.7,4,3.96,07006
7,7,84,16,19.05,25,29.76,16,19.05,22,26.19,5,5.95,07007
7,8,34,4,11.76,11,32.35,6,17.65,13,38.24,0,0.0,07008
7,9,139,17,12.23,65,46.76,20,14.39,34,24.46,3,2.16,07009
7,10,72,11,15.28,25,34.72,12,16.67,21,29.17,3,4.17,07010
7,11,156,17,10.9,68,43.59,25,16.03,45,28.85,1,0.64,07011
7,12,97,12,12.37,38,39.18,19,19.59,24,24.74,4,4.12,07012
7,13,91,8,8.79,43,47.25,18,19.78,20,21.98,2,2.2,07013
7,14,129,17,13.18,45,34.88,18,13.95,46,35.66,3,2.33,07014
7,15,64,14,21.88,21,32.81,7,10.94,19,29.69,3,4.69,07015
7,16,61,10,16.39,26,42.62,5,8.2,17,27.87,3,4.92,07016
7,17,63,10,15.87,24,38.1,8,12.7,20,31.75,1,1.59,07017
7,18,92,6,6.52,29,31.52,15,16.3,40,43.48,2,2.17,07018
7,19,181,23,12.71,77,42.54,27,14.92,51,28.18,3,1.66,07019
7,20,43,6,13.95,13,30.23,9,20.93,14,32.56,1,2.33,07020
7,21,115,20,17.39,29,25.22,21,18.26,40,34.78,5,4.35,07021
7,22,97,18,18.56,38,39.18,14,14.43,27,27.84,0,0.0,07022
7,23,111,17,15.32,40,36.04,19,17.12,34,30.63,1,0.9,07023
7,24,125,19,15.2,50,40.0,21,16.8,31,24.8,4,3.2,07024
