ward,precinct,total,John A. Fritchey,John A. Fritchey Percent,Ted Matlak,Ted Matlak Percent,precinct_id
38,1,117,70,59.83,47,40.17,38001
38,2,69,46,66.67,23,33.33,38002
38,4,43,31,72.09,12,27.91,38004
38,5,177,125,70.62,52,29.38,38005
38,6,77,43,55.84,34,44.16,38006
38,7,104,78,75.0,26,25.0,38007
38,9,90,67,74.44,23,25.56,38009
38,10,128,92,71.88,36,28.13,38010
38,11,74,53,71.62,21,28.38,38011
38,13,82,48,58.54,34,41.46,38013
38,14,89,58,65.17,31,34.83,38014
38,15,72,55,76.39,17,23.61,38015
38,16,98,65,66.33,33,33.67,38016
38,17,86,48,55.81,38,44.19,38017
38,18,113,66,58.41,47,41.59,38018
38,20,143,109,76.22,34,23.78,38020
38,21,82,53,64.63,29,35.37,38021
38,22,95,66,69.47,29,30.53,38022
38,23,85,57,67.06,28,32.94,38023
38,24,57,39,68.42,18,31.58,38024
38,25,107,77,71.96,30,28.04,38025
38,26,45,29,64.44,16,35.56,38026
38,27,59,40,67.8,19,32.2,38027
38,28,78,54,69.23,24,30.77,38028
38,29,81,60,74.07,21,25.93,38029
38,30,71,43,60.56,28,39.44,38030
38,31,101,61,60.4,40,39.6,38031
38,32,120,89,74.17,31,25.83,38032
38,33,80,57,71.25,23,28.75,38033
38,34,57,38,66.67,19,33.33,38034
38,35,106,72,67.92,34,32.08,38035
38,36,90,61,67.78,29,32.22,38036
38,37,86,50,58.14,36,41.86,38037
38,39,77,54,70.13,23,29.87,38039
38,40,92,62,67.39,30,32.61,38040
38,41,144,105,72.92,39,27.08,38041
38,42,126,89,70.63,37,29.37,38042
38,43,104,66,63.46,38,36.54,38043
38,44,111,69,62.16,42,37.84,38044
38,45,101,72,71.29,29,28.71,38045
38,46,78,48,61.54,30,38.46,38046
38,47,84,53,63.1,31,36.9,38047
38,48,84,60,71.43,24,28.57,38048
38,49,85,49,57.65,36,42.35,38049
38,50,84,58,69.05,26,30.95,38050
38,51,65,44,67.69,21,32.31,38051
38,52,103,69,66.99,34,33.01,38052
38,53,31,14,45.16,17,54.84,38053
39,4,0,0,0.0,0,0.0,39004
39,5,83,61,73.49,22,26.51,39005
39,6,99,74,74.75,25,25.25,39006
39,7,84,69,82.14,15,17.86,39007
39,8,108,89,82.41,19,17.59,39008
39,9,126,102,80.95,24,19.05,39009
39,10,86,68,79.07,18,20.93,39010
39,11,126,90,71.43,36,28.57,39011
39,12,84,67,79.76,17,20.24,39012
39,14,126,98,77.78,28,22.22,39014
39,19,72,44,61.11,28,38.89,39019
39,21,75,59,78.67,16,21.33,39021
39,22,89,69,77.53,20,22.47,39022
39,25,99,66,66.67,33,33.33,39025
39,27,117,87,74.36,30,25.64,39027
39,28,135,109,80.74,26,19.26,39028
39,29,122,89,72.95,33,27.05,39029
39,30,52,36,69.23,16,30.77,39030
39,31,63,44,69.84,19,30.16,39031
39,33,108,78,72.22,30,27.78,39033
39,34,125,85,68.0,40,32.0,39034
39,35,117,94,80.34,23,19.66,39035
39,38,130,97,74.62,33,25.38,39038
39,43,90,74,82.22,16,17.78,39043
39,44,111,85,76.58,26,23.42,39044
39,45,51,38,74.51,13,25.49,39045
39,46,90,62,68.89,28,31.11,39046
40,1,59,47,79.66,12,20.34,40001
40,5,100,85,85.0,15,15.0,40005
40,6,103,84,81.55,19,18.45,40006
40,14,84,67,79.76,17,20.24,40014
40,17,57,35,61.4,22,38.6,40017
40,19,87,60,68.97,27,31.03,40019
40,20,109,92,84.4,17,15.6,40020
40,21,88,65,73.86,23,26.14,40021
40,23,122,94,77.05,28,22.95,40023
40,24,54,44,81.48,10,18.52,40024
40,30,15,10,66.67,5,33.33,40030
40,32,48,39,81.25,9,18.75,40032
40,34,61,53,86.89,8,13.11,40034
40,36,95,71,74.74,24,25.26,40036
40,38,53,42,79.25,11,20.75,40038
40,40,88,72,81.82,16,18.18,40040
40,41,128,100,78.13,28,21.88,40041
40,42,97,68,70.1,29,29.9,40042
40,43,99,71,71.72,28,28.28,40043
40,44,61,41,67.21,20,32.79,40044
40,48,63,53,84.13,10,15.87,40048
40,49,48,33,68.75,15,31.25,40049
44,9,16,14,87.5,2,12.5,44009
44,47,52,43,82.69,9,17.31,44047
45,1,90,61,67.78,29,32.22,45001
45,7,103,73,70.87,30,29.13,45007
45,8,88,58,65.91,30,34.09,45008
45,10,132,94,71.21,38,28.79,45010
45,12,123,90,73.17,33,26.83,45012
45,14,118,82,69.49,36,30.51,45014
45,16,134,95,70.9,39,29.1,45016
45,20,129,87,67.44,42,32.56,45020
45,25,128,101,78.91,27,21.09,45025
45,26,67,44,65.67,23,34.33,45026
45,28,106,84,79.25,22,20.75,45028
45,29,127,79,62.2,48,37.8,45029
45,31,115,85,73.91,30,26.09,45031
45,38,98,68,69.39,30,30.61,45038
45,39,29,19,65.52,10,34.48,45039
45,40,8,8,100.0,0,0.0,45040
45,46,131,99,75.57,32,24.43,45046
45,47,114,76,66.67,38,33.33,45047
45,48,131,104,79.39,27,20.61,45048
45,50,97,62,63.92,35,36.08,45050
45,53,89,55,61.8,34,38.2,45053
46,21,54,38,70.37,16,29.63,46021
47,1,129,109,84.5,20,15.5,47001
47,2,150,122,81.33,28,18.67,47002
47,3,134,116,86.57,18,13.43,47003
47,4,204,169,82.84,35,17.16,47004
47,5,148,127,85.81,21,14.19,47005
47,6,190,163,85.79,27,14.21,47006
47,7,147,118,80.27,29,19.73,47007
47,8,188,158,84.04,30,15.96,47008
47,9,145,128,88.28,17,11.72,47009
47,10,72,57,79.17,15,20.83,47010
47,11,211,184,87.2,27,12.8,47011
47,12,136,107,78.68,29,21.32,47012
47,13,219,197,89.95,22,10.05,47013
47,14,109,96,88.07,13,11.93,47014
47,15,129,113,87.6,16,12.4,47015
47,16,144,127,88.19,17,11.81,47016
47,17,144,121,84.03,23,15.97,47017
47,18,151,126,83.44,25,16.56,47018
47,19,164,140,85.37,24,14.63,47019
47,20,157,132,84.08,25,15.92,47020
47,21,182,158,86.81,24,13.19,47021
47,22,158,126,79.75,32,20.25,47022
47,23,69,56,81.16,13,18.84,47023
47,24,128,116,90.63,12,9.38,47024
47,25,159,132,83.02,27,16.98,47025
47,26,195,155,79.49,40,20.51,47026
47,27,134,110,82.09,24,17.91,47027
47,28,202,171,84.65,31,15.35,47028
47,29,137,121,88.32,16,11.68,47029
47,30,139,120,86.33,19,13.67,47030
47,31,147,128,87.07,19,12.93,47031
47,32,142,123,86.62,19,13.38,47032
47,33,131,118,90.08,13,9.92,47033
47,34,173,142,82.08,31,17.92,47034
47,35,217,196,90.32,21,9.68,47035
47,36,181,147,81.22,34,18.78,47036
47,37,150,115,76.67,35,23.33,47037
47,38,145,119,82.07,26,17.93,47038
47,39,138,122,88.41,16,11.59,47039
47,40,128,114,89.06,14,10.94,47040
47,41,210,172,81.9,38,18.1,47041
47,42,114,100,87.72,14,12.28,47042
47,43,91,76,83.52,15,16.48,47043
47,44,124,105,84.68,19,15.32,47044
47,45,158,138,87.34,20,12.66,47045
47,46,103,86,83.5,17,16.5,47046
47,47,150,132,88.0,18,12.0,47047
47,48,43,39,90.7,4,9.3,47048
47,49,90,70,77.78,20,22.22,47049
47,50,126,101,80.16,25,19.84,47050
47,51,94,81,86.17,13,13.83,47051
47,52,119,102,85.71,17,14.29,47052
48,10,71,57,80.28,14,19.72,48010
48,49,37,29,78.38,8,21.62,48049
