ward,precinct,total,Sharon Oden-Johnson,Sharon Oden-Johnson Percent,Michelle Hugghis Flagg,Michelle Hugghis Flagg Percent,Jesse Outlaw,Jesse Outlaw Percent,Joseph Chico,Joseph Chico Percent,Theodore ''Ted'' London,Theodore ''Ted'' London Percent,precinct_id
7,36,141,49,34.75,14,9.93,31,21.99,21,14.89,26,18.44,07036
7,37,75,33,44.0,7,9.33,17,22.67,2,2.67,16,21.33,07037
7,38,94,41,43.62,12,12.77,18,19.15,6,6.38,17,18.09,07038
7,39,86,24,27.91,9,10.47,32,37.21,5,5.81,16,18.6,07039
7,41,112,40,35.71,10,8.93,23,20.54,11,9.82,28,25.0,07041
7,42,171,61,35.67,16,9.36,47,27.49,21,12.28,26,15.2,07042
7,43,131,47,35.88,15,11.45,34,25.95,14,10.69,21,16.03,07043
7,46,61,21,34.43,7,11.48,18,29.51,9,14.75,6,9.84,07046
7,47,111,49,44.14,10,9.01,28,25.23,11,9.91,13,11.71,07047
7,48,113,53,46.9,5,4.42,29,25.66,12,10.62,14,12.39,07048
7,49,70,26,37.14,7,10.0,9,12.86,6,8.57,22,31.43,07049
7,51,219,49,22.37,22,10.05,85,38.81,19,8.68,44,20.09,07051
7,52,101,34,33.66,10,9.9,29,28.71,9,8.91,19,18.81,07052
7,53,107,55,51.4,10,9.35,17,15.89,5,4.67,20,18.69,07053
7,54,61,17,27.87,5,8.2,10,16.39,20,32.79,9,14.75,07054
7,55,109,45,41.28,7,6.42,16,14.68,11,10.09,30,27.52,07055
7,56,99,28,28.28,11,11.11,30,30.3,13,13.13,17,17.17,07056
7,57,99,34,34.34,13,13.13,15,15.15,10,10.1,27,27.27,07057
7,58,171,57,33.33,19,11.11,33,19.3,20,11.7,42,24.56,07058
7,59,65,25,38.46,14,21.54,9,13.85,9,13.85,8,12.31,07059
7,60,81,34,41.98,11,13.58,20,24.69,7,8.64,9,11.11,07060
7,61,119,53,44.54,10,8.4,25,21.01,16,13.45,15,12.61,07061
8,1,178,60,33.71,25,14.04,31,17.42,14,7.87,48,26.97,08001
8,2,83,33,39.76,12,14.46,22,26.51,4,4.82,12,14.46,08002
8,3,231,74,32.03,26,11.26,57,24.68,13,5.63,61,26.41,08003
8,4,163,68,41.72,14,8.59,28,17.18,10,6.13,43,26.38,08004
8,5,216,89,41.2,35,16.2,44,20.37,7,3.24,41,18.98,08005
8,6,169,63,37.28,23,13.61,38,22.49,7,4.14,38,22.49,08006
8,7,121,51,42.15,6,4.96,34,28.1,10,8.26,20,16.53,08007
8,8,212,86,40.57,21,9.91,52,24.53,8,3.77,45,21.23,08008
8,9,203,74,36.45,29,14.29,42,20.69,3,1.48,55,27.09,08009
8,10,254,84,33.07,30,11.81,47,18.5,22,8.66,71,27.95,08010
8,11,133,61,45.86,11,8.27,35,26.32,6,4.51,20,15.04,08011
8,12,128,36,28.13,58,45.31,15,11.72,5,3.91,14,10.94,08012
8,13,97,45,46.39,10,10.31,21,21.65,5,5.15,16,16.49,08013
8,14,79,41,51.9,10,12.66,13,16.46,2,2.53,13,16.46,08014
8,15,115,53,46.09,16,13.91,25,21.74,7,6.09,14,12.17,08015
8,16,196,82,41.84,18,9.18,44,22.45,13,6.63,39,19.9,08016
8,17,148,51,34.46,24,16.22,29,19.59,15,10.14,29,19.59,08017
8,18,76,35,46.05,11,14.47,16,21.05,6,7.89,8,10.53,08018
8,19,221,80,36.2,28,12.67,53,23.98,15,6.79,45,20.36,08019
8,20,115,40,34.78,13,11.3,28,24.35,6,5.22,28,24.35,08020
8,21,128,58,45.31,19,14.84,18,14.06,10,7.81,23,17.97,08021
8,22,121,38,31.4,21,17.36,25,20.66,10,8.26,27,22.31,08022
8,23,128,52,40.63,14,10.94,24,18.75,10,7.81,28,21.88,08023
8,24,156,63,40.38,11,7.05,42,26.92,10,6.41,30,19.23,08024
8,25,140,47,33.57,14,10.0,32,22.86,17,12.14,30,21.43,08025
8,26,101,40,39.6,19,18.81,22,21.78,5,4.95,15,14.85,08026
8,27,164,48,29.27,41,25.0,35,21.34,15,9.15,25,15.24,08027
8,28,119,52,43.7,14,11.76,21,17.65,5,4.2,27,22.69,08028
8,29,149,58,38.93,6,4.03,38,25.5,3,2.01,44,29.53,08029
8,30,128,41,32.03,14,10.94,34,26.56,7,5.47,32,25.0,08030
8,31,105,51,48.57,7,6.67,25,23.81,4,3.81,18,17.14,08031
8,32,259,88,33.98,21,8.11,79,30.5,19,7.34,52,20.08,08032
8,33,153,66,43.14,20,13.07,43,28.1,8,5.23,16,10.46,08033
8,34,196,74,37.76,19,9.69,53,27.04,10,5.1,40,20.41,08034
8,35,177,75,42.37,29,16.38,37,20.9,4,2.26,32,18.08,08035
8,36,134,60,44.78,18,13.43,21,15.67,9,6.72,26,19.4,08036
8,37,148,72,48.65,11,7.43,25,16.89,13,8.78,27,18.24,08037
8,38,131,60,45.8,20,15.27,21,16.03,9,6.87,21,16.03,08038
8,39,161,50,31.06,7,4.35,44,27.33,15,9.32,45,27.95,08039
8,40,122,69,56.56,12,9.84,21,17.21,6,4.92,14,11.48,08040
8,41,124,45,36.29,17,13.71,25,20.16,11,8.87,26,20.97,08041
8,42,160,62,38.75,15,9.38,46,28.75,3,1.88,34,21.25,08042
8,43,79,38,48.1,11,13.92,12,15.19,1,1.27,17,21.52,08043
8,44,123,46,37.4,17,13.82,26,21.14,11,8.94,23,18.7,08044
8,45,97,44,45.36,10,10.31,24,24.74,4,4.12,15,15.46,08045
8,46,123,44,35.77,24,19.51,32,26.02,9,7.32,14,11.38,08046
8,47,153,58,37.91,25,16.34,37,24.18,7,4.58,26,16.99,08047
8,48,129,58,44.96,13,10.08,27,20.93,10,7.75,21,16.28,08048
8,49,197,74,37.56,19,9.64,48,24.37,14,7.11,42,21.32,08049
8,50,175,73,41.71,17,9.71,47,26.86,6,3.43,32,18.29,08050
8,51,201,58,28.86,24,11.94,44,21.89,14,6.97,61,30.35,08051
8,52,183,55,30.05,19,10.38,45,24.59,6,3.28,58,31.69,08052
8,53,181,78,43.09,17,9.39,43,23.76,14,7.73,29,16.02,08053
8,54,159,60,37.74,23,14.47,48,30.19,8,5.03,20,12.58,08054
8,55,101,43,42.57,14,13.86,20,19.8,5,4.95,19,18.81,08055
8,56,138,57,41.3,11,7.97,41,29.71,9,6.52,20,14.49,08056
8,58,184,60,32.61,50,27.17,30,16.3,4,2.17,40,21.74,08058
8,59,73,35,47.95,6,8.22,15,20.55,6,8.22,11,15.07,08059
8,60,132,47,35.61,23,17.42,31,23.48,8,6.06,23,17.42,08060
8,61,138,61,44.2,16,11.59,31,22.46,3,2.17,27,19.57,08061
8,62,150,50,33.33,17,11.33,47,31.33,11,7.33,25,16.67,08062
8,63,171,71,41.52,14,8.19,48,28.07,8,4.68,30,17.54,08063
8,64,127,47,37.01,18,14.17,26,20.47,13,10.24,23,18.11,08064
8,65,109,53,48.62,11,10.09,20,18.35,7,6.42,18,16.51,08065
8,66,229,73,31.88,24,10.48,67,29.26,15,6.55,50,21.83,08066
8,67,80,32,40.0,4,5.0,20,25.0,6,7.5,18,22.5,08067
8,68,62,28,45.16,8,12.9,12,19.35,2,3.23,12,19.35,08068
8,69,52,19,36.54,10,19.23,10,19.23,2,3.85,11,21.15,08069
9,13,166,55,33.13,13,7.83,53,31.93,18,10.84,27,16.27,09013
9,35,208,58,27.88,20,9.62,83,39.9,11,5.29,36,17.31,09035
9,36,185,61,32.97,20,10.81,58,31.35,17,9.19,29,15.68,09036
9,47,175,56,32.0,11,6.29,71,40.57,7,4.0,30,17.14,09047
9,52,179,56,31.28,16,8.94,63,35.2,18,10.06,26,14.53,09052
10,1,98,19,19.39,12,12.24,18,18.37,44,44.9,5,5.1,10001
10,2,66,8,12.12,10,15.15,2,3.03,44,66.67,2,3.03,10002
10,3,121,13,10.74,14,11.57,6,4.96,81,66.94,7,5.79,10003
10,4,74,11,14.86,7,9.46,10,13.51,35,47.3,11,14.86,10004
10,5,80,15,18.75,4,5.0,5,6.25,53,66.25,3,3.75,10005
10,6,96,39,40.63,8,8.33,23,23.96,13,13.54,13,13.54,10006
10,7,30,4,13.33,1,3.33,3,10.0,19,63.33,3,10.0,10007
10,8,74,5,6.76,9,12.16,4,5.41,52,70.27,4,5.41,10008
10,9,106,12,11.32,12,11.32,11,10.38,68,64.15,3,2.83,10009
10,10,81,5,6.17,4,4.94,1,1.23,68,83.95,3,3.7,10010
10,11,108,6,5.56,6,5.56,6,5.56,84,77.78,6,5.56,10011
10,12,87,7,8.05,10,11.49,7,8.05,63,72.41,0,0.0,10012
10,13,93,3,3.23,3,3.23,4,4.3,77,82.8,6,6.45,10013
10,14,99,5,5.05,5,5.05,9,9.09,75,75.76,5,5.05,10014
10,15,38,7,18.42,3,7.89,1,2.63,25,65.79,2,5.26,10015
10,16,96,11,11.46,10,10.42,14,14.58,53,55.21,8,8.33,10016
10,17,84,11,13.1,4,4.76,13,15.48,50,59.52,6,7.14,10017
10,18,63,9,14.29,4,6.35,6,9.52,41,65.08,3,4.76,10018
10,19,98,9,9.18,8,8.16,9,9.18,67,68.37,5,5.1,10019
10,20,77,6,7.79,3,3.9,2,2.6,64,83.12,2,2.6,10020
10,21,89,14,15.73,11,12.36,4,4.49,57,64.04,3,3.37,10021
10,22,50,13,26.0,3,6.0,12,24.0,18,36.0,4,8.0,10022
10,23,84,4,4.76,6,7.14,5,5.95,68,80.95,1,1.19,10023
10,24,86,3,3.49,15,17.44,6,6.98,51,59.3,11,12.79,10024
10,25,116,21,18.1,6,5.17,13,11.21,65,56.03,11,9.48,10025
10,26,69,8,11.59,6,8.7,3,4.35,51,73.91,1,1.45,10026
10,27,106,7,6.6,9,8.49,10,9.43,74,69.81,6,5.66,10027
10,28,74,20,27.03,10,13.51,20,27.03,13,17.57,11,14.86,10028
10,29,99,36,36.36,4,4.04,34,34.34,11,11.11,14,14.14,10029
10,30,97,6,6.19,9,9.28,7,7.22,73,75.26,2,2.06,10030
10,31,103,4,3.88,8,7.77,3,2.91,87,84.47,1,0.97,10031
10,32,87,3,3.45,4,4.6,8,9.2,69,79.31,3,3.45,10032
10,33,81,4,4.94,3,3.7,2,2.47,70,86.42,2,2.47,10033
10,34,87,5,5.75,7,8.05,6,6.9,64,73.56,5,5.75,10034
10,35,100,8,8.0,9,9.0,4,4.0,79,79.0,0,0.0,10035
10,36,116,30,25.86,11,9.48,15,12.93,52,44.83,8,6.9,10036
10,37,66,11,16.67,9,13.64,6,9.09,35,53.03,5,7.58,10037
10,38,114,7,6.14,10,8.77,9,7.89,86,75.44,2,1.75,10038
10,39,84,10,11.9,5,5.95,6,7.14,60,71.43,3,3.57,10039
10,40,69,8,11.59,3,4.35,5,7.25,51,73.91,2,2.9,10040
10,41,139,11,7.91,10,7.19,10,7.19,103,74.1,5,3.6,10041
10,42,81,9,11.11,9,11.11,4,4.94,54,66.67,5,6.17,10042
10,43,42,8,19.05,2,4.76,1,2.38,28,66.67,3,7.14,10043
10,44,82,3,3.66,4,4.88,4,4.88,67,81.71,4,4.88,10044
10,45,46,0,0.0,2,4.35,2,4.35,41,89.13,1,2.17,10045
10,46,83,4,4.82,9,10.84,7,8.43,61,73.49,2,2.41,10046
10,47,85,8,9.41,2,2.35,3,3.53,70,82.35,2,2.35,10047
10,48,72,25,34.72,5,6.94,7,9.72,33,45.83,2,2.78,10048
17,2,99,41,41.41,13,13.13,23,23.23,8,8.08,14,14.14,17002
17,3,45,17,37.78,6,13.33,11,24.44,1,2.22,10,22.22,17003
17,4,134,60,44.78,17,12.69,28,20.9,8,5.97,21,15.67,17004
17,5,83,38,45.78,10,12.05,19,22.89,5,6.02,11,13.25,17005
17,7,80,35,43.75,12,15.0,17,21.25,1,1.25,15,18.75,17007
17,9,67,23,34.33,8,11.94,17,25.37,6,8.96,13,19.4,17009
17,10,113,32,28.32,34,30.09,22,19.47,5,4.42,20,17.7,17010
17,12,166,70,42.17,25,15.06,30,18.07,11,6.63,30,18.07,17012
17,15,114,44,38.6,19,16.67,26,22.81,6,5.26,19,16.67,17015
17,18,119,58,48.74,16,13.45,22,18.49,9,7.56,14,11.76,17018
17,20,78,36,46.15,11,14.1,17,21.79,0,0.0,14,17.95,17020
17,21,163,59,36.2,35,21.47,31,19.02,15,9.2,23,14.11,17021
17,22,102,37,36.27,14,13.73,27,26.47,6,5.88,18,17.65,17022
17,23,56,23,41.07,13,23.21,10,17.86,4,7.14,6,10.71,17023
17,24,99,38,38.38,20,20.2,21,21.21,2,2.02,18,18.18,17024
17,25,65,26,40.0,7,10.77,24,36.92,1,1.54,7,10.77,17025
17,26,126,41,32.54,12,9.52,57,45.24,4,3.17,12,9.52,17026
17,27,142,65,45.77,27,19.01,20,14.08,11,7.75,19,13.38,17027
17,28,83,37,44.58,3,3.61,16,19.28,6,7.23,21,25.3,17028
17,29,113,47,41.59,13,11.5,24,21.24,6,5.31,23,20.35,17029
17,30,120,56,46.67,8,6.67,25,20.83,6,5.0,25,20.83,17030
17,31,79,36,45.57,14,17.72,16,20.25,4,5.06,9,11.39,17031
17,33,69,26,37.68,9,13.04,19,27.54,3,4.35,12,17.39,17033
17,35,80,33,41.25,12,15.0,15,18.75,4,5.0,16,20.0,17035
17,37,83,37,44.58,7,8.43,17,20.48,5,6.02,17,20.48,17037
17,38,88,33,37.5,14,15.91,14,15.91,3,3.41,24,27.27,17038
17,44,56,28,50.0,7,12.5,11,19.64,3,5.36,7,12.5,17044
17,47,48,23,47.92,7,14.58,6,12.5,5,10.42,7,14.58,17047
17,48,102,47,46.08,9,8.82,15,14.71,5,4.9,26,25.49,17048
17,50,78,31,39.74,15,19.23,16,20.51,1,1.28,15,19.23,17050
17,51,103,51,49.51,14,13.59,24,23.3,5,4.85,9,8.74,17051
17,52,119,56,47.06,13,10.92,23,19.33,7,5.88,20,16.81,17052
17,53,117,53,45.3,17,14.53,24,20.51,6,5.13,17,14.53,17053
17,54,129,45,34.88,38,29.46,19,14.73,4,3.1,23,17.83,17054
17,55,88,40,45.45,15,17.05,17,19.32,6,6.82,10,11.36,17055
18,20,127,46,36.22,16,12.6,28,22.05,6,4.72,31,24.41,18020
18,30,110,48,43.64,14,12.73,23,20.91,7,6.36,18,16.36,18030
18,38,157,63,40.13,11,7.01,39,24.84,19,12.1,25,15.92,18038
18,51,184,71,38.59,16,8.7,58,31.52,5,2.72,34,18.48,18051
18,52,170,55,32.35,20,11.76,44,25.88,10,5.88,41,24.12,18052
18,53,98,44,44.9,16,16.33,14,14.29,9,9.18,15,15.31,18053
18,60,152,66,43.42,24,15.79,21,13.82,11,7.24,30,19.74,18060
18,61,133,55,41.35,19,14.29,27,20.3,7,5.26,25,18.8,18061
21,2,118,50,42.37,19,16.1,23,19.49,6,5.08,20,16.95,21002
21,15,111,46,41.44,17,15.32,30,27.03,6,5.41,12,10.81,21015
21,16,134,67,50.0,26,19.4,17,12.69,4,2.99,20,14.93,21016
21,29,63,28,44.44,3,4.76,14,22.22,5,7.94,13,20.63,21029
21,32,116,48,41.38,15,12.93,18,15.52,4,3.45,31,26.72,21032
21,34,152,79,51.97,22,14.47,17,11.18,11,7.24,23,15.13,21034
21,35,36,15,41.67,2,5.56,11,30.56,5,13.89,3,8.33,21035
21,36,98,42,42.86,22,22.45,15,15.31,6,6.12,13,13.27,21036
21,37,109,45,41.28,16,14.68,13,11.93,9,8.26,26,23.85,21037
21,39,103,39,37.86,10,9.71,24,23.3,3,2.91,27,26.21,21039
21,41,100,40,40.0,7,7.0,22,22.0,8,8.0,23,23.0,21041
21,52,131,52,39.69,23,17.56,31,23.66,7,5.34,18,13.74,21052
21,57,108,40,37.04,19,17.59,22,20.37,4,3.7,23,21.3,21057
21,62,124,60,48.39,17,13.71,28,22.58,3,2.42,16,12.9,21062
21,65,242,83,34.3,20,8.26,90,37.19,6,2.48,43,17.77,21065
21,67,126,51,40.48,21,16.67,27,21.43,7,5.56,20,15.87,21067
21,68,55,25,45.45,5,9.09,13,23.64,3,5.45,9,16.36,21068
21,69,103,42,40.78,11,10.68,21,20.39,5,4.85,24,23.3,21069
21,70,118,54,45.76,14,11.86,21,17.8,6,5.08,23,19.49,21070
21,71,50,17,34.0,8,16.0,16,32.0,3,6.0,6,12.0,21071
21,72,143,63,44.06,18,12.59,32,22.38,5,3.5,25,17.48,21072
21,73,134,42,31.34,16,11.94,37,27.61,12,8.96,27,20.15,21073
21,74,42,22,52.38,6,14.29,3,7.14,1,2.38,10,23.81,21074
