ward,precinct,total,Keith L. Jackson,Keith L. Jackson Percent,John Burros,John Burros Percent,Dorothy L. Walton,Dorothy L. Walton Percent,Jerry L. Patton,Jerry L. Patton Percent,Bruce L. Jackson,Bruce L. Jackson Percent,Arthur Turner,Arthur Turner Percent,precinct_id
2,51,98,32,32.65,17,17.35,14,14.29,3,3.06,3,3.06,29,29.59,02051
11,50,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11050
22,7,122,10,8.2,8,6.56,19,15.57,2,1.64,6,4.92,77,63.11,22007
22,19,63,2,3.17,5,7.94,11,17.46,1,1.59,0,0.0,44,69.84,22019
22,21,114,10,8.77,5,4.39,12,10.53,2,1.75,1,0.88,84,73.68,22021
24,1,148,13,8.78,9,6.08,16,10.81,3,2.03,7,4.73,100,67.57,24001
24,2,72,9,12.5,2,2.78,14,19.44,5,6.94,4,5.56,38,52.78,24002
24,3,99,7,7.07,2,2.02,13,13.13,2,2.02,3,3.03,72,72.73,24003
24,4,101,14,13.86,3,2.97,9,8.91,1,0.99,3,2.97,71,70.3,24004
24,5,74,14,18.92,2,2.7,13,17.57,5,6.76,5,6.76,35,47.3,24005
24,6,132,7,5.3,5,3.79,22,16.67,6,4.55,3,2.27,89,67.42,24006
24,8,88,8,9.09,1,1.14,28,31.82,2,2.27,6,6.82,43,48.86,24008
24,9,92,13,14.13,2,2.17,13,14.13,3,3.26,5,5.43,56,60.87,24009
24,10,95,30,31.58,3,3.16,16,16.84,0,0.0,2,2.11,44,46.32,24010
24,11,63,8,12.7,6,9.52,12,19.05,4,6.35,7,11.11,26,41.27,24011
24,12,75,12,16.0,1,1.33,18,24.0,3,4.0,5,6.67,36,48.0,24012
24,13,112,13,11.61,5,4.46,19,16.96,2,1.79,11,9.82,62,55.36,24013
24,14,129,10,7.75,6,4.65,23,17.83,4,3.1,28,21.71,58,44.96,24014
24,15,91,10,10.99,6,6.59,14,15.38,0,0.0,6,6.59,55,60.44,24015
24,17,82,12,14.63,4,4.88,16,19.51,2,2.44,2,2.44,46,56.1,24017
24,19,68,12,17.65,6,8.82,13,19.12,4,5.88,6,8.82,27,39.71,24019
24,20,103,20,19.42,6,5.83,15,14.56,9,8.74,8,7.77,45,43.69,24020
24,21,48,7,14.58,1,2.08,7,14.58,0,0.0,3,6.25,30,62.5,24021
24,22,103,14,13.59,7,6.8,16,15.53,1,0.97,7,6.8,58,56.31,24022
24,23,85,12,14.12,2,2.35,12,14.12,7,8.24,2,2.35,50,58.82,24023
24,24,59,6,10.17,1,1.69,16,27.12,4,6.78,2,3.39,30,50.85,24024
24,25,111,25,22.52,1,0.9,17,15.32,3,2.7,7,6.31,58,52.25,24025
24,26,102,10,9.8,3,2.94,8,7.84,2,1.96,1,0.98,78,76.47,24026
24,27,63,13,20.63,6,9.52,14,22.22,3,4.76,3,4.76,24,38.1,24027
24,28,135,19,14.07,10,7.41,27,20.0,1,0.74,6,4.44,72,53.33,24028
24,29,3,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,2,66.67,24029
24,30,88,10,11.36,4,4.55,22,25.0,3,3.41,4,4.55,45,51.14,24030
24,31,93,8,8.6,5,5.38,13,13.98,5,5.38,2,2.15,60,64.52,24031
24,32,86,14,16.28,4,4.65,16,18.6,2,2.33,12,13.95,38,44.19,24032
24,34,121,12,9.92,4,3.31,29,23.97,4,3.31,2,1.65,70,57.85,24034
24,35,141,31,21.99,6,4.26,26,18.44,5,3.55,13,9.22,60,42.55,24035
24,36,95,19,20.0,3,3.16,17,17.89,6,6.32,13,13.68,37,38.95,24036
24,37,133,13,9.77,9,6.77,28,21.05,1,0.75,13,9.77,69,51.88,24037
24,38,128,19,14.84,7,5.47,17,13.28,2,1.56,4,3.13,79,61.72,24038
24,39,84,12,14.29,9,10.71,17,20.24,1,1.19,7,8.33,38,45.24,24039
24,40,160,4,2.5,2,1.25,25,15.63,8,5.0,5,3.13,116,72.5,24040
24,42,84,14,16.67,4,4.76,10,11.9,2,2.38,1,1.19,53,63.1,24042
24,43,132,14,10.61,4,3.03,27,20.45,3,2.27,5,3.79,79,59.85,24043
24,44,171,25,14.62,20,11.7,24,14.04,11,6.43,5,2.92,86,50.29,24044
24,45,91,12,13.19,1,1.1,9,9.89,4,4.4,8,8.79,57,62.64,24045
24,47,82,7,8.54,2,2.44,11,13.41,3,3.66,8,9.76,51,62.2,24047
24,48,56,12,21.43,2,3.57,9,16.07,2,3.57,4,7.14,27,48.21,24048
24,49,199,30,15.08,8,4.02,29,14.57,15,7.54,17,8.54,100,50.25,24049
24,50,157,36,22.93,13,8.28,30,19.11,5,3.18,14,8.92,59,37.58,24050
24,51,141,21,14.89,14,9.93,28,19.86,2,1.42,6,4.26,70,49.65,24051
24,52,92,10,10.87,9,9.78,22,23.91,0,0.0,4,4.35,47,51.09,24052
24,54,121,9,7.44,8,6.61,17,14.05,0,0.0,3,2.48,84,69.42,24054
24,56,148,10,6.76,6,4.05,19,12.84,10,6.76,7,4.73,96,64.86,24056
25,3,92,22,23.91,21,22.83,14,15.22,7,7.61,3,3.26,25,27.17,25003
25,4,142,14,9.86,58,40.85,18,12.68,6,4.23,9,6.34,37,26.06,25004
25,6,75,10,13.33,45,60.0,7,9.33,2,2.67,2,2.67,9,12.0,25006
25,9,7,0,0.0,4,57.14,1,14.29,0,0.0,0,0.0,2,28.57,25009
25,10,68,9,13.24,29,42.65,13,19.12,1,1.47,1,1.47,15,22.06,25010
25,12,94,6,6.38,45,47.87,13,13.83,5,5.32,3,3.19,22,23.4,25012
25,18,15,1,6.67,7,46.67,0,0.0,1,6.67,0,0.0,6,40.0,25018
25,21,103,4,3.88,53,51.46,7,6.8,1,0.97,1,0.97,37,35.92,25021
25,25,99,8,8.08,53,53.54,9,9.09,2,2.02,2,2.02,25,25.25,25025
25,26,80,7,8.75,40,50.0,7,8.75,2,2.5,1,1.25,23,28.75,25026
25,27,89,8,8.99,35,39.33,7,7.87,3,3.37,3,3.37,33,37.08,25027
25,28,169,13,7.69,100,59.17,11,6.51,5,2.96,0,0.0,40,23.67,25028
25,29,233,27,11.59,96,41.2,30,12.88,4,1.72,10,4.29,66,28.33,25029
25,31,74,7,9.46,36,48.65,12,16.22,4,5.41,2,2.7,13,17.57,25031
27,1,119,8,6.72,63,52.94,12,10.08,7,5.88,0,0.0,29,24.37,27001
27,7,97,23,23.71,40,41.24,9,9.28,1,1.03,1,1.03,23,23.71,27007
27,11,100,15,15.0,29,29.0,15,15.0,8,8.0,4,4.0,29,29.0,27011
27,17,88,6,6.82,42,47.73,10,11.36,3,3.41,1,1.14,26,29.55,27017
27,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27018
27,54,53,4,7.55,20,37.74,12,22.64,0,0.0,5,9.43,12,22.64,27054
27,57,61,4,6.56,25,40.98,11,18.03,1,1.64,1,1.64,19,31.15,27057
27,58,26,1,3.85,13,50.0,1,3.85,1,3.85,1,3.85,9,34.62,27058
28,34,21,3,14.29,11,52.38,3,14.29,1,4.76,0,0.0,3,14.29,28034
28,35,74,18,24.32,6,8.11,9,12.16,0,0.0,2,2.7,39,52.7,28035
28,52,74,13,17.57,20,27.03,9,12.16,3,4.05,1,1.35,28,37.84,28052
28,53,12,1,8.33,7,58.33,1,8.33,0,0.0,0,0.0,3,25.0,28053
28,54,67,10,14.93,3,4.48,18,26.87,1,1.49,2,2.99,33,49.25,28054
28,61,51,6,11.76,14,27.45,7,13.73,2,3.92,2,3.92,20,39.22,28061
42,9,59,3,5.08,19,32.2,8,13.56,3,5.08,1,1.69,25,42.37,42009
42,12,89,5,5.62,36,40.45,9,10.11,5,5.62,2,2.25,32,35.96,42012
42,14,104,5,4.81,46,44.23,15,14.42,1,0.96,2,1.92,35,33.65,42014
42,18,179,15,8.38,71,39.66,19,10.61,5,2.79,3,1.68,66,36.87,42018
42,21,81,2,2.47,34,41.98,7,8.64,3,3.7,1,1.23,34,41.98,42021
42,59,116,8,6.9,42,36.21,18,15.52,3,2.59,4,3.45,41,35.34,42059
42,67,158,20,12.66,57,36.08,17,10.76,4,2.53,2,1.27,58,36.71,42067
42,68,100,6,6.0,44,44.0,12,12.0,5,5.0,1,1.0,32,32.0,42068
42,69,67,10,14.93,26,38.81,8,11.94,1,1.49,4,5.97,18,26.87,42069
