ward,precinct,total,Terry MacCarthy,Terry MacCarthy Percent,Diann K. Marsalek,Diann K. Marsalek Percent,Sharon Finegan Patterson,Sharon Finegan Patterson Percent,Thomas William Flannigan,Thomas William Flannigan Percent,precinct_id
1,33,88,31,35.23,25,28.41,12,13.64,20,22.73,01033
1,34,54,25,46.3,13,24.07,10,18.52,6,11.11,01034
1,35,43,19,44.19,7,16.28,9,20.93,8,18.6,01035
1,36,74,35,47.3,16,21.62,13,17.57,10,13.51,01036
1,37,64,27,42.19,14,21.88,10,15.63,13,20.31,01037
1,38,37,12,32.43,11,29.73,7,18.92,7,18.92,01038
1,39,72,21,29.17,16,22.22,18,25.0,17,23.61,01039
1,40,23,7,30.43,7,30.43,6,26.09,3,13.04,01040
1,41,60,23,38.33,15,25.0,11,18.33,11,18.33,01041
1,42,49,22,44.9,9,18.37,7,14.29,11,22.45,01042
1,43,78,29,37.18,16,20.51,20,25.64,13,16.67,01043
1,44,49,23,46.94,10,20.41,6,12.24,10,20.41,01044
1,45,86,30,34.88,16,18.6,21,24.42,19,22.09,01045
1,46,79,34,43.04,19,24.05,11,13.92,15,18.99,01046
1,47,64,30,46.88,11,17.19,12,18.75,11,17.19,01047
1,48,54,16,29.63,8,14.81,17,31.48,13,24.07,01048
1,49,40,18,45.0,5,12.5,11,27.5,6,15.0,01049
1,50,52,23,44.23,7,13.46,15,28.85,7,13.46,01050
2,1,167,79,47.31,30,17.96,38,22.75,20,11.98,02001
2,2,26,12,46.15,4,15.38,8,30.77,2,7.69,02002
2,3,134,60,44.78,18,13.43,35,26.12,21,15.67,02003
2,4,74,20,27.03,13,17.57,27,36.49,14,18.92,02004
2,5,107,32,29.91,21,19.63,43,40.19,11,10.28,02005
2,6,110,53,48.18,22,20.0,20,18.18,15,13.64,02006
2,7,165,39,23.64,29,17.58,68,41.21,29,17.58,02007
2,8,166,71,42.77,30,18.07,44,26.51,21,12.65,02008
2,9,100,37,37.0,5,5.0,39,39.0,19,19.0,02009
2,10,79,29,36.71,8,10.13,22,27.85,20,25.32,02010
2,11,241,128,53.11,45,18.67,46,19.09,22,9.13,02011
2,12,114,53,46.49,23,20.18,20,17.54,18,15.79,02012
2,13,122,40,32.79,22,18.03,38,31.15,22,18.03,02013
2,14,193,54,27.98,32,16.58,84,43.52,23,11.92,02014
2,15,57,21,36.84,8,14.04,17,29.82,11,19.3,02015
2,16,127,66,51.97,23,18.11,20,15.75,18,14.17,02016
2,17,75,22,29.33,10,13.33,33,44.0,10,13.33,02017
2,18,141,65,46.1,26,18.44,30,21.28,20,14.18,02018
2,19,151,74,49.01,27,17.88,33,21.85,17,11.26,02019
2,20,201,49,24.38,38,18.91,87,43.28,27,13.43,02020
2,21,149,46,30.87,25,16.78,56,37.58,22,14.77,02021
2,22,209,98,46.89,44,21.05,43,20.57,24,11.48,02022
2,23,87,21,24.14,13,14.94,35,40.23,18,20.69,02023
2,24,62,29,46.77,7,11.29,16,25.81,10,16.13,02024
2,25,144,34,23.61,32,22.22,53,36.81,25,17.36,02025
2,26,101,32,31.68,14,13.86,37,36.63,18,17.82,02026
2,27,97,38,39.18,12,12.37,34,35.05,13,13.4,02027
2,28,83,32,38.55,14,16.87,25,30.12,12,14.46,02028
2,29,63,16,25.4,7,11.11,30,47.62,10,15.87,02029
2,30,112,29,25.89,26,23.21,36,32.14,21,18.75,02030
2,31,125,45,36.0,18,14.4,45,36.0,17,13.6,02031
2,32,49,15,30.61,8,16.33,20,40.82,6,12.24,02032
2,33,60,18,30.0,7,11.67,23,38.33,12,20.0,02033
2,34,104,30,28.85,17,16.35,39,37.5,18,17.31,02034
2,35,26,11,42.31,7,26.92,4,15.38,4,15.38,02035
2,36,191,77,40.31,37,19.37,45,23.56,32,16.75,02036
2,37,111,54,48.65,22,19.82,19,17.12,16,14.41,02037
2,38,170,66,38.82,34,20.0,51,30.0,19,11.18,02038
2,39,89,31,34.83,17,19.1,24,26.97,17,19.1,02039
2,40,192,62,32.29,40,20.83,52,27.08,38,19.79,02040
2,41,56,21,37.5,2,3.57,19,33.93,14,25.0,02041
2,42,74,25,33.78,10,13.51,19,25.68,20,27.03,02042
2,43,199,84,42.21,24,12.06,54,27.14,37,18.59,02043
2,44,102,36,35.29,17,16.67,35,34.31,14,13.73,02044
2,45,100,27,27.0,21,21.0,36,36.0,16,16.0,02045
2,46,205,59,28.78,32,15.61,87,42.44,27,13.17,02046
2,47,80,23,28.75,10,12.5,31,38.75,16,20.0,02047
2,48,73,19,26.03,6,8.22,32,43.84,16,21.92,02048
2,49,96,39,40.63,19,19.79,26,27.08,12,12.5,02049
2,50,83,34,40.96,15,18.07,19,22.89,15,18.07,02050
2,51,87,29,33.33,12,13.79,35,40.23,11,12.64,02051
2,52,143,37,25.87,14,9.79,61,42.66,31,21.68,02052
2,53,97,38,39.18,22,22.68,21,21.65,16,16.49,02053
2,54,148,69,46.62,32,21.62,33,22.3,14,9.46,02054
2,55,54,20,37.04,7,12.96,18,33.33,9,16.67,02055
2,56,109,30,27.52,9,8.26,43,39.45,27,24.77,02056
3,1,94,25,26.6,25,26.6,33,35.11,11,11.7,03001
3,2,180,41,22.78,51,28.33,59,32.78,29,16.11,03002
3,3,127,51,40.16,17,13.39,40,31.5,19,14.96,03003
3,4,89,27,30.34,14,15.73,32,35.96,16,17.98,03004
3,5,111,33,29.73,14,12.61,48,43.24,16,14.41,03005
3,6,32,9,28.13,8,25.0,9,28.13,6,18.75,03006
3,7,113,28,24.78,29,25.66,34,30.09,22,19.47,03007
3,8,98,28,28.57,23,23.47,35,35.71,12,12.24,03008
3,9,113,36,31.86,22,19.47,41,36.28,14,12.39,03009
3,10,41,10,24.39,6,14.63,14,34.15,11,26.83,03010
3,11,110,36,32.73,24,21.82,42,38.18,8,7.27,03011
3,12,84,21,25.0,7,8.33,39,46.43,17,20.24,03012
3,13,70,16,22.86,15,21.43,18,25.71,21,30.0,03013
3,14,104,20,19.23,20,19.23,45,43.27,19,18.27,03014
3,15,125,36,28.8,29,23.2,42,33.6,18,14.4,03015
3,16,102,35,34.31,25,24.51,29,28.43,13,12.75,03016
3,17,58,19,32.76,12,20.69,19,32.76,8,13.79,03017
3,18,54,9,16.67,6,11.11,28,51.85,11,20.37,03018
3,19,33,8,24.24,6,18.18,9,27.27,10,30.3,03019
3,20,92,27,29.35,10,10.87,35,38.04,20,21.74,03020
3,21,45,13,28.89,7,15.56,20,44.44,5,11.11,03021
3,22,69,18,26.09,13,18.84,24,34.78,14,20.29,03022
3,23,90,19,21.11,23,25.56,34,37.78,14,15.56,03023
3,24,140,37,26.43,24,17.14,56,40.0,23,16.43,03024
3,25,68,21,30.88,10,14.71,22,32.35,15,22.06,03025
3,26,35,4,11.43,13,37.14,12,34.29,6,17.14,03026
3,27,115,28,24.35,13,11.3,54,46.96,20,17.39,03027
3,28,192,90,46.88,43,22.4,46,23.96,13,6.77,03028
3,29,115,24,20.87,32,27.83,34,29.57,25,21.74,03029
3,30,87,25,28.74,19,21.84,31,35.63,12,13.79,03030
3,31,182,37,20.33,48,26.37,67,36.81,30,16.48,03031
3,32,79,22,27.85,20,25.32,29,36.71,8,10.13,03032
3,33,142,30,21.13,32,22.54,53,37.32,27,19.01,03033
3,34,115,22,19.13,17,14.78,60,52.17,16,13.91,03034
3,35,119,18,15.13,35,29.41,44,36.97,22,18.49,03035
3,36,33,8,24.24,4,12.12,15,45.45,6,18.18,03036
3,37,54,14,25.93,14,25.93,16,29.63,10,18.52,03037
3,38,178,46,25.84,25,14.04,84,47.19,23,12.92,03038
3,39,194,48,24.74,29,14.95,93,47.94,24,12.37,03039
3,40,111,22,19.82,31,27.93,38,34.23,20,18.02,03040
3,41,114,30,26.32,10,8.77,54,47.37,20,17.54,03041
3,42,67,19,28.36,6,8.96,28,41.79,14,20.9,03042
3,43,13,4,30.77,3,23.08,2,15.38,4,30.77,03043
3,44,23,8,34.78,2,8.7,9,39.13,4,17.39,03044
3,45,152,53,34.87,19,12.5,52,34.21,28,18.42,03045
3,46,12,3,25.0,2,16.67,6,50.0,1,8.33,03046
3,47,77,16,20.78,25,32.47,29,37.66,7,9.09,03047
3,48,73,11,15.07,29,39.73,22,30.14,11,15.07,03048
3,49,30,10,33.33,2,6.67,13,43.33,5,16.67,03049
3,50,63,14,22.22,14,22.22,22,34.92,13,20.63,03050
4,1,172,64,37.21,36,20.93,54,31.4,18,10.47,04001
4,2,211,72,34.12,35,16.59,82,38.86,22,10.43,04002
4,3,183,41,22.4,37,20.22,75,40.98,30,16.39,04003
4,4,132,31,23.48,20,15.15,61,46.21,20,15.15,04004
4,5,205,53,25.85,49,23.9,77,37.56,26,12.68,04005
4,6,65,14,21.54,11,16.92,31,47.69,9,13.85,04006
4,7,167,36,21.56,33,19.76,77,46.11,21,12.57,04007
4,8,173,43,24.86,37,21.39,68,39.31,25,14.45,04008
4,9,331,94,28.4,59,17.82,144,43.5,34,10.27,04009
4,10,158,54,34.18,31,19.62,52,32.91,21,13.29,04010
4,11,106,29,27.36,20,18.87,39,36.79,18,16.98,04011
4,12,88,22,25.0,18,20.45,35,39.77,13,14.77,04012
4,13,113,38,33.63,31,27.43,36,31.86,8,7.08,04013
4,14,88,20,22.73,23,26.14,28,31.82,17,19.32,04014
4,15,112,23,20.54,21,18.75,49,43.75,19,16.96,04015
4,16,172,43,25.0,35,20.35,67,38.95,27,15.7,04016
4,17,164,58,35.37,21,12.8,67,40.85,18,10.98,04017
4,18,147,46,31.29,15,10.2,58,39.46,28,19.05,04018
4,19,137,42,30.66,19,13.87,61,44.53,15,10.95,04019
4,20,83,16,19.28,16,19.28,33,39.76,18,21.69,04020
4,21,200,59,29.5,66,33.0,57,28.5,18,9.0,04021
4,22,202,67,33.17,41,20.3,77,38.12,17,8.42,04022
4,23,118,54,45.76,24,20.34,31,26.27,9,7.63,04023
4,24,137,40,29.2,44,32.12,39,28.47,14,10.22,04024
4,25,164,40,24.39,29,17.68,73,44.51,22,13.41,04025
4,26,153,37,24.18,30,19.61,66,43.14,20,13.07,04026
4,27,130,39,30.0,26,20.0,47,36.15,18,13.85,04027
4,28,104,45,43.27,25,24.04,23,22.12,11,10.58,04028
4,29,134,64,47.76,29,21.64,34,25.37,7,5.22,04029
4,30,128,33,25.78,19,14.84,58,45.31,18,14.06,04030
4,31,87,41,47.13,22,25.29,19,21.84,5,5.75,04031
4,32,159,79,49.69,42,26.42,36,22.64,2,1.26,04032
4,33,114,27,23.68,21,18.42,40,35.09,26,22.81,04033
4,34,120,56,46.67,33,27.5,27,22.5,4,3.33,04034
4,35,82,23,28.05,14,17.07,37,45.12,8,9.76,04035
4,36,106,28,26.42,34,32.08,32,30.19,12,11.32,04036
4,37,0,0,0.0,0,0.0,0,0.0,0,0.0,04037
4,38,257,90,35.02,51,19.84,78,30.35,38,14.79,04038
4,39,102,21,20.59,30,29.41,43,42.16,8,7.84,04039
4,40,115,34,29.57,22,19.13,40,34.78,19,16.52,04040
4,41,61,29,47.54,12,19.67,17,27.87,3,4.92,04041
4,42,181,66,36.46,18,9.94,74,40.88,23,12.71,04042
4,43,107,48,44.86,28,26.17,23,21.5,8,7.48,04043
4,44,93,30,32.26,20,21.51,32,34.41,11,11.83,04044
4,45,276,73,26.45,89,32.25,94,34.06,20,7.25,04045
4,46,110,32,29.09,33,30.0,36,32.73,9,8.18,04046
4,47,162,57,35.19,45,27.78,39,24.07,21,12.96,04047
4,48,199,88,44.22,48,24.12,48,24.12,15,7.54,04048
4,49,106,33,31.13,18,16.98,40,37.74,15,14.15,04049
4,50,141,36,25.53,30,21.28,52,36.88,23,16.31,04050
4,51,131,44,33.59,31,23.66,44,33.59,12,9.16,04051
4,52,173,45,26.01,25,14.45,73,42.2,30,17.34,04052
5,1,143,41,28.67,20,13.99,64,44.76,18,12.59,05001
5,2,126,36,28.57,25,19.84,44,34.92,21,16.67,05002
5,3,67,33,49.25,15,22.39,18,26.87,1,1.49,05003
5,4,97,25,25.77,17,17.53,40,41.24,15,15.46,05004
5,5,103,29,28.16,8,7.77,39,37.86,27,26.21,05005
5,6,152,43,28.29,16,10.53,70,46.05,23,15.13,05006
5,7,144,38,26.39,24,16.67,57,39.58,25,17.36,05007
5,8,178,111,62.36,28,15.73,30,16.85,9,5.06,05008
5,9,126,37,29.37,13,10.32,56,44.44,20,15.87,05009
5,10,103,21,20.39,17,16.5,44,42.72,21,20.39,05010
5,11,109,61,55.96,26,23.85,16,14.68,6,5.5,05011
5,12,67,17,25.37,9,13.43,29,43.28,12,17.91,05012
5,13,135,30,22.22,25,18.52,62,45.93,18,13.33,05013
5,14,187,81,43.32,40,21.39,47,25.13,19,10.16,05014
5,15,101,27,26.73,20,19.8,41,40.59,13,12.87,05015
5,16,97,23,23.71,16,16.49,36,37.11,22,22.68,05016
5,17,119,29,24.37,25,21.01,46,38.66,19,15.97,05017
5,18,118,27,22.88,25,21.19,47,39.83,19,16.1,05018
5,19,65,24,36.92,12,18.46,23,35.38,6,9.23,05019
5,20,53,14,26.42,6,11.32,21,39.62,12,22.64,05020
5,21,114,30,26.32,17,14.91,46,40.35,21,18.42,05021
5,22,137,39,28.47,24,17.52,44,32.12,30,21.9,05022
5,23,85,20,23.53,13,15.29,38,44.71,14,16.47,05023
5,24,139,62,44.6,20,14.39,48,34.53,9,6.47,05024
5,25,101,22,21.78,18,17.82,46,45.54,15,14.85,05025
5,26,132,32,24.24,22,16.67,51,38.64,27,20.45,05026
5,27,137,83,60.58,20,14.6,23,16.79,11,8.03,05027
5,28,160,53,33.13,25,15.63,55,34.38,27,16.88,05028
5,29,139,45,32.37,18,12.95,54,38.85,22,15.83,05029
5,30,109,72,66.06,24,22.02,9,8.26,4,3.67,05030
5,31,110,29,26.36,17,15.45,43,39.09,21,19.09,05031
5,32,256,70,27.34,47,18.36,101,39.45,38,14.84,05032
5,33,94,29,30.85,15,15.96,33,35.11,17,18.09,05033
5,34,139,40,28.78,19,13.67,59,42.45,21,15.11,05034
5,35,102,41,40.2,20,19.61,28,27.45,13,12.75,05035
5,36,56,14,25.0,3,5.36,29,51.79,10,17.86,05036
5,37,107,48,44.86,24,22.43,28,26.17,7,6.54,05037
5,38,166,106,63.86,14,8.43,33,19.88,13,7.83,05038
5,39,171,118,69.01,24,14.04,20,11.7,9,5.26,05039
5,40,107,23,21.5,17,15.89,52,48.6,15,14.02,05040
5,41,102,65,63.73,17,16.67,14,13.73,6,5.88,05041
5,42,134,39,29.1,20,14.93,50,37.31,25,18.66,05042
5,43,147,53,36.05,20,13.61,58,39.46,16,10.88,05043
5,44,127,31,24.41,23,18.11,52,40.94,21,16.54,05044
5,45,73,15,20.55,22,30.14,25,34.25,11,15.07,05045
5,46,126,71,56.35,21,16.67,24,19.05,10,7.94,05046
5,47,103,34,33.01,15,14.56,42,40.78,12,11.65,05047
5,48,86,33,38.37,16,18.6,21,24.42,16,18.6,05048
5,49,28,8,28.57,5,17.86,12,42.86,3,10.71,05049
5,50,83,28,33.73,9,10.84,34,40.96,12,14.46,05050
5,51,86,20,23.26,16,18.6,36,41.86,14,16.28,05051
5,52,8,4,50.0,1,12.5,1,12.5,2,25.0,05052
5,53,147,66,44.9,23,15.65,50,34.01,8,5.44,05053
5,54,203,56,27.59,43,21.18,78,38.42,26,12.81,05054
5,55,102,28,27.45,19,18.63,39,38.24,16,15.69,05055
6,1,206,53,25.73,35,16.99,95,46.12,23,11.17,06001
6,2,176,56,31.82,24,13.64,77,43.75,19,10.8,06002
6,3,175,57,32.57,29,16.57,63,36.0,26,14.86,06003
6,4,109,28,25.69,12,11.01,36,33.03,33,30.28,06004
6,5,54,17,31.48,11,20.37,19,35.19,7,12.96,06005
6,6,121,43,35.54,17,14.05,47,38.84,14,11.57,06006
6,7,132,44,33.33,25,18.94,51,38.64,12,9.09,06007
6,8,188,43,22.87,37,19.68,77,40.96,31,16.49,06008
6,9,145,28,19.31,25,17.24,71,48.97,21,14.48,06009
6,10,255,62,24.31,40,15.69,116,45.49,37,14.51,06010
6,11,141,30,21.28,24,17.02,68,48.23,19,13.48,06011
6,12,107,35,32.71,18,16.82,32,29.91,22,20.56,06012
6,13,123,34,27.64,24,19.51,46,37.4,19,15.45,06013
6,14,116,32,27.59,14,12.07,53,45.69,17,14.66,06014
6,15,73,21,28.77,12,16.44,29,39.73,11,15.07,06015
6,16,173,30,17.34,37,21.39,73,42.2,33,19.08,06016
6,17,191,52,27.23,33,17.28,89,46.6,17,8.9,06017
6,18,62,16,25.81,7,11.29,30,48.39,9,14.52,06018
6,19,162,41,25.31,23,14.2,73,45.06,25,15.43,06019
6,20,151,42,27.81,26,17.22,55,36.42,28,18.54,06020
6,21,149,43,28.86,30,20.13,50,33.56,26,17.45,06021
6,22,124,31,25.0,24,19.35,51,41.13,18,14.52,06022
6,23,126,33,26.19,24,19.05,47,37.3,22,17.46,06023
6,24,144,43,29.86,27,18.75,55,38.19,19,13.19,06024
6,25,82,19,23.17,22,26.83,34,41.46,7,8.54,06025
6,26,155,46,29.68,19,12.26,67,43.23,23,14.84,06026
6,27,190,49,25.79,40,21.05,78,41.05,23,12.11,06027
6,28,292,70,23.97,46,15.75,133,45.55,43,14.73,06028
6,29,200,48,24.0,41,20.5,85,42.5,26,13.0,06029
6,30,98,29,29.59,19,19.39,32,32.65,18,18.37,06030
6,31,173,44,25.43,30,17.34,73,42.2,26,15.03,06031
6,32,139,31,22.3,23,16.55,55,39.57,30,21.58,06032
6,33,181,60,33.15,22,12.15,72,39.78,27,14.92,06033
6,34,112,29,25.89,14,12.5,52,46.43,17,15.18,06034
6,35,129,31,24.03,20,15.5,49,37.98,29,22.48,06035
6,36,83,16,19.28,18,21.69,27,32.53,22,26.51,06036
6,37,185,41,22.16,44,23.78,81,43.78,19,10.27,06037
6,38,152,27,17.76,33,21.71,62,40.79,30,19.74,06038
6,39,99,20,20.2,16,16.16,46,46.46,17,17.17,06039
6,40,64,16,25.0,11,17.19,29,45.31,8,12.5,06040
6,41,173,35,20.23,49,28.32,70,40.46,19,10.98,06041
6,42,55,10,18.18,15,27.27,20,36.36,10,18.18,06042
6,43,141,41,29.08,30,21.28,46,32.62,24,17.02,06043
6,44,146,39,26.71,25,17.12,65,44.52,17,11.64,06044
6,45,114,27,23.68,15,13.16,57,50.0,15,13.16,06045
6,46,144,43,29.86,25,17.36,57,39.58,19,13.19,06046
6,47,158,44,27.85,34,21.52,63,39.87,17,10.76,06047
6,48,127,31,24.41,25,19.69,54,42.52,17,13.39,06048
6,49,123,38,30.89,14,11.38,49,39.84,22,17.89,06049
6,50,156,44,28.21,25,16.03,69,44.23,18,11.54,06050
6,51,83,27,32.53,10,12.05,31,37.35,15,18.07,06051
6,52,90,33,36.67,7,7.78,40,44.44,10,11.11,06052
6,53,123,32,26.02,17,13.82,50,40.65,24,19.51,06053
6,54,120,26,21.67,22,18.33,54,45.0,18,15.0,06054
6,55,120,36,30.0,21,17.5,44,36.67,19,15.83,06055
6,56,121,28,23.14,26,21.49,49,40.5,18,14.88,06056
6,57,64,22,34.38,12,18.75,25,39.06,5,7.81,06057
6,58,177,39,22.03,33,18.64,88,49.72,17,9.6,06058
6,59,141,37,26.24,27,19.15,59,41.84,18,12.77,06059
6,60,96,27,28.13,12,12.5,45,46.88,12,12.5,06060
6,61,74,12,16.22,12,16.22,35,47.3,15,20.27,06061
6,62,121,37,30.58,14,11.57,43,35.54,27,22.31,06062
6,63,140,28,20.0,32,22.86,59,42.14,21,15.0,06063
6,64,174,33,18.97,36,20.69,79,45.4,26,14.94,06064
7,1,263,70,26.62,38,14.45,115,43.73,40,15.21,07001
7,2,149,49,32.89,26,17.45,54,36.24,20,13.42,07002
7,3,81,22,27.16,11,13.58,31,38.27,17,20.99,07003
7,4,84,20,23.81,21,25.0,26,30.95,17,20.24,07004
7,5,71,15,21.13,12,16.9,23,32.39,21,29.58,07005
7,6,91,27,29.67,9,9.89,35,38.46,20,21.98,07006
7,7,78,19,24.36,11,14.1,29,37.18,19,24.36,07007
7,8,35,5,14.29,7,20.0,13,37.14,10,28.57,07008
7,9,128,39,30.47,26,20.31,44,34.38,19,14.84,07009
7,10,72,20,27.78,7,9.72,30,41.67,15,20.83,07010
7,11,141,39,27.66,20,14.18,63,44.68,19,13.48,07011
7,12,91,21,23.08,20,21.98,26,28.57,24,26.37,07012
7,13,84,18,21.43,6,7.14,43,51.19,17,20.24,07013
7,14,120,36,30.0,15,12.5,45,37.5,24,20.0,07014
7,15,64,21,32.81,7,10.94,21,32.81,15,23.44,07015
7,16,57,14,24.56,9,15.79,27,47.37,7,12.28,07016
7,17,56,11,19.64,7,12.5,28,50.0,10,17.86,07017
7,18,85,25,29.41,14,16.47,29,34.12,17,20.0,07018
7,19,170,40,23.53,21,12.35,69,40.59,40,23.53,07019
7,20,43,8,18.6,4,9.3,23,53.49,8,18.6,07020
7,21,108,34,31.48,10,9.26,46,42.59,18,16.67,07021
7,22,90,14,15.56,17,18.89,40,44.44,19,21.11,07022
7,23,106,26,24.53,23,21.7,39,36.79,18,16.98,07023
7,24,117,28,23.93,19,16.24,45,38.46,25,21.37,07024
7,25,153,33,21.57,22,14.38,62,40.52,36,23.53,07025
7,26,153,39,25.49,24,15.69,67,43.79,23,15.03,07026
7,27,192,52,27.08,29,15.1,81,42.19,30,15.63,07027
7,28,109,34,31.19,14,12.84,40,36.7,21,19.27,07028
7,29,106,27,25.47,14,13.21,43,40.57,22,20.75,07029
7,30,155,32,20.65,26,16.77,71,45.81,26,16.77,07030
7,31,132,34,25.76,17,12.88,65,49.24,16,12.12,07031
7,32,76,21,27.63,18,23.68,22,28.95,15,19.74,07032
7,33,100,30,30.0,14,14.0,42,42.0,14,14.0,07033
7,34,120,36,30.0,20,16.67,52,43.33,12,10.0,07034
7,35,154,49,31.82,23,14.94,61,39.61,21,13.64,07035
7,36,143,37,25.87,19,13.29,54,37.76,33,23.08,07036
7,37,72,23,31.94,7,9.72,33,45.83,9,12.5,07037
7,38,93,26,27.96,8,8.6,43,46.24,16,17.2,07038
7,39,84,28,33.33,16,19.05,27,32.14,13,15.48,07039
7,40,93,26,27.96,15,16.13,34,36.56,18,19.35,07040
7,41,103,24,23.3,20,19.42,40,38.83,19,18.45,07041
7,42,162,35,21.6,27,16.67,75,46.3,25,15.43,07042
7,43,131,43,32.82,15,11.45,48,36.64,25,19.08,07043
7,44,184,48,26.09,37,20.11,71,38.59,28,15.22,07044
7,45,196,54,27.55,34,17.35,85,43.37,23,11.73,07045
7,46,61,15,24.59,9,14.75,19,31.15,18,29.51,07046
7,47,99,24,24.24,15,15.15,45,45.45,15,15.15,07047
7,48,106,23,21.7,15,14.15,37,34.91,31,29.25,07048
7,49,65,18,27.69,6,9.23,25,38.46,16,24.62,07049
7,50,85,24,28.24,7,8.24,42,49.41,12,14.12,07050
7,51,207,46,22.22,40,19.32,92,44.44,29,14.01,07051
7,52,98,29,29.59,15,15.31,37,37.76,17,17.35,07052
7,53,105,35,33.33,12,11.43,42,40.0,16,15.24,07053
7,54,56,12,21.43,14,25.0,18,32.14,12,21.43,07054
7,55,103,25,24.27,11,10.68,47,45.63,20,19.42,07055
7,56,93,22,23.66,15,16.13,40,43.01,16,17.2,07056
7,57,96,23,23.96,18,18.75,36,37.5,19,19.79,07057
7,58,160,33,20.63,39,24.38,61,38.13,27,16.88,07058
7,59,65,20,30.77,16,24.62,18,27.69,11,16.92,07059
7,60,78,16,20.51,16,20.51,29,37.18,17,21.79,07060
7,61,117,36,30.77,17,14.53,48,41.03,16,13.68,07061
8,1,173,52,30.06,17,9.83,78,45.09,26,15.03,08001
8,2,83,25,30.12,13,15.66,32,38.55,13,15.66,08002
8,3,218,57,26.15,45,20.64,95,43.58,21,9.63,08003
8,4,151,36,23.84,19,12.58,73,48.34,23,15.23,08004
8,5,205,49,23.9,30,14.63,101,49.27,25,12.2,08005
8,6,169,29,17.16,40,23.67,68,40.24,32,18.93,08006
8,7,124,29,23.39,27,21.77,57,45.97,11,8.87,08007
8,8,203,50,24.63,44,21.67,81,39.9,28,13.79,08008
8,9,187,47,25.13,26,13.9,89,47.59,25,13.37,08009
8,10,233,57,24.46,40,17.17,106,45.49,30,12.88,08010
8,11,130,22,16.92,30,23.08,54,41.54,24,18.46,08011
8,12,117,37,31.62,28,23.93,39,33.33,13,11.11,08012
8,13,98,24,24.49,18,18.37,43,43.88,13,13.27,08013
8,14,81,16,19.75,14,17.28,37,45.68,14,17.28,08014
8,15,111,29,26.13,14,12.61,50,45.05,18,16.22,08015
8,16,186,48,25.81,31,16.67,89,47.85,18,9.68,08016
8,17,136,36,26.47,26,19.12,59,43.38,15,11.03,08017
8,18,72,20,27.78,11,15.28,26,36.11,15,20.83,08018
8,19,207,44,21.26,35,16.91,95,45.89,33,15.94,08019
8,20,121,39,32.23,21,17.36,49,40.5,12,9.92,08020
8,21,122,33,27.05,31,25.41,43,35.25,15,12.3,08021
8,22,117,21,17.95,27,23.08,48,41.03,21,17.95,08022
8,23,125,33,26.4,25,20.0,59,47.2,8,6.4,08023
8,24,161,42,26.09,36,22.36,54,33.54,29,18.01,08024
8,25,127,30,23.62,14,11.02,57,44.88,26,20.47,08025
8,26,100,31,31.0,11,11.0,44,44.0,14,14.0,08026
8,27,163,38,23.31,34,20.86,60,36.81,31,19.02,08027
8,28,109,24,22.02,21,19.27,48,44.04,16,14.68,08028
8,29,149,32,21.48,33,22.15,66,44.3,18,12.08,08029
