ward,precinct,total,Darlena Williams-Burnett,Darlena Williams-Burnett Percent,Karen A. Yarbrough,Karen A. Yarbrough Percent,precinct_id
3,18,64,43,67.19,21,32.81,03018
3,20,59,44,74.58,15,25.42,03020
3,21,45,32,71.11,13,28.89,03021
3,22,71,53,74.65,18,25.35,03022
3,23,94,57,60.64,37,39.36,03023
3,24,154,99,64.29,55,35.71,03024
3,25,73,58,79.45,15,20.55,03025
3,26,38,26,68.42,12,31.58,03026
3,27,126,85,67.46,41,32.54,03027
3,28,189,76,40.21,113,59.79,03028
3,29,127,100,78.74,27,21.26,03029
3,31,196,154,78.57,42,21.43,03031
3,32,87,53,60.92,34,39.08,03032
3,33,168,126,75.0,42,25.0,03033
3,35,135,88,65.19,47,34.81,03035
3,36,36,22,61.11,14,38.89,03036
3,37,57,39,68.42,18,31.58,03037
3,39,214,146,68.22,68,31.78,03039
3,40,134,105,78.36,29,21.64,03040
3,42,78,55,70.51,23,29.49,03042
3,43,17,15,88.24,2,11.76,03043
3,45,158,108,68.35,50,31.65,03045
3,46,14,11,78.57,3,21.43,03046
3,47,86,64,74.42,22,25.58,03047
3,48,75,61,81.33,14,18.67,03048
3,49,29,20,68.97,9,31.03,03049
3,50,70,51,72.86,19,27.14,03050
4,4,148,108,72.97,40,27.03,04004
4,5,217,153,70.51,64,29.49,04005
4,6,79,58,73.42,21,26.58,04006
4,7,200,133,66.5,67,33.5,04007
4,10,177,116,65.54,61,34.46,04010
4,11,123,81,65.85,42,34.15,04011
4,14,102,66,64.71,36,35.29,04014
4,15,131,75,57.25,56,42.75,04015
4,25,198,129,65.15,69,34.85,04025
4,27,133,88,66.17,45,33.83,04027
4,30,144,86,59.72,58,40.28,04030
4,35,88,56,63.64,32,36.36,04035
4,36,113,68,60.18,45,39.82,04036
4,42,178,112,62.92,66,37.08,04042
11,14,84,37,44.05,47,55.95,11014
11,27,78,40,51.28,38,48.72,11027
11,28,96,48,50.0,48,50.0,11028
11,31,0,0,0.0,0,0.0,11031
11,34,32,22,68.75,10,31.25,11034
11,36,29,16,55.17,13,44.83,11036
11,46,59,41,69.49,18,30.51,11046
12,1,6,4,66.67,2,33.33,12001
12,6,25,15,60.0,10,40.0,12006
12,18,16,13,81.25,3,18.75,12018
16,15,105,71,67.62,34,32.38,16015
16,16,79,58,73.42,21,26.58,16016
16,18,84,60,71.43,24,28.57,16018
16,20,67,53,79.1,14,20.9,16020
16,22,85,63,74.12,22,25.88,16022
16,29,50,38,76.0,12,24.0,16029
16,30,63,46,73.02,17,26.98,16030
16,33,76,56,73.68,20,26.32,16033
20,27,78,57,73.08,21,26.92,20027
20,31,136,74,54.41,62,45.59,20031
20,40,87,65,74.71,22,25.29,20040
20,45,47,32,68.09,15,31.91,20045
20,48,45,31,68.89,14,31.11,20048
22,7,111,60,54.05,51,45.95,22007
22,18,2,2,100.0,0,0.0,22018
22,19,59,41,69.49,18,30.51,22019
22,21,112,50,44.64,62,55.36,22021
24,1,135,91,67.41,44,32.59,24001
24,2,64,37,57.81,27,42.19,24002
24,3,97,61,62.89,36,37.11,24003
24,4,95,59,62.11,36,37.89,24004
24,5,76,51,67.11,25,32.89,24005
24,6,115,69,60.0,46,40.0,24006
24,7,86,53,61.63,33,38.37,24007
24,8,80,49,61.25,31,38.75,24008
24,9,78,47,60.26,31,39.74,24009
24,10,95,58,61.05,37,38.95,24010
24,11,58,36,62.07,22,37.93,24011
24,12,77,53,68.83,24,31.17,24012
24,13,99,66,66.67,33,33.33,24013
24,14,119,77,64.71,42,35.29,24014
24,15,85,52,61.18,33,38.82,24015
24,16,65,44,67.69,21,32.31,24016
24,17,78,53,67.95,25,32.05,24017
24,18,68,45,66.18,23,33.82,24018
24,19,66,37,56.06,29,43.94,24019
24,20,103,74,71.84,29,28.16,24020
24,21,44,28,63.64,16,36.36,24021
24,22,98,69,70.41,29,29.59,24022
24,23,79,57,72.15,22,27.85,24023
24,24,54,38,70.37,16,29.63,24024
24,25,107,68,63.55,39,36.45,24025
24,26,98,66,67.35,32,32.65,24026
24,27,59,39,66.1,20,33.9,24027
24,28,124,80,64.52,44,35.48,24028
24,29,106,67,63.21,39,36.79,24029
24,30,79,51,64.56,28,35.44,24030
24,31,83,52,62.65,31,37.35,24031
24,32,85,64,75.29,21,24.71,24032
24,33,76,52,68.42,24,31.58,24033
24,34,112,70,62.5,42,37.5,24034
24,35,126,79,62.7,47,37.3,24035
24,36,83,50,60.24,33,39.76,24036
24,37,122,80,65.57,42,34.43,24037
24,38,126,84,66.67,42,33.33,24038
24,39,83,48,57.83,35,42.17,24039
24,40,141,87,61.7,54,38.3,24040
24,41,84,50,59.52,34,40.48,24041
24,42,71,48,67.61,23,32.39,24042
24,43,125,83,66.4,42,33.6,24043
24,44,103,80,77.67,23,22.33,24044
24,45,83,43,51.81,40,48.19,24045
24,46,119,58,48.74,61,51.26,24046
24,47,80,53,66.25,27,33.75,24047
24,48,51,29,56.86,22,43.14,24048
24,49,180,112,62.22,68,37.78,24049
24,50,153,99,64.71,54,35.29,24050
24,51,131,84,64.12,47,35.88,24051
24,52,81,57,70.37,24,29.63,24052
24,54,108,60,55.56,48,44.44,24054
24,55,81,55,67.9,26,32.1,24055
24,56,129,82,63.57,47,36.43,24056
25,3,94,45,47.87,49,52.13,25003
25,4,135,70,51.85,65,48.15,25004
25,5,7,5,71.43,2,28.57,25005
25,6,12,6,50.0,6,50.0,25006
25,8,0,0,0.0,0,0.0,25008
25,10,65,31,47.69,34,52.31,25010
25,14,59,32,54.24,27,45.76,25014
25,16,54,29,53.7,25,46.3,25016
25,18,132,83,62.88,49,37.12,25018
25,21,95,36,37.89,59,62.11,25021
25,25,90,40,44.44,50,55.56,25025
25,26,70,25,35.71,45,64.29,25026
25,27,78,37,47.44,41,52.56,25027
25,28,148,61,41.22,87,58.78,25028
25,29,202,108,53.47,94,46.53,25029
26,17,40,14,35.0,26,65.0,26017
26,28,1,1,100.0,0,0.0,26028
26,33,24,13,54.17,11,45.83,26033
26,46,68,18,26.47,50,73.53,26046
27,1,111,42,37.84,69,62.16,27001
27,2,73,53,72.6,20,27.4,27002
27,3,73,54,73.97,19,26.03,27003
27,4,55,43,78.18,12,21.82,27004
27,5,39,25,64.1,14,35.9,27005
27,6,34,25,73.53,9,26.47,27006
27,7,89,49,55.06,40,44.94,27007
27,8,96,63,65.63,33,34.38,27008
27,9,169,127,75.15,42,24.85,27009
27,10,206,159,77.18,47,22.82,27010
27,11,105,65,61.9,40,38.1,27011
27,12,110,64,58.18,46,41.82,27012
27,14,116,89,76.72,27,23.28,27014
27,15,66,43,65.15,23,34.85,27015
27,16,30,14,46.67,16,53.33,27016
27,17,82,37,45.12,45,54.88,27017
27,18,47,20,42.55,27,57.45,27018
27,19,86,57,66.28,29,33.72,27019
27,20,97,84,86.6,13,13.4,27020
27,21,72,61,84.72,11,15.28,27021
27,22,94,82,87.23,12,12.77,27022
27,23,19,13,68.42,6,31.58,27023
27,24,75,65,86.67,10,13.33,27024
27,25,60,46,76.67,14,23.33,27025
27,26,126,90,71.43,36,28.57,27026
27,27,105,85,80.95,20,19.05,27027
27,28,125,84,67.2,41,32.8,27028
27,29,64,49,76.56,15,23.44,27029
27,30,45,35,77.78,10,22.22,27030
27,31,72,52,72.22,20,27.78,27031
27,33,93,76,81.72,17,18.28,27033
27,34,95,78,82.11,17,17.89,27034
27,36,127,100,78.74,27,21.26,27036
27,37,155,126,81.29,29,18.71,27037
27,39,37,30,81.08,7,18.92,27039
27,40,82,66,80.49,16,19.51,27040
27,42,52,26,50.0,26,50.0,27042
27,43,66,54,81.82,12,18.18,27043
27,44,81,60,74.07,21,25.93,27044
27,45,91,73,80.22,18,19.78,27045
27,46,100,77,77.0,23,23.0,27046
27,47,69,47,68.12,22,31.88,27047
27,48,134,100,74.63,34,25.37,27048
27,49,98,65,66.33,33,33.67,27049
27,50,95,44,46.32,51,53.68,27050
27,51,14,13,92.86,1,7.14,27051
27,52,75,59,78.67,16,21.33,27052
27,53,79,57,72.15,22,27.85,27053
27,54,87,37,42.53,50,57.47,27054
27,55,83,62,74.7,21,25.3,27055
27,57,55,22,40.0,33,60.0,27057
27,58,28,14,50.0,14,50.0,27058
28,1,89,51,57.3,38,42.7,28001
28,2,119,90,75.63,29,24.37,28002
28,3,66,53,80.3,13,19.7,28003
28,4,102,52,50.98,50,49.02,28004
28,5,70,48,68.57,22,31.43,28005
28,6,64,35,54.69,29,45.31,28006
28,7,79,42,53.16,37,46.84,28007
28,8,85,37,43.53,48,56.47,28008
28,9,74,42,56.76,32,43.24,28009
28,10,27,14,51.85,13,48.15,28010
28,11,61,37,60.66,24,39.34,28011
28,12,58,31,53.45,27,46.55,28012
28,13,32,17,53.13,15,46.88,28013
28,14,53,33,62.26,20,37.74,28014
28,15,88,46,52.27,42,47.73,28015
28,16,71,38,53.52,33,46.48,28016
28,17,89,43,48.31,46,51.69,28017
28,18,116,65,56.03,51,43.97,28018
28,19,102,53,51.96,49,48.04,28019
28,20,102,74,72.55,28,27.45,28020
28,21,118,81,68.64,37,31.36,28021
28,22,78,53,67.95,25,32.05,28022
28,23,77,55,71.43,22,28.57,28023
28,24,54,32,59.26,22,40.74,28024
28,25,69,42,60.87,27,39.13,28025
28,26,87,33,37.93,54,62.07,28026
28,27,102,51,50.0,51,50.0,28027
28,28,48,33,68.75,15,31.25,28028
28,30,64,49,76.56,15,23.44,28030
28,31,62,43,69.35,19,30.65,28031
28,32,82,52,63.41,30,36.59,28032
28,33,111,63,56.76,48,43.24,28033
28,35,67,48,71.64,19,28.36,28035
28,36,61,41,67.21,20,32.79,28036
28,37,154,83,53.9,71,46.1,28037
28,39,85,42,49.41,43,50.59,28039
28,40,129,72,55.81,57,44.19,28040
28,41,84,42,50.0,42,50.0,28041
28,42,64,33,51.56,31,48.44,28042
28,43,134,64,47.76,70,52.24,28043
28,44,126,73,57.94,53,42.06,28044
28,45,91,45,49.45,46,50.55,28045
28,46,90,54,60.0,36,40.0,28046
28,47,115,61,53.04,54,46.96,28047
28,48,44,18,40.91,26,59.09,28048
28,49,43,15,34.88,28,65.12,28049
28,50,54,33,61.11,21,38.89,28050
28,51,85,57,67.06,28,32.94,28051
28,52,71,50,70.42,21,29.58,28052
28,53,52,16,30.77,36,69.23,28053
28,54,63,41,65.08,22,34.92,28054
28,55,73,35,47.95,38,52.05,28055
28,56,79,49,62.03,30,37.97,28056
28,57,103,57,55.34,46,44.66,28057
28,58,83,43,51.81,40,48.19,28058
28,59,78,43,55.13,35,44.87,28059
28,60,54,25,46.3,29,53.7,28060
28,61,44,28,63.64,16,36.36,28061
29,1,213,65,30.52,148,69.48,29001
29,3,193,75,38.86,118,61.14,29003
29,4,139,61,43.88,78,56.12,29004
29,5,121,58,47.93,63,52.07,29005
29,7,0,0,0.0,0,0.0,29007
29,8,83,35,42.17,48,57.83,29008
29,11,135,50,37.04,85,62.96,29011
29,12,171,73,42.69,98,57.31,29012
29,13,134,50,37.31,84,62.69,29013
29,14,153,53,34.64,100,65.36,29014
29,15,180,75,41.67,105,58.33,29015
29,16,212,36,16.98,176,83.02,29016
29,17,102,56,54.9,46,45.1,29017
29,18,152,68,44.74,84,55.26,29018
29,19,184,41,22.28,143,77.72,29019
29,20,154,51,33.12,103,66.88,29020
29,21,96,40,41.67,56,58.33,29021
29,22,102,49,48.04,53,51.96,29022
29,23,118,40,33.9,78,66.1,29023
29,25,127,40,31.5,87,68.5,29025
29,26,106,40,37.74,66,62.26,29026
29,27,74,23,31.08,51,68.92,29027
29,28,146,71,48.63,75,51.37,29028
29,29,152,45,29.61,107,70.39,29029
29,31,131,61,46.56,70,53.44,29031
29,33,134,70,52.24,64,47.76,29033
29,34,87,41,47.13,46,52.87,29034
29,35,91,46,50.55,45,49.45,29035
29,36,160,79,49.38,81,50.63,29036
29,37,118,77,65.25,41,34.75,29037
29,38,125,58,46.4,67,53.6,29038
29,40,172,83,48.26,89,51.74,29040
29,41,158,63,39.87,95,60.13,29041
29,42,142,62,43.66,80,56.34,29042
29,43,159,70,44.03,89,55.97,29043
29,44,110,57,51.82,53,48.18,29044
29,45,102,53,51.96,49,48.04,29045
29,46,114,65,57.02,49,42.98,29046
29,47,172,62,36.05,110,63.95,29047
29,48,109,58,53.21,51,46.79,29048
29,49,172,97,56.4,75,43.6,29049
32,1,81,20,24.69,61,75.31,32001
32,6,98,40,40.82,58,59.18,32006
32,12,27,10,37.04,17,62.96,32012
32,17,24,5,20.83,19,79.17,32017
32,26,81,28,34.57,53,65.43,32026
32,37,0,0,0.0,0,0.0,32037
32,46,18,7,38.89,11,61.11,32046
32,50,93,18,19.35,75,80.65,32050
32,51,91,24,26.37,67,73.63,32051
36,23,79,33,41.77,46,58.23,36023
36,24,131,77,58.78,54,41.22,36024
36,44,111,53,47.75,58,52.25,36044
36,54,142,64,45.07,78,54.93,36054
37,2,98,69,70.41,29,29.59,37002
37,3,53,43,81.13,10,18.87,37003
37,4,126,83,65.87,43,34.13,37004
37,5,142,88,61.97,54,38.03,37005
37,6,126,84,66.67,42,33.33,37006
37,7,137,90,65.69,47,34.31,37007
37,8,81,54,66.67,27,33.33,37008
37,9,114,68,59.65,46,40.35,37009
37,10,129,76,58.91,53,41.09,37010
37,12,69,40,57.97,29,42.03,37012
37,13,102,74,72.55,28,27.45,37013
37,14,177,98,55.37,79,44.63,37014
37,15,130,80,61.54,50,38.46,37015
37,16,110,67,60.91,43,39.09,37016
37,17,123,71,57.72,52,42.28,37017
37,18,135,69,51.11,66,48.89,37018
37,20,100,63,63.0,37,37.0,37020
37,21,124,80,64.52,44,35.48,37021
37,22,69,45,65.22,24,34.78,37022
37,23,93,51,54.84,42,45.16,37023
37,24,121,74,61.16,47,38.84,37024
37,25,149,84,56.38,65,43.62,37025
37,26,145,85,58.62,60,41.38,37026
37,27,117,73,62.39,44,37.61,37027
37,28,118,87,73.73,31,26.27,37028
37,29,126,67,53.17,59,46.83,37029
37,30,73,47,64.38,26,35.62,37030
37,31,148,79,53.38,69,46.62,37031
37,32,115,73,63.48,42,36.52,37032
37,33,101,65,64.36,36,35.64,37033
37,34,123,72,58.54,51,41.46,37034
37,35,138,90,65.22,48,34.78,37035
37,36,126,68,53.97,58,46.03,37036
37,37,111,71,63.96,40,36.04,37037
37,38,111,58,52.25,53,47.75,37038
37,40,131,76,58.02,55,41.98,37040
37,41,134,69,51.49,65,48.51,37041
37,42,65,32,49.23,33,50.77,37042
37,43,100,68,68.0,32,32.0,37043
42,1,123,47,38.21,76,61.79,42001
42,2,80,34,42.5,46,57.5,42002
42,3,84,36,42.86,48,57.14,42003
42,4,106,53,50.0,53,50.0,42004
42,5,92,26,28.26,66,71.74,42005
42,6,229,113,49.34,116,50.66,42006
42,7,92,33,35.87,59,64.13,42007
42,8,130,50,38.46,80,61.54,42008
42,9,201,76,37.81,125,62.19,42009
42,10,67,26,38.81,41,61.19,42010
42,11,109,44,40.37,65,59.63,42011
42,12,76,28,36.84,48,63.16,42012
42,13,207,74,35.75,133,64.25,42013
42,14,86,38,44.19,48,55.81,42014
42,15,135,61,45.19,74,54.81,42015
42,16,45,21,46.67,24,53.33,42016
42,17,209,97,46.41,112,53.59,42017
42,18,172,65,37.79,107,62.21,42018
42,19,22,10,45.45,12,54.55,42019
42,20,56,34,60.71,22,39.29,42020
42,21,69,27,39.13,42,60.87,42021
42,22,55,22,40.0,33,60.0,42022
42,23,121,37,30.58,84,69.42,42023
42,24,104,49,47.12,55,52.88,42024
42,25,82,25,30.49,57,69.51,42025
42,26,128,90,70.31,38,29.69,42026
42,27,143,59,41.26,84,58.74,42027
42,28,109,31,28.44,78,71.56,42028
42,29,92,33,35.87,59,64.13,42029
42,30,58,23,39.66,35,60.34,42030
42,31,68,23,33.82,45,66.18,42031
42,32,78,27,34.62,51,65.38,42032
42,33,164,63,38.41,101,61.59,42033
42,34,105,46,43.81,59,56.19,42034
42,35,85,39,45.88,46,54.12,42035
42,36,62,35,56.45,27,43.55,42036
42,37,58,20,34.48,38,65.52,42037
42,38,69,26,37.68,43,62.32,42038
42,39,69,42,60.87,27,39.13,42039
42,40,106,33,31.13,73,68.87,42040
42,41,120,48,40.0,72,60.0,42041
42,42,55,23,41.82,32,58.18,42042
42,43,100,27,27.0,73,73.0,42043
42,44,77,29,37.66,48,62.34,42044
42,45,109,46,42.2,63,57.8,42045
42,46,53,21,39.62,32,60.38,42046
42,47,60,18,30.0,42,70.0,42047
42,48,89,33,37.08,56,62.92,42048
42,49,39,25,64.1,14,35.9,42049
42,50,126,45,35.71,81,64.29,42050
42,51,168,74,44.05,94,55.95,42051
42,52,47,21,44.68,26,55.32,42052
42,53,135,64,47.41,71,52.59,42053
42,54,72,39,54.17,33,45.83,42054
42,55,91,41,45.05,50,54.95,42055
42,56,102,32,31.37,70,68.63,42056
42,57,65,33,50.77,32,49.23,42057
42,58,47,16,34.04,31,65.96,42058
42,59,101,40,39.6,61,60.4,42059
42,60,32,21,65.63,11,34.38,42060
42,61,46,21,45.65,25,54.35,42061
42,62,57,20,35.09,37,64.91,42062
42,63,108,33,30.56,75,69.44,42063
42,64,43,21,48.84,22,51.16,42064
42,65,91,26,28.57,65,71.43,42065
42,66,88,48,54.55,40,45.45,42066
42,67,148,48,32.43,100,67.57,42067
42,68,90,34,37.78,56,62.22,42068
42,69,69,37,53.62,32,46.38,42069
43,1,142,72,50.7,70,49.3,43001
43,3,101,26,25.74,75,74.26,43003
43,4,127,53,41.73,74,58.27,43004
43,5,98,33,33.67,65,66.33,43005
43,9,64,23,35.94,41,64.06,43009
43,10,84,30,35.71,54,64.29,43010
43,11,63,18,28.57,45,71.43,43011
43,13,50,20,40.0,30,60.0,43013
43,15,82,23,28.05,59,71.95,43015
43,16,101,40,39.6,61,60.4,43016
43,18,115,37,32.17,78,67.83,43018
43,19,71,23,32.39,48,67.61,43019
43,23,68,27,39.71,41,60.29,43023
43,24,94,38,40.43,56,59.57,43024
43,25,114,59,51.75,55,48.25,43025
43,26,88,30,34.09,58,65.91,43026
43,28,130,37,28.46,93,71.54,43028
43,30,59,22,37.29,37,62.71,43030
43,35,117,41,35.04,76,64.96,43035
43,36,77,35,45.45,42,54.55,43036
43,37,81,38,46.91,43,53.09,43037
43,39,66,24,36.36,42,63.64,43039
43,40,48,19,39.58,29,60.42,43040
43,41,63,19,30.16,44,69.84,43041
43,42,82,30,36.59,52,63.41,43042
43,46,101,42,41.58,59,58.42,43046
43,47,106,52,49.06,54,50.94,43047
43,49,91,28,30.77,63,69.23,43049
43,51,140,72,51.43,68,48.57,43051
43,52,56,22,39.29,34,60.71,43052
43,54,74,38,51.35,36,48.65,43054
43,55,115,73,63.48,42,36.52,43055
