ward,precinct,total,Heather A. Steans,Heather A. Steans Percent,Jim Madigan,Jim Madigan Percent,precinct_id
49,26,126,76,60.32,50,39.68,49026
49,27,157,105,66.88,52,33.12,49027
49,29,138,100,72.46,38,27.54,49029
49,31,113,78,69.03,35,30.97,49031
49,32,94,68,72.34,26,27.66,49032
49,33,111,80,72.07,31,27.93,49033
49,36,204,142,69.61,62,30.39,49036
49,37,180,128,71.11,52,28.89,49037
49,39,101,66,65.35,35,34.65,49039
49,42,127,84,66.14,43,33.86,49042
50,34,18,11,61.11,7,38.89,50034
