ward,precinct,total,Allen F. Murphy,Allen F. Murphy Percent,Peter M. Kramer,Peter M. Kramer Percent,Thomas G. O'Brien,Thomas G. O'Brien Percent,Steven G. Watkins,Steven G. Watkins Percent,Charles Francis Fitzgerald,Charles Francis Fitzgerald Percent,precinct_id
14,4,100,42,42.0,5,5.0,22,22.0,4,4.0,15,15.0,14004
14,6,127,49,38.58,7,5.51,23,18.11,6,4.72,13,10.24,14006
14,9,162,83,51.23,9,5.56,27,16.67,6,3.7,16,9.88,14009
14,13,178,70,39.33,17,9.55,31,17.42,6,3.37,31,17.42,14013
14,25,140,53,37.86,16,11.43,35,25.0,2,1.43,13,9.29,14025
14,27,172,65,37.79,10,5.81,46,26.74,5,2.91,23,13.37,14027
14,28,139,63,45.32,11,7.91,24,17.27,3,2.16,15,10.79,14028
15,1,79,20,25.32,4,5.06,23,29.11,7,8.86,14,17.72,15001
15,8,88,22,25.0,8,9.09,14,15.91,23,26.14,4,4.55,15008
15,10,68,11,16.18,6,8.82,12,17.65,6,8.82,10,14.71,15010
15,14,93,16,17.2,10,10.75,25,26.88,5,5.38,14,15.05,15014
15,16,63,9,14.29,3,4.76,15,23.81,5,7.94,13,20.63,15016
15,28,92,18,19.57,8,8.7,30,32.61,5,5.43,9,9.78,15028
15,34,8,1,12.5,1,12.5,3,37.5,1,12.5,1,12.5,15034
15,41,106,20,18.87,7,6.6,23,21.7,29,27.36,16,15.09,15041
15,46,20,5,25.0,0,0.0,6,30.0,2,10.0,3,15.0,15046
15,51,36,7,19.44,9,25.0,9,25.0,4,11.11,4,11.11,15051
16,17,88,14,15.91,7,7.95,26,29.55,11,12.5,8,9.09,16017
16,39,75,14,18.67,7,9.33,22,29.33,7,9.33,10,13.33,16039
17,11,100,23,23.0,6,6.0,21,21.0,24,24.0,11,11.0,17011
17,32,91,27,29.67,10,10.99,16,17.58,15,16.48,10,10.99,17032
17,40,70,21,30.0,4,5.71,16,22.86,10,14.29,9,12.86,17040
17,56,97,26,26.8,7,7.22,19,19.59,28,28.87,7,7.22,17056
17,57,111,33,29.73,5,4.5,23,20.72,35,31.53,7,6.31,17057
17,58,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17058
17,59,51,12,23.53,0,0.0,15,29.41,11,21.57,4,7.84,17059
17,60,123,28,22.76,12,9.76,18,14.63,34,27.64,12,9.76,17060
17,61,88,24,27.27,9,10.23,15,17.05,25,28.41,10,11.36,17061
17,62,57,21,36.84,4,7.02,8,14.04,11,19.3,8,14.04,17062
17,63,43,11,25.58,8,18.6,10,23.26,7,16.28,4,9.3,17063
17,64,62,14,22.58,5,8.06,17,27.42,15,24.19,4,6.45,17064
18,1,67,22,32.84,6,8.96,5,7.46,14,20.9,7,10.45,18001
18,2,132,25,18.94,17,12.88,16,12.12,35,26.52,16,12.12,18002
18,3,127,29,22.83,13,10.24,23,18.11,21,16.54,33,25.98,18003
18,4,160,37,23.13,21,13.13,20,12.5,40,25.0,16,10.0,18004
18,5,101,36,35.64,7,6.93,21,20.79,19,18.81,10,9.9,18005
18,6,125,27,21.6,10,8.0,20,16.0,20,16.0,28,22.4,18006
18,7,116,26,22.41,8,6.9,23,19.83,25,21.55,13,11.21,18007
18,8,64,18,28.13,9,14.06,8,12.5,10,15.63,15,23.44,18008
18,9,175,35,20.0,19,10.86,19,10.86,56,32.0,24,13.71,18009
18,10,255,54,21.18,25,9.8,29,11.37,66,25.88,35,13.73,18010
18,11,124,32,25.81,10,8.06,25,20.16,25,20.16,17,13.71,18011
18,12,196,40,20.41,21,10.71,27,13.78,69,35.2,23,11.73,18012
18,13,148,38,25.68,14,9.46,23,15.54,28,18.92,23,15.54,18013
18,14,170,40,23.53,11,6.47,21,12.35,54,31.76,17,10.0,18014
18,15,73,19,26.03,6,8.22,13,17.81,10,13.7,7,9.59,18015
18,16,144,43,29.86,14,9.72,12,8.33,37,25.69,20,13.89,18016
18,17,118,28,23.73,15,12.71,17,14.41,12,10.17,31,26.27,18017
18,18,154,43,27.92,16,10.39,25,16.23,44,28.57,13,8.44,18018
18,19,188,58,30.85,16,8.51,34,18.09,54,28.72,11,5.85,18019
18,21,203,50,24.63,22,10.84,23,11.33,48,23.65,25,12.32,18021
18,22,169,35,20.71,24,14.2,18,10.65,57,33.73,14,8.28,18022
18,23,111,30,27.03,7,6.31,21,18.92,22,19.82,12,10.81,18023
18,26,124,27,21.77,14,11.29,11,8.87,41,33.06,13,10.48,18026
18,27,119,31,26.05,18,15.13,16,13.45,24,20.17,14,11.76,18027
18,28,151,29,19.21,8,5.3,30,19.87,6,3.97,64,42.38,18028
18,29,134,42,31.34,15,11.19,17,12.69,22,16.42,25,18.66,18029
18,31,99,21,21.21,8,8.08,15,15.15,21,21.21,17,17.17,18031
18,32,209,58,27.75,19,9.09,31,14.83,55,26.32,14,6.7,18032
18,33,118,32,27.12,10,8.47,23,19.49,24,20.34,14,11.86,18033
18,34,251,55,21.91,26,10.36,32,12.75,87,34.66,29,11.55,18034
18,35,210,42,20.0,29,13.81,20,9.52,70,33.33,25,11.9,18035
18,36,100,30,30.0,6,6.0,21,21.0,15,15.0,9,9.0,18036
18,37,131,30,22.9,13,9.92,18,13.74,38,29.01,14,10.69,18037
18,39,102,22,21.57,17,16.67,9,8.82,21,20.59,7,6.86,18039
18,40,185,47,25.41,26,14.05,25,13.51,55,29.73,10,5.41,18040
18,41,147,24,16.33,21,14.29,18,12.24,24,16.33,44,29.93,18041
18,42,83,23,27.71,4,4.82,11,13.25,18,21.69,9,10.84,18042
18,43,75,13,17.33,6,8.0,16,21.33,12,16.0,13,17.33,18043
18,44,84,27,32.14,11,13.1,16,19.05,11,13.1,5,5.95,18044
18,47,95,18,18.95,9,9.47,13,13.68,30,31.58,16,16.84,18047
18,48,87,20,22.99,8,9.2,17,19.54,3,3.45,23,26.44,18048
18,49,91,20,21.98,9,9.89,19,20.88,22,24.18,13,14.29,18049
18,50,119,24,20.17,14,11.76,19,15.97,28,23.53,21,17.65,18050
18,54,149,32,21.48,9,6.04,18,12.08,47,31.54,22,14.77,18054
18,55,149,38,25.5,18,12.08,43,28.86,13,8.72,28,18.79,18055
18,56,85,26,30.59,5,5.88,14,16.47,14,16.47,10,11.76,18056
18,57,91,21,23.08,11,12.09,20,21.98,15,16.48,12,13.19,18057
18,58,98,26,26.53,12,12.24,18,18.37,22,22.45,6,6.12,18058
18,59,123,35,28.46,7,5.69,27,21.95,29,23.58,11,8.94,18059
18,62,95,24,25.26,9,9.47,15,15.79,12,12.63,11,11.58,18062
19,1,273,97,35.53,54,19.78,66,24.18,11,4.03,41,15.02,19001
19,2,215,63,29.3,21,9.77,28,13.02,60,27.91,29,13.49,19002
19,3,175,81,46.29,21,12.0,30,17.14,10,5.71,27,15.43,19003
19,4,212,111,52.36,19,8.96,35,16.51,8,3.77,32,15.09,19004
19,5,256,56,21.88,58,22.66,22,8.59,65,25.39,27,10.55,19005
19,6,194,75,38.66,22,11.34,39,20.1,10,5.15,37,19.07,19006
19,7,262,88,33.59,42,16.03,27,10.31,16,6.11,78,29.77,19007
19,8,153,63,41.18,12,7.84,38,24.84,3,1.96,33,21.57,19008
19,9,150,54,36.0,19,12.67,43,28.67,12,8.0,17,11.33,19009
19,10,320,76,23.75,71,22.19,42,13.13,81,25.31,32,10.0,19010
19,11,232,101,43.53,17,7.33,47,20.26,10,4.31,47,20.26,19011
19,12,181,86,47.51,22,12.15,30,16.57,3,1.66,34,18.78,19012
19,13,142,20,14.08,9,6.34,24,16.9,55,38.73,14,9.86,19013
19,14,135,53,39.26,18,13.33,27,20.0,2,1.48,31,22.96,19014
19,15,155,58,37.42,13,8.39,35,22.58,2,1.29,39,25.16,19015
19,16,258,133,51.55,24,9.3,44,17.05,10,3.88,38,14.73,19016
19,17,252,77,30.56,27,10.71,65,25.79,10,3.97,64,25.4,19017
19,18,307,55,17.92,134,43.65,28,9.12,59,19.22,22,7.17,19018
19,19,234,62,26.5,33,14.1,38,16.24,61,26.07,31,13.25,19019
19,20,207,39,18.84,28,13.53,26,12.56,69,33.33,23,11.11,19020
19,21,159,51,32.08,10,6.29,39,24.53,5,3.14,47,29.56,19021
19,22,246,71,28.86,26,10.57,32,13.01,56,22.76,43,17.48,19022
19,23,264,99,37.5,38,14.39,52,19.7,16,6.06,48,18.18,19023
19,24,191,85,44.5,22,11.52,41,21.47,9,4.71,26,13.61,19024
19,25,269,83,30.86,45,16.73,46,17.1,43,15.99,31,11.52,19025
19,26,261,70,26.82,37,14.18,58,22.22,42,16.09,43,16.48,19026
19,27,144,28,19.44,9,6.25,15,10.42,58,40.28,15,10.42,19027
19,28,213,51,23.94,19,8.92,29,13.62,64,30.05,23,10.8,19028
19,29,153,60,39.22,9,5.88,32,20.92,8,5.23,34,22.22,19029
19,30,190,78,41.05,28,14.74,53,27.89,2,1.05,21,11.05,19030
19,31,243,76,31.28,28,11.52,35,14.4,42,17.28,50,20.58,19031
19,32,246,75,30.49,45,18.29,44,17.89,9,3.66,67,27.24,19032
19,33,226,113,50.0,17,7.52,40,17.7,14,6.19,33,14.6,19033
19,34,265,111,41.89,26,9.81,37,13.96,39,14.72,39,14.72,19034
19,35,251,101,40.24,34,13.55,36,14.34,40,15.94,26,10.36,19035
19,36,245,38,15.51,21,8.57,31,12.65,104,42.45,26,10.61,19036
19,37,233,66,28.33,22,9.44,32,13.73,67,28.76,21,9.01,19037
19,38,220,43,19.55,15,6.82,28,12.73,102,46.36,16,7.27,19038
19,39,73,12,16.44,5,6.85,13,17.81,17,23.29,12,16.44,19039
19,40,237,64,27.0,30,12.66,23,9.7,36,15.19,66,27.85,19040
19,41,161,56,34.78,15,9.32,40,24.84,5,3.11,35,21.74,19041
19,42,209,44,21.05,29,13.88,32,15.31,52,24.88,19,9.09,19042
19,43,207,35,16.91,15,7.25,29,14.01,80,38.65,21,10.14,19043
19,44,189,82,43.39,13,6.88,41,21.69,9,4.76,38,20.11,19044
19,45,246,90,36.59,35,14.23,55,22.36,10,4.07,39,15.85,19045
19,46,312,98,31.41,47,15.06,75,24.04,17,5.45,69,22.12,19046
19,47,163,64,39.26,11,6.75,17,10.43,44,26.99,11,6.75,19047
19,48,152,23,15.13,11,7.24,19,12.5,69,45.39,7,4.61,19048
19,49,257,64,24.9,13,5.06,26,10.12,74,28.79,43,16.73,19049
19,50,146,33,22.6,15,10.27,25,17.12,42,28.77,13,8.9,19050
19,51,162,45,27.78,17,10.49,43,26.54,1,0.62,50,30.86,19051
19,52,151,51,33.77,8,5.3,37,24.5,6,3.97,41,27.15,19052
19,53,241,59,24.48,67,27.8,49,20.33,23,9.54,33,13.69,19053
19,54,129,39,30.23,18,13.95,33,25.58,7,5.43,28,21.71,19054
19,55,168,74,44.05,9,5.36,37,22.02,5,2.98,39,23.21,19055
19,56,256,44,17.19,81,31.64,32,12.5,50,19.53,25,9.77,19056
19,57,246,56,22.76,45,18.29,42,17.07,48,19.51,33,13.41,19057
19,58,208,87,41.83,21,10.1,47,22.6,15,7.21,25,12.02,19058
19,59,189,70,37.04,18,9.52,43,22.75,14,7.41,32,16.93,19059
19,61,309,125,40.45,53,17.15,55,17.8,17,5.5,52,16.83,19061
19,62,220,71,32.27,33,15.0,49,22.27,9,4.09,46,20.91,19062
19,63,159,55,34.59,12,7.55,19,11.95,48,30.19,11,6.92,19063
19,64,234,42,17.95,17,7.26,27,11.54,37,15.81,100,42.74,19064
19,65,163,40,24.54,18,11.04,23,14.11,31,19.02,34,20.86,19065
19,66,161,36,22.36,16,9.94,31,19.25,33,20.5,11,6.83,19066
21,20,8,1,12.5,3,37.5,1,12.5,3,37.5,0,0.0,21020
23,1,178,87,48.88,10,5.62,35,19.66,2,1.12,29,16.29,23001
23,2,234,96,41.03,22,9.4,36,15.38,10,4.27,46,19.66,23002
23,3,162,71,43.83,16,9.88,31,19.14,7,4.32,24,14.81,23003
23,4,160,47,29.38,25,15.63,35,21.88,5,3.13,30,18.75,23004
23,5,122,35,28.69,6,4.92,27,22.13,3,2.46,20,16.39,23005
23,6,184,71,38.59,12,6.52,45,24.46,11,5.98,20,10.87,23006
23,7,165,56,33.94,24,14.55,35,21.21,8,4.85,29,17.58,23007
23,8,152,83,54.61,12,7.89,26,17.11,5,3.29,11,7.24,23008
23,9,171,38,22.22,11,6.43,50,29.24,5,2.92,20,11.7,23009
23,10,236,124,52.54,10,4.24,35,14.83,11,4.66,17,7.2,23010
23,11,190,85,44.74,15,7.89,46,24.21,5,2.63,18,9.47,23011
23,12,163,60,36.81,13,7.98,36,22.09,8,4.91,27,16.56,23012
23,13,194,61,31.44,14,7.22,43,22.16,10,5.15,50,25.77,23013
23,14,129,46,35.66,7,5.43,35,27.13,10,7.75,21,16.28,23014
23,15,139,43,30.94,11,7.91,39,28.06,8,5.76,20,14.39,23015
23,16,189,75,39.68,18,9.52,47,24.87,3,1.59,30,15.87,23016
23,17,203,85,41.87,11,5.42,46,22.66,7,3.45,31,15.27,23017
23,18,116,51,43.97,10,8.62,23,19.83,5,4.31,14,12.07,23018
23,19,146,62,42.47,5,3.42,23,15.75,5,3.42,35,23.97,23019
23,20,159,53,33.33,16,10.06,41,25.79,6,3.77,30,18.87,23020
23,21,118,41,34.75,9,7.63,22,18.64,31,26.27,3,2.54,23021
23,22,161,59,36.65,14,8.7,43,26.71,8,4.97,22,13.66,23022
23,23,148,46,31.08,6,4.05,31,20.95,7,4.73,43,29.05,23023
23,24,105,22,20.95,9,8.57,31,29.52,10,9.52,13,12.38,23024
23,25,115,34,29.57,5,4.35,37,32.17,7,6.09,10,8.7,23025
23,26,168,62,36.9,13,7.74,45,26.79,8,4.76,22,13.1,23026
23,27,144,51,35.42,9,6.25,32,22.22,7,4.86,23,15.97,23027
23,28,174,60,34.48,15,8.62,47,27.01,8,4.6,29,16.67,23028
23,29,137,30,21.9,11,8.03,33,24.09,6,4.38,12,8.76,23029
23,30,150,54,36.0,11,7.33,22,14.67,4,2.67,51,34.0,23030
23,32,191,66,34.55,23,12.04,43,22.51,13,6.81,21,10.99,23032
23,33,177,42,23.73,19,10.73,38,21.47,8,4.52,39,22.03,23033
23,34,118,37,31.36,15,12.71,22,18.64,6,5.08,17,14.41,23034
23,35,90,23,25.56,12,13.33,20,22.22,23,25.56,7,7.78,23035
23,36,208,80,38.46,16,7.69,53,25.48,5,2.4,34,16.35,23036
23,37,117,51,43.59,6,5.13,20,17.09,20,17.09,11,9.4,23037
23,38,137,43,31.39,23,16.79,32,23.36,4,2.92,28,20.44,23038
23,39,143,49,34.27,12,8.39,28,19.58,6,4.2,40,27.97,23039
23,40,158,59,37.34,14,8.86,45,28.48,3,1.9,24,15.19,23040
23,41,157,40,25.48,10,6.37,39,24.84,8,5.1,25,15.92,23041
23,42,144,46,31.94,10,6.94,20,13.89,11,7.64,49,34.03,23042
23,43,183,64,34.97,19,10.38,40,21.86,10,5.46,29,15.85,23043
23,44,193,78,40.41,9,4.66,24,12.44,10,5.18,64,33.16,23044
23,45,182,63,34.62,9,4.95,47,25.82,18,9.89,23,12.64,23045
23,46,169,65,38.46,10,5.92,44,26.04,5,2.96,27,15.98,23046
23,47,201,80,39.8,11,5.47,44,21.89,7,3.48,45,22.39,23047
23,48,147,60,40.82,12,8.16,35,23.81,9,6.12,15,10.2,23048
23,49,240,103,42.92,18,7.5,56,23.33,11,4.58,29,12.08,23049
23,50,125,32,25.6,10,8.0,29,23.2,4,3.2,19,15.2,23050
23,51,182,61,33.52,18,9.89,41,22.53,8,4.4,32,17.58,23051
23,52,207,73,35.27,15,7.25,53,25.6,14,6.76,32,15.46,23052
23,53,107,32,29.91,12,11.21,22,20.56,9,8.41,12,11.21,23053
23,54,202,62,30.69,30,14.85,43,21.29,7,3.47,41,20.3,23054
34,19,23,3,13.04,2,8.7,7,30.43,5,21.74,2,8.7,34019
34,33,67,25,37.31,5,7.46,8,11.94,19,28.36,5,7.46,34033
