ward,precinct,total,Steven J. Fruth,Steven J. Fruth Percent,Maritza Martinez,Maritza Martinez Percent,Ann Finley Collins,Ann Finley Collins Percent,Pamela McLean Meyerson,Pamela McLean Meyerson Percent,John Michael Lagattuta,John Michael Lagattuta Percent,Pamela M. Leeming,Pamela M. Leeming Percent,Lisa A. Marino,Lisa A. Marino Percent,Eugene Joseph Berkes,Eugene Joseph Berkes Percent,Kim R. Kardas,Kim R. Kardas Percent,John W. Chwarzynski,John W. Chwarzynski Percent,precinct_id
38,12,107,14,13.08,8,7.48,20,18.69,4,3.74,12,11.21,2,1.87,20,18.69,0,0.0,3,2.8,14,13.08,38012
38,13,84,8,9.52,23,27.38,13,15.48,6,7.14,7,8.33,1,1.19,12,14.29,2,2.38,3,3.57,9,10.71,38013
38,14,84,4,4.76,8,9.52,15,17.86,4,4.76,5,5.95,3,3.57,16,19.05,2,2.38,1,1.19,15,17.86,38014
38,15,75,9,12.0,4,5.33,15,20.0,4,5.33,7,9.33,2,2.67,20,26.67,0,0.0,2,2.67,7,9.33,38015
38,16,101,13,12.87,26,25.74,11,10.89,4,3.96,5,4.95,0,0.0,17,16.83,1,0.99,4,3.96,17,16.83,38016
38,17,93,9,9.68,27,29.03,10,10.75,5,5.38,4,4.3,2,2.15,16,17.2,2,2.15,0,0.0,10,10.75,38017
38,18,116,9,7.76,8,6.9,20,17.24,7,6.03,7,6.03,1,0.86,24,20.69,0,0.0,13,11.21,18,15.52,38018
38,19,114,18,15.79,14,12.28,14,12.28,4,3.51,10,8.77,2,1.75,32,28.07,0,0.0,3,2.63,9,7.89,38019
38,20,146,5,3.42,41,28.08,42,28.77,8,5.48,7,4.79,6,4.11,17,11.64,1,0.68,3,2.05,9,6.16,38020
38,21,88,3,3.41,16,18.18,14,15.91,1,1.14,6,6.82,2,2.27,21,23.86,1,1.14,0,0.0,17,19.32,38021
38,22,92,4,4.35,14,15.22,23,25.0,6,6.52,6,6.52,3,3.26,16,17.39,1,1.09,7,7.61,7,7.61,38022
38,23,84,15,17.86,13,15.48,20,23.81,6,7.14,2,2.38,4,4.76,16,19.05,0,0.0,1,1.19,4,4.76,38023
38,24,63,3,4.76,18,28.57,13,20.63,0,0.0,8,12.7,1,1.59,8,12.7,0,0.0,5,7.94,5,7.94,38024
38,25,94,6,6.38,27,28.72,23,24.47,4,4.26,6,6.38,3,3.19,14,14.89,1,1.06,1,1.06,5,5.32,38025
38,26,47,5,10.64,13,27.66,8,17.02,3,6.38,1,2.13,1,2.13,8,17.02,0,0.0,0,0.0,5,10.64,38026
38,27,59,3,5.08,16,27.12,10,16.95,3,5.08,2,3.39,0,0.0,10,16.95,0,0.0,3,5.08,9,15.25,38027
38,28,80,11,13.75,9,11.25,18,22.5,5,6.25,9,11.25,0,0.0,13,16.25,2,2.5,3,3.75,6,7.5,38028
38,29,84,13,15.48,17,20.24,15,17.86,2,2.38,2,2.38,2,2.38,10,11.9,1,1.19,5,5.95,8,9.52,38029
38,30,77,5,6.49,21,27.27,14,18.18,6,7.79,2,2.6,2,2.6,10,12.99,0,0.0,3,3.9,9,11.69,38030
38,31,97,11,11.34,28,28.87,14,14.43,4,4.12,6,6.19,4,4.12,10,10.31,1,1.03,0,0.0,9,9.28,38031
38,32,121,11,9.09,6,4.96,29,23.97,6,4.96,13,10.74,4,3.31,20,16.53,2,1.65,6,4.96,14,11.57,38032
38,33,77,6,7.79,18,23.38,18,23.38,0,0.0,2,2.6,1,1.3,12,15.58,3,3.9,2,2.6,13,16.88,38033
38,34,61,2,3.28,28,45.9,7,11.48,0,0.0,3,4.92,0,0.0,9,14.75,3,4.92,3,4.92,4,6.56,38034
38,35,111,10,9.01,30,27.03,28,25.23,6,5.41,3,2.7,2,1.8,10,9.01,5,4.5,2,1.8,11,9.91,38035
38,36,87,16,18.39,9,10.34,16,18.39,2,2.3,8,9.2,1,1.15,17,19.54,2,2.3,7,8.05,5,5.75,38036
38,37,89,7,7.87,24,26.97,12,13.48,4,4.49,1,1.12,2,2.25,7,7.87,2,2.25,4,4.49,21,23.6,38037
38,38,108,9,8.33,19,17.59,13,12.04,2,1.85,8,7.41,3,2.78,28,25.93,0,0.0,3,2.78,18,16.67,38038
38,39,85,5,5.88,19,22.35,14,16.47,2,2.35,3,3.53,2,2.35,20,23.53,1,1.18,1,1.18,14,16.47,38039
38,40,90,10,11.11,19,21.11,18,20.0,7,7.78,2,2.22,3,3.33,12,13.33,0,0.0,5,5.56,12,13.33,38040
38,43,103,17,16.5,17,16.5,13,12.62,3,2.91,9,8.74,1,0.97,19,18.45,2,1.94,2,1.94,9,8.74,38043
38,44,109,7,6.42,21,19.27,25,22.94,7,6.42,17,15.6,0,0.0,14,12.84,0,0.0,1,0.92,13,11.93,38044
38,45,99,7,7.07,16,16.16,27,27.27,10,10.1,3,3.03,4,4.04,16,16.16,1,1.01,2,2.02,10,10.1,38045
38,46,83,6,7.23,20,24.1,19,22.89,0,0.0,10,12.05,2,2.41,12,14.46,0,0.0,3,3.61,5,6.02,38046
38,47,81,10,12.35,10,12.35,15,18.52,4,4.94,4,4.94,2,2.47,20,24.69,2,2.47,4,4.94,7,8.64,38047
38,48,83,8,9.64,19,22.89,23,27.71,4,4.82,2,2.41,2,2.41,9,10.84,0,0.0,1,1.2,7,8.43,38048
38,49,89,4,4.49,12,13.48,8,8.99,2,2.25,8,8.99,1,1.12,19,21.35,0,0.0,8,8.99,9,10.11,38049
38,50,91,17,18.68,19,20.88,12,13.19,2,2.2,3,3.3,1,1.1,21,23.08,0,0.0,1,1.1,7,7.69,38050
38,51,66,9,13.64,5,7.58,9,13.64,5,7.58,2,3.03,1,1.52,15,22.73,1,1.52,2,3.03,14,21.21,38051
38,52,105,9,8.57,23,21.9,17,16.19,3,2.86,10,9.52,3,2.86,16,15.24,2,1.9,5,4.76,11,10.48,38052
38,53,32,4,12.5,10,31.25,3,9.38,1,3.13,0,0.0,0,0.0,6,18.75,0,0.0,0,0.0,8,25.0,38053
41,25,38,3,7.89,6,15.79,7,18.42,3,7.89,2,5.26,2,5.26,7,18.42,0,0.0,0,0.0,6,15.79,41025
41,26,54,6,11.11,6,11.11,11,20.37,2,3.7,6,11.11,0,0.0,16,29.63,0,0.0,4,7.41,1,1.85,41026
41,27,33,2,6.06,5,15.15,3,9.09,0,0.0,1,3.03,2,6.06,6,18.18,1,3.03,1,3.03,12,36.36,41027
41,28,102,11,10.78,19,18.63,21,20.59,6,5.88,8,7.84,4,3.92,12,11.76,4,3.92,2,1.96,13,12.75,41028
41,29,63,8,12.7,9,14.29,8,12.7,4,6.35,5,7.94,1,1.59,8,12.7,0,0.0,5,7.94,13,20.63,41029
41,48,62,7,11.29,10,16.13,7,11.29,2,3.23,8,12.9,1,1.61,16,25.81,1,1.61,1,1.61,7,11.29,41048
45,1,96,13,13.54,17,17.71,21,21.88,7,7.29,4,4.17,4,4.17,15,15.63,2,2.08,3,3.13,7,7.29,45001
45,20,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,45020
