ward,precinct,total,Justin P. Oberman,Justin P. Oberman Percent,Robin Kelly,Robin Kelly Percent,precinct_id
2,44,124,32,25.81,92,74.19,02044
2,45,114,40,35.09,74,64.91,02045
2,46,236,60,25.42,176,74.58,02046
2,47,98,40,40.82,58,59.18,02047
2,48,83,38,45.78,45,54.22,02048
2,49,107,37,34.58,70,65.42,02049
2,50,104,47,45.19,57,54.81,02050
2,51,94,41,43.62,53,56.38,02051
2,52,158,61,38.61,97,61.39,02052
2,53,111,42,37.84,69,62.16,02053
2,54,175,51,29.14,124,70.86,02054
2,55,61,26,42.62,35,57.38,02055
2,56,128,44,34.38,84,65.63,02056
3,1,122,30,24.59,92,75.41,03001
3,2,205,62,30.24,143,69.76,03002
3,3,149,55,36.91,94,63.09,03003
3,4,93,23,24.73,70,75.27,03004
3,5,142,46,32.39,96,67.61,03005
3,6,32,8,25.0,24,75.0,03006
3,7,178,43,24.16,135,75.84,03007
3,8,111,35,31.53,76,68.47,03008
3,9,138,43,31.16,95,68.84,03009
3,10,43,11,25.58,32,74.42,03010
3,11,123,38,30.89,85,69.11,03011
3,12,106,34,32.08,72,67.92,03012
3,13,76,38,50.0,38,50.0,03013
3,14,108,43,39.81,65,60.19,03014
3,15,142,50,35.21,92,64.79,03015
3,16,105,25,23.81,80,76.19,03016
3,17,68,28,41.18,40,58.82,03017
3,18,69,32,46.38,37,53.62,03018
3,19,34,16,47.06,18,52.94,03019
3,20,102,42,41.18,60,58.82,03020
3,21,53,20,37.74,33,62.26,03021
3,22,73,22,30.14,51,69.86,03022
3,23,106,41,38.68,65,61.32,03023
3,24,166,56,33.73,110,66.27,03024
3,25,73,19,26.03,54,73.97,03025
3,26,39,11,28.21,28,71.79,03026
3,27,127,39,30.71,88,69.29,03027
3,28,214,56,26.17,158,73.83,03028
3,29,129,31,24.03,98,75.97,03029
3,30,105,37,35.24,68,64.76,03030
3,31,205,60,29.27,145,70.73,03031
3,32,89,25,28.09,64,71.91,03032
3,33,173,60,34.68,113,65.32,03033
3,34,131,37,28.24,94,71.76,03034
3,35,138,33,23.91,105,76.09,03035
3,36,39,12,30.77,27,69.23,03036
3,37,56,14,25.0,42,75.0,03037
3,38,218,76,34.86,142,65.14,03038
3,39,222,79,35.59,143,64.41,03039
3,40,136,38,27.94,98,72.06,03040
3,41,150,44,29.33,106,70.67,03041
3,42,77,27,35.06,50,64.94,03042
3,43,18,10,55.56,8,44.44,03043
3,44,23,7,30.43,16,69.57,03044
3,45,169,61,36.09,108,63.91,03045
3,46,14,7,50.0,7,50.0,03046
3,47,87,19,21.84,68,78.16,03047
3,48,82,31,37.8,51,62.2,03048
3,49,36,3,8.33,33,91.67,03049
3,50,72,26,36.11,46,63.89,03050
4,1,218,59,27.06,159,72.94,04001
4,2,229,53,23.14,176,76.86,04002
4,3,199,63,31.66,136,68.34,04003
4,4,161,53,32.92,108,67.08,04004
4,5,238,61,25.63,177,74.37,04005
4,6,77,18,23.38,59,76.62,04006
4,7,205,47,22.93,158,77.07,04007
4,8,194,62,31.96,132,68.04,04008
4,9,386,108,27.98,278,72.02,04009
4,10,185,47,25.41,138,74.59,04010
4,11,119,35,29.41,84,70.59,04011
4,12,95,28,29.47,67,70.53,04012
4,13,143,50,34.97,93,65.03,04013
4,14,101,28,27.72,73,72.28,04014
4,15,138,37,26.81,101,73.19,04015
4,16,190,64,33.68,126,66.32,04016
4,17,182,56,30.77,126,69.23,04017
4,18,169,53,31.36,116,68.64,04018
4,19,156,41,26.28,115,73.72,04019
4,20,97,32,32.99,65,67.01,04020
4,21,232,85,36.64,147,63.36,04021
4,22,235,79,33.62,156,66.38,04022
4,23,138,30,21.74,108,78.26,04023
4,24,169,56,33.14,113,66.86,04024
4,25,203,58,28.57,145,71.43,04025
4,26,178,49,27.53,129,72.47,04026
4,27,142,47,33.1,95,66.9,04027
4,28,111,29,26.13,82,73.87,04028
4,29,165,48,29.09,117,70.91,04029
4,30,150,48,32.0,102,68.0,04030
4,31,105,27,25.71,78,74.29,04031
4,32,188,55,29.26,133,70.74,04032
4,33,140,35,25.0,105,75.0,04033
4,34,134,43,32.09,91,67.91,04034
4,35,88,21,23.86,67,76.14,04035
4,36,121,20,16.53,101,83.47,04036
4,37,0,0,0.0,0,0.0,04037
4,38,295,96,32.54,199,67.46,04038
4,39,119,34,28.57,85,71.43,04039
4,40,138,47,34.06,91,65.94,04040
4,41,72,23,31.94,49,68.06,04041
4,42,213,68,31.92,145,68.08,04042
4,43,117,32,27.35,85,72.65,04043
4,44,103,41,39.81,62,60.19,04044
4,45,309,76,24.6,233,75.4,04045
4,46,131,32,24.43,99,75.57,04046
4,47,197,54,27.41,143,72.59,04047
4,48,225,60,26.67,165,73.33,04048
4,49,128,39,30.47,89,69.53,04049
4,50,155,44,28.39,111,71.61,04050
4,51,160,43,26.88,117,73.13,04051
4,52,191,65,34.03,126,65.97,04052
5,1,178,52,29.21,126,70.79,05001
5,2,134,34,25.37,100,74.63,05002
5,3,74,17,22.97,57,77.03,05003
5,4,117,26,22.22,91,77.78,05004
5,5,120,40,33.33,80,66.67,05005
5,6,169,54,31.95,115,68.05,05006
5,7,168,60,35.71,108,64.29,05007
5,8,223,77,34.53,146,65.47,05008
5,9,143,42,29.37,101,70.63,05009
5,10,111,41,36.94,70,63.06,05010
5,11,143,41,28.67,102,71.33,05011
5,12,78,28,35.9,50,64.1,05012
5,13,148,45,30.41,103,69.59,05013
5,14,221,70,31.67,151,68.33,05014
5,15,112,38,33.93,74,66.07,05015
5,16,106,27,25.47,79,74.53,05016
5,17,133,40,30.08,93,69.92,05017
5,18,137,38,27.74,99,72.26,05018
5,19,71,25,35.21,46,64.79,05019
5,20,55,20,36.36,35,63.64,05020
5,21,134,41,30.6,93,69.4,05021
5,22,142,39,27.46,103,72.54,05022
5,23,89,26,29.21,63,70.79,05023
5,24,178,41,23.03,137,76.97,05024
5,25,115,42,36.52,73,63.48,05025
5,26,137,40,29.2,97,70.8,05026
5,27,164,52,31.71,112,68.29,05027
5,28,180,59,32.78,121,67.22,05028
5,29,149,45,30.2,104,69.8,05029
5,30,136,51,37.5,85,62.5,05030
5,31,134,32,23.88,102,76.12,05031
5,32,292,90,30.82,202,69.18,05032
5,33,109,55,50.46,54,49.54,05033
5,34,146,32,21.92,114,78.08,05034
5,35,123,43,34.96,80,65.04,05035
5,36,64,21,32.81,43,67.19,05036
5,37,125,38,30.4,87,69.6,05037
5,38,197,70,35.53,127,64.47,05038
5,39,200,67,33.5,133,66.5,05039
5,40,108,41,37.96,67,62.04,05040
5,41,134,57,42.54,77,57.46,05041
5,42,143,49,34.27,94,65.73,05042
5,43,172,50,29.07,122,70.93,05043
5,44,149,54,36.24,95,63.76,05044
5,45,80,21,26.25,59,73.75,05045
5,46,146,41,28.08,105,71.92,05046
5,47,122,33,27.05,89,72.95,05047
5,48,104,36,34.62,68,65.38,05048
5,49,28,12,42.86,16,57.14,05049
5,50,94,27,28.72,67,71.28,05050
5,51,92,27,29.35,65,70.65,05051
5,52,7,2,28.57,5,71.43,05052
5,53,169,56,33.14,113,66.86,05053
5,54,233,61,26.18,172,73.82,05054
5,55,124,46,37.1,78,62.9,05055
6,1,231,54,23.38,177,76.62,06001
6,2,186,45,24.19,141,75.81,06002
6,3,192,61,31.77,131,68.23,06003
6,4,137,48,35.04,89,64.96,06004
6,5,62,21,33.87,41,66.13,06005
6,6,140,40,28.57,100,71.43,06006
6,7,153,65,42.48,88,57.52,06007
6,8,223,62,27.8,161,72.2,06008
6,9,172,40,23.26,132,76.74,06009
6,10,283,86,30.39,197,69.61,06010
6,11,153,42,27.45,111,72.55,06011
6,12,121,39,32.23,82,67.77,06012
6,13,138,35,25.36,103,74.64,06013
6,14,126,28,22.22,98,77.78,06014
6,15,78,27,34.62,51,65.38,06015
6,16,198,48,24.24,150,75.76,06016
6,17,215,46,21.4,169,78.6,06017
6,18,70,27,38.57,43,61.43,06018
6,19,188,66,35.11,122,64.89,06019
6,20,158,53,33.54,105,66.46,06020
6,21,176,58,32.95,118,67.05,06021
6,22,138,34,24.64,104,75.36,06022
6,23,132,41,31.06,91,68.94,06023
6,24,156,42,26.92,114,73.08,06024
6,25,83,24,28.92,59,71.08,06025
6,26,178,37,20.79,141,79.21,06026
6,27,206,67,32.52,139,67.48,06027
6,28,321,75,23.36,246,76.64,06028
6,29,229,67,29.26,162,70.74,06029
6,30,108,38,35.19,70,64.81,06030
6,31,190,65,34.21,125,65.79,06031
6,32,152,45,29.61,107,70.39,06032
6,33,207,59,28.5,148,71.5,06033
6,34,135,42,31.11,93,68.89,06034
6,35,141,47,33.33,94,66.67,06035
6,36,97,28,28.87,69,71.13,06036
6,37,212,57,26.89,155,73.11,06037
6,38,166,58,34.94,108,65.06,06038
6,39,115,41,35.65,74,64.35,06039
6,40,73,26,35.62,47,64.38,06040
6,41,197,39,19.8,158,80.2,06041
6,42,64,16,25.0,48,75.0,06042
6,43,165,55,33.33,110,66.67,06043
6,44,162,42,25.93,120,74.07,06044
6,45,134,37,27.61,97,72.39,06045
6,46,153,40,26.14,113,73.86,06046
6,47,181,51,28.18,130,71.82,06047
6,48,140,34,24.29,106,75.71,06048
6,49,139,61,43.88,78,56.12,06049
6,50,167,44,26.35,123,73.65,06050
6,51,91,25,27.47,66,72.53,06051
6,52,107,37,34.58,70,65.42,06052
6,53,140,45,32.14,95,67.86,06053
6,54,132,35,26.52,97,73.48,06054
6,55,130,43,33.08,87,66.92,06055
6,56,127,27,21.26,100,78.74,06056
6,57,73,20,27.4,53,72.6,06057
6,58,193,55,28.5,138,71.5,06058
6,59,163,60,36.81,103,63.19,06059
6,60,105,31,29.52,74,70.48,06060
6,61,81,31,38.27,50,61.73,06061
6,62,133,47,35.34,86,64.66,06062
6,63,154,38,24.68,116,75.32,06063
6,64,193,49,25.39,144,74.61,06064
7,1,279,86,30.82,193,69.18,07001
7,2,161,39,24.22,122,75.78,07002
7,3,82,26,31.71,56,68.29,07003
7,4,91,27,29.67,64,70.33,07004
7,5,76,27,35.53,49,64.47,07005
7,6,110,43,39.09,67,60.91,07006
7,7,76,30,39.47,46,60.53,07007
7,8,36,16,44.44,20,55.56,07008
7,9,139,49,35.25,90,64.75,07009
7,10,71,27,38.03,44,61.97,07010
7,11,155,50,32.26,105,67.74,07011
7,12,103,31,30.1,72,69.9,07012
7,13,92,30,32.61,62,67.39,07013
7,14,134,42,31.34,92,68.66,07014
7,15,64,23,35.94,41,64.06,07015
7,16,70,23,32.86,47,67.14,07016
7,17,60,21,35.0,39,65.0,07017
7,18,89,32,35.96,57,64.04,07018
7,19,189,59,31.22,130,68.78,07019
7,20,49,9,18.37,40,81.63,07020
7,21,116,41,35.34,75,64.66,07021
7,22,88,30,34.09,58,65.91,07022
7,23,115,41,35.65,74,64.35,07023
7,24,129,45,34.88,84,65.12,07024
7,25,174,61,35.06,113,64.94,07025
7,26,161,44,27.33,117,72.67,07026
7,27,204,66,32.35,138,67.65,07027
7,28,115,40,34.78,75,65.22,07028
7,29,133,37,27.82,96,72.18,07029
7,30,165,38,23.03,127,76.97,07030
7,31,139,42,30.22,97,69.78,07031
7,32,82,35,42.68,47,57.32,07032
7,33,111,41,36.94,70,63.06,07033
7,34,130,31,23.85,99,76.15,07034
7,35,168,49,29.17,119,70.83,07035
7,36,145,51,35.17,94,64.83,07036
7,37,65,23,35.38,42,64.62,07037
7,38,96,33,34.38,63,65.63,07038
7,39,89,28,31.46,61,68.54,07039
7,40,114,40,35.09,74,64.91,07040
7,41,124,42,33.87,82,66.13,07041
7,42,185,52,28.11,133,71.89,07042
7,43,137,46,33.58,91,66.42,07043
7,44,202,65,32.18,137,67.82,07044
7,45,222,68,30.63,154,69.37,07045
7,46,72,32,44.44,40,55.56,07046
7,47,114,30,26.32,84,73.68,07047
7,48,121,47,38.84,74,61.16,07048
7,49,73,28,38.36,45,61.64,07049
7,50,86,27,31.4,59,68.6,07050
7,51,223,71,31.84,152,68.16,07051
7,52,104,31,29.81,73,70.19,07052
7,53,109,33,30.28,76,69.72,07053
7,54,57,23,40.35,34,59.65,07054
7,55,117,27,23.08,90,76.92,07055
7,56,103,32,31.07,71,68.93,07056
7,57,111,35,31.53,76,68.47,07057
7,58,182,41,22.53,141,77.47,07058
7,59,66,14,21.21,52,78.79,07059
7,60,90,37,41.11,53,58.89,07060
7,61,122,33,27.05,89,72.95,07061
8,1,189,53,28.04,136,71.96,08001
8,2,90,27,30.0,63,70.0,08002
8,3,230,54,23.48,176,76.52,08003
8,4,155,57,36.77,98,63.23,08004
8,5,228,48,21.05,180,78.95,08005
8,6,177,61,34.46,116,65.54,08006
8,7,129,41,31.78,88,68.22,08007
8,8,216,71,32.87,145,67.13,08008
8,9,210,52,24.76,158,75.24,08009
8,10,260,60,23.08,200,76.92,08010
8,11,156,66,42.31,90,57.69,08011
8,12,125,35,28.0,90,72.0,08012
8,13,102,44,43.14,58,56.86,08013
8,14,83,24,28.92,59,71.08,08014
8,15,116,29,25.0,87,75.0,08015
8,16,206,64,31.07,142,68.93,08016
8,17,143,45,31.47,98,68.53,08017
8,18,78,25,32.05,53,67.95,08018
8,19,236,64,27.12,172,72.88,08019
8,20,122,38,31.15,84,68.85,08020
8,21,128,30,23.44,98,76.56,08021
8,22,138,42,30.43,96,69.57,08022
8,23,132,43,32.58,89,67.42,08023
8,24,164,40,24.39,124,75.61,08024
8,25,141,44,31.21,97,68.79,08025
8,26,107,37,34.58,70,65.42,08026
8,27,164,49,29.88,115,70.12,08027
8,28,127,39,30.71,88,69.29,08028
8,29,152,50,32.89,102,67.11,08029
8,30,141,48,34.04,93,65.96,08030
8,31,116,32,27.59,84,72.41,08031
8,32,250,70,28.0,180,72.0,08032
8,33,164,40,24.39,124,75.61,08033
8,34,199,64,32.16,135,67.84,08034
8,35,190,67,35.26,123,64.74,08035
8,36,147,45,30.61,102,69.39,08036
8,37,167,49,29.34,118,70.66,08037
8,38,140,46,32.86,94,67.14,08038
8,39,165,44,26.67,121,73.33,08039
8,40,124,36,29.03,88,70.97,08040
8,41,139,37,26.62,102,73.38,08041
8,42,161,43,26.71,118,73.29,08042
8,43,89,17,19.1,72,80.9,08043
8,44,135,45,33.33,90,66.67,08044
8,45,97,29,29.9,68,70.1,08045
8,46,129,30,23.26,99,76.74,08046
8,47,165,52,31.52,113,68.48,08047
8,48,140,49,35.0,91,65.0,08048
8,49,204,69,33.82,135,66.18,08049
8,50,178,46,25.84,132,74.16,08050
8,51,202,59,29.21,143,70.79,08051
8,52,188,60,31.91,128,68.09,08052
8,53,201,57,28.36,144,71.64,08053
8,54,165,57,34.55,108,65.45,08054
8,55,119,37,31.09,82,68.91,08055
8,56,139,39,28.06,100,71.94,08056
8,57,138,47,34.06,91,65.94,08057
8,58,182,52,28.57,130,71.43,08058
8,59,78,31,39.74,47,60.26,08059
8,60,134,34,25.37,100,74.63,08060
8,61,140,42,30.0,98,70.0,08061
8,62,159,49,30.82,110,69.18,08062
8,63,166,48,28.92,118,71.08,08063
8,64,135,39,28.89,96,71.11,08064
8,65,112,39,34.82,73,65.18,08065
8,66,225,73,32.44,152,67.56,08066
8,67,72,27,37.5,45,62.5,08067
8,68,71,21,29.58,50,70.42,08068
8,69,85,29,34.12,56,65.88,08069
8,70,163,52,31.9,111,68.1,08070
9,1,156,39,25.0,117,75.0,09001
9,2,143,45,31.47,98,68.53,09002
9,3,49,19,38.78,30,61.22,09003
9,4,139,36,25.9,103,74.1,09004
9,5,157,55,35.03,102,64.97,09005
9,6,161,44,27.33,117,72.67,09006
9,7,127,29,22.83,98,77.17,09007
9,8,131,36,27.48,95,72.52,09008
9,9,200,56,28.0,144,72.0,09009
9,10,144,45,31.25,99,68.75,09010
9,11,93,27,29.03,66,70.97,09011
9,12,125,36,28.8,89,71.2,09012
9,13,179,59,32.96,120,67.04,09013
9,14,209,58,27.75,151,72.25,09014
9,15,113,36,31.86,77,68.14,09015
9,16,95,30,31.58,65,68.42,09016
9,17,112,28,25.0,84,75.0,09017
9,18,149,63,42.28,86,57.72,09018
9,19,154,42,27.27,112,72.73,09019
9,20,180,57,31.67,123,68.33,09020
9,21,168,64,38.1,104,61.9,09021
9,22,186,48,25.81,138,74.19,09022
9,23,102,32,31.37,70,68.63,09023
9,24,28,7,25.0,21,75.0,09024
9,25,108,54,50.0,54,50.0,09025
9,26,80,15,18.75,65,81.25,09026
9,27,120,38,31.67,82,68.33,09027
9,28,52,30,57.69,22,42.31,09028
9,29,109,30,27.52,79,72.48,09029
9,30,157,39,24.84,118,75.16,09030
9,31,128,41,32.03,87,67.97,09031
9,32,135,48,35.56,87,64.44,09032
9,33,94,21,22.34,73,77.66,09033
9,34,109,28,25.69,81,74.31,09034
9,35,199,63,31.66,136,68.34,09035
9,36,196,50,25.51,146,74.49,09036
9,37,139,55,39.57,84,60.43,09037
9,38,134,49,36.57,85,63.43,09038
9,39,180,48,26.67,132,73.33,09039
9,40,168,56,33.33,112,66.67,09040
9,41,166,39,23.49,127,76.51,09041
9,42,45,16,35.56,29,64.44,09042
9,43,71,24,33.8,47,66.2,09043
9,44,88,28,31.82,60,68.18,09044
9,45,126,41,32.54,85,67.46,09045
9,46,137,41,29.93,96,70.07,09046
9,47,192,59,30.73,133,69.27,09047
9,48,168,39,23.21,129,76.79,09048
9,49,72,22,30.56,50,69.44,09049
9,50,147,42,28.57,105,71.43,09050
9,51,94,24,25.53,70,74.47,09051
9,52,184,54,29.35,130,70.65,09052
9,53,66,16,24.24,50,75.76,09053
10,1,93,32,34.41,61,65.59,10001
10,2,74,45,60.81,29,39.19,10002
10,3,133,71,53.38,62,46.62,10003
10,4,73,34,46.58,39,53.42,10004
10,5,81,39,48.15,42,51.85,10005
10,6,110,40,36.36,70,63.64,10006
10,7,30,4,13.33,26,86.67,10007
10,8,76,39,51.32,37,48.68,10008
10,9,111,58,52.25,53,47.75,10009
10,10,86,45,52.33,41,47.67,10010
10,11,100,58,58.0,42,42.0,10011
10,12,76,39,51.32,37,48.68,10012
10,13,90,53,58.89,37,41.11,10013
10,14,95,53,55.79,42,44.21,10014
10,15,41,26,63.41,15,36.59,10015
10,16,100,49,49.0,51,51.0,10016
10,17,80,40,50.0,40,50.0,10017
10,18,58,29,50.0,29,50.0,10018
10,19,104,50,48.08,54,51.92,10019
10,20,74,34,45.95,40,54.05,10020
10,21,92,57,61.96,35,38.04,10021
10,22,58,16,27.59,42,72.41,10022
10,23,78,31,39.74,47,60.26,10023
10,24,96,57,59.38,39,40.63,10024
10,25,107,47,43.93,60,56.07,10025
10,26,70,36,51.43,34,48.57,10026
10,27,109,69,63.3,40,36.7,10027
10,28,77,29,37.66,48,62.34,10028
10,29,111,37,33.33,74,66.67,10029
10,30,81,40,49.38,41,50.62,10030
10,31,100,50,50.0,50,50.0,10031
10,32,75,37,49.33,38,50.67,10032
10,33,82,44,53.66,38,46.34,10033
10,34,86,49,56.98,37,43.02,10034
10,35,99,56,56.57,43,43.43,10035
10,36,122,55,45.08,67,54.92,10036
10,37,60,29,48.33,31,51.67,10037
10,38,115,58,50.43,57,49.57,10038
10,39,93,56,60.22,37,39.78,10039
10,40,70,36,51.43,34,48.57,10040
10,41,138,77,55.8,61,44.2,10041
10,42,87,54,62.07,33,37.93,10042
10,43,45,16,35.56,29,64.44,10043
10,44,80,35,43.75,45,56.25,10044
10,45,48,30,62.5,18,37.5,10045
10,46,86,46,53.49,40,46.51,10046
10,47,76,41,53.95,35,46.05,10047
10,48,74,28,37.84,46,62.16,10048
11,1,161,58,36.02,103,63.98,11001
11,2,137,54,39.42,83,60.58,11002
11,3,102,44,43.14,58,56.86,11003
11,4,122,47,38.52,75,61.48,11004
11,5,76,38,50.0,38,50.0,11005
11,6,153,75,49.02,78,50.98,11006
11,7,150,54,36.0,96,64.0,11007
11,8,124,68,54.84,56,45.16,11008
11,9,68,22,32.35,46,67.65,11009
11,10,95,46,48.42,49,51.58,11010
11,11,178,75,42.13,103,57.87,11011
11,12,161,38,23.6,123,76.4,11012
11,13,133,47,35.34,86,64.66,11013
11,14,122,49,40.16,73,59.84,11014
11,15,120,38,31.67,82,68.33,11015
11,16,155,77,49.68,78,50.32,11016
11,17,189,89,47.09,100,52.91,11017
11,18,99,51,51.52,48,48.48,11018
11,19,94,37,39.36,57,60.64,11019
11,20,127,42,33.07,85,66.93,11020
11,21,163,65,39.88,98,60.12,11021
11,22,145,43,29.66,102,70.34,11022
11,23,114,37,32.46,77,67.54,11023
11,24,304,76,25.0,228,75.0,11024
11,25,147,43,29.25,104,70.75,11025
11,26,193,57,29.53,136,70.47,11026
11,27,95,40,42.11,55,57.89,11027
11,28,104,56,53.85,48,46.15,11028
11,29,137,72,52.55,65,47.45,11029
11,30,125,53,42.4,72,57.6,11030
11,31,107,29,27.1,78,72.9,11031
11,32,133,40,30.08,93,69.92,11032
11,33,97,40,41.24,57,58.76,11033
11,34,88,24,27.27,64,72.73,11034
11,35,212,75,35.38,137,64.62,11035
11,36,40,15,37.5,25,62.5,11036
11,37,169,52,30.77,117,69.23,11037
11,38,215,78,36.28,137,63.72,11038
11,39,212,112,52.83,100,47.17,11039
11,40,98,39,39.8,59,60.2,11040
11,41,78,30,38.46,48,61.54,11041
11,42,103,53,51.46,50,48.54,11042
11,43,128,69,53.91,59,46.09,11043
11,44,143,45,31.47,98,68.53,11044
11,45,67,30,44.78,37,55.22,11045
11,46,90,27,30.0,63,70.0,11046
11,47,110,62,56.36,48,43.64,11047
11,48,62,15,24.19,47,75.81,11048
11,49,132,42,31.82,90,68.18,11049
11,50,67,33,49.25,34,50.75,11050
12,1,67,35,52.24,32,47.76,12001
12,2,82,41,50.0,41,50.0,12002
12,3,76,38,50.0,38,50.0,12003
12,4,48,26,54.17,22,45.83,12004
12,5,73,38,52.05,35,47.95,12005
12,6,90,41,45.56,49,54.44,12006
12,7,97,53,54.64,44,45.36,12007
12,8,136,56,41.18,80,58.82,12008
12,9,65,37,56.92,28,43.08,12009
12,10,82,44,53.66,38,46.34,12010
12,11,125,59,47.2,66,52.8,12011
12,12,52,32,61.54,20,38.46,12012
12,13,105,56,53.33,49,46.67,12013
12,14,93,51,54.84,42,45.16,12014
12,15,69,33,47.83,36,52.17,12015
12,16,81,37,45.68,44,54.32,12016
12,17,114,56,49.12,58,50.88,12017
12,18,80,31,38.75,49,61.25,12018
12,19,106,55,51.89,51,48.11,12019
12,20,69,40,57.97,29,42.03,12020
12,21,90,50,55.56,40,44.44,12021
12,22,77,42,54.55,35,45.45,12022
12,23,102,53,51.96,49,48.04,12023
12,24,113,62,54.87,51,45.13,12024
13,1,168,72,42.86,96,57.14,13001
13,2,109,38,34.86,71,65.14,13002
13,3,192,104,54.17,88,45.83,13003
13,4,229,159,69.43,70,30.57,13004
13,5,151,74,49.01,77,50.99,13005
13,6,131,66,50.38,65,49.62,13006
13,7,132,58,43.94,74,56.06,13007
13,8,168,80,47.62,88,52.38,13008
13,9,148,74,50.0,74,50.0,13009
13,10,120,49,40.83,71,59.17,13010
13,11,133,52,39.1,81,60.9,13011
13,12,117,56,47.86,61,52.14,13012
13,13,200,53,26.5,147,73.5,13013
13,14,130,65,50.0,65,50.0,13014
13,15,200,104,52.0,96,48.0,13015
13,16,193,79,40.93,114,59.07,13016
13,17,170,80,47.06,90,52.94,13017
13,18,147,75,51.02,72,48.98,13018
13,19,176,60,34.09,116,65.91,13019
13,20,161,72,44.72,89,55.28,13020
13,21,166,73,43.98,93,56.02,13021
13,22,101,52,51.49,49,48.51,13022
13,23,132,59,44.7,73,55.3,13023
13,24,141,46,32.62,95,67.38,13024
13,25,119,61,51.26,58,48.74,13025
13,26,153,66,43.14,87,56.86,13026
13,27,164,84,51.22,80,48.78,13027
13,28,103,49,47.57,54,52.43,13028
